Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Расстояние между уровнями,Количество зон
https://cdn.entero.ru/mp@2x/5b/1e/5b1e399ed5e6be94656106681301e6a6.jpg;https://cdn.entero.ru/mp@2x/f6/6d/f66d46a71004308e06a4b27640484b0c.jpg;https://cdn.entero.ru/mp@2x/d8/fe/d8fe6d08674df08466f565e43d07d4a3.jpg,Печь комбинированная Giorik POP01 1хGN2/3,POP01,315055,RUB,Да,Giorik,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/355492,"<p>Скоростная электрическая комбинированная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355492""><b class=""b"">Giorik POP01</b></a> предназначена для быстрого приготовления и разогрева пиццы, фокаччи, панини, тостов, сэндвичей и других блюд в барах на малых предприятиях пищевой промышленности, общественного питания и торговли, а также в домашних условиях. Модель оснащена рабочей камерой с расположенным в задней стенке вентилятором, парогенератором, левосторонней распашной дверью, расположенным в центре фронта двери цветным сенсорным дисплеем управления и индикации с символьными, графическими и цифровыми сегментами. Фронт двери выполнен из высококачественного закаленного стекла c матовой черной поверхностью, противень – из алюминия с антипригарным покрытием, лопатка – из стали.</p>

<p>В комплект поставки входят съемный противень MOCA, лопатка, инструкция по эксплуатации, гарантийный талон и заводская упаковка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Технологии приготовления:
<ul>
<li>Конвекция</li>
<li>POP Steam: быстрое приготовление по запатентованному методу воздушного удара с добавлением пара</li>
<li>POP Tuner: автоматическая регулировка температуры и влажности в соответствии с желаемым результатом</li>
</ul>
</li>
<li>Функции:
<ul>
<li>Recipe Book (книга рецептов):
<ul>
<li>Предустановленные программы приготовления</li>
<li>Возможность сохранения до 18 собственных рецептов</li>
</ul>
</li>
<li>ECO Mode: энергосберегающий режим приготовления</li>
<li>Extra Time: быстрое увеличение длительности цикла на 15 или 30 секунд </li>
<li>Символьная индикация программ и функций</li>
<li>Акустический и визуальный сигнал оповещения о завершении цикла</li>
</ul>
</li>
<li>Встроенный бункер со съемным резервуаром: эксплуатация с бутилированной водой для предотвращения образования накипи без необходимости использования фильтра</li>
<li>USB-порт для обновления программного обеспечения</li>
<li>Простое управление благодаря легким прикосновениям и удобному интерфейсу</li>
<li>Магнитные фиксаторы для легкого открывания двери</li>
<li>Высокоэффективная энергосберегающая термоизоляция</li>
<li>Интегрированная в верхний торец двери рукоятка для оптимизации пространства</li>
<li>Компактное настольное размещение</li>
<li>Легкость очистки</li>
<li>Формат противня: GN2/3</li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Средняя производительность при полном заполнении резервуара: 400 циклов</li>
<li>Средняя часовая производительность приготовления стандартных тостов: 80 шт.</li>
<li>Среднее энергопотребление:
<ul>
<li>Приготовление 40 тостов в течение 30 мин.: 0,684 кВт⋅ч</li>
<li>Приготовление 1 тоста: 0,016 кВт⋅ч</li>
<li>300 тостов в сутки: 4,8 кВт⋅ч</li>
<li>Достижение режима ECO: 0,18 кВт⋅ч</li>
<li>Работа в режиме ECO в течение 2 ч: 1 кВт</li>
</ul>
</li>
<li>Объем резервуара: 3 л</li>
<li>Диагональ дисплея: 7""</li>
<li>Внутренние габариты камеры: 360х360х175 мм<b>​</b></li>
</ul>",355492,220 В,3.3 кВт,431 мм,637 мм,510 мм,,,,0,https://entero.ru/manuals/452119/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Giorik%20POP01.pdf,331637,,45 кг,Италия,Италия,,1
https://cdn.entero.ru/mp@2x/2e/60/2e6046de943cba751639637fe4834a64.jpg;https://cdn.entero.ru/mp@2x/01/11/01118b6b36892021652c361eff616fb4.jpg;https://cdn.entero.ru/mp@2x/0b/2b/0b2ba5810d266e61bbd35ba47fcc3555.jpg;https://cdn.entero.ru/mp@2x/f4/8f/f48f3e7c1957b85efdc07bd76a116a28.jpg;https://cdn.entero.ru/mp@2x/88/6b/886b8e708643ecd9f4ffd399c88a9f26.jpg;https://cdn.entero.ru/mp@2x/be/fe/befe9f6b64c289c7d047c1ce70320bf6.jpg;https://cdn.entero.ru/mp@2x/1b/ea/1beaf984a5e5c66019cceb6ccdc43538.jpg;https://cdn.entero.ru/mp@2x/06/32/0632b31519599540005c4140c1abb999.jpg;https://cdn.entero.ru/mp@2x/23/92/239272e0b21479afeed50026e8339b6c.jpg;https://cdn.entero.ru/mp@2x/d6/17/d61740d4e1a3957a4016a48ccd168ffe.jpg;https://cdn.entero.ru/mp@2x/0d/73/0d737ae93890c1bab1b5797cc6926e96.jpg,Печь конвекционная Primary BDK-3E,332030,0,RUB,Нет,,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/184054,"<p>Конвекционная комбинированная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184054"">Primary BDK-3E</a> </b>предназначена для выпечки хлебобулочных и кондитерских изделий и приготовления различных блюд на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена двойным закаленным стеклом и цифровой панелью управления. Корпус выполнен из нержавеющей стали SUS 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Реверсивное движение вентилятора</li>
<li>Программная подача пара</li>
<li>9 программ выпечки на 5 циклов каждая</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Конвекция: 9 кВт</li>
<li>Подовая печь: 4,9 кВт</li>
<li>Расстойная камера: 2,3 кВт</li>
</ul>
</li>
<li>Размер противня: 400х600 мм</li>
<li>Вместимость противней:
<ul>
<li>Конвекция: 5</li>
<li>Подовая печь: 2</li>
<li>Расстойная камера: 10</li>
<li>Буферная зона: 5</li>
</ul>
</li>
<li>Расстояние между направляющими:
<ul>
<li>Конвекция: 100 мм</li>
<li>Буферная зона: 100 мм</li>
</ul>
</li>
<li>Время выпечки: от 0 до 99 мин.</li>
<li>Температура выпекания:от 0 до 300 C°</li>
<li>Размер камеры выпекания: 830х750х200 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сенсорная панель управления на 100 программ</li>
<li>Система пароувлажнения </li>
<li>Каменный под</li>
</ul>",184054,380 В,16.2 кВт,1300 мм,1200 мм,2029 мм,,,,0,https://entero.ru/manuals/214058/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Primary%20BDK-3E.pdf,,,528 кг,,,100 мм,
https://cdn.entero.ru/mp@2x/f5/09/f5090dd6267371e368d3f7c6d0e844e7.jpg,Печь комбинированная Venarro RANEVOR DEF-KD,Печь комбинированная Venarro RANEVOR DEF-KD,0,RUB,Нет,,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/295329,"<p>Комбинированная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/295329"">Venarro Ranevor DEF-KD</a></b> используется на предприятиях пищевой промышленности и в пекарнях для выпечки хлебобулочных и мучных кондитерских изделий. Модель оснащена расстоечным шкафом, ротационной частью и подовой частью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ротационная часть:
<ul>
<li>Сенсорная цветная панель управления 7 дюймов</li>
<li>Большая емкость прогамм памяти</li>
<li>Датчик открытия двери</li>
<li>Ручная или автоматическая функция влажности</li>
<li>Открытое внутреннее стекло для легкой очистки</li>
<li>
<p>Корпус из нержавеющей стали</p>
</li>
</ul>
</li>
<li>Подовая часть:
<ul>
<li>Цветная панель управления 4,3 дюйма</li>
<li>99 программ приготовления</li>
<li>Ручная или автоматическая функция влажности</li>
<li>Равномерное распределение тепла</li>
</ul>
</li>
<li>Расстоечный шкаф
<ul>
<li>Цветная панель управления 2,4 дюйма</li>
<li>Автоматическое срабатывание с функцией реального времени</li>
<li>Регулируемая более низкая и более высокая температура грунтового тепла</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Мощность: 15 кВт + 5,5 кВт</li>
<li>Вместимость расст. шкафа: 70 x 400 x 600 мм</li>
<li>Вместимость ротационной части: 70 x 400 x 600 мм</li>
<li>Вместимость подовой части: 20 x 400 x 600 мм</li>
<li>Рабочая температура печи: 0... +300 °C</li>
</ul>

<p><br>
</p>",295329,380 В,15 кВт,990 мм,1330 мм,1240 мм,,,,0,,,,369 кг,,,,
https://cdn.entero.ru/mp@2x/67/6a/676a96ec5ad3bb9892cf9b27c7c697ba.jpg,Печь комбинированная Hurakan HKN-HSO18W,Печь комбинированная Hurakan HKN-HSO18W,0,RUB,Нет,Hurakan,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/377400,"<p>Комбинированная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377400""><b class=""b"">Hurakan HKN-HSO18W</b></a> используется на предприятиях пищевой промышленности и в пекарнях для выпечки хлебобулочных и мучных кондитерских изделий. Модель оснащена таймером до 99 мин., сенсорным экраном с диагональю 7"", USB портом и подключением Wi-Fi. Корпус выполнен из нержавеющей стали.</p>

<p><b class=""o"">Вилка в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер камеры: 310x330x245 мм</li>
<li>Объем камеры: 18 л</li>
</ul>",377400,220 В,3.5 кВт,609 мм,467 мм,630 мм,56 кг,1,750x540x820 мм,0,,,,,,Китай,,1
https://cdn.entero.ru/mp@2x/9e/34/9e34a01b1d240e374d11d40172869774.jpg,Печь конвекционная Primary BDK-4E,332040,762364,RUB,Нет,,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/184093,"<p>Конвекционная комбинированная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184093"">Primary BDK-4E</a> </b>предназначена для выпечки хлебобулочных и кондитерских изделий и приготовления различных блюд на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена двойным закаленным стеклом и цифровой панелью управления. Корпус выполнен из нержавеющей стали SUS 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Реверсивное движение вентилятора</li>
<li>Программная подача пара</li>
<li>9 программ выпечки на 5 циклов каждая</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Конвекция: 9 кВт</li>
<li>Подовая печь: 9,8 кВт</li>
</ul>
</li>
<li>Размер противня: 400х600 мм</li>
<li>Вместимость противней:
<ul>
<li>Конвекция: 5</li>
<li>Подовая печь: 2</li>
<li>Буферная зона: 5</li>
</ul>
</li>
<li>Расстояние между направляющими:
<ul>
<li>Конвекция: 100 мм</li>
<li>Буферная зона: 100 мм</li>
</ul>
</li>
<li>Время выпечки: от 0 до 99 мин.</li>
<li>Температура выпекания:от 0 до 300 C°</li>
<li>Размер камеры выпекания: 830х750х200 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сенсорная панель управления (на 2 яруса печи) </li>
<li>Система пароувлажнения (на 2 яруса печи) </li>
<li>Каменный под (на 2 яруса печи) </li>
</ul>",184093,380 В,18.8 кВт,1300 мм,1200 мм,2029 мм,,,,0,https://entero.ru/manuals/214059/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Primary%20BDK-4E.pdf,,,568 кг,,,100 мм,
https://cdn.entero.ru/mp@2x/62/59/625955d2e8a2612fbdcc70e1a83e2d45.jpg,"Комбинированный модуль из конвектомата, статической печи, расстоечного шкафа Kocateq FR Combi M","Комбинированный модуль из конвектомата, статической печи, расстоечного шкафа Kocateq FR Combi M",844402,RUB,Нет,Kocateq,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/230905,"<p>Комбинированный модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/230905"">Kocateq FR Combi M</a> </b> предназначен для выпечки хлебобулочных и кондитерских изделий и приготовления различных блюд на предприятиях пищевой промышленности, общественного питания и торговли. Модель состоит из конвектомата, подовой печи, расстоечного шкафа и вытяжного зонта. Корпус выполнен из нержавеющей стали, дверца - из двойного закаленного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Конвектомат:
<ul>
<li>Механическая панель управления с термостатом от 0 до 300 °C</li>
<li>Таймер</li>
<li>Функция пароувлажнения</li>
<li>2 реверсивных вентилятора </li>
<li>Внутреннее стекло легко открывается для очистки</li>
<li>Подсветка</li>
</ul>
</li>
<li>Подовая печь:
<ul>
<li>Механическая панель управления с термостатомот 85 до 400 °C</li>
<li>Таймер</li>
<li>Под из огнеупорного камня</li>
<li>Широкое смотровое окно</li>
<li>Толстая теплоизоляция для минимизации потерь тепла</li>
<li>Защитный термостат, предотвращающий перегрев печи</li>
</ul>
</li>
<li>Расстоечный шкаф:
<ul>
<li>Механическая панель управления</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость противней 600х400 мм:
<ul>
<li>Конвектомат: 6</li>
<li>Статическая печь: 2</li>
<li>Расстоечный шкаф: 8</li>
</ul>
</li>
</ul>

<ul>
<li>Мощность:
<ul>
<li>Конвектомат: 12 кВт</li>
<li>Статическая печь: 5 кВт</li>
<li>Расстоечный шкаф: 4 кВт</li>
</ul>
</li>
</ul>

<ul>
<li> Скорость вентилятора: 2800 об/мин.</li>
</ul>",230905,380 В,21 кВт,900 мм,1350 мм,2100 мм,,,,0,,888844,,,,Ю. Корея,,3
https://cdn.entero.ru/mp@2x/f3/01/f301a5826cf619cdd0f6b8a98a6c24bf.jpg,"Комбинированный модуль из ротационной печи, статической печи, расстоечного шкафа Kocateq FR Combi LCD","Комбинированный модуль из ротационной печи, статической печи, расстоечного шкафа Kocateq FR Combi LCD",1145741,RUB,Нет,Kocateq,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/269153,"<p>Комбинированный модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/269153"">Kocateq FR Combi LCD</a></b> предназначен для выпечки хлебобулочных и кондитерских изделий и приготовления различных блюд на предприятиях пищевой промышленности, общественного питания и торговли. Модель состоит из ротационной печи, подовой печи, расстоечного шкафа и вытяжного зонта. Корпус выполнен из нержавеющей стали, дверца - из двойного закаленного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ротационная печь:
<ul>
<li>Цветной сенсорный ЖК экраном 7""</li>
<li>Механическая или автоматическая функция увлажнения</li>
<li>2 реверсивных вентилятора </li>
<li>Установка Гистерезиса терморегулятора с шагом от 1 до 10</li>
<li>Библиотека рецептов с возможностью запрограммировать 5 шагов приготовления, установить фото блюда</li>
<li>Возможность приготовления в ручном режиме с установкой температуры приготовления от 0 до 300°C, времени приготовления, количеством пара</li>
<li>Рама с направляющими для противней вращаются в 2 стороны</li>
<li>Автоматическая остановка вентилятора в случае открытия двери</li>
<li>​Силиконовая прокладка</li>
</ul>
</li>
<li>Подовая печь:
<ul>
<li>Цветной сенсорный ЖК экраном 4,3""</li>
<li>Таймер</li>
<li>Регулировка температуры верха камеры и пода​</li>
<li>Широкое смотровое окно</li>
</ul>
</li>
<li>Расстоечный шкаф:
<ul>
<li>Управление осуществляется с панели ротационной печи</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость противней 600х400 мм:
<ul>
<li>Ротационная печь: 7</li>
<li>Подовая печь: 2</li>
<li>Расстоечный шкаф: 7</li>
</ul>
</li>
</ul>

<ul>
<li>Мощность:
<ul>
<li>Ротационная печь: 15 кВт</li>
<li>Подовая печь: 5,4 кВт</li>
<li>Расстоечный шкаф: 3 кВт</li>
</ul>
</li>
<li>Габариты упаковки: 1800х1230х2350 мм</li>
</ul>",269153,380 В,23.4 кВт,990 мм,1650 мм,2160 мм,,,,0,,1193480,,,,Ю. Корея,,
https://cdn.entero.ru/mp@2x/f4/17/f417f74edf62db1f1c76eadf12cd0055.jpg,Печь комбинированная электрическая Inoven Artos 5+2 (на подставке),AYF-5+2,1265197,RUB,Нет,Inoven,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/164249,"<p>Комбинированная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/164249""><b class=""b"">Inoven AYF-5+2</b></a> используется на предприятиях пищевой промышленности и в пекарнях для выпечки хлебобулочных и мучных кондитерских изделий. Модель оснащена подставкой, системой вращения, панелью управления, защитой от колебаний напряжения, парогенератором на каждом уровне и расстоечном шкафу, независимыми друг от друга модулями и высококачественной теплоизоляцией.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Количество уровней: 5+2</li>
<li>Размер противня: 400х600 мм</li>
<li>Размер рабочей камеры: 610х800х190 мм</li>
</ul>

<p> </p>

<p><br>
</p>",164249,380 В,13.5 кВт,1050 мм,1250 мм,1900 мм,,,,0,https://entero.ru/manuals/190923/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Inoven.pdf,1331786,,400 кг,Турция,,80 мм,
https://cdn.entero.ru/mp@2x/51/6b/516b673e91c3147e9e849df6414efeb5.jpg,Печь комбинированная электрическая Inoven Artos 5+2 (с расстоечным шкафом),AYF-5+2,1377576,RUB,Нет,Inoven,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/164184,"<p>Комбинированная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/164184""><b class=""b"">Inoven AYF-5+2</b></a> используется на предприятиях пищевой промышленности и в пекарнях для выпечки хлебобулочных и мучных кондитерских изделий. Модель оснащена расстоечным шкафом, системой вращения, панелью управления, защитой от колебаний напряжения, парогенератором на каждом уровне и расстоечном шкафу, независимыми друг от друга модулями и высококачественной теплоизоляцией.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Количество уровней: 5+2</li>
<li>Расстояние между уровнями: 80 мм</li>
<li>Размер противня: 400х600 мм</li>
<li>Размер рабочей камеры: 610х800х190 мм</li>
<li>Размер расстоечного шкафа: 400х600 мм</li>
<li>Количество уровней расстоечного шкафа: 10</li>
<li>Мощность расстоечного шкафа: 2,5 кВт</li>
</ul>

<p> </p>

<p><br>
</p>",164184,380 В,13.5 кВт,1050 мм,1250 мм,1900 мм,,,,0,https://entero.ru/manuals/190882/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Inoven.pdf,,,400 кг,,,,
https://cdn.entero.ru/mp@2x/c3/82/c382a8d9777fd323f341253aded0cada.jpg,Печь комбинированная Inoven Artos 5+4 (на подставке),AYF-5+4,1764147,RUB,Нет,Inoven,Профоборудование,Тепловое,Печи комбинированные,https://entero.ru/item/164263,"<p>Комбинированная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/164263""><b class=""b"">Inoven AYF-5+4</b></a> используется на предприятиях пищевой промышленности и в пекарнях для выпечки хлебобулочных и мучных кондитерских изделий. Модель оснащена подставкой, системой вращения, панелью управления, защитой от колебаний напряжения, парогенератором на каждом уровне и расстоечном шкафу, независимыми друг от друга модулями и высококачественной теплоизоляцией.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Количество уровней: 5+4</li>
<li>Размер противня: 400х600 мм</li>
<li>Размер рабочей камеры: 630х800х190 мм</li>
<li>Размер расстоечного шкафа: 400х600 мм</li>
<li>Количество уровней расстоечного шкафа: 10</li>
<li>Мощность расстоечного шкафа: 2,5 кВт</li>
</ul>

<p> </p>

<p><br>
</p>",164263,380 В,13.5 кВт,1050 мм,1250 мм,2250 мм,,,,0,https://entero.ru/manuals/190940/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Inoven.pdf,,,510 кг,Турция,,80 мм,
