Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Подключение,Диаметр пиццы
https://cdn.entero.ru/mp@2x/66/09/6609d7445972260d13255044087a8b1e.jpg;https://cdn.entero.ru/mp@2x/de/70/de70a06ccfbe0f426516b6b7aa5e38f0.jpg;https://cdn.entero.ru/mp@2x/3e/66/3e669b631abf89b64b904fdfcfa9e607.jpg;https://cdn.entero.ru/mp@2x/a5/2f/a52fe515ea21d8a28f110691e2e2c30c.jpg;https://cdn.entero.ru/mp@2x/8d/6d/8d6d609809393f365741873c72079f7c.jpg;https://cdn.entero.ru/mp@2x/2c/4c/2c4ca203cb2da397d7bdc4ed14a6d9ac.jpg,Печь конвейерная Hurakan HKN-SYN8/50,Печь конвейерная Hurakan HKN-SYN8/50,113288,RUB,Да,Hurakan,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/73531,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73531"">Hurakan HKN-SYN8/50</a></b> используется на предприятиях общественного питания и торговли для приготовления пиццы. Модель оснащена электромеханической панелью управления и раздельным управлением верхней и нижней зонами нагрева с помощью термостатов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление скоростью конвейера</li>
<li>Быстрый разогрев и приготовление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер камеры: 750x530x80 мм</li>
<li>Габариты в упаковке: 1640х830х460 мм</li>
</ul>",73531,от 50 до 300 °С,10.3 кВт,1560 мм,750 мм,360 мм,82 кг,Китай,1,1590x830x430 мм,6,https://entero.ru/manuals/43189/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-SYN8_50.docx;https://entero.ru/manuals/415352/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SYN8_50.pdf;https://entero.ru/manuals/415353/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454490/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SYN8_50.docx,,,64 кг,20 пицц в час,380 В,
https://cdn.entero.ru/mp@2x/ed/34/ed345869b0472ba17c12623a4d13b435.jpg,Печь конвейерная Zanolli Synthesis 08/50 E/MC DIG с подставкой,Печь конвейерная Zanolli Synthesis 08/50 E/MC DIG с подставкой,1011612,RUB,Да,Zanolli,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/263404,"<p>Конвейерная однокамерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/263404""><b class=""b"">Zanolli Synthesis 08/50 E/MC DIG </b></a>может использоваться не только для приготовления стандартной пиццы, но и для выпечки тостов, плоских батонов, хлеба и лазаньи.</p>

<p>В конвейерной печи использован принцип приготовления пищи за счет потоков горячего воздуха, принудительно подаваемого на конвейер с верхней и нижней сторон по всей длине рабочей камеры. Использование принудительного нагнетания воздуха позволяет более точно варьировать температуру в различных сегментах печи. После контакта с продуктом воздух отводится из камеры через боковые карманы. Движение конвейера осуществляется в одном направлении (относительно панели управления справа налево).</p>

<p>В комплект поставки входит подставка.</p>

<p><b>Особенности</b></p>

<ul>
<li>Сниженное энергопотребление</li>
<li>10 настраиваемых программ выпечки </li>
<li>Зонд в центре камеры: лучший контроль температуры</li>
<li>Улучшенная изоляция камеры </li>
<li>Низкий уровень шума</li>
<li>Быстрое достижение заданной температуры выпечки</li>
<li>Возможность отдельного регулирования нагрева сверху и снизу </li>
<li>Возможность запрограммированного включения печи 2 раза в день</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренний размер камеры: 500х850х100 мм</li>
<li>Габариты подставки: 1040х850х590 мм</li>
</ul>",263404,320 °С,14.2 кВт,1260 мм,1750 мм,490 мм,272 кг,Италия,1,1450x2050x675 мм,13,https://entero.ru/manuals/326015/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%B9%D0%B5%D1%80%D0%BD%D1%8B%D1%85%20%D0%BF%D0%B5%D1%87%D0%B5%D0%B9%20Zanolli%20Synthesis%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241307&hash=f42beb4f643d7578,215 кг,от 50 до 60 пицц в час,380 В,30 см
https://cdn.entero.ru/mp@2x/ac/34/ac34f6dd2949e660202fdf8834b1d275.jpg,Печь конвейерная Gastromix CO-18,Печь конвейерная Gastromix CO-18,110914,RUB,Да,Gastromix,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/124883,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124883"">Gastromix CO-18</a></b> используется на предприятиях общественного питания и торговли для приготовления пиццы и хлебобулочных изделий. Корпус и конвейер выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая панель управления</li>
<li>Независимая регулировка верхних и нижних ТЭНов</li>
<li>24 нагревательных элемента</li>
</ul>

<p><b>​Дополнительные характеристики:</b></p>

<ul>
<li>Высота бортиков пиццы: до 65 мм</li>
<li>Размер рабочей зоны: 500x1450 мм</li>
<li>Габариты в упаковке: 1680x890x460 мм</li>
</ul>",124883,от 50 до 400 °С,10.3 кВт,1560 мм,750 мм,360 мм,,Китай,,,0,https://entero.ru/manuals/263038/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20CO-18.pdf,115535,,60 кг,20 пицц в час,380 В,46 см
https://cdn.entero.ru/mp@2x/19/8a/198aaa02e99731de600774124d8c892a.jpg;https://cdn.entero.ru/mp@2x/8a/58/8a58e4e8584530084f20b2a334b21d59.jpg;https://cdn.entero.ru/mp@2x/28/8f/288f24b3763f276a7194dc2aa23032e8.jpg;https://cdn.entero.ru/mp@2x/7c/00/7c00080547d07d98c71f13b2ca48e1f4.jpg,Печь для пиццы RoboLabs RoboChef RC800M,209983 / RC800M,782598,RUB,Да,RoboLabs,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/149526,"<p>Конвейерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/149526""><b class=""b"">ТТМ RoboChef 800M</b></a> предназначена для выпечки пиццы на предприятиях общественного питания и торговли. Модель оснащена электронным управлением, сенсорным цветным 4,3” экраном, дверцей со смотровым окошком, позволяющей производить загрузку продукта в середину камеры. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p>Высокая производительность печи достигается благодаря применению импинджментной системы подвода тепла к продукту (jet impingement flow). Импинджментный подвод тепла к продукту осуществляется направлением нагретого ТЭНами потока горячего воздуха через 445 небольших сопел, расположенных над и под конвейерной сеткой. Благодаря эффекту удара горячего воздуха о продукт обеспечивается очень быстрый теплообмен между горячим воздухом и продуктом, в разы быстрее, чем при традиционном инфракрасном или конвекционном способе подвода тепла, а за счет движения продукта конвейером обеспечивается идеальная равномерность нагрева. </p>

<p>Подставка, крышка для печи и вытяжной зонт в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Интеллектуальное управление, позволяющее поддерживать равномерную температуру по всей площади камеры</li>
<li>Блок управления установлен по правую сторону</li>
<li>Возможность эксплуатации конвейерной ленты как слева направо, так и справа налево</li>
<li>Возможность установки до 3 печей друг на друга</li>
<li>Полностью разборная конструкция: удобство технического обслуживания</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Производительность: 
<ul>
<li>​По 40 см: ​до 70 пицц в час</li>
<li>По 30 см: до 130 пицц в час </li>
</ul>
</li>
<li>Макс. энергопотребление в режиме ожидания при температуре в камере 280°С: 11 кВт*ч</li>
<li>Ширина конвейерной ленты: 800 мм</li>
<li>Длина рабочей камеры: 1000 мм</li>
</ul>

<p><b>Дополнительные опции (приобретаются отдельно):</b></p>

<ul>
<li>Подставка RoboChef RoboLabs <a href=""https://entero.ru/item/150396"">RL907022</a> </li>
<li>Крышка верхняя для печи <a href=""https://entero.ru/item/150397"">RL907021</a></li>
<li>Вытяжной зонт <a href=""https://entero.ru/item/150394"">RL907023</a></li>
</ul>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>",149526,от 0 до 315 °С,27.8 кВт,1920 мм,1600 мм,535 мм,300 кг,Россия,1,1750x1980x730 мм,0,https://entero.ru/manuals/353335/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RoboLabs%20RoboChef%20RC800M.pdf;https://entero.ru/manuals/510971/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20RoboLabs%20RoboChef%20RC800M.pdf;https://entero.ru/manuals/177194/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RoboLabs%20RoboChef%20RC800M.pdf;https://entero.ru/manuals/502794/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,от 70 до 130 пицц в час,380 В,от 30 до 40 см
https://cdn.entero.ru/mp@2x/1b/09/1b090fc5f2ba43a893efe0d8d9fee5b5.jpg;https://cdn.entero.ru/mp@2x/5f/91/5f91e66e82bc76a7bd107515cd289db8.jpg;https://cdn.entero.ru/mp@2x/de/2a/de2a778bbc237bea185d12779a97707b.jpg;https://cdn.entero.ru/mp@2x/ee/ff/eeff25a1a3de11652dc2e1eaa740f4d1.jpg;https://cdn.entero.ru/mp@2x/9d/fc/9dfc8eca459387c93f01a9da5a7d5657.jpg;https://cdn.entero.ru/mp@2x/d3/5d/d35d011905316af266da510312f0bfe6.jpg;https://cdn.entero.ru/mp@2x/7d/7e/7d7ed3fac05ea52c9846fc41b6dc0bcc.jpg;https://cdn.entero.ru/mp@2x/be/51/be5193aa25df5bb76ef92fb88c736c53.jpg;https://cdn.entero.ru/mp@2x/a1/6f/a16fcc49b5537f40202a51802432cad0.jpg,Печь конвейерная для пиццы RoboLabs RoboChef RC460M,223181,470479,RUB,Да,RoboLabs,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/308178,"<p>Конвейерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/308178""><b class=""b"">ТТМ RoboChef RC460M</b></a> предназначена для выпечки пиццы на предприятиях общественного питания и торговли. Модель оснащена электронным управлением и независимой регулировкой температуры сверху и снизу. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p>Подставка и вытяжной зонт в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Интеллектуальное управление, позволяющее поддерживать равномерную температуру по всей площади камеры</li>
<li>Блок управления установлен по правую сторону</li>
<li>Режим энергосбережения</li>
<li>Регулировка времени приготовления</li>
<li>Возможность установки конвейерной ленты и справа налево, и слева направо</li>
<li>Возможность установки печей в несколько ярусов</li>
<li>Полностью разборная конструкция: удобство технического обслуживания</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время прохождения камеры: 30 мин.</li>
<li>Ширина конвейера: 460 мм</li>
<li>Длина рабочей камеры: 810 мм</li>
</ul>

<p><br>
<em>* Производительность указана для пицц диаметром 400 мм.</em></p>",308178,от 0 до 315 °С,14.7 кВт,1730 мм,1140 мм,545 мм,270 кг,Россия,1,1490x1800x995 мм,0,https://entero.ru/manuals/369301/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20RoboLabs%20RoboChef%20RC460M.pdf;https://entero.ru/manuals/510062/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RoboLabs%20RoboChef%20RC460M.pdf;https://entero.ru/manuals/502796/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239562&hd=2&autoplay=0,140 кг,35 пицц в час,380 В,40 см
https://cdn.entero.ru/mp@2x/e9/83/e9833c0f04597e015693ee039fe8fec4.jpg;https://cdn.entero.ru/mp@2x/c9/87/c987a04d53ea77e66c70b704c1c1904a.jpg,Печь для пиццы Pizza Group Flash,Печь для пиццы Pizza Group Flash,167960,RUB,Да,Pizza Group,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/303630,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303630"">Pizza Group Flash</a></b> предназначена для выпечки пиццы на предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления, реверсивной лентой, внешними закрывающимися лотками и поддоном для сбора крошек. Под выполнен из металла.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Ширина конвейерной ленты: 350 мм</li>
<li>Размер рабочей камеры: 350х550x80 мм</li>
</ul>",303630,,3.2 кВт,940 мм,500 мм,320 мм,,Италия,,,0,,,https://vk.com/video_ext.php?oid=-177656185&id=456240356&hd=2&autoplay=0,,30 пицц в час,220 В,
https://cdn.entero.ru/mp@2x/af/52/af52539525b319e998b42779d0e5ffe3.jpg,Печь конвейерная Zanolli Synthesis 06/40 E/MC DIG,Печь конвейерная Zanolli Synthesis 06/40 E/MC DIG,586425,RUB,Да,Zanolli,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/263402,"<p>Конвейерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/263402""><b class=""b"">Zanolli Synthesis Synthesis 06/40 E/MC DIG</b></a> используется для приготовления пиццы, запеченных на гриле овощей, фаст-фуда и выпечки на предприятиях общественного питания, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров.</p>

<p>Агрегат является частью первой линии запатентованных вентилируемых конвейерных печей. Устройство очень просто и удобно в использовании: достаточно подготовить продукты, установить необходимую температуру приготовления и задать скорость движения конвейера при помощи цифровой панели управления и поместить продукты на конвейерную ленту. Оператору не потребуется тратить время на контроль процесса приготовления - печь сама позаботится об этом, предотвратив подгорание помещенных в нее блюд. Конструкция прибора позволяет устанавливать печи друг на друга, тем самым экономя пространство кухни и делая его более функциональным.</p>

<p><em><span style=""color:#FF0000;"">Подставка в комплект поставки не входит и приобретается отдельно.</span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Сниженное энергопотребление</li>
<li>10 настраиваемых программ выпечки </li>
<li>Зонд в центре камеры: лучший контроль температуры</li>
<li>Улучшенная изоляция камеры </li>
<li>Низкий уровень шума</li>
<li>Быстрое достижение заданной температуры выпечки</li>
<li>Возможность отдельного регулирования нагрева сверху и снизу </li>
<li>Возможность запрограммированного включения печи 2 раза в день</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренний размер камеры: 400х580х95 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",263402,320 °С,7.9 кВт,980 мм,1300 мм,440 мм,141 кг,Италия,1,1200x1350x675 мм,8,https://entero.ru/manuals/326011/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%B9%D0%B5%D1%80%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%B5%D1%87%D0%B8%20Zanolli%20Synthesis.pdf,610859,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241307&hash=f42beb4f643d7578,105 кг,от 40 до 50 пицц в час,380 В,30 см
https://cdn.entero.ru/mp@2x/b2/07/b207700c632630ebcba3fe1654060c59.jpg,Печь конвейерная Gastromix CO-12,Печь конвейерная Gastromix CO-12,87761,RUB,Да,Gastromix,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/124879,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124879"">Gastromix CO-12</a></b> используется на предприятиях общественного питания и торговли для приготовления пиццы и хлебобулочных изделий. Корпус и конвейер выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая панель управления</li>
<li>Независимая регулировка верхних и нижних ТЭНов</li>
<li>18 нагревательных элементов</li>
<li>Реверс для изменения направления движения конвейера</li>
</ul>

<p><b>​Дополнительные характеристики:</b></p>

<ul>
<li>Время выпечки одной пиццы: около 3-4 минут</li>
<li>Высота бортиков пиццы: до 65 мм</li>
<li>Размер рабочей зоны: 350x1000 мм</li>
<li>Габариты в упаковке: 1190x680x460 мм</li>
</ul>",124879,от 50 до 400 °С,6.7 кВт,1120 мм,590 мм,390 мм,48 кг,Китай,1,1190x680x460 мм,0,https://entero.ru/manuals/263039/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20CO-12.pdf;https://entero.ru/manuals/460996/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D0%B0%D1%8F%20%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Gastromix%20CO-12.jpg;https://entero.ru/manuals/460997/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D0%B0%D1%8F%20%D1%81%D1%85%D0%B5%D0%BC%D0%B0%202%20%D0%BD%D0%B0%20Gastromix%20CO-12.jpg,91418,,39 кг,16 пицц в час,220 В,30 см
https://cdn.entero.ru/mp@2x/54/9f/549f120c3693120a7e39edf3c76687b3.jpg,Печь конвейерная Kocateq EPCV9/38G,Печь конвейерная Kocateq EPCV9/38G,308314,RUB,Да,Kocateq,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/375172,"<p>Конвейерная печь<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375172""><b class=""b""> Kocated EPCV9/38G</b></a> предназначена для выпекания пиццы, тостов, плоских батонов, хлеба, лазаньи на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Модель оснащена электронным управлением. Корпус выпронен из нержавеющей стали, конвейер - из нержавеющей проволоки.</p>

<p><b class=""o"">Внимание! Печь устанавливается на стенд, который не входит в комплект поставки и приобретается отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>2 программы для записи параметров приготовления</li>
<li>Режим экономии электроэнергии</li>
<li>Возможность регулировки температуры, скорости и направления конвейера</li>
<li>Технология Impinger: принудительная циркуляция воздуха в пекарной камере через сопла над конвейером и под конвейером</li>
<li>Откидная дверь со смотровым окном</li>
<li>Возможность установки в 2 и 3 яруса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты:
<ul>
<li>Конвейер: 1215х400 мм</li>
<li>Камера: 713х450 мм</li>
</ul>
</li>
<li>Высота установки шторки камеры от конвейера: от 68 до 30 мм</li>
</ul>",375172,320 °С,9 кВт,1450 мм,922 мм,470 мм,130 кг,Ю. Корея,1,1510x1050x550 мм,0,https://entero.ru/manuals/507314/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,40 пицц в час,380 В,38 см
https://cdn.entero.ru/mp@2x/05/8d/058d81350282f9e03103df1e02386f46.jpg;https://cdn.entero.ru/mp@2x/6e/36/6e36d4323aeebf45857786f34008df65.jpg,Печь конвейерная ITPIZZA T40 TS,Печь конвейерная ITPIZZA T40 TS,485325,RUB,Да,ITPIZZA,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/91170,"<p>Конвейерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91170""><b class=""b"">ITPIZZA T40 TS</b></a> используется на предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления TOUCH SCREEN, регулирующей время включения и выключения, скорость и направление движения конвейера, температуру верхних и нижних ТЭНов. Оборудование полностью выполнено из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Смотровое окошко для контроля процесса приготовления</li>
<li>Дверца обеспечивает удобный доступ в камеру, что облегчает процесс очистки</li>
<li>Температура внешней поверхности печи не превышает 40°C, что убережет операторов от травм и ожогов</li>
<li>Есть возможность установки одного модуля на другой (максимум 3 яруса)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес пиццы: 390 г</li>
<li>Размер камеры: 400х540х100 мм</li>
<li>Габариты упаковки: 1475x1115x730 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/104155"">Подставка</a></li>
</ul>",91170,от 0 до 350 °С,7.8 кВт,1425 мм,985 мм,450 мм,,Италия,,,0,https://entero.ru/manuals/306933/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITPIZZA%20T40.pdf,,,101 кг,26 пицц в час,380 В,32 см
