Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Время розжига,Время автономной работы
https://cdn.entero.ru/mp@2x/1f/cd/1fcd9e7a68bd47f345c6f7762f838428.jpg,Печь-мангал Vesta М45/23,Печь-мангал Vesta М45/23,476391,RUB,Да,Vesta,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/269077,"<p>Печь-мангал <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/269077"">Vesta М45/23</a></b> предназначена для приготовления блюд на углях на предприятиях общественного питания. При непрерывном производстве аппарат легко позволит обслуживать заведение с числом посадочных мест не менее 100. Модель оснащена тепловым экраном. Корпус выполнен из матовой нержавеющей стали, камера - из черной стали повышенной жаростойкости 17Г1С (17ГС) толщиной 6 мм, колосник - из чугуна.</p>

<p>В комплект поставки входят жарочная решетка и решетка теплового шкафа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулятор тяги воздуха (верхний и нижний)</li>
<li>Откидная глухая дверца</li>
<li>Внутренняя теплоизоляция экономит на угле и избавляет от излишнего жара</li>
<li>Боковые направляющие устанавливают жарочную решетку в 5 положениях по высоте​.</li>
<li>Удобная ручка двери</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность вытяжки: 3200 м<sup>3</sup>/ч</li>
<li>Потребление угля в день: от 12 до 16 кг</li>
<li>Максимальная загрузка угля: 10 кг</li>
<li>​Эквивалентная мощность: 4,8 кВт</li>
<li>Размер решетки: 840х480 мм</li>
<li>Расстояние до другого оборудования: не менее 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Гриль решетки</li>
<li>Пламегаситель механический с рассеивателем (колпаком)</li>
<li>Шкаф-подставка</li>
<li>Зонт со встроенным гидрофильтром Vesta</li>
<li>Посуда для гриля</li>
<li>Цветная дверь​<a href=""https://entero.ru/item/72890"">​​</a></li>
</ul>",269077,350 °С,1076 мм,727 мм,1076 мм,325 кг,Россия,1,1280x900x1130 мм,0,https://entero.ru/manuals/331683/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vesta%20%D0%9C45_23.pdf;https://entero.ru/manuals/331684/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Vesta%20%D0%9C45_23.pdf;https://entero.ru/manuals/331685/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Vesta%20%D0%9C45_23.jpg;https://entero.ru/manuals/405567/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,506799,https://vk.com/video_ext.php?oid=-177656185&id=456240867&hash=32a393b9f137936b,305 кг,90 кг/ч,35 мин.,
https://cdn.entero.ru/mp@2x/33/7a/337a50af04509ce3a39980afb57c0768.jpg,Искрогаситель сухой Vesta лабиринтный,Искрогаситель сухой Vesta лабиринтный,73937,RUB,Да,Vesta,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/72892,"<p>Сухой лабиринтный искрогаситель используется совместно с печами-мангалами <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72892""><b class=""b"">Vesta 25, 25 N, 45, 45 N, 50, 50 N, 38, 38N</b></a> для предотвращения попадания пламени и искр в вентиляцию. Модель состоит из двух частей: искрогасителя (нижний блок) и конусного диффузора.</p>

<p>Искры гасятся и оседают в виде сажи в лабиринте нижнего не разборного блока. Конусный диффузор служит для лучшего смешивания окружающего воздуха и выходящих из печи - мангала горячих газов и оснащен легкосъемной стальной сеткой, которая является последней ступенью искрогасителя и первым жировым фильтром.</p>

<p><b>Особенности:</b></p>

<ul>
<li>От верхнего края искрогасителя до нижнего края вытяжного зонта должно быть не менее 0,5 м</li>
<li>Сетку необходимо регулярно вынимать и промывать в ванне с моющим раствором</li>
</ul>",72892,,,,,,,,,0,https://entero.ru/manuals/42150/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%B8%D1%81%D0%BA%D1%80%D0%BE%D0%B3%D0%B0%D1%81%D0%B8%D1%82%D0%B5%D0%BB%D1%8F%20Vesta.jpg,78656,,,,,
https://cdn.entero.ru/mp@2x/ef/6c/ef6c333c3df47d3e0ced78a37786c537.jpg;https://cdn.entero.ru/mp@2x/23/d1/23d111fa1b7b6b8e870cd65171bfc427.jpg;https://cdn.entero.ru/mp@2x/f8/bf/f8bf87620a46efb80ab23844d98f09cf.jpg,Гриль-печь хоспер Josper HJX-PRO-L175-TD NC,Гриль-печь хоспер Josper HJX-PRO-L175-TD NC,1734929,RUB,Да,Josper,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/210083,"<p>Гриль-печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210083""><b class=""b"">Josper HJX-PRO-L175-TD </b></a>используется на предприятиях общественного питания и торговли для приготовления с равномерной термообработкой со всех сторон любых продуктов на древесном топливе. Модель оснащена искрогасителем, диффузором, нижним вентиляционным отверстием с 8 входами для воздуха, съемным лотком для золы, системой закрытия двери, столом-подставкой и выдвижным ящиком. Внутренняя камера печи-хоспер изготовлена из жаростойких материалов, внешние панели - из нержавеющей стали, дверь - цветная с качественным термостойким керамическим напылением.</p>

<p>В комплект поставки входят щипцы, щетка, решетка для гриля и кочерга.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вентиляционная решетка для выхода горячего воздуха</li>
<li>Воздухозаборник для контроля интенсивности горения</li>
<li>Контроль вентиляции</li>
<li>Новая система лопастей</li>
<li>Верх корпуса без перфорации, предотвращающее попадание жидкости во внутреннюю полость печи </li>
<li>Арматурные углубления вверху корпуса</li>
<li>Двойная система изоляции</li>
<li>Усиленная цепь с антикоррозийной обработкой, зубчатый шкив с подшипником и регулируемая тяговая пружина двери</li>
<li>Усиленный корпус и более высокая изоляция с задней вентиляцией</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная тепловая мощность: 9,6 кВт</li>
<li>Рекомендуемая производительность вытяжки: 3800 м<sup>3</sup>/час</li>
<li>Размер гриля: 760х760 мм</li>
<li>Массовый расход дыма: 23,57 г/сек.</li>
<li>Количество посадочных мест: 175</li>
<li>Потребление угля: от 16 до 20 кг</li>
</ul>

<p><b>Опции (приобретаются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/209964"">Полки для GN</a></li>
<li>Выбор цвета двери</li>
</ul>",210083,от 250 до 350 °С,916 мм,1011 мм,1660 мм,410 кг,Испания,1,1150x1110x1940 мм,0,https://entero.ru/manuals/260867/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Josper%20HJX-PRO-L175-TD.pdf;https://entero.ru/manuals/408627/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Josper%20HJX-PRO-L175-TD%20NC%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,1885792,,338 кг,110 кг/ч,40 мин.,9 ч
https://cdn.entero.ru/mp@2x/d9/1c/d91c40f81f46aa08ea2804bb3d71599a.jpg,Печь-мангал КОБОР FIRE-25-L,Печь-мангал КОБОР FIRE-25-L,343853,RUB,Да,КОБОР,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/153393,"<p>Печь-мангал <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/153393"">Кобор FIRE-25-L</a></b> предназначена для приготовления блюд на углях на предприятиях общественного питания. Модель оснащена подставкой. Корпус выполнен из нержавеющей стали AISI430, камера и колосниковая решетка - из жаростойкой котловой стали толщиной 5 мм, дверь и некоторые элементы имеют черное полимерное покрытие.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Гриль-решетка</li>
<li>Секция колосниковой решетки для печей - 4 шт.</li>
<li>Щипцы</li>
<li>Щетка для чистки решеток</li>
<li>Подставка</li>
<li>Упаковка</li>
<li>Регулятор тяги внешний (заслонка дымохода)</li>
<li>Паспорт и руководство по эксплуатации</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Многоуровневая система теплоизоляции из керамического волокна</li>
<li>Корпус верхней заслонки дымохода с теплоизоляцией </li>
<li>5 фиксированных положений заслонки</li>
<li>7 уровней для решетки-гриль</li>
<li>Фильтр твердых частиц</li>
<li>Однородное распределение кислорода</li>
<li>Регулировка поступления воздуха</li>
<li>Ящик для золы</li>
<li>Ход двери, регулируемый пружинами из жаростойкой стали</li>
<li>Высокая плотность прилегания двери в закрытом состоянии</li>
<li>Модульная конструкция решетки для удобства чистки</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/189337"">Искрогаситель</a></li>
</ul>",153393,,760 мм,675 мм,1635 мм,,Россия,,,0,https://entero.ru/manuals/181899/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9A%D0%BE%D0%B1%D0%BE%D1%80%20FIRE-25-L.pdf;https://entero.ru/manuals/183031/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%9A%D0%BE%D0%B1%D0%BE%D1%80%20FIRE-25-L.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239459&hd=2&autoplay=0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241053&hash=bc3457c96a657306,,60 кг/ч,,
https://cdn.entero.ru/mp@2x/22/c8/22c8dbae6a573054eb45b69f2f8b1fb0.jpg,Печь на древесном угле Empero EMP.PKF-50-S,EMP.PKF-50-S / EMP.PKF-50- S / Печь EMP.PKF-50-S на древесном угле черная,654263,RUB,Да,Empero,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/124188,"<p>Печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124188"">Empero EMP.PKF-50-S</a></b> используется на предприятиях общественного питания и торговли для приготовления широкого спектра блюд из мяса, птицы и рыбы на древесных углях. Модель оснащена специальным выдвижным ящиком для пепла. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят щипцы, 2 решетки для мяса, 1 решетка для шампуров, искрогаситель и колпак искрогасителя.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая система тяги воздуха позволяет контролировать температуру внутри рабочей камеры</li>
<li>Изолированный корпус</li>
<li>Стандартный колпак</li>
<li>Прочная и легкая передняя дверца</li>
<li>Топливо - древесный уголь</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры стойки решетки: 740x650 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",124188,от 250 до 350 °С,890 мм,825 мм,1271 мм,,Турция,,,0,https://entero.ru/manuals/132514/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Empero%202019.pdf;https://entero.ru/manuals/410879/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Empero%20EMP.PKF-50-S.pdf,681524,,190 кг,90 кг/ч,,
https://cdn.entero.ru/mp@2x/ff/cd/ffcd5389e59ec6447a2b4ccdef901afe.jpg;https://cdn.entero.ru/mp@2x/da/6d/da6d8d2170f6037ec7a501977cab1c28.jpg,Гриль-печь Josper HJX-PRO-S80-T NC,Гриль-печь Josper HJX-PRO-S80-T NC,1304854,RUB,Да,Josper,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/210073,"<p>Гриль-печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210073""><b class=""b"">Josper HJX-PRO-S80-T </b></a>используется на предприятиях общественного питания и торговли для приготовления любых продуктов на древесном топливе. Модель оснащена искрогасителем, диффузором, нижним вентиляционным отверстием с 8 входами для воздуха, съемным лотком для золы, системой закрытия двери и столом-подставкой.</p>

<p>В комплект поставки входят щипцы, щетка, решетка для гриля и кочерга.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вентиляционная решетка для выхода горячего воздуха</li>
<li>Воздухозаборник для контроля интенсивности горения</li>
<li>Контроль вентиляции</li>
<li>Новая система лопастей</li>
<li>Верх корпуса без перфорации, предотвращающее попадание жидкости во внутреннюю полость печи </li>
<li>Арматурные углубления вверху корпуса</li>
<li>Двойная система изоляции</li>
<li>Усиленная цепь с антикоррозийной обработкой, зубчатый шкив с подшипником и регулируемая тяговая пружина двери</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная тепловая мощность: 8,8 кВт</li>
<li>Рекомендуемая производительность вытяжки: 2800 м<sup>3</sup>/час</li>
<li>Размер гриля: 510х500 мм</li>
<li>Массовый расход дыма: 19,36 г/сек.</li>
<li>Количество посадочных мест: 80</li>
<li>Потребление угля: от 10 до 12 кг</li>
</ul>

<p><b>Опции (приобретаются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/209962"">Выдвижной ящик</a></li>
<li><a href=""https://entero.ru/item/209964"">Полки для GN</a></li>
</ul>",210073,от 250 до 350 °С,649 мм,778 мм,1600 мм,253 кг,Испания,1,1150x1150x1940 мм,7,https://entero.ru/manuals/261000/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Josper%20HJX-PRO-S80-T.pdf;https://entero.ru/manuals/408727/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Josper%20HJX-PRO-S80-T%20NC.pdf,,,181 кг,60 кг/ч,30 мин.,9 ч
https://cdn.entero.ru/mp@2x/1d/b1/1db1cec47e2f4dc14d729e91b92e5d5d.jpg,Гриль-печь Josper HJX-PRO-M120-T,Гриль-печь Josper HJX-PRO-M120-T,1635780,RUB,Да,Josper,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/210079,"<p>Гриль-печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210079""><b class=""b"">Josper HJX-PRO-M120-T </b></a>используется на предприятиях общественного питания и торговли для приготовления любых продуктов на древесном топливе. Модель оснащена искрогасителем, диффузором, нижним вентиляционным отверстием с 8 входами для воздуха, съемным лотком для золы, системой закрытия двери и столом-подставкой.</p>

<p>В комплект поставки входят щипцы, щетка, решетка для гриля и кочерга.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вентиляционная решетка для выхода горячего воздуха</li>
<li>Воздухозаборник для контроля интенсивности горения</li>
<li>Контроль вентиляции</li>
<li>Новая система лопастей</li>
<li>Верх корпуса без перфорации, предотвращающее попадание жидкости во внутреннюю полость печи </li>
<li>Арматурные углубления вверху корпуса</li>
<li>Двойная система изоляции</li>
<li>Усиленная цепь с антикоррозийной обработкой, зубчатый шкив с подшипником и регулируемая тяговая пружина двери</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер гриля: 510х760 мм</li>
<li>Количество посетителей: 120</li>
</ul>

<p><b>Опции (приобретаются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/209962"">Выдвижной ящик</a></li>
<li><a href=""https://entero.ru/item/209964"">Полки для GN</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера с выдвижным ящиком и полками для GN, которые в комплект поставки не входят и приобретаются отдельно.</span></em></p>",210079,,916 мм,1091 мм,774 мм,,Испания,,,7,https://entero.ru/manuals/260872/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Josper%20HJX-PRO-M120-T.pdf,,,,,,
https://cdn.entero.ru/mp@2x/61/f4/61f4aa3b25214ac93faa14f72dd21acc.jpg;https://cdn.entero.ru/mp@2x/de/04/de04d0ed29eb082e11e55b3d40b59a16.jpg;https://cdn.entero.ru/mp@2x/70/3e/703e3508ba29cbf747d50e1f099a7a5f.jpg,Жаровня-гриль ProHotel Ember Cast 12480-36,Жаровня-гриль ProHotel Ember Cast 12480-36,14782,RUB,Да,,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/304704,"<p>Жаровня-гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/304704"">ProHotel Ember Cast 12480-36</a></b> предназначена для приготовления шашлыков, стейков и овощей на углях. Изделие выполнено из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: черный</li>
</ul>",304704,,360 мм,360 мм,,,Китай,,,0,,,,17.2 кг,,,
https://cdn.entero.ru/mp@2x/78/52/7852b4e04fb8e95b3833d0fbd60a83af.jpg;https://cdn.entero.ru/mp@2x/a3/9c/a39c1211d9fb4b39d671f3b73fe8b0c9.jpg;https://cdn.entero.ru/mp@2x/8c/2f/8c2fe8c60236518de2549181e0152980.jpg,Гриль-мангал угольный Kocateq G 25 HJX R,Гриль-мангал угольный Kocateq G 25 HJX R,254038,RUB,Да,Kocateq,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/306729,"<p>Угольный гриль-мангал <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/306729""><b class=""b"">Kocateq G 25 HJX R</b></a> предназначен для приготовления мяса, рыбы, овощей и других продуктов с использованием углей на предприятиях общественного питания и торговли. Модель оснащена шибером для регулировки интенсивности горения. Дверь покрыта жаропрочной эмалью красного цвета.</p>

<p>В комплект поставки входят 2 решетки для гриля и кочерга.</p>

<p><br>
<em><span style=""color:#FF0000;"">При эксплуатации гриль-мангала рекомендуется установка <a href=""https://entero.ru/list/698"" target=""_blank"">вытяжной системы</a>.</span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Работа на всех типах древесного угля</li>
<li>Необходимо подключение к <a href=""https://entero.ru/search.php?text=искрогаситель"" target=""_blank"">искрогасителю</a> и дымоходу</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер решетки для жарки: 510х538 мм</li>
<li>Размер ящика для угля: 470х605 мм</li>
<li>Вместимость ящика для угля: 3 кг</li>
</ul>",306729,от 250 до 350 °С,622 мм,660 мм,1256 мм,,Ю. Корея,,,0,https://entero.ru/manuals/367536/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/407537/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20G%2025%20HJX%20R.docx,276128,,,60 кг/ч,от 20 до 30 мин.,
https://cdn.entero.ru/mp@2x/43/f3/43f36177805124dff968672945977900.jpg;https://cdn.entero.ru/mp@2x/59/1e/591e35f31ac886ec06fdaf80ad3633bd.jpg;https://cdn.entero.ru/mp@2x/55/32/55322c3c05c5aa6921a27c384f1aae71.jpg;https://cdn.entero.ru/mp@2x/53/14/53149c4f59771cdbd288871968cff10e.jpg;https://cdn.entero.ru/mp@2x/dd/9c/dd9ce4338c8ca89e2bb4d13092916cae.jpg;https://cdn.entero.ru/mp@2x/7a/54/7a54e280b2e14b372d40403216074234.jpg;https://cdn.entero.ru/mp@2x/32/af/32af0b6f5f20873370697a82a756a651.jpg;https://cdn.entero.ru/mp@2x/d2/90/d2900b3cde4afe72015b4a425e838085.jpg;https://cdn.entero.ru/mp@2x/4e/d3/4ed3892353f0c28e971a9a9362ea295a.jpg;https://cdn.entero.ru/mp@2x/fc/c3/fcc3db3904117e8dd03437ddfc5d3359.jpg;https://cdn.entero.ru/mp@2x/b2/bc/b2bc504a3c4d535440bef3002ea02e49.jpg;https://cdn.entero.ru/mp@2x/d1/2c/d12c51b1d9a2400a6552d62646e15dbd.jpg,Гриль керамический Monolith Grill LeCHEF PRO-Serie 2.0 121031-Black,Гриль керамический Monolith Grill LeCHEF PRO-Serie 2.0 121031-Black,327000,RUB,Да,Monolith Grill,Профоборудование,Тепловое,Печи на твердом топливе,https://entero.ru/item/256967,"<p>Керамический гриль <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/256967""><b class=""b"">Monolith LeCHEF PRO-Serie 2.0</b></a> предназначен для приготовления блюд на древесном угле в частных домах и на предприятиях общественного питания. Модель сочетает в себе 5 видов оборудования для высокотемпературного приготовления пищи: мангал, тандыр, барбекю, гриль и коптильня. Корпус покрыт специальной глазурью, защищающей от выцветания на солнце и воздействия атмосферных осадков. </p>

<p><em>При эксплуатации гриля НЕ используйте жидкость для розжига и прессованный уголь, используйте только сухой спирт или специальные брикеты для розжига и топите ДРЕВЕСНЫМ углем.</em></p>

<p><b>Комплектация:</b></p>

<ul>
<li>Чугунная вентиляционная крышка</li>
<li>Термометр</li>
<li>Бамбуковая ручка</li>
<li>Камень для выпечки</li>
<li>Система Smart Grid Pro Series:
<ul>
<li>Решетка из нержавеющей стали </li>
<li>Кольцо для решеток Smart Grid</li>
<li>Лотки для сбора жира </li>
<li>Отсекатель жара</li>
<li>Каркас системы Smart Grid</li>
<li>Ручки для поднятия системы Smart Grid</li>
</ul>
</li>
<li>Корзина с разделителем</li>
<li>Верхнее шамотное кольцо</li>
<li>Сегментированная футеровка Pro Series с зольником</li>
<li>Совок для сбора золы</li>
<li>Чугунный колосник</li>
<li>Адаптер для установки вентилятора</li>
<li>Система подачи щепы для копчения</li>
<li>Ручка для снятия решетки гриля</li>
<li>Направляющая для подачи щепы</li>
<li>3 керамические ножки </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>​Внешний термометр определяет и контролирует температуру внутри гриля на протяжении всего процесса приготовления блюда</li>
<li>Новая система Smart Grid System позволяет располагать решетку на 4-х уровнях</li>
<li>Отсекатель жара, решетка, и поддоны для жидкостей разделены на 2 полукруга, что позволяет комбинировать стили приготовления и одновременно создавать в гриле 2 зоны приготовления:
<ul>
<li>Прямой грилинг (от прямого жара углей) </li>
<li>Косвенный грилинг (от температуры под куполом как в печи)</li>
</ul>
</li>
<li>Конструкция со специальным закрываемым отверстием в середине корпуса, через которое можно подсыпать ароматную щепу</li>
<li>Новая система уплотнения корпуса и крышки гриля: по радиусу корпуса гриля располагается лента из нержавеющей стали на войлочной подушке, а на крышке уплотнение сделано из кевларового профиля с расположенной внутри него вольфрамовой пружиной</li>
<li>Купол с крышкой для регуляции подачи воздуха</li>
<li>Удобное и легкое открывание крышки</li>
<li>Фланец для крепления вентилятора системы BBQ Guru</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Электрический розжиг</li>
<li>Защитный чехол</li>
</ul>",256967,,720 мм,800 мм,850 мм,168 кг,Германия,1,864x960x1020 мм,0,https://entero.ru/manuals/316580/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20Grill%20LeCHEF%20PRO-Serie%202.0.png,347872,,140 кг,,,
