Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Количество уровней,Потребляемая мощность,Загрузка камеры,Тип гастроемкости
https://cdn.entero.ru/mp@2x/8a/84/8a848dbcb8f0b3d868a6f32c2cb5ba20.jpg;https://cdn.entero.ru/mp@2x/ef/01/ef0101218d3743ba5cd33abc3f692b95.jpg;https://cdn.entero.ru/mp@2x/47/d1/47d15db2864a817b05d1ea297532d2e7.jpg;https://cdn.entero.ru/mp@2x/eb/bc/ebbcad22a17bb7ed535ba142bc719507.jpg;https://cdn.entero.ru/mp@2x/01/be/01be86cfc0571358c58133ee165d1290.jpg;https://cdn.entero.ru/mp@2x/2c/10/2c100d8af602caa191943b7c32d714bc.jpg;https://cdn.entero.ru/mp@2x/b0/13/b0136e64712a22aceed9bbff2c93843f.jpg;https://cdn.entero.ru/mp@2x/81/a0/81a0cf840e911f9d9c0059aad45a3ef7.jpg;https://cdn.entero.ru/mp@2x/0e/24/0e24354df2108ac93fed065cc5a7365b.jpg;https://cdn.entero.ru/mp@2x/e6/01/e6014da7f0fb26918e45e72695b4f6e7.jpg;https://cdn.entero.ru/mp@2x/26/ce/26ce3547df9936d8a73314e43526cb2c.jpg;https://cdn.entero.ru/mp@2x/ec/7d/ec7d1f835d9769e94cda97228c41bf48.jpg;https://cdn.entero.ru/mp@2x/6b/f5/6bf5733bc298f9917c810065d0fcabff.jpg;https://cdn.entero.ru/mp@2x/db/4e/db4e9394f5a51d750bc4b5470058a9c5.jpg;https://cdn.entero.ru/mp@2x/79/99/7999dad2af5b6013c2aa057775058b26.jpg;https://cdn.entero.ru/mp@2x/b2/ea/b2ea223647ea754a456ab856c903e1d0.jpg;https://cdn.entero.ru/mp@2x/5c/7c/5c7cc062988654d307e2ba95bb6da435.jpg;https://cdn.entero.ru/mp@2x/63/d4/63d45c8253b8328de791eeef0c0a3cf6.jpg;https://cdn.entero.ru/mp@2x/16/9c/169c4885ad4ae2a259ae70b37998ebfb.jpg,Термокамера Hobbi Smoke 90,Термокамера Hobbi Smoke 90,157000,RUB,Да,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/254218,"<p>Термокамера <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/254218"">Hobbi Smoke 90</a></b> предназначена для приготовления мяса, рыбы, птицы и овощей методом холодного или горячего копчения на предприятиях общественного питания и торговли. Модель оснащена дымогенератором и отверстием для выхода дыма. Корпус выполнен из нержавеющей стали AISI 430 и AISI 304.</p>

<p>В комплект поставки входят вешала из алюминия, крючки и решетки.</p>

<p><b class=""o""><a href=""https://entero.ru/list/1440?f%5B11222%5D%5B%5D=%D0%B4%D1%8B%D0%BC%D0%BE%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80"">Дымогенератор</a> в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b class=""o"">Минимальный заказ: 3 шт.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Функции:
<ul>
<li>Отепление</li>
<li>Обсушка</li>
<li>Обжарка</li>
<li>Конвекция</li>
<li>Варка (при 100% влажности в камере)</li>
</ul>
</li>
<li>Корпус: двухслойный, термостойкий</li>
<li>Регулировка температуры</li>
<li>Датчик температуры внутри камеры</li>
<li>Датчик термощуп продукта</li>
<li>Отверстие входа воздуха</li>
<li>Заслонка выхода дыма</li>
<li>Сливное отверстие</li>
<li>Поставляется в собранном виде, сразу готов к использованию</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 90 л</li>
<li>Внутренние размеры камеры: 360х290х770 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",254218,печь-коптильня,120 °С,220 В,2.6 кВт,500 мм,700 мм,1300 мм,,Россия,,,0,https://entero.ru/manuals/311436/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hobbi%20Smoke.pdf,165263,,50 кг,"для холодного копчения, для горячего копчения",19,,,
https://cdn.entero.ru/mp@2x/ba/77/ba77ebe58481458af7fd8cc8de4f7449.jpg;https://cdn.entero.ru/mp@2x/b6/4c/b64c734f12bd223c91c28a8607011391.jpg;https://cdn.entero.ru/mp@2x/fd/3c/fd3c582b68e0c4468842ead23c2ae786.jpg;https://cdn.entero.ru/mp@2x/9f/b6/9fb6f86261d8bed431797fe2e113299a.jpg;https://cdn.entero.ru/mp@2x/38/8e/388e4060ad4c22c98148b99f016403e9.jpg;https://cdn.entero.ru/mp@2x/07/1a/071accd3a79866e2e6feb2d5ac399295.jpg;https://cdn.entero.ru/mp@2x/d2/69/d26923337d7c4ac578a27d224e02d553.jpg;https://cdn.entero.ru/mp@2x/8b/f8/8bf84238315c9cd76c664bf0eeae8c1f.jpg;https://cdn.entero.ru/mp@2x/15/b5/15b5f802fdeb5a6b228a5c1974fefb61.jpg,Печь низкотемпературная RoboLabs ISTOMA-EM,ИСТОМА-ЕМ 87230/170122,296419,RUB,Да,RoboLabs,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/38231,"<p>Низкотемпературная печь с функцией копчения <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/38231"">RoboLabs ISTOMA-EM</a></b> предназначена для деликатного приготовления и хранения продуктов на предприятиях общественного питания и торговли. Равномерное распределение тепла по камере без принудительной конвекции 3D Surround Heat позволяет сохранить естественную влажность продукта, сохраняя насыщенность вкуса.</p>

<p>В комплект поставки входят 2 полки-решетки, поддон, съемный жиросборник, контейнер для щепы и 4 колеса.</p>

<p><b><span style=""color:#ff0033;"">Гастроемкости в комплект поставки не входят и приобретаются отдельно.</span></b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронное управление с цифровым дисплеем и датчик-щуп</li>
<li>Режимы приготовления, хранения или копчения программируются с помощью 8 кнопок меню и сохраняются в памяти</li>
<li>Возможность сохранения в памяти следующих параметров: температура приготовления до 140 °С и хранения до 95 °С; время приготовления до 24 часов, время копчения до 1,5 часов, температура щупа до 95 °С</li>
<li>Печь томления позволяет осуществлять ароматизацию блюд как в режиме горячего так и режиме холодного копчения натуральной щепой</li>
<li>Равномерное распределение с помощью нагревательных элементов, которые располагаются по периметру камеры</li>
<li>При достижении установленных параметров печь автоматически переходит из режима приготовления в режим хранения</li>
<li>Во время приготовления с использованием датчика-щупа печь автоматически перейдет в режим хранения при достижении заданной температуры внутри продукта</li>
<li>Дверца со стеклом и со специальными отверстиями в верхней и нижней части для циркуляции воздуха</li>
<li>При копчении данные отверстия рекомендуется закрывать, для этого предусмотрен специальных механизм</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 190 л</li>
<li>Внутренний размер камеры: 560х660х520 мм</li>
<li>Расстояние между направляющими: 40 мм</li>
</ul>",38231,печь-коптильня,,220 В,2.8 кВт,660 мм,800 мм,830 мм,,Россия,,,8,https://entero.ru/manuals/417265/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RoboLabs%20ISTOMA-EM.pdf;https://entero.ru/manuals/417266/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417267/%D0%A1%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0%20%D0%BE%20%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B0%D1%85%20%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%BF%D0%B5%D1%87%D0%B8.pdf;https://entero.ru/manuals/417268/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,315339,,70 кг,"для горячего копчения, для холодного копчения",10,,45 кг,GN 2/1
https://cdn.entero.ru/mp@2x/94/87/94875145e7139374b0b2b3ea9d98e54e.jpg,Печь низкотемпературная RoboLabs ISTOMA MINI,85195/171429,256467,RUB,Да,RoboLabs,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/51101,"<p>Низкотемпературная печь с функцией копчения <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51101""><b class=""b"">ТТМ ISTOMA MINI</b></a> предназначена для приготовления продуктов в деликатном режиме. Равномерное распределение тепла по камере без принудительной конвекции 3D Surround Heat позволяет сохранить естественную влажность продукта, сохраняя насыщенность вкуса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронное управление с цифровым дисплеем и датчик-щуп</li>
<li>Программирование режимов приготовления, хранения или копчения с помощью 7 кнопок меню</li>
<li>Возможность сохранения в памяти следующих параметров: температура приготовления до 140 °С и хранения до 95 °С; время приготовления до 24 часов, время копчения до 1,5 часов, температура щупа до 95 °С</li>
<li>Функция горячего и холодного копчения</li>
<li>Дверца со стеклом и со специальными отверстиями в верхней и нижней части для циркуляции воздуха</li>
<li>В комплекте: 2 полки-решетки, поддон, съемный жиросборник, контейнер для щепы и 4 поворотных колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 100 л</li>
<li>Внутренний размер камеры: 360х520х560 мм</li>
<li>Расстояние между направляющими: 40 мм</li>
</ul>",51101,печь-коптильня,,220 В,2 кВт,460 мм,710 мм,830 мм,,Россия,,,0,,278768,,60 кг,"для горячего копчения, для холодного копчения",10,,15 кг,GN 1/1
https://cdn.entero.ru/mp@2x/5c/b7/5cb73f2f562592c40422061cc92134cf.jpg;https://cdn.entero.ru/mp@2x/9c/6c/9c6ca30d3cc42c80ed3b780f7bb21010.jpg;https://cdn.entero.ru/mp@2x/dc/89/dc89d4949a9293ce58da509cbf2d05ca.jpg;https://cdn.entero.ru/mp@2x/36/8d/368d02060cb918f2ef16ee5b16cb53f8.jpg;https://cdn.entero.ru/mp@2x/94/73/9473cdd18e2d636d277483c69cfbd500.jpg;https://cdn.entero.ru/mp@2x/f0/00/f0001ed2f26b36f46e5cd24dddf20df3.jpg;https://cdn.entero.ru/mp@2x/b2/b6/b2b655959b8e180286f4e965bd734ddb.jpg;https://cdn.entero.ru/mp@2x/6c/80/6c809120b03a5b2bb20dce5f40f635f2.jpg;https://cdn.entero.ru/mp@2x/f5/26/f52644a3481860a540c202c19ce9df00.jpg;https://cdn.entero.ru/mp@2x/a9/55/a955aae4d11063335c450ec0904c8da9.jpg;https://cdn.entero.ru/mp@2x/e5/13/e5139223815885197c11aa028649d148.jpg;https://cdn.entero.ru/mp@2x/71/80/7180b3aed4582d2342a9cc26e71cdce5.jpg;https://cdn.entero.ru/mp@2x/8e/c1/8ec18dc03d3039f0a5de259547151d04.jpg;https://cdn.entero.ru/mp@2x/44/38/4438bd9dd4f7519bc7adc91654889e54.jpg;https://cdn.entero.ru/mp@2x/33/e2/33e25c9dddf44af06e0cbcfab2030463.jpg;https://cdn.entero.ru/mp@2x/0f/52/0f527e10485ebdd232ce908d578166d2.jpg;https://cdn.entero.ru/mp@2x/cb/5d/cb5de9e48531fc35acc107c5dc8c36a8.jpg;https://cdn.entero.ru/mp@2x/f3/7f/f37fef36beee5d1a2bf5db7a2b7c2b14.jpg;https://cdn.entero.ru/mp@2x/a9/cb/a9cb346ab735c957a77221da9d09deb7.jpg,Термокамера Hobbi Smoke 320,Термокамера Hobbi Smoke 320,258000,RUB,Да,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/254219,"<p>Термокамера <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/254219"">Hobbi Smoke 320</a></b> предназначена для приготовления мяса, рыбы, птицы и овощей методом холодного или горячего копчения на предприятиях общественного питания и торговли. Модель оснащена дымогенератором и отверстием для выхода дыма. Корпус выполнен из нержавеющей стали AISI 430 и AISI 304.</p>

<p>В комплект поставки входят вешала из алюминия, крючки и решетки.</p>

<p><b class=""o""><a href=""https://entero.ru/list/1440?f%5B11222%5D%5B%5D=%D0%B4%D1%8B%D0%BC%D0%BE%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80"">Дымогенератор</a> в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b class=""o"">Минимальный заказ: 3 шт.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Функции:
<ul>
<li>Отепление</li>
<li>Обсушка</li>
<li>Обжарка</li>
<li>Конвекция</li>
<li>Варка (при 100% влажности в камере)</li>
</ul>
</li>
<li>Корпус: двухслойный, термостойкий</li>
<li>Регулировка температуры</li>
<li>Датчик температуры внутри камеры</li>
<li>Датчик термощуп продукта</li>
<li>Отверстие входа воздуха</li>
<li>Заслонка выхода дыма</li>
<li>Сливное отверстие</li>
<li>Поставляется в собранном виде, сразу готов к использованию</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 320 л</li>
<li>Внутренние размеры камеры: 560х515х1100 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",254219,печь-коптильня,120 °С,220 В,2.6 кВт,700 мм,1100 мм,1700 мм,,Россия,,,0,https://entero.ru/manuals/311437/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hobbi%20Smoke.pdf,,,100 кг,"для холодного копчения, для горячего копчения",26,,,
https://cdn.entero.ru/mp@2x/9c/46/9c466bff8582cb150b7fbb64f43cbc37.jpg;https://cdn.entero.ru/mp@2x/c5/5e/c55e04d75f17703abde810843dfd74a6.jpg;https://cdn.entero.ru/mp@2x/47/19/471983fa843506e906e641af68e05715.jpg;https://cdn.entero.ru/mp@2x/76/e8/76e81ccf03de5533ea577bd494ad82c0.jpg;https://cdn.entero.ru/mp@2x/71/e0/71e0084fbbeba5e9dd7f91bd52e0b6c6.jpg;https://cdn.entero.ru/mp@2x/f1/0c/f10ce928f218c1564cc9a838c6d7ed1c.jpg;https://cdn.entero.ru/mp@2x/08/68/0868ac7517911e351241d0a08cc16794.jpg;https://cdn.entero.ru/mp@2x/e4/ec/e4ecce9e18f601ce96231c963746c2a5.jpg;https://cdn.entero.ru/mp@2x/6d/b3/6db33664ed8ce359072b90af2079e072.jpg;https://cdn.entero.ru/mp@2x/1a/60/1a60fa9776df8f81100637dce3f73d12.jpg,Камера коптильная Hobbi Smoke Супер,Камера коптильная Hobbi Smoke Супер,63000,RUB,Да,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/254217,"<p>Коптильная камера <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/254217"">Hobbi Smoke Супер</a></b> используется совместно с дымогенератором, предназначена для размещения мяса, рыбы, птицы и овощей и приготовления их методом холодного или горячего копчения на предприятиях общественного питания и торговли. Модель оснащена отверстием для выхода дыма, универсальным отверстием для крепления дымогенератора, вешалами из алюминия, решетками и крючками. Корпус выполнен из нержавеющей стали AISI 430 и AISI 304.</p>

<p><b class=""o""><a href=""https://entero.ru/list/1440?f%5B11222%5D%5B%5D=%D0%B4%D1%8B%D0%BC%D0%BE%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80"">Дымогенератор</a> в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b class=""o"">Минимальный заказ: 3 шт.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Функции:
<ul>
<li>Отепление</li>
<li>Обсушка</li>
<li>Обжарка</li>
<li>Конвекция</li>
</ul>
</li>
<li>Корпус: двухслойный, термостойкий</li>
<li>Регулировка температуры</li>
<li>Датчик температуры внутри камеры</li>
<li>Воздухозабор через вход дымогенератора </li>
<li>Заслонка выхода дыма</li>
<li>Поддон для сбора жира</li>
<li>Сливное отверстие</li>
<li>Поставляется в собранном виде, сразу готов к использованию</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 90 л</li>
<li>Внутренние размеры камеры: 440х265х745 мм</li>
</ul>",254217,печь-коптильня,110 °С,,,600 мм,420 мм,960 мм,,Россия,,,0,https://entero.ru/manuals/311431/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hobbi%20Smoke.pdf,,,31 кг,"для холодного копчения, для горячего копчения",4,,,
https://cdn.entero.ru/mp@2x/04/02/040246d3a7bd55c439991dde82887c8f.jpg;https://cdn.entero.ru/mp@2x/9c/c4/9cc46e2a9fe447048fd0de79f0e3fed7.jpg,Печь-коптильня Sikom КР-1.60,Печь-коптильня Sikom КР-1.60,78326,RUB,Да,Sikom,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/23275,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23275"">Sikom КР-1.60</a></b> используется на предприятиях общественного питания и торговли, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров, для производства продуктов горячего и холодного копчения. Модель оснащена электромеханической панелью управления, 2 полками-решетками и терморегулятором. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 полки-решетки 325х845 мм, съемный поддон-жиросборник и съемный лоток для щепы.</p>

<p><b class=""o"">Гастроемкости GN 2/3 в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Сигнальные индикаторы нагрева</li>
<li>Терморегулятор</li>
<li>Таймеры включения ТЭНа и установки времени горячего копчения</li>
<li>Возможность эксплуатации в качестве жарочного шкафа</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 60 л </li>
<li>Градус открытия дверцы: 90°</li>
<li>Габариты в упаковке: 570х1020х360 мм</li>
</ul>

<p><em>Поверхность, на которую устанавливается печь, должна быть термостойкой и выдерживать температуру минимум 150°C.</em></p>",23275,печь-коптильня,,220 В,4 кВт,500 мм,990 мм,340 мм,43 кг,Россия,1,570x1020x360 мм,0,https://entero.ru/manuals/10531/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20%D0%A1%D0%98%D0%9A%D0%9E%D0%9C%20%D0%9A%D0%A0-1.60.pdf,81590,https://vk.com/video_ext.php?oid=-177656185&id=456240011&hd=2&autoplay=0,34 кг,"для горячего копчения, для холодного копчения",2,,,GN 2/3
https://cdn.entero.ru/mp@2x/10/59/105934392e0a443c189c8a022844e1f2.jpg;https://cdn.entero.ru/mp@2x/2f/6c/2f6cb8a2d70e10babd412a3b5a2483bb.jpg;https://cdn.entero.ru/mp@2x/17/af/17af53b2c24986acc98211e05f7dd117.jpg,Печь-коптильня Sikom КР-7.90,КР -7.90,99412,RUB,Да,Sikom,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/120827,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120827"">Sikom КР-7.90</a></b> используется на предприятиях общественного питания и торговли, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров, для производства продуктов горячего и холодного копчения. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят:</p>

<ul>
<li>Поддон</li>
<li>Экран</li>
<li>Лоток для щепы</li>
<li>2 подвеса</li>
<li>3 решетки</li>
<li>Адаптер для подключения дополнительного дымогенератора</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая панель управления</li>
<li>Сигнальные индикаторы нагрева</li>
<li>Терморегулятор</li>
<li>Таймер включения ТЭНа для нагрева щепы</li>
<li>Таймер для установки времени горячего копчения</li>
<li>Дверца коптильни открывается на 90°</li>
<li>Легкосъемные направляющие можно мыть в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Полезный объем: 60 л</li>
<li>Размер камеры: 360х540х500 мм</li>
<li>Габариты в упаковке: 530х760х780 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Автоматизированный блок подачи брикетов <a href=""https://entero.ru/item/122624"">КР-7.A</a></li>
<li>Генератор дыма <a href=""https://entero.ru/item/122625"">КР-7.ХК</a></li>
</ul>",120827,печь-коптильня,,220 В,1.8 кВт,420 мм,700 мм,720 мм,,Россия,,,0,https://entero.ru/manuals/125222/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9A%D0%A0-7.90.pdf,104644,https://vk.com/video_ext.php?oid=-177656185&id=456239463&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239305&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239134&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239109&hd=2&autoplay=0,33 кг,"для горячего копчения, для холодного копчения",3,,от 25 до 30 кг,GN 1/1
https://cdn.entero.ru/mp@2x/39/1c/391cfb2e817f8ea29ad456f918679eec.jpg;https://cdn.entero.ru/mp@2x/73/b3/73b3efaa9eb29e2366daa14696a22405.jpg;https://cdn.entero.ru/mp@2x/04/f4/04f4c07ac38d015c51e825b4e297fa62.jpg,Печь-коптильня Sikom КР-7.150,КР -7.150,133149,RUB,Да,Sikom,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/120828,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120828"">Sikom КР-7.150</a></b> используется на предприятиях общественного питания и торговли, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров, для производства продуктов горячего и холодного копчения. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят:</p>

<ul>
<li>Поддон</li>
<li>Экран</li>
<li>Лоток для щепы</li>
<li>4 подвеса</li>
<li>6 решеток</li>
<li>Адаптер для подключения дополнительного дымогенератора</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая панель управления</li>
<li>Сигнальные индикаторы нагрева</li>
<li>Терморегулятор</li>
<li>Таймер включения ТЭНа для нагрева щепы</li>
<li>Таймер для установки времени горячего копчения</li>
<li>Дверца коптильни открывается на 90°</li>
<li>Легкосъемные направляющие можно мыть в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Полезный объем: 120 л</li>
<li>Размер камеры: 360х540х840 мм</li>
<li>Габариты в упаковке: 530х730х1100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Автоматизированный блок подачи брикетов <a href=""https://entero.ru/item/122624"">КР-7.A</a></li>
<li>Генератор дыма <a href=""https://entero.ru/item/122625"">КР-7.ХК</a></li>
</ul>",120828,печь-коптильня,,220 В,1.8 кВт,420 мм,700 мм,1060 мм,47 кг,Россия,1,730x540x1090 мм,0,https://entero.ru/manuals/125221/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9A%D0%A0-7.150.pdf,138697,https://vk.com/video_ext.php?oid=-177656185&id=456239463&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239305&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239134&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239109&hd=2&autoplay=0,44 кг,для горячего копчения,6,,от 50 до 65 кг,GN 1/1
https://cdn.entero.ru/mp@2x/14/5d/145d913dd01cd02caeaee8d6986ab580.jpg,Аппарат для копчения Hurakan HKN-SMG,Аппарат для копчения Hurakan HKN-SMG,6588,RUB,Да,Hurakan,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/198120,"<p>Аппарат для копчения <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198120""><b class=""b"">Hurakan HKN-SMG</b></a> используется на предприятиях общественного питания и торговли для холодного и горячего копчения мяса, рыбы, птицы, сыров, масла и других продуктов.</p>",198120,дымогенератор,,,,90 мм,55 мм,110 мм,1 кг,Китай,1,100x65x118 мм,39,https://entero.ru/manuals/412738/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241459&hash=40f7ff63e132858b,,для холодного копчения,,,,
https://cdn.entero.ru/mp@2x/56/cd/56cde11d08c19950fa2b5be956afef4e.jpg,Коптильная камера Hualian DSH-S08 (9 уровней),Коптильная камера Hualian DSH-S08 (9 уровней),70774,RUB,Да,Hualian,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/289978,"<p>Коптильная камера <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/289978""><b class=""b"">Hualian DSH-S08 </b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для горячего и холодного копчения мяса, колбасных изделий, вяления морепродуктов, приготовления сыров, а также сушки фруктов, грибов, зелени и других пищевых продуктов. Модель оснащена 9 решетчатыми полками для размещения продуктов, дымоходом и панелью управления с информативным дисплеем индикации. Корпус выполнен из высококачественной нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры </li>
<li>Таймер для настройки длительности работы </li>
<li>Цифровая индикация параметров</li>
<li>Простое управление благодаря интуитивно понятному интерфейсу</li>
<li>Эффективная теплоизоляция для энергосбережения</li>
<li>Надежная фиксация двери с помощью механических петельных защелок</li>
<li>Устойчивые нескользящие опоры</li>
<li>Эргономичный лаконичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки длительности работы: от 0 до 12 ч</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера с электромеханическим управлением.</span></em></p>",289978,"печь-коптильня, дымогенератор",от 30 до 135 °С,,1 кВт,500 мм,400 мм,1300 мм,,Китай,,,0,,73723,,164 кг,для горячего копчения,9,,,
