Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Установка,Линия 700,Линия 900,Оснащение,Рабочая поверхность,Количество конфорок,Температурный режим духовки,Газ-контроль
https://cdn.entero.ru/mp@2x/c7/36/c736182ee9ecb7fe54d2d893e0ff1aba.jpg,Плита газовая Abat ПГК-49П,21000802166 / ПГК-49П-II-А,160446,RUB,Да,Abat,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/47617,"<p>Газовая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47617"">Abat ПГК-49П</a></b> предназначена для приготовления различных блюд в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена газ-контролем и регулируемыми по высоте ножками.</p>

<p>Корпус выполнен из высококачественной нержавеющей стали, решетки - из чугуна.</p>

<p>В комплект поставки входят съемные форсунки под сжиженный газ.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность горелок: 
<ul>
<li>3х 5,5 кВт</li>
<li>1х 7,5 кВт</li>
</ul>
</li>
<li>Расход газа:
<ul>
<li>Природный: 2,54 м<sup>3</sup>/ч</li>
<li>Сжиженный: 1,864 кг/ч</li>
</ul>
</li>
<li>Давление газа:
<ul>
<li>Природный: 1275 Па</li>
<li>Сжиженный: 2942 Па</li>
</ul>
</li>
</ul>",47617,24 кВт,800 мм,900 мм,970 мм,,Россия,,,0,https://entero.ru/manuals/104726/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%93%D0%9A-49%D0%9F.pdf;https://entero.ru/manuals/104725/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%93%D0%9A-49%D0%9F.pdf;https://entero.ru/manuals/104727/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,170687,,93 кг,напольная,,,подставка (стенд),секционная,4,,
https://cdn.entero.ru/mp@2x/ba/f5/baf59e569bbb0351a1c60ca2070cb4d5.jpg,Плита газовая Abat ПГК-69П,21000802167 / ПГК-69П-II-А,226540,RUB,Да,Abat,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/47633,"<p>Газовая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47633"">Abat ПГК-69П</a></b> предназначена для приготовления различных блюд в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена газ-контролем и регулируемыми по высоте ножками.</p>

<p>Корпус выполнен из высококачественной нержавеющей стали, решетки - из чугуна.</p>

<p>В комплект поставки входят съемные форсунки под сжиженный газ.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность горелок: 
<ul>
<li>4х 5,5 кВт</li>
<li>2х 7,5 кВт</li>
</ul>
</li>
<li>Расход газа:
<ul>
<li>Природный: 3,704 м<sup>3</sup>/ч</li>
<li>Сжиженный: 2,718 кг/ч</li>
</ul>
</li>
<li>Давление газа:
<ul>
<li>Природный: 1275 Па</li>
<li>Сжиженный: 2942 Па</li>
</ul>
</li>
</ul>",47633,37 кВт,1200 мм,900 мм,970 мм,,Россия,,,0,https://entero.ru/manuals/104729/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%93%D0%9A-69%D0%9F.pdf;https://entero.ru/manuals/104728/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%93%D0%9A-69%D0%9F.pdf;https://entero.ru/manuals/104730/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,241000,,132 кг,напольная,,,подставка (стенд),секционная,6,,
https://cdn.entero.ru/mp@2x/55/b4/55b4e5e880527c38d4fee711bac279d1.jpg;https://cdn.entero.ru/mp@2x/8d/ad/8dadca593ede1deffaa54e9ebf7b5c18.jpg;https://cdn.entero.ru/mp@2x/4d/d5/4dd5beb4f8d5df70dec1c2422a733ec6.jpg,Плита газовая Abat ПГК-49ЖШ,21000801314,235273,RUB,Да,Abat,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/26019,"<p>Газовая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26019"">Abat ПГК-49ЖШ</a></b> предназначена для приготовления различных блюд в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена газ-контролем, пьезорозжигом и регулируемыми по высоте ножками.</p>

<p>Корпус выполнен из высококачественной нержавеющей стали, решетки - из чугуна.</p>

<p>В комплект поставки входят съемные форсунки под сжиженный газ, противень и решетка размером GN 2/1 .</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность : 
<ul>
<li>Горелки:
<ul>
<li>3х 5,5 кВт</li>
<li>1х 7,5 кВт</li>
</ul>
</li>
<li>Духовой шкаф: от 1,6 до 8 кВт</li>
</ul>
</li>
<li>Расход газа:
<ul>
<li>Природный: 3,387 м<sup>3</sup>/ч</li>
<li>Сжиженный: 2,486 кг/ч</li>
</ul>
</li>
<li>Давление газа:
<ul>
<li>Природный: 1275 Па</li>
<li>Сжиженный: 2942 Па</li>
</ul>
</li>
<li>Внутренний размер духовки: 575х720х400 мм</li>
<li>Вместимость гастроемкостей: 4х GN 2/1 (650x530 мм) </li>
</ul>",26019,32 кВт,800 мм,900 мм,970 мм,,Россия,,,0,https://entero.ru/manuals/104736/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%93%D0%9A-49%D0%96%D0%A8.pdf;https://entero.ru/manuals/414833/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%93%D0%9A-49%D0%96%D0%A8.pdf;https://entero.ru/manuals/414834/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,245076,,135 кг,напольная,,,газовый духовой шкаф,секционная,4,от 100 до 300 °С,
https://cdn.entero.ru/mp@2x/0e/76/0e760351296b5bee086fd7d8b9ab0df8.jpg,Плита газовая KAYMAN ПГ-4-11,Плита газовая KAYMAN ПГ-4-11,121711,RUB,Да,KAYMAN,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/84522,"<p>Газовая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84522"">KAYMAN ПГ-4-11</a></b> предназначена для приготовления приготовления первых, вторых и третьих блюд в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена системой ""газ-контроль"" и автоподжигом. Плита и разборная подставка выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность конфорки: 3х 6,5 + 1х 9 кВт</li>
<li>​Габариты в упаковке: 890х890х600 мм</li>
</ul>",84522,28.5 кВт,800 мм,800 мм,1050 мм,,Россия,,,0,,126782,,80 кг,напольная,,,подставка (стенд),секционная,4,,
https://cdn.entero.ru/mp@2x/bc/de/bcde58c4c9df49a717072f4d54e4f941.jpg,Плита газовая Apach APRG-77T/PL,Плита газовая Apach APRG-77T/PL,144972,RUB,Да,Apach,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/252028,"<p>Газовая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/252028"">Apach APRG-77T/PL</a></b> 700-й серии для приготовления различных блюд из мяса, птицы, рыбы и овощей в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления и гидроизолированной прессованной поверхностью. Корпус, рабочая поверхность, панель управления и вытяжная решетка выполнены из нержавеющей стали AISI 304, боковые и задняя панели - из нержавеющей стали AISI 430, решетки выполнены из чугуна, горелки - из эмалированного чугуна, распределительные головки - из латуни.</p>

<p>В комплект поставки входят форсунки для подключения к газовому баллону.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Горизонтальное пламя для равномерного распределения тепла и деликатного приготовления</li>
<li>Стабилизатор пламени</li>
<li>Защищенная пилотная горелка</li>
<li>Система газ-контроль</li>
<li>Отдельные решетки для каждой конфорки</li>
<li>Края для сбора жидкости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность конфорок: 4х 7 кВт</li>
<li>Габариты в упаковке: 790х790х500 мм</li>
</ul>",252028,28 кВт,700 мм,700 мм,250 мм,50 кг,Италия,1,790x790x500 мм,0,https://entero.ru/manuals/309237/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20APRG-77T.pdf;https://entero.ru/manuals/309238/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20APRG-77T.pdf;https://entero.ru/manuals/309239/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BA%D0%BE%D0%BD%D1%84%D0%BE%D1%80%D0%BA%D0%B8%20Flex.jpg;https://entero.ru/manuals/309240/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/309242/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%20Cook%20Line.pdf,,,43 кг,настольная,,,,секционная,4,,
https://cdn.entero.ru/mp@2x/d6/5f/d65f3a9ef177b25a96351be752e8c6dd.jpg,Плита газовая Grill Master Ф6ПГ/800 на подставке,50005 / 130079,223150,RUB,Да,Grill Master,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/88456,"<p>Газовая плита <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88456""><b class=""b"">Grill Master Ф6ПГ/800</b></a> предназначена для приготовления широкого спектра блюд на предприятиях общественного питания и торговли. Открытая конструкция с нейтральной полкой позволяет использовать это пространство для хранения посуды и необходимых для готовки аксессуаров и приспособлений. Модель оснащена ручками подачи газа нового дизайна и большего диаметра с удобным хватом. Корпус и разборная подставка выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 профессиональных горелок класса Heavy Duty</li>
<li>Газ-контроль всех горелок плиты</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Мощность конфорок: 4х 6,5 + 2х 9 кВт</li>
<li>Габариты в упаковке: 1330х950х600 мм</li>
</ul>",88456,44 кВт,1180 мм,800 мм,900 мм,,Россия,,,0,https://entero.ru/manuals/91296/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A46%D0%9F%D0%93_800.docx,,,,напольная,,,подставка (стенд),секционная,6,,
https://cdn.entero.ru/mp@2x/94/6f/946f225fc92f0bc523036daa2e390acd.jpg;https://cdn.entero.ru/mp@2x/da/a2/daa279349f048e3b343c633c800dff96.jpg,Плита газовая Abat ПГК-47Н,21000801317,140118,RUB,Да,Abat,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/24929,"<p>Газовая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/24929"">Abat ПГК-47Н</a></b> предназначена для приготовления различных блюд в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Корпус выполнен из высококачественной нержавеющей стали, решетки - из чугуна.</p>

<p>В комплект поставки входят съемные форсунки под сжиженный газ.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность горелок: 
<ul>
<li>3х 3 кВт</li>
<li>1х 5,5 кВт</li>
</ul>
</li>
<li>Расход газа:
<ul>
<li>Природный: 1,533 м<sup>3</sup>/ч</li>
<li>Сжиженный: 1,135 кг/ч</li>
</ul>
</li>
<li>Давление газа:
<ul>
<li>Природный: 1275 Па</li>
<li>Сжиженный: 2942 Па</li>
</ul>
</li>
</ul>",24929,14.5 кВт,800 мм,750 мм,470 мм,,Россия,,,0,https://entero.ru/manuals/104722/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%93%D0%9A-47%D0%9D.jpg;https://entero.ru/manuals/416952/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%93%D0%9A-47%D0%9D.pdf;https://entero.ru/manuals/416953/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,152302,,74 кг,настольная,,,,секционная,4,,
https://cdn.entero.ru/mp@2x/fd/e5/fde5d6b2ca478bb6129a6ef0240c9945.jpg,Плита газовая Apach APRG-117P/PL,Плита газовая Apach APRG-117P/PL,263036,RUB,Да,Apach,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/248588,"<p>Газовая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/248588"">Apach APRG-117P/PL</a></b> 700-й серии предназначена для приготовления различных блюд из мяса, птицы, рыбы и овощей в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления, гидроизолированной прессованной поверхностью и открытой подставкой с регулируемыми по высоте ножками. Корпус, рабочая поверхность и панель управления выполнены из нержавеющей стали, решетки - из чугуна.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Горизонтальное пламя для равномерного распределения тепла и деликатного приготовления</li>
<li>Стабилизатор пламени</li>
<li>Защищенная пилотная горелка</li>
<li>Отдельные решетки для каждой конфорки</li>
<li>Края для сбора жидкости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность конфорок: 6х 7 кВт</li>
<li>Габариты в упаковке: 1150х830х1120 мм</li>
</ul>",248588,42 кВт,1100 мм,700 мм,850 мм,89 кг,Италия,1,1150x830x1120 мм,0,https://entero.ru/manuals/303554/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20APRG-117P_PL.pdf;https://entero.ru/manuals/303555/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BA%D0%BE%D0%BD%D1%84%D0%BE%D1%80%D0%BA%D0%B8%20Flex.jpg;https://entero.ru/manuals/303558/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/303561/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach.pdf,,https://www.youtube.com/embed/1Odl8VAyDi0?rel=0,74 кг,напольная,,,подставка (стенд),секционная,6,,
https://cdn.entero.ru/mp@2x/be/53/be53a8d1c088c8a0e4f2b37513b7f6af.jpg,Плита газовая Kocateq CG87P,34652,79134,RUB,Да,Kocateq,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/314443,"<p>Газовая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/314443"">Kocateq CG87P</a></b> предназначена для приготовления широкого спектра блюд в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена разборным стендом. Конфорка для установки посуды изготовлена из чугуна, корпус - из нержавеющей стали AISI 430.</p>

<p>В комплект поставки входят форсунки для работы на природном или балонном газе.</p>

<p>Поставляется в разобранном виде.</p>

<p> </p>

<p> </p>",314443,28 кВт,800 мм,700 мм,850 мм,,Турция,,,0,https://entero.ru/manuals/377454/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/377458/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82.pdf;https://entero.ru/manuals/407502/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20CG87P.docx,,,50 кг,напольная,Да,,подставка (стенд),,4,330 °С,
https://cdn.entero.ru/mp@2x/4c/c7/4cc755d7e1a2ac0db6cf9015ad568fd5.jpg,Плита газовая Apach APRG-47T/PL,Плита газовая Apach APRG-47T/PL,85736,RUB,Да,Apach,Профоборудование,Тепловое,Плиты газовые,https://entero.ru/item/252029,"<p>Газовая плита <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/252029""><b class=""b"">Apach APRG-47T/PL</b></a> 700-й серии для приготовления различных блюд из мяса, птицы, рыбы и овощей в наплитной посуде на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления и гидроизолированной прессованной поверхностью. Корпус, рабочая поверхность, панель управления и вытяжная решетка выполнены из нержавеющей стали AISI 304, боковые и задняя панели - из нержавеющей стали AISI 430, решетки выполнены из чугуна, горелки - из эмалированного чугуна, распределительные головки - из латуни.</p>

<p>В комплект поставки входят форсунки для подключения к газовому баллону.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Горизонтальное пламя для равномерного распределения тепла и деликатного приготовления</li>
<li>Стабилизатор пламени</li>
<li>Защищенная пилотная горелка</li>
<li>Система газ-контроль</li>
<li>Отдельные решетки для каждой конфорки</li>
<li>Края для сбора жидкости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность конфорок: 2х 7 кВт</li>
<li>Габариты в упаковке: 470х830х540 мм</li>
</ul>",252029,14 кВт,400 мм,700 мм,250 мм,30 кг,Италия,1,470x830x540 мм,0,https://entero.ru/manuals/309243/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20APRG-47T.pdf;https://entero.ru/manuals/309244/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20APRG-47T.pdf;https://entero.ru/manuals/309245/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BA%D0%BE%D0%BD%D1%84%D0%BE%D1%80%D0%BA%D0%B8%20Flex.jpg;https://entero.ru/manuals/309246/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/309248/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%20Cook%20Line.pdf,91209,,23 кг,настольная,,,,секционная,2,,
