Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Тип установки,Применение,Инфракрасный нагрев,Количество зон нагрева / ламп,Гастронормированный,Размер зоны нагрева
https://cdn.entero.ru/mp@2x/b1/0e/b10ea2fd2ab0b77006cd869962e2a981.jpg,Лампа инфракрасная Hurakan HKN-DL775 бронзовая,148275,5477,RUB,Да,Hurakan,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/71820,"<p>Инфракрасная лампа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71820""><b class=""b"">Hurakan HKN-DL775</b></a> предназначена для поддержания в горячем состоянии готовых блюд перед подачей на предприятиях общественного питания и торговли. Модель оснащена механизмом регулировки и фиксации по высоте. Корпус выполнен из крашеного металла.</p>

<p>В комплект поставки входит лампочка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр плафона: 175 мм</li>
<li>Диапазон регулировки по высоте: от 600 до 1500 мм</li>
</ul>",71820,,220 В,0.25 кВт,190 мм,190 мм,600 мм,,Китай,,,24,https://entero.ru/manuals/414062/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414063/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414064/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414065/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,1.5 кг,подвесной,для блюд,Да,1,,
https://cdn.entero.ru/mp@2x/fe/68/fe68c02f9d05b76934d5492acc9acc7a.jpg,Лампа инфракрасная Hurakan HKN-DL775 серебряная,148276,4995,RUB,Да,Hurakan,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/94224,"<p>Инфракрасная лампа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94224""><b class=""b"">Hurakan HKN-DL775</b></a> предназначена для поддержания в горячем состоянии готовых блюд перед подачей на предприятиях общественного питания и торговли. Модель оснащена механизмом регулировки и фиксации по высоте. Корпус выполнен из крашеного металла.</p>

<p>В комплект поставки входит лампочка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр плафона: 175 мм</li>
<li>Диапазон регулировки по высоте: от 600 до 1500 мм</li>
</ul>",94224,,220 В,0.25 кВт,190 мм,190 мм,600 мм,1 кг,Китай,1,260x240x380 мм,161,https://entero.ru/manuals/414067/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414068/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414069/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414071/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,1.4 кг,подвесной,для блюд,Да,1,,
https://cdn.entero.ru/mp@2x/a5/a6/a5a67cbfb1c7dc08958f23c22b1f7c58.jpg,Лампа инфракрасная Airhot IR-C-775 бронзовый,Лампа инфракрасная Airhot IR-C-775 бронзовый,5385,RUB,Да,Airhot,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/122065,"<p>Инфракрасная лампа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122065""><b class=""b"">Airhot IR-C-775</b></a> предназначена для поддержания в горячем состоянии готовых блюд перед подачей на предприятиях общественного питания и торговли. Модель оснащена механизмом регулировки и фиксации по высоте. Корпус выполнен из крашенного металла.</p>

<p>В комплект поставки входит лампочка 250 Вт.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки по высоте: от 600 до 1500 мм</li>
<li>Цвет: бронзовый</li>
</ul>",122065,,220 В,0.25 кВт,175 мм,175 мм,305 мм,1.6 кг,Китай,1,215x215x310 мм,0,https://entero.ru/manuals/128118/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IR-C-775.pdf;https://entero.ru/manuals/481631/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,1.2 кг,подвесной,для блюд,Да,1,,
https://cdn.entero.ru/mp@2x/43/da/43da34b5baff3c50251f485c69ed68d8.jpg,Лампа инфракрасная Airhot IR-C-750 бронзовый,Лампа инфракрасная Airhot IR-C-750 бронзовый,5893,RUB,Да,Airhot,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/122063,"<p>Инфракрасная лампа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122063""><b class=""b"">Airhot IR-C-750</b></a> предназначена для поддержания в горячем состоянии готовых блюд перед подачей на предприятиях общественного питания и торговли. Модель оснащена механизмом регулировки и фиксации по высоте. Корпус выполнен из крашенного металла.</p>

<p>В комплект поставки входит лампочка 250 Вт.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки по высоте: от 600 до 1500 мм</li>
<li>Цвет: бронзовый</li>
</ul>",122063,,220 В,0.25 кВт,290 мм,290 мм,285 мм,1.8 кг,Китай,1,305x300x310 мм,0,https://entero.ru/manuals/128116/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IR-C-750.pdf;https://entero.ru/manuals/481623/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,1.23 кг,подвесной,для блюд,Да,1,,
https://cdn.entero.ru/mp@2x/cd/e3/cde3be9b5fcfad3548cfd2db81c39c5a.jpg,Лампа тепловая VIATTO VIL-033 S,Лампа тепловая VIATTO VIL-033 S,5452,RUB,Да,VIATTO,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/110334,"<p>Тепловая лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110334"">VIATTO VIL-033 S</a> </b>предназначена для поддержания в горячем состоянии вторых блюд, гарниров и соусов на предприятиях общественного питания. Плафон выполнен из окрашенного металла серебристого цвета.</p>

<p>В комплект поставки входит лампочка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр плафона: 270 мм</li>
<li>Регулировка по высоте: от 600 до 1800 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",110334,,220 В,0.25 кВт,270 мм,270 мм,1800 мм,1.6 кг,Китай,1,190x190x320 мм,21,https://entero.ru/manuals/110641/%D0%9E%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%BB%D1%8F%20%D1%80%D0%B0%D0%B7%D0%B4%D0%B0%D1%87%D0%B8%20%D0%B1%D0%BB%D1%8E%D0%B4%20VIATTO.jpg;https://entero.ru/manuals/498057/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VIL-033%20S.pdf;https://entero.ru/manuals/498058/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/498059/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%20VIL-033%20S.png;https://entero.ru/manuals/498060/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%20VIL-033%20S.jpg,,,1.3 кг,подвесной,для блюд,Да,1,,
https://cdn.entero.ru/mp@2x/ff/6f/ff6fb343e7d515c144c977e7ed8e13aa.jpg,Лампа инфракрасная Hurakan HKN-DL775 черная,148277,5205,RUB,Да,Hurakan,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/94225,"<p>Инфракрасная лампа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94225""><b class=""b"">Hurakan HKN-DL775</b></a> предназначена для поддержания в горячем состоянии готовых блюд перед подачей на предприятиях общественного питания и торговли. Модель оснащена механизмом регулировки и фиксации по высоте. Корпус выполнен из крашеного металла.</p>

<p>В комплект поставки входит лампочка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр плафона: 175 мм</li>
<li>Диапазон регулировки по высоте: от 600 до 1500 мм</li>
</ul>",94225,,220 В,0.25 кВт,190 мм,190 мм,600 мм,1 кг,Китай,1,270x240x380 мм,7,https://entero.ru/manuals/414073/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414074/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414075/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DL775.pdf;https://entero.ru/manuals/414076/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,1.4 кг,подвесной,для блюд,Да,1,,
https://cdn.entero.ru/mp@2x/59/8d/598d9e5cdf88983cf7307288b2f5cc7e.jpg,Лампа инфракрасная Airhot IR-S-775 серебряный,Лампа инфракрасная Airhot IR-S-775 серебряный,4890,RUB,Да,Airhot,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/122060,"<p>Инфракрасная лампа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122060""><b class=""b"">Airhot IR-S-775</b></a> предназначена для поддержания в горячем состоянии готовых блюд перед подачей на предприятиях общественного питания и торговли. Модель оснащена механизмом регулировки и фиксации по высоте. Корпус выполнен из крашенного металла.</p>

<p>В комплект поставки входит лампочка 250 Вт.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки по высоте: от 600 до 1500 мм</li>
<li>Диаметр / высота нижнего цоколя: 70 / 30 мм</li>
<li>Диаметр / высота верхнего крепления: 90 / 125 мм</li>
<li>Цвет: серебряный</li>
</ul>",122060,,220 В,0.25 кВт,175 мм,175 мм,305 мм,1.6 кг,Китай,1,215x215x310 мм,0,https://entero.ru/manuals/128113/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IR-S-775.pdf;https://entero.ru/manuals/481624/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,1.2 кг,подвесной,для блюд,Да,1,,
https://cdn.entero.ru/mp@2x/0b/2e/0b2e3cc5266c836f095d7d9f9ff9e4dd.jpg,Лампа-подогреватель Empero EMP.PD.8060 нерж.,EMP.PD 8060 / Лампа подогрева EMP'.PD.8060,85937,RUB,Да,Empero,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/124556,"<p>Лампа-подогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124556""><b class=""b"">Empero EMP.PD.8060</b></a> используется на предприятиях общественного питания и торговли для кратковременного поддержания в разогретом состоянии сервированных горячих блюд и готовых горячих продуктов. Модель оснащена цифровой панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Съемный козырек для защиты продуктов от попадания пыли и посторонних частиц</li>
<li>Регулируемые ножки</li>
<li>Гигиенична и легко чистится</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 2х GN 1/1</li>
<li>Толщина рабочей поверхности: 1,5 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",124556,от 30 до 90 °C,220 В,1.3 кВт,800 мм,600 мм,750 мм,,Турция,,,0,https://entero.ru/manuals/133388/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Empero%202019.pdf,,,30 кг,настольный,для блюд,,2,Да,
https://cdn.entero.ru/mp@2x/84/32/8432f4a508b5316dec2513a8839f0f4f.jpg;https://cdn.entero.ru/mp@2x/f3/c5/f3c56d795c35e91378965eeb031fb9a8.jpg,Лампа инфракрасная Hurakan HKN-DL750 черная,Лампа инфракрасная Hurakan HKN-DL750 черная,5647,RUB,Да,Hurakan,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/127029,"<p>Инфракрасная лампа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127029""><b class=""b"">Hurakan HKN-DL750</b></a> предназначена для поддержания в горячем состоянии готовых блюд перед подачей на предприятиях общественного питания и торговли. Модель оснащена механизмом регулировки и фиксации по высоте. Корпус выполнен из крашеного металла.</p>

<p>В комплект поставки входит лампочка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр плафона: 290 мм</li>
<li>Диапазон регулировки по высоте: от 600 до 2000 мм</li>
</ul>",127029,,220 В,0.25 кВт,290 мм,290 мм,600 мм,1 кг,Китай,1,340x340x380 мм,33,https://entero.ru/manuals/414087/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-DL750.pdf;https://entero.ru/manuals/414088/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DL750.pdf;https://entero.ru/manuals/414089/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/476905/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-DL750%20%D1%87%D0%B5%D1%80%D0%BD%D0%B0%D1%8F.pdf,,,1.5 кг,подвесной,для блюд,Да,1,,
https://cdn.entero.ru/mp@2x/69/28/6928958af7218672c5fdd808b4c3cc9c.jpg,Станция карвинговая Hurakan HKN-RH1,144250,11882,RUB,Да,Hurakan,Профоборудование,Тепловое,Подогреватели блюд и посуды,https://entero.ru/item/60480,"<p>Карвинговая станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60480"">HURAKAN HKN-RH1</a></b> используется на предприятиях общественного питания и торговли для демонстрации, кратковременного хранения и сохранения продукта в подогретом виде. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подходят противни и гастроемкости:
<ul>
<li>GN 1/1-20</li>
<li>GN 1/1-40</li>
<li>GN 1/1-65</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 380х610х560 мм</li>
</ul>",60480,,220 В,1 кВт,330 мм,560 мм,500 мм,8 кг,Китай,1,600x375x180 мм,0,https://entero.ru/manuals/66215/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-RH1.pdf;https://entero.ru/manuals/414090/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-RH1.pdf;https://entero.ru/manuals/414092/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495212/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,12640,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241078&hash=051d3c2babdf28c8,7.4 кг,настольный,для блюд,Да,1,Да,
