Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Вес (с упаковкой)
https://cdn.entero.ru/mp@2x/fe/d9/fed9afef5c5e9e2f4d9c738a8fc5e45b.jpg;https://cdn.entero.ru/mp@2x/86/39/86396d5455e595bafa607a3839d60391.jpg;https://cdn.entero.ru/mp@2x/2b/94/2b94b5d94746c327b78ae6571db371b9.jpg;https://cdn.entero.ru/mp@2x/ed/a9/eda9e4f1ef3091a4cd7dac4007f59414.jpg,Рисоварка INDOKOR IR-1954,Рисоварка INDOKOR IR-1954,12402,RUB,Да,INDOKOR,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/32626,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32626"">INDOKOR IR-1954</a> </b>предназначена для упрощенного приготовления риса и поддержания его в состоянии постоянной готовности на предприятиях общественного питания и торговли. Использование прибора позволяет при варке сохранить структуру зернышек риса и свести к минимуму усилия по его приготовления. Модель оснащена электромеханической панелью управления и съемной емкостью с антипригарным покрытием. Корпус выполнен из нержавеющей стали, ручки - из термоизоляционного материала.</p>

<p>В комплект поставки входят мерная чашка и совок.</p>

<p><b>Особенности: </b></p>

<ul>
<li>3D-нагрев: равномерное распределение тепла от расположенных сбоку, сверху и снизу ТЭНов</li>
<li>Автоматическое переключение в режим подогрева</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Емкость: 
<ul>
<li>Рис: 5,6 кг</li>
<li>Вода: 13 л</li>
</ul>
</li>
<li>Максимальное время хранения в режиме подогрева: 12 часов</li>
</ul>",32626,220 В,1.9 кВт,475 мм,405 мм,350 мм,9.6 кг,Ю. Корея,1,460x460x375 мм,0,https://entero.ru/manuals/111932/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20INDOKOR.pdf;https://entero.ru/manuals/349115/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IR-1954.pdf,13194,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456240995&hash=33b2103b572a4359,8.1 кг,13 л,
https://cdn.entero.ru/mp@2x/c4/d8/c4d817aab1585c7abdb879985f1962af.jpg;https://cdn.entero.ru/mp@2x/d8/b7/d8b7633c4fb82914f4f7191fe0f9d6c8.jpg;https://cdn.entero.ru/mp@2x/76/08/760888a5062652323679d45db17d2459.jpg;https://cdn.entero.ru/mp@2x/f9/43/f943e8dce726e86ddeee636a1ab3ee6f.jpg;https://cdn.entero.ru/mp@2x/92/52/9252d93dc34f23c9dbf1f6001007c5fb.jpg,Рисоварка Cuckoo CR-3021,CR3021,38829,RUB,Да,Cuckoo,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/48290,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/48290"">Cuckoo CR-3021</a></b> используется на предприятиях общественного питания и торговли для приготовления, хранения и поддержания в разогретом виде всех видов круп и рис для суши. Модель оснащена механической панелью управления. Функция подогрева позволяет использовать рисоварку в качестве термоса.</p>

<p>В комплект поставки входят ложка, силиконовая прокладка и руководство по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3D-нагрев</li>
<li>Чаша с антипригарным покрытием</li>
<li>Контейнер для сбора конденсата​</li>
<li>Усиленный шарнир крышки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество порций: 30</li>
<li>Мощность: 
<ul>
<li>Подогрев: 0,16 кBт</li>
<li>Варка: 1,46 кBт</li>
</ul>
</li>
</ul>",48290,220 В,1.46 кВт,434 мм,444 мм,355 мм,,Ю. Корея,,,0,,41752,,,5.4 л,
https://cdn.entero.ru/mp@2x/02/ce/02cecb9a9f6584a071f47640a08b69af.jpg,Рисоварка Cuckoo CR-3521,CR3521,40921,RUB,Да,Cuckoo,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/34210,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/34210"">Cuckoo CR-3521</a>B</b> ​используется на предприятиях общественного питания и торговли, например, в суши-барах, бистро с японской кухней и т.д., также ее можно использовать для приготовления других круп. Модель оснащена механической панелью управления.</p>

<p>В комплект поставки входят мерный стакан, ложка, силиконовая прокладка и и руководство по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Работа в режиме термоса</li>
<li>3D-нагреватели</li>
<li>Корпус из нержавеющей стали</li>
<li>Съемная чаша с антипригарный покрытием</li>
<li>Контейнер для сбора конденсата</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество порций: 35</li>
</ul>",34210,220 В,от 0.18 до 1.55 кВт,373 мм,418 мм,480 мм,9 кг,Ю. Корея,1,447x501x576 мм,0,,,,,6.3 л,
https://cdn.entero.ru/mp@2x/d3/bb/d3bb2a4095eccc50531c9db04013ade7.jpg;https://cdn.entero.ru/mp@2x/ba/c4/bac48255296884ea485e443c9ebb2405.jpg,Рисоварка Hurakan HKN-SR56M,151007,11352,RUB,Да,Hurakan,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/71811,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71811"">Hurakan HKN-SR56M</a></b> используется на предприятиях общественного питания и торговли для приготовления, хранения и поддержания отваренного риса в разогретом виде. Модель оснащена защитой от перегрева, системой автоматического приготовления и поддержания температуры. Корпус выполнен из нержавеющей стали, внутренняя поверхность - из алюминия с антипригарным покрытием.</p>

<p>В комплект поставки входят мерный стакан и ложка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес:
<ul>
<li>Чаша: 1,3 кг</li>
<li>ТЭН: 1,3 кг</li>
</ul>
</li>
<li>Габариты в упаковке: 510х510х490 мм</li>
</ul>",71811,220 В,1.9 кВт,460 мм,460 мм,375 мм,10 кг,Китай,1,470x470x410 мм,302,https://entero.ru/manuals/65584/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-SR56M.pdf;https://entero.ru/manuals/416056/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SR56M.pdf;https://entero.ru/manuals/416057/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416058/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454545/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SR56M.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241060&hash=ddf6d3d5852b01c1,8.1 кг,5.6 л,
https://cdn.entero.ru/mp@2x/ac/8b/ac8b8122cff645ce055d569fa1a90d60.jpg;https://cdn.entero.ru/mp@2x/b6/af/b6af11fd800b70678d195c7009039830.jpg;https://cdn.entero.ru/mp@2x/98/8e/988ed3418efec5031d4e1bdef2b2118a.jpg;https://cdn.entero.ru/mp@2x/a5/9b/a59bcc22464a0d752f8900a0bc6208c1.jpg;https://cdn.entero.ru/mp@2x/f7/7c/f77c301a724cceef907db877ea9c6184.jpg;https://cdn.entero.ru/mp@2x/9d/de/9dde07fe9a15f2c41a2f17ce753cf1b3.jpg;https://cdn.entero.ru/mp@2x/c2/26/c22604078e8618131ed8d9983aa5f402.jpg,Термос для риса INDOKOR IR-1120,60035,14485,RUB,Да,INDOKOR,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/59012,"<p>Термос <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59012"">INDOKOR IR-1120</a></b> используется на предприятиях общественного питания и торговли для поддержания необходимой консистенции и температуры готового риса и других круп на протяжении длительного отрезка времени. Модель оснащена двойными стенками, герметичной крышкой с фиксаторами и ножками. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Поддерживаемая температура: до 65 °С</li>
<li>Время поддержания температуры: 12 часов</li>
</ul>",59012,220 В,0.11 кВт,461 мм,386 мм,397 мм,7.6 кг,Китай,1,425x425x434 мм,0,https://entero.ru/manuals/287588/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IR-1120.pdf,,,6.2 кг,20 л,
https://cdn.entero.ru/mp@2x/4c/0b/4c0b84f29675788f411ca34479e55819.jpg,Рисоварка INDOKOR IR-1985,A9219,21056,RUB,Да,INDOKOR,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/84656,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84656"">INDOKOR IR-1985</a></b> предназначена для упрощенного приготовления риса и поддержания его в состоянии постоянной готовности на предприятиях общественного питания и торговли. Использование прибора позволяет при варке сохранить структуру зернышек риса и свести к минимуму усилия по его приготовления. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят мерная чашка и совок.</p>

<p><b>Особенности: </b></p>

<ul>
<li>3D-нагрев: равномерное распределение тепла от расположенных сбоку, сверху и снизу ТЭНов</li>
<li>Автоматическое переключение в режим подогрева</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Емкость: 
<ul>
<li>Рис: 8,5 кг</li>
<li>Вода: 19 л</li>
</ul>
</li>
<li>Максимальное время хранения в режиме подогрева: 12 часов</li>
</ul>

<p><br>
<span style=""color:#FF0000;"">Внимание! На фото изображена модель другого размера.</span></p>",84656,220 В,2.65 кВт,550 мм,440 мм,372 мм,16 кг,Ю. Корея,1,520x520x455 мм,0,https://entero.ru/manuals/111933/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20INDOKOR.pdf;https://entero.ru/manuals/287587/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IR-1985.pdf,,,14 кг,19 л,
https://cdn.entero.ru/mp@2x/f9/de/f9def86416cf155f3cde2664ed110a74.jpg;https://cdn.entero.ru/mp@2x/a8/91/a89159ff2433ea68aac0cf178b562c10.jpg;https://cdn.entero.ru/mp@2x/e0/f2/e0f2c6b47ace00ce26b4136279794843.jpg;https://cdn.entero.ru/mp@2x/1f/d1/1fd12783ad779673d673e732ffbef971.jpg;https://cdn.entero.ru/mp@2x/ab/22/ab2290e96b65b084479f44df8d0ecb7f.jpg,Рисоварка Hurakan HKN-SR180,159607,17993,RUB,Да,Hurakan,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/84079,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84079"">Hurakan HKN-SR180</a></b> используется на предприятиях общественного питания и торговли для приготовления, хранения и поддержания отваренного риса в разогретом виде. Модель оснащена системой автоматического приготовления и поддержания температуры. Корпус выполнен из нержавеющей стали, внутренняя поверхность - из алюминия с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Сырой рис: 6 л</li>
<li>Приготовленный рис: 18 л</li>
</ul>
</li>
</ul>",84079,220 В,1.95 кВт,445 мм,445 мм,418 мм,11 кг,Китай,1,450x450x420 мм,11,https://entero.ru/manuals/65585/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-SR180.docx;https://entero.ru/manuals/414730/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SR180.pdf;https://entero.ru/manuals/414731/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414732/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454546/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SR180.pdf,,,10.4 кг,18 л,
https://cdn.entero.ru/mp@2x/84/6e/846e4722e1ae06617ed7c5ecf7b34303.jpg;https://cdn.entero.ru/mp@2x/fa/89/fa895b9ff36e87a91da63459fa73688e.jpg;https://cdn.entero.ru/mp@2x/23/42/2342cffb8ac48824dbb92945c8119d23.jpg;https://cdn.entero.ru/mp@2x/a3/1e/a31eb0afa9ae3c0d1f59f68a6312b6d1.jpg;https://cdn.entero.ru/mp@2x/70/63/706329b8420c7731125bc26e771bbbbf.jpg,Рисоварка Airhot RC-5,Рисоварка Airhot RC-5,10850,RUB,Да,Airhot,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/112212,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/112212"">Airhot RC-5</a></b> используется на предприятиях общественного питания и торговли для приготовления, хранения и поддержания отваренного риса в разогретом виде. Модель оснащена термоизолированными ручками и съемной чашей с антипригарным покрытием и мерной шкалой.</p>

<p>В комплект поставки входят мерный стакан и ложка для риса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический контроль приготовления</li>
<li>Панель управления с механическим переключателем и индикаторами режимов ""Готовка"" / ""Подогрев""</li>
<li>Автоматический переход в режим подогрева по окончании приготовления</li>
<li>Защита от перегрева / нагрева без содержимого</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка сырого риса: от 0,45 до 4 кг</li>
<li>Внутренний диаметр дна чаши: 309 мм</li>
</ul>",112212,220 В,1.9 кВт,545 мм,470 мм,345 мм,8 кг,Китай,1,520x520x395 мм,0,https://entero.ru/manuals/110889/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20RC-5.pdf;https://entero.ru/manuals/481932/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,11793,,7.5 кг,13 л,
https://cdn.entero.ru/mp@2x/64/46/6446e788e97d14c11ddb18346614aff8.jpg,Рисоварка Hurakan HKN-SR42,169347,11077,RUB,Да,Hurakan,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/93881,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93881"">Hurakan HKN-SR42</a></b> используется на предприятиях общественного питания и торговли для приготовления, хранения и поддержания отваренного риса в разогретом виде. Модель оснащена защитой от перегрева, системой автоматического приготовления и поддержания температуры. Корпус выполнен из нержавеющей стали, внутренняя поверхность - из алюминия с антипригарным покрытием.</p>

<p>В комплект поставки входят мерный стакан и ложка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес:
<ul>
<li>Чаша: 0,7 кг</li>
<li>ТЭН: 1,1 кг</li>
</ul>
</li>
<li>Габариты в упаковке: 427х427х370 мм</li>
</ul>",93881,220 В,1.6 кВт,420 мм,420 мм,360 мм,8 кг,Китай,1,440x440x380 мм,14,https://entero.ru/manuals/416060/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SR42.pdf;https://entero.ru/manuals/416061/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416062/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454544/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SR42.pdf,12040,,7 кг,4.2 л,
https://cdn.entero.ru/mp@2x/63/a1/63a114da119992dad7737a4d54f6b7ca.jpg;https://cdn.entero.ru/mp@2x/bf/5d/bf5d55ba2a19994d6a020030e757fa5b.jpg;https://cdn.entero.ru/mp@2x/e9/6f/e96fa3d37f673c20cb572f630b80b64c.jpg,Рисоварка INDOKOR IR-1985PRO,Рисоварка INDOKOR IR-1985PRO,20660,RUB,Да,INDOKOR,Профоборудование,Тепловое,Рисоварки,https://entero.ru/item/184111,"<p>Рисоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184111"">INDOKOR IR-1985PRO</a></b> предназначена для быстрого приготовления риса без разрушения его структуры и поддержания его в состоянии постоянной готовности на предприятиях общественного питания и торговли. Модель оснащена чащей с антипригарным покрытием. Корпус изготовлен из нержавеющей стали.</p>

<p>В комплект поставки входит мерная чашка и совок для риса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы приготовления:
<ul>
<li>Режим приготовления риса</li>
<li>Режим приготовления бурого риса</li>
<li>Режим приготовления каши</li>
<li>Режим приготовления супа</li>
</ul>
</li>
<li>3D нагрев </li>
<li>Высокая скорость варки риса</li>
<li>Таймер до 24ч</li>
<li>Оптимальное соотношение мощности и загрузочного объёма</li>
<li>Сохранение структуры зернышек риса</li>
<li>Режим сохранения тепла до 4 ч без подключения к электричеству</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Макс. масса сырого риса: 5,0 кг</li>
<li>Скорость варки риса - 45 мин/чаша</li>
</ul>",184111,220 В,2.2 кВт,550 мм,440 мм,360 мм,14 кг,Ю. Корея,1,517x517x410 мм,0,https://entero.ru/manuals/214075/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IR-1985PRO.pdf,21521,,12 кг,19 л,
