Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Подключение,Вес (с упаковкой),Камбузное оборудование,Линия 700,Линия 900,Объем чаши,Опрокидывание,Площадь пода чаши
https://cdn.entero.ru/mp@2x/a4/b8/a4b86504779f4e80351bacb55127495f.jpg;https://cdn.entero.ru/mp@2x/b3/06/b306faa8a192b6d0f43db8ad2deac6d3.jpg,"Сковорода опрокидывающаяся Abat ЭСК-90-0,47-70",21000005862,188034,RUB,Да,Abat,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/24725,"<p>Опрокидывающаяся сковорода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/24725"">Abat ЭСК-90-0,47-70</a></b> предназначена для приготовления мяса, рыбы, овощей и других продуктов методом жарки, тушения, припускания, пассерования, приготовления на пару и во фритюре на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой сварной чашей, фиксацией ручки крышки в любом положении и регулируемыми по высоте ножками.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали, боковая и задняя часть обшивки - из крашенного оцинкованного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры жарочной поверхности</li>
<li>Дно чаши удерживает тепло в режиме приготовления</li>
<li>Механизм подъема и опускания чаши для удобства очистки и обслуживания</li>
<li>Откидная крышка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева сковороды до 230 °C: 15 мин.</li>
<li>Толщина дна чаши: 10 мм</li>
<li>Внутренние размеры чаши сковороды: 754х622х197 мм</li>
<li>Потребляемая мощность: 12 кВт</li>
<li>Количество ТЭНов: 3</li>
</ul>",24725,от 20 до 270 °С,12 кВт,840 мм,1045 мм,940 мм,,Россия,,,17,https://entero.ru/manuals/106536/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-90-0_47-70.pdf;https://entero.ru/manuals/106538/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416986/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-90-0_47-70.pdf;https://entero.ru/manuals/416987/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,128 кг,380 В,,,,,70 л,ручное,0.47 м2
https://cdn.entero.ru/mp@2x/6a/7a/6a7a9d97d52127b9662eb4ae88083e93.jpg;https://cdn.entero.ru/mp@2x/11/85/1185a7b25656ce88a347a31180eb4cbe.jpg,"Сковорода опрокидывающаяся Проммаш СЭЧ-0,45",СЭЧ-0.45,139549,RUB,Да,Проммаш,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/19456,"<p>Опрокидывающаяся сковорода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19456"">Проммаш СЭЧ-0,45</a></b> используется на предприятиях общественного питания и торговли для жарения основным способом и во фритюре, для тушения, припускания, пассерования, а также для приготовления на пару мясных, рыбных, овощных блюд и кулинарных изделий. Сварной каркас выполнен из черного металла с порошковым покрытием, облицовки - из углеродистой стали с покрытием, чаша - из чугуна, передняя облицовка и крышка - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей температуры: 30 мин</li>
<li>Внутренние размеры чаши сковороды:
<ul>
<li>Дно чаши: 900х550 мм</li>
<li>Верх чаши: 930х580 (высота 180) мм</li>
</ul>
</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",19456,280 °С,12 кВт,1440 мм,800 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/308213/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D1%80%D0%BE%D0%BC%D0%BC%D0%B0%D1%88%20%D0%A1%D0%AD%D0%A7-0_45.pdf;https://entero.ru/manuals/373978/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%9F%D1%80%D0%BE%D0%BC%D0%BC%D0%B0%D1%88.pdf;https://entero.ru/manuals/508380/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,225 кг,"220 В, 380 В",,,,,85 л,ручное,0.45 м2
https://cdn.entero.ru/mp@2x/66/a9/66a9ebd607029f97a5bfb4ce43ef00bc.jpg,"Сковорода опрокидывающаяся Abat ЭСК-80-0,27-40",21000001591,156734,RUB,Да,Abat,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/24903,"<p>Опрокидывающаяся сковорода<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/24903"">Abat ЭСК-80-0,27-40</a></b> предназначена для приготовления мяса, рыбы, овощей и других продуктов методом жарки, тушения, припускания, пассерования, приготовления на пару и во фритюре на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой сварной чашей, фиксацией ручки крышки в любом положении и регулируемыми по высоте ножками.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали, боковая и задняя часть обшивки - из крашенного оцинкованного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры жарочной поверхности</li>
<li>Дно чаши удерживает тепло в режиме приготовления</li>
<li>Механизм подъема и опускания чаши для удобства очистки и обслуживания</li>
<li>Откидная крышка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева сковороды до 230 °C: 12 мин.</li>
<li>Толщина дна чаши: 10 мм</li>
<li>Внутренние размеры чаши сковороды: 577х470х197 мм</li>
<li>Потребляемая мощность: 9 кВт</li>
<li>Количество ТЭНов: 3</li>
</ul>",24903,от 20 до 270 °С,9 кВт,800 мм,899 мм,950 мм,,Россия,,,0,https://entero.ru/manuals/106528/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-80-0_27-40.pdf;https://entero.ru/manuals/106530/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416973/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-80-0_27-40.pdf;https://entero.ru/manuals/416974/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,101 кг,380 В,,,,,40 л,ручное,0.27 м2
https://cdn.entero.ru/mp@2x/c3/f6/c3f6fec096239bce92286b030357ed65.jpg;https://cdn.entero.ru/mp@2x/81/f4/81f459119a876f2b4cf0f9d9a3be228b.jpg,"Сковорода опрокидывающаяся Abat ЭСК-90-0,27-40",21000001586,161816,RUB,Да,Abat,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/19457,"<p>Опрокидывающаяся сковорода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19457"">Abat ЭСК-90-0,27-40</a> </b>предназначена для приготовления мяса, рыбы, овощей и других продуктов методом жарки, тушения, припускания, пассерования, приготовления на пару и во фритюре на предприятиях общественного питания и торговли. Модель оснащена прямоугольной стальной чашей, фиксацией ручки крышки в любом положении и регулируемыми по высоте ножками.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали, боковая и задняя часть обшивки - из крашенного оцинкованного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры жарочной поверхности</li>
<li>Дно чаши удерживает тепло в режиме приготовления</li>
<li>Механизм подъема и опускания чаши для удобства очистки и обслуживания</li>
<li>Откидная крышка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева сковороды до 230 °C: 12 мин.</li>
<li>Толщина дна чаши: 10 мм</li>
<li>Внутренние размеры чаши сковороды: 577х470х197 мм</li>
<li>Потребляемая мощность: 9 кВт</li>
<li>Количество ТЭНов: 3</li>
</ul>",19457,от 20 до 270 °С,9 кВт,840 мм,1050 мм,940 мм,,Россия,,,11,https://entero.ru/manuals/106522/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-90-0_27-40.pdf;https://entero.ru/manuals/106524/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417045/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-90-0_27-40.pdf;https://entero.ru/manuals/417046/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,94 кг,380 В,,,,,40 л,ручное,0.27 м2
https://cdn.entero.ru/mp@2x/ea/ac/eaacf7cb362e1a679aa07760b0b79922.jpg;https://cdn.entero.ru/mp@2x/d8/f6/d8f6eabdcd8fdeda5c5cc38742cb2f07.jpg,"Сковорода опрокидывающаяся Проммаш СЭЧ-0,25",СЭЧ-0.25,109379,RUB,Да,Проммаш,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/19455,"<p>Опрокидывающаяся сковорода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19455"">Проммаш СЭЧ-0,25</a></b> используется на предприятиях общественного питания и торговли для жарения основным способом и во фритюре, для тушения, припускания, пассерования, а также для приготовления на пару мясных, рыбных, овощных блюд и кулинарных изделий. Сварной каркас выполнен из черного металла с порошковым покрытием, облицовки - из углеродистой стали с покрытием, чаша - из чугуна, передняя облицовка и крышка - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей температуры: 30 мин</li>
<li>Внутренние размеры чаши сковороды:
<ul>
<li>Дно чаши: 550х460 мм</li>
<li>Верх чаши: 580х510 (высота 140) мм</li>
</ul>
</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",19455,280 °С,6 кВт,1000 мм,800 мм,850 мм,,Россия,,,7,https://entero.ru/manuals/308211/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D1%80%D0%BE%D0%BC%D0%BC%D0%B0%D1%88%20%D0%A1%D0%AD%D0%A7-0_25.pdf;https://entero.ru/manuals/508378/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,140 кг,"380 В, 220 В",,,,,38 л,ручное,0.25 м2
https://cdn.entero.ru/mp@2x/fb/ad/fbad6b83210c26ae7aeba2b7e87dc772.jpg;https://cdn.entero.ru/mp@2x/dd/56/dd56dddd9a1ceabdb04ffbd89079a3a1.jpg,"Сковорода опрокидывающаяся Abat ЭСК-90-0,67-120",21000001614,257180,RUB,Да,Abat,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/88493,"<p>Опрокидывающаяся сковорода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/88493"">Abat ЭСК-90-0,67-120</a></b> предназначена для приготовления мяса, рыбы, овощей и других продуктов методом жарки, тушения, припускания, пассерования, приготовления на пару и во фритюре на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой сварной чашей, фиксацией ручки крышки в любом положении и регулируемыми по высоте ножками.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали AISI 304 толщиной 1 мм, боковая и задняя часть обшивки - из крашенного оцинкованного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры жарочной поверхности</li>
<li>Дно чаши удерживает тепло в режиме приготовления</li>
<li>Механизм подъема и опускания чаши для удобства очистки и обслуживания</li>
<li>Откидная крышка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева сковороды до 230 °C: 15 мин.</li>
<li>Толщина дна чаши: 10 мм</li>
<li>Внутренние размеры чаши сковороды: 1100х630х197 мм</li>
<li>Потребляемая мощность: 15 кВт</li>
<li>Количество ТЭНов: 3</li>
</ul>",88493,от 20 до 270 °С,15 кВт,1202 мм,1045 мм,940 мм,,Россия,,,0,https://entero.ru/manuals/106544/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-90-0_67-120.pdf;https://entero.ru/manuals/106543/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-90-0_67-120.pdf;https://entero.ru/manuals/106545/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/106546/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.%20%D0%9F%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5.jpg;https://entero.ru/manuals/106547/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,273596,,179 кг,380 В,,,,,120 л,ручное,0.67 м2
https://cdn.entero.ru/mp@2x/45/22/45223a8dbe735494c392d82e84193f2e.jpg;https://cdn.entero.ru/mp@2x/a9/ff/a9ff11c6dd9f226bcb7739f91079e355.jpg,"Сковорода опрокидывающаяся Тулаторгтехника СЭСМ-0,3Н",СЭСМ-0.3 Н,89216,RUB,Да,Тулаторгтехника,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/19454,"<p>Опрокидывающаяся сковорода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19454"">Тулаторгтехника СЭСМ-0,3Н</a></b> предназначена для жарки, тушения, припускания и пассерования различных продуктов на предприятиях общественного питания и торговли. Модель оснащена откидной крышкой с пружинным механизмом, который обеспечивает ее легкий подъем и фиксацию в открытом положении, и регулируемыми по высоте опорами, что позволяет компенсировать неровности пола. Чаша, рабочая и лицевые поверхности выполнены из нержавеющей стали, боковые и задняя — из оцинкованной.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Винтовой механизм опрокидывания путем вращения маховика</li>
<li>Автоматическое поддержание температуры</li>
<li>Автоматическое отключение ТЭНов при наклоне на угол более 12°</li>
<li>Под чаши имеет технологический прогиб</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры чаши: 680х525х120 мм</li>
<li>Время разогрева до 300 °С: не более 35 мин.</li>
<li>Габариты в упаковке: 940х960х1050 мм</li>
<li>Объем упаковки: 0,95 м<sup>3</sup></li>
</ul>",19454,от 50 до 300 °С,6 кВт,800 мм,800 мм,860 мм,107 кг,Россия,1,940x970x1060 мм,8,https://entero.ru/manuals/93669/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D1%83%D0%BB%D0%B0%D1%82%D0%BE%D1%80%D0%B3%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0%20%D0%A1%D0%AD%D0%A1%D0%9C-0_3%D0%9D.pdf;https://entero.ru/manuals/93670/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%A2%D1%83%D0%BB%D0%B0%D1%82%D0%BE%D1%80%D0%B3%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0%202017.pdf;https://entero.ru/manuals/482132/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,80 кг,380 В,,,,,40 л,ручное,0.32 м2
https://cdn.entero.ru/mp@2x/f6/e9/f6e9b23429738d17e671fb679bec3f6d.jpg,"Сковорода электрическая ПищТех СЭП-0,45",н0000186699,133167,RUB,Да,ПищТех,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/51393,"<p>Электрическая сковорода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51393""><b class=""b"">Пищевые Технологии СЭП-0,45</b></a> предназначена для приготовления различных блюд, тушки и жарки мяса, рыбы, овощей на предприятиях общественного питания и торговли. Модель оснащена механизмом подъема и опускания чаши с помощью вращающейся рукоятки, аварийным предохранителем от перегрева свыше 320 °С и регулируемыми по высоте ножками. Крышка, борта, панель управления и лицевая часть обшивки чаши выполнены из нержавеющей стали, остальные части - из оцинкованной стали, каркас изготовлен из трубы квадратного сечения, окрашенной порошковой краской, чаша - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры чаши: 930 (верх)/905 (низ)х570 (верх)/550 (низ)х180 мм</li>
<li>Глубина без учета ручек: 850 мм</li>
<li>Габариты в упаковке: 1500х980х950 мм</li>
<li>Объем упаковки: 1 м<sup>3</sup></li>
</ul>",51393,от 45 до 270 °С,12 кВт,1430 мм,900 мм,840 мм,225.5 кг,Россия,1,1500x980x950 мм,0,https://entero.ru/manuals/422510/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20%D0%A1%D0%AD%D0%9F-0_45.pdf;https://entero.ru/manuals/422511/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,143190,,198 кг,380 В,,,,Да,85 л,ручное,0.45 м2
https://cdn.entero.ru/mp@2x/87/49/874926fe0f53996c700b1959507288a9.jpg,"Сковорода опрокидывающаяся Abat ЭСК-80-0,27-40-Ч",21000002806,175000,RUB,Да,Abat,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/130549,"<p>Опрокидывающаяся сковорода<a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/130549""><b class=""b""> Abat </b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/130549""><b class=""b"">ЭСК-80-0,27-40-Ч</b></a> предназначена для приготовления мяса, рыбы, овощей и других продуктов методом жарки, тушения, припускания, пассерования, приготовления на пару и во фритюре на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой сварной чашей, фиксацией ручки крышки в любом положении и регулируемыми по высоте ножками.</p>

<p>Облицовка и боковые панели выполнены из высококачественной аустенитной нержавеющей стали толщиной 1 мм, задняя обшивка из крашенного оцинкованного металла, чаша - чугунная. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Чугунная чаша позволяет надежно удерживать тепло во время и после приготовления благодаря высокой теплопроводности</li>
<li>Плавная регулировка температуры жарочной поверхности</li>
<li>Дно чаши удерживает тепло во время и после приготовления</li>
<li>Механизм подъема и опускания чаши для удобства очистки и обслуживания</li>
<li>Терморегулятор для автоматического поддержания заданной температуры</li>
<li>Аварийный термовыключатель</li>
<li>Воздуховод</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева сковороды до 230 °C: 12 мин.</li>
<li>Потребляемая мощность: 9 кВт</li>
<li>Количество ТЭНов: 3</li>
<li>Внутренние размеры чаши сковороды: 572х490х140 мм</li>
</ul>",130549,от 20 до 270 °С,9 кВт,800 мм,899 мм,950 мм,,Россия,,,0,https://entero.ru/manuals/145723/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-80-0_27-40-%D0%A7.pdf;https://entero.ru/manuals/145722/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A1%D0%9A-80-0_27-40-%D0%A7.pdf;https://entero.ru/manuals/411954/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/411955/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,186170,,140 кг,380 В,,,Да,,40 л,,0.27 м2
https://cdn.entero.ru/mp@2x/9e/68/9e68c642c04b92cfc4b4418420bed458.jpg;https://cdn.entero.ru/mp@2x/f7/2c/f72c1f5963743b6273f602a9abd4e585.jpg,"Сковорода опрокидывающаяся Проммаш СЭЧ-0,25Н",СЭЧ-0.25Н,127750,RUB,Да,Проммаш,Профоборудование,Тепловое,Сковороды опрокидывающиеся,https://entero.ru/item/25355,"<p>Опрокидывающаяся сковорода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/25355"">Проммаш СЭЧ-0,25Н</a></b> используется на предприятиях общественного питания и торговли для жарения основным способом и во фритюре, для тушения, припускания, пассерования, а так же для приготовления на пару мясных, рыбных, овощных блюд и кулинарных изделий. Сварной каркас выполнен из черного металла с порошковым покрытием, чаша - из чугуна, передняя облицовки и крышка - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей температуры: 30 мин</li>
<li>Внутренние размеры чаши сковороды:
<ul>
<li>Дно чаши: 550х460 мм</li>
<li>Верх чаши: 580х510 (высота 140) мм</li>
</ul>
</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",25355,280 °С,6 кВт,1000 мм,800 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/308212/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D1%80%D0%BE%D0%BC%D0%BC%D0%B0%D1%88%20%D0%A1%D0%AD%D0%A7-0_25%D0%9D.pdf;https://entero.ru/manuals/508379/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,137366,,190 кг,"220 В, 380 В",,,,,38 л,ручное,0.25 м2
