Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Установка,Назначение,Вес (с упаковкой),Подсветка,Размер подогреваемой ванны,Колеса
https://cdn.entero.ru/mp@2x/ea/dc/eadc305263050467513c6e8ed7851ae0.jpg;https://cdn.entero.ru/mp@2x/c5/75/c57567ca519bad5a1ddad3a27c623228.jpg,Мармит для картофеля фри Hurakan HKN-RH2,158716,14790,RUB,Да,Hurakan,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/84376,"<p>Подогреватель картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84376"">Hurakan HKN-RH2</a></b> используется на предприятиях общественного питания и торговли для кратковременного хранения, демонстрации и сохранения продукта в подогретом виде. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 390х660х580 мм</li>
</ul>",84376,,220 В,1 кВт,345 мм,605 мм,550 мм,11 кг,1,790x470x170 мм,14,https://entero.ru/manuals/66211/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-RH2.docx;https://entero.ru/manuals/414678/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-RH2.pdf;https://entero.ru/manuals/414679/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414680/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,15734,7 кг,,Китай,настольная,подогрев,,,,
https://cdn.entero.ru/mp@2x/0a/f9/0af928c9626f6c611a94cf9688b019da.jpg,Мармит для картофеля фри Airhot FW-2,C2579,14548,RUB,Да,Airhot,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/115585,"<p>Подогреватель блюд <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115585"">Airhot FW-2</a></b> используется на предприятиях общественного питания и торговли для демонстрации и поддержания заданной температуры картофеля фри. Корпус выполнен из нержавеющей стали.</p>",115585,,220 В,0.96 кВт,342 мм,605 мм,555 мм,,,,0,https://entero.ru/manuals/114953/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WL-2.pdf,15643,8.3 кг,,Китай,настольная,подогрев,,,,
https://cdn.entero.ru/mp@2x/61/08/6108ffc22f68b4f5e5862c5c37b33bae.jpg,Станция для фасовки картофеля фри REDGASTRO VF-60,Станция для фасовки картофеля фри REDGASTRO VF-60,100834,RUB,Да,,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/334212,"<p>Станция для хранения и фасовки картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/334212"">REDGASTRO VF-60</a></b> используется на предприятиях общественного питания для непродолжительного хранения и упаковки продуктов, обжаренных во фритюре (картофель-фри, крокеты). Модель оснащена ящиком с 2 распашными дверьми. Все части, контактирующие с продуктами, выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев происходит сверху с помощью инфракрасных ламп</li>
<li>Торцевое защитное стекло для предотвращения разбрызгивания фритюра</li>
<li>Углубление для хранения бумажных пакетов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Габариты в упаковке: 650х800х1600 мм</li>
</ul>",334212,60 °С,220 В,0.55 кВт,600 мм,730 мм,1500 мм,,,,0,https://entero.ru/manuals/426565/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20REDGASTRO%20VF-60.docx,,65 кг,Китай,Китай,напольная,подогрева / фасовка,,,,
https://cdn.entero.ru/mp@2x/bd/ae/bdae1673d850a4062fdcf8d29410d50c.jpg,Мармит для картофеля фри VIATTO VHT-1,Мармит для картофеля фри VIATTO VHT-1,12686,RUB,Да,VIATTO,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/122913,"<p>Подогреватель картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122913"">VIATTO VHT-1</a></b> используется на предприятиях общественного питания и торговли для демонстрации и поддержания заданной температуры картофеля фри, чипсов и других аналогичных блюд. Корпус выполнен из нержавеющей стали.</p>",122913,,220 В,1 кВт,335 мм,575 мм,465 мм,8 кг,1,660x390x580 мм,0,https://entero.ru/manuals/464049/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VHT-1.pdf;https://entero.ru/manuals/464050/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/464051/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VHT-1.pdf,13215,,,Китай,настольная,подогрев,,,,
https://cdn.entero.ru/mp@2x/31/53/3153dd2dd9c645f6cd6ecf3161ec9d24.jpg,Подогреватель картофеля фри Hurakan HKN-RH3,Подогреватель картофеля фри Hurakan HKN-RH3,28070,RUB,Да,Hurakan,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/91116,"<p>Подогреватель картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91116"">Hurakan HKN-RH3</a></b> используется на предприятиях общественного питания и торговли для кратковременного хранения, демонстрации и сохранения продукта в подогретом виде. Модель оснащена 5 отсеками для пакетиков с картофелем. Корпус выполнен из нержавеющей стали.</p>",91116,,220 В,0.65 кВт,800 мм,710 мм,665 мм,,,,7,https://entero.ru/manuals/78418/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-RH3.docx;https://entero.ru/manuals/416010/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-RH3.pdf;https://entero.ru/manuals/416011/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416012/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,28 кг,,Китай,настольная,подогрева / фасовка,,,,
https://cdn.entero.ru/mp@2x/6b/5a/6b5aee1685fb40321aa1e3c4ab8b5b3b.jpg;https://cdn.entero.ru/mp@2x/20/b8/20b8de7eb0937410e3d07d9cfe7eda6c.jpg;https://cdn.entero.ru/mp@2x/2f/5c/2f5cdd186a105df475b6e8fcee498872.jpg;https://cdn.entero.ru/mp@2x/de/1d/de1ddbf2665d95796a7f6b3b00d8f0ed.jpg;https://cdn.entero.ru/mp@2x/13/4b/134b4f23133c0d62545c36b54c7f37a6.jpg;https://cdn.entero.ru/mp@2x/ab/81/ab81b7f38ba07910e7c480bd2e81e655.jpg,Станция для фасовки картофеля фри RoboLabs RLFSL-IR6,Станция для фасовки картофеля фри RoboLabs RLFSL-IR6,146559,RUB,Да,RoboLabs,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/259948,"<p>Станция фасовки картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/259948"">RoboLabs RLFSL-IR6</a></b> используется на предприятиях общественного питания для поддержания картофеля в теплом состоянии при помощи керамических нагревающих элементов сверху и подогрева ванны снизу. Модель оснащена поперечным разделителем, что позволяет хранить несколько видов продуктов, и светодиодной подсветкой. Корпус выполнен из нержавеющей стали, отдельные элементы - из коррозионностойкой стали AISI 304.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Таймер хранения с кнопкой сброса (до 70 мин.)</li>
<li>Съемный кронштейн под солонку в верхней части</li>
<li>Съемное боковое стеклянное ограждение для защиты внутреннего объема</li>
<li>Лоток для размещения готовых продуктов, расфасованных в пакеты</li>
<li>Универсальный кронштейн под фасовочный совок</li>
<li>Остатки фритюра стекают через перфорацию, в результате чего продукт не пропитывается маслом</li>
<li>Комбинируется с фритюрницами, которые можно расположить справа или слева</li>
<li>Регулируемые по высоте ножки</li>
</ul>",259948,от 30 до 90 °С,220 В,2.7 кВт,560 мм,700 мм,670 мм,60 кг,1,672x840x804 мм,0,https://entero.ru/manuals/320208/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RoboLabs%20RLFSL-IR6.pdf;https://entero.ru/manuals/320209/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,159303,50 кг,,Россия,настольная,подогрева / фасовка,,Да,,
https://cdn.entero.ru/mp@2x/30/54/305465b5222c182e55c1ab3c8a6902fd.jpg,Станция для фасовки картофеля фри RoboLabs STF-060,122976,199281,RUB,Да,RoboLabs,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/149933,"<p>Станция для хранения и фасовки картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/149933"">RoboLabs STF-060</a></b> используется на предприятиях общественного питания. Модель оснащена перегородкой, разделяющей ванну на две части, светодиодной подсветкой и распашной дверью. Корпус изготовлен из нержавеющей стали, отдельные элементы станции, контактирующие с пищевым продуктом, изготовлены из коррозионно-стойкой стали AISI 304. </p>

<p>В комплект поставки входят перфорированная ёмкость для хранения картофеля, отсеки для хранения упаковки и навесная емкость для хранения инвентаря. Гастроемкости в комлпект поставки не входят и приобретаются отдельно. </p>

<p><b>Особенности: </b></p>

<ul>
<li>Подогрев происходит сверху и снизу</li>
<li>В передней части станции расположена ниша под гастроемкости 1 GN 1/3 и 1 GN 1/6</li>
<li>Конвективный нагрев</li>
<li>Ниша для упаковки с возможностью регулировки ширины одной из четырех зон</li>
<li>Большой внутренний объем под ванной </li>
<li>Съемное боковое стеклянное ограждение, которое возможно установить как с правой, так и с левой стороны</li>
<li>Универсальный кронштейн под фасовочный совок</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 845x805x1755 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>

<p> </p>",149933,,220 В,,600 мм,900 мм,1500 мм,,,,0,,214281,70 кг,,Россия,напольная,подогрева / фасовка,,,,
https://cdn.entero.ru/mp@2x/a0/72/a07228ca2f2129452c10cac6b80af033.jpg,Станция для фасовки картофеля фри RoboLabs STF-080,107174,210234,RUB,Да,RoboLabs,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/149967,"<p>Станция для хранения и фасовки картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/149967"">RoboLabs STF-080</a></b> используется на предприятиях общественного питания. Модель оснащена перегородкой, разделяющей ванну на две части, светодиодной подсветкой и распашной дверью. Корпус изготовлен из нержавеющей стали, отдельные элементы станции, контактирующие с пищевым продуктом, изготовлены из коррозионно-стойкой стали AISI 304. </p>

<p>В комплект поставки входят перфорированная ёмкость для хранения картофеля, отсеки для хранения упаковки и навесная емкость для хранения инвентаря. Гастроемкости в комлпект поставки не входят и приобретаются отдельно. </p>

<p><b>Особенности: </b></p>

<ul>
<li>Подогрев происходит сверху и снизу</li>
<li>В передней части станции расположена ниша под гастроемкости 2 GN 1/3</li>
<li>Конвективный нагрев</li>
<li>Ниша для упаковки с возможностью регулировки ширины одной из четырех зон</li>
<li>Большой внутренний объем под ванной </li>
<li>Съемное боковое стеклянное ограждение, которое возможно установить как с правой, так и с левой стороны</li>
<li>Универсальный кронштейн под фасовочный совок</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 930x870x1750 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>

<p> </p>",149967,,220 В,2 кВт,800 мм,700 мм,1500 мм,,,,0,https://entero.ru/manuals/177729/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20STF-080.pdf,226058,80 кг,,Россия,напольная,подогрева / фасовка,,,,
https://cdn.entero.ru/mp@2x/da/f2/daf2a8607c9533b406b495b5d7028cb9.jpg,Мармит для картофеля фри VIATTO VHF-1,Мармит для картофеля фри VIATTO VHF-1,13478,RUB,Да,VIATTO,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/122914,"<p>Подогреватель картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122914"">VIATTO VHF-1</a></b> используется на предприятиях общественного питания и торговли для демонстрации и поддержания заданной температуры картофеля фри, чипсов и других аналогичных блюд. Корпус выполнен из нержавеющей стали.</p>",122914,,220 В,1 кВт,335 мм,575 мм,465 мм,7 кг,1,660x390x580 мм,0,https://entero.ru/manuals/464053/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VHF-1.pdf;https://entero.ru/manuals/464055/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/464056/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VHF-1.png,,,,Китай,настольная,подогрев,,,,
https://cdn.entero.ru/mp@2x/c0/47/c0473694619e77671790242cd73d84f3.jpg,Витрина тепловая для картофеля фри INOKSAN INO-PMP100,Витрина тепловая для картофеля фри INOKSAN INO-PMP100,59851,RUB,Да,INOKSAN,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/60252,"<p>Витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60252""><b class=""b"">INOKSAN INO-PMP100</b></a> предназначена для демонстрации и поддержания в теплом состоянии картофеля фри. Благодаря компактным размерам витрина может размещаться на любой поверхности.</p>

<p>Прочный корпус из высококачественной нержавеющей стали 18/8 Cr-Ni и стального профиля AISI 304 обеспечивает долговечность оборудования даже при сильных нагрузках. </p>

<p><b>Особенности:</b></p>

<ul>
<li>2 нагревательных элемента</li>
<li>Электромеханическое управление</li>
<li>Плавная регулировка температуры</li>
<li>2 полки</li>
<li>Подсветка</li>
</ul>",60252,,220 В,0.6 кВт,800 мм,600 мм,600 мм,26 кг,,,0,,,,,Турция,настольная,подогрев,,,,
