Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Рабочая зона,Емкость для отходов,Ширина рабочего места,Количество охлаждаемых ящиков,Рукомойник
https://cdn.entero.ru/mp@2x/68/a8/68a8da8847532c0a7ca48eba82914175.jpg,Станция кулинарная INDOKOR IN-3,Станция кулинарная INDOKOR IN-3,477720,RUB,Нет,INDOKOR,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/365440,"<p>Кулинарная станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365440"">INDOKOR IN-3</a></b> предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятиях пищевой промышленности и общественного питания. Модель оснащена 3-уровневой вытяжкой, 3 полками для хранения инвентаря, светодиодной системой освещения и колесами для быстрого перемещения. Станция подходит для работы на 3 электроплитах одновременно, что экономит пространство. Корпус выполнен из нержавеющей стали AISI 201, фильтр для масла - из металла, фильтр для поглощения влаги и предотвращения конденсата - из цеолита.</p>

<p><span style=""color:#ff0000;"">Внимание! Станция поставляется без оборудования.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономия времени благодаря автоматизации многих процессов</li>
<li>Защита для розеток:
<ul>
<li>Однофазные: IP65</li>
<li>Трехфазные: IP67</li>
</ul>
</li>
<li>Трехфазная система фильтрации:
<ul>
<li>Фильтр для масла</li>
<li>Фильтр для поглощения влаги и предотвращения образования конденсата</li>
<li>Фильтр с активированным углем для поглощения нежелательных запахов</li>
</ul>
</li>
<li>Пятижильный шнур питания без вилки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 4 гастроемкости GN 1/9 </li>
<li>Размер столешницы: 1255х603 мм</li>
<li>Высота столешницы от пола: 770 мм</li>
<li>Количество отсеков для хранения: 4</li>
<li>Размер отсеков для хранения: 580х603х255 мм</li>
<li>Размер средней полки отсека: 580х600х50 мм</li>
<li>Длина шнура питания: 1,5 м</li>
<li>Максимальный объем воздуха вытяжки: 1920 м³/ч</li>
<li>Вентилятор:
<ul>
<li>Количество: 2</li>
<li>Напряжение: от 220 до 240 В</li>
<li>Мощность: 0,27 кВт</li>
<li>Объем вытяжки одного вентилятора: 960 м³/ч</li>
</ul>
</li>
<li>Напряжение:
<ul>
<li>Входное: 380 В</li>
<li>Выходное: от 230 до 400 В</li>
</ul>
</li>
<li>Максимальная выходная мощность: 21,5 кВт</li>
<li>Максимальная сила тока одной розетки: 16 А</li>
<li>Выходные розетки: 
<ul>
<li>Однофазные: 3 шт.</li>
<li>Трехфазные: 3 шт.</li>
</ul>
</li>
<li>Светодиодная подсветка:
<ul>
<li>Количество: 3 шт.</li>
<li>Напряжение: 12 В</li>
<li>Мощность: 1,5 кВт</li>
</ul>
</li>
<li>Частота: 50 Гц</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Наполнение в комплект поставки не входит и приобретается отдельно.</span></em></p>",365440,380 В,0.55 кВт,1613 мм,790 мм,1376 мм,250 кг,1,1735x915x1575 мм,0,,194 кг,Ю.Корея,Ю.Корея,,,,,
https://cdn.entero.ru/mp@2x/2c/74/2c74fa4365b4ab7ce421fc1ddbdf7caf.jpg,Станция кулинарная ВОК Astropit КС-ВОК-1403,Станция кулинарная ВОК Astropit КС-ВОК-1403,410000,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/224387,"<p>Кулинарная станция ВОК <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224387"">Astropit КС-ВОК-1403</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 конфорки ВОК</li>
<li>2 нейтральные ванны вместимостью 2 емкости GN 1/6 глубиной 150 мм каждая</li>
<li>2 охлаждаемых отделения с распашными дверьми</li>
<li>Ящик для отходов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Мощность 1 конфорки: 5 кВт</li>
</ul>",224387,380 В,15 кВт,1400 мм,800 мм,900 мм,,,,0,,80 кг,,Россия,2 wok-плиты,Да,1400 мм,,
https://cdn.entero.ru/mp@2x/dc/b0/dcb0fadbae66a9cade615a6bfa597542.jpg,Станция кулинарная ВОК Astropit КС-ВОК-1401,Станция кулинарная ВОК Astropit КС-ВОК-1401,490000,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/224369,"<p>Кулинарная станция ВОК <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224369"">Astropit КС-ВОК-1401</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 конфорки ВОК</li>
<li>2 нейтральные ванны вместимостью 2 емкости GN 1/6 глубиной 150 мм каждая</li>
<li>4 выдвижных охлаждаемых ящика</li>
<li>Ящик для отходов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Мощность 1 конфорки: 5 кВт</li>
</ul>",224369,380 В,15 кВт,1400 мм,800 мм,900 мм,,,,0,,80 кг,,Россия,2 wok-плиты,Да,1400 мм,4,
https://cdn.entero.ru/mp@2x/78/57/785723dcd7119c0ecc97ca8b2ce7691b.jpg,Станция кулинарная ВОК Astropit КС-ВОК-2607,Станция кулинарная ВОК Astropit КС-ВОК-2607,736000,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/224376,"<p>Кулинарная станция ВОК <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224376"">Astropit КС-ВОК-2607</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 конфорки ВОК</li>
<li>2 охлаждаемые ванны вместимостью 8 емкостей GN 1/6 глубиной 150 мм каждая</li>
<li>2 нейтральные ванны вместимостью 3 емкости GN 1/6 глубиной 150 мм каждая</li>
<li>6 охлаждаемых выдвижных ящиков</li>
<li>Рукомойник</li>
<li>Ящик для отходов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Мощность 1 конфорки: 5 кВт</li>
</ul>",224376,380 В,15 кВт,2600 мм,800 мм,900 мм,,,,0,774737,120 кг,,Россия,"2 wok-плиты, 2 охлаждаемые ванны",Да,2600 мм,6,Да
https://cdn.entero.ru/mp@2x/9b/06/9b066256734a9c6f16bc5988da6307b3.jpg,Станция кулинарная индукционная Astropit КС-ИНД-2006,Станция кулинарная индукционная Astropit КС-ИНД-2006,360000,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/224399,"<p>Индукционная кулинарная станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224399"">Astropit КС-ИНД-2006</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 индукционные варочные зоны</li>
<li>2 охлаждаемые ванны вместимостью 8 емкостей GN 1/6 глубиной 150 мм каждая</li>
<li>2 нейтральные ванны вместимостью 3 емкости GN 1/6 глубиной 150 мм каждая</li>
<li>Тумба для инвентаря</li>
<li>Ящик для отходов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Мощность 1 индукционной варочной зоны: 5 кВт</li>
</ul>",224399,380 В,15 кВт,2000 мм,800 мм,900 мм,,,,0,,70 кг,,Россия,"2 охлаждаемые ванны, 2 индукционных плиты",Да,2000 мм,,
https://cdn.entero.ru/mp@2x/95/c4/95c4fc00a1695f0b6c417d1460083355.jpg,Станция кулинарная ВОК Astropit КС-ВОК-2005,Станция кулинарная ВОК Astropit КС-ВОК-2005,380000,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/224390,"<p>Кулинарная станция ВОК <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224390"">Astropit КС-ВОК-2005</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 конфорки ВОК</li>
<li>2 охлаждаемые ванны вместимостью 8 емкостей GN 1/6 глубиной 150 мм каждая</li>
<li>2 нейтральные ванны вместимостью 2 емкости GN 1/6 глубиной 150 мм каждая</li>
<li>Тумба для инвентаря</li>
<li>Ящик для отходов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Мощность 1 конфорки: 5 кВт</li>
</ul>",224390,380 В,15 кВт,2000 мм,800 мм,900 мм,,,,0,400000,70 кг,,Россия,"2 wok-плиты, 2 охлаждаемые ванны",Да,2000 мм,,
https://cdn.entero.ru/mp@2x/13/1f/131f1e689b08b53dc176f4a6c31d8c91.jpg,Станция кулинарная ВОК Astropit КС-ВОК1-1400ПРЛ,Станция кулинарная ВОК Astropit КС-ВОК1-1400ПРЛ,391008,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/296351,"<p>Кулинарная станция WOK <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/296351"">Astropit КС-ВОК1-1400ПРЛ</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочая поверхность выполнены из нержавеющей стали.</p>

<p><span style=""color:#FF0000;"">Внимание! Гастроемкости не входят в комплект поставки!</span></p>

<p><b>Комплектация:</b></p>

<ul>
<li>Плита ВОК</li>
<li>Стол холодильный с 4 выдвижными ящиками с автодоводчиками</li>
<li>Кран, лоток для слива</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Вместимость отделения для ингредиентов:
<ul>
<li>4хGN 1/6</li>
<li>2хGN 1/3</li>
<li>2хGN 1/6+1хGN1/3</li>
</ul>
</li>
<li>Глубина: до 200 мм</li>
<li>Размер рабочей поверхности: 460х810 мм</li>
<li>Размер ящиков: 300х500х140 мм</li>
<li>Мощность 1 конфорки: 5 кВт</li>
</ul>",296351,380 В,5.5 кВт,,,,,,,0,425009,,,Россия,,Да,810 мм,4,
https://cdn.entero.ru/mp@2x/88/c4/88c44fdeab52b343f495ddfb0251d7b0.jpg,Станция кулинарная индукционная Astropit КС-ИНД-2606,Станция кулинарная индукционная Astropit КС-ИНД-2606,396000,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/224393,"<p>Индукционная кулинарная станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224393"">Astropit КС-ИНД-2606</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 индукционные варочные зоны</li>
<li>2 охлаждаемые ванны вместимостью 8 емкостей GN 1/6 глубиной 150 мм каждая</li>
<li>2 нейтральные ванны вместимостью 3 емкости GN 1/6 глубиной 150 мм каждая</li>
<li>Тумба для инвентаря</li>
<li>Ящик для отходов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Мощность 1 индукционной варочной зоны: 5 кВт</li>
</ul>",224393,380 В,15 кВт,2600 мм,800 мм,900 мм,,,,0,421277,80 кг,,Россия,"2 охлаждаемые ванны, 2 индукционных плиты",Да,2600 мм,,
https://cdn.entero.ru/mp@2x/bb/bd/bbbd82409afcff8e0b1d7f05d526d0af.jpg,Станция кулинарная индукционная Astropit КС-ИНД-1404,Станция кулинарная индукционная Astropit КС-ИНД-1404,400000,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/224402,"<p>Индукционная кулинарная станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/224402"">Astropit КС-ИНД-1404</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 индукционные варочные зоны</li>
<li>2 нейтральные ванны вместимостью 3 емкости GN 1/6 глубиной 150 мм каждая</li>
<li>2 охлаждаемых отделения с распашными дверьми</li>
<li>Ящик для отходов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Мощность 1 индукционной варочной зоны: 5 кВт</li>
</ul>",224402,380 В,15 кВт,1400 мм,800 мм,900 мм,,,,0,,80 кг,,Россия,2 индукционных плиты,Да,1400 мм,,
https://cdn.entero.ru/mp@2x/ec/c8/ecc837f5b085d4c786b373a0b37dced2.jpg,Станция кулинарная ВОК Astropit КС-ВОК-2605,Станция кулинарная ВОК Astropit КС-ВОК-2605,413000,RUB,Нет,,Профоборудование,Тепловое,Станции кулинарные,https://entero.ru/item/224372,"<p>Кулинарная станция ВОК <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224372"">Astropit КС-ВОК-2605</a> </b>предназначена для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена 2 независимыми панелями управления с круговыми регуляторами и цифровыми дисплеями. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 конфорки ВОК</li>
<li>2 охлаждаемые ванны вместимостью 8 емкостей GN 1/6 глубиной 150 мм каждая</li>
<li>2 нейтральные ванны вместимостью 3 емкости GN 1/6 глубиной 150 мм каждая</li>
<li>Тумба для инвентаря</li>
<li>Ящик для отходов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Простое управление </li>
<li>Эргономичный современный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Мощность 1 конфорки: 5 кВт</li>
</ul>",224372,380 В,15 кВт,2600 мм,800 мм,900 мм,,,,0,430208,80 кг,,Россия,"2 wok-плиты, 2 охлаждаемые ванны",Да,2600 мм,,
