Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Борт,Объем,Материал,Формат,Тип дверей,Температурный режим камеры,Количество дверей,Тип стола,Сквозной,Температурный режим столешницы,Открытый
https://cdn.entero.ru/mp@2x/2c/8e/2c8e62b57c694df17721c51685a0e503.jpg;https://cdn.entero.ru/mp@2x/bd/a3/bda3fc47b86fbd94a4b8588fbe48b93e.jpg,Шкаф тепловой Abat ПТШ-16-1-1,Шкаф тепловой Abat ПТШ-16-1-1,154000,RUB,Да,Abat,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/246615,"<p>Тепловой шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/246615""><b class=""b"">Abat ПТШ-16-1-1</b></a> предназначен для поддержания в горячем состоянии готовых блюд на предприятиях общественного питания и торговли. Оборудование оснащено электронагревателем, терморегулятором, распашной дверью, ручками с 2-х сторон для удобства транспортировки и 4 поворотными колесами с тормозным механизмом. Камера и наружные поверхности выполнены из высококачественной нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней: 16</li>
<li>Типоразмер гастроемкости: GN 1/1</li>
<li>Расход электроэнергии для поддержания температуры 90 °С: 1,5 кВт/час</li>
<li>Время разогрева шкафа до 90 °С: 40 мин</li>
<li>Расстояние между уровнями: 70 мм</li>
<li>Максимальная нагрузка:
<ul>
<li>На противень: 3,5 кг</li>
<li>На шкаф: 160 кг</li>
</ul>
</li>
</ul>",246615,220 В,,540 мм,696 мм,1636 мм,122 кг,Россия,1,1700x610x900 мм,0,https://entero.ru/manuals/408717/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%A2%D0%A8-16-1-1.pdf;https://entero.ru/manuals/408718/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/408719/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%A2%D0%A8-16-1-1.pdf,167391,,85 кг,,,нерж. сталь,тепловой шкаф,распашные двери,от 30 до 90 °С,1,,,,
https://cdn.entero.ru/mp@2x/f1/74/f174c2f85382102a9747904bc024b617.jpg,Шкаф тепловой Gastrolux ШТО-057/10GN,Шкаф тепловой Gastrolux ШТО-057/10GN,221928,RUB,Да,Gastrolux,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/74908,"<p>Тепловой шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74908"">Gastrolux ШТО-057/10GN</a></b> предназначен для поддержания в горячем состоянии готовых блюд на предприятиях общественного питания и торговли. Оборудование оснащено распашной дверью с 2 фиксаторами и ручкой для передвижения.</p>

<p>Возможно исполнение под любое количество и размер емкостей.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней: 10</li>
<li>Типоразмер гастроемкости: GN 1/1 (530х325 мм)</li>
<li>Диаметр колес: 125 мм</li>
</ul>",74908,220 В,1 кВт,500 мм,700 мм,1850 мм,,Россия,,,0,https://entero.ru/manuals/442922/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastrolux%20%D0%A8%D0%A2%D0%9E-057_10GN.pdf;https://entero.ru/manuals/488898/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,238632,,75 кг,,,нерж. сталь,тепловой шкаф,,от 30 до 80 °С,1,,,,
https://cdn.entero.ru/mp@2x/91/d0/91d08c47e41008911a70f1c7c5423198.jpg,"Стол тепловой HICOLD TS 15 GN, двери-купе",TS430 15 GN,94649,RUB,Да,HICOLD,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/34021,"<p>Пристенный тепловой стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/34021""><b class=""b"">HICOLD TS 15 GN</b></a> используется для подогрева тарелок перед сервировкой, а также для кратковременного сохранения блюд в горячем виде, на предприятиях общественного питания. Прибор оснащен дверями купе.</p>

<p>Нагрев объёма теплового стола производится с помощью электронагревателя (ТЭНа). Специальная конструкция препятствует нагреву всех внешних поверхностей, так как двойные стенки корпуса и дверок обеспечивают сохранение заданной температуры и защищают лицевые поверхности от нагрева. Горячие блюда раскладываются в подогретые тарелки, что исключает преждевременное остывание. Прибор полностью выполнен из нержавеющей стали марки AISI 430.</p>",34021,220 В,2.03 кВт,1500 мм,700 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/74288/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20TS%2015%20GN.doc;https://entero.ru/manuals/439750/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/439751/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,102879,,85 кг,Да,390 л,нерж. сталь,тепловой стол,,65 °С,2,обогреваемая камера,,,
https://cdn.entero.ru/mp@2x/dc/77/dc772ea088f5b1201d50ac85ce73a61b.jpg;https://cdn.entero.ru/mp@2x/55/f2/55f225a333f663c096f4d788f31211b1.jpg,Шкаф тепловой REDGASTRO RGUFC-F с пароувлажнением,Шкаф тепловой REDGASTRO RGUFC-F с пароувлажнением,255283,RUB,Да,,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/345973,"<p>Тепловой шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345973""><b class=""b"">REDGASTRO RGUFC-F</b></a> используется на предприятиях общественного питания и торговли для поддержания в горячем состоянии фастфуда и других готовых блюд. Модель оснащена электронной панелью управления, 15 уровнями универсальных направляющих, поворотными колесами и стопперами. Корпус выполнен из высококачественной нержавеющей стали, смотровые окна - из закалённого стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Нагрев до заданной температуры за 30 мин.</li>
<li>Возможность использования в качестве расстоечной камеры</li>
<li>Самозакрывающиеся двери с магнитным уплотнителем</li>
<li>Цифровой термометр</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер камеры: 514х671х1454 мм</li>
<li>Вместимость: 15 противней 660х460 или 600х400 / 15 гастроемкостей GN1/1-65</li>
</ul>",345973,220 В,2.2 кВт,636 мм,805 мм,1854 мм,,Китай,,,10,https://entero.ru/manuals/473735/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20REDGASTRO%20RGUFC-F.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240921&hash=53e772d7b16c3624,,,,нерж. сталь,тепловой шкаф,распашные двери,от 25 до 88 °С,2,,,,
https://cdn.entero.ru/mp@2x/46/b2/46b2953ac88b0f30e7b109d063c3d3c9.jpg;https://cdn.entero.ru/mp@2x/7e/58/7e58ec4f9c87b9c4e386a4ae9ed5c11f.jpg;https://cdn.entero.ru/mp@2x/4a/5d/4a5df26fd5fd4422b713a54a1025a14d.jpg,Шкаф для хранения продуктов RoboLabs ISTOMA Mini Hold,124419,321942,RUB,Да,RoboLabs,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/219619,"<p>Шкаф для хранения продуктов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/219619""><b class=""b"">ТТМ ISTOMA Mini Hold</b></a> ​предназначен для подогрева, поддержания в теплом состоянии различных горячих блюд на предприятиях общественного питания, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров. Модель оснащена интуитивно понятным электромеханическим управлением.</p>

<p>В комплект поставки входят 2 поддона в камеру, 2 лотка под дверь, 4 направляющих для полок, 2 съемных жиросборника и 4 поворотных колеса. Гастроемкости в комплект поставки не входят.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Система нагрева 3D Surround Heat обеспечивает равномерное распределение тепла и поддерживает в камере одинаковую температуру вокруг продукта без принудительной конвекции воздушного потока</li>
<li>Равномерное распределение тепла обеспечивается благодаря нагревательным элементам, которые располагаются по периметру камеры</li>
<li>Позволяет сохранять естественную влажность продукта </li>
<li>10 пар направляющих для GN 1/1 в каждой камере</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка: 30 кг</li>
<li>Внутренний размер камеры: 350х560х520 мм</li>
</ul>",219619,220 В,3.4 кВт,460 мм,710 мм,1450 мм,,Россия,,,0,https://entero.ru/manuals/260631/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,346174,,100 кг,,200 л,,тепловой шкаф,распашные двери,от 30 до 90 °С,2,,,,
https://cdn.entero.ru/mp@2x/b9/b7/b9b71791f5f207e688c773789f067ec1.jpg;https://cdn.entero.ru/mp@2x/01/0e/010e9e264792e5c9cd93c7e6222a47b7.jpg;https://cdn.entero.ru/mp@2x/55/62/5562d83179b2b7e7066d09329b903511.jpg;https://cdn.entero.ru/mp@2x/ad/7f/ad7f7e1b824d903eeaadb904219c9405.jpg,Шкаф для подогрева тарелок Hurakan HKN-TSH2,159489,55672,RUB,Да,Hurakan,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/83611,"<p>Шкаф для подогрева тарелок <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83611"">Hurakan HKN-TSH2</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена 2 бункерами для тарелок, быстрой и простой системой настройки пружин и 4 колесами для удобной траспортировки, 2 из которых с тормозами.</p>

<p>В комплект поставки входят колпаки на бункеры для тарелок.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость тарелок: 75 + 75</li>
<li>Диаметр тарелок: от 245 до 300 мм</li>
</ul>",83611,220 В,0.8 кВт,450 мм,950 мм,900 мм,49 кг,Китай,1,550x1000x970 мм,0,https://entero.ru/manuals/58838/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-TSH2.docx;https://entero.ru/manuals/414757/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-TSH2.pdf;https://entero.ru/manuals/414758/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414760/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,57992,,48 кг,,,,тепловой шкаф,,,,обогреваемая камера,,,
https://cdn.entero.ru/mp@2x/d5/12/d51291e23356e74ad489a98585a89480.jpg,Шкаф тепловой Hurakan HKN-HW11,Шкаф тепловой Hurakan HKN-HW11,129092,RUB,Да,Hurakan,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/313332,"<p>Тепловой шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/313332"">Hurakan HKN-HW11</a></b> используется на предприятиях общественного питания и торговли для подогрева, поддержания в теплом состоянии и подачи различных горячих блюд. Модель оснащена удобной в использовании электромеханической панелью управления и 2 вентиляторами.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней: 11</li>
<li>Размер решетки: 650х530 мм</li>
</ul>",313332,220 В,2.52 кВт,780 мм,960 мм,1790 мм,148 кг,Китай,1,790x960x1710 мм,0,https://entero.ru/manuals/416682/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/484490/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-HW11.pdf,138809,,,,,,тепловой шкаф,распашные двери,,1,обогреваемая камера,,,
https://cdn.entero.ru/mp@2x/df/5a/df5a474ff16e773b29c262c54746bbe6.jpg;https://cdn.entero.ru/mp@2x/52/41/5241bf541dea8b4a5ca40e6e992d13a3.jpg,Шкаф тепловой Gastrolux ШТО-078/10GN,Шкаф тепловой Gastrolux ШТО-078/10GN,265203,RUB,Да,Gastrolux,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/343950,"<p>Тепловой шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343950"">Gastrolux ШТО-078/10GN</a></b> предназначен для транспортировки, кратковременного хранения и поддержания температуры горячих блюд и напитков на предприятиях общественного питания и торговли. Терморегулятор задает необходимую температуру внутри шкафа, термостойкий уплотнитель обеспечивает максимальную теплоизоляцию двери. Съемная эргономичная ручка гарантирует удобство в передвижении шкафа, фиксаторы предотвращают случайное открытие двери во время транспортировки горячих блюд.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическое управление</li>
<li>Конвекционная однокамерная модель</li>
<li>Глухая изолированная дверь</li>
<li>2 колеса с тормозом</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней: 10</li>
<li>Типоразмер гастроемкости: GN 2/1</li>
<li>Диаметр колес: 125 мм</li>
</ul>",343950,220 В,1.25 кВт,700 мм,800 мм,1820 мм,174 кг,Россия,1,860x905x1940 мм,0,https://entero.ru/manuals/488899/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,120 кг,,,,тепловой шкаф,распашные двери,от +30 до +80 °С,1,обогреваемая камера,,,
https://cdn.entero.ru/mp@2x/55/29/5529b47abcc6b313774b913a4f472668.jpg,Шкаф тепловой Kocateq 2009E,2009/E,26039,RUB,Да,Kocateq,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/41449,"<p>Тепловой шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/41449"">Kocateq 2009E</a></b> предназначен для подогрева тарелок перед выкладыванием на них продуктов питания и поддержания температуры на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Модель оснащена защитным термостатом, автоматически отключающим напряжение для предотвращения перегрева. Полка выполнена из нержавеющей стали, корпус - из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статический обогрев ТЭНами</li>
<li>Рабочая поверхность для сервировки блюд непосредственно на шкафу</li>
<li>Регулируемая по высоте сетчатая полка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 60 шт.</li>
<li>Диаметр тарелок: 320 мм​</li>
<li>Шаг регулировки высоты установки полки: 25 мм</li>
<li>Габариты в упаковке: 500х500х880 мм</li>
</ul>",41449,220 В,0.75 кВт,485 мм,485 мм,850 мм,,Ю. Корея,,,0,https://entero.ru/manuals/111594/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,27124,,,,,нерж. сталь,тепловой шкаф,распашные двери,от 30 до 80 °С,1,,,,
https://cdn.entero.ru/mp@2x/5d/db/5ddb1d50fe6a2e83b546f73a27007806.jpg,Стол тепловой KAYMAN ТСП-11/1507,Стол тепловой KAYMAN ТСП-11/1507,80607,RUB,Да,KAYMAN,Профоборудование,Тепловое,Столы и шкафы тепловые,https://entero.ru/item/198367,"<p>Пристенный тепловой стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198367""><b class=""b"">KAYMAN ТСП-11/1507</b></a> используется для подогрева тарелок перед сервировкой, а также для сохранения блюд и напитков в горячем виде на предприятиях общественного питания и торговли. Модель оснащена микроконтроллером, 2 дверями-купе и полкой. Корпус, двери, полка и рабочая поверхность выполнены из нержавеющей стали AISI 430, столешница усилена ЛДСП.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина материалов:
<ul>
<li>Сталь рабочая поверхность: 0,8 мм</li>
<li>Сталь корпус: 0,8 мм</li>
<li>Сталь полка: 0,8 мм</li>
<li>Сталь задняя стенка: 0,5 мм</li>
<li>ЛДСП столешница: 32 мм</li>
</ul>
</li>
<li>Высота борта: 70 мм</li>
<li>Габариты в упаковке: 1520х720х870 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",198367,220 В,2 кВт,1500 мм,700 мм,850 мм,,Россия,,,0,,87616,,81.83 кг,Да,,нерж. сталь,тепловой стол,двери-купе,55 °С,2,обогреваемая камера,,,
