Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Количество уровней,Загрузка,Решетка для булочек,Максимальная загрузка тостов,Конвейерный,Ширина конвейера
https://cdn.entero.ru/mp@2x/bd/92/bd92d8adde8cc9f6c1a3cdd0d3ccfe56.jpg,Тостер Roller Grill BAR 1000,Тостер Roller Grill BAR 1000,24607,RUB,Да,Roller Grill,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/20421,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/20421"">Roller Grill BAR 1000</a></b> предназначен для разогрева и поджаривания готовых к употреблению кулинарных изделий: булочек, бутербродов, рулетов, закрытых сэндвичей, сосисок, пицц и т.д. на предприятиях общественного питания и торговли. Модель оснащена 2 поворотными тумблерами для регулировки температуры нагрева рабочей поверхности и таймером на 15 минут с возможностью отключения. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входит съемный поддон для сбора крошек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая панель управления</li>
<li>4 ступени нагрева</li>
<li>Инфракрасные кварцевые трубки</li>
<li>Световой индикатор</li>
<li>Съемная задняя панель для легкой чистки</li>
<li>Функция гриля-саламандры</li>
<li>ТЭНы с защитными решетками</li>
<li>Быстрый нагрев</li>
<li>4 резиновые ножки</li>
</ul>

<p><strong>Дополнительные характеристики:</strong></p>

<ul>
<li>Внутренние размеры: 350х240x75 мм</li>
</ul>",20421,220 В,2 кВт,450 мм,300 мм,305 мм,9 кг,Франция,1,340x360x305 мм,30,https://entero.ru/manuals/20586/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/374261/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20BAR%201000.pdf;https://entero.ru/manuals/425247/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Roller%20Grill%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,25632,,9 кг,150 шт./ч,1,горизонтальная,Да,,,
https://cdn.entero.ru/mp@2x/f0/72/f0722c891564b0f809472f3aaa046159.jpg;https://cdn.entero.ru/mp@2x/50/aa/50aab01d34fdc7cec902bb2ce8c13d9b.jpg;https://cdn.entero.ru/mp@2x/6f/42/6f42d0c53980319ac4a897722c507eca.jpg;https://cdn.entero.ru/mp@2x/a6/71/a6717704d12bcfc1a35cc9a5b16fe91a.jpg,Тостер Hurakan HKN-TPT4,149933,7817,RUB,Да,Hurakan,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/73544,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73544"">Hurakan HKN-TPT4</a></b> предназначен для подогрева и поджарки кусочков хлеба на предприятиях общественного питания и торговли. Модель оснащена таймером на 5 минут. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер ломтика: 100х100х10 мм</li>
<li>Производительность: 2 или 4 ломтика за раз</li>
<li>Габариты в упаковке: 300х340х260 мм</li>
</ul>",73544,220 В,2.24 кВт,220 мм,330 мм,215 мм,4 кг,Китай,1,340x300x260 мм,26,https://entero.ru/manuals/415347/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-TPT4.pdf;https://entero.ru/manuals/415349/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-TPT4.pdf;https://entero.ru/manuals/415350/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415351/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454620/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-TPT4.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241091&hash=7dbe94019b1addd1,4.5 кг,,1,вертикальная,,4,,
https://cdn.entero.ru/mp@2x/56/78/567882eb7a8924492e6f8eab95e170f7.jpg;https://cdn.entero.ru/mp@2x/d5/76/d576299a4a001c88f83fedbdfbf50706.jpg,Тостер Airhot VT-4,Тостер Airhot VT-4,8921,RUB,Да,Airhot,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/125391,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125391"">Airhot VT-4</a></b> предназначен для подогрева и поджарки кусочков хлеба и гренок на предприятиях общественного питания и торговли. Модель оснащена инфракрасными нагревательными элементами, таймером до 5 минут, ручкой для ручного выброса готового продукта и поддоном для сбора крошек. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 390х300х260 мм</li>
</ul>",125391,220 В,2.24 кВт,370 мм,210 мм,225 мм,,Китай,,,0,https://entero.ru/manuals/134981/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20VT-4.pdf;https://entero.ru/manuals/482036/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,11014,,4 кг,,,вертикальная,,4,,
https://cdn.entero.ru/mp@2x/9e/2d/9e2dc428b36b0ab4c909edcd211881a9.jpg,Тостер конвейерный Hurakan HKN-LONG VV,170900,28094,RUB,Да,Hurakan,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/93520,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93520"">Hurakan HKN-LONG VV</a></b> предназначен для подогрева и поджарки кусочков хлеба на предприятиях общественного питания и торговли. Модель оснащена плавной регулировкой скорости конвейера, переключателем режимов работы, решеткой, выводным желобом и поддоном для крошек. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 настройки подогрева: сверху, снизу и с 2-х сторон</li>
<li>4 режима работы</li>
</ul>",93520,220 В,1.7 кВт,362 мм,502 мм,330 мм,11.6 кг,Китай,1,600x450x430 мм,0,https://entero.ru/manuals/81069/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-LONG%20VV.doc;https://entero.ru/manuals/414215/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-LONG%20VV.pdf;https://entero.ru/manuals/414216/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-LONG%20VV.pdf;https://entero.ru/manuals/414222/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414217/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,9.6 кг,300 шт./ч,1,горизонтальная,,,Да,
https://cdn.entero.ru/mp@2x/7e/8c/7e8c3091a7f60bd1c891a1e142353008.jpg,Тостер Hurakan HKN-TPT6,Тостер Hurakan HKN-TPT6,9795,RUB,Да,Hurakan,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/73546,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73546"">Hurakan HKN-TPT6</a></b> предназначен для подогрева и поджарки кусочков хлеба на предприятиях общественного питания и торговли. Модель оснащена таймером на 5 минут. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер ломтика: 100х100х10 мм</li>
<li>Производительность: 3 или 6 ломтиков за раз</li>
<li>Габариты в упаковке: 480х260х260 мм</li>
</ul>",73546,220 В,2.5 кВт,420 мм,220 мм,220 мм,6 кг,Китай,1,310x470x260 мм,16,https://entero.ru/manuals/415342/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-TPT6.pdf;https://entero.ru/manuals/415344/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-TPT6.pdf;https://entero.ru/manuals/415345/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415346/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454622/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-TPT6.pdf,,,6 кг,,1,вертикальная,,6,,
https://cdn.entero.ru/mp@2x/b5/42/b542da158e2400498b9b253d77dae6b2.jpg,Тостер конвейерный Airhot CT-300,Тостер конвейерный Airhot CT-300,27356,RUB,Да,Airhot,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/75131,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/75131"">Airhot CT-300</a></b> предназначен для подогрева и поджарки кусочков хлеба, горячих бутербродов, сэндвичей и гренок на предприятиях общественного питания и торговли. Модель оснащена регулятором работы ТЭНов, регулировкой степени прожарки и поддоном для сбора крошек. Корпус выполнен из нержавеющей стали, перфорированные стенки обеспечивают хорошее охлаждение нагревательного элемента и предохраняют от перегрева. Настройка выхода тостов как сзади, так и спереди аппарата.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер рабочей поверхности: 180x280 мм</li>
</ul>",75131,220 В,1.4 кВт,400 мм,420 мм,400 мм,,Китай,,,0,https://entero.ru/manuals/96239/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CT-300.pdf;https://entero.ru/manuals/481938/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,29735,,15 кг,250 шт./ч,,горизонтальная,Да,,Да,180 мм
https://cdn.entero.ru/mp@2x/69/d7/69d70382a4cafd92569ba2e97aaaa26e.jpg;https://cdn.entero.ru/mp@2x/fb/34/fb34b8a1c61584bce84f1caa6e939f44.jpg;https://cdn.entero.ru/mp@2x/6c/74/6c740781c23e1d58a344adfdf760a903.jpg;https://cdn.entero.ru/mp@2x/bc/b0/bcb0c04cc9cff7567dc1d91f5755b22f.jpg;https://cdn.entero.ru/mp@2x/77/d1/77d11886bab238945ea94b65957b7ad7.jpg;https://cdn.entero.ru/mp@2x/9e/17/9e179511a152ef41c3f7477b51272cca.jpg;https://cdn.entero.ru/mp@2x/90/7f/907fcab85689738030ce13136e203260.jpg;https://cdn.entero.ru/mp@2x/42/f3/42f37bf182b04f795a272438189e9758.jpg;https://cdn.entero.ru/mp@2x/3e/16/3e16455ae2d2554364a68ab7e847eff8.jpg;https://cdn.entero.ru/mp@2x/c4/ed/c4ed89dd19158bb1aee6c605ce8a8d07.jpg,Тостер конвейерный RoboLabs RoboToaster,166137,136183,RUB,Да,RoboLabs,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/95075,"<p>Конвейерный тостер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/95075""><b class=""b"">ТТМ RoboToaster</b></a> предназначен для подогрева и поджарки предварительно разрезанных булочек на предприятиях общественного питания и торговли. Модель оснащена электромеханическим управлением. Конструкция выполнена из нержавеющей стали AISI 430, нагревательная поверхность - из алюминия, контактная часть (коврик) - тефлон, сетчатая конвейерная лента - из нержавеющего прутка толщиной 4 мм.</p>

<p>В комплект поставки входят 2 коврика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 бункера для загрузки разных половин булочек</li>
<li>Подогревается вся булочка, поджаривается только срез</li>
<li>Наклонная рабочая плоскость для удобства загрузки</li>
<li>Съемный лоток для хранения готовых булочек</li>
<li>Регулируемая высота нагревательных элементов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 200 до 300 ºС</li>
<li>Максимальный размер булочки: 160х35 мм</li>
<li>Время подогрева булочки: 12 сек.</li>
<li>Ширина загрузочного отверстия: 330 мм</li>
<li>Перепад высоты двух частей загрузочного отверстия: 7 мм</li>
<li>Максимальная ширина между конвейерной лентой и греющей поверхностью: 20 мм</li>
</ul>",95075,220 В,2.5 кВт,590 мм,460 мм,670 мм,,Россия,,,0,https://entero.ru/manuals/84834/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20RoboToaster.pdf;https://entero.ru/manuals/84836/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%A2%D0%A2%D0%9C%20RoboToaster.jpg;https://entero.ru/manuals/417261/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239332&hd=2&autoplay=0,40 кг,1700 шт./ч,,вертикальная,,,Да,330 мм
https://cdn.entero.ru/mp@2x/17/ee/17ee590a31aadba333489bba2f69ff82.jpg,Тостер Airhot VT-6,Тостер Airhot VT-6,9605,RUB,Да,Airhot,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/125392,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125392"">Airhot VT-6</a></b> предназначен для подогрева и поджарки кусочков хлеба и гренок на предприятиях общественного питания и торговли. Модель оснащена инфракрасными нагревательными элементами, таймером до 5 минут, ручкой для ручного выброса готового продукта и поддоном для сбора крошек. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 480х300х260 мм</li>
</ul>",125392,220 В,3.24 кВт,460 мм,210 мм,225 мм,6 кг,Китай,1,480x300x260 мм,0,https://entero.ru/manuals/134982/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20VT-6.pdf;https://entero.ru/manuals/482037/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5 кг,,,вертикальная,,6,,
https://cdn.entero.ru/mp@2x/1e/4f/1e4f040fc107e2c263e26b12648989db.jpg,Тостер Roller Grill BAR 2000,Тостер Roller Grill BAR 2000,38447,RUB,Да,Roller Grill,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/27549,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/27549"">Roller Grill BAR 2000</a></b> предназначен для разогрева и поджаривания готовых к употреблению кулинарных изделий: булочек, бутербродов, рулетов, закрытых сэндвичей, сосисок, пицц и т.д. на предприятиях общественного питания и торговли. Модель оснащена 2 поворотными тумблерами для регулировки температуры нагрева рабочей поверхности и таймером на 15 минут с возможностью отключения. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят 2 гриль-решетки и специальные щипцы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая панель управления</li>
<li>Инфракрасные кварцевые трубки</li>
<li>Световой индикатор</li>
<li>Съемная задняя панель для легкой чистки</li>
<li>4 резиновые ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры: 350х240 мм</li>
</ul>",27549,220 В,3 кВт,450 мм,285 мм,420 мм,,Франция,,,8,https://entero.ru/manuals/20587/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/374260/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20BAR%202000.pdf,40471,,12 кг,300 шт./ч,2,горизонтальная,Да,,,
https://cdn.entero.ru/mp@2x/c9/7c/c97c604c2ae6eacfba37aa3969f79ccc.jpg;https://cdn.entero.ru/mp@2x/7d/e4/7de4a73aca44700672c5fede136277ee.jpg;https://cdn.entero.ru/mp@2x/47/bc/47bc64568be41c7b8f528ffb1954fe53.jpg;https://cdn.entero.ru/mp@2x/c8/24/c824853105c3e40351c9ffe9468be012.jpg,Тостер конвейерный Roller Grill CT-540 B,CT540B / CT 540 B,114852,RUB,Да,Roller Grill,Профоборудование,Тепловое,Тостеры,https://entero.ru/item/70567,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/70567"">Roller Grill CT-540 B</a></b> предназначен для подогрева и поджарки кусочков хлеба на предприятиях общественного питания и торговли. Задняя панель тостера снимается, что позволяет направлять выход готового продукта на тыльную сторону, используя приемную решетку. Задняя приемная решетка, загрузочный и приемный фронтальные поддоны снимаются для легкой очистки. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка скорости конвейера</li>
<li>Регулировка верхних и нижних нагревательных элементов</li>
<li>Кварцевые нагревательные элементы: 2 комплекта по 4 кварцевые трубки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры: 300x335 мм</li>
</ul>",70567,220 В,2.65 кВт,500 мм,680 мм,460 мм,,Франция,,,13,https://entero.ru/manuals/425840/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20CT-540%20B.pdf,,,21 кг,540 шт./ч,,,,,Да,300 мм
