Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Установка,Подключение,Вес (с упаковкой),Количество ванн,Линия 700,Линия 900,Таймер,Объем одной ванны,Общий объем фритюрного масла,Кран для слива масла,Холодная зона,Вместимость чебуреков,Встроенная система фильтрации,Автоподъем корзин
https://cdn.entero.ru/mp@2x/af/b4/afb47d50e0de9926a1a28da9ec39ee13.jpg;https://cdn.entero.ru/mp@2x/3f/3e/3f3e42541af33b0a2e182e51b50d647b.jpg;https://cdn.entero.ru/mp@2x/a0/fe/a0feae7fec4cbc15e066108cf7122c26.jpg;https://cdn.entero.ru/mp@2x/de/5f/de5f27b5b0395a1ddae28b787bde138a.jpg,Фритюрница Airhot EF8+8,EF-8+8,13389,RUB,Да,Airhot,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/72547,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72547"">Airhot EF8+8</a></b> предназначена для приготовления различных продуктов в большом количестве масла на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления с 2 регуляторами температуры и 2 термостатами: рабочим и аварийным. Корпус и ванна выполнены из нержавеющей стали, ручка корзины - из термостойкого пластика.</p>

<p>В комплект поставки входят корзины с крышками.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Индикаторы нагрева и питания</li>
<li>Крышка поддерживает чистоту и сохраняет тепло в жарочной ванне</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер корзины: 240х185х143 мм</li>
<li>Размер ванны: 300х235х195 мм</li>
<li>Количество электрических вилок: 2 шт.</li>
</ul>",72547,традиционная,от 60 до 190 °С,6.5 кВт,538 мм,415 мм,345 мм,13 кг,Китай,1,570x440x365 мм,0,https://entero.ru/manuals/96253/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20EF8+8.pdf;https://entero.ru/manuals/481952/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,11 кг,настольная,220 В,,2,,,,8 л,,,,,,
https://cdn.entero.ru/mp@2x/e6/c1/e6c1b95e4016523650affd9811565b2e.jpg,Фритюрница электрическая Abat ЭФК-40/2Н,21000000542,100188,RUB,Да,Abat,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/19034,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19034"">Abat ЭФК-40/2Н</a></b> предназначена для приготовления различных продуктов в большом количестве масла на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Фритюрница используется совместно с вытяжным зонтом <a href=""https://entero.ru/item/24918"">ЗВЭ-900-4-О</a>, <a href=""https://entero.ru/item/20760"">ЗВЭ-900-2-П</a>, <a href=""https://entero.ru/item/24917"">ЗВЭ-800-2-П</a>, <a href=""https://entero.ru/item/30192"">ЗВЭ-900-1,5-П</a>.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 термостата</li>
<li>2 аварийных термовыключателя</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная потребляемая мощность: 5 кВт</li>
<li>Максимальное количество продукта: 1 (2х0,5) кг</li>
<li>Вместимость ванны: 19,6 (2х9,8) дм<sup>3</sup></li>
<li>Температура срабатывания термовыключателя: 230 °С</li>
<li>Время разогрева масла до 190 °С: 15 мин.</li>
<li>Размер корзины: 320x95x131 мм</li>
</ul>",19034,традиционная,от 20 до 190 °С,5 кВт,483 мм,770 мм,470 мм,59.6 кг,Россия,1,556x900x553 мм,0,https://entero.ru/manuals/508861/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A4%D0%9A-40_2%D0%9D.pdf;https://entero.ru/manuals/508862/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/508863/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A4%D0%9A-40_2%D0%9D.pdf,105461,,36 кг,настольная,380 В,,2,Да,,,6.5 л,13 л,Да,,,,
https://cdn.entero.ru/mp@2x/96/5a/965adf2b6bf25216a3ec2eca5e92d935.jpg;https://cdn.entero.ru/mp@2x/42/38/4238381cadc25c6b6fa975d2cf0f3e6a.jpg;https://cdn.entero.ru/mp@2x/d6/ea/d6ea7eeb9eb8e99e29e97dade698c4b7.jpg;https://cdn.entero.ru/mp@2x/d9/10/d91077e155ab4033c421ac86c95eda3c.jpg,Фритюрница электрическая Abat ЭФК-90/2П,21000801049 / ЭФК-90-2П,145942,RUB,Да,Abat,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/24916,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/24916"">Abat ЭФК-90/2П</a></b> предназначена для приготовления различных продуктов в большом количестве масла на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Фритюрница используется совместно с вытяжным зонтом <a href=""https://entero.ru/item/24918"">ЗВЭ-900-4-О</a>, <a href=""https://entero.ru/item/20760"">ЗВЭ-900-2-П</a>, <a href=""https://entero.ru/item/24917"">ЗВЭ-800-2-П</a>, <a href=""https://entero.ru/item/30192"">ЗВЭ-900-1,5-П</a>.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 термостата</li>
<li>2 аварийных термовыключателя</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная потребляемая мощность: 14 кВт</li>
<li>Максимальное количество продукта: 2 (2х1) кг</li>
<li>Вместимость ванны: 35,8 (2х17,9) дм<sup>3</sup></li>
<li>Температура срабатывания термовыключателя: 230 °С</li>
<li>Время разогрева масла до 190 °С: 17 мин.</li>
<li>Размер корзины: 400х150х131 мм </li>
</ul>",24916,традиционная,от 20 до 190 °С,14 кВт,550 мм,899 мм,940 мм,90 кг,Россия,1,630x1015x1168 мм,0,https://entero.ru/manuals/508875/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A4%D0%9A-90_2%D0%9F.pdf;https://entero.ru/manuals/508876/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/508877/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/508878/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%A4%D0%9A-90_2%D0%9F.pdf,156927,,60 кг,напольная,380 В,,2,,Да,,11.4 л,22.8 л,Да,,,,
https://cdn.entero.ru/mp@2x/d3/db/d3db298100a2d6881f53f5dc14ef1259.jpg;https://cdn.entero.ru/mp@2x/dd/5e/dd5edb29f63136b6124a4227a4723797.jpg;https://cdn.entero.ru/mp@2x/98/0c/980c1a749ec72ab988d24bb386212499.jpg;https://cdn.entero.ru/mp@2x/95/1c/951c0e2ef21d39cfcdfdc19fb7efdc0d.jpg;https://cdn.entero.ru/mp@2x/5f/62/5f620da368135424d2d2ec41fbff88f2.jpg;https://cdn.entero.ru/mp@2x/91/8f/918fbc559c73cc7fb8eab7f72e69cf6b.jpg,Фритюрница Airhot EEF6,EEF-6,4897,RUB,Да,Airhot,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/115589,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115589"">Airhot EEF6</a></b> предназначена для приготовления различных продуктов в большом количестве масла на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления с регулятором температуры и 2 термостатами: рабочим и аварийным. Корпус и ванна выполнены из нержавеющей стали, ручка - из термостойкого пластика.</p>

<p>В комплект поставки входит корзина с ручкой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Индикаторы нагрева и питания</li>
<li>Крышка поддерживает чистоту и сохраняет тепло в жарочной ванне</li>
<li>Перфорированное фальш-дно (разделительная пластина жарочной ванны) защищает ТЭН от контакта с корзиной</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер ванны: GN 1/2 глубиной 150 мм</li>
<li>Размер корзины: 230х170х130 мм</li>
</ul>",115589,традиционная,от 60 до 200 °С,2.5 кВт,285 мм,450 мм,310 мм,4.5 кг,Китай,1,300x470x310 мм,0,https://entero.ru/manuals/382049/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20EEF6.pdf;https://entero.ru/manuals/481939/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,6996,,3.6 кг,настольная,220 В,,1,,,,6 л,,,,,,
https://cdn.entero.ru/mp@2x/f6/36/f63650b7a7097075d201089ab295de98.jpg;https://cdn.entero.ru/mp@2x/9b/32/9b32317612c825e66ba7e8b77d3d9501.jpg;https://cdn.entero.ru/mp@2x/7f/f8/7ff89e2a8979288d3731570b2a1b039b.jpg;https://cdn.entero.ru/mp@2x/f7/e3/f7e37c8dafee18523e36049745e0770a.jpg;https://cdn.entero.ru/mp@2x/0f/da/0fdaac21cb9807f1a9975eb399de287d.jpg;https://cdn.entero.ru/mp@2x/a8/11/a811d0e7537c4b40bee4670b10268965.jpg,Фритюрница Airhot EF6,EF-6,7310,RUB,Да,Airhot,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/72538,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72538"">Airhot EF6</a></b> предназначена для приготовления различных продуктов в большом количестве масла на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления с регулятором температуры и 2 термостатами: рабочим и аварийным. Корпус и ванна выполнены из нержавеющей стали, ручка корзины - из термостойкого пластика.</p>

<p>В комплект поставки входит корзина с крышкой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Индикаторы нагрева и питания</li>
<li>Крышка поддерживает чистоту и сохраняет тепло в жарочной ванне</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер корзины: 240х179х105 мм</li>
<li>Размер ванны: 300х235х150 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",72538,традиционная,от 60 до 190 °С,2.5 кВт,324 мм,410 мм,310 мм,7.6 кг,Китай,1,300x440x315 мм,0,https://entero.ru/manuals/96250/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20EF6.pdf;https://entero.ru/manuals/481942/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5.06 кг,настольная,220 В,,1,,,,6 л,,,,,,
https://cdn.entero.ru/mp@2x/7b/d2/7bd282475d439a4874c26905a57610d1.jpg,Фритюрница Hurakan HKN-FT6N,Фритюрница Hurakan HKN-FT6N,7409,RUB,Да,Hurakan,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/71819,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71819"">Hurakan HKN-FT6N</a></b> предназначена для приготовления широкого спектра блюд в большом объеме разогретого до определенной температуры масла или жира на предприятиях общественного питания и торговли. Модель оснащена электромеханической системой управления, регулировкой температуры и холодной зоной. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 1 корзина и крышка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер корзины (без учета ручек): 233x175x100 мм</li>
<li>Габариты в упаковке: 500х300х350 мм</li>
</ul>",71819,традиционная,от 60 до 200 °С,2.5 кВт,260 мм,460 мм,325 мм,6 кг,Китай,1,500x300x350 мм,154,https://entero.ru/manuals/65675/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-FT6N.doc;https://entero.ru/manuals/417356/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-FT6N.pdf;https://entero.ru/manuals/412774/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-FT6N.pdf;https://entero.ru/manuals/412775/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412776/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,4 кг,настольная,220 В,,1,,,,6 л,,,Да,,,
https://cdn.entero.ru/mp@2x/ed/da/edda3136b8d197d338d4e0b599e08045.jpg;https://cdn.entero.ru/mp@2x/e1/1a/e11a8d40f122de62982d40601e313fee.jpg;https://cdn.entero.ru/mp@2x/69/13/6913e022572a38d91af7d866db4acfb1.jpg;https://cdn.entero.ru/mp@2x/9e/4a/9e4a438ab19f42e81153d5d318212294.jpg;https://cdn.entero.ru/mp@2x/fd/7b/fd7b35dee0408c9b34e3de19d5f50a60.jpg;https://cdn.entero.ru/mp@2x/ac/cc/acccdfc9dafa03689dfbf969a7e2e2ef.jpg;https://cdn.entero.ru/mp@2x/09/d2/09d2b13752c93fd3cd385953affb8115.jpg;https://cdn.entero.ru/mp@2x/ec/a9/eca9307b43cc670b5a75da03cf0f2c28.jpg,Фритюрница электрическая Hurakan HKN-FR6E,353397,4899,RUB,Да,Hurakan,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/170817,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170817"">Hurakan HKN-FR6E</a> </b>предназначена для приготовления широкого спектра блюд в большом объеме разогретого до определенной температуры масла или жира на предприятиях общественного питания и торговли. Модель оснащена электромеханической системой управления и регулировкой температуры. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит 1 корзина с крышкой и вилка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер корзины (без учета ручек): 180х210х100 мм</li>
<li>Размер ванны: 325x265x150 мм</li>
</ul>",170817,традиционная,от 60 до 200 °С,2.5 кВт,285 мм,450 мм,310 мм,6 кг,Китай,1,310x460x320 мм,481,https://entero.ru/manuals/417355/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-FR6E.pdf;https://entero.ru/manuals/412767/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412768/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/473943/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-FR6E.pdf,,,4.5 кг,настольная,220 В,,1,,,,6 л,,,,,,
https://cdn.entero.ru/mp@2x/49/0d/490da940b20444218c1055fe28268274.jpg;https://cdn.entero.ru/mp@2x/47/1f/471f0c373b5c596d72b7c89ffde088b9.jpg;https://cdn.entero.ru/mp@2x/23/3e/233e680465f33bff59fe95f2a92daf30.jpg;https://cdn.entero.ru/mp@2x/f8/a1/f8a114b220ec1b5776154925d2e81c51.jpg,Фритюрница VIATTO VA-EF062,Фритюрница VIATTO VA-EF062,8135,RUB,Да,VIATTO,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/203910,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203910"">VIATTO VA-EF062</a></b> предназначена для приготовления различных продуктов в большом количестве горячего жира или масла на предприятиях общественного питания и торговли. Модель оснащена независимой регулировкой температуры в каждой ванне и защитой от перегрева. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 корзины 205х175х100 мм и 2 крышки.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем 1 ванны: 
<ul>
<li>Полный: 12 л</li>
<li>Максимальный рабочий: 10 л</li>
</ul>
</li>
<li>Размер ванны: 325х265х150 мм</li>
</ul>",203910,,от 50 до 200 °С,5 кВт,550 мм,435 мм,300 мм,6.5 кг,Китай,1,560x450x300 мм,0,https://entero.ru/manuals/368837/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-EF062.pdf;https://entero.ru/manuals/463457/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,6 кг,настольная,220 В,,2,,,,10 л,,,,,,
https://cdn.entero.ru/mp@2x/d9/f2/d9f2c5fe3117159e73d637fbedf7d5b0.jpg,Фритюрница Hurakan HKN-FT66N,Фритюрница Hurakan HKN-FT66N,13405,RUB,Да,Hurakan,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/71818,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71818"">Hurakan HKN-FT66N</a> </b>предназначена для приготовления широкого спектра блюд в в разогретом до определенной температуры большом объеме масла или жира на предприятиях общественного питания и торговли. Модель оснащена электромеханической системой управления и регулировкой температуры. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 корзины с 2 крышками.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер корзины (без учета ручек): 233x175x100 мм</li>
</ul>",71818,традиционная,от 60 до 200 °С,5 кВт,460 мм,330 мм,325 мм,10 кг,Китай,1,570x520x315 мм,84,https://entero.ru/manuals/65674/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-FT66N.doc;https://entero.ru/manuals/417357/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-FT66N.pdf;https://entero.ru/manuals/412786/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-FT66N.pdf;https://entero.ru/manuals/412787/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412788/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,14571,,8 кг,настольная,220 В,,2,,,,6 л,,,Да,,,
https://cdn.entero.ru/mp@2x/15/8c/158ca274deacabd3318df4365984e5a5.jpg,Фритюрница электрическая Apach APFE-47/2P/PL,Фритюрница электрическая Apach APFE-47/2P/PL,233689,RUB,Да,Apach,Профоборудование,Тепловое,Фритюрницы,https://entero.ru/item/249148,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249148"">Apach APFE-47/2P/PL</a></b> 700-й серии предназначена для приготовления блюд в масле на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления и закрытой подставкой с регулируемыми по высоте ножками.<em> </em>Корпус и нагревательные элементы выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 2 корзины с крышками.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Поворотные на 90° нагревательные элементы, что упрощает чистку оборудования</li>
<li>Емкость для сбора масла с фильтром</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер ванны: 140x340x240 мм</li>
</ul>

<p> </p>",249148,традиционная,от 90 до 190 °С,10.5 кВт,400 мм,700 мм,850 мм,57 кг,Италия,1,470x800x1130 мм,9,https://entero.ru/manuals/304922/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Apach%20APFE-47_2P.pdf;https://entero.ru/manuals/304923/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20APFE-47_2P.pdf;https://entero.ru/manuals/304926/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach.pdf;https://entero.ru/manuals/474756/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20APFE-47_2P_PL.pdf;https://entero.ru/manuals/474757/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Apach%20APFE-47_2P_PL.pdf;https://entero.ru/manuals/474758/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,245988,https://www.youtube.com/embed/1Odl8VAyDi0?rel=0,53 кг,напольная,380 В,,2,Да,,,7 л,14 л,,,,,
