Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Подключение,Количество шампуров,Длина зоны нагрева
https://cdn.entero.ru/mp@2x/12/3d/123d1dc3206a8a31643f8e37b118f6ff.jpg;https://cdn.entero.ru/mp@2x/c9/4a/c94ab5900976e0980887f8d87480f805.jpg;https://cdn.entero.ru/mp@2x/b8/0c/b80c6c0b4e20d0970c384cd815ea67af.jpg,Шашлычница Grill Master Ф1ШстЭ,21303 / 108377,73500,RUB,Да,Grill Master,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/63607,"<p>Шашлычница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63607"">Grill Master Ф1ШстЭ</a></b> предназначена для приготовления шашлыков, кур, мяса и прочих продуктов на предприятиях общественного питания и уличной торговли. Процесс приготовления шашлыка облегчается, а время приготовления существенно уменьшается. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят поддон и решетка для барбекю.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электропривод шампуров</li>
<li>Подъемная крыша, регулирующая уровень тепловой обработки продукта</li>
<li>Стеклянная задняя и боковые стенк</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления: 30 мин.</li>
</ul>",63607,автоматическая,220 В,5 кВт,550 мм,555 мм,520 мм,46 кг,1,650x655x670 мм,0,https://entero.ru/manuals/31285/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A41%D0%A8%D1%81%D1%82%D0%AD.pdf,79032,,34 кг,,Россия,220 В,6,438 мм
https://cdn.entero.ru/mp@2x/7a/84/7a84369ca944e1b3c536977a57e9e00c.jpg,"Шашлычница электрическая Вулкан ETK-BST3 ""Риджани""",6412231,370785,RUB,Да,Вулкан,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/148853,"<p>Шашлычница электрическая <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/148853""><b class=""b"">Вулкан ETK-BST3 ""Риджани"" </b></a>предназначена для жарки различных продуктов на предприятиях общественного питания и торговли. Модель в напольном исполнении оснащена плавной регулировкой мощности, лавовыми камнями и выдвижным поддоном для сбора жира.</p>

<p>В комплект поставки входит набор шампуров.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 3х5,4 кВт</li>
</ul>",148853,механическая,380 В,,1000 мм,700 мм,850 мм,,,,0,,386234,,,,Россия,380 В,,
https://cdn.entero.ru/mp@2x/66/72/6672b1a5cae4574a8fee1e4d9f65e840.jpg;https://cdn.entero.ru/mp@2x/19/28/1928eeaaaf41737538c7ac7390e78490.jpg;https://cdn.entero.ru/mp@2x/07/89/07890106ac883bf5da3ee445e578104c.jpg;https://cdn.entero.ru/mp@2x/b3/73/b373d8102fa5a7a26007c86103a6d1ec.jpg;https://cdn.entero.ru/mp@2x/48/6d/486d69cec283a7ae24cec4b62c0fc8bc.jpg,Шашлычница электрическая OBOD ЭТ-001,Шашлычница электрическая OBOD ЭТ-001,203750,RUB,Да,OBOD,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/357983,"<p>Электрическая шашлычница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/357983"">OBOD ЭТ-001</a></b> предназначена для приготовления шашлыка и других блюд из мяса и птицы на предприятиях общественного питания и торговли. Модель оснащена цилиндрической камерой с перфорированными стенкками, съемной крышкой с дугообразной ручкой и электромеханической панелью управления. Корпус выполнен из пищевой нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры с помощью термостата с поворотным переключателем</li>
<li>Цифровая индикация температуры</li>
<li>Равномерный нагрев благодаря трубчатым электронагревателям (ТЭНам)</li>
<li>Простое управление</li>
<li>Устойчивые нескользящие опоры</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура нагрева: 300 °С</li>
<li>Длительность разогрева до максимальной температуры: 60 мин.</li>
<li>Количество ТЭНов: 15</li>
<li>Диаметр горловины: 580 мм</li>
</ul>",357983,,380 В,9.45 кВт,940 мм,840 мм,1006 мм,,,,0,https://entero.ru/manuals/458595/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20OBOD.pdf;https://entero.ru/manuals/478741/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20OBOD%20%D0%AD%D0%A2-001.docx,216755,,140 кг,Россия,Россия,380 В,15,
https://cdn.entero.ru/mp@2x/a2/4a/a24a3573228decb3e4327bda6ee2a3a4.jpg;https://cdn.entero.ru/mp@2x/dd/53/dd53f9b4304a0807be3e5be69bddf290.jpg,Шашлычница электрическая Grill Master Ф3ШЭ,21301,74700,RUB,Нет,Grill Master,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/108315,"<p>Шашлычница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/108315"">Grill Master Ф3ШЭ</a></b> предназначена для приготовления шашлыков, кур, мяса и прочих продуктов на предприятиях общественного питания и уличной торговли. Процесс приготовления шашлыка облегчается, а время приготовления существенно уменьшается. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят поддон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электропривод шампуров</li>
<li>Подъемная крыша, регулирующая уровень тепловой обработки продукта</li>
<li>Колеса со стопорами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расстояние между шампурами: 86 мм</li>
<li>Время приготовления: от 20 до 25 мин.</li>
<li>Расстояние от ТЭНов: от 40 до 200 мм</li>
</ul>",108315,автоматическая,380 В,7.7 кВт,1156 мм,614 мм,1097 мм,98 кг,1,1300x710x1300 мм,0,https://entero.ru/manuals/308226/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A43%D0%A8%D0%AD.pdf,81196,,73 кг,,Россия,380 В,10,438 мм
https://cdn.entero.ru/mp@2x/ed/a6/eda64164be07ee28328e4828a6e76bba.jpg,Шашлычница электрическая Grill Master Ф3ШУЭ,21302,80440,RUB,Нет,Grill Master,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/128768,"<p>Шашлычница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/128768"">Grill Master Ф3ШУЭ</a></b> предназначена для приготовления шашлыков, кур, мяса и прочих продуктов на предприятиях общественного питания и уличной торговли. Процесс приготовления шашлыка облегчается, а время приготовления существенно уменьшается. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит поддон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электропривод шампуров</li>
<li>Подъемная крыша, регулирующая уровень тепловой обработки продукта</li>
<li>Колеса со стопорами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расстояние между шампурами: 86 мм</li>
<li>Время приготовления: от 15 до 20 мин.</li>
<li>Расстояние от ТЭНов: от 40 до 200 мм</li>
</ul>",128768,автоматическая,380 В,6.6 кВт,750 мм,610 мм,1100 мм,95 кг,1,850x710x1300 мм,0,https://entero.ru/manuals/308227/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A43%D0%A8%D0%A3%D0%AD.pdf,83792,,70 кг,,Россия,380 В,6,438 мм
https://cdn.entero.ru/mp@2x/49/6e/496ef72d67f7fe492dce2bddd77f398b.jpg,"Шашлычница электрическая Вулкан ETK-BST2 ""Иджен""",6412221,0,RUB,Нет,Вулкан,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/148851,"<p>Шашлычница электрическая <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/148851""><b class=""b"">Вулкан ETK-BST2 ""Иджен"" </b></a>предназначена для жарки различных продуктов на предприятиях общественного питания и торговли. Модель в напольном исполнении оснащена плавной регулировкой мощности, лавовыми камнями и выдвижным поддоном для сбора жира.</p>

<p>В комплект поставки входит набор шампуров.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 2х5,4 кВт</li>
</ul>",148851,автоматическая,380 В,10.8 кВт,700 мм,700 мм,850 мм,,,,0,,,,,,Россия,380 В,,
https://cdn.entero.ru/mp@2x/58/10/5810377583f1c2ba268793088eaf1007.jpg,"Шашлычница электрическая Вулкан ETK-BST4 ""Келимуту""",6412241,0,RUB,Нет,Вулкан,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/148865,"<p>Шашлычница электрическая <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/148865""><b class=""b"">Вулкан ETK-BST4 ""Келимуту"" </b></a>предназначена для жарки различных продуктов на предприятиях общественного питания и торговли. Модель в настольном исполнении оснащена плавной регулировкой мощности, лавовыми камнями и выдвижными поддонами для сбора жира.</p>

<p>В комплект поставки входит набор шампуров.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 4х5,4 кВт</li>
</ul>",148865,механическая,380 В,21.6 кВт,1300 мм,700 мм,850 мм,,,,0,,,,,,Россия,380 В,,
https://cdn.entero.ru/mp@2x/e5/b6/e5b6d673290b04f359db85d29051bee3.jpg,Шашлычница газовая ПищТех ШШГ-2-2,н0000129433,0,RUB,Нет,ПищТех,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/88058,"<p>Газовая шашлычница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88058""><b class=""b"">Пищевые Технологии ШШГ-2-2</b></a> используется на предприятиях общественного питания и торговли для приготовления шашлыков из свинины, баранины и курицы, а также мясной начинки для шаурмы. Модель оснащена 2 газовыми горелками, вертелом для шаурмы с ручным вращением и 8 шампурами. Корпус выполнен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 20 кг/час</li>
<li>Расход газа (сжиженный): 0,138±15% м<sup>3</sup>​/час</li>
<li>Давление газа (сжиженный): 2940 Па</li>
<li>Количество газовых кранов: 2</li>
<li>Мощность:
<ul>
<li>Потребляемая: 0,01 кВт</li>
<li>Горелки: 7,3 кВт</li>
</ul>
</li>
<li>Габариты в упаковке: 570х440х940 мм</li>
<li>Объем упаковки: 0,24 м<sup>3</sup></li>
</ul>",88058,автоматическая,220 В,0.01 кВт,515 мм,770 мм,895 мм,,,,0,https://entero.ru/manuals/69200/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%B5%D0%B2%D1%8B%D0%B5%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8%20%D0%A8%D0%A8%D0%93-2-2.pdf;https://entero.ru/manuals/422402/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,,,21 кг,,Россия,газ,8,
https://cdn.entero.ru/mp@2x/fa/91/fa914a3664ee9bf6fb2d81075247e0d8.jpg;https://cdn.entero.ru/mp@2x/65/a0/65a093e7e2ed4ddf8af4a7cc9b026f0a.jpg;https://cdn.entero.ru/mp@2x/4b/54/4b54988f27157ca594449af8085eca8e.jpg;https://cdn.entero.ru/mp@2x/b9/fd/b9fd4cb646b3c29c08106aec531f462c.jpg,Шашлычница газовая ПищТех ШШГ-2-2-М,н0000130537,0,RUB,Нет,ПищТех,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/88059,"<p>Газовая шашлычница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88059""><b class=""b"">Пищевые Технологии ШШГ-2-2-М</b></a> используется на предприятиях общественного питания и торговли для приготовления шашлыков из свинины, баранины и курицы, а также мясной начинки для шаурмы. Модель оснащена мотором, 2 газовыми горелками с газ-контролем, вертелом для шаурмы и 8 шампурами. Корпус выполнен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 15 кг/час</li>
<li>Частота вращения вала электродвигателя: 2,5 об/мин.</li>
<li>Расход газа (сжиженный): 0,138±15% м<sup>3</sup>​/час</li>
<li>Давление газа (сжиженный): 2940 Па</li>
<li>Количество газовых кранов: 2</li>
<li>Мощность:
<ul>
<li>Потребляемая: 0,014 кВт</li>
<li>Горелки: 7,3 кВт</li>
</ul>
</li>
<li>Габариты в упаковке: 570х440х940 мм</li>
<li>Объем упаковки: 0,24 м<sup>3</sup></li>
</ul>",88059,автоматическая,220 В,0.014 кВт,515 мм,770 мм,990 мм,,,,0,https://entero.ru/manuals/69201/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%B5%D0%B2%D1%8B%D0%B5%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8%20%D0%A8%D0%A8%D0%93-2-2-%D0%9C.pdf;https://entero.ru/manuals/422403/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,,,23 кг,,Россия,газ,8,
https://cdn.entero.ru/mp@2x/88/6f/886f7954b64530b47d18c0a24679c1a7.jpg,Гриль-шашлычница ATESY ЧЕГЕТ ГШК-4.3-02,8419818000 / 27.51.28.150,87318,RUB,Нет,ATESY,Профоборудование,Тепловое,Шашлычницы,https://entero.ru/item/141628,"<p>Гриль-шашлычница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/141628"">ATESY ЧЕГЕТ ГШК-4.3-02</a></b> используется на предприятиях общественного питания и торговли для приготовления шашлыков из мяса, птицы, рыбы, морепродуктов и овощей. Модель оснащена терморегулятором, расположенным на передней панели и позволяющим плавно регулировать интенсивность нагрева. Корпус выполнен из пищевой нержавеющей стали AISI 430, садки - из нержавеющего прутка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Гриль карусельного типа</li>
<li>Позволяет приготовить шашлык как с копчением, так и без него</li>
<li>Способен заменить собой мангал на профессиональной кухне ресторана, бара или точки фаст-фуд</li>
<li>2 режима работы:
<ul>
<li>Жар (от 50 до 250 °C)</li>
<li>Жар + Дым (от 50 до 250 °C)</li>
</ul>
</li>
<li>4 легкосъемных люльки для размещения продукта</li>
<li>Люльки вращаются вокруг центральной оси внутри рабочей камеры</li>
<li>Механизм торможения позволяет четко фиксировать положение люлек во время остановки вращения, исключая проворот при несимметричной загрузке</li>
<li>Люльки имеют специальную геометрию, позволяющую выкладывать продукт в 2 ряда и прожаривать его со всех сторон</li>
<li>Приготовление продуктов осуществляется посредством инфракрасного излучения ТЭНов, расположенных на передней, задней и верхней частях рабочей камеры</li>
<li>Каждый ТЭН имеет отражатель, повышающий эффективность нагрева продукта</li>
<li>4 таймера: по одному на каждую люльку</li>
<li>Поддон для сбора влаги и жира, стекающего с продукта, на дне рабочей камеры</li>
<li>Лоток для размещения щепы в дымогенератор на передней панели</li>
<li>Дымогенератор не дает искр, что обеспечивает безопасность использования гриля в помещении, и не тербует применения систем искрогашения</li>
<li>Дверь, выполненная из закаленного стекла, позволяет наблюдать за процессом приготовления</li>
<li>Замок-фиксатор, предотвращающий самопроизвольное открытие двери в процессе работы гриля</li>
<li>При открывании двери дымогенератор выключается для снижения дымовыделения через открытую дверь</li>
<li>Дверь имеет фиксацию в открытом положении, предотвращающюю касания горячего стекла при самопроизвольном закрытии</li>
<li>Тип упаковки: на деревянном поддоне в стрейч-пленке</li>
</ul>

<p><b>Преимущества:</b></p>

<ul>
<li>Не тратьте время на нанизывание продукта на шампур - просто уложите продукт в люльки и установите время приготовления</li>
<li>Встроенный дымогенератор, работающий на щепе, придаст вкус копчения продукту</li>
<li>Высокая производительность гриля при малых габаритах расширяет сегменты использования</li>
<li>Контроль времени приготовления продукта в каждой люльке по таймеру гарантирует высокий результат</li>
<li>Стеклянная дверь и подсветка рабочей камеры позволяют визуально контролировать процесс приготовления</li>
<li>Можно приготовить любое блюдо: шашлык, ребра, крылья или овощи</li>
<li>Дверь имеет замок-фиксатор, предотвращающий самопроизвольное открытие</li>
<li>Дымогенератор отключается при открывании двери, что уменьшает дымовыделение</li>
<li>Люльки имеют специальную геометрию, позволяющую выкладывать шашлык в два ряда и прожаривать его со всех сторон</li>
<li>Таймеры на 60 минут позволяют готовить продукт с любым временем готовки</li>
<li>Дымогенератор не дает искр, что обеспечивает безопасность использования гриля в помещении и исключает применение системой искрогашения</li>
<li>Дверь имеет фиксацию в открытом положении, предотвращающую касания горячего стекла при самопроизвольном закрытии</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Макс. загрузка: 3 кг</li>
<li>Диапазон установки температуры в камере: от 50 до 250 °С</li>
<li>Диапазон установки таймера: от 10 до 60 минут (или непрерывно)</li>
<li>Габариты в упаковке: 700х510х545 мм</li>
</ul>",141628,автоматическая,220 В,3.65 кВт,640 мм,485 мм,530 мм,38 кг,1,510x700x545 мм,0,https://entero.ru/manuals/165187/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A7%D0%95%D0%93%D0%95%D0%A2%20%D0%93%D0%A8%D0%9A-4.3-02.pdf;https://entero.ru/manuals/281270/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf;https://entero.ru/manuals/517836/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240436&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239249&hd=2&autoplay=0,35 кг,,Россия,220 В,,
