Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Вес (с упаковкой),Тип установки,Размеры камеры,Количество камер,Длина планки,Производительность насоса,Двойная запайка,Газонаполнение
https://cdn.entero.ru/mp@2x/38/8a/388aeb6969cd01d093c085baa698d5e7.jpg,Упаковщик вакуумный Hurakan HKN-VAC260E,Упаковщик вакуумный Hurakan HKN-VAC260E,40748,RUB,Да,Hurakan,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/227375,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/227375"">Hurakan HKN-VAC260E</a></b> используется на предприятиях общественного питания и торговли для упаковки продуктов в специальные пакеты, что продлевает их срок годности. Модель оснащена электронной панелью управления и сварной планкой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина шва: 10 мм</li>
<li>Глубина камеры: 50 мм</li>
<li>Глубина с крышкой: 110 мм</li>
<li>Габариты в упаковке: 290х580х460 мм</li>
</ul>",227375,220 В,0.37 кВт,240 мм,500 мм,360 мм,28 кг,Китай,1,290x580x460 мм,45,https://entero.ru/manuals/412718/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454751/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-VAC260E.pdf;https://entero.ru/manuals/484105/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-VAC260E.pdf,43815,,24 кг,,,настольный,285x390x50 мм,1 камера,260 мм,7.2 м3/ч,,
https://cdn.entero.ru/mp@2x/87/0c/870c3005b8e53d6c577a929b4ca42b92.jpg;https://cdn.entero.ru/mp@2x/71/4f/714fbc2c279bdd8869b359d890a4599d.jpg,Упаковщик вакуумный INDOKOR IVP-300/PJ без газонаполнения,Упаковщик вакуумный INDOKOR IVP-300/PJ без газонаполнения,95876,RUB,Да,INDOKOR,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/32602,"<p>Однокамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32602""><b class=""b"">INDOKOR IVP-300/PJ</b></a> используется на предприятиях общественного питания и торговли для упаковки как пищевых, так и непищевых продуктов (электроники, полупроводников, фармацевтической продукции, текстиля и других товаров) в вакуумные пакеты. На шве можно пропечатывать дату, номер партии и другие символы с помощью специальной силиконовой вставки-клише. Модель оснащена панелью управления с таймером, вакуумметром и индикаторами рабочего процесса. Корпус и камера выполнены из нержавеющей стали, прозрачная крышка - из специального стекла.</p>

<p><b>Комплектация: </b></p>

<ul>
<li>Силиконовый уплотнитель</li>
<li>Запаечная лента</li>
<li>Тефлоновая лента</li>
<li>Масло для вакуумного насоса: 0,5 л</li>
<li>Набор символов для клише</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Интуитивно понятный интерфейс</li>
<li>Быстрая настройка параметров работы под разный тип упаковки</li>
<li>Цифровой контроль времени</li>
<li>Кнопка аварийной остановки, программируемая по желанию заказчика</li>
<li>Выпуклая крышка</li>
<li>Использование различных типов пакетов, в том числе и фольгированных</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 1-2 упаковок/мин.</li>
<li>Ширина сварочного шва: 8 мм</li>
<li>Время запайки: от 35 до 60 сек.</li>
<li>Потребляемая мощность: 0,37 кВт/ч</li>
<li>Габариты в упаковке: 450х565х400 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Модуль газонаполнения</li>
<li>Полипропиленовые вставки для уменьшения объёма рабочей камеры</li>
</ul>",32602,220 В,,480 мм,370 мм,450 мм,45 кг,Ю. Корея,1,560x420x490 мм,0,https://entero.ru/manuals/5900/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IVP-300_PJ.pdf;https://entero.ru/manuals/111901/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20INDOKOR.pdf,,,45 кг,,,настольный,370x320x185 (135) мм,1 камера,300 мм,10 м3/ч,,
https://cdn.entero.ru/mp@2x/ed/ca/edca88a56d752869e474da84dd7cbfbd.jpg;https://cdn.entero.ru/mp@2x/78/f9/78f975d19f8e26e43cf2fad120f0402b.jpg,Упаковщик вакуумный White Penguin MAGELLANIC WPC-260T,Упаковщик вакуумный White Penguin MAGELLANIC WPC-260T,33636,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/259902,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/259902"">White Penguin MAGELLANIC WPC-260T</a></b> используется на предприятиях общественного питания и торговли для упаковки готовых блюд и пищевых продуктов в герметичную тару для сохранения свежести, предотвращения размножения микроорганизмов и смешивания запахов. Модель оснащена камерой с 1 сварочной пластиной, расположенной сверху откидной крышкой и фирменной панелью управления с функциональными клавишами, цифровым дисплеем, аналоговым вакуумметром и русскоязычным интерфейсом. Корпус выполнен из нержавеющей стали марки 201, камера – из нержавеющей стали марки 304.</p>

<p>В комплект поставки входят набор необходимых запчастей и вакуумное масло.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Простое полуавтоматическое управление </li>
<li>Настройка уровня вакуума</li>
<li>Регулировка длительности процесса</li>
<li>Кнопка аварийной остановки</li>
<li>Цифровая индикация длительности запайки</li>
<li>Светодиодная индикация активного режима</li>
<li>Прозрачная крышка для визуального контроля процесса</li>
<li>Устойчивые нескользящие опоры</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина сварочного шва: 10 мм</li>
<li>Высота крышки: 35 мм</li>
</ul>",259902,220 В,1.2 кВт,410 мм,320 мм,330 мм,18 кг,Китай,1,490x410x370 мм,0,https://entero.ru/manuals/452406/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20White%20Penguin%20MAGELLANIC%20WPC-260T.pdf,36561,,17.5 кг,,,настольный,330х270х85 мм,1 камера,250 мм,5.4 м3/ч,,
https://cdn.entero.ru/mp@2x/c4/cc/c4cc5b3c11704bc16f3d8aa14357da2f.jpg,Упаковщик вакуумный Hurakan HKN-VAC260M,Упаковщик вакуумный Hurakan HKN-VAC260M,51747,RUB,Да,Hurakan,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/83576,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83576"">Hurakan HKN-VAC260M</a></b> используется на предприятиях общественного питания и торговли для упаковки продуктов в специальные пакеты, что продлевает их срок годности. Модель оснащена полуавтоматической электронной панелью управления. Корпус выполнен из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина шва: 8 мм</li>
<li>Габариты в упаковке: 565х460х410 мм</li>
</ul>",83576,220 В,0.18 кВт,495 мм,340 мм,345 мм,31 кг,Китай,1,430x570x440 мм,68,https://entero.ru/manuals/413997/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-VAC260M.pdf;https://entero.ru/manuals/413998/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-VAC260M.pdf;https://entero.ru/manuals/413999/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/414000/%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B%20%D0%B4%D0%BB%D1%8F%20%D0%B2%D0%B0%D0%BA%D1%83%D1%83%D0%BC%D0%BD%D0%BE%D0%B9%20%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BA%D0%B8.pdf;https://entero.ru/manuals/454756/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-VAC260M.pdf,,,30 кг,,,настольный,390х320х130 мм,1 камера,260 мм,6.5 м3/ч,,
https://cdn.entero.ru/mp@2x/74/95/7495ef5f47bc6acebea91d2c4c5e1985.jpg,Упаковщик вакуумный Hurakan HKN-VAC400M2,159601,71815,RUB,Да,Hurakan,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/83578,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83578"">Hurakan HKN-VAC400M2</a> </b>используется на предприятиях общественного питания и торговли для упаковки продуктов в специальные пакеты, что продлевает их срок годности. Модель оснащена электронной панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина шва: 10 мм</li>
<li>Габариты в упаковке: 610х570х570 мм</li>
</ul>",83578,220 В,0.9 кВт,530 мм,490 мм,490 мм,74.1 кг,Китай,1,610x570x570 мм,26,https://entero.ru/manuals/414005/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-VAC400M2.pdf;https://entero.ru/manuals/414006/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-VAC400M2.pdf;https://entero.ru/manuals/414007/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/414008/%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B%20%D0%B4%D0%BB%D1%8F%20%D0%B2%D0%B0%D0%BA%D1%83%D1%83%D0%BC%D0%BD%D0%BE%D0%B9%20%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BA%D0%B8.pdf;https://entero.ru/manuals/454760/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-VAC400M2.pdf,74807,,65 кг,,,настольный,420х440х130 мм,1 камера,400 мм,20 м3/ч,Да,
https://cdn.entero.ru/mp@2x/6f/53/6f53da5852b984296af61db59d52d5ff.jpg;https://cdn.entero.ru/mp@2x/27/bd/27bd63a885bc3a8a4cd83d3b78f51383.jpg;https://cdn.entero.ru/mp@2x/a5/10/a5109eb0817217512b14df654c2c41d8.jpg;https://cdn.entero.ru/mp@2x/19/20/192007b31ccd335d48cc92177a0382ba.jpg;https://cdn.entero.ru/mp@2x/ad/6a/ad6a39bf22678ea77decfcd8d7fb8d83.jpg;https://cdn.entero.ru/mp@2x/b5/12/b512572d5cd1a147278da8ff08d77cd5.jpg;https://cdn.entero.ru/mp@2x/7e/54/7e54baf6d7452c3c8de3a9e7e82f1491.jpg,Упаковщик вакуумный Foodatlas DZ-260D Eco,Упаковщик вакуумный Foodatlas DZ-260D Eco,28746,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/287480,"<p>Однокамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/287480""><b class=""b"">Foodatlas DZ-260D Eco</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания, жидкости, готовых блюд, продуктов химической промышленности, электронных устройств, измерительных приборов и твердых редких драгоценных металлов для увеличения срока хранения. Модель оснащена электронной панелью управления с цифровым дисплеем и 1 нагревательным элементом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручная подача пакета</li>
<li>Функция удаления масляного тумана</li>
<li>Широкий диапазон температуры сварочной планки позволяет работать с упаковочным материалом разного типа</li>
<li>Кнопка аварийной остановки</li>
<li>Климатическое исполнение УХЛ 4.2. ГОСТ 15150-69</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина шва: 8 мм</li>
<li>Мощность вакуумного насоса: 0,12 кВт</li>
<li>Габариты в упаковке: 490х400х350 мм</li>
</ul>",287480,220 В,0.82 кВт,420 мм,320 мм,290 мм,,Китай,,,0,https://entero.ru/manuals/351316/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20DZ-260D%20Eco.pdf;https://entero.ru/manuals/351318/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/368301/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239507&hd=2&autoplay=0,20 кг,,,настольный,330х275х50 мм,1 камера,260 мм,1.2 м3/ч,,
https://cdn.entero.ru/mp@2x/67/7a/677a225a6c4b2fa48cc0ee6cad309ffe.jpg;https://cdn.entero.ru/mp@2x/7a/18/7a18d757c81444c84556eb514ef89be3.jpg;https://cdn.entero.ru/mp@2x/26/27/26279624fb1cec811ee9bfb5aa313fb9.jpg;https://cdn.entero.ru/mp@2x/17/72/1772f0cd9a7ec66a4e8396882c71f6ec.jpg;https://cdn.entero.ru/mp@2x/6c/ad/6cada927cc09ac5e8e20a2dc0df25534.jpg,Упаковщик вакуумный Foodatlas DZ-400/2F Eco,DZ-400/2F FoodAtlas Eco,56764,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/83974,"<p>Однокамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83974""><b class=""b"">Foodatlas DZ-400/2F Eco </b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания, жидкости, готовых блюд, продуктов химической промышленности, электронных устройств, измерительных приборов и твердых редких драгоценных металлов для увеличения срока хранения. Для упаковки используются ПЭТ, ПЭ нейлоновая и алюминиевая ленты. Корпус и камера вакуумирования выполнены из нержавеющей стали. </p>

<p><b>Особенности</b>: </p>

<ul>
<li>Электронная панель управления с вакуумметром</li>
<li>Функция удаления масляного тумана</li>
<li>Широкий диапазон температуры сварочной планки</li>
<li>Автоматическая фиксация крышки</li>
<li>Заменяемая вакуум-камера</li>
<li>Наличие кнопки аварийного выключения оборудования​</li>
<li>
<p>Ручная подача пакета</p>
</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Количество нагревающих элементов: 2</li>
<li>Количество вакуумных насосов: 1</li>
<li>Размер уплотнителя: 400 мм</li>
<li>Ширина шва запайки: 10 мм</li>
<li>Время производственного цикла: 2-3 мин</li>
<li>Количество нагревательных элементов: 2</li>
<li>Мощность вакуум насоса: 0.9 кВт</li>
<li>Габариты упаковки: 600x570x560 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",83974,220 В,1.5 кВт,530 мм,490 мм,490 мм,,Китай,,,0,https://entero.ru/manuals/368491/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20DZ-400_2F%20Eco.pdf;https://entero.ru/manuals/368492/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/368493/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf,61037,,57 кг,,,настольный,420х440х130 мм,1 камера,400 мм,20 м3/ч,Да,
https://cdn.entero.ru/mp@2x/a6/c2/a6c25f8ad2da34aa8bda79fd90c6769d.jpg,Упаковщик вакуумный Hualian DZ-260 (нерж. сталь),DZ-260 SS (нерж.),51520,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/105865,"<p>Вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/105865""><b class=""b"">Hualian DZ-260</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания для увеличения срока хранения. Модель оснащена электронной панелью управления. Корпус и камера выполнены из нержавеющей стали AISI 304, крышка – из прозрачного пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 1 до 3 циклов/мин.</li>
<li>Количество запаивающих планок в камере: 1</li>
<li>Ширина шва: 5 мм</li>
<li>Диапазон регулировки времени:
<ul>
<li>Откачка воздуха: от 0 до 99 сек.</li>
<li>Запайка: от 0 до 9,9 сек.</li>
</ul>
</li>
<li>Погрешность установки времени откачки / запайки: 0,1 %</li>
<li>Мощность запайки: 0,7 кВт</li>
<li>Предельное вакуумное давление: 1 кПа</li>
<li>Глубина камеры: 50 мм</li>
</ul>",105865,220 В,0.37 кВт,335 мм,488 мм,360 мм,,Китай,,,0,https://entero.ru/manuals/135126/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8F.pdf;https://entero.ru/manuals/128105/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20DZ-260.pdf,54232,,34 кг,,,настольный,260х340х110 мм,1 камера,260 мм,10 м3/ч,,
https://cdn.entero.ru/mp@2x/1a/9f/1a9fab207a57d15331e7103740cedb44.jpg;https://cdn.entero.ru/mp@2x/91/1a/911a18767266f269b630d7a4e9eb19ec.jpg,Упаковщик вакуумный INDOKOR IVP-260/PD без газонаполнения,Упаковщик вакуумный INDOKOR IVP-260/PD без газонаполнения,77175,RUB,Да,INDOKOR,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/32604,"<p>Однокамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32604""><b class=""b"">INDOKOR IVP-260/PD</b></a> используется на предприятиях общественного питания и торговли для упаковки как пищевых, так и непищевых продуктов (электроники, полупроводников, фармацевтической продукции, текстиля и других товаров) в вакуумные пакеты. На шве можно пропечатывать дату, номер партии и другие символы с помощью специальной силиконовой вставки-клише. Модель оснащена панелью управления с таймером, вакуумметром и индикаторами рабочего процесса. Корпус и камера выполнены из нержавеющей стали, прозрачная крышка - из специального стекла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Силиконовый уплотнитель</li>
<li>Запаечная лента</li>
<li>Тефлоновая лента</li>
<li>Масло для вакуумного насоса: 0,5 л</li>
<li>Набор символов для клише</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Интуитивно понятный интерфейс</li>
<li>Быстрая настройка параметров работы под разный тип упаковки</li>
<li>Цифровой контроль времени</li>
<li>Кнопка аварийной остановки, программируемая по желанию заказчика</li>
<li>Выпуклая крышка</li>
<li>Использование различных типов пакетов, в том числе и фольгированных</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 1-2 упаковок/мин.</li>
<li>Ширина сварочного шва: 8 мм</li>
<li>Время запайки: от 30 до 50 сек.</li>
<li>Потребляемая мощность: 0,37 кВт/ч</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Модуль газонаполнения</li>
<li>Полипропиленовые вставки для уменьшения объёма рабочей камеры</li>
</ul>",32604,220 В,,480 мм,330 мм,375 мм,39 кг,Ю. Корея,1,560x410x410 мм,0,https://entero.ru/manuals/5901/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IVP-260_PD.pdf;https://entero.ru/manuals/111898/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20INDOKOR.pdf;https://entero.ru/manuals/350412/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,33 кг,,,настольный,280x385x90 (50) мм,1 камера,260 мм,10 м3/ч,,
https://cdn.entero.ru/mp@2x/73/06/73068b0ddbbfc3ecb1063b62e2e47788.jpg,Упаковщик вакуумный Foodatlas DZQ-500TE Eco с опцией газонаполнения,Упаковщик вакуумный Foodatlas DZQ-500TE Eco с опцией газонаполнения,65511,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/257798,"<p>Бескамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257798""><b class=""b"">Foodatlas DZQ-500TE Eco</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания, жидкости, готовых блюд, продуктов химической промышленности, электронных устройств, измерительных приборов и твердых редких драгоценных металлов для увеличения срока хранения. Модель оснащена механической панелью управления, загрузочным столом и газовым соплом. Корпус выполнен из окрашенной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы работы:
<ul>
<li>Создание вакуума / Запечатывание / Охлаждение</li>
<li>Нагнетание инертного газа / Запечатывание / Охлаждение</li>
<li>Создание вакуума / Нагнетание инертного газа / Запечатывание / Охлаждение</li>
<li>Запечатывание / Охлаждение</li>
</ul>
</li>
<li>Отсутствие камеры позволяет упаковывать продукты разнообразных размеров и форм</li>
<li>2 нагревательных элемента</li>
<li>Кнопка аварийной остановки</li>
<li>Ручная подача пакета</li>
<li>Аэрация (ГАЗ)</li>
<li>Тип упаковочного материала: PE+PET+PP</li>
<li>Климатическое исполнение УХЛ 4.2. ГОСТ 15150-69</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Двигатель: 1,5 кВт</li>
<li>Вакуумный насос: 0,18 кВт</li>
</ul>
</li>
<li>Время производственного цикла: от 2 до 4 мин.</li>
<li>Ширина шва запайки: 8 мм</li>
<li>Время производственного цикла: 2-4 мин</li>
<li>Количество нагревательных элементов: 2</li>
<li>Габариты в упаковке: 600x480x560 мм</li>
</ul>",257798,220 В,1.5 кВт,500 мм,370 мм,445 мм,48 кг,Китай,1,600x480x560 мм,0,https://entero.ru/manuals/368516/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20DZQ-500TE%20Eco%20%D1%81%20%D0%BE%D0%BF%D1%86%D0%B8%D0%B5%D0%B9%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%D0%B0%D0%BF%D0%BE%D0%BB%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F.pdf;https://entero.ru/manuals/368517/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/368518/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf,70442,,42 кг,,,настольный,,бескамерный,500 мм,4.3 м3/ч,,Да
