Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Назначение,Вес (с упаковкой),Дозировка сыпучих веществ,Ширина пленки,С дозатором,Тип дозатора,Объем упаковки жидкостей,Толщина пленки,Автоматический счетчик
https://cdn.entero.ru/mp@2x/7d/31/7d313898eefab0f5e32ebd909ea5c207.jpg,"Фасовочно-упаковочная машина Hualian DXDK-100 NEW (пакет «подушка», ширина пленки 140 мм)","Фасовочно-упаковочная машина Hualian DXDK-100 NEW (пакет «подушка», ширина пленки 140 мм)",134504,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/291656,"<p>Фасовочно-упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291656""><b class=""b"">Hualian DXDK-100 NEW</b></a> используется на предприятиях пищевой, фармакологической, химической промышленности для дозированной упаковки чая, круп, сахара, специй, семян и других легкосыпучих продуктов в пакеты типа «подушка». Модель оснащена весовым дозатором порций, воронкообразным загрузочным бункером, рулонодержателем с рейлинговыми направляющими для пленки, панелями управления с мембранной клавиатурой и цифровыми дисплеями. Корпус и все соприкасающиеся с продуктом компоненты выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматитизированный фасовочно-упаковочный цикл: формирование пакета из рулона пленки, дозирование продукта, запайка и обрезание пакета</li>
<li>Регулировка температуры запайки</li>
<li>Упаковочный узел с электроприводом</li>
<li>Современная система автоматизации на базе программируемого логического контроллера (PLC)</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Наклонная пластина для направленной выгрузки продукции</li>
<li>Поворотные ролики для удобства транспортировки</li>
<li>Легкость эксплуатации и обслуживания</li>
<li>Компактная вертикально ориентированная конструкция для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность дозирования: 0,2 г</li>
<li>Диапазон длины продольного шва запайки: от 10 до 180 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b>​</p>

<ul>
<li>Термодатер</li>
<li>Устройство для пробивки еврослота</li>
<li>Функция боковой насечки для легкого открывания пакета</li>
<li>Функция газонаполнения</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",291656,220 В,0.5 кВт,480 мм,740 мм,1410 мм,,,,0,,,,70 кг,Китай,Китай,от 6 до 15 шт/мин.,для сыпучих веществ,,от 1 до 100 гр,480 мм,Да,весовой,,,
https://cdn.entero.ru/mp@2x/0a/44/0a44d93a87b60734cbbafb5e0a1948df.jpg,"Фасовочно-упаковочная машина Hualian DXDG-200 NEW (3-хшовный пакет, 100 мм, 5-50 мл)","Фасовочно-упаковочная машина Hualian DXDG-200 NEW (3-хшовный пакет, 100 мм, 5-50 мл)",226009,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/291662,"<p>Фасовочно-упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291662""><b class=""b"">Hualian DXDG-200 NEW </b></a>используется на предприятиях пищевой, фармакологической, химической промышленности для герметичной дозированной упаковки соусов, сливок, жидкого мыла, шампуней и других хорошо текучих и пастообразных продуктов в плоские 3-хшовные пакеты. Модель оснащена поршневым дозатором порций, воронкообразным загрузочным бункером, рулонодержателем с рейлинговыми направляющими для пленки, электромеханической панелью управления с функциональными кнопками и информативным дисплеем. Корпус и все соприкасающиеся с продуктом компоненты выполнены из нержавеющей стали.</p>

<p><span style=""color:#FF0000;"">Воздушный компрессор не входит в комплект поставки и приобретается отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматитизированный фасовочно-упаковочный цикл: формирование пакета из рулона пленки, дозирование продукта, запайка и обрезание пакета</li>
<li>Регулировка температуры запайки</li>
<li>Насечка для легкого открывания пакета</li>
<li>Кнопка аварийной остановки</li>
<li>Современная система автоматизации на базе программируемого логического контроллера (PLC)</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Качественные сборка и комплектующие с длительным ресурсом</li>
<li>Поворотные ролики для удобства транспортировки</li>
<li>Работа с различными типами термосвариваемых пленок, включая комбинированные и многослойные</li>
<li>Легкость эксплуатации и обслуживания</li>
<li>Компактная вертикально ориентированная конструкция для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность дозирования: 1%</li>
<li>Объем бункера: 30 л</li>
<li>Диапазон длины продольного шва запайки: от 10 до 160 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b>​</p>

<ul>
<li>Воздушный компрессор</li>
<li>Термодатер </li>
<li>Подогрев бункера</li>
<li>Мешалка горизонтального или вертикального типа</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",291662,220 В,0.5 кВт,560 мм,1240 мм,1340 мм,98 кг,1,1140x570x1090 мм,0,,,,80 кг,Китай,Китай,от 15 до 25 шт/мин.,"для жидкостей, для пастообразных продуктов",,,560 мм,Да,поршневой,от 5 до 50 мл,,
https://cdn.entero.ru/mp@2x/f0/38/f03852b186ca90837e1b338a2fb0957a.jpg;https://cdn.entero.ru/mp@2x/19/a7/19a7071db71056bb38c21d1d7eb62788.jpg,Фасовочно-упаковочная машина МАГИКОН AVWB200I,MAGIKON AVWB200I,107806,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/132420,"<p>Фасовочно-упаковочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132420"">МАГИКОН AVWB200I</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для мелко-порционной упаковки в пакеты различных сыпучих продуктов. Модель оснащена весовым дозатором. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип пакета: трехшовный плоский или ""подушка""</li>
<li>Электропривод</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Погрешность: 0,2 г</li>
<li>Размер пакета:
<ul>
<li>Длина: от 70 до 150 мм</li>
<li>Ширина: от 50 до 100 мм</li>
</ul>
</li>
<li>Размер пленки:
<ul>
<li>Ширина: до 200 мм</li>
<li>Диаметр: до 250 мм</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Термопринтер даты</li>
</ul>",132420,220 В,,500 мм,420 мм,1450 мм,,,,0,https://entero.ru/manuals/506066/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%93%D0%98%D0%9A%D0%9E%D0%9D%20AVWB200I.odt;https://entero.ru/manuals/506067/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,117180,,64 кг,,Китай,от 7 до 25 шт/мин.,для сыпучих веществ,,от 1 до 200 гр,,Да,весовой,,от 40 до 80 мкм,
https://cdn.entero.ru/mp@2x/0d/d5/0dd55d448c13f87d57bf896f453f3db9.jpg,"Фасовочно-упаковочная машина Hualian DXDK-100 NEW (3-хшовный пакет, ширина пленки 150 мм)","Фасовочно-упаковочная машина Hualian DXDK-100 NEW (3-хшовный пакет, ширина пленки 150 мм)",115396,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/291657,"<p>Фасовочно-упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291657""><b class=""b"">Hualian DXDK-100 NEW </b></a>используется на предприятиях пищевой, фармакологической, химической промышленности для дозированной упаковки чая, круп, сахара, специй, семян и других легкосыпучих продуктов в 3-шовные пакеты. Модель оснащена весовым дозатором порций, воронкообразным загрузочным бункером, рулонодержателем с рейлинговыми направляющими для пленки, панелями управления с мембранной клавиатурой и цифровыми дисплеями. Корпус и все соприкасающиеся с продуктом компоненты выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматитизированный фасовочно-упаковочный цикл: формирование пакета из рулона пленки, дозирование продукта, запайка и обрезание пакета</li>
<li>Регулировка температуры запайки</li>
<li>Упаковочный узел с электроприводом</li>
<li>Современная система автоматизации на базе программируемого логического контроллера (PLC)</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Наклонная пластина для направленной выгрузки продукции</li>
<li>Поворотные ролики для удобства транспортировки</li>
<li>Легкость эксплуатации и обслуживания</li>
<li>Компактная вертикально ориентированная конструкция для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность дозирования: 0,2 г</li>
<li>Диапазон длины продольного шва запайки: от 10 до 180 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b>​</p>

<ul>
<li>Термодатер </li>
<li>Устройство для пробивки еврослота</li>
<li>Функция боковой насечки для легкого открывания пакета</li>
<li>Функция газонаполнения</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",291657,220 В,0.5 кВт,480 мм,740 мм,1410 мм,,,,0,,121469,,70 кг,Китай,Китай,от 6 до 15 шт/мин.,для сыпучих веществ,,от 1 до 100 гр,480 мм,Да,весовой,,,
https://cdn.entero.ru/mp@2x/bf/3b/bf3b842fb8f6ac2518205b18e6b3396d.jpg,"Фасовочно-упаковочная машина Hualian DXDK-1000 NEW (пакет подушка, ширина пленки 300 мм, фотодатчик)","Фасовочно-упаковочная машина Hualian DXDK-1000 NEW (пакет подушка, ширина пленки 300 мм, фотодатчик)",246284,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/304132,"<p>Фасовочно-упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/304132""><b class=""b"">Hualian DXDK-1000 NEW </b></a>используется на предприятиях пищевой, фармакологической, химической промышленности для дозированной упаковки чая, круп, сахара, специй, семян и других легкосыпучих продуктов в пакеты типа «подушка». Модель оснащена весовым дозатором порций, воронкообразным загрузочным бункером, рулонодержателем с рейлинговыми направляющими для пленки, панелями управления с мембранной клавиатурой и цифровыми дисплеями. Корпус и все соприкасающиеся с продуктом компоненты выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматитизированный фасовочно-упаковочный цикл: формирование пакета из рулона пленки, дозирование продукта, запайка и обрезание пакета</li>
<li>Регулировка температуры запайки</li>
<li>Упаковочный узел с электроприводом</li>
<li>Современная система автоматизации на базе программируемого логического контроллера (PLC)</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Наклонная пластина для направленной выгрузки продукции</li>
<li>Поворотные ролики для удобства транспортировки</li>
<li>Легкость эксплуатации и обслуживания</li>
<li>Компактная вертикально ориентированная конструкция для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность дозирования: 0,3 г</li>
<li>Диапазон длины продольного шва запайки: от 10 до 300 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b>​</p>

<ul>
<li>Термодатер </li>
<li>Устройство для пробивки еврослота</li>
<li>Функция боковой насечки для легкого открывания пакета</li>
<li>Функция газонаполнения</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",304132,220 В,0.95 кВт,840 мм,660 мм,1900 мм,,,,0,,259246,,120 кг,Китай,Китай,от 5 до 10 шт/мин.,для сыпучих веществ,,от 10 до 999 гр,840 мм,Да,весовой,,,
https://cdn.entero.ru/mp@2x/0f/1b/0f1b7472484d07e598c405b741f6094b.jpg;https://cdn.entero.ru/mp@2x/ab/3a/ab3ad35024cadc488aa2da0cc5906936.jpg,Автомат фасовочно-упаковочный МАГИКОН DXDK-80CH,00000002205,643824,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/186363,"<p>Вертикальный фасовочно-упаковочный автомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/186363""><b class=""b"">МАГИКОН DXDK-80CH </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для высокоскоростного дозирования и автоматической упаковки сыпучих порошкообразных пищевых и не пищевых продуктов. Модель оснащена объемным дозатором и высокоточным фотодатчиком. Корпус и дозатор выполнены из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность формирования плоского 3 или 4-шовного пакета</li>
<li>Русифицированная панель управления</li>
<li>Дата в шве</li>
<li>Легкая регулировка настройки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Пределы регулирования дозы: от 1 до 50 мл</li>
<li>Макс. диаметр пленки: 320 мм </li>
<li>Размер пакета:
<ul>
<li>Длина: от 30 до 120 мм</li>
<li>Ширина: от 40 до 160 мм</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Термопринтер даты</li>
<li>Европросечка </li>
</ul>",186363,380 В,1.1 кВт,730 мм,630 мм,1580 мм,,,,0,,670650,,185 кг,,Китай,от 50 до 80 шт/мин.,для сыпучих веществ,,,730 мм,Да,объемный,,от 0.4 до 0.8 мкм,Да
https://cdn.entero.ru/mp@2x/74/10/74102d1916e0ce0205ed9d50c8c202b4.jpg,"Коррекс Комус КС-4 (прозрачный, 900 шт.)","Коррекс Комус КС-4 (прозрачный, 900 шт.)",9268,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/236653,"<p>Коррекс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/236653""><b class=""b"">Комус КС-4 </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для фасовки кондитерских изделий.</p>",236653,,,,,,,,,0,,,,,,,,,,,,,,,,
https://cdn.entero.ru/mp@2x/fa/d7/fad700faf81e4490d311f4c3dca55445.jpg,Автомат фасовочно-упаковочный White Penguin AVWB500IIP,Автомат фасовочно-упаковочный White Penguin AVWB500IIP,165060,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/379383,"<p>Фасовочно-упаковочный автомат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/379383"">White Penguin AVWB500IIP</a></b> используется на предприятиях пищевой, фармакологической, химической промышленности для дозированной упаковки чая, круп, сахара, специй, семян и других легкосыпучих продуктов в пакеты типа «подушка». Модель оснащена однолинейным весовым дозатором порций, загрузочным бункером, рулонодержателем с рейлинговыми направляющими для пленки, электронными панелями управления с функциональными клавишами, светодиодными лампами и цифровыми дисплеями индикации. Корпус и все соприкасающиеся с продуктом компоненты выполнены из безопасной для пищевой продукции нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Дозатор:
<ul>
<li>Высокая точность дозирования</li>
<li>Регулировка дозирования и темпа подачи порций</li>
<li>Счетчик порций с ручным сбросом</li>
<li>Цифровая индикация веса и количества порций</li>
<li>Светодиодные индикаторы:
<ul>
<li>Старт</li>
<li>Стоп</li>
<li>Подача</li>
<li>Готово</li>
<li>Разгрузка</li>
<li>Скорость выгрузки:
<ul>
<li>Медленно</li>
<li>Средне</li>
<li>Быстро</li>
</ul>
</li>
</ul>
</li>
</ul>
</li>
<li>Упаковщик:​​
<ul>
<li>Функция даты на шве пакета</li>
<li>Регулировка температуры запайки вертикального и горизонтального швов</li>
<li>Счетчик пакетов</li>
<li>Цифровая индикация температуры вертикальной и горизонтальной запайки, длины пакета и количества пакетов</li>
<li>Светодиодные индикаторы:
<ul>
<li>Пуск</li>
<li>Стоп</li>
<li>Вертикальная запайка</li>
<li>Горизонтальная запайка</li>
</ul>
</li>
</ul>
</li>
<li>Простое управление благодаря удобному русифицированному интерфейсу</li>
<li>Напольная установка</li>
<li>Датчик фотометки для точного позиционирования при формировании пакета и возможности работы с различной пленкой, включая цветную и с нанесенным рисунком</li>
<li>Наклонная пластина для направленной выгрузки продукции</li>
<li>Поворотные ролики, включая фронтальные со стопорными ограничителями, для удобства транспортировки</li>
<li>Прочная конструкция</li>
<li>Легкость эксплуатации и обслуживания</li>
<li>Компактная вертикально ориентированная конструкция для оптимизации пространства</li>
<li>Материалы пленки: термосвариваемые полиэтилен (PE), двуосно ориентированный полипропилен (BOPP), композитные с полиэтиленом такие как бумага, целлофан, алюминиевая фольга, нейлон и другие</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная производительность: 15 шт./мин.</li>
<li>Максимальный диаметр рулона пленки: 250 мм</li>
<li>Максимальная ширина пленки: 300 мм</li>
<li>Максимальные габариты пакета: 140х190 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b>​</p>

<ul>
<li>Функция подбоя пакета</li>
<li>Европросечка</li>
<li>Термопринтер даты</li>
</ul>",379383,220 В,,,,,,,,0,,,,,,Китай,,для сыпучих веществ,,от 10 до 500 гр,,Да,весовой,,от 40 до 80 мкм,Да
https://cdn.entero.ru/mp@2x/f8/b8/f8b81d6242af0c9776428b5514a7a8b1.jpg,"Фасовочно-упаковочная машина Hualian DXDK-500 NEW (3-хшовный пакет, ширина пленки 200 мм)","Фасовочно-упаковочная машина Hualian DXDK-500 NEW (3-хшовный пакет, ширина пленки 200 мм)",187404,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/291659,"<p>Фасовочно-упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291659""><b class=""b"">Hualian DXDK-500 NEW </b></a>используется на предприятиях пищевой, фармакологической, химической промышленности для дозированной упаковки чая, круп, сахара, специй, семян и других легкосыпучих продуктов в 3-шовные пакеты. Модель оснащена весовым дозатором порций, воронкообразным загрузочным бункером, рулонодержателем с рейлинговыми направляющими для пленки, панелями управления с мембранной клавиатурой и цифровыми дисплеями. Корпус и все соприкасающиеся с продуктом компоненты выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматитизированный фасовочно-упаковочный цикл: формирование пакета из рулона пленки, дозирование продукта, запайка и обрезание пакета</li>
<li>Регулировка температуры запайки</li>
<li>Упаковочный узел с электроприводом</li>
<li>Современная система автоматизации на базе программируемого логического контроллера (PLC)</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Наклонная пластина для направленной выгрузки продукции</li>
<li>Поворотные ролики для удобства транспортировки</li>
<li>Легкость эксплуатации и обслуживания</li>
<li>Компактная вертикально ориентированная конструкция для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность дозирования: 0,2 г</li>
<li>Диапазон длины продольного шва запайки: от 10 до 250 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b>​</p>

<ul>
<li>Термодатер </li>
<li>Устройство для пробивки еврослота</li>
<li>Функция боковой насечки для легкого открывания пакета</li>
<li>Функция газонаполнения</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",291659,220 В,0.7 кВт,560 мм,780 мм,1650 мм,,,,0,,,,100 кг,Китай,Китай,от 5 до 12 шт/мин.,для сыпучих веществ,,от 10 до 500 гр,560 мм,Да,весовой,,,
https://cdn.entero.ru/mp@2x/0a/8d/0a8d0e810fa83c417d096870dc0c1999.jpg,"Фасовочно-упаковочная машина Hualian DXDK-500 NEW (пакет «подушка», ширина пленки 260 мм)","Фасовочно-упаковочная машина Hualian DXDK-500 NEW (пакет «подушка», ширина пленки 260 мм)",197248,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вертикальные упаковочные машины,https://entero.ru/item/291658,"<p>Фасовочно-упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291658""><b class=""b"">Hualian DXDK-500 NEW </b></a>используется на предприятиях пищевой, фармакологической, химической промышленности для дозированной упаковки чая, круп, сахара, специй, семян и других легкосыпучих продуктов в пакеты типа «подушка». Модель оснащена весовым дозатором порций, воронкообразным загрузочным бункером, рулонодержателем с рейлинговыми направляющими для пленки, панелями управления с мембранной клавиатурой и цифровыми дисплеями. Корпус и все соприкасающиеся с продуктом компоненты выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматитизированный фасовочно-упаковочный цикл: формирование пакета из рулона пленки, дозирование продукта, запайка и обрезание пакета</li>
<li>Регулировка температуры запайки</li>
<li>Упаковочный узел с электроприводом</li>
<li>Современная система автоматизации на базе программируемого логического контроллера (PLC)</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Наклонная пластина для направленной выгрузки продукции</li>
<li>Поворотные ролики для удобства транспортировки</li>
<li>Легкость эксплуатации и обслуживания</li>
<li>Компактная вертикально ориентированная конструкция для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность дозирования: 0,2 г</li>
<li>Диапазон длины продольного шва запайки: от 10 до 250 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b>​</p>

<ul>
<li>Термодатер </li>
<li>Устройство для пробивки еврослота</li>
<li>Функция боковой насечки для легкого открывания пакета</li>
<li>Функция газонаполнения</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",291658,220 В,0.7 кВт,560 мм,780 мм,1650 мм,,,,0,,,,100 кг,Китай,Китай,от 5 до 12 шт/мин.,для сыпучих веществ,,от 10 до 500 гр,560 мм,Да,весовой,,,
