Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки)
https://cdn.entero.ru/mp@2x/55/c2/55c26eeed44f0d9aaddec61a9160b07b.jpg,Диспенсер-ленторазмотчик СЕВЕН ПАК P20/28,Диспенсер-ленторазмотчик СЕВЕН ПАК P20/28,9216,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/117466,"<p>Диспенсер-ленторазмотчик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117466"">СЕВЕН ПАК P20/28</a> </b> предназначен для перемещения и разматывания лент ПП/ПЭТ в процессе обвязки крупногабаритных товаров на предприятиях различных направлений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Посадочное место для бухты полипропиленовой ленты</li>
<li>Выполненные из резины колеса для бесшумного перемещения</li>
<li>Пластиковый ящик для хранения инструментов</li>
<li>Тормозная система бухты для удерживания ее в нужном положении и не дает соскальзывать ленте</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры бухт лент:
<ul>
<li>Внутренний диаметр: 200, 230, 280 мм</li>
<li>Внешний диаметр: 590 мм</li>
<li>Ширина: 200 мм</li>
</ul>
</li>
<li>Ширина колесной базы: 380 мм</li>
</ul>",117466,,,,,,,,,,0,,,,9 кг
https://cdn.entero.ru/mp@2x/f5/32/f532ff0e0dfaebbe1806785661922f12.jpg,Заклейщик коробов полуавтоматический Hualian FXJ-4030A,Заклейщик коробов полуавтоматический Hualian FXJ-4030A,106260,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/304363,"<p>Полуавтоматический заклейщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/304363"">Hualian FXJ-4030A</a> </b>используется на предприятиях различных отраслей для герметизации упаковочных картонных коробов клейкой лентой. Модель оснащена рабочим столом с сегментной роликовой поверхностью, 2 вертикальными направляющими с ленточными конвейерами снизу, 2 центрирующими роликами сверху, рулонодержателем для клейкой ленты и панелью управления на боковой стенке.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка направляющих под различные габариты коробов с помощью механических рукояток</li>
<li>Регулировка высоты рабочего стола</li>
<li>Одновременная заклейка верха и дна</li>
<li>Легкий доступ ко всем узлам для удобства технического обслуживания</li>
<li>Поворотные ролики для удобства транспортировки</li>
<li>Зксплуатация в качестве самостоятельного прибора и в составе технологической линии</li>
<li>Материалы клейкой ленты: поливинилхлорид (ПВХ) и биаксиально-ориентированная полипропиленовая пленка (ББОП)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость конвейера: 20 м/мин.</li>
<li>Средняя расчетная производительность: от 25 до 45 шт/мин.</li>
<li>Максимальная нагрузка: 30 кг</li>
<li>Диапазон регулировки высоты рабочего стола: от 580 до 780 мм</li>
<li>Габариты короба:
<ul>
<li>Минимальные: 130х80х90 мм</li>
<li>Максимальные: 300х400 мм</li>
</ul>
</li>
<li>Ширина клейкой ленты: 36/48 мм</li>
</ul>",304363,,,1305 мм,711 мм,1600 мм,,Китай,,,0,,110688,,88 кг
https://cdn.entero.ru/mp@2x/c2/35/c2357d444c1e6ab32b76b11ade3f410c.jpg,Заклейщик коробов полуавтоматический Hualian FXJ-5050AS,Заклейщик коробов полуавтоматический Hualian FXJ-5050AS,178204,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/280722,"<p>Полуавтоматический заклейщик коробов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/280722"">Hualian FXJ-5050AS</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для заклейки картонных коробок БОПП или ПВХ клейкими лентами. Модель оснащена верхними и ниженими приводными ремнями для протяжки коробок. Оборудование может работать как отдельно, так и в составе производственной линии.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая обрезка клейкой ленты </li>
<li>Верхние клапаны коробов перед поступлением в зону заклейки придерживает оператор</li>
<li> Высокая скорость упаковки</li>
<li>Простая и надежная конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость заклейки: 20 м/мин.</li>
<li>Размеры коробки:
<ul>
<li>Максимальный: 500х500 мм</li>
<li>Минимальный: 80х90х130 мм</li>
</ul>
</li>
<li>Ширина ленты: 36 / 48 мм</li>
<li>Диаметр ленты: 250 мм</li>
<li>Высота стола: от 580 до 780 мм</li>
</ul>",280722,220 В,0.3 кВт,1750 мм,880 мм,1500 мм,,Китай,,,0,,193700,,115 кг
https://cdn.entero.ru/mp@2x/0a/b8/0ab8ff22b5aab02987ccd6b98cf32513.jpg,Полуавтоматический заклейщик коробов Extend EXC-103SD,Полуавтоматический заклейщик коробов Extend EXC-103SD,322050,RUB,Да,Extend,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/224764,"<p>Полуавтоматический заклейщик коробов<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224764""><b class=""b""> Extend EXC-103SD</b></a> используется на предприятиях различных направлений для упаковки коробов клейкой скотч-лентой. Модель оснащена двумя заклеивающими устройствами, боковыми приводными ремнями и прочными блокируемыми колесами.</p>

<p>В комплект поставки входит загрузочный и разгрузочный роликовый стол.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность одновременно запаковывать верхние и нижние створки короба</li>
<li>Настройка машины под коробы разных размеров осуществляется вручную</li>
<li>Верхняя и нижняя направляющая для центровки короба</li>
<li>Регулируемая высота рабочей плоскости</li>
<li>Подходит для узких или деформированных коробов</li>
<li>Простота, надежность и удобство управления</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина скотча: 36 / 50 мм</li>
<li>Размер упаковки: 120х110-500х120-500 мм</li>
<li>Скорость перемещения ремней: 23 м/мин.</li>
</ul>

<p><b>Опции (заказывается отдельно):</b></p>

<ul>
<li>Головка для скотч ленты шириной 75 мм</li>
</ul>",224764,220 В,0.45 кВт,1713 мм,1350 мм,854 мм,,Тайвань,,,0,,342606,,
https://cdn.entero.ru/mp@2x/dc/ff/dcffc9fc754772b1e63fed92394d005f.jpg,Скин-упаковочная машина МАГИКОН ТВ-390,Скин-упаковочная машина МАГИКОН ТВ-390,138095,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/132853,"<p>Скин-упаковочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132853"">МАГИКОН ТВ-390</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для плотной упаковки в пластиковую оболочку различных товаров.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Для упаковки подходит немелованный картон, пропускающий воздух</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 50 до 60 листов/час</li>
<li>Размер упаковки: 390х540 мм</li>
<li>Ширина пленки: 450 мм</li>
</ul>",132853,380 В,6 кВт,1000 мм,700 мм,1220 мм,,,,,0,,,,170 кг
https://cdn.entero.ru/mp@2x/12/3e/123ecee50bd0a76536ac6a83f7a1d096.jpg,Заклейщик коробов Hualian FXJ-6050,Стреппинг-машина,156492,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/94863,"<p>Полуавтоматический заклейщик коробов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/94863"">Hualian FXJ-6050</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для заклейки картонных коробок БОПП или ПВХ клейкими лентами. Модель оснащена верхними и нижними протягивающими ремнями. При помощи рычага устанавливается ширина и высота объектов. Заклейка происходит одновременно, снизу и сверху. Оборудование может работать как отдельно, так и в составе производственной линии.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина ленты: 48 / 60 / 76 мм</li>
<li>Скорость заклейки: 20 м/мин.</li>
<li>Размер предмета для упаковки:
<ul>
<li>Максимальный: 500х600 мм</li>
<li>Минимальный: 160х150 мм</li>
</ul>
</li>
</ul>",94863,220 В,0.2 кВт,1755 мм,800 мм,1650 мм,,,,,0,,168271,,120 кг
https://cdn.entero.ru/mp@2x/17/1a/171ae853004f5045cbc8e67e7a992b6e.jpg,Скин-упаковочная машина МАГИКОН TB-540,Скин-упаковочная машина МАГИКОН TB-540,228149,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/132854,"<p>Скин-упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132854""><b class=""b"">МАГИКОН ТВ-540 </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для плотной упаковки в пластиковую оболочку различных товаров.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Для упаковки подходит немелованный картон, пропускающий воздух</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 50 до 60 листов/час</li>
<li>Размер упаковки: 540х780 мм</li>
<li>Ширина пленки: 600 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",132854,380 В,10 кВт,1250 мм,850 мм,1230 мм,,,,,0,,,,260 кг
https://cdn.entero.ru/mp@2x/ff/08/ff08e13032b8409327843b4c3b36797d.jpg,Упаковочная машина Hualian DXDZ-450XD,Упаковочная машина Hualian DXDZ-450XD,793260,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/297827,"<p>Горизонтальная упаковочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/297827"">Hualian DXDZ-450XD</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки в трехшовный пакет «подушка» (или flow-pack) продуктов питания, свежей зелени, салатов, салфеток, пластиковой одноразовой посуды, перчаток и другой продукции. Модель оснащена удобной электронной панелью управления и PLC-контроллером для точного управления машиной. Корпус выполнен из окрашенного металла​.</p>

<p><b>Особенности: </b></p>

<ul>
<li>2 серводвигателя с частотным преобразователем (раздельно для протягивающих роликов и запаечных губок)</li>
<li>Чувствительные фотодатчики для точного позиционирования пленки с фотометками (используется для цветной упаковки с рисунками и надписями)</li>
<li>Температурный контроллер</li>
<li>Нижняя подача пленки</li>
<li>Система возвратно-поступательной запайки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 30 до 180 уп./мин.</li>
<li>Максимальная ширина пленки: 450 мм</li>
<li>Максимальный диаметр рулона пленки: 320 мм</li>
<li>Длина пакета: от 130 до 450 мм</li>
<li>Максимальная высота упаковочного объекта: 75 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Устройство для автоматической подачи продукта</li>
<li>Устройство газонаполнения</li>
<li>Термодатер</li>
<li>Евро-слот</li>
<li>Прокалыватель пакета</li>
<li>Корпус из нержавеющей стали</li>
<li>Круглое отверстие</li>
<li>Подбой пакета</li>
</ul>",297827,220 В,2.5 кВт,4020 мм,800 мм,1450 мм,,Китай,,,0,,862239,,900 кг
https://cdn.entero.ru/mp@2x/da/79/da798930ea5e628b7431ccd89f4cfb43.jpg,"Горизонтальная упаковочная машина Hualian DXDZ-600XD, 3 servo, лента 250 мм, регулировка форм, min bag L 180, H 120",DXDZ-600XD,997280,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/344823,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/344823""><b class=""b"">Hualian DXDZ-600XD </b></a>используется в цехах и на складах предприятий пищевой, косметической и других направлений промышленности для герметичной упаковки печенья, шоколадных батончиков, мыла, промышленных деталей и других различных штучных изделий и групп продуктов в лотках прямоугольно ориентированной формы в пакеты типа «подушка» (flow-pack). Модель оснащена датчиком для отслеживания длины продукта. Корпус выполнен из окрашенного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима работы:
<ul>
<li>Работа по фиксированной длине пакета: машина формирует длину пакета согласно установленным настройкам</li>
<li>Изменение длины пакета согласно данным полученным с датчика отслеживания продукта</li>
</ul>
</li>
<li>2 серводвигателя с частотным преобразователем (раздельно для протягивающих роликов и запаечных губок)</li>
<li>Транспортер поперечной запайки</li>
<li>Чувствительные фотодатчики: точное позиционирование пленки с фотометками </li>
<li>Запайка и обрезка пакета также может регулироваться по длине пакета через цифровой ввод</li>
<li>Современный PCL-контроллер: параметры настроек легко и быстро регулируются при помощи сенсорной панели с удобным интерфейсом</li>
<li>Температурный контроллер</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мин. длина пакета: 180 мм</li>
<li>Высота продукта: до 120 мм</li>
<li>Расчетная производительность: 40-230 шт/мин</li>
<li>Расстояние между толкателями: 250 мм</li>
<li>Ширина пакета: 195-285 мм</li>
</ul>

<p><b>Опции (заказываются отдельно)</b></p>

<ul>
<li>Простановка даты термопринтером</li>
<li>Этикетировочная машина</li>
<li>Функция газонаполнения</li>
<li>Прокол пакета и удаление излишков воздуха</li>
<li>Исполнение в корпусе из нержавеющей стали</li>
</ul>",344823,220 В,2.4 кВт,4400 мм,1100 мм,1460 мм,519 кг,Китай,2,1850x1110x1600 мм,0,,1072344,,488 кг
https://cdn.entero.ru/mp@2x/72/4b/724b8f47590fa42e9dd8bd6312824c39.jpg,Заклейщик коробов Hualian FXJ-6050С,Заклейщик коробов Hualian FXJ-6050С,133768,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371983,"<p>Полуавтоматический заклейщик коробов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371983"">Hualian FXJ-6050С</a></b> используется на складах, в логистических центрах, на производственных предприятиях и оптовых базах для заклейки картонных коробок БОПП, ПВХ и безводной клейкой лентой.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер короба для упаковки:
<ul>
<li>Максимальный: 500х600 мм</li>
<li>Минимальный: 150х180х130 мм</li>
</ul>
</li>
<li>Ширина скотча: 76 мм</li>
<li>Высота стола: от 635 до 780 мм</li>
<li>Скорость конвейера: 20 м/мин.</li>
<li>Расчётная производительность: от 25 до 40 коробов/мин.</li>
<li>Максимальный диаметр рулона со скотчем: 500 мм</li>
</ul>",371983,220 В,0.2 кВт,,,,,Китай,,,0,,,,
