Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Вес (с упаковкой),Ширина ленты,Встраиваемый,Тип печати,Количество строк,Счетчик изделий
https://cdn.entero.ru/mp@2x/d0/f5/d0f55445258238d01a5bc562dba813df.jpg,Датер Hualian HP-241G (400),HP-241 G / НР-241G,30176,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/93550,"<p>Автоматический датер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93550""><b class=""b"">Hualian HP-241G</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для нанесения чернильной печати на упаковочные материалы. Аппарат встраивается в упаковочные линии и работает от двигателя протяжки пленки. Модель оснащена индукционным датчиком и блоком управления. В качестве расходного материала используется термотрансферная лента, переносящая изображение по принципу копирки.</p>

<p>В комплект поставки входят станина и стандартный комплект литер, включающий в себя цифры от ""0"" до ""9"" (от 3 до 6 шт. каждого символа).</p>

<p><b>Характеристики: </b>.</p>

<ul>
<li>Количество строк: 2x3x15 мм, 3 строки (макс. 15 литер/строка)</li>
<li>Высота литер: 3 мм</li>
<li>Ширина станины: 400 мм</li>
<li>Вес (без станины): 7 кг</li>
</ul>",93550,автоматический,220 В,0.135 кВт,,,,,,,0,,31764,,,Китай,200 шт/мин.,,от 25 до 35 мм,Да,термолента,3,
https://cdn.entero.ru/mp@2x/0e/2e/0e2e6d7ab284d914692a8289f8865b71.jpg,Датер Hualian HP-241G (600),HP-241 G (станина 600 мм) / НР-241G,39928,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/94754,"<p>Автоматический датер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94754""><b class=""b"">Hualian HP-241G</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для нанесения чернильной печати на упаковочные материалы. Аппарат встраивается в упаковочные линии и работает от двигателя протяжки пленки. Модель оснащена индукционным датчиком и блоком управления. В качестве расходного материала используется термотрансферная лента, переносящая изображение по принципу копирки.</p>

<p>В комплект поставки входят станина и стандартный комплект литер, включающий в себя цифры от ""0"" до ""9"" (от 3 до 6 шт. каждого символа).</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Количество строк: 2x3x15 мм, 3 строки (макс. 15 литер/строка)</li>
<li>Высота литер: 3 мм</li>
<li>Ширина станины: 600 мм</li>
<li>Вес (без станины): 7 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",94754,автоматический,220 В,0.135 кВт,,,,,,,0,,,,,Китай,200 шт/мин.,,от 25 до 35 мм,Да,термолента,3,
https://cdn.entero.ru/mp@2x/8b/71/8b71ca7ede48a2ed47739ec744b0f7aa.jpg,Принтер каплеструйный ручной Hualian SC-25,Принтер каплеструйный ручной Hualian SC-25,27876,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/357777,"<p>Ручной каплеструйный принтер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/357777"">Hualian SC-25</a></b> используется в логистических компаниях, на предприятиях промышленности различных направлений, общественного питания и торговли для маркировки продукции посредством печати даты, текстовой информации, штрих- и QR-кодов или графических изображений. Модель оснащена 2 опорными роликами, рукояткой обтекаемой формы, большим цветным сенсорным дисплеем управления и индикации. Корпус выполнен из ударопрочного пластика.</p>

<p>В комплект поставки входит 1 картридж с чернилами.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Поддержка нескольких иностранных языков, включая английский и китайский</li>
<li>Экономичный расход чернил: ресурс печати 1 картриджа до 300000 мелких символов</li>
<li>USB порт для обмена данными</li>
<li>Удобно расположенная кнопка запуска и остановки</li>
<li>Выключатель колыбельного типа</li>
<li>Цвет чернил: черный, красный, синий, желтый, зеленый, белый, прозрачный</li>
<li>Материал поверхностей для нанесения печати: картон, камень, МДФ, металл, пластик, дерево, алюминиевая фольга и другие</li>
<li>Компактные габариты и малый вес для удобства эксплуатации, транспортировки и хранения</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Диапазон температуры окружающей среды: от 0 до 50 °С</li>
<li>Диапазон относительной влажности: от 40 до 60%</li>
</ul>
</li>
<li>Диагональ дисплея: 4,3""</li>
<li>Высота печати: от 2 до 25,4 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сменный картридж</li>
<li>Поддержка русского языка</li>
</ul>",357777,ручной,,,,,,,,,0,,29038,1.08 кг,Китай,Китай,,,,,струйная,,
https://cdn.entero.ru/mp@2x/30/c8/30c8d5ef5186536d5a904b87705a7719.jpg,Датер Hualian MY-380F,MY-380F (нерж.),45356,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/93551,"<p>Автоматический датер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93551"">Hualian MY-380F</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для нанесения чернильной печати на упаковочные материалы. Модель оснащена регулировкой места проставления даты. В качестве расходного материала используется красящий ролик, из которого под действием температуры выделяются чернила. Корпус выполнен из нержавеющей стали.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Размер литер: 2x1,5 (8PT), 2,5x2 (9PT), 3x3 (10,5PT) мм</li>
<li>Размер красящего ролика: 35x32, 35x16 мм</li>
<li>Ресурс ролика: 80000 оттисков</li>
<li>Размер объекта:
<ul>
<li>Длина: от 45 до 300 мм</li>
<li>Ширина: от 30 до 190 мм</li>
</ul>
</li>
<li>Область печати: от 60 до 250 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Количество строк: 8 (макс. 8 литер/строка, R расположение (10,5PT))</li>
</ul>",93551,автоматический,220 В,0.18 кВт,345 мм,440 мм,300 мм,,,,0,https://entero.ru/manuals/114394/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20MY-380F.pdf,47743,23 кг,,Китай,300 шт/мин.,,,,твердые чернила,11,
https://cdn.entero.ru/mp@2x/47/94/4794063d62b447c561645c1bcc3041bb.jpg,Термодатер МАГИКОН HP-501,00000001895,46329,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/206307,"<p>Термодатер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206307"">МАГИКОН HP-501</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли совместно с вертикальными и горизонтальными упаковочными автоматами для нанесения текстовой информации на любой вид упаковки. Модель оснащена пневматическим приводом и выносным блоком управления. Корпус выполнен из металла. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность позиционирования отпечатка в любом месте пакета</li>
<li>Аппараты могут использоваться для печати даты, срока годности, веса, цены, размера, места производства, состава, производителя </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное количество символов в строке: до 10 </li>
<li>Высота символов: 3 мм</li>
<li>Ширина печатающей ленты: 25 / 30 / 35 мм </li>
<li>Ширина рамы / пленки: 500 / 450 мм</li>
</ul>",206307,автоматический,220 В,0.12 кВт,,,,,,,0,,48259,6.1 кг,,Китай,300 шт/мин.,,от 25 до 35 мм,,термолента,3,
https://cdn.entero.ru/mp@2x/4d/1d/4d1db9215e4efd591ff374e8b08950de.jpg;https://cdn.entero.ru/mp@2x/ad/54/ad542e0ee29a5b177da69eb8107cf8c2.jpg;https://cdn.entero.ru/mp@2x/0d/8e/0d8e1961fc2de653b3c60d9d26005bb8.jpg;https://cdn.entero.ru/mp@2x/8b/9e/8b9e1929d7bdfcf5ff4bd50bd915857a.jpg;https://cdn.entero.ru/mp@2x/d4/ef/d4ef41f46f84075663ef31c27405e6d7.jpg;https://cdn.entero.ru/mp@2x/82/31/82318985dc1ea8d3a59f3be0c52a5186.jpg;https://cdn.entero.ru/mp@2x/e4/a4/e4a4bf0660a9e4424f7f3b4e76b01dbe.jpg;https://cdn.entero.ru/mp@2x/db/1e/db1e942683dd94eb7f335e92a9ad3674.jpg;https://cdn.entero.ru/mp@2x/a3/34/a33493c8a45de6dab300423f8c504d13.jpg;https://cdn.entero.ru/mp@2x/7f/b2/7fb2fb89f66dbe17912f3e426c552a4a.jpg,Датер Foodatlas DY-6C Pro,DY-6C FoodAtlas Pro,3552,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/87170,"<p>Ручной датер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87170"">Foodatlas DY-6C Pro</a></b> используется на предприятиях общественного питания и торговли для нанесения чернильной печати на полиэтилен, алюминиевую бумагу, выделанную кожу и другие упаковочные материалы. Аппарат позволяет проставить дату производства, срок хранения, номер партии, вес, цену и прочие показатели.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Длина печати: 30 мм</li>
<li>Размер литеры:</li>
<li>6 типов: 5x5 мм</li>
<li>10 типов: 3х5 мм</li>
<li>Количество строк: 3</li>
<li>Количество символов в строке: 8</li>
<li>Производительность:100 оттисков/мин</li>
<li>Тип нанесения: Арабские цифры, китайские иероглифы и английские буквы</li>
<li>Упаковочный материал: PP+PE+ETC+бумага</li>
<li>Габариты упаковки: 320х270х205 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель Foodatlas DY-6B.</span></em></p>",87170,ручной,220 В,0.04 кВт,250 мм,309 мм,195 мм,,,,0,https://entero.ru/manuals/351308/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20DY-6C%20Pro.pdf;https://entero.ru/manuals/402962/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/403025/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,4800,2.6 кг,,Китай,100 шт/мин.,,,,термолента,3,
https://cdn.entero.ru/mp@2x/4f/58/4f58d3c88d101b6730304281f94c0391.jpg;https://cdn.entero.ru/mp@2x/7a/94/7a94183c766b5b5ec5fd9d8f632fb942.jpg;https://cdn.entero.ru/mp@2x/a0/b3/a0b32ef9e4b265a94669cfab02a919a2.jpg;https://cdn.entero.ru/mp@2x/d3/13/d31394bb3eab45aeca06fd4150184f2f.jpg;https://cdn.entero.ru/mp@2x/4d/9b/4d9b2aeaf56043e7b55669baac1c6107.jpg;https://cdn.entero.ru/mp@2x/21/9e/219e0495893a1c32b3ae371978170cc9.jpg;https://cdn.entero.ru/mp@2x/24/87/248728af8a5b2755124b63b413198d7e.jpg;https://cdn.entero.ru/mp@2x/c0/d5/c0d53bb55aa258e142c041f9afee6c36.jpg;https://cdn.entero.ru/mp@2x/a4/9c/a49c35eaa766756d5084a40ecb86237c.jpg;https://cdn.entero.ru/mp@2x/b6/c3/b6c3a369828d2a9c7470a54936ac40ef.jpg;https://cdn.entero.ru/mp@2x/98/76/987681319c9cc13449e6024d3ee9c047.jpg,Датер Foodatlas DY-8 Pro,DY-8 FoodAtlas Pro,6089,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/87027,"<p>Ручной датер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87027"">Foodatlas DY-8 Pro</a></b> используется на предприятиях общественного питания и торговли для нанесения чернильной печати на полиэтилен, алюминиевую бумагу, выделанную кожу и другие упаковочные материалы. Модель позволяет проставить дату производства, срок хранения, номер партии, вес, цену и прочие показатели.</p>

<p><b>Дополнителные характеристики: </b></p>

<ul>
<li>Длина печати: 35 мм</li>
<li>Размер знаков: 2x4 мм (6 типов)</li>
<li>Количество строк: 3</li>
<li>Количество символов в строке:15</li>
<li>Производительность:120 отисков/мин</li>
<li>Тип нанесения: Арабские цифры, китайские иероглифы и английские буквы</li>
<li>Упаковочный материал: PP+PE+ETC+бумага</li>
<li>Габариты упаковки: 280х190х265 мм</li>
</ul>",87027,ручной,220 В,0.08 кВт,170 мм,250 мм,255 мм,,,,0,https://entero.ru/manuals/351333/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20DY-8%20Pro.pdf;https://entero.ru/manuals/402960/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/403014/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,2.6 кг,,Китай,120 шт/мин.,,,,термолента,3,
https://cdn.entero.ru/mp@2x/a7/95/a7954974a7c6c060e92af5390caf11e0.jpg;https://cdn.entero.ru/mp@2x/bd/b5/bdb547e5edb21f10cf2165802f6dd064.jpg;https://cdn.entero.ru/mp@2x/1c/3f/1c3fc71ecdfbe913493b36e5ddabb7ed.jpg;https://cdn.entero.ru/mp@2x/a9/df/a9dfa2da7d2cc3c623e8f85e69c53b45.jpg;https://cdn.entero.ru/mp@2x/f7/e9/f7e9590a34cb9f74c74a113aef134b23.jpg,Датер Foodatlas HP-241B Pro,HP-241B FoodAtlas Pro,18333,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/87028,"<p>Полуавтоматический датер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87028"">Foodatlas HP-241B Pro</a></b> используется на предприятиях общественного питания и торговли для нанесения чернильной печати на полиэтилен, алюминиевую бумагу, выделанную кожу и другие упаковочные материалы. Модель позволяет проставить дату производства, срок хранения, номер партии, вес, цену и прочие показатели.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Длина печати: 30 мм</li>
<li>Размер знаков: 2x4 мм</li>
<li>Количество символов в строке: 15</li>
<li>Количество строк: 3</li>
<li>Тип нанесения: Арабские цифры, китайские иероглифы и английские</li>
<li>буквы</li>
<li>Максимальная ширина печатаюшей ленты: 35 мм</li>
<li>Упаковочная скорость: от 20 до 80 шт/мин</li>
<li>Упаковочный материал: PP+PE+ETC+бумага</li>
<li>Габариты в упаковке: 250x300x330 мм</li>
</ul>",87028,полуавтоматический,220 В,0.06 кВт,220 мм,260 мм,315 мм,,,,0,https://entero.ru/manuals/351324/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HP-241B%20Pro.pdf;https://entero.ru/manuals/402958/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/402963/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,19927,8 кг,,Китай,от 70 до 80 шт/мин.,,,,термолента,3,
https://cdn.entero.ru/mp@2x/6c/92/6c92be0ad1938bb310a9fc093dd67afe.jpg,Принтер каплеструйный ручной Hualian SC-12,Принтер каплеструйный ручной Hualian SC-12,18400,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/357778,"<p>Ручной каплеструйный принтер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/357778"">Hualian SC-12</a></b> используется в логистических компаниях, на предприятиях промышленности различных направлений, общественного питания и торговли для маркировки продукции посредством печати даты, текстовой информации, штрих- и QR-кодов или графических изображений. Модель оснащена 2 опорными роликами, рукояткой обтекаемой формы, большим цветным сенсорным дисплеем управления и индикации. Корпус выполнен из ударопрочного пластика.</p>

<p>В комплект поставки входит 1 картридж с чернилами.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Поддержка нескольких иностранных языков, включая английский и китайский</li>
<li>Экономичный расход чернил: ресурс печати 1 картриджа до 300000 мелких символов</li>
<li>USB порт для загрузки данных</li>
<li>Удобно расположенная кнопка запуска и остановки</li>
<li>Выключатель колыбельного типа</li>
<li>Цвет чернил: черный, красный, синий, желтый, зеленый, белый, прозрачный</li>
<li>Материал поверхностей для нанесения печати: картон, камень, МДФ, металл, пластик, дерево, алюминиевая фольга и другие</li>
<li>Компактные габариты и малый вес для удобства эксплуатации, транспортировки и хранения</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Диапазон температуры окружающей среды: от 0 до 50 °С</li>
<li>Диапазон относительной влажности: от 40 до 60%</li>
</ul>
</li>
<li>Диагональ дисплея: 4,3""</li>
<li>Высота печати: от 2 до 12,7 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сменный картридж</li>
<li>Поддержка русского языка</li>
</ul>",357778,ручной,,,,,,,,,0,,,1.08 кг,Китай,Китай,,,,,струйная,,
https://cdn.entero.ru/mp@2x/3d/27/3d276d6d237e47283182418801fa0bd9.jpg,Датер Hualian HP-280,НР-280 / НР-280 (с термолентой),20884,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Датеры,https://entero.ru/item/93555,"<p>Полуавтоматический датер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93555"">Hualian HP-280</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для нанесения печати на упаковочные материалы. Модель оснащена регулировкой времени и ножным приводом. Печать осуществляется с помощью специальной термоленты, через которую нагретые литеры переносят дату на объект.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Количество символов:
<ul>
<li>1 строка: 2x4 мм макс. 15 литер</li>
<li>2 строки: 2x4 мм макс. 30 литер</li>
<li>3 строки: 2x4 мм макс. 45 литер</li>
</ul>
</li>
</ul>",93555,полуавтоматический,220 В,0.12 кВт,225 мм,255 мм,325 мм,,,,0,,,9.5 кг,,Китай,100 шт/мин.,,от 25 до 35 мм,,термолента,3,
