Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Назначение,Управление,Дозировка сыпучих веществ,Объем дозировки жидкостей
https://cdn.entero.ru/mp@2x/d7/52/d752841c1d9df691130d875eebe6772e.jpg,Дозатор весовой Hualian FZ-3000,Дозатор весовой Hualian FZ-3000,62560,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/296678,"<p>Весовой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296678"">Hualian FZ-3000</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для дозирования и упаковки различных круп, муки, сахара, макаронных изделий, бытовой химии, чая, кофе, орехов, лекарственных сборов, листового и гранулированного чая, кормов для домашних животных, пуговиц, фурнитуры, детских конструкторов. Модель оснащена электронной панелью управления. Оборудование выполнено из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Дозатор может работать как с порошкообразными продуктами, так и с фракционным (гранулированным) товаром</li>
<li>Выходной бункер с инфракрасным датчиком</li>
<li>Точное автоматическое взвешивание</li>
<li>Регулируемые вес и скорость упаковки</li>
<li>Специальный антивибрационный корпус</li>
<li>Экономичное энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера: 37 л </li>
<li>Диапазон дозирования:
<ul>
<li>Гранулы: от 10 до 3000 гр </li>
<li>Порошок: от 10 до 1700 гр </li>
</ul>
</li>
<li>Точность наполнения: 0,2 гр </li>
</ul>",296678,,220 В,,360 мм,580 мм,1350 мм,,,,0,,68000,,40 кг,,Китай,,для сыпучих веществ,полуавтоматическое,от 10 до 3000 гр,
https://cdn.entero.ru/mp@2x/29/6d/296db8282c02027da91a8b32622b094e.jpg;https://cdn.entero.ru/mp@2x/03/fe/03feed327c2b242cacbfdddc6e9e19e0.jpg;https://cdn.entero.ru/mp@2x/d0/93/d0932f770c1b4fb15e5a6f8f634117c5.jpg;https://cdn.entero.ru/mp@2x/24/94/24948ab7ea9af3595799e9e7cf4f5a84.jpg,Дозатор поршневой Foodatlas A-03 Pro,A-03 Foodatlas Pro,16715,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/110565,"<p>Настольный поршневой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110565"">Foodatlas A-03 Pro</a> </b>используется на предприятиях общественного питания и торговли для порционного розлива в бутылки, банки и другие емкости жидких и пастообразных продуктов. Корпус выполнен из окрашенной стали, бункер и головка - из нержавеющей стали 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной привод</li>
<li>Бесступенчатая регулировка</li>
<li>Высокая точность дозировки</li>
<li>Большой диапазон дозирования</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина материала:
<ul>
<li>Бункер: 1 мм</li>
<li>Головка: 5 мм</li>
</ul>
</li>
<li>Объём бункера: 10 л</li>
<li>Размер сопла: 7 мм</li>
<li>Габариты упаковки: 330x330x785 мм</li>
</ul>",110565,поршневой,,,270 мм,270 мм,700 мм,,,,0,https://entero.ru/manuals/351158/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20A-03%20Pro.pdf;https://entero.ru/manuals/397923/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/398035/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%20%D0%93%D0%9E%D0%A1%D0%A2.%20%D0%94%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D0%B2%D0%B5%D1%81%D0%BE%D0%B2%D0%BE%D0%B9%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20FA.pdf,17595,,10 кг,,Китай,50 доз/мин.,для жидкостей,,,5 мл
https://cdn.entero.ru/mp@2x/6b/d8/6bd89ce8432b2c724190c22f3ae501a0.jpg;https://cdn.entero.ru/mp@2x/ec/e1/ece1ec72c3600d74e50f37c340220bf0.jpg;https://cdn.entero.ru/mp@2x/d3/06/d306fd61289cb1f967b87657c4cea1f2.jpg;https://cdn.entero.ru/mp@2x/d2/c3/d2c392c2e2e9f7463e5ab549471d80f8.jpg;https://cdn.entero.ru/mp@2x/f4/bb/f4bb0dd60dd414768ae7c83d62c1ae3d.jpg;https://cdn.entero.ru/mp@2x/8f/2c/8f2c232aa12e5dc6086a6fcd44283477.jpg;https://cdn.entero.ru/mp@2x/f1/b6/f1b6b073fbf9b11d5f5cba3f6baa14d0.jpg;https://cdn.entero.ru/mp@2x/42/86/42868a98266a17108b2d99c5fd168163.jpg;https://cdn.entero.ru/mp@2x/c4/e2/c4e2006ef55bb5caabc98ea6c19b2767.jpg;https://cdn.entero.ru/mp@2x/7a/4f/7a4ff2d405fac48a90d40159d9985448.jpg;https://cdn.entero.ru/mp@2x/5d/0d/5d0d512b98747aaff50c020dc74f0452.jpg;https://cdn.entero.ru/mp@2x/0d/9a/0d9a6e354265c675613cc493464546e7.jpg;https://cdn.entero.ru/mp@2x/3b/b2/3bb2552b635d54d9616e1d6dc5e26787.jpg,Дозатор поршневой Foodatlas G2WTD Pro (10-300 мл),"G2WTD(10-300 мл. 2 гол., пастообразный) Foodatlas Pro",89788,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/110364,"<p>Настольный поршневой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110364""><b class=""b"">Foodatlas G2WTD Pro </b></a>используется на предприятиях общественного питания и торговли для порционного розлива в бутылки, банки и другие емкости пастообразных продуктов. Модель оснащена кнопочным управлением и 2 дозирующими головками. Корпус выполнен из нержавеющей стали 201, бункер и головка - из нержавеющей стали 304, трансформатор - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Датчик: ALIF A-21R</li>
<li>Регулировка объема и скорости заполнения</li>
<li>Высокая точность дозировки</li>
<li>Простота настройки и регулировки</li>
<li>Большой диапазон дозирования</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 600 до 1000 циклов/мин.</li>
<li>Погрешность: 1%</li>
<li>Объём бункера: 30 л</li>
<li>Необходимая подача воздуха: от 0,4 до 0,6 МПа</li>
<li>Размеры бункера: 680x460x460 мм</li>
<li>Толщина материала:
<ul>
<li>Корпус: 2 мм</li>
<li>Бункер: 1 мм</li>
<li>Головка: 5 мм</li>
</ul>
</li>
<li>Габариты упаковки №1: 1000х410х400 мм</li>
<li>Габариты упаковки №2: 680х450х460 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",110364,поршневой,220 В,0.01 кВт,970 мм,430 мм,770 мм,,,,0,https://entero.ru/manuals/364251/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20G2WTD%20Pro%20%2810-300%20%D0%BC%D0%BB%29.pdf;https://entero.ru/manuals/397935/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/397940/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%20%D0%93%D0%9E%D0%A1%D0%A2.%20%D0%94%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20G1WTD_%20G2WTD_%20G1WLD.pdf,,,44 кг,,Китай,,для жидкостей,кнопочное,,от 10 до 300 мл
https://cdn.entero.ru/mp@2x/ac/f3/acf39e9c82f844bb27e4ce720889a602.jpg;https://cdn.entero.ru/mp@2x/ab/e5/abe54c29bc2d1ecd04c40bd9122ad919.jpg;https://cdn.entero.ru/mp@2x/8b/31/8b319a010a4fd75a6567452cf6d8d913.jpg;https://cdn.entero.ru/mp@2x/32/b2/32b2ac9ed6ecda1854f6c766a630b20e.jpg;https://cdn.entero.ru/mp@2x/16/f8/16f84f06d2895f62cfdcc704f6770a1c.jpg;https://cdn.entero.ru/mp@2x/d5/3f/d53fc0c9ed0e15b4f6e47a510f6dc167.jpg;https://cdn.entero.ru/mp@2x/d6/90/d69081dc3da6319ff3a41f37a8bb7e53.jpg;https://cdn.entero.ru/mp@2x/09/d9/09d9738185e04609ff54c6dbee87c4e3.jpg;https://cdn.entero.ru/mp@2x/4f/5c/4f5c8ae5fb1a9d0bbba05299333e1082.jpg;https://cdn.entero.ru/mp@2x/97/8b/978b53ec33fa794b53f32ec3b2879e9b.jpg,Дозатор весовой Foodatlas FA-100,Дозатор весовой Foodatlas FA-100,19652,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/257740,"<p>Весовой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257740""><b class=""b"">Foodatlas FA-100</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для дозирования сыпучих, гранулированных продуктов некрупной фракции. Модель оснащена электронной панелью управления и загрузочным бункером, из которого продукт, путем вибрации перемещается в камеру взвешивания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 скорости дозирования</li>
<li>Функция Сброс продукта - полная выгрузка продукта из оборудования, с возможностью регулировать скорость выгрузки</li>
<li>Функция Сброс - выгрузка загрузочного бункера</li>
<li>Звуковой сигнал о готовности к выгрузке после взвешивания</li>
<li>Фотодатчик рядом с выгрузным лотком, по которому осуществляется выгрузка продукта</li>
<li>Климатическое исполнение УХЛ 4.2. ГОСТ 15150-69</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты бункера: 200х200х180 мм</li>
<li>Максимальная загрузка: 4 кг</li>
<li>Габариты в упаковке: 420х300х550 мм</li>
</ul>",257740,весовой линейный,220 В,0.08 кВт,380 мм,230 мм,490 мм,9 кг,1,420x300x550 мм,0,https://entero.ru/manuals/317484/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20FA-100.pdf;https://entero.ru/manuals/397924/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/398034/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%20%D0%93%D0%9E%D0%A1%D0%A2.%20%D0%94%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D0%B2%D0%B5%D1%81%D0%BE%D0%B2%D0%BE%D0%B9%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20FA.pdf,20906,https://vk.com/video_ext.php?oid=-177656185&id=456240443&hd=2&autoplay=0,7.5 кг,,Китай,,для сыпучих веществ,,от 10 до 99 гр,
https://cdn.entero.ru/mp@2x/41/2b/412b8e50cb40ec568a3b09090c90c6c8.jpg;https://cdn.entero.ru/mp@2x/75/75/75750bc0074b1c32add9905ad9f686f4.jpg;https://cdn.entero.ru/mp@2x/8f/91/8f9166d0520054d0f2b89d1083b053e5.jpg;https://cdn.entero.ru/mp@2x/b1/36/b136c3d228831e9efb8722a89797c546.jpg;https://cdn.entero.ru/mp@2x/60/d2/60d290d0d71e05b1fbb196ff3aacf320.jpg;https://cdn.entero.ru/mp@2x/0a/0e/0a0e409dc80395173b571b3c0c85ec93.jpg;https://cdn.entero.ru/mp@2x/70/c9/70c930efd6ff465077825b876afc149e.jpg;https://cdn.entero.ru/mp@2x/78/68/7868c7326f3612848755b755d38b38e5.jpg;https://cdn.entero.ru/mp@2x/46/6c/466c96fb449025be4f97dcd1126c2476.jpg;https://cdn.entero.ru/mp@2x/62/14/62148b07b44ed7971d0a0d01ef8e48c7.jpg;https://cdn.entero.ru/mp@2x/1d/d7/1dd74ef700b7c28abbc440933570e0c8.jpg;https://cdn.entero.ru/mp@2x/f9/62/f962c2ea02328720a935b22bc125df59.jpg,Дозатор поршневой Foodatlas G1WTD Pro (50-500 мл),"G1WTD (50-500 мл. 1 гол., пастообразный) Foodatlas Pro",57520,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/110360,"<p>Настольный поршневой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110360""><b class=""b"">Foodatlas G1WTD Pro </b></a>используется на предприятиях общественного питания и торговли для порционного розлива в бутылки, банки и другие емкости пастообразных продуктов. Модель оснащена кнопочным управлением и 1 дозирующей головкой. Корпус выполнен из нержавеющей стали 201, бункер и головка - из нержавеющей стали 304, трансформатор - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Датчик: ALIF A-21R</li>
<li>Регулировка объема и скорости заполнения</li>
<li>Высокая точность дозировки</li>
<li>Простота настройки и регулировки</li>
<li>Большой диапазон дозирования</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 600 до 1000 циклов/мин.</li>
<li>Погрешность: 1%</li>
<li>Объём бункера: 30 л</li>
<li>Необходимая подача воздуха: от 0,4 до 0,6 МПа</li>
<li>Толщина материала:
<ul>
<li>Корпус: 2 мм</li>
<li>Бункер: 1 мм</li>
<li>Головка: 5 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 1000x410x400 мм</li>
<li>Габариты упаковки №2: 440x440x460 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",110360,поршневой,220 В,0.01 кВт,970 мм,430 мм,770 мм,,,,0,https://entero.ru/manuals/364247/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20G1WTD%20Pro%20%2850-500%20%D0%BC%D0%BB%29.pdf;https://entero.ru/manuals/397920/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/397937/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%20%D0%93%D0%9E%D0%A1%D0%A2.%20%D0%94%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20G1WTD_%20G2WTD_%20G1WLD.pdf,,,29 кг,,Китай,1000 доз/мин.,для жидкостей,кнопочное,,от 50 до 500 мл
https://cdn.entero.ru/mp@2x/2e/c5/2ec56a2cc9b995d6ab5e57acf464a333.jpg,Дозатор поршневой Hualian PPF-1000T,Дозатор поршневой Hualian PPF-1000T,101476,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/94616,"<p>Настольный поршневой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94616"">Hualian PPF-1000T</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для порционного розлива в бутылки, стаканы, банки, ведра и другие емкости масел, соусов, кремов, гелей, эмульсий и других жидких и вязких продуктов. Модель оснащена загрузочным бункером и ножной педалью. Аппарат работает как в автоматическом режиме, так и от педали. Корпус и все детали выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит сменная насадка диаметров 14 мм.</p>

<p>Для работы оборудования требуется воздушный компрессор (в комплект поставки не входит).</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная погрешность дозирования: 1%</li>
<li>Объем бункера: 30 л</li>
<li>Диаметр выходного отверстия сопла: 7 мм</li>
<li>Давление воздуха: 0,4 до 0,6 мПа</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",94616,поршневой,220 В,0.02 кВт,1010 мм,250 мм,770 мм,,,,0,,,,32 кг,,Китай,от 10 до 18 доз/мин.,,автоматическое,,от 100 до 1000 мл
https://cdn.entero.ru/mp@2x/0b/a6/0ba63d88980c1726133ece1994a2e48d.jpg,Дозатор шнековый Hualian FLG-500A,Дозатор шнековый Hualian FLG-500A,351900,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/94633,"<p>Шнековый дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94633"">Hualian FLG-500A</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для дозирования муки, специй, сухого молока, крахмала и других трудно-сыпучих продуктов. Модель оснащена PLC-контроллером, загрузочным бункером и колесами для легкого перемещения по цехам и производственным помещениям.</p>",94633,шнековый,220 В,0.7 кВт,850 мм,500 мм,1850 мм,,,,0,,378387,,150 кг,,Китай,50 доз/мин.,для сыпучих веществ,полуавтоматическое,от 50 до 500 гр,
https://cdn.entero.ru/mp@2x/6d/e0/6de0f1a023d85149916754aaa9154772.jpg;https://cdn.entero.ru/mp@2x/41/fd/41fdcbd436b2caa2bea67d2961e4e782.jpg;https://cdn.entero.ru/mp@2x/d8/de/d8ded39d531c68bc3b5bd43f78a49fdd.jpg;https://cdn.entero.ru/mp@2x/45/b8/45b89cf828e55b6736e052741b452fc3.jpg;https://cdn.entero.ru/mp@2x/a6/df/a6df6ac937e6a5dc99f5ed9adeb1a7af.jpg;https://cdn.entero.ru/mp@2x/dd/83/dd83dabc8ae8b5e2c5f27839b6bc095e.jpg;https://cdn.entero.ru/mp@2x/fe/6e/fe6ec29dc31d45d59f3942eb052fbfaf.jpg;https://cdn.entero.ru/mp@2x/ca/51/ca5162aeda62d483e57d947c85a94943.jpg;https://cdn.entero.ru/mp@2x/20/02/2002d226c5b64c1caf27702390ca9a62.jpg;https://cdn.entero.ru/mp@2x/a7/25/a7254b0951565897e5a264bb6cf0a46b.jpg,Дозатор весовой Foodatlas FA-50,Дозатор весовой Foodatlas FA-50,19809,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/257741,"<p>Весовой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257741""><b class=""b"">Foodatlas FA-50</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для дозирования сыпучих, гранулированных продуктов некрупной фракции. Модель оснащена электронной панелью управления и загрузочным бункером, из которого продукт, путем вибрации перемещается в камеру взвешивания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 скорости дозирования</li>
<li>Функция Сброс продукта - полная выгрузка продукта из оборудования, с возможностью регулировать скорость выгрузки</li>
<li>Функция Сброс - выгрузка загрузочного бункера</li>
<li>Звуковой сигнал о готовности к выгрузке после взвешивания</li>
<li>Фотодатчик рядом с выгрузным лотком, по которому осуществляется выгрузка продукта</li>
<li>Климатическое исполнение УХЛ 4.2. ГОСТ 15150-69</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты бункера: 200х200х180 мм</li>
<li>Максимальная загрузка: 4 кг</li>
<li>Габариты в упаковке: 420х300х550 мм</li>
</ul>",257741,весовой линейный,220 В,0.08 кВт,380 мм,230 мм,490 мм,9 кг,1,420x300x550 мм,0,https://entero.ru/manuals/317487/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20FA-50.pdf;https://entero.ru/manuals/397929/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/398029/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%20%D0%93%D0%9E%D0%A1%D0%A2.%20%D0%94%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D0%B2%D0%B5%D1%81%D0%BE%D0%B2%D0%BE%D0%B9%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20FA.pdf,20852,https://vk.com/video_ext.php?oid=-177656185&id=456240443&hd=2&autoplay=0,7.5 кг,,Китай,,для сыпучих веществ,,от 1 до 50 гр,
https://cdn.entero.ru/mp@2x/db/6a/db6a92c37a25cedf6ffe4f0558ee195e.jpg,Дозатор весовой Hualian FZ-100,Дозатор весовой Hualian FZ-100,24609,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/296675,"<p>Весовой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296675"">Hualian FZ-100</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для дозирования и фасовки различных гранулированных продуктов, таких как чай, кофе, специи, травяные сборы, сахар, крупы, семяна. Модель оснащена электронной панелью управления. Оборудование выполнено из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Выходной бункер с инфракрасным датчиком</li>
<li>Точное автоматическое взвешивание</li>
<li>Регулируемые вес и скорость упаковки</li>
<li>Видимое окно просмотра</li>
<li>Специальный антивибрационный корпус</li>
<li>Экономичное энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера: 5,4 л </li>
<li>Емкость загрузочного бункера в виде круглой чаши: 1,5 кг</li>
<li>Точность наполнения: 0,2 гр</li>
<li>Размер бункера: 210х155 мм </li>
</ul>",296675,,220 В,,380 мм,230 мм,490 мм,,,,0,,26749,,13 кг,,Китай,,для сыпучих веществ,автоматическое,от 1 до 100 гр,
https://cdn.entero.ru/mp@2x/05/d5/05d518af3f30654a64b044daa540a7f2.jpg,Дозатор весовой Hualian FZ-500,Дозатор весовой Hualian FZ-500,42596,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/296677,"<p>Весовой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296677"">Hualian FZ-500</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для дозирования и фасовки различных гранулированных продуктов, таких как чай, кофе, специи, травяные сборы, сахар, крупы, семяна. Модель оснащена электронной панелью управления. Оборудование выполнено из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Выходной бункер с инфракрасным датчиком</li>
<li>Точное автоматическое взвешивание</li>
<li>Регулируемые вес и скорость упаковки</li>
<li>Видимое окно просмотра</li>
<li>Специальный антивибрационный корпус</li>
<li>Экономичное энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера: 22 л </li>
<li>Точность наполнения: 0,2 гр </li>
</ul>",296677,,220 В,,400 мм,260 мм,790 мм,,,,0,,,,25 кг,,Китай,,для сыпучих веществ,автоматическое,от 5 до 500 гр,
