Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Тип установки,Газонаполнение,Матрица в комплекте,Размер матрицы,Нож для обрезки пакета,Ширина рулона,Диаметр рулона,Сменная матрица,Форма матрицы
https://cdn.entero.ru/mp@2x/32/c4/32c4102c8ef8f4da4b6e47e4d6a587dd.jpg;https://cdn.entero.ru/mp@2x/eb/0f/eb0ff8dfbf5e5388b8538627aba41289.jpg,Запайщик лотков Hualian HL-95A (187х137 мм),НL-95A / HL-95A (187*137) SS / HL-95A (автомат),200560,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/110945,"<p>Автоматический запайщик лотков <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110945""><b class=""b"">Hualian НL-95A</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для запечатывания пластиковых поддонов, лотков, контейнеров термосвариваемой пленкой с обрезкой по его контуру. Модель оснащена матрицей (187х137 мм), регулировкой времени и температуры и может работать в ручном, полуавтоматическом и автоматическом режиме. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 720 шт./час</li>
<li>Диаметр лотка: 95 мм</li>
<li>Максимальный размер лотка: 187х137х130 мм</li>
<li>Ширина пленки: 44 мм</li>
<li>Расстояние между фотометками (по длине лотка): 28 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>""Easy-open"" (один из уголков лотка остается не припаянным для легкого открывания)</li>
</ul>",110945,автоматический,220 В,0.68 кВт,490 мм,270 мм,670 мм,,,,0,https://entero.ru/manuals/110779/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20HL-95A%20%28187%D1%85137%20%D0%BC%D0%BC%29.pdf,213362,,30 кг,,Китай,12 циклов/мин.,настольный,,Да,187х137 мм,,,,,
https://cdn.entero.ru/mp@2x/54/5b/545b91dd14fb83adca9e7595186745a0.jpg;https://cdn.entero.ru/mp@2x/ac/02/ac02cbfaf1c338a4d054c5190283e9c2.jpg,Запайщик лотков INDOKOR IS-1,77169,50467,RUB,Да,INDOKOR,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/70754,"<p>Ручной запайщик лотков <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/70754"">INDOKOR IS-1</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки контейнеров с готовыми продуктами или полуфабрикатами. Модель оснащена высококачественным контроллером температуры OMRON. Корпус выполнен из нержавеющей стали AISI 304, матрица - из пищевого алюминия.</p>

<p><span style=""color:#ff0000;"">Матрицы в комплект поставки не входят и приобретаются отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Обрезка пленки не по контуру лотка</li>
<li>Простой и интуитивный интерфейс </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная высота контейнера: 100 мм</li>
<li>Максимальная ширина рулона пленки: 180 мм</li>
<li>Максимальный диаметр рулона пленки: 140 мм</li>
<li>Диаметр втулки рулона пленки: от 70 до 76 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<div class=""https://entero.ru/item/85616"">
<ul>
<li>Матрица <a href=""https://entero.ru/item/85625"">IS-1 (182х81x86)</a></li>
<li>Матрица <a href=""https://entero.ru/item/85619"">IS-1 (210х148)</a></li>
<li>Матрица <a href=""https://entero.ru/item/85618"">IS-1 (142х92)</a></li>
<li>Матрица <a href=""https://entero.ru/item/85616"">IS-1 (187х137)</a></li>
<li>Контейнер под запайку</li>
<li>Пленка под запайку</li>
</ul>
</div>",70754,механический,220 В,0.7 кВт,260 мм,545 мм,250 мм,19 кг,1,760x340x320 мм,0,https://entero.ru/manuals/38577/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IS-1.pdf;https://entero.ru/manuals/38578/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20INDOKOR%20IS-1.pdf;https://entero.ru/manuals/38579/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,54855,,18 кг,,Ю. Корея,,настольный,,,,Да,180 мм,140 мм,Да,
https://cdn.entero.ru/mp@2x/cc/f9/ccf9034e41a3598f429fa91fde9466fc.jpg;https://cdn.entero.ru/mp@2x/58/eb/58eb68557dc08b613b6d08346630197b.jpg,Запайщик лотков VASSILII 360 без матрицы,В360--0000,62715,RUB,Да,VASSILII,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/81908,"<p>Ручной запайщик лотков <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81908""><b class=""b"">VASSILII 360</b></a> используется на предприятиях общественного питания и торговли для вакуумной упаковки контейнеров с готовыми продуктами или полуфабрикатами. Модель работает с полипропиленом, полистиролом, ПЭТ, картоном, алюминием и прочими материалами. Специальная конструкция прижима гарантирует качественный шов. Упаковка не откроется при транспортировке.</p>

<p>Конструкция выполнена из металла, покрытие нагревающейся поверхности - из тефлона.</p>

<p>На предлагаемый аппарат изготавливаются матрицы под следующие размеры контейнеров:<br>
142х92; 147х109; 165х130; 178х164;187х137; 190х144; 210х148; 228х178; 260х165; 260х177, 325х265 в том числе на круглые (супницы) d 135, d 150 и соусникик d 75, d 95.</p>

<p><span style=""color:#FF0000;""><em>В комплект поставки матрицы не входят и приобретаются отдельно.</em></span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность:
<ul>
<li>До 6 циклов в минуту</li>
<li>360 лотков 325х265 мм 1/2 гастроёмкости в час</li>
<li>720 лотков 227х178 мм в час</li>
</ul>
</li>
<li>Время нагрева: 10 мин.</li>
<li>Размер нагревательного элемента: 273х360 мм</li>
<li>Максимальный размер лотка: 360х273 мм</li>
<li>Мощность в течение 10 минут: 0,8 кВт</li>
<li>Габариты в открытом состоянии: 470х770х620 мм</li>
<li>Габариты в упаковке: 470х770х300 мм</li>
</ul>",81908,механический,220 В,1 кВт,470 мм,770 мм,300 мм,25.3 кг,1,730x470x300 мм,0,https://entero.ru/manuals/55825/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VASSILII%20360.pdf,,,18 кг,,Россия,6 циклов/мин.,настольный,,,,,360 мм,,Да,прямоугольная
https://cdn.entero.ru/mp@2x/fb/ce/fbcedb8f89c5761cdfcd181199b33d7a.jpg;https://cdn.entero.ru/mp@2x/89/32/8932301819ae435ea641c00a0bfb6cd3.jpg,Запайщик лотков CAS CTP-320,CTP320,47056,RUB,Да,CAS,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/31820,"<p>Запайщик лотков <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/31820"">CAS CTP-320</a></b> используется на предприятиях общественного питания и торговли для герметичного упаковывания пленкой материала PET 99% и Silica 1% в пластиковую тару готовую, замороженную, охлажденную или непищевую продукцию. Модель оснащена автоматическим контролем температуры, встроенным ножом для обрезания плёнки не по контуру и запатентованной конструкцией нагревательного элемента.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер пленки: 150х200000 мм</li>
<li>Толщина пленки: 52 мкм</li>
<li>Размер контейнера: 187х137 мм</li>
<li>Глубина контейнера: 18 / 25 / 37 / 50 / 63 / 83 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>2-х слойная пленка (пр-ва Ю.Корея или РФ), обеспечивающая надежное запаивание и долговременное хранение</li>
</ul>",31820,механический,220 В,от 1.4 до 1.8 кВт,515 мм,250 мм,380 мм,13.7 кг,1,500x335x340 мм,26,https://entero.ru/manuals/41215/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20CAS%20CTP-320.jpg,,https://vk.com/video_ext.php?oid=-177656185&id=456240606&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239261&hd=2&autoplay=0,12.2 кг,,Ю. Корея,,настольный,,,187х137 мм,Да,,,,прямоугольная
https://cdn.entero.ru/mp@2x/d9/68/d9688e01e0909ffde985e32c535b75c2.jpg,Запайщик лотков INDOKOR ISC-1 (210x148),"ISC-1, 210х148 / A5266",81950,RUB,Да,INDOKOR,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/85628,"<p>Ручной запайщик лотков <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/85628""><b class=""b"">INDOKOR ISC-1 </b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для вакуумной упаковки контейнеров с готовыми продуктами или полуфабрикатами. Корпус выполнен из нержавеющей стали AISI 304, матрица - из анодированного алюминия.</p>

<p>В комплект поставки входит матрица под лоток 210х148 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Обрезка пленки по контуру лотка</li>
<li>Качественный шов и обработка поверхностей</li>
<li>Надежная система контроля температуры нагрева рабочей поверхности c контроллером OMRON</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная высота контейнера: от 10 до 100 мм</li>
</ul>",85628,механический,220 В,0.7 кВт,256 мм,525 мм,250 мм,19 кг,1,760x340x320 мм,0,https://entero.ru/manuals/111928/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20INDOKOR.pdf;https://entero.ru/manuals/287278/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20ISC-1%20%28210x148%29.pdf;https://entero.ru/manuals/359624/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,89076,,18 кг,,Ю. Корея,от 4 до 8 циклов/мин.,настольный,,Да,210х148 мм,Да,180 мм,150 мм,,
https://cdn.entero.ru/mp@2x/b5/1d/b51d5c39e5b55d9730068c2af948438f.jpg,Запайщик лотков Hualian HLV-400T с функцией газонаполнения,Запайщик лотков Hualian HLV-400T с функцией газонаполнения,598368,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/288811,"<p>Полуавтоматический запайщик лотков <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/288811""><b class=""b"">Hualian HLV-400T</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для запечатывания термосвариваемой пленкой пластиковых поддонов, лотков и контейнеров с готовыми блюдами, полуфабрикатами, фруктами и другой пищевой продукцией. Модель оснащена выдвижной рабочей камерой на рейлинговых направляющих и интуитивно понятной панелью управления с цветным сенсорным дисплеем. Корпус выполнен из нержавеющей стали марки SUS304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция газонаполнения путем продувки с возможностью подключения внешнего источника газа</li>
<li>Ручные загрузка и выгрузка лотка</li>
<li>Автоматические запайка и обрезка</li>
<li>Высокоточный электронный контроллер температуры запайки</li>
<li>Цифровая индикация температуры и обратного отсчета длительности процесса</li>
<li>Интегрированный в кнопку запуска светодиодный индикатор готовности к работе </li>
<li>Выключатель поворотного типа</li>
<li>Кнопка аварийной остановки</li>
<li>Возможность работы на цветной и на прозрачной пленке</li>
<li>Плавный ход матрицы для предотвращения проливания жидкостей</li>
<li>Быстрая замена матриц</li>
<li>Возможность намотки остатков пленки</li>
<li>Устойчивые нескользящие опоры</li>
<li>Простота эксплуатации и сервисного обслуживания</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальные габариты сегментов матриц:
<ul>
<li>На 1 лоток: 330x220 мм</li>
<li>На 2 лотка: 2х(150х220) мм</li>
</ul>
</li>
<li>Максимальная высота лотка: 75 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вакуумный насос</li>
<li>Индивидуальное исполнение матрицы</li>
</ul>",288811,полуавтоматический,220 В,1.8 кВт,770 мм,970 мм,880 мм,,,,0,,,,,Китай,Китай,от 4 до 5 циклов/мин.,настольный,Да,Да,210х148 мм,,390 мм,220 мм,Да,прямоугольная
https://cdn.entero.ru/mp@2x/6a/d5/6ad5c10c5d0f04cfe55f07deb405353b.jpg,Запайщик лотков Hualian HTS-225 (187x137),HTS-225 (187*137),42136,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/94654,"<p>Ручной запайщик лотков <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94654""><b class=""b"">Hualian HTS-225</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для запечатывания пластиковых поддонов, лотков и контейнеров термосвариваемой пленкой. Модель оснащена съемной матрицей 187x137 мм, держателем пленки, регулировкой времени и температуры. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 350 шт./час</li>
<li>Максимальный размер лотка: 226x154 мм</li>
</ul>",94654,механический,220 В,0.5 кВт,200 мм,350 мм,200 мм,,,,0,,43892,,7 кг,,Китай,6 циклов/мин.,настольный,,,187х137 мм,Да,,,Да,прямоугольная
https://cdn.entero.ru/mp@2x/d6/21/d6214ab4d725249929b2633bf2bbab62.jpg,Запайщик лотков Hurakan HKN-CPT1,Запайщик лотков Hurakan HKN-CPT1,44362,RUB,Да,Hurakan,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/228272,"<p>Запайщик лотков <b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/228272"">Hurakan HKN-CPT1</a></b> предназначен для вакуумной упаковки контейнеров с готовыми продуктами, полуфабрикатами, фруктами на предприятиях общественного питания и торговли. Пленка располагается над лотками, после чего запаивается и обрезается. Корпус выполнен из нержавеющей стали.</p>

<p><span style=""color:#ff0000;"">Формы в комплект поставки не входят и приобретаются отдельно.</span> </p>

<p><b>Особенности:</b></p>

<ul>
<li>Температурный контроллер OMRON</li>
<li>Специальная конструкция прижима гарантирует качественный шов</li>
<li>Жесткая упаковка защищает продукт от механических повреждений</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 6 до 8 шт./мин.</li>
<li>Диаметр рулона пленки: до 160 мм</li>
<li>Ширина пленки: до 180 мм</li>
</ul>",228272,механический,220 В,0.7 кВт,525 мм,256 мм,250 мм,18 кг,1,350x600x350 мм,31,https://entero.ru/manuals/417123/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453880/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CPT1.pdf;https://entero.ru/manuals/484155/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-CPT1.pdf,47194,,17 кг,,Китай,от 6 до 8 циклов/мин.,настольный,,,,,180 мм,160 мм,Да,прямоугольная
https://cdn.entero.ru/mp@2x/94/44/9444ca0d320c6beafb54c3ec20d58087.jpg,Запайщик лотков Roal Pack YT-180x (187х137 мм),Запайщик лотков Roal Pack YT-180x (187х137 мм),36270,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/266205,"<p>Полуавтоматический запайщик лотков <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266205""><b class=""b"">RoalPack YT-180x</b></a> используется на предприятиях общественного питания и торговли, а также в производственных цехах, чья деятельность связана с выпуском гастрономических товаров для герметичного запаивания стаканчиков, ланч-боксов, лотков с полуфабрикатами или готовыми первыми или вторыми блюдами. Модель оснащена панелью управления, реле для установки времени запайки и устойчивыми ножками. Корпус выполнен из нержавеющей стали SS-304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Низкая потребляемая мощность</li>
<li>Компактные размеры</li>
<li>Регулировка температуры запайки </li>
<li>Обрезной нож по контуру лотка</li>
<li>Автоматическая обрезка пленки​</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время прогрева: от 6 до 10 мин.</li>
<li>Производительность: до 350 лотков / час</li>
</ul>",266205,полуавтоматический,220 В,0.5 кВт,530 мм,530 мм,310 мм,,,,0,https://entero.ru/manuals/329970/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RoalPack%20YT-180x.pdf,39424,,13 кг,,Китай,6 циклов/мин.,настольный,,,187х137 мм,Да,,,,прямоугольная
https://cdn.entero.ru/mp@2x/f7/0f/f70faf606e26e280496b9601f0fe11a6.jpg;https://cdn.entero.ru/mp@2x/a4/b2/a4b244edbe820dbc9620fc6211f381bb.jpg;https://cdn.entero.ru/mp@2x/93/e6/93e6d11c01d99ac4adc2b2fdf34404bb.jpg;https://cdn.entero.ru/mp@2x/c6/fd/c6fd6c30f53fdc651ad7394412c65e92.jpg;https://cdn.entero.ru/mp@2x/c1/0f/c10f5d906ba8f69751261f6fdcb4d1aa.jpg;https://cdn.entero.ru/mp@2x/1f/db/1fdbe8961785a81a3bbecc58d2660cc0.jpg;https://cdn.entero.ru/mp@2x/af/40/af40a3a0d604dfbf1e48456002e8cf46.jpg;https://cdn.entero.ru/mp@2x/b8/91/b891761fd2b845928441d79bee89286f.jpg;https://cdn.entero.ru/mp@2x/07/c4/07c491b618d02b9a7bcd509ceecb07b0.jpg,Запайщик лотков Foodatlas TP-100S Pro (210х148х100 мм),TP-100S (210х148х100мм) FoodAtlas Pro,34477,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Запайщики лотков,https://entero.ru/item/84986,"<p>Настольный запайщик лотков <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84986""><b class=""b"">Foodatlas TP-100 Pro</b></a> используется на предприятиях общественного питания и торговли для вакуумной упаковки контейнеров с готовыми продуктами и полуфабрикатами. Модель оснащена регулятором температуры запайки. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество нагревательных элементов: 4</li>
<li>Максимальная толщина пленки: 60 мкм</li>
<li>Размер лотка: 210x148x96 мм</li>
</ul>",84986,механический,220 В,1 кВт,780 мм,450 мм,400 мм,,,,0,https://entero.ru/manuals/351455/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20TP-100S%20Pro.pdf,37475,,25 кг,,Китай,,настольный,,Да,210х148 мм,,250 мм,,,прямоугольная
