Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Вес (с упаковкой),Тип установки,Применение,Тип управления,Конвейерный,Принцип работы,Газонаполнение,Длина запайки,Максимальная толщина свариваемого материала,Ширина шва запайки,Время запайки,С ножом,Индукционный,Вакуумация
https://cdn.entero.ru/mp@2x/a9/92/a992ad6ca9cb52b380d27fefae92e002.jpg,Запайщик пакетов Hualian SFTD-1000,Запайщик пакетов Hualian SFTD-1000,14720,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/93260,"<p>Ножной запайщик пакетов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93260"">Hualian SFTD-1000</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена функцией обрезки и реле регулировки времени запайки, что позволяет работать с различными по составу и толщине пленками.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",93260,220 В,1 кВт,1300 мм,380 мм,730 мм,,Китай,,,0,https://entero.ru/manuals/357316/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,16 кг,,напольный,для пакетов,педальный (ножной),,импульсный,,1000 мм,0.15 мм,,,,,
https://cdn.entero.ru/mp@2x/b9/f2/b9f21536509bf08c8e8b3b8d9cedffb6.jpg,Запайщик пакетов Hualian FS-1000H,FS-1000Н,11317,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/105877,"<p>Ручной запайщик пакетов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105877"">Hualian FS-1000H</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена реле регулировки времени запайки, что позволяет работать с различными по составу и толщине пленками. Корпус выполнен из алюминия и пластика.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",105877,220 В,1.35 кВт,1200 мм,350 мм,245 мм,,Китай,,,0,https://entero.ru/manuals/137340/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,7.5 кг,,настольный,для пакетов,ручной,,импульсный,,1000 мм,0.15 мм,2.8 мм,от 0.2 до 3 сек.,,,
https://cdn.entero.ru/mp@2x/cb/61/cb616e0ef7a9387b6b4a7932843c2a51.jpg;https://cdn.entero.ru/mp@2x/79/0e/790e04e0b4bc2798bef0b844c7077660.jpg;https://cdn.entero.ru/mp@2x/a8/a7/a8a79ed34faea4fb0f5c81aebda58e8f.jpg;https://cdn.entero.ru/mp@2x/38/6a/386aa149bdb81eb24345b7b3a70fecea.jpg;https://cdn.entero.ru/mp@2x/60/8c/608c2a3718eda9ffaf662d07553ecf6a.jpg;https://cdn.entero.ru/mp@2x/81/15/8115b6ab363888fb64bd70adfba10f02.jpg;https://cdn.entero.ru/mp@2x/a8/c3/a8c32b9b13131e953899b48867a22916.jpg;https://cdn.entero.ru/mp@2x/0f/a0/0fa00eebe2954ed8d7a4793f1b0cac63.jpg;https://cdn.entero.ru/mp@2x/17/d4/17d40ac662d5aeb9a6467e764826d442.jpg,Запайщик стаканов Foodatlas WY-863,Запайщик стаканов Foodatlas WY-863,21330,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/120502,"<p>Полуавтоматический запайщик стаканов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120502""><b class=""b"">Foodatlas WY-863</b></a> используется на предприятиях общественного питания и торговли для запечатывания пластиковых стаканов крышками из алюминиевой фольги или пленки валкелид. Аппарат может использоваться для упаковки стаканчиков из полистирола, полипропилена, ламистера и вспененного полистирола. Модель оснащена оптическим датчиком фотометки для автоматического перематывания пленки после каждого цикла и ножом для обрезки пленки.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 300 до 500 шт/час</li>
<li>Температура запайки: 
<ul>
<li>Полиэтиленовая пленка PE: от 170 до 190 °C</li>
<li>Полипропиленовая пленка PP: от 170 до 210 °C</li>
<li>Полистирольная пленка PS: от 180 до 190 °C</li>
<li>Тонкая пленка: от 120 до 180 °C</li>
</ul>
</li>
<li>Диаметр стаканчиков: 70 / 90 мм</li>
<li>Количество нагревательных элементов: 1</li>
<li>Диаметр запайки: Ø70мм, Ø76мм, Ø90мм, Ø95мм</li>
<li>Габариты в упаковке: 400x250x460 мм</li>
</ul>",120502,220 В,0.3 кВт,270 мм,420 мм,680 мм,,Китай,,,0,https://entero.ru/manuals/124295/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20WY-863.pdf;https://entero.ru/manuals/402130/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/402131/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,22219,,12 кг,,настольный,для стаканов,ручной,,импульсный,,,,,,,,
https://cdn.entero.ru/mp@2x/ec/af/ecaf64d87473662b0b0636b217017258.jpg,Запайщик пакетов Hualian FS-500C,FS-500 С (Al с бок. ножом),8650,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/105916,"<p>Ручной запайщик пакетов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105916""><b class=""b"">Hualian FS-500С</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена боковым ножом и реле регулировки времени запайки, что позволяет работать с различными по составу и толщине пленками. Корпус выполнен из металла.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",105916,220 В,0.8 кВт,550 мм,85 мм,280 мм,,Китай,,,0,https://entero.ru/manuals/357327/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,7.5 кг,,настольный,для пакетов,ручной,,импульсный,,500 мм,0.3 мм,3 мм,от 0.2 до 1.3 сек.,,,
https://cdn.entero.ru/mp@2x/76/38/7638d1796511cdef58a2ac4337790535.jpg,Запайщик пакетов Hualian DBF-900W,Запайщик пакетов Hualian DBF-900W,26036,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/111033,"<p>Роликовый запайщик пакетов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/111033"">Hualian DBF-900W</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена регулировкой температуры и скорости конвейера и стальным печатающим колесом для проставления даты методом выдавливания. Отличительная особенность изделия - отсутствие ограничений по длине запайки, максимум ограничен ресурсом расходный материалов.</p>

<p>Комплект литер с наборным колесом в комплект поставки не входит и приобретается отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 0 до 300 °С</li>
<li>Максимальная нагрузка из расчета на 1 пакет: 1 кг</li>
<li>Максимальная нагрузка на конвейер: 3 кг</li>
<li>Скорость конвейера: от 0 до 12 м/мин.</li>
<li>Мощность запайки: 2х 0,3 кВт</li>
<li>Расстояние от центра запайки до стола конвейера: от 20 до 40 мм</li>
<li>Размер конвейера: 840х153 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Датер (метод тиснения)</li>
</ul>",111033,220 В,0.05 кВт,840 мм,380 мм,320 мм,,Китай,,,0,,27406,,22 кг,,настольный,для пакетов,ручной,,импульсный,,,,10 мм,,,,
https://cdn.entero.ru/mp@2x/25/08/2508e98bca3278d411a332c89eb619a9.jpg,Запайщик пакетов CAS СXP-400/5C,CXP-400/5C,13224,RUB,Да,CAS,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/40964,"<p>Запайщик пакетов​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40964""><b class=""b"">CAS CXP-200/2C</b></a> используется на предприятиях общественного питания и торговли для сварки полиэтиленовой, полипропиленовой и поливинилхлоридной пленки. Модель оснащена 8 уровнями регулировки времени нагрева, высококачественной нихромовой нитью, обеспечивающей большее количество циклов нагрева, и резаком для пленки.</p>

<p>Корпус выполнен из ударопрочной авиационной пластмассы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура нагрева: до 150 °С</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото представлена аналогичная модель другого размера.</span></em></p>",40964,220 В,1 кВт,380 мм,210 мм,450 мм,5.5 кг,Ю. Корея,1,115x575x210 мм,34,https://entero.ru/manuals/117693/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20%D0%A1XP-400_5C.pdf;https://entero.ru/manuals/117694/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20CAS.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239668&hd=2&autoplay=0,5.1 кг,,настольный,для пакетов,ручной,,импульсный,,400 мм,0.5 мм,5 мм,от 0.5 до 2.5 сек.,Да,,
https://cdn.entero.ru/mp@2x/aa/43/aa439f3b9de6171d1280423e6c45c6e1.jpg,Запайщик пакетов Hualian FRB-770I,Запайщик пакетов Hualian FRB-770I,27416,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/93269,"<p>Роликовый запайщик пакетов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93269"">Hualian FRB-770I</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена регулировкой температуры и скорости конвейера и стальным печатающим колесом. Подача пакета осуществляется справа налево. На запаечном шве штампуется (выдавливается) дата упаковки в 2 строки.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 0 до 300 °С</li>
<li>Максимальная нагрузка из расчета на 1 пакет: 1 кг</li>
<li>Максимальная нагрузка на конвейер: 3 кг</li>
<li>Скорость конвейера: от 0 до 12 м/мин.</li>
<li>Мощность запайки: 2х 0,3 кВт</li>
<li>Расстояние от центра запайки до стола конвейера: от 10 до 40 мм</li>
<li>Размер конвейера: 840x153 мм</li>
</ul>",93269,220 В,0.05 кВт,840 мм,380 мм,320 мм,,Китай,,,0,,28859,,32 кг,,настольный,для пакетов,ручной,,,,,,10 мм,,,,
https://cdn.entero.ru/mp@2x/bd/0b/bd0b175c9e554e2a2f07b3f5ce98d766.jpg,Запайщик пакетов Hualian FS-600H,FS-600Н,9435,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/105918,"<p>Ручной запайщик пакетов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105918"">Hualian FS-600H</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена реле регулировки времени запайки, что позволяет работать с различными по составу и толщине пленками. Корпус выполнен из алюминия и пластика.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",105918,220 В,0.78 кВт,800 мм,350 мм,245 мм,,Китай,,,0,,11506,,5.5 кг,,настольный,для пакетов,ручной,,импульсный,,600 мм,от 0.01 до 0.4 мм,2.8 мм,от 0.2 до 3 сек.,,,
https://cdn.entero.ru/mp@2x/5e/e9/5ee9ea7aa53e590031fbbd95f5007175.jpg,Запайщик пакетов Hualian FS-400C (с боковым ножом),FS-400 С (Al с бок. ножом),5714,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/105893,"<p>Ручной запайщик пакетов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105893""><b class=""b"">Hualian FS-400C</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена боковым ножом и реле регулировки времени запайки, что позволяет работать с различными по составу и толщине пленками. Корпус выполнен из окрашенного металла.</p>",105893,220 В,0.6 кВт,540 мм,85 мм,280 мм,,Китай,,,0,https://entero.ru/manuals/357320/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,6722,,4.4 кг,,настольный,для пакетов,ручной,,импульсный,,400 мм,0.3 мм,от 2.5 до 3 мм,от 0.2 до 1.3 сек.,Да,,
https://cdn.entero.ru/mp@2x/2f/3a/2f3afd610b913d7d0292cfe68cee545d.jpg;https://cdn.entero.ru/mp@2x/b6/c0/b6c06bf97814ad41ac990fa27124e318.jpg;https://cdn.entero.ru/mp@2x/b2/48/b2486d419d25f616004c4fcf46f9ce46.jpg;https://cdn.entero.ru/mp@2x/23/d3/23d3c889cf7f7e517aeac21d2b2e8cb4.jpg;https://cdn.entero.ru/mp@2x/b3/32/b33229766843b6668ef0b199aa17f5af.jpg;https://cdn.entero.ru/mp@2x/43/6a/436a0a7a477a30f452cb799f44a09d61.jpg;https://cdn.entero.ru/mp@2x/a2/4a/a24a8785cace0e03fc51f543fb452463.jpg,Запайщик напольный Foodatlas SF-B600 Pro (2 шва),SF-B600 (2 шва) Foodatlas Pro,11502,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Запайщики,https://entero.ru/item/86252,"<p>Напольный запайщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86252""><b class=""b"">Foodatlas SF-B600 Pro</b></a> используется на предприятиях общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики, книг, предметов искусства и другой продукции. Модель работает на методе электрического импульса и позволяет получить два шва.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество нагревательных элементов: 2</li>
<li>Упаковочный материал: PE+PVC</li>
<li>Габариты упаковки: 910x380x270 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",86252,220 В,0.75 кВт,865 мм,305 мм,870 мм,,Китай,,,0,https://entero.ru/manuals/351446/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20SF-B600%20Pro.pdf;https://entero.ru/manuals/398418/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/398526/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,18 кг,,напольный,для пакетов,педальный (ножной),,импульсный,,600 мм,,3 мм,от 0.2 до 2 сек.,Да,,
