Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Страна-производитель,Вместимость,Длина скобы
https://cdn.entero.ru/mp@2x/8f/27/8f277d98bd52c8d9663412878a550684.jpg,Степлер Mainpack Industrial HDCS-19-35,HDCS-19/35,12966,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/216532,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216532"">Mainpack Industrial HDCS-19-35</a> </b>используется для запечатывания верхних створок гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настройка для скоб двух размеров</li>
<li>Регулируемая сила сжатия скобы (3 позиции)</li>
<li>Регулируемая глубина входа скобы</li>
<li>Быстрая смена скоб</li>
<li>Эргономичная ручка</li>
<li>Прочная конструкция</li>
<li>Небольшой вес</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 15 / 18 мм</li>
<li>Расстояние между ножками: 34,7 мм</li>
</ul>
</li>
</ul>",216532,механический,433 мм,119 мм,295 мм,,,,0,,14093,1.66 кг,Тайвань,100 шт.,
https://cdn.entero.ru/mp@2x/87/a2/87a2022a75a7f9693332371415a48a74.jpg,Степлер Mainpack Industrial HSP‑12,Степлер Mainpack Industrial HSP‑12,4332,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/244152,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/244152"">Mainpack Industrial HSP‑12</a> </b>используется для запечатывания верхних створок гофротары на предприятиях различных направлений. Корпус выполнен из стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрая загрузка скоб</li>
<li>Прочная конструкция</li>
<li>3 типа наковален</li>
</ul>",244152,механический,190 мм,24 мм,100 мм,,,,0,,,0.45 кг,Тайвань,100 шт.,от 18 до 22 мм
https://cdn.entero.ru/mp@2x/a1/60/a160cbdcb1a81360a095407c4db440eb.jpg,Степлер Mainpack Industrial CAS-16-19,САS-S-16-19,117656,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/79697,"<p>Пневматический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79697"">Mainpack Industrial CAS-16-19</a> </b>используется для запечатывания боковин гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики. Оборудование оснащено ножной педалью с предохранительным устройством для активации работы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 8 / 12 / 15 / 18 / 22 мм</li>
<li>Расстояние между ножками: 16 мм</li>
</ul>
</li>
<li>Воздушное давление: от 5 до 6 кг/см<sup>​2</sup></li>
</ul>",79697,пневматический,830 мм,600 мм,1245 мм,,,,0,,,22.7 кг,Тайвань,200 шт.,от 8 до 22 мм
https://cdn.entero.ru/mp@2x/c1/a1/c1a19e488e22066c5f2e21e5486e0929.jpg,Степлер Mainpack Industrial CMB-S-35,СМВ-S-35,78885,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/79698,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79698"">Mainpack Industrial CMB-S-35</a> </b>используется для запечатывания дна гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики. Оборудование оснащено ножной педалью для активации работы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 15 / 18 / 22 мм</li>
<li>Расстояние между ножками: 34,7 мм</li>
</ul>
</li>
<li>Воздушное давление: от 5 до 6 кг/см<sup>​2</sup></li>
</ul>",79698,механический,910 мм,600 мм,1245 мм,,,,0,,82172,26.8 кг,Тайвань,200 шт.,от 15 до 22 мм
https://cdn.entero.ru/mp@2x/d7/ed/d7ed5d6e013eb1338626f8b1ffc6c13f.jpg,Степлер Mainpack Industrial ADCSY‑19‑35,ADCSY-19/35,24670,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/250300,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250300"">Mainpack Industrial ADCSY‑19‑35</a> </b>используется для запечатывания верхних створок гофротары на предприятиях общественного питания и торговли. Модель оснащена эргономичой ручкой для удобства пользования.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настройка для скоб 2 размеров</li>
<li>Регулируемая сила сжатия скобы (3 позиции)</li>
<li>Регулируемая глубина входа скобы</li>
<li>Быстрая смена скоб</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 15 / 18 мм</li>
<li>Расстояние между ножками: 35 мм</li>
<li>Ширина скобы: 2,3 мм</li>
</ul>
</li>
<li>Воздушное давление от 6 до 7 г/см<sup>2</sup></li>
<li>Потребление воздуха: 1,32 л/цикл</li>
<li>Рабочее давление: от 5 до 7 атм</li>
</ul>",250300,пневматический,415 мм,115 мм,220 мм,3.18 кг,1,498x138x264 мм,0,,,2.25 кг,Тайвань,100 шт.,
https://cdn.entero.ru/mp@2x/4b/84/4b8450890191ea29295601824c429f16.jpg,Степлер Mainpack Industrial HDCS-22-35,HDCS-22/35,14337,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/86720,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86720"">Mainpack Industrial HDCS-22-35</a> </b>используется для запечатывания верхних створок гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настройка для скоб двух размеров</li>
<li>Регулируемая сила сжатия скобы (3 позиции)</li>
<li>Регулируемая глубина входа скобы</li>
<li>Быстрая смена скоб</li>
<li>Эргономичная ручка</li>
<li>Прочная конструкция</li>
<li>Небольшой вес</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 18 / 22 мм</li>
<li>Расстояние между ножками: 34,7 мм</li>
</ul>
</li>
</ul>",86720,механический,433 мм,119 мм,295 мм,,,,0,,15092,1.66 кг,Тайвань,100 шт.,от 18 до 22 мм
https://cdn.entero.ru/mp@2x/12/76/127696e91ca8d595f6f497d589e9cc67.jpg,Степлер Mainpack Industrial ADCSN‑22‑35,ADCSN-22/35,30424,RUB,Да,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/368913,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/368913"">Mainpack Industrial ADCSN‑22‑35</a> </b>используется для запечатывания верхних створок гофротары на предприятиях различных направлений. Модель оснащена эргономичной ручкой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настройка для скоб 2 размеров</li>
<li>Регулируемая сила сжатия скобы: 3 позиции</li>
<li>Регулируемая глубина входа скобы</li>
<li>Быстрая смена скоб</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 18 / 22 мм</li>
<li>Расстояние между ножками: 35 мм</li>
<li>Ширина скобы: 2,3 мм</li>
</ul>
</li>
<li>Потребление воздуха: 1,32 л/цикл</li>
<li>Рабочее давление: от 5 до 7 атм</li>
<li>Воздушное давление: 6,7 кг/см<sup>2</sup></li>
</ul>",368913,пневматический,415 мм,115 мм,220 мм,2 кг,,,0,,32025,,Тайвань,100 шт.,
https://cdn.entero.ru/mp@2x/92/3f/923f39ea46e2aeca5fecebe90e6ab04f.jpg,Степлер Mainpack Industrial CMS-16-19,CMS-S-16-19 СМS-16-19,0,RUB,Нет,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/79696,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79696"">Mainpack Industrial CMS-16-19</a> </b>используется для запечатывания боковин гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики. Оборудование оснащено ножной педалью для активации работы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрая загрузка скоб</li>
<li>Настройка для скоб трех размеров</li>
<li>Прочная конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 8 /12 / 15 / 18 мм</li>
<li>Расстояние между ножками: 16 мм</li>
</ul>
</li>
</ul>",79696,механический,600 мм,910 мм,1245 мм,,,,0,,,25.8 кг,Тайвань,200 шт.,
https://cdn.entero.ru/mp@2x/7d/44/7d440535debe1b33d1ffd18b34ea17f6.jpg,Степлер Mainpack Industrial S-750-M,Степлер Mainpack Industrial S-750-M,0,RUB,Нет,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/79701,"<p>Механический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79701"">Mainpack Industrial S-750-M</a> </b>используется для запечатывания боковин гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики. Оборудование оснащено ножной педалью для активации работы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 8 / 12 / 15 / 18 мм</li>
<li>Расстояние между ножками: 16 мм</li>
</ul>
</li>
<li>Длина стрелы: 750 мм</li>
<li>Рабочая высота: 1030 мм</li>
</ul>",79701,механический,910 мм,600 мм,1245 мм,,,,0,,,60 кг,Тайвань,,от 8 до 18 мм
https://cdn.entero.ru/mp@2x/6f/e6/6fe66ee762757b89a5559da4e12cbb6f.jpg,Степлер Mainpack Industrial CAB-S-35,Степлер Mainpack Industrial CAB-S-35,0,RUB,Нет,Mainpack Industrial,Профоборудование,Фасовочно-упаковочное,Степлеры,https://entero.ru/item/79699,"<p>Пневматический степлер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79699"">Mainpack Industrial CAB-S-35</a> </b>используется для запечатывания дна гофротары на предприятиях различных направлений. Модель отлично подходит для работы в труднодоступных местах, т.к. не требует источника электричества или пневматики. Оборудование оснащено ножной педалью с предохранительным устройством для активации работы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер скоб:
<ul>
<li>Длина ножек: 15 / 18 / 22 мм</li>
<li>Расстояние между ножками: 34,7 мм</li>
</ul>
</li>
<li>Воздушное давление: от 5,5 до 6 кг/см<sup>​2</sup></li>
</ul>",79699,пневматический,830 мм,600 мм,1245 мм,,,,0,,,22.7 кг,Тайвань,200 шт.,от 15 до 22 мм
