Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Ширина пленки
https://cdn.entero.ru/mp@2x/a2/02/a202da905617a239f5f6dafa9f560b22.jpg,Аппарат термоупаковочный CAS CNW-460,CNW460,9238,RUB,Да,CAS,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/23432,"<p>Термоупаковочный аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23432"">CAS CNW-460</a></b> используется на предприятиях общественного питания и торговли для упаковывания пищевых продуктов в поливинилхлоридную пленку. Модель позволяет легко и быстро размотать, обрезать пленку и аккуратно упаковать продукт. Оборудование оснащено встроенным термостатом и наружным расположением рулона.</p>

<p>Корпус выполнен из нержавеющей стали, покрытие рабочего стола - из тефлона DUPONT.</p>

<p><b>Дополнительные ххарактеристики:</b></p>

<ul>
<li>Макс. ширина обрезного ножа: 460 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Пленка ПВХ 445 мм х 1200 м</li>
</ul>",23432,220 В,0.175 кВт,460 мм,600 мм,130 мм,7 кг,1,520x620x170 мм,876,https://entero.ru/manuals/40415/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20CNW-460.pdf,,,6.5 кг,Ю. Корея,,,460 мм
https://cdn.entero.ru/mp@2x/00/27/0027be5be1c72635104842ec7cdbb82b.jpg,Аппарат термоупаковочный CAS СNW-520,CNW520,10798,RUB,Да,CAS,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/23433,"<p>Термоупаковочный аппарат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23433""><b class=""b"">CAS CNW-520</b></a> используется на предприятиях общественного питания и торговли для упаковывания пищевых продуктов в поливинилхлоридную пленку. Модель позволяет легко и быстро размотать, обрезать пленку и аккуратно упаковать продукт. Оборудование оснащено встроенным термостатом и наружным расположением рулона.</p>

<p>Корпус выполнен из нержавеющей стали, покрытие рабочего стола - из тефлона DUPONT.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Ширина обрезного ножа: не более 520 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Пленка ПВХ 445 мм х 1200 м</li>
</ul>",23433,220 В,0.21 кВт,520 мм,600 мм,130 мм,,,,40,https://entero.ru/manuals/40416/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20%D0%A1NW-520.pdf,11366,,7 кг,Ю. Корея,,,520 мм
https://cdn.entero.ru/mp@2x/26/d7/26d7a4a703f84bb9682dc4268be6ac88.jpg,Термоупаковщик PACKVAC HW-450,C2966,7260,RUB,Да,PACKVAC,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/113806,"<p>Термоупаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/113806""><b class=""b"">PACKVAC HW-450 </b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания в пищевую пленку для увеличения их срока хранения. Модель оснащена роликами для размещения и протяжки пленки, тепловыми резаком и столом и регулятором нагрева. Корпус выполнен из нержавеющей стали, стол имеет антипригарное покрытие.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Предохранитель на 2 А</li>
<li>Низкое энергопотребление</li>
</ul>

<p><b>Характеристики: </b></p>

<ul>
<li>Рабочая температура: от 55 до 160 °С</li>
<li>Длина ножа: 450 мм</li>
</ul>",113806,220 В,0.38 кВт,607 мм,503 мм,133 мм,,,,0,https://entero.ru/manuals/113212/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20PACKVAC%20VM-250.pdf,,,7.5 кг,Китай,,,
https://cdn.entero.ru/mp@2x/f2/0d/f20d3a77548b2fd825e59d999762e838.jpg,Термоупаковщик VIATTO VA-HW450,Термоупаковщик VIATTO VA-HW450,7447,RUB,Да,VIATTO,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/185810,"<p>Термоупаковщик<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/185810"">VIATTO VA-HW450</a> </b>используется на предприятиях общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики, книг, предметов искусства и другой продукции. Модель оснащена терморегулятором. Корпус выполнен из нержавеющей стали, нагревамая пластина имеет тефлоновое покрытие.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Рабочая температура: от 40 до 140 °С</li>
</ul>",185810,220 В,0.27 кВт,540 мм,680 мм,200 мм,17 кг,1,540x480x220 мм,45,https://entero.ru/manuals/408875/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-HW450.pdf;https://entero.ru/manuals/463895/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,15 кг,Китай,,,540 мм
https://cdn.entero.ru/mp@2x/5f/c8/5fc89f55f89295aea3f82f2c1a48c8aa.jpg,Термоупаковщик Hualian HW-450E,Термоупаковщик Hualian HW-450E,6932,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/291420,"<p>Термоупаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291420"">Hualian HW-450E</a></b> используется на производственных площадках, предприятиях пищевой промышленности и торговли для упаковки в термоусадочную стрейч-пленку продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена 2 рабочими горизонтальными уровнями: нижним нагреваемым и верхним «холодным», термоножом для обрезки пленки, рулонодержателем, роликовыми направляющими для протяжки пленки и электромеханической панелью управления. Корпус выполнен из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры нижнего уровня и термоножа с помощью реле с поворотными перекдючателями</li>
<li>Сигнальные светодиодные индикаторы готовности к работе </li>
<li>Выключатель колыбельного типа</li>
<li>Термонож с тефлоновым покрытием для предотвращения прилипания пленки </li>
<li>Устойчивая нескользящая база </li>
<li>Эргономичный дизайн</li>
</ul>",291420,220 В,,,,,,,,0,,,,,Китай,Китай,,450 мм
https://cdn.entero.ru/mp@2x/82/ae/82aefd98eb1f2db4d1e087102c6d3441.jpg,Аппарат для упаковки в стретч-пленку Hualian TW-450E,TW-450E (нерж.),10038,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/105994,"<p>Аппарат для упаковки в стретч-пленку <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105994"">Hualian TW-450E</a></b> используется на производственных площадках, предприятиях пищевой промышленности и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена рулонодержателем. После процесса упаковки край пленки подгибается и подпаивается. Аппарат выполнен из нержавеющей стали.</p>",105994,220 В,0.03 кВт,610 мм,470 мм,120 мм,,,,0,,10679,,6.5 кг,Китай,,,610 мм
https://cdn.entero.ru/mp@2x/30/96/30962ddcc7bc5b8e653703bf229dc66e.jpg,Обрезчик пленки ПищТех Compact-45,Обрезчик пленки ПищТех Compact-45,4962,RUB,Да,ПищТех,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/268177,"<p>Обрезчик пленки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268177""><b class=""b"">Пищевые технологии Compact-45</b></a> используется на предприятиях общественного питания и торговли для упаковки в стрейч-пленку промышленных и продовольственных товаров. Модель оснащена острым вращающимся ножом, который свободно перемещается вдоль рулона пленки и нескользящими ножками. Боковые стенки и соединительная перекладина выполнены из нержавеющей стали AISI 430, ролики - из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Без нагревательных элементов - слипание слоев стрейч-пленки за счет статического электричества</li>
<li>Размещение пленки на 2 роликах без стола</li>
<li>После притупления ножа используется вторая сторона лезвия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина между роликами: 81 мм</li>
<li>Длина рабочей зоны: 530 мм</li>
</ul>",268177,,,530 мм,240 мм,80 мм,,,,0,https://entero.ru/manuals/331074/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%B5%D0%B2%D1%8B%D0%B5%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8%20Compact-45.pdf;https://entero.ru/manuals/424816/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,6705,,1.4 кг,Россия,,,530 мм
https://cdn.entero.ru/mp@2x/0a/6d/0a6d66e4409cdd78f879efb2a32a96d1.jpg;https://cdn.entero.ru/mp@2x/87/c7/87c7dbe46e89e223fde9e612d96fcb4f.jpg;https://cdn.entero.ru/mp@2x/04/39/0439d5e3e5a4bf3b445169016b38d052.jpg;https://cdn.entero.ru/mp@2x/e1/d6/e1d695c403a1d95c85c1acf76175350d.jpg,Термоупаковщик Foodatlas BX-450 Pro,Термоупаковщик горячий стол BX-450 FoodAtlas Pro,6665,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/87003,"<p>Термоупаковщик горячий стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87003"">Foodatlas BX-450 Pro</a></b> используется на предприятиях общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики, книг, предметов искусства и другой продукции.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Рабочая температура: от 160 до 300 °С</li>
<li>Максимальная толщина пленки: 0,5 мм</li>
<li>Размеры теплового стола: 380x125x120 мм</li>
<li>Длина ножа: 450 мм</li>
</ul>",87003,220 В,0.3 кВт,590 мм,470 мм,130 мм,,,,0,https://entero.ru/manuals/351359/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20BX-450%20Pro.pdf,,,6 кг,Россия,,,590 мм
https://cdn.entero.ru/mp@2x/fc/e9/fce905a7436996ba54570e35842b87fb.jpg,Аппарат термоупаковочный Hurakan HKN-CNW460 PRO,Аппарат термоупаковочный Hurakan HKN-CNW460 PRO,8011,RUB,Да,Hurakan,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/83575,"<p>Термоупаковочный аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83575"">Hurakan HKN-CNW460 PRO</a></b> используется на предприятиях общественного питания и торговли для упаковки готовых продуктов (овощей, фруктов, мяса, сыра и макаронных изделий) в стрейч-пленку. Корпус изготовлен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 55 до 140 °С</li>
<li>Длина ножа: 450 мм</li>
<li>Габариты в упаковке: 670х540х180 мм</li>
</ul>",83575,220 В,0.32 кВт,650 мм,465 мм,150 мм,8 кг,1,670x540x180 мм,108,https://entero.ru/manuals/58737/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-CNW460%20PRO.docx;https://entero.ru/manuals/414768/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-CNW460%20PRO.pdf;https://entero.ru/manuals/414769/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453726/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CNW460%20PRO.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241037&hash=5912bdc256a892b5,7 кг,,,,
https://cdn.entero.ru/mp@2x/d3/af/d3afea0fcb046927c7234783233576ef.jpg,Термоупаковщик Roal Pack HW-450A,Термоупаковщик Roal Pack HW-450A,9597,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/266227,"<p>Термоупаковщик горячий стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266227""><b class=""b"">RoalPack HW-450A</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки продуктов питания в пищевую пленку для увеличения их срока хранения. Модель оснащена панелью управления с клавишами включения и выключения, индикаторами готовности, механическим реле регулировки температуры и обрезки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность обрезки пленки после обмотки при помощи термоножа</li>
<li>Пленка протягивается между специальными роликами-держателями</li>
<li>Для упаковки продукта используется рабочая площадка рядом с роликами</li>
<li>Компактная эргономичная конструкция</li>
<li>Безопасность эксплуатации</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Рабочая температура: до 160 °С</li>
</ul>",266227,220 В,0.3 кВт,610 мм,470 мм,120 мм,,,,0,https://entero.ru/manuals/420161/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roal%20Pack%20HW-450A.pdf,,,6.5 кг,,Китай,,610 мм
