Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Ширина ленты
https://cdn.entero.ru/mp@2x/dc/72/dc72f5bb4ae7a92f964d12c26ce8c53d.jpg,Стреппинг-машина Transpak H-45L Helios,Н-45L-16 “HELIOS”,162494,RUB,Да,Transpak,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/79702,"<p>Ручная стреппинг-машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79702"">Transpak H-45L Helios</a> </b>предназначена для обвязки книг, печатных изданий, картонных коробок полипропиленовой (ПП) или полиэстеровой (ПЭТ) лентой за счет сварки трением на предприятиях различных направлений. Модель оснащена возможностью регулировки времени сварки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая регулировка силы натяжения ленты</li>
<li>Использование как для горизонтальной, так и для вертикальной обвязки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина ленты:
<ul>
<li>Полипропиленовая: от 0,55 до 1,05 мм</li>
<li>Полиэстеровая: от 0,5 до 1,05 мм</li>
</ul>
</li>
<li>Сила натяжения ленты: 250 кг / 2500 Н</li>
<li>Скорость натяжения ленты: 270 мм/сек.</li>
<li>Количество рабочих циклов:
<ul>
<li>Полипропиленовая: 300 обвязок</li>
<li>Полиэстеровая: 160 обвязок</li>
</ul>
</li>
<li>Рабочая температура: от -5 до 45 °C</li>
<li>Время перезарядки аккумулятора: 30 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подвесной кронштейн (жесткий или поворотный)</li>
<li>Нижняя пластина для защиты инструмента от износа</li>
</ul>",79702,автоматическая,,,,,,,,,0,,,,4.3 кг,,Тайвань,,от 7 до 16 мм
https://cdn.entero.ru/mp@2x/40/2d/402d4ff7450ed4ddc7ea570b1f50254e.jpg,Устройство комбинированное для ПП ленты Transpak H-44-16,Устройство комбинированное для ПП ленты Transpak H-44-16,41086,RUB,Да,Transpak,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/79688,"<p>Комбинированное устройство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79688""><b class=""b"">Transpak Н-44-16 </b></a>предназначено для обвязки крупногабаритных товаров полипропиленовой (ПП) лентой на предприятиях различных направлений. Модель оснащена мощным лебедочным механизмом и возможностью использовать зубчатые скобы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина ленты: от 0,5 до 1 мм</li>
<li>Сила натяжения ленты: 300 кг</li>
</ul>",79688,механическая,,,,,,,,,0,,44178,,,,Тайвань,,16 мм
https://cdn.entero.ru/mp@2x/f3/bc/f3bc053422191f32e9fb45c43c611ebd.jpg,Стреппинг-машина Transpak TP-6000 (850х600) 12 мм,Стреппинг-машина Transpak TP-6000 (850х600) 12 мм,267426,RUB,Да,Transpak,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/79654,"<p>Автоматическая стреппинг-машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79654""><b class=""b"">Transpak ТР-6000 </b></a>предназначена для обвязки книг, печатных изданий, картонных коробок полипропиленовой (ПП) лентой на предприятиях различных направлений. Модель оснащена ножной педалью для активации цикла упаковки. В комплект поставки входят ролики с тормозами.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручная регулировка силы натяжения ленты</li>
<li>Датчик активации обвязки</li>
<li>Двигатель работает только в момент выполнения рабочего цикла</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сила натяжения ленты: от 10 до 70 кг</li>
<li>Внутренний диаметр бобины ленты: 200 мм</li>
<li>Размер арки: 850х600 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Датчик длины подачи ленты</li>
<li>Каркасная рама SUS304 из нержавеющей стали</li>
</ul>",79654,автоматическая,220 В,1 кВт,,,,,,,0,,,,220 кг,,Тайвань,27 обвязок/мин.,12 мм
https://cdn.entero.ru/mp@2x/49/94/499429bb6b6f29dbeaddccc516d9c31d.jpg,Стреппинг-машина СЕВЕН ПАК SP-A2H,Стреппинг-машина СЕВЕН ПАК SP-A2H,45300,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/117479,"<p>Стреппинг-машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117479"">СЕВЕН ПАК SP-A2H</a></b> предназначена для обвязки крупногабаритных товаров полипропиленовыми лентами на предприятиях различных направлений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность деликатной обвязки мягких грузов</li>
<li>Электронное управление натяжением</li>
<li>Тип крепления: термосварка</li>
<li>Открытая полуавтоматическая</li>
<li>Регулировка силы натяжения через электронный датчик</li>
<li>Отсутствие приводных ремней обеспечивает быстрый доступ к обслуживанию машины</li>
<li>Прочная конструкция корпуса</li>
<li>Управление температурой сварки ленты с помощью датчика</li>
<li>Качественный шов при спайке</li>
<li>Двигатели машины запускаются исключительно в момент выполнения рабочего цикла</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество двигателей: 2</li>
<li>Толщина используемых лент: от 0,5 до 0,8 мм</li>
<li>Максимальное натяжение ленты: от 3 до 45 кг</li>
<li>Диаметр катушки внешний: 450 мм</li>
<li>Диаметр катушки внутренний: 200 мм</li>
<li>Ширина катушки: 200 мм</li>
<li>Габариты в упаковке: 700x950x950 мм</li>
</ul>",117479,полуавтоматическая,220 В,0.25 кВт,550 мм,755 мм,760 мм,70 кг,1,700x950x950 мм,0,,48710,,67 кг,,Китай,120 обвязок/мин.,от 5 до 15.5 мм
https://cdn.entero.ru/mp@2x/e4/f1/e4f119463bc6be54f37f5a67925ac5cb.jpg,Стреппинг-машина Transpak TP-6000 (1250х800) 12мм,Стреппинг-машина Transpak TP-6000 (1250х800) 12мм,401500,RUB,Да,Transpak,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/79657,"<p>Автоматическая стреппинг-машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79657""><b class=""b"">Transpak ТР-6000 </b></a>предназначена для обвязки книг, печатных изданий, картонных коробок полипропиленовой (ПП) лентой на предприятиях различных направлений. Модель оснащена ножной педалью для активации цикла упаковки. В комплект поставки входят ролики с тормозами.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручная регулировка силы натяжения ленты</li>
<li>Датчик активации обвязки</li>
<li>Двигатель работает только в момент выполнения рабочего цикла</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сила натяжения ленты: от 10 до 70 кг</li>
<li>Внутренний диаметр бобины ленты: 200 мм</li>
<li>Размер арки: 1250х800 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Датчик длины подачи ленты</li>
<li>Каркасная рама SUS304 из нержавеющей стали</li>
</ul>",79657,автоматическая,220 В,1 кВт,1430 мм,620 мм,1540 мм,,,,0,https://entero.ru/manuals/79154/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Transpak%20%D0%A2%D0%A0-6000%20%281250%D1%85800%29.pdf,,,220 кг,,Тайвань,27 обвязок/мин.,12 мм
https://cdn.entero.ru/mp@2x/57/6b/576bb29105db32cf4fc9d99fd7bc15a3.jpg,Cтреппинг машина Extend EXS-303,Cтреппинг машина Extend EXS-303,68659,RUB,Да,Extend,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/224765,"<p>Стреппинг машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224765""><b class=""b"">Extend EXS-303</b></a> предназначена для обвязки книг, печатных изданий, картонных коробок полипропиленовой (ПП) лентой на предприятиях различных направлений. Модель оснащена электронной панелью управления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность обвязки разных по размеру коробок, а также деликатных и легкоповреждаемых объектов</li>
<li>Упрощенная замена стреппинг ленты благодаря открытому столу</li>
<li>Электронная регулировка силы натяжения через панель управления</li>
<li>Регулируемое время охлаждения в стандартной комплектации</li>
<li>Экономичный расход электроэнергии двигателем</li>
<li>Надежный и долговечный двигатель без лишних подвижных частей</li>
<li>Надежный обвязочный механизм позволяет осуществлять упаковку даже в сильно загрязненных производственных помещениях</li>
<li>Простая настройка и принцип работы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение: 100/110/220/230/240 В</li>
<li>Частота: 50/60 Гц</li>
<li>Сила натяжения: от 5 до 55 кг</li>
<li>Производительность: от 50 до 130 единиц/час</li>
<li>Длительность обвязки: от 10 до 15 сек.</li>
</ul>",224765,полуавтоматическая,220 В,0.15 кВт,780 мм,544 мм,780 мм,,,,0,,,,53 кг,,Тайвань,,от 5 до 15.5 мм
https://cdn.entero.ru/mp@2x/83/0d/830d10286b93ec42b348ae7b7da557e6.jpg,Комбинированный инструмент для обвязки ПП лентой Transpak H-42-16,Комбинированный инструмент для обвязки ПП лентой Transpak H-42-16,9595,RUB,Да,Transpak,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/307673,"<p>Комбинированный инструмент​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/307673"">Transpak H-42-16</a> </b>предназначен для обвязки ПП лентой книг, печатных изданий, картонных коробок полипропиленовой (ПП) лентой на предприятиях общественного питания и торговли.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Заменяет ручной натяжитель и зажимные клещи</li>
<li>Функции:
<ul>
<li>Натяжение ПП-ленты</li>
<li>Фиксация с помощью скобы для стреппинга </li>
<li>Обрезка лишней ленты</li>
</ul>
</li>
<li>
<p>Складывает скобу гармошкой, скрепляя стреппинг-ленту внутри</p>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина ленты: от 0,5 до 0,8 мм</li>
</ul>",307673,,,,150 мм,200 мм,400 мм,,,,0,,,,3.1 кг,,,,16 мм
https://cdn.entero.ru/mp@2x/5b/c0/5bc0f9aad982cbe2e1637c98a2f6e4a1.jpg;https://cdn.entero.ru/mp@2x/4b/3f/4b3f0f4f9f82c54a91e20bfbaee64d54.jpg;https://cdn.entero.ru/mp@2x/9d/5d/9d5de2500630f56eaa8096d266dc7b3b.jpg;https://cdn.entero.ru/mp@2x/53/28/53286ceb133111b63109698e28e59a1b.jpg,Стреппинг-машина Zapak ZP-97 (без аккумулятора),Стреппинг-машина Zapak ZP-97 (без аккумулятора),264680,RUB,Да,Zapak,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/82778,"<p>Стреппинг-машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/82778""><b class=""b"">Zapak ZP-97 </b></a>используется для обвязки товаров полипропиленовой (ПП) или полиэстеровой (ПЭТ) лентой за счет сварки трением на предприятиях различных направлений. Модель оснащена сенсорной панелью с цифровым сигналом.</p>

<p>Стреппинг-инструмент работает от аккумулятора и оснащен автоматическим натяжением ленты.</p>

<p>Аккумулятор и зарядное устройство в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Бесщеточный двигатель</li>
<li>Аккумулятор с индикацией уровня заряда</li>
<li>Примерная длительность зарядки: 30 мин.</li>
<li>Плавный и простой съем инструмента с ленты</li>
<li>Дизайн заднего ролика предотвращает появление царапин и повреждений</li>
<li>Регулируемые направляющие ширины ленты</li>
<li>Легкозаменяемые детали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина ленты: от 0,75 до 1,27 мм</li>
<li>Сила натяжения: от 40 до 400 кг</li>
<li>Количество циклов на 1 зарядку: 440 циклов (при использовании ПЭТ ленты на 16х1,0)</li>
<li>Аккумулятор: Bosch Li-Ion 18 В 4 А/ч</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подвесной крюк для уменьшения нагрузки на оператора</li>
</ul>",82778,автоматическая,,,,,,,,,0,https://entero.ru/manuals/57642/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Zapak%20ZP-97%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240724&hd=2&autoplay=0,,,Германия,,от 16 до 19 мм
https://cdn.entero.ru/mp@2x/09/aa/09aa57ab8bd8e0cbba78c1fe92ab43dd.jpg,Стреппинг-машина Transpak TP-602MV,ТР-602MV,961110,RUB,Да,Transpak,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/343384,"<p>Стреппинг-машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343384"">Transpak TP-602MV</a> </b>предназначена для обвязки паллет, картонных коробок пластиковой полипропиленовой (ПП) и полиэстерововой (ПЭТ) лентой на предприятиях различных направлений. Модель оснащена 2 режимами работы: автоматическим и полуавтоматическим.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Удобная панель управления расположена на верхней стороне машины для легкого доступа</li>
<li>Моторизированная конструкция выдвижной направляющей для ленты</li>
<li>Выдвижной меч</li>
<li>Технология сварки трением</li>
<li>Регулируемое время охлаждения сварного шва</li>
<li>Индикатор сообщения об ошибке</li>
<li>Обвязочная головка без смазки</li>
<li>Большие ролики обеспечивают хорошую мобильность</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сила натяжения ленты: от 7 до 150 кг</li>
<li>Высота упаковки: до 485 мм</li>
<li>Размер сердечника ремешка: 406 мм</li>
</ul>",343384,"полуавтоматическая, автоматическая",220 В,,2110 мм,571 мм,980 мм,,,,0,https://entero.ru/manuals/413269/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D0%B0%D1%8F%20%D1%81%D1%85%D0%B5%D0%BC%D0%B0.jpg,1022457,,,,Тайвань,,15.5 мм
https://cdn.entero.ru/mp@2x/83/55/8355ee74232f0cb038bce4c5cff463d8.jpg,Стреппинг-машина СЕВЕН ПАК JDC 16,Стреппинг-машина СЕВЕН ПАК JDC 16,62150,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Стреппинг-машины,https://entero.ru/item/117470,"<p>Стреппинг-машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117470"">СЕВЕН ПАК JDC 16</a></b> предназначена для обвязки крупногабаритных товаров полипропиленовыми и полиэстеровыми лентами на предприятиях различных направлений. Корпус выполнен из высококачественного пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Питание от аккумулятора</li>
<li>Тип соединения: сварка трением</li>
<li>Обрезка лент</li>
<li>Высокая эффективность сварного соединения концов ленты</li>
<li>Механическая регулировка натяжения ленты</li>
<li>Компактное и мобильное устройство</li>
<li>Для упаковки продуктов строительной, деревообрабатывающей, мебельной и прочих видов промышленности</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина используемых лент: от 12 до 15 мм</li>
<li>Толщина используемых лент: от 0,5 до 1,2 мм</li>
<li>Сила натяжения: от 400 до 2800 H</li>
<li>Эффективность сварки: от 80 до 90 %</li>
<li>Скорость натяжения: от 100 до 250 мм/с</li>
<li>Количество циклов обвязки от одной зарядки: 220</li>
<li>Количество аккумуляторов: 2</li>
<li>Напряжение аккумуляторов: 12 В</li>
<li>Характеристики зарядного устройства: 220 В, от 50 до 60 Гц</li>
<li>Время зарядки: 90 мин</li>
</ul>",117470,полуавтоматическая,,,,,,,,,0,,66828,,,,Китай,,от 12 до 15 мм
