Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Вес (с упаковкой),Высота бутылки,Диаметр горлышка
https://cdn.entero.ru/mp@2x/7e/ab/7eabed9e5d577870f6d9e4ca2203e2d2.jpg;https://cdn.entero.ru/mp@2x/45/e5/45e5a98ec2c53822b0101da485912f3a.jpg;https://cdn.entero.ru/mp@2x/e8/04/e8048f7ce2c2ec06303af9bf2aaa1fbf.jpg;https://cdn.entero.ru/mp@2x/44/11/4411c903d26b043e5285ae8c88ddf06b.jpg;https://cdn.entero.ru/mp@2x/69/6a/696a7aee7ae247d804d2fb1833b00d41.jpg;https://cdn.entero.ru/mp@2x/94/1f/941f0c2974513ffd6952960193033148.jpg;https://cdn.entero.ru/mp@2x/79/38/793805ca35db95a174e447c650642634.jpg;https://cdn.entero.ru/mp@2x/12/7a/127a568f58f18acb68dc83a5945fc4fa.jpg;https://cdn.entero.ru/mp@2x/3d/6a/3d6aa678e9847f9ee0d604d6a326db5b.jpg;https://cdn.entero.ru/mp@2x/11/37/11372c7be84093298145870dd9635032.jpg;https://cdn.entero.ru/mp@2x/38/f4/38f402943fcab0bb52506029ea330991.jpg;https://cdn.entero.ru/mp@2x/75/96/7596767447c83fafdf94f2232a031e18.jpg;https://cdn.entero.ru/mp@2x/48/0b/480bff5ec72ac78c2cbb493e74666ebb.jpg;https://cdn.entero.ru/mp@2x/48/24/4824f5f7ebe02ba8fff6868b1afc2c81.jpg;https://cdn.entero.ru/mp@2x/5c/ed/5ced6e2d6fd8ae0cd5f04754292fac15.jpg;https://cdn.entero.ru/mp@2x/8f/8b/8f8badd829ac84c8f14a6ceae27d2992.jpg;https://cdn.entero.ru/mp@2x/a3/a6/a3a601864e3c8f0ff6294a649e376509.jpg,Машина укупорочная Kuvings ARD1830,Машина укупорочная Kuvings ARD1830,264561,RUB,Да,Kuvings,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/256217,"<p>Укупорочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/256217""><b class=""b"">Kuvings ARD1830</b></a> предназначена для герметичного закрывания алюминиевых и ПЭТ банок крышками на предприятиях общественного питания и торговли. Модель оснащена мощным и тихим мотором и позволяет работать с любыми напитками. Корпус выполнен из крашенного металла, платформа - из алюминия.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Полуавтомат</li>
<li>Можно использовать баночки емкостью 330 мл и 500 мл</li>
<li>24 часовая работа без перегрева двигателя</li>
<li>Не требует наладки и колибровки</li>
<li>Шумоподавляющий дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость: 10 банок/мин.</li>
<li>Время работы: 3 секунды</li>
<li>Цвет: черный</li>
</ul>",256217,электрическая,220 В,0.18 кВт,204 мм,356 мм,375 мм,18 кг,1,244x427x450 мм,0,https://entero.ru/manuals/314562/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Kuvings%20ARD1830.pdf,,15 кг,,Ю. Корея,600 шт/час,,,
https://cdn.entero.ru/mp@2x/bd/36/bd366ffe174d8174e3ea9ac9ea0e2d12.jpg,Машина укупорочная Hualian DK-50/D (под метал. крышку),Машина укупорочная Hualian DK-50/D (под метал. крышку),82128,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/94642,"<p>Полуавтоматическая укупорочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94642""><b class=""b"">Hualian DK-50/D</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания металлических крышек на стеклянные бутылки. Модель оснащена электрическим управлением и регулируемой подставкой с упором для бутылки.</p>",94642,электрическая,220 В,0.37 кВт,350 мм,250 мм,650 мм,,,,0,https://entero.ru/manuals/85113/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20DK-50_D.pdf,86451,65 кг,КНР,,1200 шт/час,,650 мм,от 20 до 40 мм
https://cdn.entero.ru/mp@2x/33/22/33221a8b247eff7348a5c5cc7b5d6f45.jpg,Машина укупорочная Hualian MCM-155,Машина укупорочная Hualian MCM-155,23368,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/105074,"<p>Ручная укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105074"">Hualian MCM-155</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания винтовых пластиковых крышек на бутылки. Модель оснащена реверсом и регулируемой плотностью затяжки крышки.</p>

<p>В комплект поставки входят набор силиконовых манжет, 2 закручивающие головки и балансир.</p>",105074,электрическая,220 В,0.08 кВт,,,,,,,0,,25400,2 кг,КНР,,1200 шт/час,,,от 10 до 50 мм
https://cdn.entero.ru/mp@2x/83/55/835521ffdc40bf780c53d40a53584a73.jpg,Машина укупорочная МАГИКОН DDX-300A,Машина укупорочная МАГИКОН DDX-300A,302195,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/308465,"<p>Укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/308465"">МАГИКОН DDX-300A</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания винтовых пластиковых крышек на бутылки. Модель оснащена touch-screen монитором управления. Корпус выполнен из нержавеющей стали.</p>

<p><span style=""color:#FF0000;"">Для работы требуется подача сжатого воздуха. Компрессор в комплект поставки не входит и приобретается отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический режим работы</li>
<li>Крышка на бутылку надевается оператом вручную</li>
<li>Может быть интегрирована в производственную линию</li>
<li>Настольное исполнение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр бутылки: от 20 до 100 мм</li>
<li>Диаметр крышки: от 20 до 60 мм</li>
<li>Давление воздуха: от 0,4 до 0,6 мПа</li>
<li>Габариты в упаковке: 1400х750х1050 мм</li>
</ul>",308465,электрическая,220 В,0.5 кВт,1070 мм,550 мм,750 мм,,,,0,,,75 кг,КНР,,от 1200 до 3600 шт/час,,750 мм,
https://cdn.entero.ru/mp@2x/26/b2/26b280b0c0ec75e10348ede5a219cb5a.jpg,Машина укупорочная Kocateq HP MAXI,Машина укупорочная Kocateq HP MAXI,19758,RUB,Да,Kocateq,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/182184,"<p>Укупорочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182184""><b class=""b"">Kocateq HP MAXI</b></a> предназначена для герметичного закрывания порционных емкостей <a href=""https://entero.ru/item/124589"">MA06S</a> и другой тары с широкой горловиной безрезьбовыми крышками из пластика и силикона на предприятиях пищевой промышленности, общественного питания и торговли. Изделие выполнено из нержавеющей стали.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Расстояние между пластинами: 50 мм</li>
<li>Габариты в упаковке: 520х180х100 мм</li>
</ul>",182184,механическая,,,,,,,,,0,,21476,,,Ю. Корея,,5 кг,,
https://cdn.entero.ru/mp@2x/3c/98/3c98d3b514970e7a47d046f445597d95.jpg;https://cdn.entero.ru/mp@2x/fd/7c/fd7c1fe8d4d94edaee070ef50d16465b.jpg;https://cdn.entero.ru/mp@2x/32/fb/32fb98205982d7ce15e5ca343eb7059b.jpg;https://cdn.entero.ru/mp@2x/40/01/4001819dcd674bbcf2d0f33f01232a04.jpg;https://cdn.entero.ru/mp@2x/04/a1/04a1bb8bf6a958257d095964bc36ed8c.jpg;https://cdn.entero.ru/mp@2x/ff/52/ff521cadb09049f410262ed90f224189.jpg;https://cdn.entero.ru/mp@2x/26/fd/26fd76ce2a2fc20b59ce51bde1424389.jpg;https://cdn.entero.ru/mp@2x/98/b5/98b5ccacf1df911b6e8bdcc5465177b5.jpg;https://cdn.entero.ru/mp@2x/7e/fb/7efb253e3acd0368b014d0ca59c94840.jpg;https://cdn.entero.ru/mp@2x/7c/7b/7c7ba86a5737b3da143adf974d1665af.jpg,Машина укупорочная Foodatlas SK-40,SK-40 Foodatlas Eco,57318,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/162494,"<p>Укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162494"">Foodatlas SK-40</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания бутылок с пластмассовыми резьбовыми пробками. Модель оснащена панелью управления.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 0,37 кВт</li>
<li>Напряжение: 220 В</li>
<li>Габариты: 200х480х930 мм</li>
<li>Габариты в упаковке: 280х600х1060 мм</li>
<li>Вес: 49 кг</li>
<li>Вес с упаковкой: 59 кг</li>
</ul>

<p> </p>",162494,электрическая,220 В,0.37 кВт,200 мм,480 мм,930 мм,,,,0,https://entero.ru/manuals/189279/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20SK-40.pdf,60977,49 кг,КНР,,,,,
https://cdn.entero.ru/mp@2x/e2/bd/e2bdb4915d1d6213b0c6f72d3daf221b.jpg,Машина укупорочная Hualian HLTDFJ-160II для жестяных крышек (⌀ 100 мм),HLTDFJ-160II,59340,RUB,Нет,Hualian,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/376618,"<p>Укупорочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/376618""><b class=""b"">Hualian HLTDFJ-160II</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для автоматизация процесса укупорки - быстрого и герметичного закатывания жестяных крышек на стеклянные бутылки. Модель оснащена двумя двигателями и ременным приводом для обеспечения плавной и стабильной работы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Универсальная матрица 100 мм</li>
<li>Компактная конструкция подходит для небольших производств</li>
<li>Интуитивно понятное управление, минимальное обслуживание </li>
<li>Экономия времени и трудозатрат</li>
<li>Герметичность и сохранность продукции</li>
<li>Совместимость с разными типами банок и крышек</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 10-15 шт/мин</li>
<li>Передаточное число: 100:1</li>
<li>Высота банки: 39-200 мм</li>
</ul>

<p><b>Дополнительные опции (приобретаются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/376620"">Матрица 85 мм</a></li>
</ul>",376618,электрическая,220 В,0.37 кВт,590 мм,330 мм,800 мм,57 кг,,,0,,63128,,КНР,,1200 шт/час,,,от 40 до 110 мм
https://cdn.entero.ru/mp@2x/1c/07/1c07b7cb0f3feffa65ff8317446c20fd.jpg;https://cdn.entero.ru/mp@2x/96/10/9610dccc419157dd0709fc75eaff5ea6.jpg;https://cdn.entero.ru/mp@2x/8c/96/8c963126c5280828a935608b44b10672.jpg;https://cdn.entero.ru/mp@2x/33/d0/33d028a085721fe7a933cbc076862caa.jpg;https://cdn.entero.ru/mp@2x/d7/29/d729ee9dee3f88dd80fe8d97177e6189.jpg,Машина укупорочная МАГИКОН TDFJ-160,Машина укупорочная МАГИКОН TDFJ-160,58564,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/132852,"<p>Укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132852"">МАГИКОН TDFJ-160</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для укупорки жестяных банок жестяной крышкой. Корпус выполнен из окрашенной углеродистой стали, вращающаяся платформа для крышек - из высокопрочной закаленной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высококачественные электронные компоненты</li>
<li>Кулачковый механизм подъема тары</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество закатываемых банок: 1 шт.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Высота закатки более 200 мм</li>
<li>Диаметр банки от 35 до 126 мм</li>
</ul>",132852,электрическая,220 В,0.37 кВт,690 мм,360 мм,850 мм,,,,0,,61004,70 кг,КНР,,от 600 до 1200 шт/час,,850 мм,100 мм
https://cdn.entero.ru/mp@2x/ca/7f/ca7f51ef1810f95a9368753a0d6e263f.jpg,Машина укупорочная МАГИКОН DDX-450,Машина укупорочная МАГИКОН DDX-450,54239,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/127096,"<p>Укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127096"">МАГИКОН DDX-450</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания винтовых пластиковых крышек на бутылки из твердого материала.</p>",127096,электрическая,220 В,,,,,,,,0,,,,КНР,,от 1200 до 2400 шт/час,,от 40 до 200 мм,от 10 до 50 мм
https://cdn.entero.ru/mp@2x/80/87/8087f6895f6848ae3ee6299c0fbebeb9.jpg,Машина укупорочная МАГИКОН DDX-300,Машина укупорочная МАГИКОН DDX-300,102744,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/308466,"<p>Укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/308466"">МАГИКОН DDX-300</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания винтовых пластиковых крышек на бутылки. Модель оснащена педалью. Корпус выполнен из нержавеющей стали.</p>

<p><span style=""color:#FF0000;"">Для работы требуется подача сжатого воздуха. Компрессор в комплект поставки не входит и приобретается отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Полуавтоматический режим работы</li>
<li>Ручная настройка под высоту бутылки</li>
<li>Крышка на бутылку надевается оператом вручную</li>
<li>Автоматическая укупорка по диаметру крышки </li>
<li>Возможность закрывать крышки с дозатором</li>
<li>Простота в эксплуатации и обслуживании</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр крышки: от 25 до 55 мм</li>
<li>Давление воздуха: от 0,4 до 0,6 мПа</li>
<li>Габариты в упаковке: 720х420х595 мм</li>
</ul>",308466,электрическая,220 В,0.25 кВт,650 мм,560 мм,770 мм,,,,0,https://entero.ru/manuals/505609/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,108152,35 кг,КНР,,,,770 мм,
