Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Вес (с упаковкой),Длина,Количество в упаковке,Толщина материала
https://cdn.entero.ru/mp@2x/a0/56/a05644b2f71d5f969d5abc061ade52fa.jpg;https://cdn.entero.ru/mp@2x/36/4e/364ea2f69b3d41881babfe865f3dd9c4.jpg;https://cdn.entero.ru/mp@2x/a5/4e/a54e7ba1047ea4fd815e8a1b98f80627.jpg,Пакеты вакуумные рифленые VacGurman VG1525,Пакеты вакуумные рифленые VacGurman VG1525,1524,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/160231,"<p>Вакуумные пакеты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/160231"">VacGurman VG1525</a> </b>используются совместно с камерными и бескамерными упаковщиками для упаковки продуктов на предприятиях общественного питания и торговли для последующего их хранения или приготовления по технологии Sous Vide. Изделия выполнены из двуслойного материала PA/PE (полиамид+полиэтилен).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Перфорация на внутренней стороне пакета</li>
<li>Высокая стойкость к проколам</li>
<li>Высокие барьерные свойства по отношению к газам</li>
<li>Равномерная толщина</li>
<li>Высокая прозрачность</li>
<li>Не содержит Бисфенол А (ВРА)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура: от -40 до 90 °С</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",160231,пакеты рифленые,150 мм,,,,,,0,,1881,,,Италия,для вакуумных упаковщиков,,250 мм,100 шт.,90 мкм
https://cdn.entero.ru/mp@2x/7c/cb/7ccbd958fd96e9f7db4809f61acc99b1.jpg;https://cdn.entero.ru/mp@2x/a4/75/a47566b6f850a8c5ff25acb6d80b9249.jpg,Вакуумный пакет Пакинторг ПА/ПЭ (PA/PE) 350х450 70 мкм (100 шт),Вакуумный пакет Пакинторг ПА/ПЭ (PA/PE) 350х450 70 мкм (100 шт),1485,RUB,Да,Пакинторг,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/341330,"<p>Вакуумный пакет <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/341330""><b class=""b"">Пакинторг ПА/ПЭ (PA/PE)</b></a> используется на предприятиях общественного питания и торговли совместно с <a href=""https://entero.ru/search.php?text=упаковщик+вакуумный"" target=""_blank"">вакуумными упаковщиками</a> для упаковки продуктов питания и готовых блюд, а также медикаментов, продукции электронной и химической промышленности. Пакеты изготовлены из полиамида и полиэтилена высокого давления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Увеличение срока хранения</li>
<li>Непроницаемость для влаги, пыли и газов</li>
<li>Устойчивость к тепловым воздействиям</li>
<li>Сохранение внешнего товарного вида продукции</li>
<li>Прозрачность и высокая эластичность<br>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",341330,пакеты гладкие,350 мм,,,,,,0,,,,,,для вакуумных упаковщиков,,450 мм,100 шт.,70 мкм
https://cdn.entero.ru/mp@2x/04/a7/04a746c19d2ac76141016b1c4b0009a3.jpg,"Пленка для запайки Россия PET/CPP, 180 мм",90265,2628,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/283022,"<p>Прозрачная пленка для запайки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283022""><b class=""b"">PET/CPP, 180 мм</b></a> используется совместно c запайщиком лотков<a href=""https://entero.ru/search.php?text=INDOKOR+ISC-1""> INDOKOR ISC-1</a> на предприятиях общественного питания и торговли.</p>

<p><b>Особенности:</b></p>

<ul>
<li><b>​</b>​Хорошие барьерные свойства</li>
<li>Высокая прозрачность</li>
<li>Морозостойкость</li>
<li>Применяется: упаковка пищевых продуктов, в том числе десткого питания, парфюмерно-косметических продуктов, средств личной гигиены</li>
<li>Кромки материала без заусениц, надрывов, торцы рулона без забоин, вмятин</li>
</ul>

<p><b>Дополнительные характеристики:<b class=""black"">​</b></b></p>

<ul>
<li><b><b class=""black"">​</b></b>​Ширина рулона: 180 мм</li>
<li>Толщина материала: 54,9 мкм</li>
<li>Внутренний диаметр втулки: 76,6 мм</li>
<li>Прочность при растяжении в поперечном и продольном направлениях, не менее: 30 МПа</li>
<li>Температура сварки: 150 - 180 <span style=""font-size:10px;""><sup>0</sup></span>С</li>
<li>Прочность сварного шва, не менее: 20 Н/см</li>
<li>Температурный режим хранения: 5 - 35 <span style=""font-size:10px;""><sup>0</sup></span>С</li>
<li>Размер: 150x180x150 мм</li>
</ul>",283022,пленка,180 мм,,,,,,0,,3327,2.2 кг,,,для запайщиков лотков,,,,
https://cdn.entero.ru/mp@2x/80/88/80884f30d77bb15a71bd0860c1fa3214.jpg,"Пакеты вакуумные структурированные PACKVAC 20X30 см, (100 шт.)","Пакеты вакуумные структурированные PACKVAC 20X30 см, (100 шт.)",1147,RUB,Да,PACKVAC,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/169012,"<p>Пакеты вакуумные структурированные <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169012""><b class=""b"">PACKVAC 20X30 см </b></a>используются на предприятиях общественного питания и торговли, в частных домах и квартирах для вакуумирования в бескамерных вакуумных упаковщиках продуктов питания и готовых блюд, с целью увеличения срока их хранения с сохранением вкусовых качеств. Двухслойная пленка изготавливается методом соэструзии слоев полиамида и полиэтилена (PA/PE).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сохраняют продукты свежими длительное время</li>
<li>Защищают продукты от обезвоживания и окисления при замораживании</li>
<li>Не содержат Бисфенол-А и фталаты</li>
<li>Разрешен разогрев в микроволновой печи</li>
<li>Подходят для sous-vide (температурный режим до 90 С)</li>
</ul>",169012,пакеты рифленые,200 мм,,,,,,0,,1349,,,,для вакуумных упаковщиков,,300 мм,100 шт.,90 мкм
https://cdn.entero.ru/mp@2x/bc/55/bc55dd138c5190c3abca771b3a3832d0.jpg,Пленка для запайки VASSILII ПЭ/ПЭТ 200 мм х 54 мкм с пилэффектом прозр. (1 кг.),9-910980Р,599,RUB,Да,VASSILII,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/303350,"<p>Прозрачная пленка для запайки ПЭ/ПЭТ с пилэффектом используется совместно запайщиком лотков <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303350""><b class=""b"">VASSILII</b></a> на предприятиях общественного питания и торговли. Полиэтилентерефталатная (лавсановая) пленка ПЭТ является прочным и долговечным материалом по сравнению с пленками на основе полистирола и поливинилхлорида.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер: 200 мм х 54 мкм</li>
<li>Вес рулона: ~2 кг</li>
<li>1 кг = 85 п.м</li>
</ul>

<p><span style=""color:#ff0000;"">Цена указана за 1 кг. Пленка отгружается рулонами по 2 кг.</span></p>",303350,пленка,200 мм,,,,,,0,,778,2 кг,,,для запайщиков лотков,,,,54 мкм
https://cdn.entero.ru/mp@2x/a9/8b/a98b71923315ec2f20f332a3ab2504e6.jpg;https://cdn.entero.ru/mp@2x/aa/d5/aad5ed284aa6def27665464daec60f2b.jpg,Вакуумный пакет Пакинторг ПА/ПЭ (PA/PE) 400х600 80 мкм (100 шт),Вакуумный пакет Пакинторг ПА/ПЭ (PA/PE) 400х600 80 мкм (100 шт),2160,RUB,Да,Пакинторг,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/341327,"<p>Вакуумный пакет <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/341327""><b class=""b"">Пакинторг ПА/ПЭ (PA/PE)</b></a> используется на предприятиях общественного питания и торговли совместно с <a href=""https://entero.ru/search.php?text=упаковщик+вакуумный"" target=""_blank"">вакуумными упаковщиками</a> для упаковки продуктов питания и готовых блюд, а также медикаментов, продукции электронной и химической промышленности. Пакеты изготовлены из полиамида и полиэтилена высокого давления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Увеличение срока хранения</li>
<li>Непроницаемость для влаги, пыли и газов</li>
<li>Устойчивость к тепловым воздействиям</li>
<li>Сохранение внешнего товарного вида продукции</li>
<li>Прозрачность и высокая эластичность<br>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",341327,пакеты гладкие,400 мм,,,,,,0,,,,,Россия,для вакуумных упаковщиков,,600 мм,100 шт.,80 мкм
https://cdn.entero.ru/mp@2x/af/f4/aff41c8159c4005f06191887ce83cdc5.jpg,"Пленка вакуумная структурированная PACKVAC 15CMX5M, 1 рулон (рукав 5 м)",C6417,164,RUB,Да,PACKVAC,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/168998,"<p>Вакуумная структурированная пленка ​<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168998""><b class=""b"">PACKVAC 15CMX5M </b></a>используется на предприятиях общественного питания и торговли, в частных домах и квартирах для вакуумирования в бескамерных вакуумных упаковщиках продуктов питания и готовых блюд, с целью увеличения срока их хранения с сохранением вкусовых качеств. Четырехслойная пленка изготавливается методом соэструзии слоев полиамида и полиэтилена (PA/PE/PA/PE).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сохраняют продукты свежими длительное время</li>
<li>Защищают продукты от обезвоживания и окисления при замораживании</li>
<li>Не содержат Бисфенол-А и фталаты</li>
<li>Разрешен разогрев в микроволновой печи</li>
<li>Подходят для sous-vide (температурный режим до 90 С)</li>
</ul>",168998,пакеты рифленые,150 мм,,,,,,0,,213,,,,для вакуумных упаковщиков,,5000 мм,,90 мкм
https://cdn.entero.ru/mp@2x/1f/17/1f17b6496940528d35ea2ad36c271fb6.jpg,Пакеты вакуумные гладкие Besser Vacuum 20X30/70 (200х300 мм) (100 шт),Пакеты вакуумные гладкие Besser Vacuum 20X30/70 (200х300 мм) (100 шт),885,RUB,Да,Besser Vacuum,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/333386,"<p>Гладкие вакуумные пакеты <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/333386""><b class=""b"">Besser Vacuum 20X30/70</b></a> используются на предприятиях общественного питания совместно со всеми типами вакуумных упаковщиков, кроме бескамерных, для упаковки различных продуктов.</p>",333386,пакеты гладкие,200 мм,,,,,,0,,1066,,,,для вакуумных упаковщиков,,300 мм,100 шт.,70 мкм
https://cdn.entero.ru/mp@2x/a0/b1/a0b1f195aa826102cfb0240ab99a19da.jpg,"Пленка вакуумная структурированная PACKVAC 25CMX5M, 1 рулон (рукав 5м)",C6419,273,RUB,Да,PACKVAC,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/169005,"<p>Вакуумная структурированная пленка ​<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169005""><b class=""b"">PACKVAC 25CMX5M </b></a>используется на предприятиях общественного питания и торговли, в частных домах и квартирах для вакуумирования в бескамерных вакуумных упаковщиках продуктов питания и готовых блюд, с целью увеличения срока их хранения с сохранением вкусовых качеств. Четырехслойная пленка изготавливается методом соэструзии слоев полиамида и полиэтилена (PA/PE/PA/PE).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сохраняют продукты свежими длительное время</li>
<li>Защищают продукты от обезвоживания и окисления при замораживании</li>
<li>Не содержат Бисфенол-А и фталаты</li>
<li>Разрешен разогрев в микроволновой печи</li>
<li>Подходят для sous-vide (температурный режим до 90 С)</li>
</ul>",169005,пакеты рифленые,250 мм,,,,,,0,,,,,,для вакуумных упаковщиков,,5000 мм,,90 мкм
https://cdn.entero.ru/mp@2x/b0/61/b061012c4c5dc550788f9c5745a52eb2.jpg,"Пленка вакуумная структурированная PACKVAC 30CMX5M, 1 рулон (рукав 5 м)","Пленка вакуумная структурированная PACKVAC 30CMX5M, 1 рулон (рукав 5 м)",324,RUB,Да,PACKVAC,Профоборудование,Фасовочно-упаковочное,Упаковочные материалы,https://entero.ru/item/169007,"<p>Вакуумная структурированная пленка ​<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169007""><b class=""b"">PACKVAC 30CMX5M </b></a>используется на предприятиях общественного питания и торговли, в частных домах и квартирах для вакуумирования в бескамерных вакуумных упаковщиках продуктов питания и готовых блюд, с целью увеличения срока их хранения с сохранением вкусовых качеств. Четырехслойная пленка изготавливается методом соэструзии слоев полиамида и полиэтилена (PA/PE/PA/PE).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сохраняют продукты свежими длительное время</li>
<li>Защищают продукты от обезвоживания и окисления при замораживании</li>
<li>Не содержат Бисфенол-А и фталаты</li>
<li>Разрешен разогрев в микроволновой печи</li>
<li>Подходят для sous-vide (температурный режим до 90 С)</li>
</ul>",169007,,300 мм,,,,,,0,,415,,,,для вакуумных упаковщиков,,5000 мм,,90 мкм
