Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Диаметр рулона
https://cdn.entero.ru/mp@2x/39/21/3921a2ae58b931b3c2d9dedebfb41c12.jpg,Этикет-пистолет Mertech MX-5500 EOS,2018,1727,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/169413,"<p>Этикет-пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169413"">Mertech MX-5500 EOS</a> </b>используется на предприятиях торговли и услуг, в заведения общепита, в логистических компаниях для печати товарных этикеток. Корпус выполнен из прочного пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество разрядов: 8</li>
<li>Размеры шрифта: 1,46х4,5 мм</li>
<li>Длина одной строчки: 8 символов</li>
<li>Площадь для печати: 21х12 мм</li>
</ul>

<p style=""margin-left: 40px;""> </p>

<p> </p>",169413,однострочный,,,233 мм,131 мм,48 мм,,,,0,2159,0.32 кг,,,,80 мм
https://cdn.entero.ru/mp@2x/86/ea/86ea02398500e96ef4d8b04a72b9b597.jpg,Этикетировщик МАГИКОН PFL-60,00000002338,119604,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/206420,"<p>Полуавтоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206420"">МАГИКОН PFL-60</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на плоские предметы. Оператор помещает продукт на плоскую поверхность, затем закрывает упор и аппарат автоматически прокатывает, одновременно нанося этикетку на продукт. Корпус выполнен из нержавеющей стали. </p>

<p>В комплект поставки входит компрессорный насос.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 20 до 40 шт./мин.</li>
<li>Погрешность: +/- 1 мм</li>
<li>Давление воздуха: от 0,4 до 0,6 Mpa</li>
<li>Ширина этикетки: от 10 до 80 мм </li>
<li>Высота этикетки: от 10 до 140 мм</li>
</ul>",206420,,220 В,,300 мм,200 мм,400 мм,,,,0,125899,25 кг,,Китай,,от 75 до 300 мм
https://cdn.entero.ru/mp@2x/fe/8b/fe8ba76e39ee38defa3b6c80674f6932.jpg,Этикет-пистолет Mertech MX-2616 EOS,2020,3051,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/169617,"<p>Этикет-пистолет <a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/169617""><b class=""b"">Mertech MX-2616 EOS </b></a>используется на предприятиях торговли и услуг, в заведения общепита, в логистических компаниях для печати товарных этикеток. Корпус выполнен из прочного пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер этикетки: 26х16 мм</li>
<li>Количество строк: 2</li>
<li>Размер шрифта: 1,56х4,5 мм</li>
<li>Длина строчки: 10 символов</li>
<li>Количество разрядов: 10+7</li>
</ul>

<p style=""margin-left: 40px;""> </p>

<p> </p>",169617,двухстрочный,,,233 мм,131 мм,48 мм,,,,0,,0.41 кг,,,,80 мм
https://cdn.entero.ru/mp@2x/3c/26/3c2635004f949207ccf2fd2c3c6e246b.jpg,Этикетировщик Hualian MT-50 с датером,Этикетировщик Hualian MT-50 с датером,86112,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/105943,"<p>Полуавтоматический этикетировщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105943""><b class=""b"">Hualian MT-50</b></a> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на круглую тару. Оператор помещает продукт на валики, затем закрывает упор и аппарат автоматически прокатывает, одновременно нанося этикетку на продукт. Модель оснащена датером для проставления даты.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 0 до 40 шт/мин.</li>
<li>Погрешность: +/- 1 мм</li>
<li>Ширина этикетки: от 10 до 130 мм</li>
<li>Длина этикетки: от 10 до 200 мм</li>
<li>Диаметр втулки: 76 мм</li>
<li>Диаметр бутылки: от 10 до 150 мм</li>
<li>Максимальный диаметр ролика с этикеткой: 200 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,5 кВт</li>
<li>Габариты: 650x450x450 мм</li>
<li>Вес: 40 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель без датера.</span></em></p>",105943,,,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/ae/29/ae29842cf1debaba2ecf27c7aea1543a.jpg,Этикетировщик МАГИКОН PFL-50,00000002237,57934,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/206414,"<p>Полуавтоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206414"">МАГИКОН PFL-50</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на круглую тару. Оператор помещает продукт на валики, затем закрывает упор и аппарат автоматически прокатывает, одновременно нанося этикетку на продукт.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 3 до 15 м/мин.</li>
<li>Погрешность: +/- 1 мм</li>
<li>Длина этикетки: от 10 мм</li>
<li>Диаметр втулки: 76 мм</li>
<li>Диаметр бутылки: от 10 до 120 мм</li>
<li>Габариты в уаковке: 650x350x460 мм</li>
</ul>",206414,,220 В,,440 мм,350 мм,460 мм,,,,0,62972,25 кг,,Китай,,250 мм
https://cdn.entero.ru/mp@2x/b5/9f/b59fb769ba314a8d5420d8a91eab032a.jpg,Этикетировщик Hualian MT-50,Этикетировщик Hualian MT-50,58328,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/105073,"<p>Полуавтоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105073"">Hualian MT-50</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на круглую тару. Оператор помещает продукт на валики, затем закрывает упор и аппарат автоматически прокатывает, одновременно нанося этикетку на продукт.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 0 до 40 шт/мин.</li>
<li>Погрешность: +/- 1 мм</li>
<li>Ширина этикетки: от 10 до 130 мм</li>
<li>Длина этикетки: от 10 до 200 мм</li>
<li>Диаметр втулки: 76 мм</li>
<li>Диаметр бутылки: от 10 до 150 мм</li>
<li>Максимальный диаметр ролика с этикеткой: 200 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,5 кВт</li>
<li>Габариты: 650x450x450 мм</li>
<li>Вес: 40 кг</li>
</ul>",105073,,,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/db/96/db968c370de73f124c34a27a95366f15.jpg,Этикетировщик Hualian HL-50 с датером,Этикетировщик Hualian HL-50 с датером,137632,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/93637,"<p>Полуавтоматический этикетировщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93637""><b class=""b"">Hualian HL-50</b></a> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на круглую тару. Модель оснащена датером и валиками с электроприводом. Оператор помещает продукт на валики, затем закрывает упор и аппарат автоматически прокатывает, одновременно нанося этикетку на продукт. </p>

<p><b>Характеристики: </b></p>

<ul>
<li>Производительность: от 0 до 40 шт/мин.</li>
<li>Погрешность: +/- 1 мм</li>
<li>Ширина этикетки: от 10 до 150 мм</li>
<li>Длина этикетки: от 10 до 150 мм</li>
<li>Диаметр втулки: 76 мм</li>
<li>Диаметр бутылки: от 10 до 150 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,5 кВт</li>
<li>Габариты: 650x450x450 мм</li>
<li>Вес: 40 кг</li>
</ul>",93637,,,,,,,,,,0,143367,,,,,
https://cdn.entero.ru/mp@2x/ef/84/ef84b77feff2417ce491a69764b4a449.jpg;https://cdn.entero.ru/mp@2x/27/b2/27b23f73eeeb5025b0fad81a7a3f5c83.jpg,Этикетировщик МАГИКОН PFL-150,00-00047474,348540,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/359370,"<p>Автоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/359370"">МАГИКОН PFL-150</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеящейся этикетки на круглые банки и бутылки. Модель оснащена Touch Screen экраном с понятным управлением. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина этикетки: от 25 до 280 мм</li>
<li>Ширина этикетки: от 25 до 50 мм</li>
<li>Максимальный внешний диаметр рулона с этикетками: 250 мм</li>
<li>Минимальный внутренний диаметр рулона: 75 мм</li>
<li>Скорость подачи этикетки: от 25 до 50 шт./мин.</li>
<li>Точность нанесения этикетки: ±1,0 мм</li>
<li>Диаметр бутылки: от 20 до 120 мм</li>
</ul>",359370,,220 В,1.1 кВт,1300 мм,800 мм,800 мм,120 кг,1,1200x614x1043 мм,0,378848,100 кг,Китай,Китай,,250 мм
https://cdn.entero.ru/mp@2x/7f/13/7f13b102d723d06351b14441cf4c0bb9.jpg;https://cdn.entero.ru/mp@2x/52/f3/52f3f19a8a1e47b3a1fbb0181cd2cafb.jpg;https://cdn.entero.ru/mp@2x/50/f8/50f8568f0ddf515e89edf6287bde6ec3.jpg;https://cdn.entero.ru/mp@2x/47/7f/477f349b60c21f32de0eb681194d0519.jpg;https://cdn.entero.ru/mp@2x/2f/ab/2fab7f9be26c77ccc42702ea6326fd3f.jpg;https://cdn.entero.ru/mp@2x/f8/2e/f82e9d449f29436af37cbb6bb7629f99.jpg;https://cdn.entero.ru/mp@2x/95/ee/95eeb36873c38bafa890ce5a17b2fa39.jpg;https://cdn.entero.ru/mp@2x/70/8b/708bd838c5ca14d915b8f8b7f8e42e18.jpg,Этикетировщик МАГИКОН MPFL-180A,00-00047656,399193,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/359373,"<p>Автоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/359373"">МАГИКОН MPFL-180A</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеящейся этикетки на плоские предметы. Модель оснащена удобным мобильным штативом, который регулируется по высоте и глубине, а также Touch Screen экраном с понятным управлением. Корпус выполнен из нержавеющей стали, рама - из алюминия.</p>

<p>В комплект поставки входят сменные символы для принтера.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Легкое перенастраивание</li>
<li>Встроенный термотрансферный принтер даты</li>
<li>Проставление даты изготовления, номера партии, серии и другой переменной информации при размотке этикетки</li>
<li>Перенос информации на этикетку с помощью термотрансферной ленты</li>
<li>Напольная конструкция на штативе</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина этикетки: от 10 до 130 мм</li>
<li>Максимальный внешний диаметр рулона: 350 мм</li>
<li>Минимальный внутренний диаметр рулона: 76 мм</li>
<li>Скорость подачи этикетки: от 1 до 300 шт./мин.</li>
<li>Точность нанесения этикетки: ±1,0 мм</li>
<li>Вместимость датировщика: 3 строки по 12 символов в каждой</li>
</ul>",359373,,220 В,1.5 кВт,840 мм,560 мм,1900 мм,,,,0,,123 кг,Китай,Китай,,350 мм
https://cdn.entero.ru/mp@2x/05/9d/059da752d3e496169fc70c90f9e5070b.jpg;https://cdn.entero.ru/mp@2x/54/60/54605c3aad1748dfa0087287a76403eb.jpg;https://cdn.entero.ru/mp@2x/d5/b8/d5b88ff18f0e07dc45652f6f6356e47a.jpg;https://cdn.entero.ru/mp@2x/00/53/00538fb772ae32d889f566fb8a87a795.jpg;https://cdn.entero.ru/mp@2x/ea/4a/ea4a7d88bf8eb5cccf5a82020bd7c92e.jpg;https://cdn.entero.ru/mp@2x/14/59/145973491052d02ef0b1df6488202666.jpg;https://cdn.entero.ru/mp@2x/03/65/0365b57bddd8b1bde780501abe45a303.jpg,Этикетировщик МАГИКОН MPFL-160A,00-00047655,459149,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Этикет-пистолеты,https://entero.ru/item/346032,"<p>Автоматический этикетировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346032"">МАГИКОН MPFL-160A</a></b> используется на производственных площадках, предприятиях пищевой, фармацевтической, химической, косметической промышленности для нанесения самоклеющейся этикетки на плоские поверхности: крышки круглых банок, коробки, плоские продукты. Модель оснащена термотрансферным встроенным принтером даты. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит набор дополнительных литер для датера.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настольный вариант исполнения</li>
<li>Панель управления ""Touch Screen""</li>
<li>Русифицированный интуитивно понятный интерфейс</li>
<li>Нанесение переменной информации датером с помощью термотрансферной ленты</li>
<li>Информация печатается в 3 строчки по 12 символов в каждой</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 25 до 50 шт/мин</li>
<li>Энергопотребление: 0,45 кВт</li>
<li>Максимальный внешний диаметр рулона: 250 мм</li>
<li>Минимальный внутренний диаметр рулона (втулки): 76 мм</li>
<li>Точность нанесения этикетки (мм.): ±1.</li>
<li>Ширина этикетки: от 15 до 150 мм </li>
<li>Длина этикетки: от 30 до 300 мм</li>
</ul>",346032,трехстрочный,220 В,0.45 кВт,1150 мм,1100 мм,850 мм,,,,0,483315,103 кг,,Китай,,от 75 до 300 мм
