Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Объем
https://cdn.entero.ru/mp@2x/2d/bd/2dbd9f3ab63811d9f45d82a7a5ab6382.jpg,Дозатор-смеситель воды Apach Bakery Line DOX 25M,206785,184133,RUB,Да,Apach,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/182860,"<p>Дозатор воды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182860"">Apach Bakery Line DOX 25M</a> </b>используется на предприятиях пищевой промышленности и общественного питания, в пекарнях и кондитерских для регулировки количества воды, поступающей в дежу тестомеса. Модель оснащена датчиком для измерени температуры, обратными клапанами и 2 цифровыми дисплеями, на которых отображается количество и температура. Корпус выполнен из ударопрочного пластика ABS.</p>

<p><span style=""color:#cc0000;"">Шланг для подачи воды в дежу в комплект не входит и приобретается отдельно.</span></p>

<p><b>Особенности: </b></p>

<ul>
<li>Сохранение последних установок в памяти</li>
<li>Простой интуитивный интерфейс</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура на входе: 65 °C</li>
<li>Максимальная погрешность:
<ul>
<li>При дозировании: 1%</li>
<li>При смешивании: 1,5 °C</li>
</ul>
</li>
</ul>",182860,дозатор-смеситель,220 В,0.25 кВт,239 мм,108 мм,208 мм,,,,15,https://entero.ru/manuals/285456/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20DOX%2025M.pdf;https://entero.ru/manuals/285459/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf;https://entero.ru/manuals/285460/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf;https://entero.ru/manuals/369752/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20DOX%2025M.pdf,200145,5 кг,Италия,Италия,,
https://cdn.entero.ru/mp@2x/7a/9d/7a9d19d43cbc519b0467eb32d7b8f791.jpg,Дозатор-смеситель воды STM DOMIX 25,Дозатор-смеситель воды STM DOMIX 25,195081,RUB,Да,,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/183777,"<p>Дозатор воды <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/183777""><b class=""b"">STM DOMIX 25</b></a> используется на предприятиях пищевой промышленности и общественного питания, в пекарнях и кондитерских для регулировки количества воды, поступающей в дежу тестомеса. Модель оснащена датчиком для измерения температуры, обратными клапанами и 2 цифровыми дисплеями, на которых отображается количество и температура. Корпус выполнен из ударопрочного пластика ABS.</p>

<p>В комплект поставки входят шланг для подачи воды в дежу и фитинг для подключения к водопроводу.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Температура устанавливается с помощью регулировки термостатического клапана</li>
<li>Сохранение последних установок в памяти</li>
<li>Простой интуитивный интерфейс</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура на входе: 65 °C</li>
<li>Максимальное давление воды: 5 бар</li>
<li>Диаметр входной трубы: 1/2""</li>
<li>Максимальная погрешность:
<ul>
<li>При дозировании: 1%</li>
<li>При смешивании: 1,5 °C</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насос с дистанционным управлением </li>
<li>Тройная разводка: позволяет комбинировать подачу воды из разных входных отверстий при смене времён года</li>
<li>Вынесенные кнопки START/STOP</li>
<li>Последовательный интерфейс RS 485</li>
</ul>",183777,дозатор-смеситель,220 В,0.025 кВт,436 мм,141 мм,400 мм,,,,0,https://entero.ru/manuals/213886/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20STM%20DOMIX%2025.pdf,205348,6.5 кг,,Италия,от 15 до 35 л/мин.,
https://cdn.entero.ru/mp@2x/26/52/2652ae9e7c5f5c78e6ce76fa256d99b4.jpg;https://cdn.entero.ru/mp@2x/90/d3/90d3663a8c6667f951aea424ca5b4835.jpg,Дозатор воды Porlanmaz Bakery Machinery PMWD 60,Дозатор воды Porlanmaz Bakery Machinery PMWD 60,79950,RUB,Да,,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/236744,"<p>Дозатор воды <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/236744""><b class=""b"">Porlanmaz Bakery Machinery PMWD 60</b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/236744""><b class=""b""> </b></a>используется на предприятиях пищевой промышленности и общественного питания, в пекарнях и кондитерских для автоматизации процесса измерения и подачи необходимого количества воды в тесто. Модель оснащена цифровой панелью управления, отображающей данные по количеству и температуре воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Точность дозировки обеспечивает стабильность рецептуры </li>
<li>Дозатор может быть интегрирован в автоматические линии</li>
<li>Функция контроля температуры воды</li>
<li>Тип управления: соленоидный клапан</li>
<li>Клавиатура: Мембранный переключатель</li>
<li>Тип экрана: 7Seg DSP</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Точность дозирования: 1%</li>
<li>Погрешность при дозировке: +/- 100 г</li>
<li>Вместимость: от 0до 999,9 л</li>
<li>Диапазон температуры воды: от 0 до 50 °C</li>
<li>Рабочее давление : от 0,2 до 0,8 бар</li>
<li>Испытательное давление: от 0,2 до 0,8 бар</li>
<li>Расход жидкости: 60 л/мин</li>
<li>Водозабор: 3/4""</li>
</ul>",236744,дозатор,220 В,0.02 кВт,280 мм,300 мм,100 мм,,,,0,https://entero.ru/manuals/286550/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMWD%2060.pdf;https://entero.ru/manuals/477890/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMWD%2060.pdf,85968,4.5 кг,,Турция,60 л/мин.,от 0 до 999 л
https://cdn.entero.ru/mp@2x/a3/a1/a3a1e5bae7bc8cad7427bd979c03c50e.jpg;https://cdn.entero.ru/mp@2x/3e/37/3e372a5fcef9ab989b049986d610065a.jpg,Дозатор-смеситель воды Техарс Волна 1.0,Дозатор-смеситель воды Техарс Волна 1.0,95000,RUB,Да,,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/354113,"<p>Дозатор-смеситель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/354113"">Техарс Волна 1.0</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для дозированной подачи воды оптимальной температуры, предназначенной для производства теста. Модель оснащена ручным термостатическим смесителем, представляющим собой электронный дозатор воды с вынесенным пультом управления на базе микропроцессора.</p>

<p>В комплект поставки входит шланг с U-образной трубой из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровой светодиодный дисплей, отображающий количество и температуру воды</li>
<li>Электромагнитный клапан для управления потоков воды</li>
<li>Автоматически отмеряет заданную дозу воды и измеряет её температуру</li>
<li>Ручная регулировка температуры воды осуществляется поворотом ручки блока смешивания в месте соединения двух трубопроводов</li>
<li>Регулирует температуру, за счет смешивания горячей воды с холодной</li>
<li>4 кнопки клавиатуры:
<ul>
<li>Задание размера дозы</li>
<li>Управление циклом дозирования</li>
<li>START</li>
<li>STOP</li>
</ul>
</li>
<li>Запоминает последнюю установку для последующего повторения без перепрограммирования</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры воды на выходе: от 5 до 60 °С</li>
<li>Максимальная температура воды на входе дозатора: 60 °С</li>
<li>Количество выходов смесителя: 1</li>
<li>Максимальный объем смешиваемой воды: 999,9 л</li>
<li>Диаметр водопроводной трубы на входе: 1/2”</li>
<li>Подключение выхода воды: 16 мм</li>
<li>Погрешность температуры дозирования: ± 1,5 °С</li>
<li>Погрешность дозирования воды (от 5 л) ±1,0 %</li>
<li>Минимальное давление воды на входе: 2 бар</li>
<li>Максимальное давление воды на входе: 5 бар</li>
<li>Максимальное соотношение давления воды между входами: 1:5</li>
<li>Скорость набора дозы при давлении 5 бар и температуре 20 °С: 35 л/мин.</li>
<li>Скорость набора дозы при давлении 2,5 бар и температуре 20 °С: 15 л/мин.</li>
</ul>",354113,дозатор-смеситель,220 В,0.025 кВт,,,,,,,0,,101064,,Россия,Россия,,
https://cdn.entero.ru/mp@2x/34/35/34351541280b9afdb3d57af20dc1974a.jpg,Дозатор воды Техарс Волна 1.0,Дозатор воды Техарс Волна 1.0,92000,RUB,Да,,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/354119,"<p>Дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/354119"">Техарс Волна 1.0</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для дозированной подачи воды оптимальной температуры, предназначенной для производства теста.</p>

<p>В комплект поставки входит шланг с U-образной трубой из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровой светодиодный дисплей, отображающий количество и температуру воды</li>
<li>Электромагнитный клапан для управления потоков воды</li>
<li>Автоматически отмеряет заданную дозу воды и измеряет её температуру</li>
<li>Ручная регулировка температуры воды осуществляется поворотом ручки блока смешивания в месте соединения двух трубопроводов</li>
<li>Регулирует температуру, за счет смешивания горячей воды с холодной</li>
<li>4 кнопки клавиатуры:
<ul>
<li>Задание размера дозы</li>
<li>Управление циклом дозирования</li>
<li>START</li>
<li>STOP</li>
</ul>
</li>
<li>Запоминает последнюю установку для последующего повторения без перепрограммирования</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры воды на выходе: от 5 до 60 °С</li>
<li>Максимальная температура воды на входе дозатора: 60 °С</li>
<li>Количество выходов смесителя: 1</li>
<li>Максимальный объем смешиваемой воды: 999,9 л</li>
<li>Диаметр водопроводной трубы на входе: 1/2”</li>
<li>Подключение выхода воды: 16 мм</li>
<li>Погрешность температуры дозирования: ± 1,5 °С</li>
<li>Погрешность дозирования воды (от 5 л) ±1,0 %</li>
<li>Минимальное давление воды на входе: 2 бар</li>
<li>Максимальное давление воды на входе: 5 бар</li>
<li>Максимальное соотношение давления воды между входами: 1:5</li>
<li>Скорость набора дозы при давлении 5 бар и температуре 20 °С: 35 л/мин.</li>
<li>Скорость набора дозы при давлении 2,5 бар и температуре 20 °С: 15 л/мин.</li>
</ul>",354119,дозатор,220 В,0.025 кВт,,,,,,,0,,,,Россия,Россия,,
https://cdn.entero.ru/mp@2x/a5/f5/a5f58fb6359b01e3f1d0efee2da2ec87.jpg,Дозатор-смеситель воды WLBake WDM 25 ECO,Дозатор-смеситель воды WLBake WDM 25 ECO,175650,RUB,Да,WLBake,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/88805,"<p>Дозатор-смеситель воды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88805"">WLBake WDM 25 ECO</a></b> используется на предприятиях пищевой промышленности и общественного питания, в пекарнях и кондитерских для смешивания и дозирования воды, поступающей с разных источников.</p>

<p>В комплект поставки входят шланг и фитинги.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон смешивания: от 2 до 50 °С</li>
<li>Диаметр входной трубы: 1/2""</li>
<li>Максимальное давление воды: 10 бар</li>
</ul>",88805,дозатор-смеситель,,0.025 кВт,220 мм,160 мм,120 мм,,,,13,,,5 кг,Италия,Италия,50 л/мин.,
https://cdn.entero.ru/mp@2x/f2/dc/f2dc5888fb7b0ad2c8c0369da8201038.jpg;https://cdn.entero.ru/mp@2x/d3/9b/d39be5ac684ea76ab5792f0d3b67a212.jpg;https://cdn.entero.ru/mp@2x/56/0e/560e4baa4244b9bd197e411306cf4b0c.jpg,Дозатор-смеситель воды Sitep EASY MIX 30,Дозатор-смеситель воды Sitep EASY MIX 30,157214,RUB,Да,,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/374918,"<p>Дозатор-смеситель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374918"">Sitep EASY MIX 30</a> </b>используется на предприятиях общественного питания и торговли для регулировки количества и темперытуры воды, поступающей в дежу тестомеса. Модель оснащена внешним смесительным клапаном для регулировки температуры. Корпус выполнен из ABS-пластика, клеммы - из нержавеющей стали, сливной шланг - из пищевого пластика.</p>

<p>В комплект поставки входит шланг для подачи воды в дежу, крепежные элементы и крюк для фиксации в деже.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая подача заданного количества воды в дежу тестомеса</li>
<li>Интуитивно понятное управление:
<ul>
<li>Ручная регулировка температуры</li>
<li>Объём воды в литрах задаётся стрелками </li>
<li>Отображение параметров температуры и объёма воды на дисплее</li>
</ul>
</li>
<li>Дозирование воды для экономии времени</li>
<li>Два входа воды - для горячей и холодной, один выход для смешанной воды</li>
<li>Вихревая технология Vortex:
<ul>
<li>Минимальное препятствие потоку</li>
<li>Низкий перепад давления</li>
<li>Твердотельный датчик расхода воды без подвижных частей, что гарантирует отсутствие механического износа</li>
<li>Прочный армированный стекловолокном пластик обеспечивает высочайшую прочность и производительность</li>
<li>Герметичный пьезокерамический датчик для обнаружения вихрей</li>
<li>Защищенный от влаги и механических нагрузок встроенный датчик температуры</li>
<li>Точность с погрешностью ниже 1%</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура на входе: 65 °C</li>
<li>Точность дозировки: +/-1%</li>
<li>Рабочее давление в водопроводной сети: 0,5-5 бар</li>
</ul>",374918,дозатор-смеситель,220 В,0.14 кВт,260 мм,100 мм,200 мм,3 кг,,,0,,170885,,Италия,Италия,от 20 до 30 л/мин.,
https://cdn.entero.ru/mp@2x/b0/cc/b0ccd41e0915170c418d2b3e8b2359ce.jpg;https://cdn.entero.ru/mp@2x/a1/64/a164d5b1bbf1662a219d2969e26e1ea1.jpg;https://cdn.entero.ru/mp@2x/38/9b/389b96e06e5e70756da0c97f08b19ab0.jpg,Водоохладитель Porlanmaz Bakery Machinery PML-X900,Водоохладитель Porlanmaz Bakery Machinery PML-X900,0,RUB,Нет,,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/236564,"<p>Водоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/236564""><b class=""b"">Porlanmaz Bakery Machinery PML-X900</b></a> используется при производстве теста с охлажденной водой на небольших предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления с микроскопическим термостатом. Оборудование полностью выполнено из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Поддерживает установленную температуру</li>
<li>Система охлаждения расположена снаружи цистерны и не контактирует с водой</li>
<li>Гигиеничность</li>
<li>Низкое энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота: 50 Гц</li>
<li>Температура охлаждения: до 1,5 °С</li>
<li>Электрическая мощность компрессора (герметический): 1,5 кВт</li>
<li>Размер устройства для подключения воды</li>
<li>Вход / выход: 1/2"" / 3/4""</li>
<li>Разряд / перелив: 1/2"" / 3/4""</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",236564,водоохладитель,380 В,1.5 кВт,1100 мм,1100 мм,2050 мм,,,,0,https://entero.ru/manuals/285894/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PML-X900.pdf,,255 кг,,Турция,2.67 л/мин.,900 л
https://cdn.entero.ru/mp@2x/c8/03/c8032247a460ab892c7e0f0e92db2739.jpg;https://cdn.entero.ru/mp@2x/54/87/5487fdf4cc941d2b1bfb5aec58b4b0df.jpg;https://cdn.entero.ru/mp@2x/2d/d9/2dd9adbed79371bb26edd1a616f5ac6d.jpg,Водоохладитель Porlanmaz Bakery Machinery PMSI-400,Водоохладитель Porlanmaz Bakery Machinery PMSI-400,0,RUB,Нет,,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/236566,"<p>Водоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/236566""><b class=""b"">Porlanmaz Bakery Machinery PMSI-400</b></a> используется при производстве теста с охлажденной водой на небольших предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления с микроскопическим термостатом. Оборудование полностью выполнено из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Поддерживает установленную температуру</li>
<li>Система охлаждения расположена снаружи цистерны и не контактирует с водой</li>
<li>Гигиеничность</li>
<li>Низкое энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота: 50 Гц</li>
<li>Температура охлаждения: до 1,5 °С</li>
<li>Электрическая мощность компрессора (герметический): 5,25 кВт</li>
<li>Размер устройства для подключения воды
<ul>
<li>Вход / выход: 1/2"" / 3/4""</li>
<li>Разряд / перелив: 3/4"" / 3/4""</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",236566,водоохладитель,380 В,5.25 кВт,1280 мм,2100 мм,1780 мм,,,,0,https://entero.ru/manuals/285910/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMSI-400.pdf,,660 кг,,Турция,6.67 л/мин.,900 л
https://cdn.entero.ru/mp@2x/7d/db/7ddb002eec2ddc17b6260ce16561735b.jpg;https://cdn.entero.ru/mp@2x/ba/25/ba2575e40bd1268cba23166c409c6a33.jpg;https://cdn.entero.ru/mp@2x/6b/e2/6be2bff82abd715cefb5864eb96c9859.jpg,Водоохладитель Porlanmaz Bakery Machinery PMSI-450,Водоохладитель Porlanmaz Bakery Machinery PMSI-450,0,RUB,Нет,,Профоборудование,Хлебопекарное,Дозаторы и охладители воды,https://entero.ru/item/236570,"<p>Водоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/236570""><b class=""b"">Porlanmaz Bakery Machinery PMSI-450</b></a> используется при производстве теста с охлажденной водой на небольших предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления с микроскопическим термостатом. Оборудование полностью выполнено из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Поддерживает установленную температуру</li>
<li>Система охлаждения расположена снаружи цистерны и не контактирует с водой</li>
<li>Гигиеничность</li>
<li>Низкое энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота: 50 Гц</li>
<li>Температура охлаждения: до 1,5 °С</li>
<li>Электрическая мощность компрессора (герметический): 6 кВт</li>
<li>Размер устройства для подключения воды
<ul>
<li>Вход / выход: 1/2"" / 3/4""</li>
<li>Разряд / перелив: 3/4"" / 3/4""</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",236570,водоохладитель,380 В,6 кВт,1280 мм,2100 мм,1780 мм,,,,0,https://entero.ru/manuals/285909/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMSI-450.pdf,,665 кг,,Турция,7.5 л/мин.,900 л
