Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Привод,Ширина теста,Толщина теста
https://cdn.entero.ru/mp@2x/fc/4c/fc4c0d4151149ad251b6a62e9f3f7717.jpg,Лапшерезка Imperia (La Monferrina) iPasta Electric 650,650 / iPasta ELECTRIC/ 650 / 94872,15668,RUB,Да,Imperia (La Monferrina),Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/32592,"<p>Лапшерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32592""><b class=""b"">Imperia iPasta Electric 650</b></a> используется на предприятиях общественного питания и в домашних условиях для раскатки и нарезки теста, предназначенного для приготовления лапши. Конструкция выполнена из хромированной стали, шестерни - из закаленной стали.</p>

<p>В комплект поставки входят насадка <a href=""https://entero.ru/item/114253"">Duplex 217</a> и съемный электропривод <a href=""https://entero.ru/item/114213"">Pasta Facile 600</a>, который позволяет оператору работать обеими руками и получать на выходе однородный пласт теста, так как скорость роликов постоянная.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регуляторы толщины раскатки с 6 положениями</li>
<li>Гладкий вал для тестораскатки не цепляет и не рвет тесто</li>
<li>Самосмазывающиеся оси и втулки</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка для спагетти <a href=""https://entero.ru/item/114272"">Simplex 275</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/114273"">Simplex 274</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/114274"">Simplex 230</a></li>
<li>Насадка для тальятелле <a href=""https://entero.ru/item/114281"">Simplex 240</a></li>
<li>Насадка для феттуччине <a href=""https://entero.ru/item/114283"">Simplex 260</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/114284"">Simplex 270</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/114286"">Simplex 276</a></li>
<li>Насадка для паппарделле <a href=""https://entero.ru/item/114289"">Simplex 277</a></li>
<li>Насадка для ньокки / кавателли / ригателли <a href=""https://entero.ru/item/114227"">Mille Gnocchi 450</a></li>
<li>Насадка для равиоли <a href=""https://entero.ru/item/114218"">Ravioli Maker 410</a></li>
<li>Насадка для равиоли <a href=""https://entero.ru/item/114224"">Ravioli Maker 400</a></li>
<li>Двойная насадка для капеллини и тренетте <a href=""https://entero.ru/item/114239"">Duplex 200</a></li>
<li>Двойная насадка для капеллини и феттуччине <a href=""https://entero.ru/item/114246"">Duplex 205</a></li>
<li>Двойная насадка для капеллини и лазанетте <a href=""https://entero.ru/item/114249"">Duplex 209</a></li>
<li>Двойная насадка для тальятелле и тренетте <a href=""https://entero.ru/item/114251"">Duplex 213</a></li>
<li>Двойная насадка для тальятелле и феттуччине <a href=""https://entero.ru/item/114253"">Duplex 217</a></li>
<li>Двойная насадка для тренетте и лазанетте <a href=""https://entero.ru/item/114185"">Duplex 221 </a></li>
<li>Двойная насадка для тренетте и спагетти <a href=""https://entero.ru/item/114260"">Duplex 225</a></li>
<li>Двойная насадка для лазанетте и спагетти <a href=""https://entero.ru/item/114262"">Duplex 227</a></li>
<li>Двойная насадка для рeджинетте <a href=""https://entero.ru/item/114263"">Duplex 229</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114170"">Raviolamp 310</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114178"">Raviolamp 314</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114181"">Raviolamp 317</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114211"">Raviolamp 318</a></li>
<li>Сушилка для лапши <a href=""https://entero.ru/item/114105"">Stendipasta 540</a></li>
</ul>",32592,220 В,0.08 кВт,205 мм,185 мм,145 мм,3.8 кг,Италия,1,305x285x295 мм,0,https://entero.ru/manuals/34902/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Imperia%20iPasta%20Electric%20650%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/34903/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Imperia%20iPasta%20Electric%20650%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,16668,,3.2 кг,электрический,150 мм,от 0.2 до 2.2 мм
https://cdn.entero.ru/mp@2x/30/bf/30bf744d8fceccea259861895385f7ae.jpg,Набор для приготовления лапши Imperia (La Monferrina) La Fabbrica Della Pasta 501,94876 / Фабрика Пасты 501 La Fabbrica Della Pasta,18219,RUB,Да,Imperia (La Monferrina),Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/32598,"<p>Набор для приготовления лапши​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32598""><b class=""b"">Imperia La Fabbrica Della Pasta 501</b></a> используется на предприятиях общественного питания и в домашних условиях для раскатки и нарезки теста, предназначенного для приготовления лапши и равиоли. Конструкция выполнена из хромированной стали, шестерни - из закаленной стали.</p>

<p><b>Комплектация: </b></p>

<ul>
<li>
<p>Тестораскатывающая машина с механическим приводом (ручная)</p>
</li>
<li>Двойная насадка для лазанетте и спагетти <a href=""https://entero.ru/item/114262"">Duplex 227</a></li>
<li>Двойная насадка для тальятелле и феттуччине <a href=""https://entero.ru/item/114253"">Duplex 217</a></li>
<li>Форма для равиолли 350</li>
<li>Скалка 450</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Регуляторы толщины раскатки с 6 положениями</li>
<li>Гладкий вал для тестораскатки не цепляет и не рвет тесто</li>
<li>Самосмазывающиеся оси и втулки</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Габариты лапшерезки: 205х180х130 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Электропривод <a href=""https://entero.ru/item/114213"">Pasta Facile 600</a></li>
<li>Насадка для спагетти <a href=""https://entero.ru/item/114272"">Simplex 275</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/114273"">Simplex 274</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/114274"">Simplex 230</a></li>
<li>Насадка для тальятелле <a href=""https://entero.ru/item/114281"">Simplex 240</a></li>
<li>Насадка для феттуччине <a href=""https://entero.ru/item/114283"">Simplex 260</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/114284"">Simplex 270</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/114286"">Simplex 276</a></li>
<li>Насадка для паппарделле <a href=""https://entero.ru/item/114289"">Simplex 277</a></li>
<li>Насадка для ньокки / кавателли / ригателли <a href=""https://entero.ru/item/114227"">Mille Gnocchi 450</a></li>
<li>Насадка для равиоли <a href=""https://entero.ru/item/114218"">Ravioli Maker 410</a></li>
<li>Насадка для равиоли <a href=""https://entero.ru/item/114224"">Ravioli Maker 400</a></li>
<li>Двойная насадка для капеллини и тренетте <a href=""https://entero.ru/item/114239"">Duplex 200</a></li>
<li>Двойная насадка для капеллини и феттуччине <a href=""https://entero.ru/item/114246"">Duplex 205</a></li>
<li>Двойная насадка для капеллини и лазанетте <a href=""https://entero.ru/item/114249"">Duplex 209</a></li>
<li>Двойная насадка для тальятелле и тренетте <a href=""https://entero.ru/item/114251"">Duplex 213</a></li>
<li>Двойная насадка для тальятелле и феттуччине <a href=""https://entero.ru/item/114253"">Duplex 217</a></li>
<li>Двойная насадка для тренетте и лазанетте <a href=""https://entero.ru/item/114185"">Duplex 221 </a></li>
<li>Двойная насадка для тренетте и спагетти <a href=""https://entero.ru/item/114260"">Duplex 225</a></li>
<li>Двойная насадка для лазанетте и спагетти <a href=""https://entero.ru/item/114262"">Duplex 227</a></li>
<li>Двойная насадка для рeджинетте <a href=""https://entero.ru/item/114263"">Duplex 229</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114170"">Raviolamp 310</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114178"">Raviolamp 314</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114181"">Raviolamp 317</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114211"">Raviolamp 318</a></li>
<li>Сушилка для лапши <a href=""https://entero.ru/item/114105"">Stendipasta 540</a></li>
</ul>",32598,,,205 мм,160 мм,185 мм,8.2 кг,Италия,1,400x300x300 мм,0,,,,6.84 кг,ручной,150 мм,от 0.2 до 2.2 мм
https://cdn.entero.ru/mp@2x/da/ba/daba52e615f46c9815c814f32c484a70.jpg,Тестораскатка-лапшерезка Hurakan HKN-NM220H,217450,18123,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/130190,"<p>​Тестораскатка-лапшерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130190"">Hurakan HKN-NM220H</a></b> предназначена для раскатки теста в пласты, производства пасты и других видов макаронных изделий, также подходит и для вязкого теста. Корпус выполнен из красшеного металла, нож - из металла с защитным покрытием, ролики - из нержавеющей стали. </p>

<p>Аппарат может использоваться только в повторно-кратковременном режиме с длительностью рабочего цикла не более 15 минут, далее необходима технологическая пауза продолжительностью не менее 15 минут.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина ножа: 3 / 9 мм</li>
<li>Габариты в упаковке: 395х425х330 мм</li>
</ul>",130190,220 В,0.55 кВт,370 мм,390 мм,440 мм,22.7 кг,Китай,1,395x425x330 мм,48,https://entero.ru/manuals/416893/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-NM220H.pdf;https://entero.ru/manuals/416894/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-NM220H.pdf;https://entero.ru/manuals/337614/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,19699,,20 кг,электрический,220 мм,от 1 до 4 мм
https://cdn.entero.ru/mp@2x/da/80/da8051f0b5a96ce2b440722587072af3.jpg;https://cdn.entero.ru/mp@2x/95/f0/95f0082a52e250166de32a1452c23d3f.jpg;https://cdn.entero.ru/mp@2x/77/f1/77f14f3409da11fe5e08f4d7d1b29ce7.jpg;https://cdn.entero.ru/mp@2x/e5/9d/e59d5ce66ad1f04b124ac563a8868fc7.jpg;https://cdn.entero.ru/mp@2x/9f/9c/9f9c725203f7eac2fc8604930fd464f1.jpg,Лапшерезка Imperia (La Monferrina) Pasta Presto 700,94869,29204,RUB,Да,Imperia (La Monferrina),Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/91464,"<p>Лапшерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91464""><b class=""b"">Imperia Pasta Presto 700</b></a> используется на предприятиях общественного питания и в домашних условиях для раскатки и нарезки теста, предназначенного для приготовления лапши. Модель оснащена мощным электродвигателем.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регуляторы толщины раскатки с 6 положениями</li>
<li>Гладкий вал для тестораскатки не цепляет и не рвет тесто</li>
<li>Самосмазывающиеся оси и втулки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения: 60 об/мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка для спагетти <a href=""https://entero.ru/item/114272"">Simplex 275</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/114273"">Simplex 274</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/114274"">Simplex 230</a></li>
<li>Насадка для тальятелле <a href=""https://entero.ru/item/114281"">Simplex 240</a></li>
<li>Насадка для феттуччине <a href=""https://entero.ru/item/114283"">Simplex 260</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/114284"">Simplex 270</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/114286"">Simplex 276</a></li>
<li>Насадка для паппарделле <a href=""https://entero.ru/item/114289"">Simplex 277</a></li>
<li>Насадка для ньокки / кавателли / ригателли <a href=""https://entero.ru/item/114227"">Mille Gnocchi 450</a></li>
<li>Насадка для равиоли <a href=""https://entero.ru/item/114218"">Ravioli Maker 410</a></li>
<li>Насадка для равиоли <a href=""https://entero.ru/item/114224"">Ravioli Maker 400</a></li>
<li>Двойная насадка для капеллини и тренетте <a href=""https://entero.ru/item/114239"">Duplex 200</a></li>
<li>Двойная насадка для капеллини и феттуччине <a href=""https://entero.ru/item/114246"">Duplex 205</a></li>
<li>Двойная насадка для капеллини и лазанетте <a href=""https://entero.ru/item/114249"">Duplex 209</a></li>
<li>Двойная насадка для тальятелле и тренетте <a href=""https://entero.ru/item/114251"">Duplex 213</a></li>
<li>Двойная насадка для тальятелле и феттуччине <a href=""https://entero.ru/item/114253"">Duplex 217</a></li>
<li>Двойная насадка для тренетте и лазанетте <a href=""https://entero.ru/item/114185"">Duplex 221 </a></li>
<li>Двойная насадка для тренетте и спагетти <a href=""https://entero.ru/item/114260"">Duplex 225</a></li>
<li>Двойная насадка для лазанетте и спагетти <a href=""https://entero.ru/item/114262"">Duplex 227</a></li>
<li>Двойная насадка для рeджинетте <a href=""https://entero.ru/item/114263"">Duplex 229</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114170"">Raviolamp 310</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114178"">Raviolamp 314</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114181"">Raviolamp 317</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114211"">Raviolamp 318</a></li>
<li>Сушилка для лапши <a href=""https://entero.ru/item/114105"">Stendipasta 540</a></li>
</ul>",91464,220 В,0.08 кВт,290 мм,230 мм,280 мм,8 кг,Италия,1,330x340x350 мм,0,https://entero.ru/manuals/123434/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Imperia%20Pasta%20Presto%20700%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/123433/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Imperia%20Pasta%20Presto%20700%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,30421,,6.7 кг,электрический,150 мм,от 0.2 до 2.2 мм
https://cdn.entero.ru/mp@2x/89/ec/89ec316b370257cf642027800d823e3d.jpg,Лапшерезка Imperia (La Monferrina) Titania 190,TITANIA iPasta T2/4/ 190 / 94873,7377,RUB,Да,Imperia (La Monferrina),Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/38946,"<p>Лапшерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/38946""><b class=""b"">Imperia Titania 190</b></a> используется на предприятиях общественного питания и в домашних условиях для раскатки и нарезки теста, предназначенного для приготовления лапши. Модель оснащена 2 встроенными насадками для резки: для лапши тальятелле шириной 2 мм и феттуччине шириной 6,5 мм. Конструкция выполнена из хромированной стали, шестерни - из закаленной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регуляторы толщины раскатки с 6 положениями</li>
<li>Гладкий вал для тестораскатки не цепляет и не рвет тесто</li>
<li>Самосмазывающиеся оси и втулки</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Электропривод <a href=""https://entero.ru/item/114213"">Pasta Facile 600</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114170"">Raviolamp 310</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114178"">Raviolamp 314</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114181"">Raviolamp 317</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114211"">Raviolamp 318</a></li>
<li>Сушилка для лапши <a href=""https://entero.ru/item/114105"">Stendipasta 540</a></li>
</ul>",38946,,,195 мм,173 мм,145 мм,3.3 кг,Италия,1,186x230x155 мм,0,https://entero.ru/manuals/34900/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Imperia%20Titania%20190%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/34901/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Imperia%20Titania%20190%20%28%D0%B8%D1%82%D0%B0%D0%BB.%29.pdf,,,2.9 кг,ручной,150 мм,от 0.2 до 2.2 мм
https://cdn.entero.ru/mp@2x/fe/58/fe589bf04ed48e95f3993566a9a3c262.jpg,Тестораскатка-лапшерезка Crazy Pan CP-DSH240L (БЕЗ НОЖА),Тестораскатка-лапшерезка Crazy Pan CP-DSH240L (БЕЗ НОЖА),17114,RUB,Да,,Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/279136,"<p>Тестораскатка-лапшерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/279136""><b class=""b"">Crazy Pan CP-DSH240L </b></a>используется на предприятиях общественного питания и торговли для раскатки и нарезки теста, предназначенного для приготовления лапши, чебуреков, пельменей, мантов, хинкали и пирожков. Модель оснащена двигателем с медной обмоткой, что продлевает ее срок эксплуатации и увеличивает производительность. Корпус выполнен из пластика.</p>

<p><b class=""o"">Нож в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 340x440x410 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",279136,220 В,0.75 кВт,425 мм,330 мм,383 мм,22 кг,Китай,1,340x440x410 мм,0,,,,20 кг,электрический,240 мм,от 1 до 4 мм
https://cdn.entero.ru/mp@2x/28/6b/286b730a253ae3031df2182d305cf93b.jpg;https://cdn.entero.ru/mp@2x/79/40/7940afd4389696abd0b281fd631e3dff.jpg;https://cdn.entero.ru/mp@2x/c3/46/c346e9f8ae45d0416a108858ee746f0b.jpg;https://cdn.entero.ru/mp@2x/e8/d4/e8d4aae3c52ff138ea343810bd00ec25.jpg;https://cdn.entero.ru/mp@2x/a2/17/a2175d109af41aa0f1400d7408cabbe7.jpg,Лапшерезка Imperia (La Monferrina) Pasta Presto silver grey 4700,Лапшерезка Imperia (La Monferrina) Pasta Presto silver grey 4700,35079,RUB,Да,Imperia (La Monferrina),Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/358689,"<p>Лапшерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358689""><b class=""b"">Imperia Pasta Presto silver grey 4700</b></a> используется на предприятиях общественного питания и в домашних условиях для раскатки и нарезки теста, предназначенного для приготовления лапши. Модель оснащена мощным электродвигателем и 6 уровнями регулировки толщины раскатываемого теста. Корпус выполнен из хромированной стали.</p>

<p>В комплект поставки входят ролики для нарезки Tagliatelle толщиной 2 мм и Fettuccine толщиной 6,5 мм.</p>",358689,220 В,0.09 кВт,290 мм,230 мм,280 мм,8 кг,Италия,1,230x300x280 мм,0,,37719,,6.7 кг,электрический,150 мм,от 0.2 до 2.2 мм
https://cdn.entero.ru/mp@2x/27/75/277560556da27de22638aa3c852325ad.jpg;https://cdn.entero.ru/mp@2x/79/4d/794deefa4cb0beb55ce4593936eb9aef.jpg;https://cdn.entero.ru/mp@2x/b9/1f/b91f60e5c8900929adb16a10810a7019.jpg,Лапшерезка Imperia (La Monferrina) iPasta 100,94871 / IPASTA 100,9354,RUB,Да,Imperia (La Monferrina),Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/113949,"<p>Лапшерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/113949""><b class=""b"">Imperia iPasta 100</b></a> используется на предприятиях общественного питания и в домашних условиях для раскатки и нарезки теста, предназначенного для приготовления лапши. Конструкция выполнена из хромированной стали, шестерни - из закаленной стали.</p>

<p>В комплект поставки входит двойная насадка для тальятелле и феттуччине <a href=""https://entero.ru/item/114253"">Duplex 217</a>.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регуляторы толщины раскатки с 6 положениями</li>
<li>Гладкий вал для тестораскатки не цепляет и не рвет тесто</li>
<li>Самосмазывающиеся оси и втулки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: нержавеющая сталь</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Электропривод <a href=""https://entero.ru/item/114213"">Pasta Facile 600</a></li>
<li>Насадка для спагетти <a href=""https://entero.ru/item/114272"">Simplex 275</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/114273"">Simplex 274</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/114274"">Simplex 230</a></li>
<li>Насадка для тальятелле <a href=""https://entero.ru/item/114281"">Simplex 240</a></li>
<li>Насадка для феттуччине <a href=""https://entero.ru/item/114283"">Simplex 260</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/114284"">Simplex 270</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/114286"">Simplex 276</a></li>
<li>Насадка для паппарделле <a href=""https://entero.ru/item/114289"">Simplex 277</a></li>
<li>Насадка для ньокки / кавателли / ригателли <a href=""https://entero.ru/item/114227"">Mille Gnocchi 450</a></li>
<li>Насадка для равиоли <a href=""https://entero.ru/item/114218"">Ravioli Maker 410</a></li>
<li>Насадка для равиоли <a href=""https://entero.ru/item/114224"">Ravioli Maker 400</a></li>
<li>Двойная насадка для капеллини и тренетте <a href=""https://entero.ru/item/114239"">Duplex 200</a></li>
<li>Двойная насадка для капеллини и феттуччине <a href=""https://entero.ru/item/114246"">Duplex 205</a></li>
<li>Двойная насадка для капеллини и лазанетте <a href=""https://entero.ru/item/114249"">Duplex 209</a></li>
<li>Двойная насадка для тальятелле и тренетте <a href=""https://entero.ru/item/114251"">Duplex 213</a></li>
<li>Двойная насадка для тальятелле и феттуччине <a href=""https://entero.ru/item/114253"">Duplex 217</a></li>
<li>Двойная насадка для тренетте и лазанетте <a href=""https://entero.ru/item/114185"">Duplex 221 </a></li>
<li>Двойная насадка для тренетте и спагетти <a href=""https://entero.ru/item/114260"">Duplex 225</a></li>
<li>Двойная насадка для лазанетте и спагетти <a href=""https://entero.ru/item/114262"">Duplex 227</a></li>
<li>Двойная насадка для рeджинетте <a href=""https://entero.ru/item/114263"">Duplex 229</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114170"">Raviolamp 310</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114178"">Raviolamp 314</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114181"">Raviolamp 317</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114211"">Raviolamp 318</a></li>
<li>Сушилка для лапши <a href=""https://entero.ru/item/114105"">Stendipasta 540</a></li>
</ul>",113949,,,205 мм,185 мм,175 мм,3.78 кг,Италия,1,215x192x182 мм,0,,,,2.87 кг,ручной,150 мм,от 0.2 до 2.2 мм
https://cdn.entero.ru/mp@2x/f5/cb/f5cb33d7f2152acd2848c8d3254d6d58.jpg;https://cdn.entero.ru/mp@2x/ac/4a/ac4aa0676a8985d1f012435c25313bcd.jpg,Тестораскатка-лапшерезка Hurakan HKN-NM200J,217448,12547,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/130161,"<p>​Тестораскатка-лапшерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130161"">Hurakan HKN-NM200J</a></b> предназначена для раскатки теста в пласты, производства пасты и других видов макаронных изделий, также подходит и для вязкого теста. Корпус выполнен из красшеного металла, ролики и нож - из металла с защитным покрытием. </p>

<p>Аппарат может использоваться только в повторно-кратковременном режиме с длительностью рабочего цикла не более 15 минут, далее необходима технологическая пауза продолжительностью не менее 15 минут.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина ножа: 2 / 4 мм</li>
<li>Габариты в упаковке: 315х380х310 мм</li>
</ul>",130161,220 В,0.37 кВт,348 мм,305 мм,385 мм,18.2 кг,Китай,1,400x330x350 мм,17,https://entero.ru/manuals/416887/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-NM200J.pdf;https://entero.ru/manuals/416888/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-NM200J.pdf;https://entero.ru/manuals/337622/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,16.2 кг,электрический,200 мм,от 1 до 4 мм
https://cdn.entero.ru/mp@2x/2a/c4/2ac49371e7fa89b148b5a5c9b7ea82c7.jpg,Тестораскатка-лапшерезка Hurakan HKN-NM300ZF,217452,37445,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Лапшерезки,https://entero.ru/item/130196,"<p>​Тестораскатка-лапшерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130196"">Hurakan HKN-NM300ZF</a></b> предназначена для раскатки теста в пласты, производства пасты и других видов макаронных изделий, также подходит и для вязкого теста. Корпус выполнен из крашеного металла, нож и ролики - из металла с защитным покрытием. </p>

<p>Аппарат может использоваться только в повторно-кратковременном режиме с длительностью рабочего цикла не более 30 минут.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина ножа: 3 / 9 мм</li>
<li>Габариты в упаковке: 910х570х410 мм</li>
</ul>",130196,220 В,1.5 кВт,500 мм,770 мм,1085 мм,91 кг,Китай,1,910x570x410 мм,0,https://entero.ru/manuals/416895/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-NM300ZF.pdf;https://entero.ru/manuals/416896/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-NM300ZF.pdf;https://entero.ru/manuals/337612/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Hurakan.pdf,39835,,70.6 кг,электрический,300 мм,от 1 до 4 мм
