Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Загрузка теста,Объём бункера,Диаметр фильеры
https://cdn.entero.ru/mp@2x/cf/85/cf85f5bc27c3b6aac7ad6454464a4f15.jpg;https://cdn.entero.ru/mp@2x/0b/38/0b38d9fc9d64d5ad5e0d2c7e3dc3cdeb.jpg;https://cdn.entero.ru/mp@2x/18/2b/182bb78c83037233cb828dcc8841226c.jpg;https://cdn.entero.ru/mp@2x/49/37/4937bdb1c05971e922fe4378a79bd740.jpg;https://cdn.entero.ru/mp@2x/be/3c/be3c443bc731bcc85849c377de8ff113.jpg;https://cdn.entero.ru/mp@2x/14/5b/145b1787fcce798e3fab97102e6b0d46.jpg,Машина для пасты Sirman Concerto 5,Машина для пасты Sirman Concerto 5,233302,RUB,Да,Sirman,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/75555,"<p>Машина для пасты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/75555"">Sirman Concerto 5</a></b> используется на предприятиях общественного питания и торговли для замешивания и выдавливания теста, а также для формирования его в виде различных макаронных изделий. Модель оснащена крышкой и удобной съемной воронкой для добавления жидких ингредиентов. Корпус выполнен из нержавеющей стали AISI 304, чаша - из анодированного алюминия.</p>

<p><span style=""color:#ff0000;"">Формы в комплект поставки не ходят и приобретаются отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощный двигатель с шестеренчатым редуктором, погруженным вв масляную ванну</li>
<li>Система принудительной вентиляции с таймером</li>
<li>Блокировка крышки во время работы</li>
<li>Степень защиты кнопок: IP 67</li>
<li>Съемные чаша и месильный инструмент</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота с поднятой крышкой: 630 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Электромеханический нож с переменной скоростью для изготовления короткой пасты</li>
<li>Формы для разных видов пасты</li>
</ul>",75555,220 В,0.75 кВт,305 мм,655 мм,457 мм,50 кг,Италия,1,580x750x800 мм,0,https://entero.ru/manuals/418841/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20Concerto%205.pdf;https://entero.ru/manuals/420007/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/418842/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,243023,https://vk.com/video_ext.php?oid=-177656185&id=456239533&hd=2&autoplay=0,42 кг,8.4 кг/час,4.2 кг,10 л,75 мм
https://cdn.entero.ru/mp@2x/e2/19/e219e3f383e652f9008cb79e5c0fb6a5.jpg;https://cdn.entero.ru/mp@2x/f5/75/f575089d8f5c582117f1146d6eb7a2c7.jpg;https://cdn.entero.ru/mp@2x/30/b7/30b75b84a26e10384118ca55fe3e9552.jpg;https://cdn.entero.ru/mp@2x/4c/7c/4c7ce0c2370f3c5a1eeb4a2611bbeb5f.jpg;https://cdn.entero.ru/mp@2x/56/c5/56c5c60079c8cb1edd5ad809c0b8ef51.jpg;https://cdn.entero.ru/mp@2x/fe/e7/fee7b09632f0581b6a09c3b7b31ea46f.jpg,Экструдер для производства макаронных изделий Kocateq OMJ2 with cutter c тестомесом на 2.5 кг и ножом автоподрезки,Экструдер для производства макаронных изделий Kocateq OMJ2 with cutter c тестомесом на 2.5 кг и ножом автоподрезки,154191,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/346343,"<p>Экструдер для производства макаронных изделий <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346343""><b class=""b"">Kocateq OMJ2 with cutter </b></a> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Модель оснащена сенсорной панелью управления. Поверхности, контактирующие с продуктами питания выполнены из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят нож автоподрезки <a href=""https://entero.ru/item/228421"">OMJ2 Cutter</a> , 5 фильер из алюминия с бронзовым покрытием для приготовления Spaghetti шириной 1 и 1,5 мм, Tagliolini 1,5*1 мм, Tagliatelle 4,5*1 мм, листа теста Lasagne шириной до 170 мм, мерный стакан, ключ для простой замены фильер.</p>

<p><b><em><span style=""color:#FF0000;"">Внимание! Экструдер продается только в комплекте с ножом автоподрезки <a href=""https://entero.ru/item/228421"" target=""_blank"">OMJ 2 Cutter</a></span></em></b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая блокировка после 10 секунд простоя</li>
<li>Защита от перегрузки</li>
<li>Совместимость с фильерами диаметром 59 мм от модели Imperia and La Monferrina Dolly</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 6 до 12 кг/час</li>
<li>Количество теста: 2,5 кг</li>
<li>Габариты в упаковке: 310х520х480 мм</li>
</ul>",346343,220 В,0.35 кВт,223 мм,445 мм,393 мм,,Ю. Корея,,,0,https://entero.ru/manuals/424612/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/424613/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20OMJ2.docx,,,32 кг,от 6 до 12 кг/час,2.5 кг,,59 мм
https://cdn.entero.ru/mp@2x/c2/76/c276a25ac0103f5fa27e100e6fa9d160.jpg;https://cdn.entero.ru/mp@2x/08/12/08124b7fcb9119bf3bb9f7f36d2f204d.jpg,Экструдер для производства макаронных изделий Hurakan HKN-PM6,170167,14261,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/93566,"<p>Экструдер для производства макаронных изделий <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93566""><b class=""b"">Hurakan HKN-PM6</b></a> используется на предприятиях общественного питания и торговли. Модель оснащена электронной панелью управления и отсеком для хранения насадок.</p>

<p>В комплект поставки входят 10 насадок для приготовления различных видов макарон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическое приготовление макарон</li>
<li>Имитация ручного замеса</li>
<li>Контроль крутости замешиваемого теста</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество засыпаемой муки: от 160 до 640 гр</li>
<li>Количество заливаемой воды: от 60 до 200 мл</li>
<li>Время рабочего цикла: 10 мин.</li>
<li>Время отдыха между рабочими циклами: от 15 до 20 мин.</li>
</ul>",93566,220 В,0.3 кВт,190 мм,260 мм,380 мм,6 кг,Китай,1,440x300x350 мм,30,https://entero.ru/manuals/81112/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PM6.docx;https://entero.ru/manuals/414094/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PM6.pdf;https://entero.ru/manuals/414095/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453700/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PM6.pdf,15334,,5.2 кг,,,,
https://cdn.entero.ru/mp@2x/fc/2c/fc2cc03176c32ecebca179165afd22d4.jpg;https://cdn.entero.ru/mp@2x/db/9d/db9dc18c25c77495a2ebd6441c0f74a9.jpg,Машина для производства пасты Gustotek GT106,Машина для производства пасты Gustotek GT106,158200,RUB,Да,,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/127656,"<p>Машина для производства пасты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127656"">Gustotek GT106</a></b> используется на предприятиях общественного питания и торговли для замешивания и выдавливания теста, а также для формирования его в виде различных макаронных изделий. Дежа выполнена из нержавеющей стали AISI 304, корпус - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима замеса - простой и быстрый</li>
<li>Система передачи управляется колесно-зубчатым стальным моторедуктором</li>
<li>Емкость для замеса можно мыть в посудомоечной машине</li>
<li>Корпус со звукоизоляцией для снижения уровня шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 14 до 18 кг/час</li>
<li>Диаметр насадки: 57 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Изображение может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",127656,380 В,0.55 кВт,330 мм,520 мм,470 мм,,Италия,,,0,https://entero.ru/manuals/140085/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Gustotek%20GT106%20%28%D0%B8%D1%82%D0%B0%D0%BB.%29.pdf;https://entero.ru/manuals/310849/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gustotek%20GT106.pdf;https://entero.ru/manuals/477416/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Gustotek%20GT106.pdf;https://entero.ru/manuals/477418/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,164792,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241179&hash=1d0166cbfab26696,50 кг,от 14 до 18 кг/час,6 кг,,57 мм
https://cdn.entero.ru/mp@2x/b0/c4/b0c4505830fda2d20d207e4661594cbf.jpg;https://cdn.entero.ru/mp@2x/ad/fd/adfd7f2c9e4fc595dec964ca6e8255c5.jpg,Машина для производства пасты Gustotek GT108,Машина для производства пасты Gustotek GT108,169500,RUB,Да,,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/127658,"<p>Машина для производства пасты <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127658""><b class=""b"">Gustotek </b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127658""><b class=""b"">GT108 </b></a>используется на предприятиях общественного питания и торговли для замешивания и выдавливания теста, а также для формирования его в виде различных макаронных изделий. Дежа выполнена из нержавеющей стали AISI 304, корпус - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима замеса - простой и быстрый</li>
<li>Система передачи управляется колесно-зубчатым стальным моторедуктором</li>
<li>Емкость для замеса можно мыть в посудомоечной машине</li>
<li>Корпус со звукоизоляцией для снижения уровня шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 16 до 20 кг/час</li>
<li>Диаметр насадки: 57 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Изображение может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",127658,380 В,0.55 кВт,330 мм,620 мм,470 мм,,Италия,,,0,https://entero.ru/manuals/140086/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Gustotek%20GT108%20%28%D0%B8%D1%82%D0%B0%D0%BB.%29.pdf;https://entero.ru/manuals/310847/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gustotek%20GT108.pdf;https://entero.ru/manuals/477420/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Gustotek%20GT108.pdf;https://entero.ru/manuals/477421/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,182258,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241179&hash=1d0166cbfab26696,54.5 кг,от 16 до 20 кг/час,8 кг,,57 мм
https://cdn.entero.ru/mp@2x/f5/1d/f51d3db4a33fe8c86c6c12864cc8aa17.jpg;https://cdn.entero.ru/mp@2x/fe/41/fe41cc950c945be25873df15eced5da0.jpg,Машина для производства пасты Gustotek GT104,Машина для производства пасты Gustotek GT104,302694,RUB,Да,,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/127655,"<p>Машина для производства пасты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127655"">Gustotek GT104</a></b> используется на предприятиях общественного питания и торговли для замешивания и выдавливания теста, а также для формирования его в виде различных макаронных изделий. Дежа выполнена из нержавеющей стали AISI 304, корпус - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима замеса - простой и быстрый</li>
<li>Система передачи управляется колесно-зубчатым стальным моторедуктором</li>
<li>Емкость для замеса можно мыть в посудомоечной машине</li>
<li>Корпус со звукоизоляцией для снижения уровня шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 12 до 16 кг/час</li>
<li>Диаметр насадки: 57 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Изображение может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",127655,380 В,0.55 кВт,330 мм,420 мм,470 мм,,Италия,,,0,https://entero.ru/manuals/140083/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Gustotek%20GT104%20%28%D0%B8%D1%82%D0%B0%D0%BB.%29.pdf;https://entero.ru/manuals/310846/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gustotek%20GT104.pdf;https://entero.ru/manuals/477425/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Gustotek%20GT104.pdf;https://entero.ru/manuals/477426/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241179&hash=1d0166cbfab26696,46.5 кг,от 12 до 16 кг/час,4 кг,,57 мм
https://cdn.entero.ru/mp@2x/56/62/566273b4e2d9d31631ccc4cc27fe2f1d.jpg,Экструдер для производства макаронных изделий Kocateq OMJ 3 with cutter c тестомесом на 3.3 кг и ножом автоподрезки,OMJ 3 with cutter,211351,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/350902,"<p>Экструдер для производства макаронных изделий <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/350902""><b class=""b"">Kocateq OMJ 3 with cutter </b></a> используется для производства коротко резанных и длинных макарон на предприятиях общественного питания. Модель оснащена тестомесом, сенсорной панелью управления и ножом автоподрезки. Соприкасающиеся с продуктом части изготовлены из нержавеющей стали Aisi304.</p>

<p>В комплект поставки входит нож автоподрезки, 3 фильеры из алюминия с бронзовым покрытием для приготовления Spaghetti, Macaroni, Fusilli, мерный стакан, ключ для простой замены фильер.</p>

<p><span style=""color:#ff0000;"">Внимание! Продается только в комплекте с <a href=""https://entero.ru/item/346335"">OMJ 3 Cutter</a> (не включен в стоимость машины).</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Комбинация тестомесильной машины для любого типа муки и механического безвакуумного экструдера</li>
<li>Защита от перегрузки</li>
<li>Автоматическая блокировка управлеия после 10 секунд простоя</li>
<li>Экструдер совместим с фильерами диаметром 75 мм для модели P3 (Imperia and La Monferrina)</li>
</ul>

<p><b>Опции (приобретаются дополнительно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/346335"">OMJ 3 Cutter </a></li>
<li>Фильеры для изготовления макаронных изделий других форм</li>
</ul>

<p> </p>",350902,220 В,0.79 кВт,400 мм,510 мм,465 мм,,Ю. Корея,,,0,https://entero.ru/manuals/434015/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20OMJ%203%20c%20%D1%82%D0%B5%D1%81%D1%82%D0%BE%D0%BC%D0%B5%D1%81%D0%BE%D0%BC%20%D0%BD%D0%B0%203.3%20%D0%BA%D0%B3.pdf,229729,,,от 8 до 10 кг/час,3.3 кг,,
https://cdn.entero.ru/mp@2x/bc/83/bc8309f701da50c47c6ba4023b939b77.jpg,Экструдер для производства макаронных изделий Kocateq OMJ 3 c тестомесом на 3.3 кг,OMJ 3,234674,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/346334,"<p>Экструдер для производства макаронных изделий <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346334""><b class=""b"">Kocateq OMJ 3</b></a> используется для производства коротко резанных и длинных макарон на предприятиях общественного питания. Модель оснащена тестомесом и сенсорной панелью управления. Соприкасающиеся с продуктом части изготовлены из нержавеющей стали Aisi304.</p>

<p>В комплект поставки входит 3 фильеры из алюминия с бронзовым покрытием для приготовления Spaghetti, Macaroni, Fusilli, мерный стакан, ключ для простой замены фильер.</p>

<p><span style=""color:#ff0000;"">Внимание! Продается только в комплекте с <a href=""https://entero.ru/item/346335"">OMJ 3 Cutter</a> (не включен в стоимость машины).</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Комбинация тестомесильной машины для любого типа муки и механического безвакуумного экструдера</li>
<li>Защита от перегрузки</li>
<li>Автоматическая блокировка после 10 секунд простоя</li>
<li>Экструдер совместим с фильерами диаметром 75 мм для модели P3 (Imperia and La Monferrina)</li>
</ul>

<p><b>Опции (приобретаются дополнительно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/346335"">OMJ 3 Cutter </a></li>
<li>Фильеры для изготовления макаронных изделий других форм</li>
</ul>

<p> </p>",346334,220 В,0.75 кВт,400 мм,510 мм,465 мм,31 кг,Ю. Корея,1,560x710x800 мм,0,https://entero.ru/manuals/424608/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20OMJ%203%20c%20%D1%82%D0%B5%D1%81%D1%82%D0%BE%D0%BC%D0%B5%D1%81%D0%BE%D0%BC%20%D0%BD%D0%B0%203.3%20%D0%BA%D0%B3.pdf,247025,,,от 8 до 10 кг/час,3.3 кг,,
https://cdn.entero.ru/mp@2x/f1/4f/f14f4e4bee1643e760b943b9af9c01a4.jpg;https://cdn.entero.ru/mp@2x/e0/93/e093139b19a9c6c6c5c4ac67d51c502b.jpg,Машина для производства пасты Gustotek GT104M,Машина для производства пасты Gustotek GT104M,312079,RUB,Да,,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/127654,"<p>Машина для производства пасты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127654"">Gustotek GT104M</a></b> используется на предприятиях общественного питания и торговли для замешивания и выдавливания теста, а также для формирования его в виде различных макаронных изделий. Дежа выполнена из нержавеющей стали AISI 304, корпус - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима замеса - простой и быстрый</li>
<li>Система передачи управляется колесно-зубчатым стальным моторедуктором</li>
<li>Емкость для замеса можно мыть в посудомоечной машине</li>
<li>Корпус со звукоизоляцией для снижения уровня шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 12 до 16 кг/час</li>
<li>Диаметр насадки: 57 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Изображение может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",127654,220 В,0.75 кВт,330 мм,420 мм,470 мм,,Италия,,,9,https://entero.ru/manuals/140084/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Gustotek%20GT104M%20%28%D0%B8%D1%82%D0%B0%D0%BB.%29.pdf;https://entero.ru/manuals/477422/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gustotek%20GT104M.pdf;https://entero.ru/manuals/477423/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Gustotek%20GT104M.pdf;https://entero.ru/manuals/477424/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,339216,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241179&hash=1d0166cbfab26696;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241313&hash=3d57150f3666cc2b;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241447&hash=f8186e3a7261163c,49 кг,от 12 до 16 кг/час,4 кг,,57 мм
https://cdn.entero.ru/mp@2x/c4/4e/c44e5e2493663d4144405afb5ef8707d.jpg;https://cdn.entero.ru/mp@2x/be/83/be833dc601554936ae8b875cdb0c3926.jpg;https://cdn.entero.ru/mp@2x/b6/69/b669cc20bf3be2bde72b902af3b5d92c.jpg;https://cdn.entero.ru/mp@2x/30/2a/302a1ca62f52a66da1a86e91c6625570.jpg;https://cdn.entero.ru/mp@2x/da/17/da17ddcf14065ab36904153ad50c6380.jpg,Экструдер для производства макаронных изделий Kocateq OMJ2,Экструдер для производства макаронных изделий Kocateq OMJ2,0,RUB,Нет,Kocateq,Профоборудование,Хлебопекарное,Машины для пасты,https://entero.ru/item/124587,"<p>Экструдер для производства макаронных изделий <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124587"">Kocateq OMJ2</a></b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Модель оснащена сенсорной панелью управления. Поверхности, контактирующие с продуктами питания выполнены из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят 5 фильер из алюминия с бронзовым покрытием для приготовления Spaghetti шириной 1 и 1,5 мм, Tagliolini 1,5*1 мм, Tagliatelle 4,5*1 мм, листа теста Lasagne шириной до 170 мм, мерный стакан, ключ для простой замены фильер.</p>

<p><b><em><span style=""color:#FF0000;"">Внимание! Экструдер продается только в комплекте с ножом автоподрезки <a href=""https://entero.ru/item/228421"" target=""_blank"">OMJ 2 Cutter</a></span></em></b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая блокировка после 10 секунд простоя</li>
<li>Защита от перегрузки</li>
<li>Совместимость с фильерами диаметром 59 мм от модели Imperia and La Monferrina Dolly</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 6 до 12 кг/час</li>
<li>Количество теста: 2,5 кг</li>
<li>Габариты в упаковке: 310х520х480 мм</li>
</ul>",124587,220 В,0.35 кВт,223 мм,445 мм,393 мм,,Ю. Корея,,,0,https://entero.ru/manuals/133476/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/280288/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20OMJ2.docx,,,32 кг,от 6 до 12 кг/час,2.5 кг,,59 мм
