Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Магнитная сепарация,Емкость бункера
https://cdn.entero.ru/mp@2x/9d/b9/9db97118ffdfad1f3265be5f99ea3af6.jpg,Мукопросеиватель ATESY Каскад,Мукопросеиватель Каскад / СП146,50659,RUB,Да,ATESY,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/22389,"<p>Мукопросеиватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/22389"">ATESY Каскад</a></b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для просеивания, разрыхления и обогащения кислородом (аэрации) муки. Модель оснащена системой магнитной сепарации, которая позволяет улавливать частицы стали при разрушении сетки. Бункер выполнен из нержавеющей стали, корпус привода - из оцинкованной стали, сито - из специальной магнитной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состоит из загрузочного бункера, приемного бункера и корпуса привода</li>
<li>Принцип работы заключается в использовании вибрирующего сита, через которое порциями пропускается мука</li>
<li>Механический генератор колебаний производит сотрясание бункера с высокой частотой, обеспечивая просеивание муки и ее одновременное рыхление и насыщение кислородом (аэрацию)</li>
<li>Крышка предотвращает пылеобразование и попадание в бункер посторонних предметов</li>
<li>При необходимости загрузочный бункер легко снимается - закреплен на приемном бункере с помощью винтов ""барашек""</li>
<li>Малогабаритное и компактное устройство</li>
<li>Подключение осуществляется в соответствии со схемой приведенной в ""Приложении А"" руководства по эксплуатации</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Кол-во одновременно загружаемой муки: 5 кг</li>
<li>Размер ячейки сита: 1,2х1,2 мм</li>
<li>Диаметр проволоки сита: 0,32 мм</li>
<li>Габариты в упаковке: 730х720х930 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Пускатель ПМ12-010220 У 2В в комплект поставки не входит и приобретается отдельно.</span></em></p>",22389,вибрационный,380 В,0.18 кВт,452 мм,620 мм,870 мм,49 кг,1,720x730x930 мм,16,https://entero.ru/manuals/133819/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9A%D0%B0%D1%81%D0%BA%D0%B0%D0%B4.pdf;https://entero.ru/manuals/133821/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%87%D0%B5%D1%80%D1%82%D0%B5%D0%B6%20ATESY%20%D0%9A%D0%B0%D1%81%D0%BA%D0%B0%D0%B4.pdf;https://entero.ru/manuals/133820/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/280525/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239734&hd=2&autoplay=0,34 кг,Россия,Россия,150 кг/час,Да,40 л
https://cdn.entero.ru/mp@2x/20/c3/20c3fd0b1e63b47bb7065ad9304db060.jpg,Мукопросеиватель KAYMAN МП-В-40 А,Мукопросеиватель KAYMAN МП-В-40 А,47269,RUB,Да,KAYMAN,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/231593,"<p>Мукопросеиватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231593"">KAYMAN МП-В-40 А</a></b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для просеивания, разрыхления и обогащения кислородом (аэрации) муки. Модель оснащена системой магнитной сепарации, которая позволяет улавливать частицы стали при разрушении сетки. Загрузочный и приемный бункеры выполнены из нержавеющей стали, корпус привода - из оцинкованной стали, сито - из специальной магнитной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состоит из загрузочного бункера, приемного бункера и корпуса привода</li>
<li>Принцип работы заключается в использовании вибрирующего сита, через которое порциями пропускается мука</li>
<li>Крышка предотвращает пылеобразование и попадание в бункер посторонних предметов</li>
<li>При необходимости загрузочный бункер легко снимается - закреплен на приемном бункере с помощью винтов ""барашек""</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Кол-во одновременно загружаемой муки: 5 кг</li>
<li>Размер ячейки сита: 1,2х1,2 мм</li>
<li>Диаметр проволоки сита: 0,32 мм</li>
</ul>",231593,вибрационный,380 В,0.18 кВт,452 мм,620 мм,870 мм,48.8 кг,1,730x720x930 мм,26,https://entero.ru/manuals/453820/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KAYMAN%20%D0%9C%D0%9F-%D0%92-40%20%D0%90.pdf;https://entero.ru/manuals/453823/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,50286,,34 кг,Россия,Россия,150 кг/час,Да,40 л
https://cdn.entero.ru/mp@2x/08/00/08004fa3ba9c119043ff49622c351ea8.jpg,Мукопросеиватель ITERMA МП-01,Мукопросеиватель ITERMA МП-01,63563,RUB,Да,ITERMA,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/32809,"<p>Мукопросеиватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32809"">ITERMA МП-01</a></b> используется для удаления из муки посторонних механических примесей и насыщения ее кислородом перед приготовлением выпечки на предприятиях общественного питания и торговли. Модель оснащена магнитным уловителем частиц.</p>",32809,вибрационный,380 В,0.375 кВт,600 мм,515 мм,770 мм,,,,0,https://entero.ru/manuals/114821/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20ITERMA%20%D0%9C%D0%9F-01.pdf,69090,,70 кг,Россия,Россия,150 кг/час,Да,25 л
https://cdn.entero.ru/mp@2x/8c/bb/8cbb4f501dbbcf49f8f0a73332bd615f.jpg,Мукопросеиватель ПЕНЗМАШ МПМ-800М,МПМ-800,176706,RUB,Да,ПЕНЗМАШ,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/22392,"<p>Мукопросеиватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/22392"">ПЕНЗМАШ МПМ-800М</a></b> используется на предприятиях общественного питания, в хлебопекарных цехах малой мощности, кафе и ресторанах для просеивания, рыхления и отделения от муки посторонних включений, что придает хлебобулочным и кондитерским изделиям качество, пышность и хороший внешний вид. Модель оснащена магнитной ловушкой, которая исключает попадание в муку металлических предметов.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Емкость бункеpа: не менее 40 кг</li>
<li>Мощность:
<ul>
<li>Номинальная: 1,1 кВт</li>
<li>Потребляемая: не более 1 кВт/час</li>
</ul>
</li>
</ul>",22392,вибрационный,380 В,1.1 кВт,860 мм,1375 мм,1130 мм,,,,0,https://entero.ru/manuals/310867/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%95%D0%9D%D0%97%D0%9C%D0%90%D0%A8%20%D0%9C%D0%9F%D0%9C-800%D0%9C.pdf,,,155 кг,Россия,Россия,500 кг/час,Да,
https://cdn.entero.ru/mp@2x/12/a1/12a131a1f81f8335d7485fba9113a29c.jpg,Мукопросеиватель ПищТех МPV-150-380,Мукопросеиватель ПищТех МPV-150-380,47579,RUB,Да,ПищТех,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/373554,"<p>Мукопросеиватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373554""><b class=""b"">Пищевые Технологии МPV-150-01 </b></a>используется на предприятиях общественного питания и торговли для механизации процесса просеивания и очистки муки от других предметов, а также для рыхления и насыщения воздухом. Корпус выполнен из окрашенного металла.</p>

<p>В комплект поставки входит рукав для ссыпания муки.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Емкость приемного бункера: 20 кг</li>
<li>Размер ячейки сетки: 0,9 мм</li>
<li>Уровень шума: не более 80 дБ</li>
</ul>",373554,вибрационный,380 В,0.18 кВт,654 мм,461 мм,881 мм,32 кг,1,700x480x895 мм,0,https://entero.ru/manuals/502044/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf;https://entero.ru/manuals/502054/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20%D0%9CPV-150-01.pdf,,,,Россия,Россия,180 кг/час,,
https://cdn.entero.ru/mp@2x/c9/96/c9963d799481967fc29e261f77ceaea1.jpg,Мукопросеиватель Grill Master ПМ/1,ПМ/1 70001/207021,61670,RUB,Да,Grill Master,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/176288,"<p>Мукопросеиватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/176288""><b class=""b"">Grill Master ПМ/1</b></a> предназначен для просеивания, рыхления и насыщения кислородом муки перед выпечкой кондитерских и хлебобулочных изделий на предприятиях общественного питания и торговли. Модель имеет компактные размеры, оснащена системой магнитной сепарации, съемным бункером для муки и высокопроизводительным генератором колебаний. Корпус и все детали устройства выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер ячейки сита: 1,2х1,2 мм</li>
<li>Единовременная загрузка муки: 6 кг</li>
<li>Габариты в упаковке: 550х716х1125 мм</li>
</ul>",176288,вибрационный,380 В,0.09 кВт,458 мм,626 мм,875 мм,,,,0,https://entero.ru/manuals/204971/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Grill%20Master%20%D0%9F%D0%9C_1.pdf;https://entero.ru/manuals/204970/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%9F%D0%9C_1.docx;https://entero.ru/manuals/204972/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Grill%20Master%20%D0%9F%D0%9C_1.jpg,64240,,37 кг,,Россия,150 кг/час,Да,40 л
https://cdn.entero.ru/mp@2x/f4/8a/f48a327225144842a56a4b53707398f9.jpg;https://cdn.entero.ru/mp@2x/33/08/3308f86905d1e55f7c7e1601d7fa1d8b.jpg;https://cdn.entero.ru/mp@2x/5c/4f/5c4fbe585bddfcf33ee63464dc4a1764.jpg;https://cdn.entero.ru/mp@2x/c1/75/c175d0dbca59c5d82e4a021208e956ee.jpg,Мукопросеиватель Porlanmaz Bakery Machinery PMFS 2000,Мукопросеиватель Porlanmaz Bakery Machinery PMFS 2000,0,RUB,Нет,,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/236455,"<p>Мукопросеиватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/236455""><b class=""b""> Porlanmaz Bakery Machinery PMFS 2000</b></a> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для просеивания, разрыхления и обогащения кислородом (аэрации) муки. Модель оснащена магнитом, который позволяет улавливать частицы металла, крышкой на бункере и роликами для легкого перемещения. Изделие выполнено из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Просеивают муку сразу в тестомесительную машину</li>
<li>Бесшумная работа и отстутствие вибрации</li>
<li>Низкое энергопотребление</li>
<li>Легкость очистки и обработки деталей</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Длинный шнек</li>
<li>Ручной мешкоопрокидыватель (крышка в этой комплектации отсутствует)</li>
<li>
<p>Увеличенный бункер (до 2000 кг )</p>
</li>
</ul>",236455,,,1.1 кВт,900 мм,1200 мм,1750 мм,,,,0,https://entero.ru/manuals/285513/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMFS%202000.pdf;https://entero.ru/manuals/285515/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMFS%202000.png,,,,,Турция,2000 кг/час,Да,50 л
https://cdn.entero.ru/mp@2x/16/2e/162e270a95ae2e46b9e876c292e93826.jpg,Мукопросеиватель Bakanoglu ELM 50 PF нерж.,Мукопросеиватель Bakanoglu ELM 50 PF нерж.,341571,RUB,Нет,,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/234946,"<p>Вибрационный мукопросеиватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/234946""><b class=""b"">Bakanoglu ELM 50 PF</b></a> предназначен для очищения от посторонних предметов, рыхления и аэрации муки на предприятиях общественного питания и торговли. Модель оснащена магнитным улавливателем металлических примесей, отсеком для сбора загрязнений, бункером для муки с откидной крышкой и колесами, облегчающими передвижение. Корпус выполнен из нержавеющей стали, сито - из металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота загрузки: 1350 мм</li>
<li>Загрузка: 50 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",234946,вибрационный,380 В,0.75 кВт,710 мм,1100 мм,1600 мм,,,,0,https://entero.ru/manuals/283052/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bakanoglu%20ELM%2050%20SF.jpg;https://entero.ru/manuals/283051/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Bakanoglu.pdf;https://entero.ru/manuals/310869/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20BakanogluELM%2050%20PF.pdf;https://entero.ru/manuals/485874/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,371273,,115 кг,,Турция,,Да,
https://cdn.entero.ru/mp@2x/ce/7e/ce7ea34a431ad136a50702a8f2ab4cf4.jpg,Мукопросеиватель ПищТех МPV-150-220,Мукопросеиватель ПищТех МPV-150-220,52292,RUB,Нет,ПищТех,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/373555,"<p>Мукопросеиватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373555""><b class=""b"">Пищевые Технологии МPV-150-02 </b></a>используется на предприятиях общественного питания и торговли для механизации процесса просеивания и очистки муки от других предметов, а также для рыхления и насыщения воздухом. Корпус выполнен из окрашенного металла.</p>

<p>В комплект поставки входит рукав для ссыпания муки.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Емкость приемного бункера: 20 кг</li>
<li>Размер ячейки сетки: 0,9 мм</li>
<li>Уровень шума: не более 80 дБ</li>
</ul>",373555,вибрационный,220 В,0.18 кВт,654 мм,461 мм,881 мм,32 кг,1,700x480x895 мм,0,https://entero.ru/manuals/502085/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf;https://entero.ru/manuals/514535/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20%D0%9CPV-150-220.pdf,54471,,,Россия,Россия,180 кг/час,,
https://cdn.entero.ru/mp@2x/1e/68/1e686fa89f41a41353d6d0fda6302536.jpg,Мукопросеиватель Kumkaya ELM 100 PI,Мукопросеиватель Kumkaya ELM 100 PI,438304,RUB,Нет,,Профоборудование,Хлебопекарное,Мукопросеиватели,https://entero.ru/item/234949,"<p>Вибрационный мукопросеиватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/234949"">Kumkaya ELM 100 PI</a></b> предназначен для очищения от посторонних предметов, рыхления и аэрации муки на предприятиях общественного питания и торговли. Модель оснащена магнитным улавливателем металлических примесей, отсеком для сбора загрязнений, бункером для муки с откидной крышкой и колесами, облегчающими передвижение. Корпус выполнен из нержавеющей стали, сито - из шелка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: 100 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",234949,вибрационный,380 В,0.75 кВт,830 мм,1200 мм,1600 мм,,,,0,https://entero.ru/manuals/283060/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Kumkaya%20ELM%20100%20PI.jpg;https://entero.ru/manuals/283058/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kumkaya.pdf,461373,,120 кг,,Турция,,Да,
