Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Подключение,Количество уровней,Размер противня
https://cdn.entero.ru/mp@2x/e3/e0/e3e024789b8f141d44d0f74dc4cbaecf.jpg;https://cdn.entero.ru/mp@2x/82/9d/829db9164453f107f88ba3fa0a818d01.jpg,Печь ротационная Kocateq FR start 14 EN (40x60),Печь ротационная Kocateq FR start 14 EN (40x60),1306754,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/220904,"<p>Ротационная электрическая печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/220904""><b class=""b""><font color=""#3383d0"">Kocateq</font> FR start 14 EN</b></a> используется на предприятиях пищевой промышленности и в пекарнях для выпечки хлебобулочных и мучных кондитерских изделий. Модель оснащена сенсорной панелью управления с цветным ЖК-экраном 7"", вращающейся тележкой и дверцей из двойного закаленного стекла для контроля процесса приготовления. Корпус и камера выполнены из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность приготовления в ручном режиме с настройкой:
<ul>
<li>Температуры </li>
<li>Времени приготовления</li>
<li>Количества пара</li>
</ul>
</li>
<li>Библиотека рецептов с возможностью запрограммировать 5 шагов приготовления и установить фото блюда</li>
<li>Режим ферментации</li>
<li>Программирование времени включения / выключения по дням недели</li>
<li>Вращение тележки в двух направлениях с возможностью установки времени вращения в каждую сторону</li>
<li>Вентилятор с функцией реверсивного вращения</li>
<li>Парогенератор инжекторного типа</li>
<li>Механическая или автоматическая функция увлажнения</li>
<li>Установка гистерезиса терморегулятора</li>
<li>Регулируемый шибер</li>
<li>Внутренняя подсветка камеры</li>
<li>Автоматическая остановка вентилятора при открытии двери</li>
<li>Силиконовый уплотнитель двери</li>
<li>Библиотека языков</li>
<li>Равномерное распределение горячего воздуха</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг установки гистерезиса терморегулятора: от 1 до 10 </li>
<li>Расстояние между уровнями: 190 мм</li>
<li>Толщина стали:
<ul>
<li>Корпус: 1 мм</li>
<li>Камера: 1,2 мм</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Тележка-шпилька <a href=""https://entero.ru/item/220917"">FR Rack 14 EN (40x60)</a></li>
<li>Вытяжной зонт <a href=""https://entero.ru/item/220913"">FRH start</a></li>
</ul>",220904,300 °С,26 кВт,1140 мм,1420 мм,1740 мм,,Ю. Корея,,,0,https://entero.ru/manuals/263086/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,1390164,,,380 В,14,600х400 мм
https://cdn.entero.ru/mp@2x/f0/30/f0300ed7b675eabf0cc7afccbd7d9e1e.jpg,Печь ротационная Bassanina FR MINI E46.10 с расстоечным шкафом FR MINI E46.PR,46817 / FR MINI E46.10 КОМПЛЕКТ С РАССТОЙКОЙ FR MINI E46.PR,1457341,RUB,Да,Bassanina,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/73890,"<p>Ротационная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73890""><b class=""b"">Bassanina FR MINI E46.10</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для выпечки хлебобулочных и кондитерских изделий. Сбалансированное распределение воздушного потока обеспечивают равномерное и однородное пропекание, создавая объем и придавая продуктам мягкость. Конструкция выполнена из нержавеющей стали.</p>

<p>При заказе необходимо выбрать тип панели управления: электромеханическая или цифровая.</p>

<p><b>Особенности</b>:</p>

<ul>
<li>Дозированная подача пара</li>
<li>Низкая скорость циркуляции воздуха</li>
<li>Программируемый таймер</li>
<li>Специальная система теплообмена</li>
<li>Парогенератор</li>
<li>2 термостата</li>
<li>Клапан выпуска пара с ручным управлением</li>
<li>Вытяжной зонт</li>
<li>Дверца с двойным остеклением</li>
<li>Безопасная внутренняя ручка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней расстоечного шкафа: 16</li>
<li>Расстояние между уровнями ротационной печи: 83 мм</li>
<li>Расстояние между уровнями расстоечного шкафа: 93 мм</li>
<li>Площадь выпекания: 2,4 м<sup>2</sup></li>
<li>Максимальная грузоподъемность: 300 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Двухскоростной вентилятор (для кондитерских изделий)</li>
<li>Автоматический клапан удаления пара</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото ротационная печь располагается сверху, снизу - расстоечный шкаф.</span></em></p>",73890,300 °С,14 кВт,920 мм,1040 мм,2340 мм,,Италия,,,0,,1518064,,375 кг,380 В,10,600х400 мм
https://cdn.entero.ru/mp@2x/0c/66/0c66adde976f4c8d66a9f681188141f8.jpg;https://cdn.entero.ru/mp@2x/71/d0/71d0d5cce2e85193883b2a748ca9b61d.jpg;https://cdn.entero.ru/mp@2x/85/90/859013e1d0d49712b59cfb5d5de5e169.jpg;https://cdn.entero.ru/mp@2x/00/ef/00efb0a00e48a2039cda4b1dec3a6fe6.jpg;https://cdn.entero.ru/mp@2x/9b/be/9bbe9daa6447d3945d33ff5d0022964c.jpg;https://cdn.entero.ru/mp@2x/33/3b/333b580e5a5a2bb6bb1e6312db5b26e3.jpg,Печь ротационная Porlanmaz Bakery Machinery PMDF 150F газовая,Печь ротационная Porlanmaz Bakery Machinery PMDF 150F газовая,1900713,RUB,Да,,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/233095,"<p>Ротационная газовая печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233095""><b class=""b"">Porlanmaz Bakery Machinery PMDF 150F</b></a> применяется на профессиональных кухнях пекарен и кондитерских для выпекания разнообразных хлеба, булочек, кексов, коржей, бисквитов, печенья, пироженых, круассанов и других изделий из теста. Модель оснащена лампами освещения на дверях кабины печи, которые легко заменяются снаружи. Камера сгорания выполнена из нержавеющей стали SUS 304 с выносливостью больше 1000 градусов тепла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Источник энергии: газ</li>
<li>Горелка расположена в передней части</li>
<li>Две функции для приготовления продукции: конвекция и ротация</li>
<li>Экономная и равномерная выпечка благодаря большей подачи пара в камеру</li>
<li>Пар вырабатывается в профилях, которые находятся внутри печи и снабжают каждый подовой лист нужным количеством пара</li>
<li>В печах рекомендуется применять смягченную воду</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 3000 шт./8 ч</li>
<li>Площадь выпечки: от 4,8 до 9,6 м<sup>2</sup></li>
<li>Количество противней: от 10 до 20</li>
<li>Расстояние между противнями: от 160 до 80 мм</li>
<li>Тепловая мощность: 60000 ккал/ч</li>
<li>Давление газа / Рабочее давление: 300 / 50 мбар</li>
<li>Электрическая мощность для электрической модели: 59 кВт</li>
<li>Максимальное энергопотребление: 7,2 м<sup>​3</sup>/ч</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>​Тележка-шпилька</li>
</ul>",233095,350 °С,2.6 кВт,2000 мм,2000 мм,2500 мм,,Турция,,,0,https://entero.ru/manuals/279882/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDF%20150F.pdf;https://entero.ru/manuals/279883/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDF%20150F.jpg;https://entero.ru/manuals/477841/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDF%20150F%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F.pdf,2000751,,1930 кг,газ,20,"600х800 мм, 600х900 мм"
https://entero.ru/i/nofoto-m.jpg,Тележка-шпилька Kocateq EP Rack 15 EN (40x60),Тележка-шпилька Kocateq EP Rack 15 EN (40x60),27635,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/371505,"<p>Тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371505""><b class=""b"">Kocateq EP Rack 15 EN</b></a> используется совместно с ротационной конвекционной печью <a href=""https://entero.ru/item/369137"">EP NEO 15 EN</a> на предприятиях пищевой промышленности и в пекарнях.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты: 475х630х1570 мм</li>
<li>Расстояние между уровнями 90 мм</li>
</ul>",371505,,,,,,,,,,0,,,,,,,
https://cdn.entero.ru/mp@2x/7e/27/7e27ed8d70232da0fdfaba0c4933880d.jpg;https://cdn.entero.ru/mp@2x/23/5f/235f9c011ca8a594839e3e1870edcb65.jpg;https://cdn.entero.ru/mp@2x/72/1a/721a043bf303076e01ee452ad38dcc57.jpg;https://cdn.entero.ru/mp@2x/db/a8/dba830b41fffe223431b907bd426885e.jpg;https://cdn.entero.ru/mp@2x/96/f9/96f9f38d551dc4d471fdaea952320577.jpg;https://cdn.entero.ru/mp@2x/7e/b3/7eb37b57a473671294c39d06cf617c72.jpg;https://cdn.entero.ru/mp@2x/c2/bc/c2bcd18a0e1c8af1a79c3c80e403060d.jpg,Печь ротационно-конвекционная Porlanmaz Bakery Machinery PMRC 10 электрическая,Печь ротационно-конвекционная Porlanmaz Bakery Machinery PMRC 10 электрическая,760285,RUB,Да,,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/233148,"<p>Ротационно-конвекционная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233148""><b class=""b"">Porlanmaz Bakery Machinery PMRC 10</b></a> предназначена для выпечки хлебобулочных и кондитерских изделий на предприятиях общественного питания. Изделие выполнено из нержавеющей стали.</p>

<p>Расстойный шкаф в комплект поставки не входит и приобретается отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Источник энергии: электричество</li>
<li>Однородный поток теплого воздуха благодаря современной системе циркуляции воздуха с вентилятором</li>
<li>Нижняя часть печи используется для расстойки теста</li>
<li>Надежная термоизоляция помогает экономить энергию</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расстояние между противнями: 80 мм</li>
<li>Частота: 50 / 60 Гц</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>​Тележка-шпилька</li>
<li>Расстойный Шкаф</li>
<li>Подставка для печи</li>
</ul>",233148,,24 кВт,1030 мм,1280 мм,1440 мм,,Турция,,,0,https://entero.ru/manuals/279892/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMRC%2010.pdf;https://entero.ru/manuals/283564/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMRC%2010.png;https://entero.ru/manuals/477832/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMRC%2010%20%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F.pdf,800300,,310 кг,380 В,10,"400х600 мм, 460x660 мм"
https://cdn.entero.ru/mp@2x/7a/90/7a90629becdd8bd91303b9f8015b98f1.jpg,Печь ротационная Kocateq EP NEO 15 EN,Печь ротационная Kocateq EP NEO 15 EN,812010,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/369137,"<p>Ротационная электрическая печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/369137""><b class=""b""><font color=""#3383d0"">Kocateq</font> EP NEO 15 EN</b></a> используется на предприятиях пищевой промышленности и в пекарнях для выпечки хлебобулочных и мучных кондитерских изделий. Модель оснащена сенсорной панелью управления с цветным ЖК-экраном 7"", подсветкой и USB входом. Корпус выполнен из нержавеющей стали. </p>

<p>В комплект поставки входит вкатная тележка на 15 противней 600х400 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность приготовления блюд в ручном режиме с установкой температуры, времени и количества пара</li>
<li>Возможна работа в ручном или запрограммированом режиме</li>
<li>Библиотека на 50 рецептов с возможностью запрограммировать 5 шагов приготовления, установить фото блюда</li>
<li>PID контроль температуры</li>
<li>Звуковой сигнал по окончании выпечки</li>
<li>Возможность программирования времени включения/выключения по дням недели</li>
<li>Регулируемый шибер</li>
<li>Вентилятор с 2 скоростями вращения и реверсом</li>
<li>Механическая или автоматическая функция увлажнения</li>
<li>Автоматическая остановка вентилятора в случае открытия двери</li>
<li>Дверца с двойным закаленным стеклом: контроль за процессом приготовления</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура приготовления: 400°С</li>
<li>Таймер: до 99 мин. 59 сек.</li>
<li>Производительность по хлебу: 75 кг/час</li>
</ul>",369137,,24 кВт,1600 мм,960 мм,2065 мм,565 кг,Ю. Корея,1,1030x1460x2265 мм,0,https://entero.ru/manuals/488662/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,873129,,,380 В,15,600х400 мм
https://cdn.entero.ru/mp@2x/a2/17/a217aec62f19ad70b0765b3432a4015f.jpg,Печь ротационная Bassanina Rotor 68 крюк,63614,2003852,RUB,Нет,Bassanina,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/22451,"<p>Ротационная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/22451""><b class=""b"">Bassanina Rotor 68</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для выпечки хлебобулочных и кондитерских изделий. Вращение тележки и сбалансированное распределение воздушного потока обеспечивают равномерное и однородное пропекание, создавая объем и придавая продуктам мягкость. Модель оснащена очень простой в использовании LCD панелью управления. Корпус и внутренняя отделка выполнены из нержавеющей стали AISI 430 и AISI 304 толщиной от 1 до 5 мм, лицевая часть - из нержавеющей стали толщиной 1,5 мм, теплообменник - из жаропрочной нержавеющей стали, изоляция - из прессованных панелей и волокон минеральной ваты.</p>

<p><b>Особенности</b>:</p>

<ul>
<li>Дозированная подача пара</li>
<li>Управление может осуществляться при помощи специального программного обеспечения с персонального компьютера</li>
<li>Низкая скорость циркуляции воздуха</li>
<li>Программируемый таймер</li>
<li>Специальная система теплообмена</li>
<li>Парогенератор</li>
<li>Односкоростной электродвигатель</li>
<li>2 термостата</li>
<li>Рабочие переключатели</li>
<li>Кнопка аварийной остановки</li>
<li>Вытяжной зонт</li>
<li>Крепление тележки - крюк</li>
<li>Дверца с двойным остеклением</li>
<li>Безопасная внутренняя ручка</li>
<li>Возможность подключения USB носителя, визуализации фотографий изделий на панели</li>
<li>Температура поверхностей наружных панелей никогда не превышает более чем на 25 °C температуру окружающей среды</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 125 кг/ч</li>
<li>Время непрерывной работы: 24 часа в сутки</li>
<li>Потери тепла при открывании дверцы: около 20 °C</li>
<li>Средняя скорость прироста температуры: от 8 до 10 °C</li>
<li>Скорость вращения тележки: 3,625 об/мин.</li>
<li>Максимальная грузоподъемность: 300 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Двухскоростной вентилятор (для кондитерских изделий)</li>
<li>Автоматический клапан удаления пара</li>
<li>Автоматический подъем тележки</li>
<li>Поворотная платформа</li>
</ul>",22451,300 °С,54 кВт,1440 мм,2269 мм,2571 мм,,Италия,,,0,https://entero.ru/manuals/310912/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bassanina%20Rotor%2068.pdf,,,1360 кг,380 В,18,800х600 мм
https://cdn.entero.ru/mp@2x/23/df/23dfe7d057474c8be4a66b122b5fbfd1.jpg;https://cdn.entero.ru/mp@2x/7f/cd/7fcd4948a7b7e3b0a0d96227805bce61.jpg,Печь ротационная Bassanina Rotor 68 платформа LCD,ROTOR 68 ПЛАТФОРМА LCD/46818,2042766,RUB,Нет,Bassanina,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/174495,"<p>Ротационная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/174495""><b class=""b"">Bassanina Rotor 68</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для выпечки хлебобулочных и кондитерских изделий. Вращение тележки и сбалансированное распределение воздушного потока обеспечивают равномерное и однородное пропекание, создавая объем и придавая продуктам мягкость. Модель оснащена LCD панелью управления с цветным ЖК-дисплеем 3,5"". Корпус и внутренняя отделка выполнены из нержавеющей стали AISI 430 и AISI 304 толщиной от 1 до 5 мм, лицевая часть - из нержавеющей стали толщиной 1,5 мм, теплообменник - из жаропрочной нержавеющей стали, изоляция - из прессованных панелей и волокон минеральной ваты, не содержащих токсичных веществ.</p>

<p><b>Особенности</b>:</p>

<ul>
<li>Возможности LCD панели управления:
<ul>
<li>Сохранение до 100 автоматических программ, с 3 шагами в каждой программе</li>
<li>Перенос программ через USB-разъем</li>
<li>Размещение фото конечного продукта, согласно программе выпекания</li>
<li>Работа с ручным управлением</li>
<li>Работа с автоматическими программами</li>
</ul>
</li>
<li>Специальная система теплообмена с различной толщиной стенок, состоящая из 30 труб для увеличения поверхности теплообмена</li>
<li>Система отвода дыма с 4 проходами</li>
<li>Вентилятор над теплообменником обеспечивает циркуляцию воздуха</li>
<li>Низкая скорость циркуляции воздуха</li>
<li>Парогенератор внутри пекарной камеры закрыт защитной панелью</li>
<li>Подача воды регулируется соленоидным клапаном с таймером, осуществляется на нескольких уровнях</li>
<li>Поддон для сбора излишков воды </li>
<li>Односкоростной электродвигатель</li>
<li>Вытяжное устройство включается 2 способами:
<ul>
<li>Вручную специальным выключателем</li>
<li>Автоматически при открывании двери</li>
</ul>
</li>
<li>2 термостата</li>
<li>Программируемый таймер</li>
<li>Рабочие переключатели</li>
<li>Кнопка аварийной остановки</li>
<li>Система вращения тележки - платформа</li>
<li>Температура поверхностей наружных панелей никогда не превышает более чем на 25 °C температуру окружающей среды</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время непрерывной работы: 24 часа в сутки</li>
<li>Потери тепла при открывании дверцы: около 20 °C</li>
<li>Средняя скорость прироста температуры: от 8 до 10 °C</li>
<li>Скорость вращения тележки: 3,625 об./мин.</li>
<li>Максимальная грузоподъемность платформы: 300 кг</li>
<li>Электродвигатель вентилятора:
<ul>
<li>Скорость: 1400 об/мин.</li>
<li>Производительность: от 35 до 40 м<sup>3</sup>/мин.</li>
<li>Мощность: 1,5 кВт</li>
</ul>
</li>
<li>Вентилятор вытяжки: 
<ul>
<li>Скорость: 1400 об./мин.</li>
<li>Производительность: от 8 до 10 м<sup>3</sup>/мин.</li>
<li>Мощность: 0,37 кВт</li>
</ul>
</li>
</ul>",174495,300 °С,54 кВт,1440 мм,2269 мм,2571 мм,,Италия,,,0,https://entero.ru/manuals/202805/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%80%D0%BE%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D1%85%20%D0%BF%D0%B5%D1%87%D0%B5%D0%B9%20Bassanina.pdf,,,1360 кг,380 В,,800х600 мм
https://cdn.entero.ru/mp@2x/2d/a6/2da6e914d1e2435f82570698d32316b8.jpg;https://cdn.entero.ru/mp@2x/b5/0f/b50f96a2468a3078cf7ba3abf86cc170.jpg;https://cdn.entero.ru/mp@2x/55/36/55368276d569f52ac3015366543bcd59.jpg;https://cdn.entero.ru/mp@2x/56/c8/56c82a99f7b5b75a7466b7d49c1d2d70.jpg;https://cdn.entero.ru/mp@2x/11/f8/11f8a72abf9ec727ddbb6f5a40cfb8c9.jpg;https://cdn.entero.ru/mp@2x/13/ab/13ab3e42c05f95a456e8b773fb99fb27.jpg;https://cdn.entero.ru/mp@2x/d3/af/d3af0c6376c941cc9b0699517539ed12.jpg;https://cdn.entero.ru/mp@2x/4f/00/4f005f3708816f9091a8c061cad8381a.jpg;https://cdn.entero.ru/mp@2x/9f/c4/9fc4f5c0a92f8e93d8f225b183a67318.jpg;https://cdn.entero.ru/mp@2x/11/84/1184f18384e9754af4ca478a336ad1d5.jpg,Печь ротационная Porlanmaz Bakery Machinery PMDF 150 газовая,Печь ротационная Porlanmaz Bakery Machinery PMDF 150 газовая,0,RUB,Нет,,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/234637,"<p>Ротационная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/234637""><b class=""b"">Porlanmaz Bakery Machinery PMDF 150</b></a> применяется на профессиональных кухнях пекарен и кондитерских для выпекания хлеба, булочек, кексов, коржей, бисквитов, печенья, пироженых, круассанов и других изделий из теста. Модель оснащена лампами освещения на дверях кабины печи, которые легко заменяются снаружи. Камера сгорания выполнена из нержавеющей стали, с выносливостью больше 1000 градусов тепла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Источник энергии: газ</li>
<li>Две функции для приготовления продукции: конвекция и ротация</li>
<li>Экономная и равномерная выпечка благодаря большей подачи пара в камеру</li>
<li>Пар вырабатывается в профилях, которые находятся внутри печи и снабжают каждый подовой лист нужным количеством пара</li>
<li>В печах рекомендуется применять смягченную воду</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 3000 шт. / 8ч</li>
<li>Площадь выпечки: от 4,8 до 9,6 м<sup>2</sup></li>
<li>Количество противней: от 10 до 20</li>
<li>Расстояние между противнями: от 80 до 160 мм</li>
<li>Тепловая мощность: 60000 ккал/ч</li>
<li>Давление газа / Рабочее давление: 300 / 50 мбар</li>
<li>Максимальное энергопотребление:
<ul>
<li>Природный газ: 7,2 м<sup>​3</sup>/ч</li>
<li>СНГ: 6 л/ч</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>​Тележка-шпилька</li>
<li>Возможность установки теплообменника слева или справа</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",234637,350 °С,2.6 кВт,1600 мм,2400 мм,2300 мм,,Турция,,,0,https://entero.ru/manuals/282299/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDF%20150.pdf;https://entero.ru/manuals/282883/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDF%20150.png;https://entero.ru/manuals/477854/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDF%20150%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F.pdf,,,1930 кг,газ,20,"600х800 мм, 600х900 мм"
https://cdn.entero.ru/mp@2x/02/92/0292fd28fd19813a8c3e8c0ee59569ea.jpg;https://cdn.entero.ru/mp@2x/6a/39/6a394f9a64d581391f747d2944261bca.jpg;https://cdn.entero.ru/mp@2x/fa/08/fa084370687235d417ac43e3392f6dcf.jpg;https://cdn.entero.ru/mp@2x/2f/9d/2f9d3e7e63e454d691ddf10d491742d4.jpg;https://cdn.entero.ru/mp@2x/4b/8d/4b8d928c8b033931619cb18ca1f79dc0.jpg;https://cdn.entero.ru/mp@2x/5b/26/5b26f9e279a671feb2333c3b2e31023a.jpg;https://cdn.entero.ru/mp@2x/b4/17/b417ce76a59a7f04c38f195f05fb5390.jpg;https://cdn.entero.ru/mp@2x/06/93/069328b97350fed2e172090858ed0c1b.jpg;https://cdn.entero.ru/mp@2x/cf/06/cf065dd613048677c2798a58dd6b22dd.jpg;https://cdn.entero.ru/mp@2x/07/dc/07dcd07510ca0b39ec6679d22f2611c2.jpg,Печь ротационная Porlanmaz Bakery Machinery PMDF 200 электрическая,Печь ротационная Porlanmaz Bakery Machinery PMDF 200 электрическая,0,RUB,Нет,,Профоборудование,Хлебопекарное,Печи ротационные,https://entero.ru/item/234651,"<p>Ротационная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/234651""><b class=""b"">Porlanmaz Bakery Machinery PMDF 200</b></a> применяется на профессиональных кухнях пекарен и кондитерских для выпекания хлеба, булочек, кексов, коржей, бисквитов, печенья, пироженых, круассанов и других изделий из теста. Модель оснащена лампами освещения на дверях кабины печи, которые легко заменяются снаружи. Камера сгорания выполнена из нержавеющей стали, с выносливостью больше 1000 градусов тепла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Источник энергии: электричество</li>
<li>Две функции для приготовления продукции: конвекция и ротация</li>
<li>Экономная и равномерная выпечка благодаря большей подачи пара в камеру</li>
<li>Пар вырабатывается в профилях, которые находятся внутри печи и снабжают каждый подовой лист нужным количеством пара</li>
<li>В печах рекомендуется применять смягченную воду</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 5000 шт. / 8 ч</li>
<li>Площадь выпечки: от 8 до 16 м<sup>2</sup></li>
<li>Количество противней: от 10 до 20</li>
<li>Расстояние между противнями: от 80 до 160 мм</li>
<li>Тепловая мощность: 70000 ккал/ч</li>
<li>Рабочее давление: 50 мбар</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>​Тележка-шпилька</li>
<li>Возможность установки теплообменника слева или справа</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",234651,350 °С,70 кВт,1900 мм,2700 мм,2500 мм,,Турция,,,0,https://entero.ru/manuals/282326/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDF%20200.pdf;https://entero.ru/manuals/282888/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDF%20200.png,,,2560 кг,,20,"740x980 мм, 750x1040 мм, 1000х800 мм"
