Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Установка,Управление,Масса заготовки,Тип заготовок,Подпекание заготовок,Диаметр заготовки,Формование борта
https://cdn.entero.ru/mp@2x/00/c2/00c2690d53cca0d73d99863e382d3904.jpg,Пресс для пиццы Grill Master Ф2ПЦЭ (350),22217 / 108364,144200,RUB,Да,Grill Master,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/64345,"<p>Пресс для пиццы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/64345""><b class=""b"">Grill Master Ф2ПЦЭ</b></a> используется на предприятиях общественного питания и торговли для получения круглой тестовой основы (краста) для дальнейшего приготовления пиццы и тортильи. Модель оснащена механическим управлением и 2 нагревательными элементами. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подпекание краста с двух сторон</li>
<li>Регулировка температуры</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 300 шт./ч</li>
<li>Температурный режим: от 0 до 200 °С</li>
<li>Выход на рабочую температуру: 12 мин.</li>
<li>Габариты в упаковке: 450х790х1100 мм</li>
</ul>",64345,220 В,3 кВт,350 мм,600 мм,900 мм,,,,7,https://entero.ru/manuals/73438/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A42%D0%9F%D0%A6%D0%AD.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239796&hd=2&autoplay=0,65 кг,Россия,,300 шт/час,настольная,электромеханическое,,традиционная пицца,Да,350 мм,
https://cdn.entero.ru/mp@2x/70/df/70dfa0bc446e26701c3d50196f127c4a.jpg,Пресс для пиццы KAYMAN ПП-М-350-1,Пресс для пиццы KAYMAN ПП-М-350-1,117948,RUB,Да,KAYMAN,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/84527,"<p>Пресс для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84527"">KAYMAN ПП-М-350-1</a> </b>используется на предприятиях общественного питания и торговли для получения круглой тестовой основы (краста). В качестве рабочих поверхностей данного пресса выступают две плоские зеркальные поверхности, которые обеспечивают приготовление тонкой равномерной лепешки без борта. Модель оснащена механической панелью управления. <span style=""font-size: 12px;"">Корпус и рабочие поверхности выполнены из нержавеющей стали.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Специальная форма рабочей поверхности</li>
<li>Подпекание продукта с двух сторон</li>
<li>Регулировка толщины краста</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 450x790x1100 мм</li>
</ul>",84527,220 В,2.4 кВт,350 мм,600 мм,900 мм,,,,0,,,,48 кг,Россия,,,настольная,электромеханическое,,традиционная пицца,Да,350 мм,
https://cdn.entero.ru/mp@2x/4b/92/4b921fb0a1c3f8cd741add98972b2b71.jpg;https://cdn.entero.ru/mp@2x/55/2d/552db8b0f403f84537ee6ffdc78e1599.jpg,Пресс для пиццы Grill Master Ф2ПЦЭ (300),22214,145000,RUB,Да,Grill Master,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/64344,"<p>Пресс для пиццы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/64344""><b class=""b"">Grill Master Ф2ПЦЭ</b></a> используется на предприятиях общественного питания и торговли для получения круглой тестовой основы (краста) с бортом для дальнейшего приготовления пиццы. Модель оснащена механическим управлением и 2 нагревательными элементами. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подпекание краста с двух сторон</li>
<li>Регулировка температуры</li>
<li>Шкала, показывающая текущую толщину получаемого краста</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 200 °С</li>
<li>Выход на рабочую температуру: 12 мин.</li>
<li>Размеры готового борта краста: 5х10 мм</li>
<li>Габариты в упаковке: 450х790х1100 мм</li>
</ul>",64344,220 В,3 кВт,350 мм,600 мм,900 мм,,,,0,https://entero.ru/manuals/32586/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A42%D0%9F%D0%A6%D0%AD%20%28300%29.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240041&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239812&hd=2&autoplay=0,64 кг,Россия,,300 шт/час,настольная,электромеханическое,,традиционная пицца,Да,300 мм,
https://cdn.entero.ru/mp@2x/8c/ba/8cba9e46d603038be20be158abdf178e.jpg,Пресс для пиццы Grill Master Ф2ПЦЭМ/35,22216,320000,RUB,Да,Grill Master,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/73464,"<p>Пресс для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73464"">Grill Master Ф2ПЦЭМ/35</a></b> используется на предприятиях общественного питания и торговли для получения круглой тестовой основы (краста) с бортом для дальнейшего приготовления пиццы. Модель оснащена механическим управлением и 2 независимо регулируемыми нагревательными элементами. Корпус, рабочие поверхности и защитная решетка выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Таймер</li>
<li>Подпекание краста с двух сторон</li>
<li>Регулировка температуры</li>
<li>Подсветка рабочих поверхностей</li>
<li>Защитная решетка</li>
<li>Бесшумная работа</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 200 °С</li>
<li>Габариты в упаковке: 500х710х950 мм</li>
</ul>",73464,380 В,3.76 кВт,420 мм,620 мм,700 мм,,,,0,https://entero.ru/manuals/122663/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A42%D0%9F%D0%A6%D0%AD%D0%9C_35.docx,,,,Россия,,400 шт/час,настольная,электромеханическое,,традиционная пицца,Да,350 мм,Да
https://cdn.entero.ru/mp@2x/c6/f1/c6f189124c120ac17efe3b6f955bd6c9.jpg;https://cdn.entero.ru/mp@2x/d7/36/d73621b169a27b553276054b7095a861.jpg;https://cdn.entero.ru/mp@2x/a9/e2/a9e2290cfd42a375b1ccf7ebc6cc29f7.jpg;https://cdn.entero.ru/mp@2x/d9/a9/d9a9af33c09b89e0aeac4c93a4163286.jpg;https://cdn.entero.ru/mp@2x/4e/a1/4ea151bf88e57ec089d7527c6009058a.jpg;https://cdn.entero.ru/mp@2x/ce/6e/ce6e57cdac8c1d113029b5c571b548ff.jpg;https://cdn.entero.ru/mp@2x/55/64/5564e6810a2c6ea1b6da00a9b0cb5851.jpg,Пресс для пиццы Cuppone Pizzaform PZF/35DS,PZF/35DS-С5,463926,RUB,Да,Cuppone,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/22590,"<p>Пресс для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/22590"">Cuppone Pizzaform PZF/35DS</a></b> используется на предприятиях общественного питания и торговли для изготовления основ для пицц. Модель оснащена 2 светодиодными дисплеями, показывающими температуру верхней и нижней пластин, таймером и функцией подсчета ударов. Под действием температуры пластин создается тонкий твердый крахмальный слой на внешней стороне теста. Корпус выполнен из нержавеющей стали, пластины - из хромированной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка толщины теста с помощью рычага</li>
<li>Электронный контроль температуры пластин</li>
<li>Двигатель со встроенной тепловой защитой</li>
<li>Защита от попадания инородных предметов между пластинами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 400 шт/час</li>
<li>Высота рабочей поверхности: 550 мм</li>
<li>Среднее энергопотребление: 2,9 кВт</li>
<li>Габариты в упаковке: 540х680х970 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подставка <a href=""https://entero.ru/item/179009"">SPZF</a></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",22590,380 В,4.2 кВт,500 мм,610 мм,770 мм,,,,0,https://entero.ru/manuals/30586/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cuppone%20Pizzaform%20PZF_35DS.pdf;https://entero.ru/manuals/113566/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Cuppone%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20Pizzaform.pdf,498845,,147 кг,,Италия,400 шт/час,настольная,электронное,,традиционная пицца,Да,350 мм,
https://cdn.entero.ru/mp@2x/7d/7d/7d7d027cc1d774c8d8abf25b888440ee.jpg,Пресс для коно-пиццы Kocateq PA02M,Пресс для коно-пиццы Kocateq PA02M,95033,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/41258,"<p>Термопресс для коно-пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/41258"">Kocateq PA02M</a></b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для формирования и пропекания 2 стаканчиков из теста конусообразной формы. Модель оснащена термостатированным контролем температуры верхней и нижней поверхности. Ручка с изоляцией выполнена из натурального дерева, формы - из теплопроводящего сплава, облицовка поверхностей, контактирующих с пищевыми продуктами, - из нержавеющей стали AISI 304.</p>

<p><b>Набор оборудования для приготовления коно-пиццы:</b></p>

<ul>
<li>Печь ротационная для коно-пиццы <a href=""https://entero.ru/item/25860"">FPE</a></li>
<li>Пресс механический для коно-пиццы <a href=""https://entero.ru/item/25864"">PA-01</a></li>
<li>Полка для тепловой витрины <a href=""https://entero.ru/item/182890"">ConoPizzaShelf</a>​</li>
<li>Витрина тепловая <a href=""https://entero.ru/item/33592"">RTR108L</a></li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерный нагрев за счет 6 нагревательных элементов</li>
<li>Разъемная на 2 симметричные части нижняя форма для простого извлекания выпеченной тестовой заготовки из формы</li>
<li>Кулисно-рычажная система поднимания и опускания форм с фиксацией в верхнем и нижнем положении для минимизации усилий на стадии формования и соблюдения толщины заготовки</li>
<li>LED-индикация подачи напряжения на ТЭНы</li>
<li>Без привода</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность нагревательного элемента: 6x 0,25 кВт</li>
<li>Максимальная производительность: 100 шт./час</li>
<li>Время выпечки: 90 сек.</li>
<li>Стандартная толщина стенки готового продукта: 4-5 мм</li>
<li>Высота стаканчика: 140 мм</li>
</ul>",41258,220 В,1.5 кВт,300 мм,400 мм,780 мм,,,,0,https://entero.ru/manuals/111312/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/279817/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20PA02M.pdf,103297,,58 кг,,Ю. Корея,,настольная,электромеханическое,,коно-пицца,Да,60 мм,
https://cdn.entero.ru/mp@2x/56/f7/56f7486db9c1b334b27b649e5d636ba2.jpg,Пресс для пиццы Grill Master Ф2ПЦЭ (200),22219,146000,RUB,Да,Grill Master,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/84510,"<p>Пресс для пиццы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84510""><b class=""b"">Grill Master Ф2ПЦЭ</b></a> используется на предприятиях общественного питания и торговли для получения круглой тестовой основы (краста) с бортом для дальнейшего приготовления пиццы. Модель оснащена механическим управлением и 2 нагревательными элементами. Корпус и рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подпекание краста с двух сторон</li>
<li>Регулировка температуры</li>
<li>Шкала, показывающая текущую толщину получаемого краста</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 300 шт./ч</li>
<li>Температурный режим: от 0 до 200 °С</li>
<li>Выход на рабочую температуру: 12 мин.</li>
<li>Размеры готового борта краста: 5х10 мм</li>
<li>Габариты в упаковке: 450х790х1100 мм</li>
</ul>",84510,220 В,3 кВт,350 мм,600 мм,900 мм,,,,6,https://entero.ru/manuals/60941/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A42%D0%9F%D0%A6%D0%AD%20%28200%29.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240041&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239812&hd=2&autoplay=0,56 кг,Россия,,300 шт/час,настольная,электромеханическое,,традиционная пицца,Да,200 мм,
https://cdn.entero.ru/mp@2x/9f/48/9f48ce8114b34fad26b07eca301f6189.jpg,Пресс для пиццы ITPIZZA PRESSA33,PRESSA-33,352916,RUB,Да,ITPIZZA,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/66511,"<p>Пресс для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/66511"">ITPIZZA PRESSA33</a></b> используется на предприятиях общественного питания и торговли для изготовления круглых тестовых основ для пиццы. Модель оснащена функцией подпекания, благодаря чему на поверхности краста образуется корочка, способствующая формированию более пышной основы во время запекания и препятствующая проникновению влаги из начинки пиццы. Корпус и пластины выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая толщина и размер основы (краста)</li>
<li>Терморегулятор</li>
<li>Механический привод</li>
<li>Скос на нижней пластине для формирования бортика пиццы</li>
<li>Защитная решётка для обеспечения безопасности персонала</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 400 основ/час</li>
<li>Температура нагрева основы: до 150 °C</li>
</ul>",66511,380 В,3.6 кВт,560 мм,430 мм,750 мм,,,,0,https://entero.ru/manuals/310814/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITPIZZA%20PRESSA33.pdf,,,100 кг,,Италия,400 шт/час,настольная,электронное,,традиционная пицца,Да,330 мм,
https://cdn.entero.ru/mp@2x/c1/a6/c1a6e161f6d779faa5df8c6d3bb319ae.jpg,Пресс для пиццы Apach APRESS45,148746,440422,RUB,Да,Apach,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/74672,"<p>Пресс для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74672"">Apach APRESS45</a> </b> используется на предприятиях общественного питания и торговли для формирования заготовок круглой формы из теста для последующего приготовления пиццы. Модель оснащена регулировкой толщины тестовой заготовки. Рабочие поверхности выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 650х700х900 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",74672,380 В,5.6 кВт,670 мм,550 мм,860 мм,,,,0,https://entero.ru/manuals/81419/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%202017.pdf;https://entero.ru/manuals/289421/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20APRESS45.pdf;https://entero.ru/manuals/289422/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20APRESS45.pdf;https://entero.ru/manuals/521743/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,473572,,130 кг,,Италия,,настольная,электромеханическое,от 0.1 до 0.5 кг,традиционная пицца,Да,450 мм,
https://cdn.entero.ru/mp@2x/81/58/81584da48fc08261713a7f8d47f11ff9.jpg;https://cdn.entero.ru/mp@2x/25/f4/25f40a5124813ef61b3a3d252dbb67ca.jpg,Пресс механический для пиццы Kocateq PA22M,Пресс механический для пиццы Kocateq PA22M,25325,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Прессы для пиццы,https://entero.ru/item/139623,"<p>Механический пресс для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/139623"">Kocateq PA22M</a></b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Модель оснащена двумя пластинами - круглой и прямоугольной формы. Корпус выполнен из эмалированной нержавеющей стали, пластины - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр круглой пластины: 220 мм</li>
<li>Размер прямоугольной пластины: 260х220 мм</li>
<li>Габариты в упаковке: 410x400x680 мм</li>
</ul>

<p> </p>",139623,,,270 мм,535 мм,570 мм,,,,0,https://entero.ru/manuals/162479/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,26941,,,,Ю. Корея,,настольная,механическое,,традиционная пицца,,220 мм,
