Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Управление,Конвейерный,Диаметр заготовки,Количество порций,Масса тестовой заготовки,Вместимость бункера
https://cdn.entero.ru/mp@2x/7a/2c/7a2c70c007f746805b050394c0035c10.jpg,Тестоделитель Gastromix DD-36,Тестоделитель Gastromix DD-36,130817,RUB,Да,Gastromix,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/117837,"<p>Тестоделитель<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117837""><b class=""b""> Gastromix DD-36 </b></a>используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для деления тестовых заготовок из безопарного и дрожжевого теста на порции заданного веса. Все элементы, контактирующие с тестом, выполнены из нержавеющей стали, крышка - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Напольная модель</li>
<li>Электромеханическая система управления</li>
<li>Полуавтоматическое деление</li>
<li>Низкий уровень шума</li>
<li>Колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес используемой заготовки: от 1080 до 6480 грамм</li>
</ul>",117837,тестоделитель,220 В,0.75 кВт,520 мм,410 мм,1300 мм,,Китай,,,0,https://entero.ru/manuals/285939/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20DD-36.pdf;https://entero.ru/manuals/357385/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,193 кг,,электромеханическое,,,36,от 30 до 180 гр,
https://cdn.entero.ru/mp@2x/93/cc/93cca82d2a0453da5ab54433097de4a0.jpg;https://cdn.entero.ru/mp@2x/6c/de/6cde778b36b15926c06c0cf2146476ba.jpg;https://cdn.entero.ru/mp@2x/fa/f0/faf078073dec8198358b5c479e57e3d7.jpg;https://cdn.entero.ru/mp@2x/b9/92/b9923641f713377b5734aceb2b9f9295.jpg,Тестоделитель Roal Bakery HM-36M,Тестоделитель Roal Bakery HM-36M,111009,RUB,Да,,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/261653,"<p>Тестоделитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/261653""><b class=""b"">Roal Bakery HM-36M</b></a> используется на предприятиях общественного питания, в пекарнях и кондитерских для деления тестовых заготовок и для последующей выпечки батонов, багетов, саек, рогаликов, формового и подового хлеба и других видов хлебобулочных изделий, в том числе мелкоштучных.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Подходит для теста:
<ul>
<li>Из ржано-пшеничной муки с содержанием муки до 50%,влажностью не более 50%, за исключением заварных сортов</li>
<li>Из пшеничной муки влажностью от 40%, а также теста влажностью от 37% с содержанием сахара и жира не менее 12%</li>
</ul>
</li>
<li>Электромеханическое управление</li>
<li>Напольная модель</li>
</ul>",261653,тестоделитель,220 В,0.75 кВт,560 мм,460 мм,1400 мм,162 кг,Китай,1,600x600x1500 мм,0,https://entero.ru/manuals/323193/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roal%20Bakery%20HM-36M.pdf,,,155 кг,,электромеханическое,,,36,от 30 до 160 гр,от 1080 до 5760 кг
https://cdn.entero.ru/mp@2x/61/96/6196d12042b40716bad6a43628212947.jpg;https://cdn.entero.ru/mp@2x/8b/4e/8b4e9214dd11994bd7ced34b086c67c9.jpg,Тестоокруглитель Sigma Sfera,Тестоокруглитель Sigma Sfera,582062,RUB,Да,Sigma,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/168582,"<p>Тестоокруглитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168582"">Sigma Sfera</a></b> используется на предприятиях пищевой промышленности и общественного питания, в пекарнях и кондитерских для округления тестовых заготовок. Система округления использует гравитационную и центробежную силу с минимальным давлением на тесто, это позволяет не изменять его температуру, эластичность и не подвергать стрессу. Модель выполнена из нержавеющей стали, вращающиеся цилиндры - из пластика пищевого применения.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Прочная конструкция</li>
<li>Сменные алюминиевые винты</li>
<li>Выходной лоток из нержавеющей стали</li>
<li>NSF сертифицированный пластиковый цилиндр</li>
<li>Легко очистить</li>
</ul>",168582,тестокруглитель,220 В,0.37 кВт,350 мм,540 мм,860 мм,,Италия,,,0,https://entero.ru/manuals/194622/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sigma%20Sfera.jpg,612697,,60 кг,30 шт/мин.,,,,,от 50 до 650 гр,
https://cdn.entero.ru/mp@2x/fe/6c/fe6caf00971b841491388eda9bb532bb.jpg;https://cdn.entero.ru/mp@2x/5b/fe/5bfebdc9190d53dfe3d232c9325addd3.jpg;https://cdn.entero.ru/mp@2x/3c/72/3c727c810e58eb70195d0bc2ee4e20e3.jpg;https://cdn.entero.ru/mp@2x/29/d9/29d9dd85b7863709a968796ad706ff25.jpg,Тестоделитель WLBake MHD SA 20,Тестоделитель WLBake MHD SA 20,620941,RUB,Да,WLBake,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/125777,"<p>Тестоделитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125777"">WLBake MHD SA 20</a></b> используется на небольших предприятиях пищевой промышленности, общественного питания и торговли, в пекарнях и кондитерских для деления теста на куски. Модель оснащена металлическим рычагом управления, боковыми дверцами и колесами со стопором. Корпус выполнен из стали с порошковым покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полуавтоматический режим работы</li>
<li>Гидравлический привод для прессования и разрезания теста</li>
<li>Высокая точность и производительность</li>
<li>Деление теста на 20 равных частей</li>
<li>Литая конструкция корзины, повышаеющая точность деления и долговечность</li>
<li>Широкая рукоятка крышки</li>
<li>Удобное управление с любой стороны</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 1200 шт/час</li>
<li>Размер кюветы: 480x400x130 мм</li>
</ul>",125777,тестоделитель,380 В,1.5 кВт,585 мм,800 мм,1693 мм,,Италия,,,0,https://entero.ru/manuals/510614/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,667678,,235 кг,20 шт/мин.,электромеханическое,,,20,от 250 до 850 гр,от 5 до 17 кг
https://cdn.entero.ru/mp@2x/2e/92/2e9231f5849de3fad520175ca1e33815.jpg,Тестоделитель-округлитель SINMAG SМ 3-30,SМ 330,625138,RUB,Да,SINMAG,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/23009,"<p>Полуавтоматический тестоделитель-округлитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23009""><b class=""b"">SINMAG SМ 3-30 </b></a><span style=""font-size: 12px;"">используется на предприятиях пищевой промышленности, общественного питания и торговли для деления тестовых заготовок и придания полученным порциям округлой формы. Модель оснащена электромеханической панелью управления. Корпус выполнен из крашенного металла.</span></p>

<p><span style=""font-size: 12px;"">В комплект поставки входят 3 пластиковых формовочных пластины.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество порций, получаемых при делении: 30 шт.</li>
</ul>",23009,тестоделитель-тестоокруглитель,380 В,0.75 кВт,650 мм,710 мм,2050 мм,,Тайвань,,,21,,672191,,315 кг,,электромеханическое,,,30,от 30 до 100 гр,
https://cdn.entero.ru/mp@2x/83/25/8325aae39a5e1ac65cde84fc63211edb.jpg,Тестоделитель-округлитель Apach Bakery Line SPA SA30,Тестоделитель-округлитель Apach Bakery Line SPA SA30,978813,RUB,Да,Apach,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/201023,"<p>Полуавтоматический тестоделитель-округлитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/201023"">Apach Bakery Line SPA SA30</a> </b>используется на предприятиях общественного питания и торговли для деления тестовых заготовок на округлые порции для последующей выпечки различных хлебобулочных изделий. Сварной каркас и облицовка выполнены из окрашенной стали, дежи и головки - из алюминиевого сплава антикородал MG5 с твердым анодированием, ножи - из нержавеющей стали марки AISI 304, внутренняя поверхность крышки и прессов - из пищевого полиэтилена PE500, чаши - из пищевого полиэтилена PETG, кольцо - алюминиевое, химически никелированное.</p>

<p>В комплект поставки входят 3 тарелки.</p>

<p><b>Особенности:</b>​</p>

<ul>
<li>Крышка уплотнения: ограничение потери муки на протяжении всего рабочего цикла машины</li>
<li>Возможность установки различных типов решеток</li>
<li>Простота использования</li>
<li>Быстрая очистка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 760х750х1670 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Две дополнительные боковые дверцы</li>
<li>Облицовка из нержавеющей стали</li>
</ul>",201023,тестоделитель-тестоокруглитель,380 В,1.3 кВт,700 мм,750 мм,1450 мм,,Италия,,,6,https://entero.ru/manuals/235086/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20SPA%20SA30.pdf;https://entero.ru/manuals/290984/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20SPA%20SA30.pdf;https://entero.ru/manuals/290985/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B8%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%BC%D1%83%20%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8E%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20SPA%20SA30.pdf;https://entero.ru/manuals/290986/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf;https://entero.ru/manuals/290987/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf,1052487,https://vk.com/video_ext.php?oid=-177656185&id=456240466&hd=2&autoplay=0,230 кг,60 шт/мин.,электромеханическое,,400 мм,30,от 40 до 135 гр,4 кг
https://cdn.entero.ru/mp@2x/0d/9b/0d9b7a446c6d6c4452a936d5c479d76c.jpg;https://cdn.entero.ru/mp@2x/57/12/571246d95e295fb4f5526459359a0a39.jpg;https://cdn.entero.ru/mp@2x/fa/68/fa68ff03af066823785c2e7fcf9a16bd.jpg;https://cdn.entero.ru/mp@2x/67/77/67771b44ec4523bda249da52ec538ae6.jpg;https://cdn.entero.ru/mp@2x/c9/f1/c9f160e21b12b0345ee57b7a019a496d.jpg;https://cdn.entero.ru/mp@2x/51/49/51491145a28b83159fc0bf123ba843bb.jpg;https://cdn.entero.ru/mp@2x/ff/d0/ffd02340606e3385b11c123285989d92.jpg;https://cdn.entero.ru/mp@2x/f0/84/f08404b7b0f89fc069b2e12f2db2a459.jpg;https://cdn.entero.ru/mp@2x/6c/27/6c275796d54b2711084816aa93e34081.jpg,Тестоокруглитель Porlanmaz Bakery Machinery PMCR 2000 (50-200 г),Тестоокруглитель Porlanmaz Bakery Machinery PMCR 2000 (50-200 г),420158,RUB,Да,,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/233229,"<p>Тестоокруглитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233229""><b class=""b"">Porlanmaz Bakery Machinery PMCR 2000</b></a> используется на предприятиях пищевой промышленности и общественного питания, в пекарнях и кондитерских для округления тестовых заготовок. Изделие обеспечивает высокую производительность и способствует уплотнению и повышению пористости теста, что повышает качество хлебобулочных изделий. Модель оснащена стационарными желобами. Корпус выполнен из нержавеющей стали, не подверженной коррозии, конус и желобы - из алюминия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подача воздуха в углубления машины предотвращает налипание теста на барабан</li>
<li>Бесшумная посыпка муки</li>
<li>Легкость транспортировки благодаря колесам</li>
<li>Низкий уровень шума</li>
<li>Легкость очистки и обработки деталей</li>
<li>Экономный расход электроэнергии</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Высота входа теста: 850 мм</li>
<li>Высота выхода теста: 940 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Обдувка подогретым воздухом (холод / подогрев)</li>
<li>Тефлоновое покрытие конуса и желобы</li>
<li>Регулируемые желобы</li>
</ul>",233229,тестокруглитель,380 В,1.1 кВт,915 мм,1000 мм,1520 мм,,Турция,,,0,https://entero.ru/manuals/280056/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMCR%202000.pdf;https://entero.ru/manuals/280057/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMCR%202000.jpg;https://entero.ru/manuals/477822/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMCR%202000%20%2850-200%20%D0%B3%29.pdf,,,210 кг,33.3 шт/мин.,электромеханическое,,,,от 50 до 200 гр,
https://cdn.entero.ru/mp@2x/6f/13/6f13b3d6ff926b1234f3a12da46d33ee.jpg;https://cdn.entero.ru/mp@2x/32/fb/32fb92b01957d22bc2c348f68b9cfbb4.jpg;https://cdn.entero.ru/mp@2x/89/21/8921ad0fa71c6374a9c1343c4322c21b.jpg,Тестоделитель-округлитель Apach Bakery Line SPA A30,Тестоделитель-округлитель Apach Bakery Line SPA A30,1182638,RUB,Да,Apach,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/201012,"<p>Автоматический тестоделитель-округлитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/201012"">Apach Bakery Line SPA A30</a> </b>используется на предприятиях общественного питания и торговли для деления тестовых заготовок на округлые порции для последующей выпечки различных хлебобулочных изделий. Сварной каркас и облицовка выполнены из окрашенной стали, дежи и головки - из алюминиевого сплава антикородал MG5 с твердым анодированием, ножи - из нержавеющей стали марки AISI 304, внутренняя поверхность крышки и прессов - из пищевого полиэтилена PE500, чаши - из пищевого полиэтилена PETG, кольцо - алюминиевое, химически никелированное.</p>

<p>В комплект поставки входят 3 тарелки.</p>

<p><b>Особенности:</b>​</p>

<ul>
<li>Крышка уплотнения: ограничение потери муки на протяжении всего рабочего цикла машины</li>
<li>Возможность установки различных типов решеток</li>
<li>Простота использования</li>
<li>Быстрая очистка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 750х750х1680 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Две дополнительные боковые дверцы</li>
<li>Облицовка из нержавеющей стали</li>
</ul>",201012,тестоделитель-тестоокруглитель,380 В,1.3 кВт,700 мм,660 мм,1450 мм,,Италия,,,0,https://entero.ru/manuals/235073/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20SPA%20A30.pdf;https://entero.ru/manuals/291080/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20SPA%20A30.pdf;https://entero.ru/manuals/291085/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B8%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%BC%D1%83%20%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8E%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20SPA%20A30.pdf;https://entero.ru/manuals/291086/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf;https://entero.ru/manuals/291087/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240466&hd=2&autoplay=0,230 кг,60 шт/мин.,электронное,,400 мм,30,от 40 до 135 гр,4 кг
https://cdn.entero.ru/mp@2x/44/c5/44c59c478e057b49766b045f680b5966.jpg,Тестоделитель Hurakan HKN-SPA36,207253,133620,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/123633,"<p>Тестоделитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123633"">Hurakan HKN-SPA36</a></b> предназначен для быстрого деления тестовых заготовок на порции заданного веса на предприятиях общественного питания и торговли. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 595x495x1405 мм</li>
</ul>",123633,тестоделитель,220 В,0.75 кВт,520 мм,410 мм,1300 мм,181 кг,Китай,1,590x480x1400 мм,0,https://entero.ru/manuals/416223/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SPA36.pdf;https://entero.ru/manuals/416224/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416226/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454577/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SPA36.doc,,,165 кг,,электромеханическое,,,36,от 30 до 180 гр,6.48 кг
https://cdn.entero.ru/mp@2x/bf/af/bfafe6185ab58a6688ec3a37568d88fd.jpg;https://cdn.entero.ru/mp@2x/09/f4/09f4636156ed11bf72b2dcaf8c6dbe1a.jpg;https://cdn.entero.ru/mp@2x/65/6d/656d4920fee43f949a687e58138466cb.jpg,Тестоделитель VIATTO AS-CG-36 220В,PYHL AS-CG-36,162944,RUB,Да,VIATTO,Профоборудование,Хлебопекарное,Тестоделители и округлители,https://entero.ru/item/84664,"<p>Гидравлический тестоделитель<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84664""><b class=""b""> VIATTO AS-CG-36</b></a> используется на предприятиях общественного питания и торговли для деления тестовых заготовок из безопарного и дрожжевого теста на порции заданного веса. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 620х510х1400 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Товар может быть поставлен как под брендом VIATTO, так и PYHL.</span></em></p>",84664,тестоделитель,220 В,0.75 кВт,520 мм,410 мм,1300 мм,198 кг,Китай,1,620x510x1400 мм,0,https://entero.ru/manuals/409740/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20AS-CG-36.pdf;https://entero.ru/manuals/409742/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/86218/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/464344/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20AS-CG-36%20220%D0%92.pdf,171520,,180 кг,,электромеханическое,,,36,от 30 до 180 гр,
