Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Установка,Ширина конвейера,Масса заготовки,Длина заготовки
https://cdn.entero.ru/mp@2x/9b/6a/9b6a141071254f65dc5b1b0b827c81e0.jpg;https://cdn.entero.ru/mp@2x/a7/2f/a72f633df2bbc2a36cb5d63736fbf581.jpg;https://cdn.entero.ru/mp@2x/2f/dc/2fdcc4b69435d456c40e15a69e2e87bc.jpg;https://cdn.entero.ru/mp@2x/d3/66/d36690b348416a1bc55b612760aa87ed.jpg;https://cdn.entero.ru/mp@2x/a6/bd/a6bd77d11267c4f8fce2246bd3209fb6.jpg,Тестозакаточная машина Jac Unic,94841,752923,RUB,Да,Jac,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/22649,"<p>Тестозакаточная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/22649"">Jac Unic</a>​</b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для формования заготовок для батонообразных изделий и багетов. Модель оснащена 3 раскаточными валиками, эргономичными рычагами регулировки, системой выдвижных кассет для простой замены лент, выдвижной полкой-пеналом, рукоятками для транспортировки и местом для записи настроек, которые стираются сухой тряпкой.</p>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Отделка из нержавеющей стали</li>
<li>Стандартная подставка на роликах высотой 880 мм</li>
<li>Подставка для размещения продукции</li>
<li>Входная конвейерная лента</li>
<li>Лента ""острые кончики"" для багета</li>
<li>Боковые направляющие</li>
<li>Конвейер для вывода тестовых заготовок ТRF20 (1 м полезной длины)</li>
<li>Конвейер для вывода тестовых заготовок ТRF30 (2 м полезной длины) </li>
</ul>",22649,380 В,1.1 кВт,962 мм,830 мм,708 мм,,,,6,https://entero.ru/manuals/39455/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Jac%20Unic.pdf;https://entero.ru/manuals/39456/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Jac%20Unic.jpg,818395,https://vk.com/video_ext.php?oid=-177656185&id=456239428&hd=2&autoplay=0,210 кг,,,1200 шт/час,настольная,,от 50 до 1200 г,
https://cdn.entero.ru/mp@2x/95/e6/95e6fe1d0ead3a82ea949b8630ad674f.jpg,Машина тестозакаточная SINMAG SM-380B со стендом,SM-380B+стенд,587404,RUB,Да,SINMAG,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/32214,"<p>Тестозакаточная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32214""><b class=""b"">Sinmag SM-380B</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для формования батонных изделий. Модель оснащена 2 парами раскатывающих валков и прижимной закатывающей доской, давление которой можно регулировать.</p>

<p>В компект поставки входит стенд.</p>",32214,380 В,0.375 кВт,1100 мм,765 мм,1650 мм,,,,0,https://entero.ru/manuals/311146/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SINMAG%20SM-380B.pdf,,,250 кг,,Китай,от 1000 до 2500 шт/час,напольная,780 мм,от 50 до 900 г,
https://cdn.entero.ru/mp@2x/a6/6b/a66b7ccd76e2cc0de631c64e7f07dea2.jpg,Машина тестоформовочная Domino ROLL 26,M00.451,449338,RUB,Да,Domino,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/257160,"<p>Тестоформовочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257160"">Domino ROLL 26</a></b> используется на предприятиях общественного питания и торговли для формования заготовок для хлебобулочных изделий. Модель оснащена 2 цилиндрами, шерстяными лентами, выдвижными и съемными лотками и усиленными колесами. Корпус выполнен из окрашенной стали, цилиндры - хромированные, лотки - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>22-позиционные рычаги регулировки</li>
<li>Лоток возврата теста и отклоняющее устройство из нержавеющей стали</li>
<li>Скребок для очистки верхнего цилиндра</li>
<li>Защитная решетка из нержавеющей стали</li>
<li>Устройство для защиты от отбраковки</li>
<li>Ручка блокировки верхней ленты</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина цилиндра: 600 мм</li>
<li>Длина входной ленты: 140 мм</li>
<li>Высота до защитной решетки: 70 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Прессовальный стол</li>
</ul>",257160,380 В,0.65 кВт,830 мм,840 мм,1145 мм,,,,0,https://entero.ru/manuals/316860/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Domino%20ROLL%2026%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,483159,,140 кг,Италия,Италия,,напольная,,от 15 до 1500 г,
https://cdn.entero.ru/mp@2x/f2/50/f250dcdf9b8198b43250d82f88b71afb.jpg,Машина тестозакаточная Gastromix FB-300 STAND,Машина тестозакаточная Gastromix FB-300 STAND,575246,RUB,Да,Gastromix,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/274098,"<p>Тестозакаточная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274098"">Gastromix FB-300 STAND</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для формования заготовок при производстве батонов и багетов. Принцип работы: тесто сначала раскатывается между двумя парами валков, затем закатывается в заготовку цилиндрической формы с помощью прижимной доски. Модель оснащена 3 раскаточными валиками. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит стенд с полкой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Механическая регулировка длины тестовой заготовки и толщины предварительной раскатки</li>
<li>Не впитывающее мучную пыль войлочное полотно </li>
<li>Простота эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость конвейерной ленты: 49 м/мин.</li>
<li>Диапазон регулировки толщины теста: от 0 до 19 мм</li>
</ul>",274098,220 В,0.75 кВт,1010 мм,960 мм,1580 мм,335 кг,1,1120x1000x1690 мм,0,,605522,,300 кг,,Китай,1200 шт/час,напольная,730 мм,от 50 до 1200 г,
https://cdn.entero.ru/mp@2x/d0/5e/d05ec66e4cba43fc855f28b408808a5e.jpg;https://cdn.entero.ru/mp@2x/00/04/0004e346b0651f6f531cc34094cfe246.jpg;https://cdn.entero.ru/mp@2x/1c/aa/1caa0ec2ae4cb2dc69aecbe474f4352a.jpg;https://cdn.entero.ru/mp@2x/37/7e/377ef1570bf270edccd73f1c79d3c1b5.jpg;https://cdn.entero.ru/mp@2x/7a/6f/7a6fb78aa47769a22d91da0ec9e9d49f.jpg,Тестозакаточная машина Jac Forma,Тестозакаточная машина Jac Forma,1051413,RUB,Да,Jac,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/71433,"<p>Тестозакаточная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71433"">Jac Forma</a></b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для формования заготовок для батонообразных изделий и багетов. Модель оснащена 3 раскаточными валиками, выходной полкой на скользящих направляющих, эргономичными рычагами регулировки, сверхбыстрой сменой лент без демонтирования машины. </p>

<p>Валы выполнены из пищевого ПЭТ.</p>

<p>Модель превращается из формовочной машины в раскаточную при открытии переднего выводного конвейера для выхода плоских типов изделий.</p>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Отделка из нержавеющей стали</li>
<li>Стандартная подставка на роликах высотой 880 мм</li>
<li>Подставка для размещения продукции</li>
<li>Переключатель скорости</li>
<li>Лента ""острые кончики"" для багета</li>
<li>Боковые направляющие</li>
<li>Конвейер для вывода тестовых заготовок ТRF20 (1 м полезной длины)</li>
<li>Конвейер для вывода тестовых заготовок ТRF30 (2 м полезной длины)</li>
<li>
<p>Панель управления слева (без доплаты)</p>
</li>
</ul>",71433,380 В,1.1 кВт,962 мм,1029 мм,708 мм,,,,0,https://entero.ru/manuals/123590/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Jac%20Forma.pdf;https://entero.ru/manuals/123591/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Jac%20Forma.pdf,,,230 кг,Франция,Франция,1200 шт/час,настольная,,от 50 до 1200 г,
https://cdn.entero.ru/mp@2x/d3/34/d334e441bd93aaeaf881f493f531448d.jpg;https://cdn.entero.ru/mp@2x/8a/dd/8add6bb7f75a099f54259463321cc475.jpg;https://cdn.entero.ru/mp@2x/05/c5/05c56047db606118cef85320391697b0.jpg,Багетоформовщик Jac Rollform,Багетоформовщик Jac Rollform,584544,RUB,Да,Jac,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/177248,"<p>Багетоформовщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/177248"">Jac Rollform</a> </b>используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для формования заготовок для батонообразных изделий и багетов. Модель оснащена оригинальной ленточной системой с самонатяжкой, позволяющей сворачивать тесто без его дегазации. Корпус изделия выполнениз нержавеющей стали, тип ленты - шерсть.</p>

<p>Решетки не входят в комплект поставки.</p>

<p><b>Особенности</b>:</p>

<ul>
<li>Откидная выходная полка</li>
<li>Простая и эргономичная регулировка вытягивания</li>
<li>Натяжение мягкой ленты регулируется автоматически в соответствии с плотностью и размерами изделия</li>
<li>Съемные держатели решеток</li>
<li>Бережное обжатие сохраняет пористость и обеспечивает лучшую форму багетов</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Электропитание:
<ul>
<li>230 В трехфазный</li>
<li>400 В трехфазный</li>
</ul>
</li>
</ul>",177248,,0.18 кВт,663 мм,578 мм,363 мм,,,,0,https://entero.ru/manuals/206330/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Jac%20Rollform.pdf;https://entero.ru/manuals/206331/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Jac%20Rollform.png,621855,https://vk.com/video_ext.php?oid=-177656185&id=456240100&hd=2&autoplay=0,65 кг,Франция,Франция,1200 шт/час,настольная,,от 50 до 1000 г,
https://cdn.entero.ru/mp@2x/7f/c5/7fc50171a213119b1ccf22b9c2cf0c40.jpg,Багетоформовщик Apach Bakery Line MBA/3C,206402,691642,RUB,Нет,Apach,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/125013,"<p>Багетоформовщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125013"">Apach Bakery Line MBA/3C</a></b> используется на предприятиях общественного питания и торговли для формования заготовок для батонообразных изделий и багетов. Модель оснащена 3 регулируемыми роликами и шерстяной лентой в качестве формирующего полотна. Корпус выполнен из окрашенной стали, ролики - из пищевого полиэтилена.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Рычаги обеспечивают высокую степень точности и уменьшают нагрузку на регулировку роликов</li>
<li>Подача багетов на статичный стол</li>
<li>Быстрая смена полотна без разборки машины</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр ролика: 635 мм</li>
<li>Длина ролика: 7000 мм</li>
<li>Расстояние между роликами: от 0 до 20 мм</li>
<li>Габариты в упаковке: 950х1100х1900 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Синтетический вариант формирующего полотна</li>
<li>Отводящий конвейер с приводом</li>
</ul>",125013,380 В,0.55 кВт,1050 мм,981 мм,1484 мм,,,,0,https://entero.ru/manuals/134446/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20MBA.pdf;https://entero.ru/manuals/284959/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20MBA_3C.pdf;https://entero.ru/manuals/284961/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20Apach%20Bakery%20Line%20MBA_3C.pdf;https://entero.ru/manuals/284963/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf;https://entero.ru/manuals/284966/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf,735789,https://vk.com/video_ext.php?oid=-177656185&id=456240466&hd=2&autoplay=0,216 кг,Италия,Италия,,напольная,,от 50 до 2000 г,
https://cdn.entero.ru/mp@2x/ae/67/ae67f1e0ea483f08c69b3739c0440ba4.jpg;https://cdn.entero.ru/mp@2x/33/02/3302d7ff606efeb0123d81e4fd6f6942.jpg;https://cdn.entero.ru/mp@2x/ad/76/ad765b3ec591ade09c38986ea145fbcd.jpg;https://cdn.entero.ru/mp@2x/f2/57/f25786d6d22e25923f60c0b985936b3c.jpg;https://cdn.entero.ru/mp@2x/df/f2/dff20d7c7f65481ae1f5840cf43c148a.jpg;https://cdn.entero.ru/mp@2x/ed/70/ed703b10417d8f83766838a4882a5f8f.jpg;https://cdn.entero.ru/mp@2x/41/f4/41f4579a620df8fb9b70c98dc1fdaf45.jpg,Машина тестозакаточная Porlanmaz Bakery Machinery PMDM 650,Машина тестозакаточная Porlanmaz Bakery Machinery PMDM 650,0,RUB,Нет,,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/235669,"<p>Тестозакаточная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235669""><b class=""b"">Porlanmaz Bakery Machinery PMDM 650</b></a> предназначена для формирования тестовых заготовок в цилиндрическую форму заданной длины и диаметра при помощи закаточных плит на предприятиях общественного питания и торговли. Модель оснащена плитой, 4 валиками и колесами, облегчающими передвижение. Изделие выполнено из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Закатывание без разрывов, напряжения и стресса для теста</li>
<li>Скорость верхней прижимной конвейерной ленты можно регулировать</li>
<li>Возможность регулировки по ширине</li>
<li>Низкое энергопотребление</li>
<li>Бесшумная работа и отсутствие вибрации</li>
<li>Легкость очистки и обработки деталей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина прижимной ленты: 1250 мм</li>
<li>Высота входа: 1180 мм</li>
<li>Высота выхода: 640 мм</li>
</ul>",235669,,1 кВт,1000 мм,2500 мм,1200 мм,,,,0,https://entero.ru/manuals/283955/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDM%20650.pdf;https://entero.ru/manuals/283956/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDM%20650.png,,,580 кг,,Турция,2500 шт/час,напольная,650 мм,от 100 до 1350 г,650 мм
https://cdn.entero.ru/mp@2x/6d/96/6d96e0fd25f388a73e1b8c7ffaee29f9.jpg;https://cdn.entero.ru/mp@2x/04/77/04774d96d689536502448cca2c15bbe9.jpg;https://cdn.entero.ru/mp@2x/ef/1a/ef1a7b3f2de9b35a379963be05355b95.jpg;https://cdn.entero.ru/mp@2x/53/36/53364290febe58d47609c5121457c487.jpg;https://cdn.entero.ru/mp@2x/73/9c/739c6b77c6e21b5d1b22d9dbe547cc3c.jpg;https://cdn.entero.ru/mp@2x/61/ac/61ac4b5a3dba04a96b7197780f7575f0.jpg,Машина тестозакаточная Porlanmaz Bakery Machinery PMDM 400,Машина тестозакаточная Porlanmaz Bakery Machinery PMDM 400,0,RUB,Нет,,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/235562,"<p>Тестозакаточная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235562""><b class=""b"">Porlanmaz Bakery Machinery PMDM 400</b></a> предназначена для формирования тестовых заготовок в цилиндрическую форму заданной длины и диаметра при помощи закаточных плит на предприятиях общественного питания и торговли. Модель оснащена плитой, 4 валиками и колесами, облегчающими передвижение. Изделие выполнено из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Закатывание без разрывов, напряжения и стресса для теста</li>
<li>Возможность регулировки по ширине</li>
<li>Низкое энергопотребление</li>
<li>Бесшумная работа и отсутствие вибрации</li>
<li>Легкость очистки и обработки деталей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина плиты: 1100 мм</li>
<li>Высота входа: 1180 мм</li>
<li>Высота выхода: 640 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Боковая регулировка (ограничитель)</li>
</ul>",235562,,0.75 кВт,700 мм,2250 мм,1200 мм,,,,0,https://entero.ru/manuals/283881/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDM%20400.pdf;https://entero.ru/manuals/283882/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDM%20400.png;https://entero.ru/manuals/477891/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Porlanmaz%20Bakery%20Machinery%20PMDM%20400.pdf,,,230 кг,,Турция,2500 шт/час,напольная,400 мм,от 50 до 1200 г,420 мм
https://cdn.entero.ru/mp@2x/69/9d/699db53d53e3784f5be05d9b0f18bab9.jpg;https://cdn.entero.ru/mp@2x/a5/10/a510aadd350b1063759a60cbc9681f0d.jpg;https://cdn.entero.ru/mp@2x/8a/8e/8a8e8236af6dcf4cf3111e158f5f26b0.jpg,Машина тестозакаточная Kumkaya LM 2500 P,Машина тестозакаточная Kumkaya LM 2500 P,849215,RUB,Нет,,Профоборудование,Хлебопекарное,Тестозакаточные машины,https://entero.ru/item/234824,"<p>Тестозакаточная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/234824""><b class=""b"">Kumkaya LM 2500 P</b></a> предназначена для формирования тестовых заготовок в цилиндрическую форму на предприятиях общественного питания и торговли. Модель оснащена регулируемым мукоподсыпателем, 2 прижимными досками и колесами, облегчающими передвижение. Корпус и элементы, соприкасающиеся с продуктом выполнены из нержавеющей стали, цилиндры - с хромированным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настраиваемая прессовочная подушка для получения плоской или выпуклой поверхности изделия</li>
<li>Дизайнерский цилиндр придает изделиям индивидуальность, делая их узнаваемыми для покупателя</li>
<li>Система централизации для формирования правильной симметричной формы изделия</li>
<li>Выдвижной сборник для отходов под конвейерной лентой</li>
<li>Механическая фиксация колес</li>
<li>Скребки для очищения цилиндров</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 4000 шт./ч</li>
<li>Количество цилиндров: 2</li>
<li>Высота входа: 1361 мм</li>
<li>Высота выхода: 688 мм</li>
</ul>",234824,380 В,1.1 кВт,764 мм,2096 мм,1361 мм,,,,0,https://entero.ru/manuals/282835/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Kumkaya%20LM%202500%20P.pdf;https://entero.ru/manuals/282834/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kumkaya.pdf,,,200 кг,,Турция,,напольная,,от 50 до 1000 г,400 мм
