Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Вес (с упаковкой),Механизм поднятия головы,Вращение дежи,Загрузка теста,Обьем дежи,Кол-во скоростей,Механизм крепления чаши,Крутое тесто,Двуручный
https://cdn.entero.ru/mp@2x/46/30/46301649f43e52a9c4fb7809803647e6.jpg,Тестомес спиральный Rosso RH-8,Тестомес спиральный Rosso RH-8,31990,RUB,Да,Rosso,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/220018,"<p>Спиральный тестомес<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/220018""><b class=""b""> Rosso RH‐8 </b></a>используется на предприятиях общественного питания и торговли для замешивания теста различной плотности, перемешивания соусов и начинок. Замешивание теста осуществляется одновременным вращением спирали и дежи. Модель оснащена защитным кожухом. Дежа выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения: 159 об/мин.</li>
<li>Частота: 50 Гц</li>
<li>Цвет: белый</li>
</ul>",220018,спиральный,220 В,0.45 кВт,302 мм,495 мм,385 мм,38 кг,Китай,1,355x555x480 мм,0,https://entero.ru/manuals/286890/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rosso%20RH-8.pdf;https://entero.ru/manuals/344951/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%20%D0%BD%D0%B0%20Rosso%20RH-8.docx;https://entero.ru/manuals/345129/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,45700,,36 кг,,,неподъемная траверса,,3 кг,8 л,1 скорость,несъемная дежа,,
https://cdn.entero.ru/mp@2x/8d/c3/8dc345e1e85004abbf05d2c89753bfe7.jpg,Тестомес спиральный Gastromix HS8A,Тестомес спиральный Gastromix HS8A,32927,RUB,Да,Gastromix,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/130399,"<p>Спиральный тестомес<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130399""><b class=""b""> Gastromix HS8A</b></a> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для замеса различных видов теста с влажностью не более 50%, которое подходит для выпечки хлебобулочных или кондитерских изделий. Модель оснащена защитной решеткой и микровыключателем. Корпус выполнен из крашенного металла, дежа, месильный орган и защитная решетка выполнены из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Ременной тип привода*</li>
<li>Защитная решетка ​</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения спирали: 159 об/мин.</li>
<li>Скорость вращения дежи: 21 об/мин.</li>
<li>Габариты в упаковке: 555x355x480 мм</li>
</ul>

<p><em>*В процессе эксплуатации необходимо проверять и регулировать натяжение ремней привода! </em></p>",130399,спиральный,220 В,0.45 кВт,495 мм,302 мм,385 мм,,Китай,,,0,https://entero.ru/manuals/285951/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20HS8A.pdf;https://entero.ru/manuals/481690/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,36 кг,,,неподъемная траверса,,3 кг,8 л,1 скорость,несъемная дежа,,
https://cdn.entero.ru/mp@2x/53/15/531538ce4e2f905c765b51c5f099a141.jpg,Тестомес спиральный Hurakan HKN-30SN2V,Тестомес спиральный Hurakan HKN-30SN2V,63777,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/71346,"<p>Спиральный тестомес <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71346"">Hurakan HKN-30SN2V</a> </b>предназначен для автоматизированного смешивания ингредиентов теста (дрожжей, муки, воды, сахара, масла и соли) в однородную массу, которая затем насыщается воздухом для создания благоприятных условий брожения. Используется для приготовления хлеба, выпечки, прочих мучных изделий, а также кондитерских масс на предприятиях общественного питания и торговли. Модель оснащена электромеханической системой управления. Корпус выполнен из крашеного металла, дежа и насадки - из нержавеющей стали.</p>

<p>Аппарат не предназначен для замешивания «крутых» видов теста, а именно теста с содержанием воды менее 45-50% от объема муки.</p>

<p>Аппарат не предназначен для обработки замороженных продуктов, продуктов, содержащие твердые элементы (кости), а также непищевых продуктов.</p>

<p>Оборудование предназначено для работы только в повторно-кратковременном режиме с длительностью рабочего цикла не более 1 часа. Это означает, что после каждого часа работы необходима технологическая пауза продолжительностью не менее 20 мин.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения дежи: 10 / 20 об/мин.</li>
<li>Скорость вращения насадки: 125 / 250 об/мин.</li>
<li>Габариты в упаковке: 490х800х950 мм</li>
</ul>",71346,спиральный,380 В,1.5 кВт,445 мм,730 мм,860 мм,125 кг,Китай,1,490x800x950 мм,7,https://entero.ru/manuals/65542/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-30SN2V.doc;https://entero.ru/manuals/65543/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-30SN2V.pdf;https://entero.ru/manuals/416194/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/413459/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454588/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-30SN2V.pdf,67848,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241024&hash=1be2822673699fab;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241047&hash=7bcbd73c275f3b16,102 кг,,,неподъемная траверса,,,30 л,2 скорости,несъемная дежа,,
https://cdn.entero.ru/mp@2x/53/54/5354eef65a447251937e0fd763f36847.jpg,Тестомес спиральный Hurakan HKN-20SN2V,140684,56769,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/46423,"<p>Спиральный тестомес <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/46423"">Hurakan HKN-20SN2V</a> </b>предназначен для автоматизированного смешивания ингредиентов теста (дрожжей, муки, воды, сахара, масла и соли) в однородную массу, которая затем насыщается воздухом для создания благоприятных условий брожения. Используется для приготовления хлеба, выпечки, прочих мучных изделий, а также кондитерских масс на предприятиях общественного питания и торговли. Модель оснащена электромеханической системой управления. Корпус выполнен из крашеного металла, дежа и насадки - из нержавеющей стали.</p>

<p>Аппарат не предназначен для замешивания «крутых» видов теста, а именно теста с содержанием воды менее 45-50% от объема муки.</p>

<p>Аппарат не предназначен для обработки замороженных продуктов, продуктов, содержащие твердые элементы (кости), а также непищевых продуктов.</p>

<p>Оборудование предназначено для работы только в повторно-кратковременном режиме с длительностью рабочего цикла не более 1 часа. Это означает, что после каждого часа работы необходима технологическая пауза продолжительностью не менее 20 мин.</p>

<p><br>
<b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения дежи: 10 / 20 об/мин.</li>
<li>Скорость вращения насадки: 110 / 180 об/мин.</li>
</ul>",46423,спиральный,220 В,1.1 кВт,400 мм,675 мм,825 мм,117 кг,Китай,1,480x730x970 мм,25,https://entero.ru/manuals/65546/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-20SN2V.doc;https://entero.ru/manuals/65547/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-20SN2V.pdf;https://entero.ru/manuals/416190/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/413455/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454589/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-20SN2V.pdf,60393,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241047&hash=7bcbd73c275f3b16,100 кг,,,неподъемная траверса,,10 кг,20 л,2 скорости,несъемная дежа,,
https://cdn.entero.ru/mp@2x/94/87/94871d28ca00294bb39c9a6b759cf151.jpg,"Тестомесильная машина Сарапульский ЭГЗ МТМ-65МНА 1,5 кВт с дежой","МТМ 65МНА 1,5 кВт с дежой / МТМ-65 МНА (1.5кВт)",141797,RUB,Да,Сарапульский ЭГЗ,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/78867,"<p>Тестомесильная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/78867""><b class=""b"">МТМ-65МНА 1,5 кВт</b></a> используется на небольших предприятиях пищевой промышленности, общественного питания и торговли, в пекарнях и кондитерских для замеса теста различной консистенции и крутого теста для пельменей, чебуреков, домашней лапши, бараночных изделий и кондитерского песочного теста. Все детали, соприкасающиеся с продуктами, выполнены из нержавеющей стали, что соответствует санитарным требованиям пищевых производств. Материал корпуса покрыт износостойким лакокрасочным покрытием.</p>

<p>В комплект поставки входит дежа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Редукторный тип привода</li>
<li>Оригинальная форма месильного рычага</li>
<li>Замес происходит за счет одновременного вращения дежи и вертикального возвратного-поступательного движения месильного органа</li>
<li>Удобный пульт управления позволяет установить точное время замеса теста</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления 40 кг дрожжевого теста: 6 мин</li>
<li>Время приготовления 15 кг крутого теста: 6 мин</li>
<li>Минимальная норма загрузки ингридиентов: 5 кг</li>
<li>Средний уровень звука: 80 дБ</li>
</ul>

<p> </p>",78867,,380 В,1.5 кВт,750 мм,570 мм,1165 мм,155 кг,Россия,2,580x740x1175 мм,0,https://entero.ru/manuals/52006/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A1%D0%B0%D1%80%D0%B0%D0%BF%D1%83%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9%20%D0%AD%D0%93%D0%97%20%D0%9C%D0%A2%D0%9C-65%D0%9C%D0%9D%D0%90%201_5%20%D0%BA%D0%92%D1%82.pdf;https://entero.ru/manuals/52009/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg;https://entero.ru/manuals/158676/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D1%82%D0%B5%D1%81%D1%82%D0%BE%D0%BC%D0%B5%D1%81%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD.pdf,147705,,143 кг,240 кг/ч,,подъемная траверса,Да,40 кг,60 л,1 скорость,съемная дежа,,
https://cdn.entero.ru/mp@2x/6c/d4/6cd484dbd777bdb0a44ee75c44d2c0f8.jpg,Тестомес горизонтальный Hurakan HKN-2HN,217453,13874,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/130199,"<p>Тестомес горизонтального типа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130199"">Hurakan HKN-2HN</a> </b>предназначен для замешивания дрожжевого теста, крутого бараночного, теста для кондитерских изделий, кондитерских масс, колбасного фарша, для выпечки хлебобулочных изделий на предприятиях общественного питания и торговли. Корпус выполнен из крашеного металла, бункер и насадка - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Опрокидываемый бункер</li>
<li>Скорость вращения насадки: 36 об/мин.</li>
<li>Габариты в упаковке: 410х410х280 мм</li>
</ul>",130199,горизонтальный,220 В,0.55 кВт,365 мм,230 мм,370 мм,18 кг,Китай,1,420x300x425 мм,186,https://entero.ru/manuals/413194/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-2HN.pdf;https://entero.ru/manuals/413195/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-2HN.pdf;https://entero.ru/manuals/416123/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/413196/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241488&hash=b8e22097b3a1abb2,17 кг,,,неподъемная траверса,,2.5 кг,5 л,1 скорость,несъемная дежа,,
https://cdn.entero.ru/mp@2x/3b/e7/3be703e6408a9c670647fcd64f332b53.jpg,Тестомес Hurakan HKN-8SN,207092,33944,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/123634,"<p>Тестомес <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123634"">Hurakan HKN-8SN</a></b> используется для замешивания теста для хлебобулочных изделий на предприятиях общественного питания и торговли. Корпус выполнен из крашеного металла, дежа и насадки - из нержавеющей стали.</p>

<p>В комплект поставки входит крюк.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения:
<ul>
<li>Дежа: 21 об/мин.</li>
<li>Крюк: 159 об/мин.</li>
</ul>
</li>
<li>Загрузка муки: 3 кг</li>
<li>Габариты в упаковке: 555x355x480 мм</li>
</ul>",123634,спиральный,220 В,0.45 кВт,510 мм,314 мм,380 мм,43 кг,Китай,1,555x355x480 мм,41,https://entero.ru/manuals/413472/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-8SN.pdf;https://entero.ru/manuals/416127/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/413473/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454578/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-8SN.pdf,35731,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241047&hash=7bcbd73c275f3b16;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241061&hash=cf913924cfbd7a9f,36 кг,,,неподъемная траверса,,4.5 кг,8 л,1 скорость,несъемная дежа,,
https://cdn.entero.ru/mp@2x/00/7d/007dbdc5fb1ae9bfd9002adee75bd4a1.jpg,Тестомес спиральный Hurakan HKN-20SN,Тестомес спиральный Hurakan HKN-20SN,53546,RUB,Да,Hurakan,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/51664,"<p>Спиральный тестомес <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51664"">Hurakan HKN-20SN</a> </b>предназначен для автоматизированного смешивания ингредиентов теста (дрожжей, муки, воды, сахара, масла и соли) в однородную массу, которая затем насыщается воздухом для создания благоприятных условий брожения. Используется для приготовления хлеба, выпечки, прочих мучных изделий, а также кондитерских масс на предприятиях общественного питания и торговли. Модель оснащена электромеханической системой управления. Корпус выполнен из крашеного металла, дежа и насадки - из нержавеющей стали.</p>

<p>Аппарат не предназначен для замешивания «крутых» видов теста, а именно теста ссодержанием воды менее 45- 6 50% от объема муки.</p>

<p>Аппарат не предназначен для обработки замороженных продуктов, продуктов, содержащие твердые элементы (кости), а также непищевых продуктов.</p>

<p>Оборудование предназначено для работы только в повторно-кратковременном режиме с длительностью рабочего цикла не более 1 часа. Это означает, что после каждого часа работы необходима технологическая пауза продолжительностью не менее 20 мин.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения дежи: 20 об/мин.</li>
<li>Скорость вращения насадки: 207 об/мин.</li>
</ul>",51664,спиральный,220 В,1.1 кВт,675 мм,400 мм,825 мм,105 кг,Китай,1,740x495x980 мм,36,https://entero.ru/manuals/65540/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-20SN.doc;https://entero.ru/manuals/65541/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-20SN.jpg;https://entero.ru/manuals/416182/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/413452/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454593/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-20SN.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241047&hash=7bcbd73c275f3b16,92 кг,,,неподъемная траверса,,6 кг,20 л,1 скорость,несъемная дежа,,
https://cdn.entero.ru/mp@2x/57/ae/57ae9ecc5474da14ea7ec37df6f906b2.jpg,Тестомес спиральный Gastromix HS20B,Тестомес спиральный Gastromix HS20B,54129,RUB,Да,Gastromix,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/25224,"<p>Спиральный тестомес<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25224"">Gastromix HS20B</a></b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для замеса различных видов теста с влажностью не более 50%, которое подходит для выпечки хлебобулочных или кондитерских изделий. Корпус выполнен из крашенного металла, дежа, защитная решетка и спираль - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Механическая защита движущихся деталей</li>
<li>Микровыключатель на крышке дежи</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения насадки: 110 / 230 об/мин.</li>
<li>Скорость вращения чаши: 10 / 20 об/мин.</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",25224,спиральный,220 В,от 0.45 до 0.75 кВт,675 мм,427 мм,853 мм,,Китай,,,0,https://entero.ru/manuals/285946/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20HS20B.pdf;https://entero.ru/manuals/481694/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,78 кг,,,неподъемная траверса,,,20 л,2 скорости,несъемная дежа,,
https://cdn.entero.ru/mp@2x/54/ad/54ad33cf700bd37c51c6c6264b346ab2.jpg,Тестомес спиральный Abat ТМС-60НН-2Р LIGHT,41000006785 / ТМС-60НН-2Р,179127,RUB,Да,Abat,Профоборудование,Хлебопекарное,Тестомесильные машины,https://entero.ru/item/114292,"<p>Спиральный тестомес <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/114292"">Abat ТМС-60НН-2Р LIGHT</a></b> используется на предприятиях общественного питания и торговли для замеса различного теста, используемого для приготовления хлебобулочных и кондитерских изделий. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Корпус выполнен из высококачественной конструкционной стали с полимерным покрытием, металлические детали машины, контактирующие с продуктом во время замеса (спираль, дежа, нож) - из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая панель управления</li>
<li>Ременно-цепной привод</li>
<li>Таймер</li>
<li>Вращение спирали по эксцентрику</li>
<li>Реверс дежи и спирали</li>
<li>Высокая скорость оборота спирали</li>
<li>Скругленные внутренние углы дежи для облегчения чистки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка теста дрожжевого теста: 45 кг</li>
<li>Скорость вращения:
<ul>
<li>Спираль: от 80 до 160 об/мин.</li>
<li>Дежа: от 7,5 до 15 об/мин.</li>
</ul>
</li>
<li>Время замеса порции теста: от 10 до 14 мин.</li>
<li>Потребляемая мощность:
<ul>
<li>Номинальная: от 1 до 1,7 кВт</li>
<li>Электродвигатель: от 1 до 1,7 кВт</li>
</ul>
</li>
</ul>",114292,спиральный,380 В,от 1 до 1.7 кВт,560 мм,890 мм,755 мм,149.3 кг,Россия,1,660x1000x960 мм,11,https://entero.ru/manuals/113541/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%9C%D0%A1-60%D0%9D%D0%9D-2%D0%A0%20LIGHT.pdf;https://entero.ru/manuals/113542/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%9C%D0%A1-60%D0%9D%D0%9D-2%D0%A0%20LIGHT.doc;https://entero.ru/manuals/113543/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%9C%D0%A1-60%D0%9D%D0%9D-2%D0%A0%20LIGHT.doc,190561,,110.3 кг,225 кг/ч,,неподъемная траверса,Да,45 кг,60 л,2 скорости,несъемная дежа,,
