Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Установка,Вес (с упаковкой),Материал корпуса,Масса заготовки,Диаметр заготовки,Лапшерезка,Ширина раскатки,Толщина раскатки,Тесто
https://cdn.entero.ru/mp@2x/4f/f1/4ff19116133b7a2c752321b32e31feb8.jpg,Тестораскатка-лапшерезка XINXIN DHH-240C,D3158,17773,RUB,Да,,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/127588,"<p>Тестораскатка-лапшерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127588"">XINXIN DHH-240C</a> </b>используется на предприятиях общественного питания и торговли для равномерной раскатки теста и производства спагетти, лапши и других видов макаронных изделий. Ролики выполнены нержавеющей стали, ножи - из металла с защитным покрытием.</p>

<p>В комплект поставки входит 1 нож размером 2x6 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Гибридный привод (шестерёнчатая и ременная передачи)</li>
<li>Низкий уровень шума</li>
</ul>",127588,традиционная тестораскатка,220 В,0.55 кВт,437 мм,330 мм,400 мм,22 кг,Китай,1,445x345x408 мм,0,https://entero.ru/manuals/414862/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20XINXIN%20DHH-240C.pdf;https://entero.ru/manuals/481756/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,19111,,21 кг,от 20 до 22.5 кг/ч,настольная,,пластик,,,Да,240 мм,от 1 до 4 мм,
https://cdn.entero.ru/mp@2x/47/5a/475a9f66e6ccf43d966a9141678093d7.jpg,Тестораскаточная машина Imperia (La Monferrina) Restaurant Professional 036,E1580 / 8 005782 000363,142346,RUB,Да,Imperia (La Monferrina),Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/155577,"<p>Тестораскаточная машина<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/155577""><b class=""b""> Imperia Restaurant Professional 036</b></a> используется на предприятиях общественного питания и в домашних условиях для раскатки теста, предназначенного для приготовления лапши. Модель оснащена мощным электродвигателем. Конструкция выполнена из хромированной стали, шестерни - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регуляторы толщины раскатки с 10 положениями</li>
<li>Гладкий вал для тестораскатки не цепляет и не рвет тесто</li>
<li>Самосмазывающиеся оси и втулки</li>
<li>Стальной бункер</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения: 45 об/мин.</li>
<li>Габариты в упаковке: 420x350x410 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка для спагетти <a href=""https://entero.ru/item/39559"">Simplex Restaurant 097</a></li>
<li>Насадка для капеллини <a href=""https://entero.ru/item/39558"">Simplex Restaurant 060</a></li>
<li>Насадка для тальятелле <a href=""https://entero.ru/item/47507"">Simplex Restaurant 070</a></li>
<li>Насадка для тренетте <a href=""https://entero.ru/item/47508"">Simplex Restaurant 080</a></li>
<li>Насадка для феттуччине <a href=""https://entero.ru/item/47509"">Simplex Restaurant 090</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/51794"">Simplex Restaurant 095</a></li>
<li>Насадка для лазанетте <a href=""https://entero.ru/item/64082"">Simplex Restaurant 098</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114170"">Raviolamp 310</a></li>
<li>Форма для равиоли <a href=""https://entero.ru/item/114178"">Raviolamp 314</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114181"">Raviolamp 317</a></li>
<li>Набор форм для равиоли <a href=""https://entero.ru/item/114211"">Raviolamp 318</a></li>
<li>Сушилка для лапши <a href=""https://entero.ru/item/114105"">Stendipasta 540</a></li>
</ul>",155577,традиционная тестораскатка,220 В,0.16 кВт,300 мм,220 мм,275 мм,16.1 кг,Италия,1,430x360x370 мм,10,https://entero.ru/manuals/184905/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Imperia%20%28La%20Monferrina%29%20Restaurant%20Professional%20036.pdf,,,14.8 кг,14 кг/ч,настольная,,нерж. сталь,,,,210 мм,от 0.5 до 5 мм,прямоугольное
https://cdn.entero.ru/mp@2x/22/83/2283dcae2bfef8273d33dde77819ed0f.jpg,Тестораскаточная машина FIMAR SI/420 380В,SI 420 380V 53052 / SI420 3Ф,239458,RUB,Да,FIMAR,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/25364,"<p>Тестораскаточная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25364""><b class=""b"">FIMAR SI/420</b></a> используется на предприятиях общественного питания, торговли, в пекарнях и кондитерских для раскатки яичного теста, теста под пиццу, тонких лепешек и т.д. Модель оснащена противоаварийным микровыключателем на защитной крышке верхних валков. Корпус выполнен из нержавеющей стали, валики - из нержавеющей стали, отполированной до зеркального блеска.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая толщина раскатки</li>
<li>Отсек загрузки и выгрузки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 770x520x580 мм</li>
<li>Объем упаковки: 0,232 м<sup>3</sup></li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Приспособление для нарезки пласта теста на полоски различных размеров: 2 / 4 / 6 / 12 мм</li>
</ul>",25364,традиционная тестораскатка,380 В,0.37 кВт,680 мм,480 мм,400 мм,70 кг,Италия,1,770x520x580 мм,10,https://entero.ru/manuals/66829/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20FIMAR%20SI_420.pdf;https://entero.ru/manuals/87356/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20FIMAR.pdf;https://entero.ru/manuals/311825/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20FIMAR%20SI_420.pdf;https://entero.ru/manuals/377021/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%28%D1%80%D1%83%D1%81.%20+%20%D0%B0%D0%BD%D0%B3%D0%BB.%29%20%D0%BD%D0%B0%20FIMAR%20SI_420%20380%D0%92.pdf;https://entero.ru/manuals/377023/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/377024/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20FIMAR%20SI_420%20380%D0%92.pdf;https://entero.ru/manuals/377025/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%B4%D0%BE%2009.02.2025%29.pdf,,,61 кг,,настольная,,нерж. сталь,,,Да,420 мм,от 0 до 10 мм,
https://cdn.entero.ru/mp@2x/ba/47/ba471cab91b823900dcf8284f3e5351c.jpg,Машина тестораскаточная Resto Italia SPR50 ONE,н0000128078 / SPR 50 UNO,72156,RUB,Да,Resto Italia,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/89269,"<p>Тестораскаточная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89269"">Resto Italia SPR50 ONE</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для раскатывания тестовых заготовок в пласт при производстве пиццы, хлеба, пирожков и других изделий. Корпус изготовлен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка толщины раскатывания с помощью рычага</li>
<li>Эксплуатация при температуре внутри помещения до 40 °C и влажности воздуха от 10 до 80%</li>
<li>Класс защиты: IPX1</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 0,37 кВт</li>
<li>Условия расположения: рабочий стол с высотой от 900 до 1000 мм от пола, со свободным перемещением от 800 мм</li>
<li>Габариты в упаковке: 700х520х380 мм</li>
</ul>",89269,тестораскатка для пиццы,220 В,0.25 кВт,650 мм,355 мм,355 мм,30 кг,Италия,1,700x520x380 мм,0,https://entero.ru/manuals/72174/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Resto%20Italia%20SPR50%20ONE%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/298490/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Resto%20Italia%20SPR50%20ONE.pdf,76762,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241404&hash=910216820080550c,27 кг,,настольная,,нерж. сталь,от 0.21 до 0.7 кг,от 260 до 450 мм,,,от 1 до 4 мм,круглое
https://cdn.entero.ru/mp@2x/86/c5/86c59662bcf39d5342ab9960d08a8f41.jpg;https://cdn.entero.ru/mp@2x/9b/56/9b56a73664923c490f07e77be3aa7c3b.jpg;https://cdn.entero.ru/mp@2x/44/ec/44eccc3c33c3477772fff0fa6b6f30e5.jpg,Тестораскаточная машина FIMAR SI/320 380В,SI 320 380V 52138 / SI320 3Ф,221183,RUB,Да,FIMAR,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/25363,"<p>Тестораскаточная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25363""><b class=""b"">FIMAR SI/320</b></a> используется на предприятиях общественного питания, торговли, в пекарнях и кондитерских для раскатки крутого теста. Модель оснащена противоаварийным микровыключателем на защитной крышке верхних валков. Корпус выполнен из нержавеющей стали, валики - из нержавеющей стали, отполированной до зеркального блеска.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая толщина раскатки</li>
<li>Отсек загрузки и выгрузки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 770x520x580 мм</li>
<li>Объем упаковки: 0,232 м<sup>3</sup></li>
</ul>

<p><b> Опции (заказываются отдельно):</b></p>

<ul>
<li>Приспособление для нарезки пласта теста на полоски различных размеров: 2 / 4 / 6 / 12 мм</li>
</ul>",25363,традиционная тестораскатка,380 В,0.37 кВт,580 мм,480 мм,400 мм,61 кг,Италия,1,770x520x580 мм,22,https://entero.ru/manuals/66828/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20FIMAR%20SI_320.pdf;https://entero.ru/manuals/87355/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20FIMAR.pdf;https://entero.ru/manuals/274841/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20FIMAR%20SI_320.pdf;https://entero.ru/manuals/377015/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%28%D1%80%D1%83%D1%81.%20+%20%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/377016/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/377018/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/377019/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%B4%D0%BE%2009.02.2025%29.pdf,,,52 кг,,настольная,,нерж. сталь,,,Да,320 мм,от 0 до 10 мм,
https://cdn.entero.ru/mp@2x/ac/47/ac475cb3425cc05f05e3592ca1e7d23d.jpg;https://cdn.entero.ru/mp@2x/25/d4/25d4741262098d238f04817c22658586.jpg;https://cdn.entero.ru/mp@2x/1f/53/1f53b3c950990e61307f320c821e611c.jpg;https://cdn.entero.ru/mp@2x/f5/01/f50143a81729a91980a186cb3e98eb2b.jpg,Тестораскаточная машина Kocateq OMJ300ECO,33665,22507,RUB,Да,Kocateq,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/173124,"<p>Тестораскаточная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173124"">Kocateq OMJ300ECO</a></b> используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для раскатывания и нарезания на полоски тонкого теста, предназначенного для приготовления лапши, тальятелле и феттуччине. Валки выполнены из хрома, корпус - из нержавеющей стали AISI409, ножки - из нескользящего пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Раскатывание предварительно замешанного теста между 2 валками</li>
<li>Простое регулирование сведения роликов ручками, расположенными на фронтальной поверхности раскатки</li>
<li>Встроенные ножи для нарезки раскатанного теста </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина тестовых полосок: 2 / 5,5 мм</li>
<li>Диаметр валка: 70 мм</li>
<li>Ширина валка: 240 мм</li>
<li>Габариты в упаковке: 570x490x520 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Ножи для нарезания теста на полоски шириной 3-9 мм, Ø 1,8 / 2,5 мм (для производства вермишели)</li>
</ul>",173124,традиционная тестораскатка,220 В,0.75 кВт,450 мм,430 мм,350 мм,19 кг,Ю. Корея,1,570x490x520 мм,0,https://entero.ru/manuals/279097/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20OMJ300ECO.pdf,23692,,,30 кг/ч,настольная,,нерж. сталь,,,,240 мм,от 0.5 до 15 мм,прямоугольное
https://cdn.entero.ru/mp@2x/94/2a/942a8742f999a6ff82dcf19226aed421.jpg;https://cdn.entero.ru/mp@2x/a7/65/a7657ba9fb418741575c9a42ed824e7d.jpg;https://cdn.entero.ru/mp@2x/f8/90/f8909a6a820d0835be1e893681289e1e.jpg;https://cdn.entero.ru/mp@2x/b4/a9/b4a9dcd617b02f0848a5034e39250180.jpg;https://cdn.entero.ru/mp@2x/bf/21/bf2125a1a49d2e4545f5923c789c8881.jpg;https://cdn.entero.ru/mp@2x/38/7a/387a0770a92c6194118444849ccee2e0.jpg;https://cdn.entero.ru/mp@2x/6e/c9/6ec90af4546a8a4a6f824e0974ec5758.jpg;https://cdn.entero.ru/mp@2x/2c/2b/2c2b3a665e177a2443f8094dcd94a21d.jpg;https://cdn.entero.ru/mp@2x/a6/3f/a63f6e039068617942c042ec69a5e590.jpg;https://cdn.entero.ru/mp@2x/2e/14/2e143d8e4c85951d94d16525b5b46d87.jpg;https://cdn.entero.ru/mp@2x/26/f2/26f28cd10279d2cfc457e5bb3d864818.jpg,Тестораскатка-лапшерезка электрическая Foodatlas DZM-350,Тестораскатка-лапшерезка электрическая Foodatlas DZM-350,36615,RUB,Да,Foodatlas,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/83990,"<p>Электрическая тестораскатка-лапшерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83990""><b class=""b"">Foodatlas DZM-350 </b></a>используется на предприятиях общественного питания и торговли для равномерной раскатки теста для пиццы, крутого, дрожжевого, сленого, песочного теста и производства спагетти, лапши и других видов макаронных изделий. Напольная модель оснащена аварийной кнопкой остановки и устройством защиты персонала. Корпус выполнен их пластика, материал валков - нержавеющая сталь.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина лапши: 2 / 6 мм</li>
<li>Габариты в упаковке: 610х450х950 мм мм</li>
</ul>

<p><b>Опции (заказываются отдельго):</b></p>

<ul>
<li>Нож <a href=""https://entero.ru/item/345170"">DZM-350 2х6 мм</a></li>
<li>Нож <a href=""https://entero.ru/item/345175"">DZM-350 2 мм</a></li>
<li>Нож <a href=""https://entero.ru/item/345181"">DZM-350 3 мм круглый</a></li>
<li>Нож <a href=""https://entero.ru/item/345183"">DZM-350 3 мм</a></li>
<li>Нож <a href=""https://entero.ru/item/345184"">DZM-350 4 мм</a></li>
</ul>",83990,традиционная тестораскатка,220 В,1.5 кВт,570 мм,410 мм,910 мм,97 кг,Китай,1,610x450x950 мм,0,https://entero.ru/manuals/78945/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20DZM-350.doc,38952,,81 кг,от 50 до 80 кг/ч,напольная,,пластик,,,Да,300 мм,от 1 до 4 мм,прямоугольное
https://cdn.entero.ru/mp@2x/56/b7/56b7eb3e17420e32128014c30e087787.jpg,Тестораскатка-лапшерезка электрическая Hualian HMT-20 (200 мм),Тестораскатка-лапшерезка электрическая Hualian HMT-20 (200 мм),16560,RUB,Да,Hualian,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/289674,"<p>Электрическая тестораскатка-лапшерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/289674""><b class=""b"">Hualian HMT-20</b></a> предназначена для раскатки теста в пласты для приготовления пельменей, вареников, чебуреков, а также производства лапши и заготовок макаронных изделий путем автоматической нарезки полученного пласта на равные по ширине сегменты. Модель оснащена электромеханическим управлением. Корпус, раскаточные валы и прочие соприкасающиеся с продуктом компоненты выполнены из высококачественной нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка толщины раскатки теста</li>
<li>Выключатель колыбельного типа</li>
<li>Функция реверсивного движения валов</li>
<li>Уникальная конструкция ножевого узла с легкой сменой ширины нарезки</li>
<li>Быстрые монтаж и демонтаж ножевого узла</li>
<li>Удобная настройка с помощью винтовых механических ручек и размерных шкал на боковых панелях</li>
<li>Наклонный желоб с бортами для удобства загрузки</li>
<li>Оптимальная высота выгрузки </li>
<li>Устойчивые нескользящие опоры</li>
<li>Компактные габариты для оптимизации рабочего пространства</li>
<li>Простая и безопасная эксплуатация</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина нарезки: 3 / 9 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Ножевой узел с альтернативными параметрами нарезки</li>
</ul>",289674,традиционная тестораскатка,220 В,0.55 кВт,380 мм,375 мм,385 мм,,Китай,,,0,,17432,,,17 кг/ч,настольная,,нерж. сталь,,,Да,200 мм,от 1 до 20 мм,прямоугольное
https://cdn.entero.ru/mp@2x/f4/dd/f4dd5f877e5725baa4203a6b0e56d93d.jpg;https://cdn.entero.ru/mp@2x/f8/b4/f8b4de2a627bbc3e3679ee306c7903b9.jpg;https://cdn.entero.ru/mp@2x/50/7a/507a5d19da341e8671b3b7c7eda230a1.jpg,Тестораскатка-лапшерезка электрическая XINXIN RHH-280MD,Тестораскатка-лапшерезка электрическая XINXIN RHH-280MD,19090,RUB,Да,,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/368754,"<p>Электрическая тестораскатка-лапшерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/368754"">XINXIN RHH-280MD</a></b> предназначена для раскатки теста в пласты для приготовления пельменей, вареников, чебуреков, а также производства лапши и заготовок макаронных изделий путем автоматической нарезки полученного пласта на равные по ширине сегменты. Модель оснащена электромеханическим управлением. Корпу выполнен из нержавеющей стали, раскаточные ролики и нож – из металла с защитным покрытием.</p>

<p>В комплект поставки входит нож.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка толщины раскатки теста</li>
<li>Удобная настройка с помощью винтовых механических ручек с обеих сторон</li>
<li>Шестеренчато-ременный редуктор для снижения уровня шума</li>
<li>Наклонный желоб с бортами для удобства загрузки</li>
<li>Устойчивые нескользящие опоры</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая длительность непрерывной работы: от 20 до 30 мин.</li>
<li>Диапазон уровня шума: от 50 до 60 дБ</li>
<li>Ширина раскатки: 280 мм</li>
<li>Ширина нарезки: 2х6 мм</li>
</ul>",368754,традиционная тестораскатка,220 В,2.2 кВт,450 мм,455 мм,415 мм,23 кг,Китай,1,470x340x395 мм,0,https://entero.ru/manuals/491963/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20XINXIN%20RHH-280MD.pdf,20750,,,,настольная,,нерж. сталь,,,Да,280 мм,от 1 до 20 мм,прямоугольное
https://cdn.entero.ru/mp@2x/4a/6f/4a6fbde2e19bcff446787c96904ef10b.jpg,Тестораскаточная машина Gastromix TDR-380F,Тестораскаточная машина Gastromix TDR-380F,223084,RUB,Да,Gastromix,Профоборудование,Хлебопекарное,Тестораскаточные машины,https://entero.ru/item/115414,"<p>Тестораскаточная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115414"">Gastromix TDR-380F</a></b> используется на предприятиях общественного питания, в пекарнях и кондитерских для раскатки теста и формирования тестовых заготовок, предназначенных для приготовления пиццы, лепешек, хлебобулочных изделий и т.д. Корпус выполнен из крашенного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая система управления</li>
<li>Реверсивный режим раскатки теста</li>
<li>Регулируемая толщина теста на выходе</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения валика: 133 об/мин.</li>
<li>Диаметр валика: 88 мм</li>
</ul>",115414,конвейерная тестораскатка,220 В,0.75 кВт,1630 мм,730 мм,1225 мм,200 кг,Китай,1,820x800x1415 мм,0,https://entero.ru/manuals/114709/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20TDR-380F.pdf;https://entero.ru/manuals/359623/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,170 кг,,напольная,,окрашенная сталь,,,,380 мм,от 1 до 35 мм,прямоугольное
