Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Объем
https://cdn.entero.ru/mp@2x/0f/a5/0fa56cd180efbe7ea1d065fdd06d2ee2.jpg;https://cdn.entero.ru/mp@2x/6c/ad/6cadeb04c50c8141150c5d951fe87c5a.jpg;https://cdn.entero.ru/mp@2x/59/64/59647ea377176b9dc3c320e591969c20.jpg;https://cdn.entero.ru/mp@2x/b5/53/b553cfb398da8e4e17b71f9dd932246e.jpg,Ферментатор Abat ФТ-100,11000005511,784190,RUB,Да,Abat,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/165221,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/165221"">Abat ФТ-100</a></b> предназначен для приготовления и хранения различных жидких заквасок на предприятиях пищевой промышленности и общественного питания. Модель оснащена 4 колесами, 2 из которых со стопорами. Конструкция выполнена из высококачественной аустенитной нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сенсорная панель управления с TFT-экраном контролирует и настраивает конфигурацию циклов смешивания, ферментации и консервации</li>
<li>Холодильная установка в задней части машины</li>
<li>2 сливных крана:
<ul>
<li>Верхнее отверстие для слива полезного объема закваски</li>
<li>Нижнее отверстие для полного опустошения резервуара</li>
</ul>
</li>
<li>Герметичная крышка препятствует доступу кислорода, позволяя поддерживать анаэробные условия</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Общий: 210 л</li>
<li>Полезный: 105 л</li>
<li>Материнская закваска: 32,5 л</li>
</ul>
</li>
<li>Хладагент: R404a</li>
</ul>",165221,380 В,3.6 кВт,754 мм,1350 мм,1596 мм,0,https://entero.ru/manuals/191687/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%A4%D0%A2-100.pdf,852380,,248 кг,,Россия,210 л
https://cdn.entero.ru/mp@2x/62/26/6226e068f169c2180a6275b47f0ac32c.jpg;https://cdn.entero.ru/mp@2x/1e/02/1e026cd954bb30deca2f2c274e9b9f81.jpg;https://cdn.entero.ru/mp@2x/2e/06/2e0699d9b8e1d63539920cb67362017a.jpg;https://cdn.entero.ru/mp@2x/0d/1e/0d1e8ecd60b1a249772d045e52f8df29.jpg;https://cdn.entero.ru/mp@2x/c2/11/c2116dbeaaa226e5c9db2c9ed0de7b18.jpg;https://cdn.entero.ru/mp@2x/78/b2/78b2c8b78967f1630db681cd6a6a1cd0.jpg;https://cdn.entero.ru/mp@2x/22/08/22086366513471300745bf5991abe71e.jpg;https://cdn.entero.ru/mp@2x/44/5c/445ced60ddfe8f7165ede85d8d307edf.jpg;https://cdn.entero.ru/mp@2x/45/2b/452b7ca5a4d402b1904b093bf82ee8b4.jpg;https://cdn.entero.ru/mp@2x/b4/24/b42412d6f36c60cd0f8027c279ddbdfc.jpg;https://cdn.entero.ru/mp@2x/7b/69/7b69c12966fa733583ad2749d6b42bfb.jpg;https://cdn.entero.ru/mp@2x/90/89/9089b7cf090fb1cb184150527292ef7d.jpg;https://cdn.entero.ru/mp@2x/4b/23/4b23615bd0416f07c56644aeab4423a0.jpg,Ферментатор Abat ФТ-40,11000005512,670670,RUB,Да,Abat,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/124224,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124224"">Abat ФТ-40</a></b> предназначен для приготовления и хранения различных жидких заквасок на предприятиях пищевой промышленности и общественного питания. Конструкция выполнена из высококачественной аустенитной нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сенсорная панель управления с TFT-экраном контролирует и настраивает конфигурацию циклов смешивания, ферментации и консервации</li>
<li>Холодильная установка в задней части машины</li>
<li>2 сливных крана:
<ul>
<li>Верхнее отверстие для слива полезного объема закваски</li>
<li>Нижнее отверстие для полного опустошения резервуара</li>
</ul>
</li>
<li>Герметичная крышка препятствует доступу кислорода, позволяя поддерживать анаэробные условия</li>
<li>4 колеса, 2 из которых со стопорами</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Общий: 80 л</li>
<li>Полезный: 40 л</li>
<li>Материнская закваска: 12 л</li>
</ul>
</li>
<li>Хладагент: R404a</li>
<li>Уровень шума: ниже 75 дБ(A)</li>
<li>Габариты в упаковке: 590х1040х1640 мм</li>
</ul>",124224,380 В,1.6 кВт,505 мм,1035 мм,1491 мм,0,https://entero.ru/manuals/310842/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%A4%D0%A2-40.pdf,713479,,189 кг,,Россия,80 л
https://cdn.entero.ru/mp@2x/90/9f/909f945b472e4841edf9ee6be598a4aa.jpg;https://cdn.entero.ru/mp@2x/70/5f/705f154f546af14a7ef81ff55a505eeb.jpg;https://cdn.entero.ru/mp@2x/df/1a/df1a3e125fffa7a2354c0bb57f42b4cb.jpg,Ферментатор Abat ФТ-40П,Ферментатор Abat ФТ-40П,778030,RUB,Да,Abat,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/225606,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225606"">Abat ФТ-40П</a> </b>предназначен для приготовления и хранения различных жидких заквасок на предприятиях пищевой промышленности и общественного питания. Модель оснащена панелью управления с сенсорным экраном, позволяющим контролировать и настраивать конфигурацию циклов смешивания, ферментациии, консервации и колесами с ножным тормозом. Конструкция выполнена из высококачественной аустенитной нержавеющей стали AISI 304. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Эксклюзивная система смешивания с программным управлением обеспечивает идеальный процесс перемешивания</li>
<li>Высоко расположенный сливной кран обеспечивает сохранение минимального резервного объема закваски</li>
<li>Нижний выход обеспечивает полный слив</li>
<li>Герметичная крышка гарантирует высокую стабильность закваски</li>
</ul>

<p><b>Доолнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Общий: 80 л</li>
<li>Полезный: 40 л</li>
<li>Материнская закваска: 12 л</li>
</ul>
</li>
<li>Хладагент: R404a</li>
</ul>",225606,380 В,1.6 кВт,502 мм,1059 мм,1494 мм,0,https://entero.ru/manuals/272325/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%A4%D0%A2-40%D0%9F.pdf;https://entero.ru/manuals/272324/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A4%D0%A2-40%D0%9F.pdf,,,195 кг,,Россия,80 л
https://cdn.entero.ru/mp@2x/82/2d/822d7c7904b5e44c6ece9d98c568b8f5.jpg;https://cdn.entero.ru/mp@2x/dd/58/dd586579bfc685c31dbbaaa3a329e6f3.jpg;https://cdn.entero.ru/mp@2x/a9/48/a9489757f9525a2cbbedee0983992d05.jpg;https://cdn.entero.ru/mp@2x/6a/76/6a76869559562836f6ded2daa549daa9.jpg;https://cdn.entero.ru/mp@2x/51/5c/515cc4cb4e0ff12c71ac7abafd6f7139.jpg;https://cdn.entero.ru/mp@2x/a6/78/a6783e7f8f20736ae0b9f20f695d1be4.jpg;https://cdn.entero.ru/mp@2x/cb/01/cb015d08362088820f511df4710f2cff.jpg;https://cdn.entero.ru/mp@2x/f8/8d/f88d0d8d562b01924ad27bf801bd3f2c.jpg;https://cdn.entero.ru/mp@2x/5a/5b/5a5b015773bb248494ae866f66066f49.jpg;https://cdn.entero.ru/mp@2x/75/3f/753ff6d47b34341087d6cb8dbbe4bedb.jpg;https://cdn.entero.ru/mp@2x/74/1c/741ce59670253264946a4971ff680727.jpg;https://cdn.entero.ru/mp@2x/85/84/8584e44f6f2efa363f815c6b08c811b8.jpg;https://cdn.entero.ru/mp@2x/bb/0c/bb0ce03d8bdbe5b94d978c6a48071ee5.jpg,Ферментатор Jac TL 40,Ферментатор Jac TL 40,1504889,RUB,Нет,Jac,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/249871,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249871"">Jac TL 40</a></b> предназначен для приготовления, хранения и регулирования температуры закваски на предприятиях пищевой промышленности и общественного питания. Модель оснащена сенсорным экраном, встроенным калькулятором, аэробным клапаном, обеспечивающим подачу кислорода, боковыми ручками и большими колесиками с тормозом. Корпус и все остальные элементы полностью выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Automix: автоматическая система управления перемешиванием в зависимости от уровня активности ферментации</li>
<li>Variospeed: автоматическое регулирование скорости перемешивания в зависимости от объема закваски</li>
<li>Система смешивания с погруженными лопастями: минимальное обслуживание, предотвращение вырождения закваски</li>
<li>Холодильная группа: контроль температуры закваски во время различных производственных циклов</li>
<li>Защита от перелива</li>
<li>Индивидуально настраиваемая система предупреждения о низком уровне закваски</li>
<li>Мягкий нагрев: поддержание температуры во время длительных циклов ферментации и регулировка на несколько градусов неточности температуры воды во время обновления</li>
<li>Герметичное уплотнение крышки резервуара</li>
<li>Моноблочный резервуар с бортиком: предотвращение попадания загразнений</li>
<li>Легкая очистка</li>
<li>Память содержит 2 рецепта и 6 настраиваемых</li>
<li>Экран утоплен в корпус и наколонен: максимальная защита и эргономичное использование</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Нагрев: 0,27 кВт</li>
<li>Система охлаждения: 0,4 кВт</li>
</ul>
</li>
<li>Максимальный объем:
<ul>
<li>Общий: 50 л</li>
<li>Полезный: 40 л</li>
</ul>
</li>
<li>Минимальная емкость:
<ul>
<li>Общая: 25 л</li>
<li>Полезная: 20 л</li>
</ul>
</li>
<li>Высота загрузки: 112 см</li>
</ul>",249871,380 В,1.5 кВт,570 мм,949 мм,1292 мм,0,https://entero.ru/manuals/306293/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Jac%20TL%2040.pdf;https://entero.ru/manuals/306294/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Jac%20TL%2040.png;https://entero.ru/manuals/306295/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BD%D0%B0%20Jac%20TL.pdf,1567593,,,,Франция,80 л
https://cdn.entero.ru/mp@2x/97/51/9751346b0771d51ddb7a828d67cf1716.jpg;https://cdn.entero.ru/mp@2x/77/92/779223563f7c16ebe5ec6af13a73f968.jpg;https://cdn.entero.ru/mp@2x/e0/8d/e08d423bd616d52d23d4fa8160ea42ad.jpg;https://cdn.entero.ru/mp@2x/68/b9/68b91833b630afd28efd741af198dda4.jpg;https://cdn.entero.ru/mp@2x/7d/4c/7d4cd5fd365c0112b61abd2eb39f4ecf.jpg;https://cdn.entero.ru/mp@2x/46/31/4631d93fb439adb2474388c528a4f1bb.jpg;https://cdn.entero.ru/mp@2x/35/d3/35d3440dd47737c862e2e0b2285e10f6.jpg;https://cdn.entero.ru/mp@2x/18/ee/18ee72c31c68114d432206c683823a48.jpg;https://cdn.entero.ru/mp@2x/7c/76/7c76a2961edc2ed0d124ad57fe3820b1.jpg;https://cdn.entero.ru/mp@2x/71/83/71835269c3daab55c76ee7339e467628.jpg;https://cdn.entero.ru/mp@2x/75/1d/751dcc17691c5955f4d74e798d5f2cf8.jpg;https://cdn.entero.ru/mp@2x/1f/d4/1fd40f4be510c69eed2d8f3e9933f582.jpg;https://cdn.entero.ru/mp@2x/80/5b/805b595c11261902fd4ed37413ef9083.jpg,Ферментатор Jac TL 270,Ферментатор Jac TL 270,3011692,RUB,Нет,Jac,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/249879,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249879"">Jac TL 270</a></b> предназначен для приготовления, хранения и регулирования температуры закваски на предприятиях пищевой промышленности и общественного питания. Модель оснащена сенсорным экраном, встроенным калькулятором, аэробным клапаном, обеспечивающим подачу кислорода, боковыми ручками и большими колесиками с тормозом. Корпус и все остальные элементы полностью выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Automix: автоматическая система управления перемешиванием в зависимости от уровня активности ферментации</li>
<li>Variospeed: автоматическое регулирование скорости перемешивания в зависимости от объема закваски</li>
<li>Система смешивания с погруженными лопастями: минимальное обслуживание, предотвращение вырождения закваски</li>
<li>Холодильная группа: контроль температуры закваски во время различных производственных циклов</li>
<li>Защита от перелива</li>
<li>Индивидуально настраиваемая система предупреждения о низком уровне закваски</li>
<li>Мягкий нагрев: поддержание температуры во время длительных циклов ферментации и регулировка на несколько градусов неточности температуры воды во время обновления</li>
<li>Герметичное уплотнение крышки резервуара</li>
<li>Моноблочный резервуар с бортиком: предотвращение попадания загразнений</li>
<li>Легкая очистка</li>
<li>Память содержит 2 рецепта и 6 настраиваемых</li>
<li>Экран утоплен в корпус и наколонен: максимальная защита и эргономичное использование</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Нагрев: 0,75 кВт</li>
<li>Система охлаждения: 1,4 кВт</li>
</ul>
</li>
<li>Максимальный объем:
<ul>
<li>Общий: 340 л</li>
<li>Полезный: 270 л</li>
</ul>
</li>
<li>Минимальная емкость:
<ul>
<li>Общая: 170 л</li>
<li>Полезная: 136 л</li>
</ul>
</li>
<li>Высота загрузки: 135 см</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Система взвешивания</li>
</ul>",249879,380 В,7 кВт,980 мм,1456 мм,1556 мм,0,https://entero.ru/manuals/306305/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Jac%20TL%20270.pdf;https://entero.ru/manuals/306306/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BD%D0%B0%20Jac%20TL.pdf;https://entero.ru/manuals/306309/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Jac%20TL%20270.png,3137179,,,,Франция,540 л
https://cdn.entero.ru/mp@2x/e6/ef/e6efa7495152f0721bf494d021d00882.jpg;https://cdn.entero.ru/mp@2x/63/8b/638bedf5c05a95bfd4c48c7f4a9a6f0f.jpg;https://cdn.entero.ru/mp@2x/f9/84/f98417067c6fcf3bd61125f37a95ee80.jpg;https://cdn.entero.ru/mp@2x/c5/6b/c56bf00c7b69533fad6d41bb954af318.jpg,Ферментатор Abat ФТ-100П,11000005518,890560,RUB,Нет,Abat,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/218226,"<p>Ферментатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/218226""><b class=""b"">Abat ФТ-100 П</b></a> предназначен для приготовления и хранения различных жидких заквасок на предприятиях пищевой промышленности и общественного питания. Модель оснащена 4 колесами, 2 из которых со стопорами. Конструкция выполнена из высококачественной аустенитной нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сенсорная панель управления с TFT-экраном контролирует и настраивает конфигурацию циклов смешивания, ферментации и консервации</li>
<li>Холодильная установка в задней части машины</li>
<li>2 сливных крана:
<ul>
<li>Верхнее отверстие для слива полезного объема закваски</li>
<li>Нижнее отверстие для полного опустошения резервуара</li>
</ul>
</li>
<li>Герметичная крышка препятствует доступу кислорода, позволяя поддерживать анаэробные условия</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Общий: 210 л</li>
<li>Полезный: 105 л</li>
<li>Материнская закваска: 32,5 л</li>
</ul>
</li>
<li>Хладагент: R404a</li>
</ul>",218226,380 В,3.5 кВт,760 мм,1350 мм,1596 мм,0,https://entero.ru/manuals/259191/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A4%D0%A2-100%D0%9F.pdf;https://entero.ru/manuals/259192/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%A4%D0%A2-100%D0%9F.pdf;https://entero.ru/manuals/409817/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,268 кг,,Россия,210 л
https://cdn.entero.ru/mp@2x/bb/05/bb05d6568540ed028aabd787fb8698eb.jpg,Ферментатор Apach Bakery Line M15 Touch,Ферментатор Apach Bakery Line M15 Touch,1535127,RUB,Нет,Apach,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/195413,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195413"">Apach Bakery Line M15 Touch</a></b> используется на предприятиях пищевой промышленности и общественного питания для приготовления, хранения и регулирования температуры закваски. Модель оснащена дисплеем Touch Screen для программирования фаз приготовления и хранения закваски, пылевым фильтром для защиты холодильного агрегата, съемным краном, съемными инструментами, визуальной и акустической сигнализацией. Корпус, емкость и инструменты выполнены из нержавеющей стали, крышка - из прозрачного плексигласа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>​​Машина полностью контролируется специальным программным обеспечением</li>
<li>Автоматический контроль температуры холодильного агрегата/нагревательного элемента</li>
<li>Тропический холодильный агрегат с пылевым фильтром</li>
<li>Сливной патрубок из нержавеющей стали легко снимается для очистки</li>
<li>4 специализированные программы для управления фазами</li>
<li>Контроль температуры продукта и чаши с помощью датчиков</li>
<li>Защита программного обеспечения - в случае перепада электроэнергии программа продолжит выполнять цикл с того момента, когда он был прерван</li>
<li>Деликатное изменение температурного режима при охлаждении или нагреве продукта</li>
<li>Переменная скорость вращения месильного органа инструмента с инвертором</li>
<li>Остановка смешивания в случае передозировки муки</li>
<li>Датчик открывания крышки останавливает двигатель при открывании</li>
<li>Внутренние стенки чаши с антиобледенительной системой</li>
<li>Съемный смеситель со скребком</li>
<li>Защита чаши прозрачным оргстеклом с решеткой</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочий объем: 10 кг</li>
<li>Диаметр сливного патрубка: 2,5""</li>
<li>Габариты в упаковке: 840х880х780 мм</li>
</ul>",195413,220 В,0.6 кВт,960 мм,540 мм,680 мм,0,https://entero.ru/manuals/227747/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20M15%20Touch.pdf,1633114,https://vk.com/video_ext.php?oid=-177656185&id=456240466&hd=2&autoplay=0,74 кг,Италия,Италия,17 л
https://cdn.entero.ru/mp@2x/d8/5c/d85cea2fdea5a9edd44d3e40ae25f88b.jpg,Ферментатор Apach Bakery Line M120,Ферментатор Apach Bakery Line M120,2762325,RUB,Нет,Apach,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/195292,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195292"">Apach Bakery Line M120</a></b> используется на предприятиях пищевой промышленности и общественного питания для приготовления, хранения и регулирования температуры закваски. Модель оснащена электронным дисплеем для программирования фаз приготовления и хранения закваски, пылевым фильтром для защиты холодильного агрегата, съемным краном, съемными инструментами, визуальной и акустической сигнализацией. Корпус, емкость и инструменты выполнены из нержавеющей стали, крышка - из прозрачного плексигласа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>​​Машина полностью контролируется специальным программным обеспечением</li>
<li>Автоматический контроль температуры холодильного агрегата/нагревательного элемента</li>
<li>Тропический холодильный агрегат с пылевым фильтром</li>
<li>Сливной патрубок из нержавеющей стали легко снимается для очистки</li>
<li>4 специализированные программы для управления фазами</li>
<li>Контроль температуры продукта и чаши с помощью датчиков</li>
<li>Защита программного обеспечения - в случае перепада электроэнергии программа продолжит выполнять цикл с того момента, когда он был прерван</li>
<li>Деликатное изменение температурного режима при охлаждении или нагреве продукта</li>
<li>Переменная скорость вращения месильного органа инструмента с инвертором</li>
<li>Остановка смешивания в случае передозировки муки</li>
<li>Датчик открывания крышки останавливает двигатель при открывании</li>
<li>Внутренние стенки чаши с антиобледенительной системой</li>
<li>Съемный смеситель со скребком</li>
<li>Защита чаши прозрачным оргстеклом с решеткой</li>
<li>Напольная установка</li>
</ul>

<p> </p>

<ul>
<li><b>Дополнительные характеристики:</b></li>
<li>Рабочий объем: 80 кг</li>
<li>Радиус сливного патрубка: 2,5""</li>
<li>Габариты в упаковке: 1300х1200х1700 мм</li>
</ul>",195292,220 В,2 кВт,990 мм,870 мм,1530 мм,0,https://entero.ru/manuals/227655/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20M120.pdf;https://entero.ru/manuals/291719/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20M120.pdf;https://entero.ru/manuals/291720/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20M120.pdf;https://entero.ru/manuals/291721/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf;https://entero.ru/manuals/291722/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach%20Bakery%20Line.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240466&hd=2&autoplay=0,252 кг,Италия,Италия,120 л
https://cdn.entero.ru/mp@2x/96/95/9695defda0989fc63bd83eef838b606c.jpg,Ферментатор Apach Bakery Line M15,Ферментатор Apach Bakery Line M15,1280780,RUB,Нет,Apach,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/195402,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195402"">Apach Bakery Line M15</a></b> используется на предприятиях пищевой промышленности и общественного питания для приготовления, хранения и регулирования температуры закваски. Модель оснащена электронным дисплеем для программирования фаз приготовления и хранения закваски, пылевым фильтром для защиты холодильного агрегата, съемным краном, съемными инструментами, визуальной и акустической сигнализацией. Корпус, емкость и инструменты выполнены из нержавеющей стали, крышка - из прозрачного плексигласа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Машина полностью контролируется специальным программным обеспечением</li>
<li>Автоматический контроль температуры холодильного агрегата/нагревательного элемента</li>
<li>Тропический холодильный агрегат с пылевым фильтром</li>
<li>Сливной патрубок из нержавеющей стали легко снимается для очистки</li>
<li>4 специализированные программы для управления фазами</li>
<li>Контроль температуры продукта и чаши с помощью датчиков</li>
<li>Защита программного обеспечения - в случае перепада электроэнергии программа продолжит выполнять цикл с того момента, когда он был прерван</li>
<li>Деликатное изменение температурного режима при охлаждении или нагреве продукта</li>
<li>Переменная скорость вращения месильного органа инструмента с инвертором</li>
<li>Остановка смешивания в случае передозировки муки</li>
<li>Датчик открывания крышки останавливает двигатель при открывании</li>
<li>Внутренние стенки чаши с антиобледенительной системой</li>
<li>Съемный смеситель со скребком</li>
<li>Защита чаши прозрачным оргстеклом с решеткой</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочий объем: 10 кг</li>
<li>Диаметр сливного патрубка: 2,5""</li>
<li>Габариты в упаковке: 880х780х840 мм</li>
</ul>",195402,220 В,0.6 кВт,960 мм,540 мм,680 мм,0,https://entero.ru/manuals/227745/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20M15.pdf,1377183,https://vk.com/video_ext.php?oid=-177656185&id=456240466&hd=2&autoplay=0,74 кг,Италия,Италия,17 л
https://cdn.entero.ru/mp@2x/1b/f7/1bf7b00e8e7aaf275203e0e3fc4a2411.jpg,Ферментатор Apach Bakery Line M30,Ферментатор Apach Bakery Line M30,1923602,RUB,Нет,Apach,Профоборудование,Хлебопекарное,Ферментаторы,https://entero.ru/item/195384,"<p>Ферментатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195384"">Apach Bakery Line M30</a></b> используется на предприятиях пищевой промышленности и общественного питания для приготовления, хранения и регулирования температуры закваски. Модель оснащена электронным дисплеем для программирования фаз приготовления и хранения закваски, пылевым фильтром для защиты холодильного агрегата, съемным краном, съемными инструментами, визуальной и акустической сигнализацией. Корпус, емкость и инструменты выполнены из нержавеющей стали, крышка - из прозрачного плексигласа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>​​Машина полностью контролируется специальным программным обеспечением</li>
<li>Автоматический контроль температуры холодильного агрегата/нагревательного элемента</li>
<li>Тропический холодильный агрегат с пылевым фильтром</li>
<li>Сливной патрубок из нержавеющей стали легко снимается для очистки</li>
<li>4 специализированные программы для управления фазами</li>
<li>Контроль температуры продукта и чаши с помощью датчиков</li>
<li>Защита программного обеспечения - в случае перепада электроэнергии программа продолжит выполнять цикл с того момента, когда он был прерван</li>
<li>Деликатное изменение температурного режима при охлаждении или нагреве продукта</li>
<li>Переменная скорость вращения месильного органа инструмента с инвертором</li>
<li>Остановка смешивания в случае передозировки муки</li>
<li>Датчик открывания крышки останавливает двигатель при открывании</li>
<li>Внутренние стенки чаши с антиобледенительной системой</li>
<li>Съемный смеситель со скребком</li>
<li>Защита чаши прозрачным оргстеклом с решеткой</li>
<li>Напольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочий объем: 17,5 кг</li>
<li>Диаметр сливного патрубка: 2,5""</li>
<li>Габариты в упаковке: 950х750х1350 мм</li>
</ul>",195384,220 В,1 кВт,740 мм,650 мм,1200 мм,0,https://entero.ru/manuals/227724/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Apach%20Bakery%20Line%20M30.pdf,2090872,https://vk.com/video_ext.php?oid=-177656185&id=456240466&hd=2&autoplay=0,107 кг,Италия,Италия,30 л
