Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Остаток,Файлы,Старая цена,Страна-производитель,Вес (с упаковкой),Потребляемая мощность,Холодопроизводительность,Ширина внутреннего блока,Глубина внутреннего блока,Высота внутреннего блока,Ширина внешнего блока,Глубина внешнего блока,Высота внешнего блока
https://cdn.entero.ru/mp@2x/2a/03/2a03c1af07db8025d7651e2ce8e675db.jpg,Би‑блок POLAIR BM1042,AS312-4.5 / CUM-MLZ019,389041,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175856,"<p>Среднетемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175856""><b class=""b"">POLAIR BM1042 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 44 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 55 кВт/ч</li>
<li>Номинальный ток: 8,5 А</li>
<li>Габариты:
<ul>
<li>Воздухоохладитель: 1408х455х465 мм </li>
<li>Компрессорно-конденсаторный агрегат: 1200х500х905 мм</li>
</ul>
</li>
</ul>",175856,среднетемпературный,380 В,0,https://entero.ru/manuals/204292/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BM1042.pdf;https://entero.ru/manuals/264455/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,,Россия,181 кг,3.28 кВт,4.2 кВт,1408 мм,455 мм,465 мм,1200 мм,500 мм,905 мм
https://cdn.entero.ru/mp@2x/aa/27/aa272f288f2ab8b3fca0257d98dd6256.jpg,Би‑блок POLAIR BM1032,AS312-4.5 / CUM-MLZ015,401609,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175855,"<p>Среднетемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175855""><b class=""b"">POLAIR BM1032 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 32 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 22 кВт/ч</li>
<li>Номинальный ток: 6,7 А</li>
<li>Габариты:
<ul>
<li>Воздухоохладитель: 1108х455х465 мм </li>
<li>Компрессорно-конденсаторный агрегат: 1200х500х905 мм</li>
</ul>
</li>
</ul>",175855,среднетемпературный,380 В,0,https://entero.ru/manuals/204291/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BM1032.pdf;https://entero.ru/manuals/264454/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,436532,Россия,174 кг,2.68 кВт,3.2 кВт,1108 мм,455 мм,465 мм,1200 мм,500 мм,905 мм
https://cdn.entero.ru/mp@2x/24/cb/24cb7d7ad7704a4a830dc6334f669615.jpg,Би‑блок POLAIR BM1048,AS352-6.0 / CUM-MLZ021,421171,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175857,"<p>Среднетемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175857""><b class=""b"">POLAIR BM1048 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 69 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 60 кВт/ч</li>
<li>Номинальный ток: 9 А</li>
<li>Габариты:
<ul>
<li>Воздухоохладитель: 1408х455х555 мм </li>
<li>Компрессорно-конденсаторный агрегат: 1200х500х905 мм</li>
</ul>
</li>
</ul>",175857,среднетемпературный,380 В,0,https://entero.ru/manuals/204293/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BM1048.pdf;https://entero.ru/manuals/264456/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,448054,Россия,201 кг,3.58 кВт,4.8 кВт,1408 мм,455 мм,555 мм,1200 мм,500 мм,905 мм
https://cdn.entero.ru/mp@2x/7e/33/7e3322d7f126e456c17843e34a1649de.jpg,Би‑блок POLAIR BM1052,AS352-6.0 / CUM-MLZ026,440806,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175858,"<p>Среднетемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175858""><b class=""b"">POLAIR BM1052 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 92 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 75 кВт/ч</li>
<li>Номинальный ток: 10,5 А</li>
<li>Габариты:
<ul>
<li>Воздухоохладитель: 1488х455х555 мм </li>
<li>Компрессорно-конденсаторный агрегат: 1200х500х905 мм</li>
</ul>
</li>
</ul>",175858,среднетемпературный,380 В,0,https://entero.ru/manuals/204294/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BM1052.pdf;https://entero.ru/manuals/264457/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,,Россия,201 кг,4.48 кВт,5.2 кВт,1488 мм,455 мм,555 мм,1200 мм,500 мм,905 мм
https://cdn.entero.ru/mp@2x/1d/73/1d7389d6881047c10520718b47ed9de4.jpg,Би‑блок POLAIR BB1039,AS352-6.0 / CUB-LLZ013,551476,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175944,"<p>Низкотемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175944""><b class=""b"">POLAIR BB1039 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
<li>Хладагент: R404a </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочий диапазон: от -15 до -20 °С</li>
<li>Объем камеры: 42 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 60 кВт/ч</li>
<li>Номинальный ток: 10,2 А</li>
<li>Габариты:
<ul>
<li>Воздухоохладитель: 1408х455х465 мм </li>
<li>Компрессорно-конденсаторного агрегата: 1200х500х905 мм</li>
</ul>
</li>
</ul>",175944,низкотемпературный,380 В,0,https://entero.ru/manuals/204488/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BB1039.pdf;https://entero.ru/manuals/264449/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,,Россия,203 кг,3.58 кВт,3.97 кВт,1408 мм,455 мм,465 мм,1200 мм,500 мм,905 мм
https://cdn.entero.ru/mp@2x/f7/25/f7256cd7669ebee7cf7546baff8c499f.jpg,Би‑блок POLAIR BM2068,AS402-7.5 / CUM-MLZ030,552368,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175859,"<p>Среднетемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175859""><b class=""b"">POLAIR BM2068 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 111 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 90 кВт/ч</li>
<li>Номинальный ток: 13 А</li>
<li>Габариты:
<ul>
<li>Воздухоохладитель: 1488х455х555 мм </li>
<li>Компрессорно-конденсаторный агрегат: 1200х500х1205 мм</li>
</ul>
</li>
</ul>",175859,среднетемпературный,380 В,0,https://entero.ru/manuals/204295/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BM2068.pdf;https://entero.ru/manuals/264458/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,,Россия,237 кг,5.36 кВт,6.8 кВт,1488 мм,455 мм,555 мм,1200 мм,500 мм,1205 мм
https://cdn.entero.ru/mp@2x/84/35/843553bb9e4e4c993c5b9983b5bfba10.jpg,Би‑блок POLAIR BB1048,AS352-6.0 / CUB-LLZ015,556831,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175941,"<p>Низкотемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175941""><b class=""b"">POLAIR BB1048 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
<li>Хладагент: R404a </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочий диапазон: от -15 до -20 °С</li>
<li>Объем камеры: 62 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 68 кВт/ч</li>
<li>Номинальный ток: 11,8 А</li>
<li>Габариты:
<ul>
<li>Воздухоохладитель: 1408х455х555 мм </li>
<li>Компрессорно-конденсаторного агрегата: 1200х500х905 мм</li>
</ul>
</li>
</ul>",175941,низкотемпературный,380 В,0,https://entero.ru/manuals/204485/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BB1048.pdf;https://entero.ru/manuals/264450/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,592373,Россия,203 кг,4.08 кВт,4.87 кВт,1408 мм,455 мм,555 мм,1200 мм,500 мм,905 мм
https://cdn.entero.ru/mp@2x/57/7c/577c13b2794df7b3a1cb3c86faa0c1ae.jpg,Би‑блок POLAIR BM2083,AS402-9.0 / CUM-MLZ038,582713,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175932,"<p>Среднетемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175932""><b class=""b"">POLAIR BM2083 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
<li>Хладагент: R404a </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочий диапазон: от -5 до 5 °С</li>
<li>Объем камеры: 168 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 105 кВт/ч</li>
<li>Номинальный ток: 15 А</li>
<li>Габариты компрессорно-конденсаторного агрегата: 1200х500х1205 мм</li>
</ul>",175932,среднетемпературный,380 В,0,https://entero.ru/manuals/204480/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BM2083.pdf;https://entero.ru/manuals/264459/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,,Россия,237 кг,6.26 кВт,8.3 кВт,,,,1200 мм,500 мм,1205 мм
https://cdn.entero.ru/mp@2x/ab/78/ab78612544beefd907cf7a4e3e800602.jpg,Би‑блок POLAIR BB2059,AS402-7.5 / CUB-LLZ018,641618,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175942,"<p>Низкотемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175942""><b class=""b"">POLAIR BB2059 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
<li>Хладагент: R404a </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочий диапазон: от -15 до -20 °С</li>
<li>Объем камеры: 78 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 81,6 кВт/ч</li>
<li>Номинальный ток: 13,5 А</li>
<li>Габариты:
<ul>
<li>Воздухоохладитель: 1488х455х555 мм </li>
<li>Компрессорно-конденсаторного агрегата: 1200х500х905 мм</li>
</ul>
</li>
</ul>",175942,низкотемпературный,380 В,0,https://entero.ru/manuals/204486/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BB2059.pdf;https://entero.ru/manuals/264451/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,668352,Россия,218 кг,4.86 кВт,5.91 кВт,1488 мм,455 мм,555 мм,1200 мм,500 мм,905 мм
https://cdn.entero.ru/mp@2x/aa/f5/aaf5b9d71e1bdac9fff4bfedd41b796c.jpg,Би‑блок POLAIR BM2105,AS402-11.0 / CUM-MLZ045,676426,RUB,Нет,POLAIR,Профоборудование,Холодильное,Би-блоки,https://entero.ru/item/175935,"<p>Среднетемпературный би-блок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175935""><b class=""b"">POLAIR BM2105 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена контроллерами с выносным пультом управления. Соединение основных узлов системы в единый холодильный агрегат достигается посредством медных трубопроводов. </p>

<p><em><span style=""color:#FF0000;"">Внимание! Щит управления в комплект поставки не входит и приобретается отдельно. </span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздухоохладитель монтируется в холодильной камере</li>
<li>Компрессорно-конденсаторный блок может устанавливаться на внешней стенке камеры или на расстоянии от неё: в другом помещении или на улице</li>
<li>Настройка оборудования осуществляется не заходя в холодильную камеру</li>
<li>Специальные дверцы на корпусах обеспечивают удобный доступ к рабочим элементам </li>
<li>Хладагент: R404a </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочий диапазон: от -5 до 5 °С</li>
<li>Объем камеры: 190 м<sup>3</sup></li>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>Энергопотребление за сутки: 125 кВт/ч</li>
<li>Номинальный ток: 17,5 А</li>
<li>Габариты компрессорно-конденсаторного агрегата: 1200х500х1205 мм</li>
</ul>",175935,среднетемпературный,380 В,0,https://entero.ru/manuals/204482/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20BM2105.pdf;https://entero.ru/manuals/264460/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,704610,Россия,243 кг,7.46 кВт,10.5 кВт,,,,1200 мм,500 мм,1205 мм
