Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Конструкция,Охлаждение,Количество полок,Холодильный агрегат,Нейтральная
https://cdn.entero.ru/mp@2x/5e/13/5e139a388abd82daa7c32e1f1b27fb0b.jpg;https://cdn.entero.ru/mp@2x/36/d0/36d045661f429bf8dcc89fd050cd953b.jpg;https://cdn.entero.ru/mp@2x/90/83/908320288e05fdc60183d3c8413b9c72.jpg;https://cdn.entero.ru/mp@2x/9a/1c/9a1ca6f265935152b135c67a7dfcf083.jpg,Витрина встраиваемая Gastrolux ВСВ-127/MOR/З/ЛВ,Витрина встраиваемая Gastrolux ВСВ-127/MOR/З/ЛВ,0,RUB,Нет,Gastrolux,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/343958,"<p>Встраиваемая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343958"">Gastrolux ВСВ-127/MOR/З/ЛВ</a></b> серии Morion предназначена для демонстрации, охлаждения и поддержания в прохладном состоянии различных блюд на предприятиях общественного питания и торговли. Модель оснащена лотком с выпаривателем, охлаждаемой выдвижной полкой-дном, ручками-трансформер со стороны оператора и подсветкой. Купол выполнен из прямого закаленного стекла с УФ-склейкой без видимых креплений, каркас - из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Динамическое охлаждение</a></li>
<li>Среднетемпературная модель</li>
<li>Испаритель внизу</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер выреза: 1178х678 мм</li>
<li>Высота купола: 300 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",343958,от +4 до +8 °C,220 В,0.55 кВт,1200 мм,700 мм,975 мм,173 кг,1,1300x875x1200 мм,0,https://entero.ru/manuals/490122/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,125 кг,Россия,Россия,252 л,закрытая,динамическое,,,
https://cdn.entero.ru/mp@2x/fd/d7/fdd795db436bbea0614cbf612940301e.jpg,Витрина холодильная KUSINA T-SA73DA11,Витрина холодильная KUSINA T-SA73DA11,0,RUB,Нет,,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/339590,"<p>Встраиваемая холодильная витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/339590"">KUSINA T-SA73DA11</a></b> используется на предприятиях общественного питания и торговли для демонстрации охлаждённых закусок или десертов. Модель оснащена 3 стеклянными полками и поверхностью для выкладки, электронной панелью управления, цифровым термостатом, дисплеем температуры и выключателем. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Открытая со стороны покупателя</li>
<li>Светодиодная подсветка</li>
<li>Автоматическая оттайка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: гастроемкости GN 1/1 глубиной 150 мм </li>
<li>Высота от столешницы: 850 мм </li>
</ul>",339590,от 2 до 8 °C,220 В,0.75 кВт,1100 мм,700 мм,1650 мм,,,,0,,,,,,Турция,140 л,открытая,динамическое,4,встроенный,
https://cdn.entero.ru/mp@2x/97/3d/973d04a7653ad10a1accc690d55d4e85.jpg;https://cdn.entero.ru/mp@2x/9d/9f/9d9f7f21f6247f49eeba8c85464450fa.jpg;https://cdn.entero.ru/mp@2x/2c/c6/2cc6187191e4912ff20cfe9d16224918.jpg;https://cdn.entero.ru/mp@2x/bb/09/bb0941620772cb5af56d029cea74dd8c.jpg,Витрина холодильная Finist STEVE S-3/5,Витрина холодильная Finist STEVE S-3/5,0,RUB,Нет,Finist,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/254418,"<p>Встраиваемая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/254418"">Finist STEVE S-3/5</a></b> предназначена для демонстрации и раздачи готовых охлажденных блюд, десертов, кондитерских изделий и напитков на предприятиях общественного питания и торговли. Модель оснащена самостоятельной холодильной установкой, камерой с дверцами-купе и полкой, кабелем питания с вилкой и кнопочной панелью управления с цифровым дисплеем. Корпус агрегата и каркас купола выполнены из высококачественной нержавеющей стали с полимерно-порошковым прокрытием, купол – из прочного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Динамическое охлаждение</li>
<li>Автоматическая оттайка испарителя</li>
<li>Экономичная светодиодная подсветка </li>
<li>Оптимальный обзор камеры со всех сторон</li>
<li>Контроллер с микропроцессорным блоком</li>
<li>Простое управление с помощью удобного меню</li>
</ul>",254418,от 0 до 7 °C,220 В,,,,,,,,0,https://entero.ru/manuals/405814/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Finist%20STEVE%20S-3_5.pdf;https://entero.ru/manuals/405883/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Finist%20STEVE%20S-3_5.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456241374&hd=2&autoplay=1,,,Россия,,,,,,
https://cdn.entero.ru/mp@2x/7e/b0/7eb0e877880c63665a5f6accfb9b5c14.jpg;https://cdn.entero.ru/mp@2x/7c/e7/7ce7b67f3c2b2da84c3dd1e3e56d821a.jpg;https://cdn.entero.ru/mp@2x/b0/e9/b0e9992b28711809167f6c50b0b7d02f.jpg;https://cdn.entero.ru/mp@2x/e0/5f/e05f0b88b9b5e11c7c4bfe20e19db6cc.jpg,Витрина встраиваемая Gastrolux ВСВ-087/MOR/З/ЛВ,Витрина встраиваемая Gastrolux ВСВ-087/MOR/З/ЛВ,0,RUB,Нет,Gastrolux,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/343964,"<p>Встраиваемая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343964"">Gastrolux ВСВ-087/MOR/З/ЛВ</a></b> серии Morion предназначена для демонстрации, охлаждения и поддержания в прохладном состоянии различных блюд на предприятиях общественного питания и торговли. Модель оснащена лотком с выпаривателем, охлаждаемой выдвижной полкой-дном, ручками-трансформер со стороны оператора и подсветкой. Купол выполнен из прямого закаленного стекла с УФ-склейкой без видимых креплений, каркас - из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Динамическое охлаждение</a></li>
<li>Среднетемпературная модель</li>
<li>Испаритель внизу</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер выреза: 778х678 мм</li>
<li>Высота купола: 300 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",343964,от +4 до +8 °C,220 В,0.45 кВт,800 мм,700 мм,975 мм,132 кг,1,915x885x1210 мм,0,https://entero.ru/manuals/490114/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,90 кг,Россия,Россия,168 л,закрытая,динамическое,,,
https://cdn.entero.ru/mp@2x/6f/32/6f320a3be68674e675babcfd0bd40ea6.jpg,Витрина холодильная KUSINA T-SA73DK11,Витрина холодильная KUSINA T-SA73DK11,0,RUB,Нет,,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/339640,"<p>Встраиваемая холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/339640""><b class=""b"">KUSINA T-SA73DK11</b></a> используется на предприятиях общественного питания и торговли для демонстрации охлаждённых закусок или десертов. Модель оснащена 3 стеклянными полками и поверхностью для выкладки, электронной панелью управления, цифровым термостатом, дисплеем температуры и выключателем. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Гнутое фронтальное стекло </li>
<li>Светодиодная подсветка</li>
<li>Автоматическая оттайка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: гастроемкости GN 1/1 глубиной 150 мм </li>
<li>Высота от столешницы: 850 мм </li>
</ul>",339640,от 2 до 8 °C,220 В,0.75 кВт,1100 мм,700 мм,1650 мм,,,,0,,,,,,Турция,140 л,закрытая,динамическое,4,встроенный,
https://cdn.entero.ru/mp@2x/d3/ae/d3aec88b46eb1fa3359e04b3797e7cd7.jpg,Витрина холодильная KUSINA T-SA73DA14,Витрина холодильная KUSINA T-SA73DA14,0,RUB,Нет,,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/339641,"<p>Встраиваемая холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/339641""><b class=""b"">KUSINA T-SA73DA14</b></a> используется на предприятиях общественного питания и торговли для демонстрации охлаждённых закусок или десертов. Модель оснащена 3 стеклянными полками и поверхностью для выкладки, электронной панелью управления, цифровым термостатом, дисплеем температуры и выключателем. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Открытая со стороны покупателя</li>
<li>Светодиодная подсветка</li>
<li>Автоматическая оттайка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: гастроемкости GN 1/1 глубиной 150 мм </li>
<li>Высота от столешницы: 850 мм </li>
</ul>",339641,от 2 до 8 °C,220 В,0.75 кВт,1400 мм,700 мм,1650 мм,,,,0,,,,,,Турция,200 л,открытая,динамическое,4,встроенный,
https://cdn.entero.ru/mp@2x/85/2e/852e9034245451bf39408ba44385c93e.jpg,Витрина холодильная KUSINA T-SA73DK14,Витрина холодильная KUSINA T-SA73DK14,0,RUB,Нет,,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/339642,"<p>Встраиваемая холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/339642""><b class=""b"">KUSINA T-SA73DK14</b></a> используется на предприятиях общественного питания и торговли для демонстрации охлаждённых закусок или десертов. Модель оснащена 3 стеклянными полками и поверхностью для выкладки, электронной панелью управления, цифровым термостатом, дисплеем температуры и выключателем. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Гнутое фронтальное стекло </li>
<li>Светодиодная подсветка</li>
<li>Автоматическая оттайка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: гастроемкости GN 1/1 глубиной 150 мм </li>
<li>Высота от столешницы: 850 мм </li>
</ul>",339642,от 2 до 8 °C,220 В,0.75 кВт,1400 мм,700 мм,1650 мм,,,,0,,,,,,Турция,200 л,закрытая,динамическое,4,встроенный,
https://cdn.entero.ru/mp@2x/c6/1f/c61f1aa9f17002865dfff8450fcf77c1.jpg;https://cdn.entero.ru/mp@2x/cc/3a/cc3a2c6439fe773e68734fb55a15edf7.jpg,Витрина холодильная Finist GALA ВХВт-1,ВХВт-1,192155,RUB,Нет,Finist,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/317020,"<p>Встраиваемая холодильная витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/317020"">Finist GALA ВХВт-1</a></b> предназначена для кратковременного хранения и предпродажной демонстрации охлажденных готовых блюд и напитков на предприятиях общественного питания и торговли. Модель оснащена самостоятельной холодильной установкой, прозрачным остеклением и кнопочной панелью управления с цифровым дисплеем. Корпус выполнен из высококачественной пищевой нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Эффективная система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков во внутреннем объеме</li>
<li>Автоматическая оттайка испарителя</li>
<li>Контроллер с микропроцессорным блоком</li>
<li>Отображение температуры, индикация питания и кодов неисправностей на дисплее</li>
<li>Простое управление с помощью удобного меню</li>
<li>Оптимальный обзор камеры со всех сторон</li>
<li>Энергосберегающий цельнозаливной корпус</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Компрессор: Aspera, ACC, Electrolux, L'unite hermetique</li>
<li>Прочные материалы для длительного срока эксплуатации</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Диапазон температуры окружающей среды: от 10 до 25 °С</li>
<li>Диапазон относительной влажности при 25 °С: от 40 до 50%</li>
</ul>
</li>
<li>Высота купола: 260 мм</li>
<li>Габариты выреза в столешнице: 1050х600 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Полимерное покрытие корпуса с вариантами цветового исполнения</li>
<li>Просветленное стекло</li>
<li>Подсветка внутреннего объема </li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",317020,от 5 до 10 °C,220 В,0.5 кВт,1100 мм,650 мм,860 мм,,,,0,https://entero.ru/manuals/381206/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Finist%20GALA%20%D0%92%D0%A5%D0%92%D1%82-1.pdf;https://entero.ru/manuals/405918/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Finist%20GALA%20%D0%92%D0%A5%D0%92%D1%82-1.pdf;https://entero.ru/manuals/519310/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,204420,,,Россия,Россия,,закрытая,динамическое,,встроенный,
https://cdn.entero.ru/mp@2x/cd/2d/cd2dfcdf0588244caba62e6b01629f44.jpg;https://cdn.entero.ru/mp@2x/76/23/7623896ee1d918c78452dc3dbf32c13e.jpg;https://cdn.entero.ru/mp@2x/cd/f0/cdf040a221a9388267e41cb36d1fb463.jpg;https://cdn.entero.ru/mp@2x/25/34/2534827bfd06435be582e5ea03a9af1d.jpg;https://cdn.entero.ru/mp@2x/b0/40/b0404adefa174bc10a3ff2d1113ccfb1.jpg;https://cdn.entero.ru/mp@2x/9d/70/9d70f731d786ba32ecefbc7829bf6f47.jpg,Витрина кондитерская Finist GLASSIER M Gm-11/6/3,Витрина кондитерская Finist GLASSIER M Gm-11/6/3,239187,RUB,Нет,Finist,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/341107,"<p>Встраиваемая кондитерская витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/341107"">Finist GLASSIER M Gm-11/6/3</a></b> предназначена для кратковременного хранения и предпродажной демонстрации десертов и кондитерских изделий на предприятиях общественного питания и торговли. Г-образные двери-купе обеспечивают удобный доступ к зоне выкладки. Поддон выполнен из зеркальной нержавеющей стали, агрегатная часть - из оцинкованной стали, купол - из просветленного стекла, Г-образные створки - из монолитного поликарбоната.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Динамическая система охлаждения</a></li>
<li>Микропроцессорный блок управления</li>
<li>Автоматическая оттайка испарителя</li>
<li>Компрессор: Aspera, ACC, Electrolux, l'unite и hermetique</li>
<li>Регулятор скорости вращения вентиляторов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от +10 °С до +28 °С</li>
<li>Уровень относительной влажности: от 55% до 60%</li>
<li>Частота: 50 Гц</li>
<li>Высота стеклянного купола: 300 мм</li>
<li>Толщина стекла: 8 мм</li>
<li>Размер зоны выкладки: 980х530 мм</li>
<li>Размер выреза в столешнице для встройки: 1050х550 мм</li>
<li>Подсветка: 6000 К</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Исполнение с выносным холодильным агрегатом</li>
<li>Каркас под МДФ <a href=""https://entero.ru/item/373760"">FG-11/6/85</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",341107,от +5 до +8 °C,220 В,0.8 кВт,1100 мм,600 мм,915 мм,,,,0,https://entero.ru/manuals/405744/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Finist%20GLASSIER%20M%20Gm-11_6_3.pdf;https://entero.ru/manuals/405745/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%B2%20Finist.pdf;https://entero.ru/manuals/519337/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,257190,https://vk.com/video_ext.php?oid=-177656185&id=456241376&hd=2&autoplay=1,,Россия,Россия,,закрытая,динамическое,,встроенный,
https://cdn.entero.ru/mp@2x/59/af/59afa3279f67f223d16eec222dfbc156.jpg;https://cdn.entero.ru/mp@2x/aa/22/aa22212801645e556e8d0f72011ecbe2.jpg,Витрина холодильная встраиваемая Новая Энергия RC21D DRop IN,Витрина холодильная встраиваемая Новая Энергия RC21D DRop IN,302291,RUB,Нет,Новая Энергия,Профоборудование,Холодильное,Витрины встраиваемые,https://entero.ru/item/266192,"<p>Холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266192""><b class=""b"">Новая Энергия </b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266192""><b class=""b"">RC21D DRop IN </b></a>используется в составе линии раздачи <a href=""https://entero.ru/list/1954?f%5Bvendors%5D%5B%5D=2264&f%5B7377%5D%5B%5D=Drop-in"">Drop-in</a> на предприятиях общественного питания и торговли для выкладки, кратковременного хранения и раздачи кондитерских изделий и готовых блюд. Модель оснащена 3 полками, раздвижными створками со стороны персонала, откидными крышками со стороны потребителя, светодиодной подсветкой рабочей зоны и электронным термостатом. Каркас и столешница выполнены из нержавеющей стали, корпус и полки - из закаленного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая оттайка</li>
<li>Полированная кромка полок</li>
<li>Хладагент R290</li>
<li>Встроенный холодильный агрегат</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная распределенная нагрузка на полку: 15 кг</li>
<li>Толщина стекла: 8 мм</li>
<li>Габариты в упаковке: 1710х695х820 мм</li>
</ul>",266192,от 1 до 10 °C,220 В,0.43 кВт,845 мм,700 мм,1525 мм,223 кг,1,965x820x1845 мм,0,,,,173 кг,,Россия,,закрытая,,3,встроенный,
