Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Объем,Гастронормированная,Вес (с упаковкой),Потребляемая мощность,Тип гастроемкости,Ширина (в упаковке),Глубина (в упаковке),Высота (в упаковке),Вместимость гастроемкостей,Охлаждение,Количество полок,Холодильный агрегат,Экспозиц. площадь
https://cdn.entero.ru/mp@2x/9f/29/9f29d05f412814be62df28547f604c30.jpg,"Витрина холодильная Carboma IDO A40 SM 1,6 (7 GN1/3)",П0000020460,44772,RUB,Да,Carboma,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/95813,"<p>Холодильная витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/95813"">Carboma IDO A40 SM 1,6 (7 GN1/3)</a></b> используется на предприятиях общественного питания и торговли для охлаждения и кратковременного хранения ингредиентов для салатов. Модель оснащена электронным блоком управления. Корпус выполнен из нержавеющей стали, теплоизоляция - из пенополиуретана.</p>

<p><b class=""o"">Гастроемкости в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Статическая система охлаждения</a></li>
<li>Контроллер</li>
<li>Автоматическая оттайка с системой испарения конденсата</li>
<li>Хладагент: R600a</li>
<li>Климатический класс: 3</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 3,2 кВт/сутки</li>
<li>Максимальная глубина гастроемкости: 150 мм</li>
<li>Максимальная температура окружающей среды: 32 °С</li>
<li>Максимальная относительная влажность окружающей среды: 80%</li>
</ul>",95813,от 2 до 10 °С,220 В,,1630 мм,400 мм,255 мм,90 кг,Россия,1,1770x555x520 мм,0,https://entero.ru/manuals/465156/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Carboma%20A40%20SM%201_6%20%287%20GN1_3%29.png;https://entero.ru/manuals/465157/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Carboma%20IDO%20A40.pdf;https://entero.ru/manuals/486804/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3.pdf;https://entero.ru/manuals/486807/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D1%8C%D0%B5%D1%80%D0%BD%D1%8B%D0%B9.pdf;https://entero.ru/manuals/486809/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,46638,,30 кг,для ингредиентов,,Да,,0.133 кВт/ч,GN 1/3,,,,7,статическое,,встроенный,
https://cdn.entero.ru/mp@2x/ed/63/ed634ca1ecbfb3b78815bc50f554aa8c.jpg,Витрина холодильная HICOLD VRTU 1390 (1/3),VRTU 2 / 284253 / 190362,51825,RUB,Да,HICOLD,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/53127,"<p>Настольная холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/53127""><b class=""b"">HICOLD VRTU 1390</b></a> используется на предприятиях общественного питания и торговли для демонстрации, охлаждения и кратковременного хранения салатов, гарниров, закусок и других готовых блюд. Модель оснащена крышкой и ножками. Изделие выполнено из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Статическое охлаждение</a></li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем с упаковкой: 0,51 м<sup>3</sup></li>
</ul>",53127,от 2 до 7 °С,220 В,0.15 кВт,1390 мм,385 мм,279 мм,36 кг,Россия,1,1560x540x580 мм,9,https://entero.ru/manuals/292865/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HICOLD%20VRTU%201390.pdf;https://entero.ru/manuals/449664/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/449665/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,для ингредиентов,52 л,Да,,,GN 1/3,,,,6,статическое,,встроенный,
https://cdn.entero.ru/mp@2x/ca/bf/cabfdf25ee9489230382c8e832d243d5.jpg,"Витрина холодильная Carboma A37 SM 1,0-11 (ВХСв-1,0 XL) (4 GN 1/3 + полка)","Витрина холодильная Carboma A37 SM 1,0-11 (ВХСв-1,0 XL) (4 GN 1/3 + полка)",47702,RUB,Да,Carboma,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/32117,"<p>Холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32117""><b class=""b"">Carboma A37 SM 1,0-11 (ВХСв-1,0 XL) </b></a><span style=""font-size: 12px;"">используется на предприятиях общественного питания и торговли для охлаждения, кратковременного хранения, демонстрации и продажи продуктов питания, салатов, молочных и других гастрономических изделий. Модель оснащена стеклянной неохлаждаемой полкой и регулруемыми ножками высотой от 20 до 35 мм. Экспозиционная поверхность выполнена из шлифованной нержавеющей стали, ночные шторки - из оргстекла.</span></p>

<p>Гастроемкости в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Статическая система охлаждения</a></li>
<li>Холодильный агрегат: Electrolux</li>
<li>Хладагент: R134a</li>
<li>Климатический класс: 3</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 4x GN 1/3 глубиной 40 мм</li>
<li>Экспозиционная площадь: 0,21 м<sup>2</sup></li>
<li>Полезный объем: 0,01 м<sup>3</sup></li>
<li>Потребляемая мощность: 2,5 кВт/сутки</li>
<li>Максимальная температура окружающей среды: 25 °С</li>
<li>Максимальная относительная влажность окружающей среды: 60%</li>
<li>Габариты в упаковке: 1110х390х460 мм</li>
<li>Объём упаковки: 0,19 м<sup>3</sup></li>
<li>Цвет: коричневый</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",32117,от 0 до 8 °С,220 В,0.2 кВт,1090 мм,370 мм,435 мм,36 кг,Россия,1,1110x390x460 мм,7,https://entero.ru/manuals/107595/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Carboma%20A37%20SM%201_0-11%20%28%D0%92%D0%A5%D0%A1%D0%B2-1_0%20XL%29.pdf;https://entero.ru/manuals/139684/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Carboma%20A37%20SM%201_0-11%20%28%D0%92%D0%A5%D0%A1%D0%B2-1_0%20XL%29.doc;https://entero.ru/manuals/70672/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Carboma%20A37%20SM%201_0-11%20%28%D0%92%D0%A5%D0%A1%D0%B2-1_0%20XL%29.jpg;https://entero.ru/manuals/486777/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3.pdf;https://entero.ru/manuals/486778/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D1%8C%D0%B5%D1%80%D0%BD%D1%8B%D0%B9.pdf;https://entero.ru/manuals/486779/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,34 кг,для готовых блюд,,Да,,0.104 кВт/ч,GN 1/3,,,,4,статическое,1,встроенный,850x305 мм
https://cdn.entero.ru/mp@2x/b5/75/b575157b63e2b9cb59b672d41f6e945c.jpg,Витрина холодильная HICOLD VRTO 1390 (1/3),VRTO 2 / 284224 / 190351,48825,RUB,Да,HICOLD,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/53126,"<p>Настольная холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/53126""><b class=""b"">HICOLD VRTO 1390</b></a> используется на предприятиях общественного питания и торговли для демонстрации, охлаждения и кратковременного хранения салатов, гарниров, закусок и других готовых блюд. Модель оснащена ножками. Изделие выполнено из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""https://entero.ru/info/300"">Статическое охлаждение</a></li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем с упаковкой: 0,52 м<sup>3</sup></li>
</ul>",53126,от 2 до 7 °С,220 В,0.15 кВт,1390 мм,385 мм,248 мм,24 кг,Россия,1,1570x570x580 мм,16,https://entero.ru/manuals/292757/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HICOLD%20VRTO%201390.pdf;https://entero.ru/manuals/449666/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/449667/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,50859,,,для ингредиентов,52 л,Да,,,GN 1/3,,,,6,статическое,,встроенный,
https://cdn.entero.ru/mp@2x/c4/51/c451021f2ebdd23c49ce13d2dcdc4ea4.jpg,"Витрина холодильная Carboma A57 VM 1,2-1 (ВХС-1,2 Арго XL Люкс)","А57 VM 1,2-1 0012-1036",59508,RUB,Да,Carboma,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/32194,"<p>Холодильная витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32194"">Carboma A57 VM 1,2-1 (ВХС-1,2 Арго XL Люкс)</a></b> предназначена для демонстрации, охлаждения и кратковременного кондитерских изделий, десертов и сэндвичей на предприятиях общественного питания и торговли. Модель оснащена гнутым стеклом и 2 охлаждаемыми полками. Нижняя зона выкладки и передняя обшивка выполнены из стали, боковины - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Динамическая система охлаждения</a></li>
<li>Электронный блок управления с индикацией температуры Carel</li>
<li>Оттайка естественными теплопритоками</li>
<li>Хладагент: R134a</li>
<li>Климатический класс оборудования: 3</li>
<li>LED-освещение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Глубина полок: 210 / 260 мм</li>
<li>Глубина нижней зоны выкладки: 420 мм</li>
<li>Экспозиционная площадь: 0,9 м<sup>2</sup></li>
<li>Полезный объем: 0,14 м<sup>3</sup></li>
<li>Объём упаковки: 0,92 м<sup>3</sup></li>
<li>Цвет: шоколадно-золотистый</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Комплект створок А57 1,2 (Арго XL)</li>
</ul>",32194,от 6 до 12 °С,220 В,0.4 кВт,1260 мм,570 мм,705 мм,110 кг,Россия,1,1440x710x900 мм,0,https://entero.ru/manuals/107908/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Carboma%20A57%20VM%201_2-1%20%28%D0%92%D0%A5%D0%A1-1_2%20%D0%90%D1%80%D0%B3%D0%BE%20XL%20%D0%9B%D1%8E%D0%BA%D1%81%29.pdf;https://entero.ru/manuals/107924/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Carboma%20A57%20VM%201_2-1%20%28%D0%92%D0%A5%D0%A1-1_2%20%D0%90%D1%80%D0%B3%D0%BE%20XL%20%D0%9B%D1%8E%D0%BA%D1%81%29.docx;https://entero.ru/manuals/67335/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Carboma%20A57%20VM%201_2-1%20%28%D0%92%D0%A5%D0%A1-1_2%20%D0%90%D1%80%D0%B3%D0%BE%20XL%20%D0%9B%D1%8E%D0%BA%D1%81%29.jpg;https://entero.ru/manuals/67338/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/107917/%D0%A6%D0%B2%D0%B5%D1%82%D0%BE%D0%B2%D1%8B%D0%B5%20%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D1%8F.pdf;https://entero.ru/manuals/486717/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3.pdf;https://entero.ru/manuals/486718/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D1%8C%D0%B5%D1%80%D0%BD%D1%8B%D0%B9.pdf;https://entero.ru/manuals/486719/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,50 кг,для готовых блюд,,,,0.258 кВт/ч,,,,,,динамическое,2,встроенный,
https://cdn.entero.ru/mp@2x/0c/f9/0cf951fd47ea29ddc6b30456a5679b9d.jpg,Витрина холодильная VIATTO VA-RT-78B черная,Витрина холодильная VIATTO VA-RT-78B черная,35244,RUB,Да,VIATTO,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/173509,"<p>Холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173509""><b class=""b"">VIATTO VA-RT-78B</b></a> предназначена для демонстрации, охлаждения и кратковременного хранения продуктов и напитков на предприятиях общественного питания и торговли. Модель оснащена цифровым контроллером температуры, 4 прозрачными стенками из двойного стекла и 3 регулируемыми по высоте полками. </p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Динамическое охлаждение</a></li>
<li>LED-подсветка</li>
<li>Хладагент R600а</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость:
<ul>
<li>Полка: до 20 банок 330 мл</li>
<li>Витрина: до 80 банок 330 мл</li>
</ul>
</li>
<li>Потребление электроэнергии: 2,68 кВт/сутки</li>
<li>Цвет корпуса: черный</li>
</ul>",173509,от 0 до 12 °С,220 В,0.18 кВт,428 мм,386 мм,960 мм,36 кг,Китай,1,475x432x1038 мм,46,https://entero.ru/manuals/408907/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-RT-78B.pdf;https://entero.ru/manuals/408908/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/293197/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/463864/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-RT-78B%20%D1%87%D0%B5%D1%80%D0%BD%D0%B0%D1%8F.xlsx;https://entero.ru/manuals/463865/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463866/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-RT-78B%20%D1%87%D0%B5%D1%80%D0%BD%D0%B0%D1%8F.pdf,37099,,33.8 кг,универсальная,78 л,,,,,,,,,динамическое,3,встроенный,
https://cdn.entero.ru/mp@2x/53/bc/53bce343b05c32b6308151028b3dfc8a.jpg,Витрина холодильная VIATTO VA-RT-98W,Витрина холодильная VIATTO VA-RT-98W,35739,RUB,Да,VIATTO,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/173512,"<p>Холодильная витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173512"">VIATTO VA-RT-98W</a></b> предназначена для демонстрации, охлаждения и кратковременного хранения продуктов и напитков на предприятиях общественного питания и торговли. Модель оснащена цифровым контроллером температуры, 4 прозрачными стенками из двойного стекла и 4 регулируемыми по высоте полками. </p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Динамическое охлаждение</a></li>
<li>LED-подсветка</li>
<li>Хладагент R600а</li>
<li>Климатический класс: 4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость:
<ul>
<li>Полка: до 20 банок 330 мл</li>
<li>Витрина: до 100 банок 330 мл</li>
</ul>
</li>
<li>Потребление электроэнергии: 3,184 кВт/сутки</li>
<li>Цвет корпуса: белый</li>
</ul>",173512,от 0 до 12 °С,220 В,0.18 кВт,428 мм,386 мм,1110 мм,40 кг,Китай,1,475x432x1180 мм,0,https://entero.ru/manuals/408905/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-RT-98W.pdf;https://entero.ru/manuals/408906/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/293196/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf,,,38 кг,универсальная,98 л,,,,,,,,,динамическое,,встроенный,
https://cdn.entero.ru/mp@2x/68/ad/68ad0c15aa5238e8767f1cb76436bf3d.jpg,Витрина холодильная Cooleq VRX 1500/330,Витрина холодильная Cooleq VRX 1500/330,38298,RUB,Да,Cooleq,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/76037,"<p>Холодильная витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76037"">Cooleq VRX 1500/330</a></b> предназначена для демонстрации, охлаждения и кратковременного хранения салатов и закусок на предприятиях общественного питания и торговли. Модель оснащена цифровым термостатом и индикаторами охлаждения и работы компрессора. Корпус выполнен из нержавеющей стали.</p>

<p>Гастроемкости в комплект поставки не входят.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Статическая система охлаждения</a></li>
<li>Хладагент: R134a / R600a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 7x GN 1/4 глубиной 150 мм</li>
</ul>",76037,от 2 до 8 °С,220 В,0.15 кВт,1500 мм,330 мм,240 мм,48 кг,Китай,1,1540x375x280 мм,0,https://entero.ru/manuals/97524/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20VRX%201500_330.pdf;https://entero.ru/manuals/483037/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,41628,,44 кг,для готовых блюд,44 л,Да,,,GN 1/4,,,,7,статическое,,встроенный,
https://cdn.entero.ru/mp@2x/77/f9/77f959887d6de1e1e1a60e8c6078896a.jpg;https://cdn.entero.ru/mp@2x/59/ed/59eda85161ca8efdc3995a880de09be2.jpg;https://cdn.entero.ru/mp@2x/54/1d/541d70415f5e3778c389314461848466.jpg;https://cdn.entero.ru/mp@2x/e7/58/e7586576fadfe7084ec15d6e058b4c2c.jpg,"Витрина барная Carboma AMRA AC59 VV 0,7-1 (0430)",П0000009304.2459,74801,RUB,Да,Carboma,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/151085,"<p>Барная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/151085""><b class=""b"">Carboma AMRA АС59 VV 0,7-1</b></a> используется в небольших барах и кафе, на предприятиях общественного питания и торговли для демонстрации, охлаждения, кратковременного хранения и продажи кондитерских изделий, десертов, салатов и напитков. Модель онащена стеклопакетом, раздвижными задними дверцами и 2 охлаждаемыми полками-решетками с ограничителями. Благодаря универсальному исполнению витрина может встраиваться в барную стойку или располагаться на ней. Корпус выполнен из стали с ППУ-теплоизоляцией, экспозиционная поверхность - из нержавеющей стали.</p>

<p>Передняя панель может быть выкрашена в любой из стандартных цветов: сигнальный белый RAL 9003, бело-алюминиевый RAL 9006, черный RAL 9005, пурпурно-красный RAL 3004, графитово-серый RAL 7024, желтая сера RAL 1016, желто-зеленый RAL 6018, транспортный красный RAL 3020, транспотрный синий RAL 5017, светлая слоновая кость RAL 1015.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Динамическая система охлаждения</a></li>
<li>Компрессор европейского производства</li>
<li>Электронный блок управления Carel</li>
<li>Возможность установки полок под углом 5°</li>
<li>Выпариватель конденсата</li>
<li>Настольное расположение или встраиваемое</li>
<li>Хладагент: R134a</li>
<li>Климатический класс: 3</li>
<li>Боковое LED-освещение, раскрывающее многослойность структуры пирожных и десертов</li>
<li>Современный стильный кубический дизайн</li>
<li>Стабильный температурный режим</li>
<li>Установка витрин в рядбез зазоров</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Глубина нижней зоны выкладки: 270 мм</li>
<li>Глубина полок: 365 / 245 мм</li>
<li>Длина нижнего поддона: 666 мм</li>
<li>Максимальная высота выкладки продуктов: 
<ul>
<li>Нижний поддон: 150 мм</li>
<li>Полки: 100 мм</li>
</ul>
</li>
<li>Экспозиционная площадь: 0,56 м<sup>2</sup></li>
<li>Полезный объем: 0,06 м<sup>3</sup></li>
<li>Потребляемая мощность: 4 кВт/сутки</li>
<li>Максимальная нагрузка на полку: 3 кг/м</li>
<li>Температура окружающей среды: от 12 до 25 °С</li>
<li>Максимальная относительная влажность: 60%</li>
<li>Минимальное расстояние от отопительных приборов: 2 м</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Полка под винные полки</li>
<li>Ценникодержатели</li>
<li>Поддон под макарони (1 секция / 2 секция)</li>
<li>Подставка для бутербродов</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",151085,от 2 до 10 °С,220 В,,700 мм,600 мм,735 мм,116 кг,Россия,1,850x750x890 мм,0,https://entero.ru/manuals/179006/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Carboma%20AMRA%20%D0%90%D0%A159%20VV%200_7-1.pdf;https://entero.ru/manuals/179054/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Carboma%20AMRA%20%D0%90%D0%A159%20VV%200_7-1.jpg,77918,https://vk.com/video_ext.php?oid=-177656185&id=456239590&hd=2&autoplay=0,78 кг,универсальная,,,,0.167 кВт/ч,,,,,,динамическое,2,встроенный,
https://cdn.entero.ru/mp@2x/b3/51/b351019a1df1ef47bbd83eeb0edf01d8.jpg;https://cdn.entero.ru/mp@2x/db/46/db46df5bc1b2413f10546f182742d8fc.jpg;https://cdn.entero.ru/mp@2x/8d/90/8d90cba05bcfcbe291bac6c43e3d1b81.jpg;https://cdn.entero.ru/mp@2x/a6/0a/a60af2b6c5f409e03869d7b49ecffc81.jpg;https://cdn.entero.ru/mp@2x/5e/d1/5ed1634acf934d6e7295eb18258c92ea.jpg,Витрина холодильная Foodatlas RT-78L черная,Витрина холодильная Foodatlas RT-78L черная,31309,RUB,Да,Foodatlas,Профоборудование,Холодильное,Витрины настольные,https://entero.ru/item/267966,"<p>Холодильная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267966""><b class=""b"">Foodatlas RT-78L</b></a> предназначена для демонстрации, охлаждения и кратковременного хранения продуктов и напитков на предприятиях общественного питания и торговли. Модель оснащена распашной дверцей. Корпус выполнен из окрашенного металла с 4х-сторонним остеклением. </p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Динамическая система охлаждения</a></li>
<li>Возможность установки дополнительных полок</li>
<li>Хладагент: R600а</li>
<li>Климатическое исполнение УХЛ 4.2. ГОСТ 15150-69</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 7 кг</li>
<li>Заправка хладагента: 40 г</li>
<li>Номинальный ток: 1,2 А</li>
<li>Цвет: черный</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Внутренняя LED-подсветка</li>
<li>Замок на дверь</li>
</ul>",267966,от 0 до 12 °С,220 В,0.18 кВт,428 мм,386 мм,960 мм,36 кг,Китай,1,440x475x1030 мм,0,https://entero.ru/manuals/330853/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20RT-78L.pdf;https://entero.ru/manuals/330854/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,33307,,33.8 кг,универсальная,78 л,,,,,,,,,динамическое,,,
