Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Конструкция,Скорость вращения,Количество вентиляторов
https://cdn.entero.ru/mp@2x/54/1b/541b3c103ebf24147e8d2efb07a448e6.jpg,Воздухоохладитель POLAIR AS202-2.8,Воздухоохладитель POLAIR AS202-2.8,35075,RUB,Да,POLAIR,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/181932,"<p>Воздухоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/181932""><b class=""b"">POLAIR AS202-2.8 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Модель оснащена встроенным термореле для защиты от перегрева. Корпус выполнен из оцинкованной окрашенной стали, теплообменник - из медных труб и алюминиевых профилированных пластин. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощные oсевые вентиляторы</li>
<li>Электрическая оттайка ТЭНом</li>
<li>Двигатель с низким энергопотреблением </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>ТО:
<ul>
<li>Количество ТЭнов: 1</li>
<li>Мощность: 1,15 кВт</li>
</ul>
</li>
<li>Поддон ВО:
<ul>
<li>Количество ТЭНов: 1 </li>
<li>Мощность: 0,03 кВт </li>
</ul>
</li>
<li>Холодопроизводительность:
<ul>
<li>При -10 °С: 2,8 кВт </li>
<li>При -25 °С: 2,4 кВт </li>
</ul>
</li>
<li>​Площадь поверхности: 8,93 м<sup>2</sup></li>
<li>Шаг ламелей: 3,6 / 7,2 мм </li>
<li>Диаметр крыльчатки: 200 мм </li>
<li>Размеры труб:
<ul>
<li>Газ: 16 мм</li>
<li>Жидкость: 8 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 855х555х300 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера. </span></em></p>",181932,,0.18 кВт,715 мм,420 мм,284 мм,,,,0,https://entero.ru/manuals/211350/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20AS202-2.8.pdf;https://entero.ru/manuals/264563/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf;https://entero.ru/manuals/289139/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/289140/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%29.pdf,37715,19 кг,Россия,Россия,1200 м3/час,потолочный,2600 об/мин.,2
https://cdn.entero.ru/mp@2x/12/df/12dfcee25ddfd1e7c0045442651c2bd3.jpg,Воздухоохладитель POLAIR AS201-1.5,Воздухоохладитель POLAIR AS201-1.5,23116,RUB,Да,POLAIR,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/181935,"<p>Воздухоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/181935""><b class=""b"">POLAIR AS201-1.5 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Модель оснащена встроенным термореле для защиты от перегрева. Корпус выполнен из оцинкованной окрашенной стали, теплообменник - из медных труб и алюминиевых профилированных пластин. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощные oсевые вентиляторы</li>
<li>Электрическая оттайка ТЭНом</li>
<li>Двигатель с низким энергопотреблением </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>ТО:
<ul>
<li>Количество ТЭнов: 1</li>
<li>Мощность: 0,07 кВт</li>
</ul>
</li>
<li>Поддон ВО:
<ul>
<li>Количество ТЭНов: 1 </li>
<li>Мощность: 0,016 кВт </li>
</ul>
</li>
<li>Холодопроизводительность:
<ul>
<li>При -10 °С: 1,5 кВт </li>
<li>При -25 °С: 1,3 кВт </li>
</ul>
</li>
<li>​Площадь поверхности: 4,53 м<sup>2</sup></li>
<li>Шаг ламелей: 3,6 / 7,2 мм </li>
<li>Диаметр крыльчатки: 200 мм </li>
<li>Размеры труб:
<ul>
<li>Газ: 12 мм</li>
<li>Жидкость: 8 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 655х555х300 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера. </span></em></p>",181935,,0.18 кВт,415 мм,420 мм,284 мм,,,,0,https://entero.ru/manuals/211354/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20AS201-1.5.pdf;https://entero.ru/manuals/264562/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf;https://entero.ru/manuals/289136/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/289138/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%29.pdf,,13 кг,Россия,Россия,600 м3/час,потолочный,2600 об/мин.,1
https://cdn.entero.ru/mp@2x/54/34/54345a684aebf4b1b14e4bdf874eb1dd.jpg;https://cdn.entero.ru/mp@2x/36/24/362444edbbb8f37669ea825b69993c64.jpg,Воздухоохладитель Intercold ВО-3350-6,Воздухоохладитель Intercold ВО-3350-6,123240,RUB,Да,Intercold,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/264870,"<p>Воздухоохладитель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/264870"">Intercold ВО-3350-6</a> </b>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Корпус выполнен из алюминиевых панелей, теплообменник - из медных труб с гофрированными ребрами. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощные oсевые вентиляторы с однофазными четырехполюсными электродвигателями </li>
<li>Электрическая система оттаивания</li>
<li>Поддон слива</li>
<li>ПЭН подогрева дренажа</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход воздуха: 5609 м<sup>3</sup>/ч</li>
<li>Холодопроизводительность:
<ul>
<li>ΔТ=10К, To=0°C: 9 кВт</li>
<li>ΔТ=10К, To= -10°C: 7,5 кВт</li>
<li>ΔТ=7К, To=-25°C: 4,2 кВт</li>
</ul>
</li>
<li>Мощность вентилятора: 0,405 кВт</li>
<li>Мощность ТЭНов: 4,8 кВт</li>
<li>​Площадь поверхности: 23,47 м<sup>2</sup></li>
<li>Шаг ламелей: 5,5 мм </li>
<li>Длина струи: 15 м</li>
<li>Диаметр крыльчатки: 350 мм </li>
<li>Присоединительные патрубки:
<ul>
<li>Вход: 16 мм</li>
<li>Выход: 22 мм</li>
</ul>
</li>
</ul>",264870,220 В,,1640 мм,310 мм,540 мм,66 кг,1,1804x341x594 мм,0,https://entero.ru/manuals/327780/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Intercold%20%D0%92%D0%9E-3350-6.pdf;https://entero.ru/manuals/327781/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%BE%D1%85%D0%BB%D0%B0%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%B9%20Intercold.pdf;https://entero.ru/manuals/327782/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%85%D0%B0%D1%80%D0%B0%D0%BA%D1%82%D0%B5%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%BA%20%D0%BD%D0%B0%20%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%BE%D1%85%D0%BB%D0%B0%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B8%20Intercold.jpg,129726,60 кг,Россия,Россия,,,,3
https://cdn.entero.ru/mp@2x/8b/2f/8b2f7c38c30866182d689bc095d74d55.jpg,Воздухоохладитель Intercold ВО-4350-6,Воздухоохладитель Intercold ВО-4350-6,149321,RUB,Да,Intercold,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/233817,"<p>Воздухоохладитель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233817"">Intercold ВО-4350-6</a> </b>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Корпус выполнен из алюминиевых панелей, теплообменник - из медных труб с гофрированными ребрами. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощные oсевые вентиляторы с однофазными четырехполюсными электродвигателями </li>
<li>Электрическая система оттаивания</li>
<li>Поддон слива</li>
<li>ПЭН подогрева дренажа</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход воздуха: 7633 м<sup>3</sup>/ч</li>
<li>Холодопроизводительность:
<ul>
<li>ΔТ=10К, To=0°C: 12,5 кВт</li>
<li>ΔТ=10К, To= -10°C: 10,5 кВт</li>
<li>ΔТ=7К, To= -25°C: 7,13 кВт</li>
</ul>
</li>
<li>Мощность вентилятора: 0,54 кВт</li>
<li>Мощность ТЭНов: 6 кВт</li>
<li>​Площадь поверхности: 31,48 м<sup>2</sup></li>
<li>Шаг ламелей: 5,5 мм </li>
<li>Длина струи: 16 м</li>
<li>Диаметр крыльчатки: 350 мм </li>
<li>Присоединительные патрубки:
<ul>
<li>Вход: 16 мм</li>
<li>Выход: 22 мм</li>
</ul>
</li>
</ul>",233817,220 В,6 кВт,2090 мм,310 мм,540 мм,,,,0,https://entero.ru/manuals/289214/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Intercold%20%D0%92%D0%9E-4350-6.pdf;https://entero.ru/manuals/301937/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%BE%D1%85%D0%BB%D0%B0%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%B9%20Intercold.pdf,,81 кг,Россия,Россия,,,,4
https://cdn.entero.ru/mp@2x/15/b5/15b5285730e25d64bbfac8b3f4017453.jpg,Воздухоохладитель Intercold ВО-2250-4,Воздухоохладитель Intercold ВО-2250-4,39323,RUB,Да,Intercold,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/233825,"<p>Воздухоохладитель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233825"">Intercold ВО-2250-4</a> </b>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Корпус выполнен из алюминиевых панелей, теплообменник - из медных труб с гофрированными ребрами. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощные oсевые вентиляторы с однофазными четырехполюсными электродвигателями </li>
<li>Электрическая система оттаивания</li>
<li>Поддон слива</li>
<li>ПЭН подогрева дренажа</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход воздуха: 1142 м<sup>3</sup>/ч</li>
<li>Холодопроизводительность:
<ul>
<li>ΔТ=10К, To=0°C: 2,95 кВт</li>
<li>ΔТ=10К, To= -10°C: 2,56 кВт</li>
<li>ΔТ=7К, To= -25°C: 1,31 кВт</li>
</ul>
</li>
<li>Мощность вентилятора: 0,135 кВт</li>
<li>Мощность ТЭНов: 1,2 кВт</li>
<li>​Площадь поверхности: 9,66 м<sup>2</sup></li>
<li>Шаг ламелей: 4,2 мм </li>
<li>​Длина струи: 9 м</li>
<li>Диаметр крыльчатки: 250 мм </li>
<li>Присоединительные патрубки:
<ul>
<li>Вход: 10 мм</li>
<li>Выход: 12 мм</li>
</ul>
</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",233825,220 В,1.2 кВт,752 мм,448 мм,247 мм,,,,0,https://entero.ru/manuals/280486/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Intercold%20%D0%92%D0%9E-2250-4.jpg;https://entero.ru/manuals/289211/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Intercold%20%D0%92%D0%9E-2250-4.pdf,,18 кг,Россия,Россия,,,,2
https://cdn.entero.ru/mp@2x/92/db/92dbda931216d09eef95fffea8c80c95.jpg,Воздухоохладитель Intercold ВО-2350-6,Воздухоохладитель Intercold ВО-2350-6,94587,RUB,Нет,Intercold,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/246059,"<p>Воздухоохладитель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/246059"">Intercold ВО-2350-6</a> </b>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Корпус выполнен из алюминиевых панелей, теплообменник - из медных труб с гофрированными ребрами. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощные oсевые вентиляторы с однофазными четырехполюсными электродвигателями </li>
<li>Электрическая система оттаивания</li>
<li>Поддон слива</li>
<li>ПЭН подогрева дренажа</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход воздуха: 3700 м<sup>3</sup>/ч</li>
<li>Холодопроизводительность:
<ul>
<li>ΔТ=10К, To=0°C: 6,9 кВт</li>
<li>ΔТ=10К, To= -10°C: 6 кВт</li>
<li>ΔТ=7К, To= -25°C: 3 кВт</li>
</ul>
</li>
<li>Мощность вентилятора: 0,27 кВт</li>
<li>Мощность ТЭНов: 3,3 кВт</li>
<li>​Площадь поверхности: 21,81 м<sup>2</sup></li>
<li>Шаг ламелей: 5,5 мм </li>
<li>​Длина струи: 15 м</li>
<li>Диаметр крыльчатки: 350 мм </li>
<li>Присоединительные патрубки:
<ul>
<li>Вход: 12 мм</li>
<li>Выход: 16 мм</li>
</ul>
</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",246059,220 В,3.3 кВт,1191 мм,320 мм,540 мм,,,,0,https://entero.ru/manuals/298523/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%85%D0%B0%D1%80%D0%B0%D0%BA%D1%82%D0%B5%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%BA%20%D0%BD%D0%B0%20%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%BE%D1%85%D0%BB%D0%B0%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B8%20Intercold.jpg,98528,45 кг,Россия,Россия,,,,2
https://cdn.entero.ru/mp@2x/77/be/77bef71b65636de9dde34be0bc78f518.jpg,Воздухоохладитель Intercold ВО-1350-6,Воздухоохладитель Intercold ВО-1350-6,53372,RUB,Нет,Intercold,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/247572,"<p>Воздухоохладитель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/247572"">Intercold ВО-1350-6</a> </b>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Корпус выполнен из алюминиевых панелей, теплообменник - из медных труб с гофрированными ребрами. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход воздуха: 1835 м<sup>3</sup>/ч</li>
<li>Холодопроизводительность:
<ul>
<li>ΔТ=10К, To=0°C: 3,8 кВт</li>
<li>ΔТ=10К, To=-10°C: 3,3 кВт</li>
<li>ΔТ=7К, To=-25°C: 1,7 кВт</li>
</ul>
</li>
<li>Мощность вентилятора: 0,135 кВт</li>
<li>Мощность ТЭНов: 1,6 кВт</li>
<li>​Площадь поверхности: 11 м<sup>2</sup></li>
<li>Шаг ламелей: 5,5 мм </li>
<li>Диаметр крыльчатки: 350 мм </li>
<li>Присоединительные патрубки:
<ul>
<li>Вход: 12 мм</li>
<li>Выход: 16 мм</li>
</ul>
</li>
</ul>",247572,220 В,1.6 кВт,737 мм,320 мм,540 мм,,,,0,https://entero.ru/manuals/301965/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%BE%D1%85%D0%BB%D0%B0%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%B9%20Intercold.pdf,56779,25 кг,,Россия,,потолочный,,1
https://cdn.entero.ru/mp@2x/6f/14/6f14b7dac33b15b2ef825e94ff931d2d.jpg,Воздухоохладитель POLAIR AS311-4.5,Воздухоохладитель POLAIR AS311-4.5,54532,RUB,Нет,POLAIR,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/181931,"<p>Воздухоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/181931""><b class=""b"">POLAIR AS311-4.5 </b></a>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Модель оснащена встроенным термореле для защиты от перегрева. Корпус выполнен из оцинкованной окрашенной стали, теплообменник - из медных труб и алюминиевых профилированных пластин. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощные oсевые вентиляторы</li>
<li>Электрическая оттайка ТЭНом</li>
<li>Двигатель с низким энергопотреблением </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура окружающего воздуха: от -30 до 40 °С</li>
<li>ТО:
<ul>
<li>Количество ТЭнов: 2</li>
<li>Мощность: 1,15 кВт</li>
</ul>
</li>
<li>Холодопроизводительность:
<ul>
<li>При -10 °С: 4,5 кВт </li>
<li>При -25 °С: 3,8 кВт </li>
</ul>
</li>
<li>​Площадь поверхности: 17,86 м<sup>2</sup></li>
<li>Шаг ламелей: 3,6 / 7,2 мм </li>
<li>Диаметр крыльчатки: 315 мм </li>
<li>Размеры труб:
<ul>
<li>Газ: 18 мм</li>
<li>Жидкость: 10 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 800х480х500 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера. </span></em></p>",181931,,0.102 кВт,960 мм,535 мм,510 мм,,,,0,https://entero.ru/manuals/211349/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20AS311-4.5.pdf;https://entero.ru/manuals/264564/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf;https://entero.ru/manuals/289163/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/289167/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%29.pdf,,33 кг,Россия,Россия,2400 м3/час,потолочный,1400 об/мин.,1
https://cdn.entero.ru/mp@2x/b7/c5/b7c54d0e5b79c6632cdad27c5b4de50d.jpg,"Воздухоохладитель KIFATO ВО 1,2","Воздухоохладитель KIFATO ВО 1,2",21783,RUB,Нет,,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/260305,"<p>Воздухоохладитель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/260305"">KIFATO ВО 1,2</a> </b>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Модель оснащена компрессором с низким уровнем шума и соответствует требованиям безопасности.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Холодопроводимость: 1,2 кВт*</li>
<li>Pасход воздуха: 750 м<sup>3</sup>/ч</li>
<li>Площадь теплообмена: 3,761 м<sup>2</sup></li>
<li>Диаметр вентилятора: 1x254 мм</li>
<li>Потребляемый ток вентилятора: 0,42 A</li>
<li>Вместимость контура: 1,306 Дм<sup>3 </sup></li>
<li>Cоединения теплообменника:
<ul>
<li>Вход: 3/8</li>
<li>Выход: 1/2</li>
</ul>
</li>
<li>​Cлив: Ø26 мм​</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Пульт управления</li>
</ul>

<p> </p>

<p><em>* При температура в камере 2°C и температуре кипения -10°C</em></p>

<p><em><span style=""color:#FF0000;"">Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",260305,,,,,,,,,0,https://entero.ru/manuals/320682/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20KIFATO%20%D0%92%D0%9E%201_2.pdf,23677,,,Россия,,потолочный,,1
https://cdn.entero.ru/mp@2x/31/b9/31b9bc30cf827ad189d996a6a335d814.jpg,Воздухоохладитель Intercold ВО-1250-4,Воздухоохладитель Intercold ВО-1250-4,26232,RUB,Нет,Intercold,Профоборудование,Холодильное,Воздухоохладители,https://entero.ru/item/246062,"<p>Воздухоохладитель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/246062"">Intercold ВО-1250-4</a> </b>предназначен для охлаждения и поддержания температуры в холодильных камерах на пищевых производствах, предприятиях общественного питания и торговли. Применяются в системах выносного и встроенного холода. Корпус выполнен из алюминиевых панелей, теплообменник - из медных труб с гофрированными ребрами. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход воздуха: 540 м<sup>3</sup>/ч</li>
<li>Холодопроизводительность:
<ul>
<li>ΔТ=10К, To=0°C: 1,47 кВт</li>
<li>ΔТ=10К, To= -10°C: 1,3 кВт</li>
<li>ΔТ=7К, To= -25°C: 0,66 кВт</li>
</ul>
</li>
<li>Мощность вентилятора: 0,075 кВт</li>
<li>Мощность ТЭНов: 0.6 кВт</li>
<li>​Площадь поверхности: 4,92 м<sup>2</sup></li>
<li>Шаг ламелей: 4,2 мм </li>
<li>Диаметр крыльчатки: 250 мм </li>
<li>Присоединительные патрубки:
<ul>
<li>Вход: 10 мм</li>
<li>Выход: 12 мм</li>
</ul>
</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",246062,220 В,0.6 кВт,440 мм,448 мм,247 мм,,,,0,https://entero.ru/manuals/298532/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%85%D0%B0%D1%80%D0%B0%D0%BA%D1%82%D0%B5%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%BA%20%D0%BD%D0%B0%20%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%BE%D1%85%D0%BB%D0%B0%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B8%20Intercold.jpg,27613,12 кг,Россия,Россия,,,,1
