Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Напряжение,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Количество уровней,Вес (с упаковкой),Конструкция,Потребляемая мощность,Крышка,Ширина (в упаковке),Глубина (в упаковке),Высота (в упаковке),Количество корзин в комплекте,Цвет корпуса,Цвет отделки,No-frost
https://cdn.entero.ru/mp@2x/e2/d6/e2d656c567ee0bbf59a27a1bc6432efe.jpg;https://cdn.entero.ru/mp@2x/88/5d/885d3d056888178c8ebc3ba4d5234137.jpg;https://cdn.entero.ru/mp@2x/2e/2c/2e2cfcfd08be5a187de636d77f3bc2e1.jpg;https://cdn.entero.ru/mp@2x/61/2b/612b94142385b6f67fd29cbe667385f3.jpg;https://cdn.entero.ru/mp@2x/a0/29/a0298854a8e69defaf139f391882760d.jpg,Ларь морозильный Frostor F 400 S (R290),Ларь морозильный Frostor F 400 S (R290),41401,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/255121,"<p>Морозильный ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255121""><b class=""b"">Frostor F 400 S</b></a> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Модель оснащена открывающейся вверх крышкой и подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Ручная разморозка</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
<li>Хладагент: R290 (пропан)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем замораживаемых продуктов: не более 18 кг/сутки</li>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Толщина теплоизоляции: 60 мм</li>
<li>Габариты в упаковке: 1230х650х890 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
</ul>",255121,морозильный,от -22 до -18 °С,220 В,1200 мм,600 мм,840 мм,,Россия,,,0,https://entero.ru/manuals/312414/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Frostor%20F%20400%20S.docx;https://entero.ru/manuals/312415/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf,43580,,58 кг,380 л,,,горизонтальная,0.181 кВт/ч,глухая,,,,2,белый,серый,
https://cdn.entero.ru/mp@2x/ee/18/ee1810d641e04ecbe6ef779ed9c1b642.jpg;https://cdn.entero.ru/mp@2x/44/59/44595684114a2b03de522844eb944a84.jpg;https://cdn.entero.ru/mp@2x/97/1f/971f3753621416dfc131d652dde7dd40.jpg;https://cdn.entero.ru/mp@2x/ec/f5/ecf58584b13d80f014471071d6d401c9.jpg;https://cdn.entero.ru/mp@2x/05/8d/058de55ee8827487804eb60b5c3d2d91.jpg,Ларь морозильный Frostor F 500 S (R290),сн06,45379,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/248632,"<p>Морозильный ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/248632""><b class=""b"">Frostor F 500 S</b></a> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Благодаря открывающейся вверх крышке оборудование подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Ручная разморозка</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
<li>
<p>Хладагент: R290</p>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем замораживаемых продуктов: не более 26 кг/сутки</li>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Толщина теплоизоляции: 60 мм</li>
<li>Габариты в упаковке: 1430х650х890 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может незначительно отличаться от оригинала, производитель имеет право без предварительного уведомления вносить изменения в изделие, которые не ухудшают его технические характеристики. Вариант дизайна уточняйте у менеджеров.</span></em></p>",248632,морозильный,от -22 до -18 °С,220 В,1400 мм,600 мм,820 мм,79 кг,Россия,1,1430x650x890 мм,29,https://entero.ru/manuals/303876/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Frostor%20F%20500%20S.docx;https://entero.ru/manuals/303877/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf,,,66 кг,450 л,,,горизонтальная,,глухая,,,,2,белый,серый,
https://cdn.entero.ru/mp@2x/a9/25/a92527035089b40f8f47cc6379709cff.jpg;https://cdn.entero.ru/mp@2x/e5/00/e50094a8faffa4dd93e725665fbcf5df.jpg;https://cdn.entero.ru/mp@2x/64/1f/641f3d580096c10e813f89159a156842.jpg;https://cdn.entero.ru/mp@2x/63/de/63deae372811061cff26c191f17e6ea6.jpg;https://cdn.entero.ru/mp@2x/ce/ea/ceea98578400c761af78155cfc104d5e.jpg,Ларь морозильный Frostor F 600 S (R290),Ларь морозильный Frostor F 600 S (R290),49999,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/248629,"<p>Морозильный ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/248629""><b class=""b"">Frostor F 600 S</b></a> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Благодаря открывающейся вверх крышке оборудование подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Ручная разморозка</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
<li>Хладагент: R290</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем замораживаемых продуктов: не более 26 кг/сутки</li>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Толщина теплоизоляции: 60 мм</li>
<li>Габариты в упаковке: 1630х650х890 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может незначительно отличаться от оригинала, производитель имеет право без предварительного уведомления вносить изменения в изделие, которые не ухудшают его технические характеристики. Вариант дизайна уточняйте у менеджеров.</span></em></p>",248629,морозильный,от -22 до -18 °С,220 В,1600 мм,600 мм,820 мм,86 кг,Россия,1,1630x650x890 мм,62,https://entero.ru/manuals/303867/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Frostor%20F%20600%20S.docx;https://entero.ru/manuals/303868/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf;https://entero.ru/manuals/517887/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,52631,,73 кг,520 л,,,горизонтальная,,глухая,,,,3,белый,серый,
https://cdn.entero.ru/mp@2x/fe/34/fe34abe978da9a55ad64f5fe911edebf.jpg;https://cdn.entero.ru/mp@2x/fc/17/fc17ea92af39298c52907c7d09f0256b.jpg;https://cdn.entero.ru/mp@2x/fe/a9/fea939e20f21d1e3c7d3aaccf2966e68.jpg;https://cdn.entero.ru/mp@2x/a1/95/a19532c5e55ef454c5fb8216df06e875.jpg,Ларь морозильный Frostor F 400 S,F400S сн05,45833,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/26005,"<p>Морозильный ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26005"">Frostor F 400 S</a></b> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Благодаря открывающейся вверх крышке оборудование подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p>Изменился дизайн ларей - на первом фото новый дизайн, на втором - старый. Вариант дизайна уточняйте у менеджеров.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Ручная разморозка</li>
<li>Хладагент: R134a</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем замораживаемых продуктов: не более 18 кг/сутки</li>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Толщина теплоизоляции: 60 мм</li>
<li>Габариты в упаковке: 1230х650х890 мм</li>
<li>Цвет: белый</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
</ul>",26005,морозильный,от -25 до -12 °С,220 В,1200 мм,600 мм,820 мм,67 кг,Россия,1,1230x650x890 мм,0,https://entero.ru/manuals/72335/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Frostor%20F%20400%20S.docx;https://entero.ru/manuals/280632/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf,48245,,58 кг,370 л,,,горизонтальная,0.181 кВт/ч,глухая,,,,2,белый,,
https://cdn.entero.ru/mp@2x/d4/69/d46943ab3a34f21ccd42703a6c072d93.jpg;https://cdn.entero.ru/mp@2x/91/0a/910a742ef30aede71827fb834637a372.jpg;https://cdn.entero.ru/mp@2x/83/d6/83d6c37bcccbfc137b5f714459e2ef7c.jpg,Ларь морозильный Frostor F 350 S,F350S (F 300 S NEW) сн04.1,37837,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/112185,"<p>Морозильный ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/112185"">Frostor F 350 S</a></b> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Благодаря открывающейся вверх крышке оборудование подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия, испаритель - из алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Принудительная разморозка</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Толщина теплоизоляции: 65 мм</li>
<li>Габариты в упаковке: 1030х650х890 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
</ul>",112185,морозильный,от -22 до -18 °С,220 В,1000 мм,600 мм,840 мм,,Россия,,,0,https://entero.ru/manuals/280662/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf,39414,,53 кг,310 л,,,горизонтальная,0.181 кВт/ч,глухая,,,,1,белый,,
https://cdn.entero.ru/mp@2x/6a/92/6a92944aa287b0ec0da15a12f5f6f893.jpg;https://cdn.entero.ru/mp@2x/8e/eb/8eebf3fc70ec6dc16e56b7d9ae48b9ff.jpg;https://cdn.entero.ru/mp@2x/04/85/0485cc65916f6726682818cd37ce6e30.jpg;https://cdn.entero.ru/mp@2x/9f/7d/9f7dc2e417686210370c90a825af6e23.jpg;https://cdn.entero.ru/mp@2x/30/c9/30c9c309b7fb06f54e3f2b6d6f0a58c0.jpg,Ларь морозильный Frostor F 600 S,F600S сн07,49999,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/30024,"<p>Морозильный ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30024"">Frostor F 600 S</a></b> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Благодаря открывающейся вверх крышке оборудование подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p>Изменился дизайн ларей - на первом фото новый дизайн, на втором - старый. Вариант дизайна уточняйте у менеджеров.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Ручная разморозка</li>
<li>Хладагент: R134a</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем замораживаемых продуктов: не более 26 кг/сутки</li>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Толщина теплоизоляции: 60 мм</li>
<li>Габариты в упаковке: 1630х650х890 мм</li>
<li>Цвет: белый</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
</ul>",30024,морозильный,от -25 до -12 °С,220 В,1600 мм,600 мм,820 мм,,Россия,,,0,https://entero.ru/manuals/72341/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Frostor%20F%20600%20S.docx;https://entero.ru/manuals/280634/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf,,,73 кг,510 л,,,горизонтальная,0.23 кВт/ч,глухая,,,,3,белый,серый,
https://cdn.entero.ru/mp@2x/bd/58/bd58b5d3a6f6fa852fe3841250d44576.jpg;https://cdn.entero.ru/mp@2x/98/de/98dee567963e1e058cbfa950284edbfa.jpg;https://cdn.entero.ru/mp@2x/68/4c/684c5f9d5788e010b9a9ea2d02a72be1.jpg;https://cdn.entero.ru/mp@2x/ce/eb/ceeb9d131edb03b3a96c05412f83674b.jpg,Ларь морозильный Frostor F 700 S (R290),Ларь морозильный Frostor F 700 S (R290),55999,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/248627,"<p>Морозильный ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/248627""><b class=""b"">Frostor F 700 S</b></a> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Благодаря открывающейся вверх крышке оборудование подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Ручная разморозка</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
<li>Хладагент: R290</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем замораживаемых продуктов: не более 26 кг/сутки</li>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Толщина теплоизоляции: 60 мм</li>
<li>Габариты в упаковке: 1830х650х890 мм​</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может незначительно отличаться от оригинала, производитель имеет право без предварительного уведомления вносить изменения в изделие, которые не ухудшают его технические характеристики. Вариант дизайна уточняйте у менеджеров.</span></em></p>",248627,морозильный,от -22 до -18 °С,220 В,1800 мм,600 мм,820 мм,97 кг,Россия,1,1830x650x890 мм,8,https://entero.ru/manuals/303863/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Frostor%20F%20700%20S.docx;https://entero.ru/manuals/303864/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf,60868,,80 кг,590 л,,,горизонтальная,,глухая,,,,3,белый,серый,
https://cdn.entero.ru/mp@2x/1b/34/1b34a90e1e5715a07883dbf85bec824c.jpg;https://cdn.entero.ru/mp@2x/fa/eb/faeb283707519b2e255b3e914569b570.jpg;https://cdn.entero.ru/mp@2x/08/3c/083c89a99b374c545c6fa2e501e566fc.jpg;https://cdn.entero.ru/mp@2x/f3/48/f3480633be3dce80e332fcfc1263da16.jpg,Ларь морозильный Frostor F 350 S (R290),Ларь морозильный Frostor F 350 S (R290),37837,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/260444,"<p>Морозильный ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/260444""><b class=""b"">Frostor F 350 S</b></a> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Благодаря открывающейся вверх крышке оборудование подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия, испаритель - из алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Принудительная разморозка</li>
<li>Хладагент: R290</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
<li>Степень защиты оборудования: IP20</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Полезный объем: 213 л</li>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Рекомендованный максимальный объем заморозки: 18 кг/сутки</li>
<li>Суточное энергопотребление: 1,7 кВт</li>
<li>Толщина теплоизоляции: 60 мм</li>
<li>Габариты в упаковке: 1030х650х890 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
<li>Замок</li>
</ul>",260444,морозильный,от -22 до -18 °С,220 В,1000 мм,600 мм,840 мм,61 кг,Россия,1,1040x670x890 мм,0,https://entero.ru/manuals/321007/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Frostor%20F%20350%20S.pdf,,,53 кг,310 л,,,горизонтальная,,глухая,,,,1,белый,серый,
https://cdn.entero.ru/mp@2x/37/66/3766debad40c4cfbbbb4fcc1f033650e.jpg;https://cdn.entero.ru/mp@2x/55/26/552636f7e97cdf2decedc7f381fbf3b9.jpg;https://cdn.entero.ru/mp@2x/e7/d3/e7d36a8809d9a0aff6b2fe7feb903f04.jpg;https://cdn.entero.ru/mp@2x/ca/c7/cac768b328e14f9d68fa797e2d895424.jpg;https://cdn.entero.ru/mp@2x/af/ac/afac1b5dfd7a0ce4f06e495ff0520107.jpg,Ларь морозильный Frostor F 800 SD,F800SD сн70,72862,RUB,Да,Frostor,Профоборудование,Холодильное,Лари,https://entero.ru/item/58315,"<p>Морозильный ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/58315"">Frostor F 800 SD</a></b> серии Standart предназначен для заморозки и длительного хранения продуктов и полуфабрикатов в складских помещениях, производственных цехах и на предприятиях общественного питания и торговли. Благодаря открывающейся вверх крышке оборудование подходит для помещений с ограниченной площадью. Корпус выполнен из оцинкованной пластифицированной стали и алюминия.</p>

<p>В комплект поставки входят колеса.</p>

<p>Изменился дизайн ларей - на первом фото новый дизайн, на втором - старый. Вариант дизайна уточняйте у менеджеров.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Ручная разморозка</li>
<li>Тип испарителя: SKIN</li>
<li>Класс энергосбережения: А</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем замораживаемых продуктов: не более 26 кг/сутки</li>
<li>Максимальная температура окружающей среды: 30 ºC</li>
<li>Толщина теплоизоляции: 60 мм</li>
<li>Цвет: белый</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Индивидуальное декорирование (брендирование)</li>
</ul>",58315,морозильный,от -25 до -12 °С,220 В,2000 мм,600 мм,820 мм,,Россия,,,0,https://entero.ru/manuals/72346/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Frostor%20F%20800%20SD.docx;https://entero.ru/manuals/280639/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf,77513,,89 кг,650 л,,,горизонтальная,0.23 кВт/ч,глухая,,,,4,белый,серый,
https://cdn.entero.ru/mp@2x/11/b3/11b3e1b8580f66fead89d25a195eb51c.jpg;https://cdn.entero.ru/mp@2x/b2/7c/b27c58fe66fee6b10d0a411b36e01eb6.jpg;https://cdn.entero.ru/mp@2x/4d/8b/4d8b2cb1cf12f0e1f8c8a7d61b12f3f3.jpg;https://cdn.entero.ru/mp@2x/b7/9f/b79f61934ddd23a2422e36771ccda765.jpg;https://cdn.entero.ru/mp@2x/d6/af/d6af53a4c4c62745199a421ceb09867b.jpg;https://cdn.entero.ru/mp@2x/f1/39/f139b5d29e6ea088c4540427af468f4c.jpg;https://cdn.entero.ru/mp@2x/2d/89/2d89da320ff24431d3f1febbf627f53f.jpg;https://cdn.entero.ru/mp@2x/93/34/93343295bd4725b68f6aa888b63223aa.jpg;https://cdn.entero.ru/mp@2x/8d/7c/8d7c0b8037409b029205b30eeffa2c2b.jpg;https://cdn.entero.ru/mp@2x/b4/34/b434bbdb58d1ae60917a2b1f4214b7ff.jpg;https://cdn.entero.ru/mp@2x/7c/e3/7ce3608909645f1dbc48059d737f0030.jpg;https://cdn.entero.ru/mp@2x/57/8e/578ee9021338a3c63e8a5184cbac955c.jpg;https://cdn.entero.ru/mp@2x/02/a1/02a13df72ec862d97f13b8bcf9089125.jpg,Ларь морозильный Haier HCE 520RFC,Ларь морозильный Haier HCE 520RFC,66400,RUB,Да,Haier,Профоборудование,Холодильное,Лари,https://entero.ru/item/297390,"<p>Морозильный ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/297390"">Haier HCE 520RFC</a></b> предназначен для заморозки и длительного хранения продуктов и полуфабрикатов на предприятиях общественного питания и торговли. Модель оснащена электронным управлением с функцией блокировки от случайного нажатия, глухой крышкой и 6 колесами для удобства перемещения, два из которых поворотные. </p>

<p>В комплект поставки входят 2 корзины и скребок.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Дисплей:
<ul>
<li>Отображает температуру внутри ларя</li>
<li>Выдает коды ошибок самодиагностики</li>
<li>Защищен паролем от несанкционированных изменений</li>
</ul>
</li>
<li>Функция Режим Fast Freeze для быстрой заморозки</li>
<li>Интеллектуальный контроль температуры с точностью до 1 °С</li>
<li>Автономное сохранение холода 24+ часа при отключении электроэнергии</li>
<li>Надежный замок от случайного открытия дверцы</li>
<li>Светодиодное освещение включается автоматически при открывании крышки</li>
<li>Вместительные подвесные корзины легко снимаются для очистки</li>
<li>Удаление влаги</li>
<li>Водосливная пробка для разморозки</li>
<li>Устойчивость к перепадам напряжения сети</li>
<li>Фиксация крышки в открытом положении</li>
<li>Энергетический класс: А+</li>
<li>Климатический класс: SN-T</li>
<li>Хладагент: R600a</li>
<li>Низкое энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность: 0,018 кВт</li>
<li>Уровень шума: 42 дБ</li>
</ul>",297390,морозильный,от -29 до 10 °С,220 В,1650 мм,745 мм,845 мм,86 кг,Россия,1,1710x895x775 мм,7,https://entero.ru/manuals/416374/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/416375/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Haier%20HCE%20520RFC.pdf;https://entero.ru/manuals/487411/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Haier%202024.pdf,,,76 кг,516 л,,,горизонтальная,0.04 кВт/ч,глухая,,,,2,белый,белый,
