Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Страна-производитель,Система охлаждения,Количество температурных зон,Вместимость бутылок
https://cdn.entero.ru/mp@2x/59/47/594718e5d17ea2b9c443969670fa2939.jpg;https://cdn.entero.ru/mp@2x/26/cb/26cbd7f405a8a61a91b08ad660b4c351.jpg;https://cdn.entero.ru/mp@2x/ba/cf/bacf2b12e33efded9e933212dda533c4.jpg,Диспенсер для вина TEFCOLD DKS95-3/10L,Диспенсер для вина TEFCOLD DKS95-3/10L,73092,RUB,Нет,TEFCOLD,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/194029,"<p>Диспенсер для вина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194029"">TEFCOLD DKS95-3/10L</a></b> используется в барах, ресторанах, специализированных магазинах, частных домах или квартирах для розлива вина при определенной температуре, позволяющей сохранить все вкусовые свойства напитка. Внутренняя часть и полки выполнены из нержавеющей стали SS 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическая система охлаждения</li>
<li>Механическая панель управления</li>
<li>Автоматический тип размораживания</li>
<li>3 полки из нержавеющей стали</li>
<li>Предназначен для использования совместно с вином в 10-литровой упаковке BiB (Tetra Pak)</li>
<li>Краны, подходящие для розлива в бокалы и в декантеры</li>
<li>Распашная сплошная дверь</li>
<li>4 регулируемые ножки</li>
<li>Хладагент R600a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость упаковок BiB: 3х 10 л</li>
<li>Объем:
<ul>
<li>Общий: 90 л</li>
<li>Полезный: 80 л</li>
</ul>
</li>
<li>Заправка хладагента: 30 г</li>
<li>Уровень шума: 40 Дб</li>
<li>Климатический класс: 4</li>
<li>Энергопотребление:
<ul>
<li>Сутки: 0,7 кВт/сут.</li>
<li>Год: 256 кВт/год</li>
</ul>
</li>
<li>Индекс энергоэффективности: 93</li>
<li>Размеры полки: 250х350 мм</li>
<li>Внутренние размеры: 255х415х825 мм</li>
<li>Габариты в упаковке: 400х600х1200 мм</li>
<li>Цвет: бордо (RAL3005)</li>
</ul>",194029,от 3 до 9 °C,220 В,,350 мм,455 мм,1145 мм,,,,0,https://entero.ru/manuals/226528/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20TEFCOLD%20DKS95-3_10L.pdf;https://entero.ru/manuals/226529/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20TEFCOLD%20DKS95-3_10L.pdf;https://entero.ru/manuals/226530/%D0%AD%D1%82%D0%B8%D0%BA%D0%B5%D1%82%D0%BA%D0%B0%20%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%BE%D1%8D%D1%84%D1%84%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20TEFCOLD%20DKS95-3_10L.pdf;https://entero.ru/manuals/226531/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%20%D0%B7%D0%B0%D0%BF%D1%87%D0%B0%D1%81%D1%82%D0%B5%D0%B9%20%D0%B4%D0%BB%D1%8F%20TEFCOLD%20DKS95-3_10L.pdf,76138,40 кг,Дания,,1,3
https://cdn.entero.ru/mp@2x/5f/9c/5f9c847f0e86acf5c9cdd272406b9742.jpg;https://cdn.entero.ru/mp@2x/0f/de/0fde1da75dd6ec80509b9ec8b6dace23.jpg;https://cdn.entero.ru/mp@2x/42/25/4225b3509e4b504f7c18cfbdaa229891.jpg,Диспенсер для вина TEFCOLD DKS95-2/20L,Диспенсер для вина TEFCOLD DKS95-2/20L,93311,RUB,Нет,TEFCOLD,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/334160,"<p>Диспенсер для вина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/334160"">TEFCOLD DKS95-2/20L</a></b> используется в барах, ресторанах, специализированных магазинах, на других предприятиях общественного питания и торговли для розлива вина в упаковке BiB (Tetra Pak) при оптимальной температуре. Модель оснащена холодильной камерой с глухой распашной дверью, 2 полками и 2 кранами. Внутренняя облицовка и полки выполнены из высококачественной нержавеющей стали марки SS304, экстерьер корпуса с покрытием красного оттенка (RAL3005).</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""http://entero.ru/info/300"">Статическое охлаждение</a></li>
<li>Регулировка температуры с помощью термостата с поворотным переключателем</li>
<li>Автоматическая оттайка</li>
<li>Съемная подставка для тары с каплесборником</li>
<li>4 регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Экологически безопасный хладагент R600a</li>
<li>Класс энергоэффективности: F</li>
<li>Климатический класс: 4</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Максимальная температура окружающей среды: 30 °C</li>
<li>Максимальная относительная влажность: 55%</li>
</ul>
</li>
<li>Среднее энергопотребление:
<ul>
<li>Годовое: 104 кВт⋅ч</li>
<li>Суточное: 0,28 кВт⋅ч</li>
</ul>
</li>
<li>Максимальный уровень шума (A): 40 дБ</li>
<li>Вместимость упаковок BiB объемом 20 л: 2</li>
<li>Масса хладагента: 0,03 кг</li>
<li>Объем:
<ul>
<li>Общий: 120 л</li>
<li>Полезный: 102 л</li>
</ul>
</li>
<li>Внутренние габариты: 295х495х805 мм</li>
<li>Габариты полок: 290х430 мм</li>
</ul>",334160,от 3 до 9 °C,220 В,0.08 кВт,392 мм,595 мм,1120 мм,50 кг,1,430x660x1180 мм,0,https://entero.ru/manuals/394888/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20TEFCOLD%20DKS95-2_20L.pdf;https://entero.ru/manuals/394889/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20TEFCOLD%20DKS95-2_20L.pdf;https://entero.ru/manuals/394890/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%20%D0%B7%D0%B0%D0%BF%D1%87%D0%B0%D1%81%D1%82%D0%B5%D0%B9%20%D0%B4%D0%BB%D1%8F%20TEFCOLD%20DKS95-2_20L.pdf,99267,46 кг,Дания,компрессорная,1,
https://cdn.entero.ru/mp@2x/55/58/55586b7a17ca10398b3f2efb57c18b9b.jpg;https://cdn.entero.ru/mp@2x/cf/53/cf5327e5e0db7c31939b720d7f6e6a63.jpg,Баллон с углекислым газом Bermar CO2,Баллон с углекислым газом Bermar CO2,7101,RUB,Нет,Bermar,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/86505,"<p>Баллон с углекислым газом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86505"">Bermar CO2</a></b> используется совместно с диспенсером для вина <a href=""https://entero.ru/item/86246"">BC01C</a>, <a href=""https://entero.ru/item/86247"">BC02</a>, <a href=""https://entero.ru/item/86527"">BC03C</a>, <a href=""https://entero.ru/item/86529"">BC04</a>, <a href=""https://entero.ru/item/86654"">BC05C</a>, <a href=""https://entero.ru/item/86655"">BC06</a>, <a href=""https://entero.ru/item/86662"">BC05PC</a>, <a href=""https://entero.ru/item/86664"">BC06P</a>, <a href=""https://entero.ru/item/86670"">BC401C</a>, <a href=""https://entero.ru/item/86671"">BC402</a>, <a href=""https://entero.ru/item/86673"">BC403C</a>, <a href=""https://entero.ru/item/86674"">BC404</a>, <a href=""https://entero.ru/item/86675"">BC404/10</a> и <a href=""https://entero.ru/item/86676"">BC406</a> для сохранения качества игристых вин в барах и ресторанах. Изделие оснащено автоматическим стопором, который недопускает утечку газа при отсоединении его от редуктора.</p>",86505,,,,,,,,,,0,,,,,,,
https://entero.ru/i/nofoto-m.jpg,Кронштейн для монтажа под углом Bermar BC00/2,Кронштейн для монтажа под углом Bermar BC00/2,10411,RUB,Нет,Bermar,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/86245,"<p>Кронштейн для монтажа под углом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86245"">Bermar BC00/2</a></b> используется совместно c диспенсерами для вина <a href=""https://entero.ru/item/85825"">BC01S</a>, <a href=""https://entero.ru/item/86246"">BC01C</a> и <a href=""https://entero.ru/item/86247"">BC02</a> в барах и ресторанах.</p>",86245,,,,,,,,,,0,,11316,,,,,
https://cdn.entero.ru/mp@2x/86/77/86774537c1b3849ee369e1ed9a945c1c.jpg;https://cdn.entero.ru/mp@2x/2d/98/2d98344c0c9ee0ebedf16ad25c3905a5.jpg;https://cdn.entero.ru/mp@2x/c7/7d/c77db87cf3c955b8c031de083ce97069.jpg;https://cdn.entero.ru/mp@2x/b6/fa/b6fa360033f75c76b9945bc9a191e383.jpg;https://cdn.entero.ru/mp@2x/09/d6/09d6b44c07795516f3bfbb0861fa7da4.jpg;https://cdn.entero.ru/mp@2x/ce/07/ce07317baa4e652f287d5d2349c6514a.jpg;https://cdn.entero.ru/mp@2x/0b/31/0b31af3defd394263a76f73a5d3fd63c.jpg,Корпус из xрома Bermar BC00/12,Корпус из xрома Bermar BC00/12,16608,RUB,Нет,Bermar,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/86243,"<p>Корпус из xрома <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86243"">Bermar BC00/12</a></b> используется совместно с диспенсерами для вина <a href=""https://entero.ru/item/85825"">BC01S</a>, <a href=""https://entero.ru/item/86246"">BC01C</a> и <a href=""https://entero.ru/item/86247"">BC02</a> в барах и ресторанах.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото диспенсеры для вина BC01S, BC01C и BC02 в корпусе из xрома.</span></em></p>",86243,,,,,,,,,,0,,,,,,,
https://entero.ru/i/nofoto-m.jpg,Монтажная планка на столешницу Bermar BC00/13,Монтажная планка на столешницу Bermar BC00/13,16608,RUB,Нет,Bermar,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/86538,"<p>Крепежная планка для монтажа на краю столешницы​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86538"">Bermar BC00/13</a></b> используется совместно с диспенсерами для вина <a href=""https://entero.ru/item/86509"">BC03S</a>, <a href=""https://entero.ru/item/86527"">BC03C</a> и <a href=""https://entero.ru/item/86529"">BC04</a> в барах и ресторанах.</p>",86538,,,,,,,,,,0,,,,,,,
https://entero.ru/i/nofoto-m.jpg,Крепеж для установки на стену Bermar BC00/19,Крепеж для установки на стену Bermar BC00/19,16608,RUB,Нет,Bermar,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/86653,"<p>Крепеж для установки на стену​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86653"">Bermar BC00/19</a></b> используется совместно с диспенсерами для вина <a href=""https://entero.ru/item/86651"">BC05S</a>, <a href=""https://entero.ru/item/86654"">BC05C</a> и <a href=""https://entero.ru/item/86655"">BC06</a> в барах и ресторанах.</p>",86653,,,,,,,,,,0,,18052,,,,,
https://entero.ru/i/nofoto-m.jpg,Вертикальный держатель для установки на столешницу Bermar BC00/1,Вертикальный держатель для установки на столешницу Bermar BC00/1,27417,RUB,Нет,Bermar,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/86244,"<p>Вертикальный держатель для установки на столешницу <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86244"">Bermar BC00/1</a></b> используется совместно c диспенсерами для вина <a href=""https://entero.ru/item/85825"">BC01S</a>, <a href=""https://entero.ru/item/86246"">BC01C</a> и <a href=""https://entero.ru/item/86247"">BC02</a> в барах и ресторанах.</p>",86244,,,,,,,,,,0,,29167,,,,,
https://cdn.entero.ru/mp@2x/f1/d4/f1d4599630a97cfb813e55e26418eb6f.jpg,Корпус из нержавеющей стали Bermar BC00/7,Корпус из нержавеющей стали Bermar BC00/7,27417,RUB,Нет,Bermar,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/86536,"<p>Корпус из нержавеющей стали <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86536"">Bermar BC00/7</a></b> используется совместно с диспенсерами для вина <a href=""https://entero.ru/item/86509"">BC03S</a>, <a href=""https://entero.ru/item/86527"">BC03C</a> и <a href=""https://entero.ru/item/86529"">BC04</a> в барах и ресторанах.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото диспенсер для вина BC04 в корпусе из нержавеющей стали.</span></em></p>",86536,,,,,,,,,,0,,,,,,,
https://entero.ru/i/nofoto-m.jpg,Крепеж для установки под столешницу Bermar BC00/17,Крепеж для установки под столешницу Bermar BC00/17,27429,RUB,Нет,Bermar,Профоборудование,Холодильное,Охладители для вина,https://entero.ru/item/86652,"<p>Крепеж для установки под столешницу​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86652"">Bermar BC00/17</a></b> используется совместно с диспенсерами для вина <a href=""https://entero.ru/item/86651"">BC05S</a>, <a href=""https://entero.ru/item/86654"">BC05C</a> и <a href=""https://entero.ru/item/86655"">BC06</a> в барах и ресторанах.</p>",86652,,,,,,,,,,0,,,,,,,
