Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Объем,Рабочая поверхность,Тип дверей,Количество дверей,Сквозной,Стеклянные двери,Салат-бар,Расположение агрегата,Тип гастроемкости для салат-бара,Вместимость гастроемкостей в салат-баре,Количество ящиков
https://cdn.entero.ru/mp@2x/29/b9/29b928d49a2d65bedc3ca49ef8c284e4.jpg,Стол для салатов HICOLD SLE2-111GN (1/6) с крышкой,281717 / 70311,142340,RUB,Да,HICOLD,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/26125,"<p>Стол для салатов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26125""><b class=""b"">HICOLD SLE2-111GN</b></a> используется на предприятиях общественного питания и торговли для хранения и обработки ингредиентов, используемых для приготовления пиццы, салатов и других блюд, а также для охлаждения и кратковременного хранения скоропортящихся продуктов и напитков. Модель совмещает в себе рабочую поверхность и охлаждаемый объем, что значительно упрощает работу повара, так как все необходимые компоненты всегда находятся под рукой. Корпус и столешница выполнены из нержавеющей стали.</p>

<p>Гастроемкости в комплект поставки не входят и приобретаются отдельно.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>Электронная панель управления</li>
<li>3 вместительные внутренние полки формата GN 1/1</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Открытая агрегатная часть</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Максимальная глубина гастроемкостей: 100 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Высота борта: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Задняя стенка из нержавеющей стали, закрывающая агрегатный отсек</li>
<li>Замена одной распашной двери на выдвижную секцию</li>
<li>Замена одной распашной двери на секцию из 2 выдвижных ящиков</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Замена стандартной столешницы на столешницу без крышки с открытым отверстием под гастроемкости</li>
<li>Замок на одну дверь или ящик</li>
</ul>",26125,от 2 до 10 °С,220 В,0.22 кВт,1485 мм,700 мм,900 мм,159 кг,Россия,1,1700x850x1080 мм,0,https://entero.ru/manuals/451939/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20SLE2-111GN%20%281_6%29%20%D1%81%20%D0%BA%D1%80%D1%8B%D1%88%D0%BA%D0%BE%D0%B9.pdf;https://entero.ru/manuals/451940/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/451941/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,151426,,,для салатов,375 л,нерж. сталь,распашные,3,,,Да,снизу,GN 1/6,8,
https://cdn.entero.ru/mp@2x/56/6e/566e08de9614cce6a7ae8fcd301ef220.jpg,Стол для салатов HICOLD SLE2-11GN (1/6) с крышкой,281715,137590,RUB,Да,HICOLD,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/26122,"<p>Стол для салатов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26122""><b class=""b"">HICOLD SLE2-11GN</b></a> используется на предприятиях общественного питания и торговли для хранения и обработки ингредиентов, используемых для приготовления пиццы, салатов и других блюд, а также для охлаждения и кратковременного хранения скоропортящихся продуктов и напитков. Модель совмещает в себе рабочую поверхность и охлаждаемый объем, что значительно упрощает работу повара, так как все необходимые компоненты всегда находятся под рукой. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>Электронная панель управления</li>
<li>2 вместительные внутренние полки формата GN 1/1</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Открытая агрегатная часть</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Максимальная глубина гастроемкостей: 100 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Высота борта: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Задняя стенка из нержавеющей стали, закрывающая агрегатный отсек</li>
<li>Замена одной распашной двери на выдвижную секцию</li>
<li>Замена одной распашной двери на секцию из 2 выдвижных ящиков</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Замена стандартной столешницы на столешницу без крышки с открытым отверстием под гастроемкости</li>
<li>Замок на одну дверь или ящик</li>
</ul>",26122,от 2 до 10 °С,220 В,0.15 кВт,1000 мм,700 мм,850 мм,86 кг,Россия,1,1220x750x1080 мм,10,https://entero.ru/manuals/451951/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20SLE2-11GN%20%281_6%29%20%D1%81%20%D0%BA%D1%80%D1%8B%D1%88%D0%BA%D0%BE%D0%B9.pdf;https://entero.ru/manuals/451952/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/451953/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,для салатов,245 л,нерж. сталь,распашные,2,,,Да,снизу,GN 1/6,5,
https://cdn.entero.ru/mp@2x/bc/35/bc359d7e44c4647f214706304d62da65.jpg,Стол для пиццы HICOLD PZE2-111/GN (1/6),286754,180363,RUB,Да,HICOLD,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/26100,"<p>Стол для пиццы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26100""><b class=""b"">HICOLD PZE2-111/GN</b></a> используется на предприятиях общественного питания и торговли для раскатки теста и обработки ингредиентов, используемых для приготовления пиццы, салатов и других блюд, а также для охлаждения и кратковременного хранения скоропортящихся продуктов и напитков. Модель совмещает в себе рабочую поверхность и охлаждаемый объем, что значительно упрощает работу повара, так как все необходимые компоненты всегда находятся под рукой. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>Электронная панель управления</li>
<li>3 вместительные внутренние полки формата GN 1/1</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Открытая агрегатная часть</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Максимальная глубина гастроемкостей: 100 мм</li>
<li>Глубина рабочей поверхности: 486 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Задняя стенка из нержавеющей стали, закрывающая агрегатный отсек</li>
<li>Замена одной распашной двери на выдвижную секцию</li>
<li>Замена одной распашной двери на секцию из 2 выдвижных ящиков</li>
<li>Замена стандартной столешницы на гранитную</li>
<li>Замена стандартной столешницы на столешницу со стеклянной витриной</li>
<li>Замок на одну дверь или ящик</li>
</ul>",26100,от 2 до 10 °С,220 В,0.22 кВт,1485 мм,700 мм,990 мм,115 кг,Россия,1,1700x860x1180 мм,16,https://entero.ru/manuals/452067/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20PZE2-111_GN%20%281_6%29.pdf;https://entero.ru/manuals/452068/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/452069/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,187878,,,для пиццы,375 л,нерж. сталь,распашные,3,,,Да,снизу,GN 1/6,8,
https://cdn.entero.ru/mp@2x/18/c1/18c1eae4ca4a43a628d314f26c20bf78.jpg,Стол для салатов HICOLD SL2-111GN (1/6) с крышкой,282759,161917,RUB,Да,HICOLD,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/26117,"<p>Стол для салатов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26117""><b class=""b"">HICOLD SL2-111GN</b></a> используется на предприятиях общественного питания и торговли для хранения и обработки ингредиентов, используемых для приготовления пиццы, салатов и других блюд, а также для охлаждения и кратковременного хранения скоропортящихся продуктов и напитков. Модель совмещает в себе рабочую поверхность и охлаждаемый объем, что значительно упрощает работу повара, так как все необходимые компоненты всегда находятся под рукой. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>Электронная панель управления</li>
<li>3 вместительные внутренние полки формата GN 1/1</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Открытая агрегатная часть</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Максимальная глубина гастроемкостей: 100 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Высота борта: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Задняя стенка из нержавеющей стали, закрывающая агрегатный отсек</li>
<li>Замена одной распашной двери на выдвижную секцию</li>
<li>Замена одной распашной двери на секцию из 2 выдвижных ящиков</li>
<li>Замена одной распашной двери на секцию из 3 выдвижных ящиков</li>
<li>Замена опорных ножек на колёса (2 со стопором, 2 без стопора)</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Замена стандартной столешницы на столешницу без крышки с открытым отверстием под гастроемкости</li>
<li>Замок на одну дверь или ящик</li>
</ul>",26117,от 2 до 10 °С,220 В,0.46 кВт,1835 мм,700 мм,850 мм,120 кг,Россия,1,2000x850x1000 мм,6,https://entero.ru/manuals/451971/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20SL2-111GN%20%281_6%29%20%D1%81%20%D0%BA%D1%80%D1%8B%D1%88%D0%BA%D0%BE%D0%B9.pdf;https://entero.ru/manuals/451972/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/451973/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,для салатов,505 л,нерж. сталь,распашные,3,,,Да,сбоку,GN 1/6,8,
https://cdn.entero.ru/mp@2x/81/91/8191f532979d0666eca867cfa6f5f430.jpg,Стол для салатов HICOLD SLE1-111GN (1/3) с крышкой,281718,142688,RUB,Да,HICOLD,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/26124,"<p>Стол для салатов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26124""><b class=""b"">HICOLD SLE1-111GN</b></a> используется на предприятиях общественного питания и торговли для хранения и обработки ингредиентов, используемых для приготовления пиццы, салатов и других блюд, а также для охлаждения и кратковременного хранения скоропортящихся продуктов и напитков. Модель совмещает в себе рабочую поверхность и охлаждаемый объем, что значительно упрощает работу повара, так как все необходимые компоненты всегда находятся под рукой. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>Электронная панель управления</li>
<li>3 вместительные внутренние полки формата GN 1/1</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Открытая агрегатная часть</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Максимальная глубина гастроемкостей: 100 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Высота борта: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Задняя стенка из нержавеющей стали, закрывающая агрегатный отсек</li>
<li>Замена одной распашной двери на выдвижную секцию</li>
<li>Замена одной распашной двери на секцию из 2 выдвижных ящиков</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Замена стандартной столешницы на столешницу без крышки с открытым отверстием под гастроемкости</li>
<li>Замок на одну дверь или ящик</li>
</ul>",26124,от 2 до 10 °С,220 В,0.22 кВт,1485 мм,700 мм,850 мм,115 кг,Россия,1,1700x850x1080 мм,0,https://entero.ru/manuals/451944/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20SLE1-111GN%20%281_3%29%20%D1%81%20%D0%BA%D1%80%D1%8B%D1%88%D0%BA%D0%BE%D0%B9.pdf;https://entero.ru/manuals/451945/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/451946/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,для салатов,375 л,нерж. сталь,распашные,3,,,Да,снизу,GN 1/3,8,
https://cdn.entero.ru/mp@2x/31/33/313373e94aaca13fe518b742db33ef92.jpg,Стол для пиццы Cooleq PS903,PS-903,111590,RUB,Да,Cooleq,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/66486,"<p>Стол для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/66486"">Cooleq PS903</a></b> используется на предприятиях общественного питания и торговли для хранения пиццы, салатов, сэндвичей и других блюд и ингредиентов к ним в охлажденном состоянии. Модель оснащена широкой столешницей, которая предоставляет достаточно пространства для приготовления блюд, полкой и парой направляющих в каждой секции. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Размеры гранитной столешницы: 1368x488x32 мм</li>
<li>Глубина используемых гастроемкостей: 150 мм</li>
</ul>",66486,от 2 до 8 °С,220 В,0.23 кВт,1365 мм,700 мм,1100 мм,,Китай,,,0,https://entero.ru/manuals/286416/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20PS903.pdf;https://entero.ru/manuals/483089/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,116240,,155 кг,для пиццы,400 л,гранит,,3,,,,снизу,GN 1/6,8,
https://cdn.entero.ru/mp@2x/3e/a4/3ea40e2302f06a2cb1a97487c039df3e.jpg,Стол для пиццы HICOLD PZ2-11/GN (1/6H),286702,177927,RUB,Да,HICOLD,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/30420,"<p>Стол для пиццы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30420""><b class=""b"">HICOLD PZ2-11/GN</b></a> используется на предприятиях общественного питания и торговли для раскатки теста и обработки ингредиентов, используемых для приготовления пиццы, салатов и других блюд, а также для охлаждения и кратковременного хранения скоропортящихся продуктов и напитков. Модель совмещает в себе рабочую поверхность и охлаждаемый объем, что значительно упрощает работу повара, так как все необходимые компоненты всегда находятся под рукой. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>Электронная панель управления</li>
<li>2 вместительные внутренние полки формата GN 1/1</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Открытая агрегатная часть</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Максимальная глубина гастроемкостей: 100 мм</li>
<li>Глубина рабочей поверхности: 486 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Задняя стенка из нержавеющей стали, закрывающая агрегатный отсек</li>
<li>Замена одной распашной двери на выдвижную секцию</li>
<li>Замена одной распашной двери на секцию из 2 выдвижных ящиков</li>
<li>Замена одной распашной двери на секцию из 3 выдвижных ящиков</li>
<li>Замена опорных ножек на колеса (2 со стопором, 2 без стопора)</li>
<li>Замена стандартной столешницы на гранитную</li>
<li>Замена стандартной столешницы на столешницу со стеклянной витриной</li>
<li>Замок на одну дверь или ящик</li>
</ul>",30420,от 2 до 10 °С,220 В,0.22 кВт,1390 мм,700 мм,1000 мм,141 кг,Россия,1,1550x850x1080 мм,7,https://entero.ru/manuals/451714/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20PZ2-11_GN%20%281_6H%29.pdf;https://entero.ru/manuals/451715/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/451716/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,191319,,,для пиццы,350 л,нерж. сталь,распашные,2,,,Да,сбоку,"GN 1/6, GN 1/1",8,
https://cdn.entero.ru/mp@2x/3d/cd/3dcd8b9339795ac023fbc0215b4d03d9.jpg,Стол для пиццы HICOLD PZ2-111/GN,286704,207249,RUB,Да,HICOLD,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/26106,"<p>Стол для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/26106"">HICOLD PZ2-111/GN</a></b> используется на предприятиях общественного питания и торговли для раскатки теста и обработки ингредиентов, используемых для приготовления пиццы, салатов и других блюд, а также для охлаждения и кратковременного хранения скоропортящихся продуктов и напитков. Модель совмещает в себе рабочую поверхность и охлаждаемый объем, что значительно упрощает работу повара, так как все необходимые компоненты всегда находятся под рукой. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>Электронная панель управления</li>
<li>3 вместительные внутренние полки формата GN 1/1</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Открытая агрегатная часть</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Максимальная глубина гастроемкостей: 100 мм</li>
<li>Глубина рабочей поверхности: 486 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Задняя стенка из нержавеющей стали, закрывающая агрегатный отсек</li>
<li>Замена одной распашной двери на выдвижную секцию</li>
<li>Замена одной распашной двери на секцию из 2 выдвижных ящиков</li>
<li>Замена одной распашной двери на секцию из 3 выдвижных ящиков</li>
<li>Замена опорных ножек на колеса (2 со стопором, 2 без стопора)</li>
<li>Замена стандартной столешницы на гранитную</li>
<li>Замена стандартной столешницы на столешницу со стеклянной витриной</li>
<li>Замок на одну дверь или ящик</li>
</ul>",26106,от 2 до 10 °С,220 В,0.46 кВт,1835 мм,700 мм,1000 мм,210 кг,Россия,1,2000x850x1080 мм,0,https://entero.ru/manuals/452021/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20PZ2-111_GN.pdf;https://entero.ru/manuals/452022/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HICOLD%20PZ2-111_GN.pdf;https://entero.ru/manuals/452025/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/452026/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,225271,,172 кг,для пиццы,505 л,нерж. сталь,распашные,3,,,Да,сбоку,GN 1/6,11,
https://cdn.entero.ru/mp@2x/97/6e/976e6722ea143ff2304d675ff5d1da77.jpg,Стол для пиццы Cooleq PS900,PS-900,73041,RUB,Да,Cooleq,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/30162,"<p>Стол для пиццы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30162""><b class=""b"">Cooleq</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30162""><b class=""b"">PS900</b></a> используется на предприятиях общественного питания и торговли для хранения пиццы, салатов, сэндвичей и других блюд и ингредиентов к ним в охлажденном состоянии. Модель оснащена широкой столешницей, которая предоставляет достаточно пространства для приготовления блюд, полкой и парой направляющих в каждой секции. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Размер гранитной столешницы: 900x488x32 мм</li>
<li>Глубина используемых гастроемкостей: 150 мм</li>
</ul>",30162,от 2 до 8 °С,220 В,0.23 кВт,900 мм,700 мм,1100 мм,,Китай,,,0,https://entero.ru/manuals/53336/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20PS900.pdf;https://entero.ru/manuals/53337/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/483085/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,78539,,92 кг,для пиццы,285 л,гранит,,2,,,Да,снизу,GN 1/6,5,
https://cdn.entero.ru/mp@2x/4d/d8/4dd8c73589f249fe106a3e09bb5e7bdc.jpg,Стол для салатов HICOLD SL2-11GN (1/6) с крышкой,282750,138511,RUB,Да,HICOLD,Профоборудование,Холодильное,Столы для пиццы и салатов,https://entero.ru/item/26114,"<p>Стол для салатов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26114""><b class=""b"">HICOLD SL2-11GN</b></a> используется на предприятиях общественного питания и торговли для хранения и обработки ингредиентов, используемых для приготовления пиццы, салатов и других блюд, а также для охлаждения и кратковременного хранения скоропортящихся продуктов и напитков. Модель совмещает в себе рабочую поверхность и охлаждаемый объем, что значительно упрощает работу повара, так как все необходимые компоненты всегда находятся под рукой. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>Электронная панель управления</li>
<li>2 вместительные внутренние полки формата GN 1/1</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Открытая агрегатная часть</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Максимальная глубина гастроемкостей: 100 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Высота борта: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Задняя стенка из нержавеющей стали, закрывающая агрегатный отсек</li>
<li>Замена одной распашной двери на выдвижную секцию</li>
<li>Замена одной распашной двери на секцию из 2 выдвижных ящиков</li>
<li>Замена одной распашной двери на секцию из 3 выдвижных ящиков</li>
<li>Замена опорных ножек на колёса (2 со стопором, 2 без стопора)</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Замена стандартной столешницы на столешницу без крышки с открытым отверстием под гастроемкости</li>
<li>Замок на одну дверь или ящик</li>
</ul>",26114,от 2 до 10 °С,220 В,0.22 кВт,1390 мм,700 мм,850 мм,120 кг,Россия,1,1550x850x1000 мм,25,https://entero.ru/manuals/451984/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20SL2-11GN%20%281_6%29%20%D1%81%20%D0%BA%D1%80%D1%8B%D1%88%D0%BA%D0%BE%D0%B9.pdf;https://entero.ru/manuals/451987/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/451988/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,для салатов,350 л,нерж. сталь,распашные,2,,,Да,сбоку,GN 1/6,5,
