Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Борт,Общий объем,Гастронормированный,Количество дверей,Расположение агрегата,Количество ящиков,Материал столешницы,Температура морозильного отделения,Температура холодильного отделения,Объем морозильного отделения,Объем холодильного отделения
https://cdn.entero.ru/mp@2x/09/24/0924330d8fd6ec5e601e889ec5a7bcd5.jpg;https://cdn.entero.ru/mp@2x/1d/3b/1d3be1c5f87abe521a4ff76b56a11cf0.jpg;https://cdn.entero.ru/mp@2x/4b/18/4b188f79d831b582e2aa04d10c445bd1.jpg;https://cdn.entero.ru/mp@2x/28/8d/288d57179b81f81297321a480fe40639.jpg,Стол комбинированный TEFCOLD UNI-DRAWER UD1-2,Стол комбинированный TEFCOLD UNI-DRAWER UD1-2,154825,RUB,Да,TEFCOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/335033,"<p>Комбинированный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335033""><b class=""b"">TEFCOLD UD1-2</b></a> предназначен для обработки ингредиентов и хранения охлажденных и замороженных пищевых продуктов на предприятиях общественного питания и торговли. Модель оснащена расположенным снизу агрегатным отсеком, столешницей, гастрономированным выдвижным ящиком и кнопочной панелью управления с цифровым дисплеем. Внутренняя облицовка и экстерьер корпуса выполнены из высококачественной нержавеющей стали марки SS304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Эффективная система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков</li>
<li>Автоматическая оттайка </li>
<li>Электронный контроллер Dixell</li>
<li>Легкое переключение между холодильным и морозильным режимами</li>
<li>Цифровая индикация температуры</li>
<li>Символьная индикация работы компрессора</li>
<li>Самодиагностика с индикацией неисправностей </li>
<li>4 поворотных колеса, включая 2 со стояночным ограничителем, для удобства транспортировки</li>
<li>Экологически безопасный энергоэффективный хладагент R290</li>
<li>Прочные износостойкие материалы исполнения и качественные комплектующие для длительного срока эксплуатации</li>
<li>Класс энергоэффективности: D</li>
<li>Климатический класс: 5</li>
<li>Формат гастроемкостей: GN2/1</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Максимальная температура окружающей среды: 40 °C</li>
<li>Максимальная относительная влажность: 40%</li>
</ul>
</li>
<li>Температурный режим: от - 21 до 4°C</li>
<li>Среднее энергопотребление:
<ul>
<li>Годовое: 1770 кВт⋅ч</li>
<li>Суточное: 4.85 кВт⋅ч</li>
</ul>
</li>
<li>Максимальный уровень шума (A): 54 дБ</li>
<li>Вместимость гастроемкостей: 2</li>
<li>Объем:
<ul>
<li>Общий: 78 л</li>
<li>Полезный: 51 л</li>
</ul>
</li>
</ul>",335033,220 В,0.27 кВт,905 мм,700 мм,600 мм,72 кг,Дания,1,1000x800x700 мм,0,https://entero.ru/manuals/417298/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20TEFCOLD%20UNI-DRAWER%20UD1-2.pdf;https://entero.ru/manuals/417299/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20TEFCOLD%20UNI-DRAWER%20UD1-2.pdf,166478,,50 кг,,78 л,Да,,снизу,1,нерж. сталь,,,,
https://cdn.entero.ru/mp@2x/3f/86/3f86956266c99653c2981ae8e61bd762.jpg;https://cdn.entero.ru/mp@2x/ec/93/ec931c6b9a10b93440498d23ea94c9e6.jpg;https://cdn.entero.ru/mp@2x/3b/8c/3b8ce884e7b5833825e67ac438039bbb.jpg;https://cdn.entero.ru/mp@2x/ca/80/ca808da980c2b07d7630a0c872dd1a2d.jpg;https://cdn.entero.ru/mp@2x/96/c1/96c1aa80292ffb4f27f77be9002c0492.jpg,Стол комбинированный CLSY Workbench 180 320 л,Стол комбинированный CLSY Workbench 180 320 л,112718,RUB,Да,CLSY,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/369715,"<p>Холодильный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/369715""><b class=""b"">CLSY Workbench 180</b></a> предназначен для обработки ингредиентов в процессе приготовления блюд, а также кратковременного хранения скоропортящихся продуктов и напитков на предприятиях общественного питания и торговли. Модель оснащена удобной и простой в использовании электронной панелью управления, тремя распашными дверями с доводчиками и одним рядом полок. Корпус и столешница выполнены из нержавеющей стали марки AISI 201.</p>

<p>Особенности:</p>

<ul>
<li><a href=""https://entero.ru/info/300"">Статическое охлаждение</a></li>
<li>Боковой агрегат</li>
<li>Универсальный температурный режим</li>
<li>Удобный процесс уборки</li>
<li>Оснащен сливным отверстием внутри камеры</li>
<li>Подогреваемые контуры дверных отверстий снаружи</li>
<li>Максимально плотное прилегание резинок на протяжении всего срока эксплуатации</li>
<li>Прямоугольная форма</li>
<li>Упаковка картон</li>
<li>​Цвет: нержавеющая сталь</li>
<li>Хладагент R290</li>
</ul>",369715,220 В,0.200 кВт,1800 мм,600 мм,850 мм,70 кг,Россия,1,1800x600x650 мм,0,https://entero.ru/manuals/521953/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CLSY%20Workbench.docx;https://entero.ru/manuals/522026/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20CLSY.pdf,122520,,,,320 л,,3,сбоку,,нерж. сталь,от -18 до -10 °C,от -2 до +6 °C,,
https://cdn.entero.ru/mp@2x/87/4e/874ec5adcdcc7683c7eacf6ffc21ee32.jpg,Стол комбинированный Turbo air KURF15-2D-4-700 4 ящика,Стол комбинированный Turbo air KURF15-2D-4-700 4 ящика,423518,RUB,Да,Turbo air,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/255022,"<p>Комбинированный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255022""><b class=""b"">Turbo air KURF15-2D-4-700</b></a> серии K предназначен для хранения предварительно охлажденных и замороженных пищевых продуктов на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена встроенным холодильным агрегатом, холодильной и морозильной камерами, 4 выдвижными ящиками с направляющими для гастроемкостей, электронным блоком управления с цифровым дисплеем и светодиодными индикаторами. Горизонтально ориентированный корпус за исключением задней стенки, фронтальная облицовка ящиков и направляющие выполнены из высококачественной нержавеющей стали SUS439 производства Posco, термоизоляция – из пенополиуретана высокой плотности, испаритель с антикоррозийным покрытием </p>

<p><b>Особенности:</b></p>

<ul>
<li>Эффективная система динамического охлаждения с равномерным распределением воздушных потоков </li>
<li>Запатентованный энергосберегающий контроллер ESFC</li>
<li>Функция быстрого замораживания Turbo Freeze</li>
<li>Функция быстрого охлаждения Turbo Cooling</li>
<li>Система сбора и испарения конденсата за счет тепла от трубок компрессора без дополнительных нагревателей</li>
<li>Система самодиагностики с индикацией кодов неисправностей</li>
<li>Интегрированные в корпус ящиков фронтальные рукоятки с запатентованной конструкцией для оптимизации пространства</li>
<li>Магнитные уплотнительные манжеты для надежной фиксации и герметичности </li>
<li>4 колеса, фронтальные со стопорными ограничителями для удобства транспортировки</li>
<li>Низкое энергопотребление</li>
<li>Простое управление с помощью удобного меню</li>
<li>Экологически безопасный хладагент </li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Прочные износостойкие материалы для длительного срока эксплуатации</li>
<li>Стандарт гастроемкостей: GN 1/1</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота колес: 4""</li>
<li>Толщина стенки корпуса: 60 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Колеса высотой 5"" со стопорными ограничителями или без</li>
<li>Регулируемые опоры высотой 6""</li>
<li>Нерегулируемые опоры высотой 1/2""</li>
<li>Самочищающийся конденсатор</li>
<li>Пропан в качестве хладагента</li>
<li>Настольная полка из нержавеющей стали</li>
</ul>",255022,220 В,0.55 кВт,1500 мм,700 мм,850 мм,,Ю. Корея,,,0,https://entero.ru/manuals/312418/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Turbo%20air.pdf;https://entero.ru/manuals/312419/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20Turbo%20air.pdf,455396,,,,425 л,,,сбоку,4,нерж. сталь,от -25 до -3 °C,от -5 до 10 °C,178 л,183 л
https://cdn.entero.ru/mp@2x/9d/b3/9db33d754e111fa81ba1beb5d0746605.jpg;https://cdn.entero.ru/mp@2x/8f/c5/8fc5c03ee1f2f911cdb2d149f0015323.jpg;https://cdn.entero.ru/mp@2x/ae/63/ae63014051c354d799116e589d0a4199.jpg;https://cdn.entero.ru/mp@2x/12/07/1207fb39fdb1b414bd687e0d4d74af4a.jpg;https://cdn.entero.ru/mp@2x/e7/6c/e76c0ad9a33a857866bba86ac0204bef.jpg;https://cdn.entero.ru/mp@2x/72/9b/729bb1eead79f4df2cdc633dd561c54b.jpg;https://cdn.entero.ru/mp@2x/dc/c0/dcc07b098e04b766a5e43a91747f0e8a.jpg,Стол холодильно-морозильный Turbo air KURF18-3,KURF18-3-700,310741,RUB,Да,Turbo air,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/76528,"<p>Холодильно-морозильный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76528"">Turbo air KURF18-3</a></b> состоит из рабочей поверхности, на которой можно раскатывать тесто и обрабатывать ингредиенты для приготовления блюд, и камеры, предназначенной для заморозки, охлаждения и хранения продуктов, полуфабрикатов, мороженого и напитков на предприятиях пищевой промышленности, общественного питания и торговли. Корпус выполнен из нержавеющей стали с применением пожаробезопасных стенок толщиной 60 мм и уплотнения из теплоэффективного АБС-пластика (акрилонитрилбутадиенстирола), не пропускающего конденсата, оборотная сторона и низ - из гальванизированной стали, пол - из нержавеющей стали с алюминиевыми вставками по бокам и сзади, регулируемые полки - из толстой стальной проволоки с виниловым покрытием, 6 регулируемых ножек - из нержавеющей стали.</p>

<p><em>Под заказ возможна модицификация данного оборудования для использования на морских судах.</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронное управление</li>
<li>Цифровая система контроля температуры обеспечивает точную и постоянную температуру </li>
<li>Высокотехнологичная система мониторинга - цифровой монитор отображает текущую температуру и текущее состояние камеры стола</li>
<li>Энергосберегающая система управления вентиляторами экономит до 15% электроэнергии (используя алгоритмическую циркуляцию воздуха для обеспечения оптимальных уровней температуры) и увеличивает срок службы компрессора до 30%</li>
<li>Поверхность системы отвода конденсата специально обрабатывается для защиты от коррозии, что не только увеличивает эффективность защиты от коррозии без риска утечки хладагента, но также предохраняет систему в целом от переполнения конденсатом</li>
<li>Негабаритные и сбалансированные (CFC Free R-134A, 404A) системы охлаждения (испарители и конденсаторы) обладают большой эффективностью</li>
<li>Тип охлаждения: динамический</li>
<li>Боковое крепление компрессора позволяет обслуживать стол без перемещения, а инновационная функция фронтальной вентиляции обеспечивает высокую эффективность работы компрессора, располагаясь даже в узких местах</li>
<li>Магнитные уплотнители имеют цельную конструкцию, снимаются без инструментов, что обеспечивает простоту очистки и замены</li>
<li>Для борьбы с примерзанием дверей используются тепло от компрессора для подогрева частей корпуса в местах соприкосновенья с дверьми</li>
<li>Двери собственной конструкции (патент) с петлями из высококачественной нержавеющей стали</li>
<li>Эргономичные ручки являются одними из самых лучших на мировом рынке</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество полок: 2</li>
<li>Температура окружающей среды: 43 °C</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>4 колеса (фронтальные со стопорами)</li>
</ul>",76528,220 В,0.245 кВт,1800 мм,700 мм,850 мм,,Ю. Корея,,,0,https://entero.ru/manuals/49326/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Turbo%20air.pdf,,,112 кг,,465 л,,3,сбоку,,нерж. сталь,от -21 до -12 °C,от 0 до 8 °C,151 л,314 л
https://cdn.entero.ru/mp@2x/93/64/93644b97d603bec002ec5a7ec1f51698.jpg;https://cdn.entero.ru/mp@2x/e9/28/e928caf10cd03e8724e20912836bf3c7.jpg;https://cdn.entero.ru/mp@2x/d7/f6/d7f6b109b1191ec81ec6ba24bd7192ef.jpg;https://cdn.entero.ru/mp@2x/fc/42/fc42362c643a075b37a3c4e321f66112.jpg;https://cdn.entero.ru/mp@2x/c1/30/c1304f019dabf90804207a9a65eb6b73.jpg,Стол комбинированный CLSY Workbench 100 110 л,Стол комбинированный CLSY Workbench 100 110 л,53421,RUB,Да,CLSY,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/369711,"<p>Холодильный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/369711""><b class=""b"">CLSY Workbench 100</b></a> предназначен для обработки ингредиентов в процессе приготовления блюд, а также кратковременного хранения скоропортящихся продуктов и напитков на предприятиях общественного питания и торговли. Модель оснащена удобной и простой в использовании электронной панелью управления, одной распашной дверью с доводчиком и одним рядом полок. Корпус и столешница выполнены из нержавеющей стали марки AISI 201.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""https://entero.kz/info/300"">Статическое охлаждение</a></li>
<li>Боковой агрегат</li>
<li>Универсальный температурный режим</li>
<li>Удобный процесс уборки</li>
<li>Оснащен сливным отверстием внутри камеры</li>
<li>Подогреваемые контуры дверных отверстий снаружи</li>
<li>Максимально плотное прилегание резинок на протяжении всего срока эксплуатации</li>
<li>Прямоугольная форма</li>
<li>Хладагент R290</li>
<li>​Цвет: нержавеющая сталь</li>
</ul>",369711,220 В,0.060 кВт,1360 мм,700 мм,860 мм,60 кг,Россия,1,1000x600x650 мм,0,https://entero.ru/manuals/522017/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20CLSY.pdf,56831,,,,110 л,,1,сбоку,,нерж. сталь,от -18 до -10 °C,от -2 до +6 °C,,
https://cdn.entero.ru/mp@2x/08/da/08da362d3ea193856bf6c1c0c6bfcef3.jpg;https://cdn.entero.ru/mp@2x/e2/af/e2afb0cdb11156db8f3c2eca704e5842.jpg;https://cdn.entero.ru/mp@2x/71/9d/719d7e8cebc08255831ed806f7071dd4.jpg;https://cdn.entero.ru/mp@2x/a4/34/a4344226b0c5505c3ac5d0dd4ff07ea3.jpg;https://cdn.entero.ru/mp@2x/4f/e2/4fe27d92d679c73ec1afb3062fcdffd8.jpg,Стол комбинированный CLSY Workbench 120 170 л,Стол комбинированный CLSY Workbench 120 170 л,77123,RUB,Да,CLSY,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/369713,"<p>Холодильный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/369713""><b class=""b"">CLSY Workbench 120</b></a> предназначен для обработки ингредиентов в процессе приготовления блюд, а также кратковременного хранения скоропортящихся продуктов и напитков на предприятиях общественного питания и торговли. Модель оснащена удобной и простой в использовании электронной панелью управления, двумя распашными дверями с доводчиками и одним рядом полок. Корпус и столешница выполнены из нержавеющей стали марки AISI 201.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""https://entero.ru/info/300"">Статическое охлаждение</a></li>
<li>Боковой агрегат</li>
<li>Универсальный температурный режим</li>
<li>Удобный процесс уборки</li>
<li>Оснащен сливным отверстием внутри камеры</li>
<li>Подогреваемые контуры дверных отверстий снаружи</li>
<li>Максимально плотное прилегание резинок на протяжении всего срока эксплуатации</li>
<li>Прямоугольная форма</li>
<li>Хладагент R290</li>
<li>​Цвет: нержавеющая сталь</li>
</ul>",369713,220 В,0.110 кВт,1200 мм,600 мм,850 мм,65 кг,Россия,1,1200x600x650 мм,0,https://entero.ru/manuals/521971/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CLSY%20Workbench.docx;https://entero.ru/manuals/522016/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20CLSY.pdf,80336,,,,170 л,,2,сбоку,,нерж. сталь,от -18 до -10 °C,от -2 до +6 °C,,
https://cdn.entero.ru/mp@2x/4c/d4/4cd4f75df24defb2e2bcb75eab120c16.jpg;https://cdn.entero.ru/mp@2x/bd/fa/bdfabad720d57c6b5d125a4d411a2176.jpg;https://cdn.entero.ru/mp@2x/02/2d/022d1413fcf12188a7ec62210d5909e2.jpg;https://cdn.entero.ru/mp@2x/d5/95/d59593699f3609b8a5e6a1923c9e0f53.jpg;https://cdn.entero.ru/mp@2x/6e/c9/6ec96eaa06b5dc62c552bcee38b698f2.jpg,Стол комбинированный CLSY Workbench 150 250 л,Стол комбинированный CLSY Workbench 150 250 л,94920,RUB,Да,CLSY,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/369714,"<p>Холодильный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/369714""><b class=""b"">CLSY Workbench 150</b></a> предназначен для обработки ингредиентов в процессе приготовления блюд, а также кратковременного хранения скоропортящихся продуктов и напитков на предприятиях общественного питания и торговли. Модель оснащена удобной и простой в использовании электронной панелью управления, двумя распашными дверями с доводчиками и одним рядом полок. Корпус и столешница выполнены из нержавеющей стали марки AISI 201.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""https://entero.ru/info/300"">Статическое охлаждение</a></li>
<li>Боковой агрегат</li>
<li>Универсальный температурный режим</li>
<li>Удобный процесс уборки</li>
<li>Оснащен сливным отверстием внутри камеры</li>
<li>Подогреваемые контуры дверных отверстий снаружи</li>
<li>Максимально плотное прилегание резинок на протяжении всего срока эксплуатации</li>
<li>Прямоугольная форма</li>
<li>Хладагент R290</li>
<li>​Цвет: нержавеющая сталь</li>
</ul>",369714,220 В,0.170 кВт,1500 мм,600 мм,850 мм,70 кг,Россия,1,1500x600x650 мм,0,https://entero.ru/manuals/521955/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CLSY%20Workbench.docx;https://entero.ru/manuals/522010/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20CLSY.pdf,98875,,,,250 л,,2,сбоку,,нерж. сталь,от -18 до -10 °C,от -2 до +6 °C,,
https://cdn.entero.ru/mp@2x/a6/13/a613840bb5d5dd4593dbd408a5e27a7e.jpg;https://cdn.entero.ru/mp@2x/c1/04/c1047d221cdb4f19eba21f95059c613b.jpg;https://cdn.entero.ru/mp@2x/11/1e/111e9f2a40e1fa5f93b0eba2e57dd9bf.jpg;https://cdn.entero.ru/mp@2x/e7/9f/e79fc077a489edb247a7fa4dde6ae078.jpg;https://cdn.entero.ru/mp@2x/f9/dd/f9dd3d5aaadfde2de45d2a45f9ced376.jpg;https://cdn.entero.ru/mp@2x/22/1a/221ae75d85816328bfa535f7f4bc8d58.jpg;https://cdn.entero.ru/mp@2x/2c/c1/2cc110515fe21663ab5c79716142713e.jpg,Стол холодильно-морозильный Turbo air KURF12-2,KURF12-2-700,266015,RUB,Да,Turbo air,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/76522,"<p>Холодильно-морозильный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76522"">Turbo air KURF12-2</a></b> состоит из рабочей поверхности, на которой можно раскатывать тесто и обрабатывать ингредиенты для приготовления блюд, и камеры, предназначенной для заморозки, охлаждения и хранения продуктов, полуфабрикатов, мороженого и напитков на предприятиях пищевой промышленности, общественного питания и торговли. Корпус выполнен из нержавеющей стали с применением пожаробезопасных стенок толщиной 60 мм и уплотнения из теплоэффективного АБС-пластика (акрилонитрилбутадиенстирола), не пропускающего конденсата, оборотная сторона и низ - из гальванизированной стали, пол - из нержавеющей стали с алюминиевыми вставками по бокам и сзади, регулируемые полки - из толстой стальной проволоки с виниловым покрытием, 4 регулируемые ножки - из нержавеющей стали.</p>

<p><em>Под заказ возможна модицификация данного оборудования для использования на морских судах.</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронное управление</li>
<li>Цифровая система контроля температуры обеспечивает точную и постоянную температуру </li>
<li>Высокотехнологичная система мониторинга - цифровой монитор отображает текущую температуру и текущее состояние камеры стола</li>
<li>Энергосберегающая система управления вентиляторами экономит до 15% электроэнергии (используя алгоритмическую циркуляцию воздуха для обеспечения оптимальных уровней температуры) и увеличивает срок службы компрессора до 30%</li>
<li>Поверхность системы отвода конденсата специально обрабатывается для защиты от коррозии, что не только увеличивает эффективность защиты от коррозии без риска утечки хладагента, но также предохраняет систему в целом от переполнения конденсатом</li>
<li>Негабаритные и сбалансированные (CFC Free R-134A, 404A) системы охлаждения (испарители и конденсаторы) обладают большой эффективностью</li>
<li>Тип охлаждения: динамический</li>
<li>Боковое крепление компрессора позволяет обслуживать стол без перемещения, а инновационная функция фронтальной вентиляции обеспечивает высокую эффективность работы компрессора, располагаясь даже в узких местах</li>
<li>Магнитные уплотнители имеют цельную конструкцию, снимаются без инструментов, что обеспечивает простоту очистки и замены</li>
<li>Для борьбы с примерзанием дверей используются тепло от компрессора для подогрева частей корпуса в местах соприкосновенья с дверьми</li>
<li>Двери собственной конструкции (патент) с петлями из высококачественной нержавеющей стали</li>
<li>Эргономичные ручки являются одними из самых лучших на мировом рынке</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество полок: 2</li>
<li>Температура окружающей среды: 43 °C</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>4 колеса (фронтальные со стопорами)</li>
</ul>",76522,220 В,0.245 кВт,1200 мм,700 мм,850 мм,,Ю. Корея,,,0,https://entero.ru/manuals/49324/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Turbo%20air.pdf,,,87 кг,,257 л,,2,сбоку,,нерж. сталь,от -21 до -12 °C,от 0 до 8 °C,136 л,121 л
https://cdn.entero.ru/mp@2x/ac/16/ac166fd59faadfa48b1995c1870f953e.jpg,Стол холодильно-морозильный Turbo air KURF18-2D-6-700,Стол холодильно-морозильный Turbo air KURF18-2D-6-700,452527,RUB,Да,Turbo air,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/214715,"<p>Холодильно-морозильный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/214715"">Turbo air KURF18-2D-6-700</a></b> состоит из рабочей поверхности, на которой можно раскатывать тесто и обрабатывать ингредиенты для приготовления блюд, и камеры, предназначенной для заморозки, охлаждения и хранения продуктов, полуфабрикатов, мороженого и напитков на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена 6 ящиками. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li><b>​</b>Вместимость ящиков: GN 1/1, глубиной 150 мм (ящик без дна)</li>
</ul>",214715,220 В,0.55 кВт,1800 мм,700 мм,850 мм,,Ю. Корея,,,0,,491877,,,,501 л,,,сбоку,6,нерж. сталь,,,150 л,351 л
https://cdn.entero.ru/mp@2x/86/73/8673295f02dcb72c9238506e0a9b9dd7.jpg,Стол комбинированный HICOLD UD 1-2 GN Sh,295430,0,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/358173,"<p>Комбинированный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358173"">HICOLD UD 1-2 GN Sh</a></b> предназначен для хранения предварительно охлажденных или замороженных пищевых продуктов, обработки ингредиентов в процессе приготовления блюд, а также размещения теплового оборудования на предприятиях общественного питания и торговли. Модель оснащена встроенным компрессорным холодильным агрегатом с нижним расположением, столешницей, холодильно-морозильной камерой с выдвижным ящиком и электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков благодаря принудительной вентиляции</li>
<li>Электронный контроллер:
<ul>
<li>Режимы:
<ul>
<li>Низкотемпературный</li>
<li>Среднетемпературный</li>
</ul>
</li>
<li>Настройка температуры</li>
<li>Цифровая индикация температуры во внутреннем объеме</li>
<li>Легкое переключение между режимами</li>
</ul>
</li>
<li>Автоматическая оттайка</li>
<li>Плавное полное выдвижение ящика</li>
<li>Легкозаменяемое магнитное уплотнение</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Компактные габариты и интегрированная в фронт ящика рукоятка для оптимизации пространства</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Формат и вместимость гастроемкостей: 2хGN2/3</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Толщина столешницы: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",358173,220 В,0.55 кВт,800 мм,600 мм,605 мм,,Россия,,,0,https://entero.ru/manuals/458977/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20HICOLD.pdf,,,,,95 л,Да,,снизу,1,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
