Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Объем,Вес (с упаковкой),Вид,Кратность заказа,Количество таблеток
https://cdn.entero.ru/mp@2x/b2/ec/b2ec506cde5537d914ea48d85a109168.jpg,Ополаскивающее средство для посудомоечных машин Abat DR,Ополаскивающее средство для посудомоечных машин Abat DR,3069,RUB,Да,Abat,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/197988,"<p>Кислотное ополаскивающее средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/197988""><b class=""b"">Abat DR</b></a> предназначено для ополаскивания различных видов посуды после применения щелочных моющих средств в посудомоечных машинах на предприятиях общественного питания и торговли.</p>

<p>Используется в сочетании с моющим средством <a href=""https://entero.ru/item/197981"">Abat DW</a> или <a href=""https://entero.ru/item/197969"">Abat DW/AntiCaramel</a>.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>Лимонная кислота около 20%</li>
<li>Неионогенные ПАВ</li>
<li>Катионные ПАВ</li>
<li>Смачиватели</li>
<li>Стабилизаторы</li>
</ul>
</li>
<li>Не оставляет разводов</li>
<li>Ускоряет высыхание</li>
<li>Придает блеск</li>
<li>Не образует пены</li>
<li>Не горит, пожаро- и взрывобезопасно</li>
<li>Биоразлагаемое на 90%, не выделяет вредных веществ</li>
<li>Не вызывает коррозии и образования отложений на поверхности оборудования</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дозировка:
<ul>
<li>ПММ тоннельного типа: от 0,8 до 1 мл / 1 литр воды</li>
<li>ПММ купольного типа: от 0,2 до 0,5 мл / 1 литр воды</li>
</ul>
</li>
<li>Температура рабочего раствора: от 20 до 95 °С</li>
<li>Плотность при 20 °С: 1,14±0,02 г/см<sup>3</sup></li>
<li>Значение PH 1% раствора в дистилированной воде: 3±0,5 </li>
<li>Срок хранения: 12 месяцев</li>
</ul>",197988,ополаскивающее средство,,,,,,,131,https://entero.ru/manuals/230702/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20DR.pdf;https://entero.ru/manuals/230700/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/230701/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8.jpg,3935,,,,Россия,для посудомоечных машин,5 л,,жидкость,,
https://cdn.entero.ru/mp@2x/64/cd/64cdabd3b2779a1178267b14abce66c3.jpg;https://cdn.entero.ru/mp@2x/88/87/88871060c1f41f047fb2c4887819ab2d.jpg,Средство для пароконвектоматов UNOX DET&Rinse ULTRAPLUS (DB1076A0) 1 литр (10 шт),Средство для пароконвектоматов UNOX DET&Rinse ULTRAPLUS (DB1076A0) 1 литр (10 шт),20341,RUB,Да,UNOX,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/321149,"<p>Средство для пароконвектоматов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/321149""><b class=""b"">UNOX DB1076A0 </b></a> используется для мойки и ополаскивания пароконвектоматов <a href=""https://entero.ru/search.php?text=%D0%BF%D0%B0%D1%80%D0%BE%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%BA%D1%82%D0%BE%D0%BC%D0%B0%D1%82+UNOX+XEV"">XEV</a> / <a href=""https://entero.ru/search.php?text=%D0%BF%D0%B0%D1%80%D0%BE%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%BA%D1%82%D0%BE%D0%BC%D0%B0%D1%82+UNOX+XEB"">XEB</a> и шкафов пекарских серии <a href=""https://entero.ru/search.php?text=UNOX+XEVC"">XEVC</a> / <a href=""https://entero.ru/search.php?text=UNOX+XECC"">XECC</a> / <a href=""https://entero.ru/search.php?text=UNOX+XEBC"">XEBC</a> с автоматической системой мойки Rotor.KLEAN™ на предприятиях общественного питания и торговли.</p>

<p>В комплект входят 10 бутылок по 1 л</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сочетание очищающеющего действия DET&Rinse™ PLUS и DET&Rinse™ ULTRA в одном продукте</li>
<li>Превосходные результаты очистки всех типов загрязнений, даже самых агрессивных</li>
<li>Использование:
<ul>
<li>Перед запуском цикла мытья аппарата необходимо залить средство в выдвижной контейнер, расположенный под печью</li>
<li>Для этого следует открутить пластиковую крышку с бутылки и не повреждая фольгированной пленки накрутить бутылку с пленкой на отверстие с резьбой на контейнере. Вместимость контейнера – 4 литра</li>
<li>На контейнере есть окошко, идентифицирующее уровень средства</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты упаковки: 280x200x300 мм</li>
<li>Вес упаковки: 13 кг</li>
</ul>

<p> </p>",321149,"ополаскивающее средство, моющее средство",,,,12 кг,1,200x300x290 мм,0,,21189,,10 кг,Италия,Италия,"для пароконвектоматов (ручная мойка), для пароконвектоматов (автоматическая мойка)",1 л,12 кг,жидкость,10 шт.,
https://cdn.entero.ru/mp@2x/8d/ac/8dace8470b9475be1f218372bf056b3f.jpg,Моющее средство для посудомоечных машин Abat DW,Моющее средство для посудомоечных машин Abat DW,2633,RUB,Да,Abat,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/197981,"<p>Концентрированное жидкое моющее средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/197981""><b class=""b"">Abat DW</b></a> предназначено для мытья стеклянной, фарфоровой и фаянсовой посуды, а также посуды из нержавеющей стали и пластмассы в посудомоечных машинах на предприятиях общественного питания и торговли. Эффективно растворяет и удаляет жировые загрязнения, расщепляет крахмал и белковые загрязнения.</p>

<p>Используется в сочетании с ополаскивающим средством <a href=""https://entero.ru/item/197988"">Abat DR</a> в <a href=""https://entero.ru/search.php?text=%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%20Abat"">посудомоечных машинах.</a></p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>Гидроксиды калия и натрия 15-30%</li>
<li>Комплексообразователи 5-15%</li>
<li>Неионогенные ПАВ до 5%</li>
<li>Ингибитор коррозии</li>
</ul>
</li>
<li> Способы подачи препарата:
<ul>
<li>Ручной (непосредственно в ванну с водой перед началом работы и в процессе работы)</li>
<li>Автоматический (через дозаторы)</li>
<li>Смешанный (ручной + автоматический)</li>
</ul>
</li>
<li>Эффективно работает в воде любой жесткости</li>
<li>Не содержит активный хлор</li>
<li>Низкий уровень пенообразования</li>
<li>Не горит, пожаро- и взрывобезопасно</li>
<li>Не разлагается с выделением вредных веществ</li>
<li>Не предназначено для изделий из алюминия и цветных металлов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дозировка:
<ul>
<li>ПММ тоннельного типа: от 2 до 5 мл / 1 литр воды</li>
<li>ПММ купольного типа: от 2 до 4 мл / 1 литр воды</li>
</ul>
</li>
<li>Температура рабочего раствора: от 50 до 70 °С</li>
<li>Плотность при 20 °С: 1,27±0,02 г/см<sup>3</sup></li>
<li>Значение PH 1% раствора в дистилированной воде: 12,3±0,2 </li>
<li>Срок хранения: 12 месяцев</li>
</ul>",197981,моющее средство,,,,,,,109,https://entero.ru/manuals/230693/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20DW.pdf;https://entero.ru/manuals/230694/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/230695/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8.jpg,3291,,5 кг,,Россия,для посудомоечных машин,5 л,,жидкость,,
https://cdn.entero.ru/mp@2x/66/09/6609ef60283881adba1d480041ead6cd.jpg,Таблетки моющие Rational 56.00.210 (100 шт.),н0000034977,20516,RUB,Да,Rational,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/30386,"<p>Моющие таблетки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30386""><b class=""b"">Rational 56.00.210</b></a> используются совместно с пароконвектоматами SelfCookingCenter® с системой Efficient CareControl. Высококонцентрированные таблетки с интенсивным активным комплексом гарантируют высочайшее качество очистки.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер: 120х120х100 мм</li>
</ul>",30386,моющее средство,,,,6 кг,1,260x260x300 мм,252,https://entero.ru/manuals/485357/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE.pdf,,,6 кг,Германия,Германия,для пароконвектоматов (автоматическая мойка),,7.1 кг,таблетки,,100 шт
https://cdn.entero.ru/mp@2x/ce/9e/ce9e10363ab8a18eff88f8d8cd700584.jpg,Моющее средство UNOX DB 1016A0,DB 1011A0 / DB1016A0,15439,RUB,Да,UNOX,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/39621,"<p>Жидкое моющее средство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/39621"">UNOX DB 1016A0</a></b> предназначено для ручной мойки печей UNOX или автоматической мойки пароконвектоматов предыдущей версии выпуска (UNOX S5E, линейки XVC и XBC) для обеспечения активного ухода и увеличения срока службы оборудования на предприятиях общественного питания и торговли, в пекарнях и кондитерских.</p>

<p>В комплект поставки входят 2 канистры по 5 литров.</p>

<p><b>Особенности:</b></p>

<ul>
<li>При ручной мойке средство Det&Rinse (2 в 1) наносится губкой на поверхность рабочей камеры, предварительно обработанной паром, выдерживается несколько минут и смывается при температуре 80°C в режиме пара.</li>
<li>Чтобы использовать средство для автоматической мойки в печах серии UNOX XVC и XBC, нужно подключить емкость с моющим средством к оборудованию.</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты: 200x150x300 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Изображение товара отличается от оригинала и представлено в ознакомительных целях.</span></em></p>",39621,моющее средство,,,,12 кг,1,300x300x400 мм,112,,16601,,11.4 кг,Италия,Италия,для пароконвектоматов (ручная мойка),10 л,11.816 кг,жидкость,,
https://cdn.entero.ru/mp@2x/0c/b3/0cb362a3ec703420168fe5e5e78d1a0f.jpg,Таблетки для ополаскивания Rational Care-Tab 56.00.562,56.00.562 / н0000034976,23721,RUB,Да,Rational,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/45095,"<p>Таблетки для ополаскивания <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/45095""><b class=""b"">Rational Care-Tab</b></a> предназначены для защиты от накипи парогенератора и рабочей камеры пароконвектоматов серий iCombi Pro, iCombi Classic и SelfCookingCenter с системой Efficient CareControl. Специальные ухаживающие вещества, содержащиеся в таблетках, гарантируют надежную безопасность в эксплуатации даже без применения систем умягчения воды и без затратного удаления накипи и позволяют значительно продлить срок службы аппарата.</p>",45095,средство для декальцинации,,,,7 кг,1,200x240x370 мм,99,https://entero.ru/manuals/485359/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE.pdf,25235,,,Германия,Германия,для пароконвектоматов (автоматическая мойка),,,таблетки,,150 шт
https://cdn.entero.ru/mp@2x/e9/42/e942295af7526c5fcf5cd695c9319ebe.jpg,Таблетки моющие Rational Active Green,56.01.535 / н0000186714,28202,RUB,Да,Rational,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/126526,"<p>Моющие таблетки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126526"">Rational Active Green</a></b> предназначены для очистки и мойки пароконвектоматов серий iCombi Pro и iCombi Classic. Благодаря использованию новой рецептуры, вам понадобиться на 50% меньше таблеток для очистки вашего пароконвектомата. Таблетки не содержат фосфора и фосфатов и не наносят никакого вреда окружающей среде. Обеспечивают сверхбыструю промежуточную мойку аппарата iCombi Pro примерно за 12 минут.</p>",126526,моющее средство,,,,6 кг,1,240x400x210 мм,68,https://entero.ru/manuals/485358/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE.pdf,30002,,,Германия,Германия,для пароконвектоматов (автоматическая мойка),,,таблетки,,150 шт
https://cdn.entero.ru/mp@2x/77/5d/775de049f7a9a566a660bfbc56f5d298.jpg,Средство для декальцинации Abat Decalc 5л,12000137117,2900,RUB,Да,Abat,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/165846,"<p>Средство для декальцинации <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/165846""><b class=""b""> Abat Decalc </b></a>используется совместно с пароконвектоматами на предприятиях общественного питания и торговли для очистки нагревательных элементов и внутренних поверхностей бойлеров. Средство эффективно удаляет накипь и минеральные налеты, предотвращает образование стойких солевых отложений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>более 30% минеральные кислоты</li>
<li>от 5 до 15% неиногенные ПАВ</li>
</ul>
</li>
<li>Не содержит хлора и фосфатов</li>
<li>Не вызывает коррозии и не имеет запаха</li>
<li>Не смешивать с щелочными моющими средствами</li>
<li>Класс опасности: 3</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дозировка: от 2,5 до 5% (при сильных загрязнениях возможно увеличение концентрации до 10%)</li>
<li>Температура раствора: от 60 до 95 °С</li>
<li>pH: от 2,3 до 2,7</li>
<li>Плотность: 1,17 г/см<sup>3</sup></li>
<li>Срок годности: 12 месяцев</li>
</ul>",165846,средство для декальцинации,,,,,,,41,https://entero.ru/manuals/192290/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20Decalc.jpg;https://entero.ru/manuals/192291/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20Decalc.pdf;https://entero.ru/manuals/192292/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,4085,,,Россия,Россия,"для пароконвектоматов (ручная мойка), для пароконвектоматов (автоматическая мойка)",5 л,,жидкость,,
https://cdn.entero.ru/mp@2x/74/4f/744fd690d4505e8c2991a2d5ff1a4079.jpg,Моющее средство Abat PW 5л,12000137052,3023,RUB,Да,Abat,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/165842,"<p>Моющее средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/165842""><b class=""b""> Abat PW </b></a>используется совместно с пароконвектоматами и конвекционными печами на предприятиях общественного питания и торговли для очистки поверхности камеры. Средство эффективно удаляет жировые и белковые загрязнения.</p>

<p>Применяется перед ополаскивающим средством Abat <a href=""https://entero.ru/item/165845"" target=""_blank"">PR</a>.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>гидроксид калия и натрия 40%</li>
<li>комплексообразователи</li>
<li>диспергирующие агенты</li>
</ul>
</li>
<li>Подача средства ручная или автоматическая (через дозаторы)</li>
<li>Не оказывает негативного воздействия на нержавеющей стали, стекла, фарфора и пластика</li>
<li>Не подходит для поверхностей из алюминия и цветных металлов</li>
<li>Не содержит активного хлора</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дозировка: от 5 до 10% (зависит от режима мойки и модели оборудования)</li>
<li>Температура раствора: от 60 до 75 °С</li>
<li>pH: от 12,6 до 13</li>
<li>Плотность: 1,39 г/см<sup>3</sup></li>
<li>Срок годности: 12 месяцев</li>
</ul>",165842,моющее средство,,,,,,,94,https://entero.ru/manuals/192272/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20PW.jpg;https://entero.ru/manuals/192277/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20PW.pdf;https://entero.ru/manuals/192278/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,4031,,,Россия,Россия,"для пароконвектоматов (ручная мойка), для пароконвектоматов (автоматическая мойка)",5 л,,жидкость,,
https://cdn.entero.ru/mp@2x/75/44/75442c857d34aca394ca034f63ef159c.jpg,Средство моющее высокощелочное STRADA 10 л,Средство моющее высокощелочное STRADA 10 л,6390,RUB,Да,,Профоборудование,Чистящие и моющие средства,https://entero.ru/item/346146,"<p>Высокощелочное беспенное гелеобразное средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346146""><b class=""b"">STRADA</b></a> используется на предприятиях общественного питания и торговлидля автоматической и ручной промывки гидрофильтров и другого оборудования.</p>",346146,моющее средство,,,,,,,0,,,,,Россия,Россия,для промывки гидрофильтров,10 л,,жидкость,,
