Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Установка,Конструкция,Оснащение,Подсветка,Тип гастроемкости,Температурный режим теплового отсека,Вместимость гастроемкостей,Температурный режим холодильного отсека
https://cdn.entero.ru/mp@2x/c3/47/c347b815a99f15ec30560a35efc35211.jpg,Салат-бар тепловой OZTI OSBEH 01,7EKO.OSBEH.01,211005,RUB,Да,OZTI,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/84987,"<p>Тепловой салат-бар <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/84987"">OZTI OSBEH 01</a></b> предназначен для демонстрации, подогрева и поддержания постоянной температуры готовых блюд в составе линий раздач на предприятиях общественного питания. Ванна выполнена из нержавеющей стали, декоративные панели - из дерева.</p>

<p>Гастроемкости приобретаются отдельно. По желанию можно ставить гастроемкости типоразмеров GN 1/1, GN 1/2, GN 1/3, GN 1/4, GN 1/6 и GN 1/9 глубиной 20 мм, 40 мм, 65 мм, 100 мм и 150 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровой термостат для регулировки температуры нагрева</li>
<li>Нагревательные элементы под ванной</li>

<li>4 колеса</li>
</ul>
<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Класс защиты: IP X4</li>
</ul>",84987,тепловой,220 В,2 кВт,1490 мм,780 мм,1510 мм,,Турция,,,0,https://entero.ru/manuals/421610/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20OZTI%20OSBEH%2001%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/421617/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20OZTI%202024%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,150 кг,,,,,GN 1/1,от 70 до 80 °C,4,
https://cdn.entero.ru/mp@2x/ed/40/ed4009858cbcbb57c99a511aed62205c.jpg,Салат-бар холодильный OZTI OSBEC 01,7EKO.OSBEC.01,223610,RUB,Да,OZTI,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/84983,"<p>Холодильный салат-бар <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84983"">OZTI OSBEC 01</a></b> предназначен для демонстрации, охлаждения и кратковременного хранения и демонстрации напитков, салатов и других готовых блюд в составе линий раздач на предприятиях общественного питания. Ванна выполнена из нержавеющей стали, декоративные панели - из дерева, изоляция - из полистирола.</p>

<p>Гастроемкости приобретаются отдельно. По желанию можно ставить гастроемкости типоразмеров GN 1/1, GN 1/2, GN 1/3, GN 1/4, GN 1/6 и GN 1/9 глубиной 20 мм, 40 мм, 65 мм, 100 мм и 150 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Компрессор Danfoss</li>
<li>Цифровой термостат для регулировки температуры охлаждения</li>
<li>Хладагент R134a</li>
<li>4 колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 72 л</li>
<li>Заправка хладагентом: 7,5 г</li>
<li>Класс защиты: IP X4</li>
<li>Цвет: орех, венге (при заказе уточняйте, какой цвет есть в наличии)</li>
</ul>",84983,холодильный,220 В,0.22 кВт,1490 мм,780 мм,1510 мм,,Турция,,,0,https://entero.ru/manuals/421609/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20OZTI%20OSBEC%2001%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/421621/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20OZTI%202024%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,240441,171.4 кг,,,,,GN 1/1,,4,от 2 до 6 °C
https://cdn.entero.ru/mp@2x/29/78/2978fa9c84b40881a12461a686500667.jpg;https://cdn.entero.ru/mp@2x/ff/aa/ffaacd0941f3d7a6ac86b6c35e4a0b2c.jpg;https://cdn.entero.ru/mp@2x/ee/17/ee1728a493cd9bb37314ad30c901b853.jpg;https://cdn.entero.ru/mp@2x/97/18/97181705fccb69011e70831cf5c5c353.jpg,Салат-бар встраиваемый Koreco DM94930.3 3x GN 1/1,drop-in 3*GN1/1 Koreco DM94930.3,264941,RUB,Да,Koreco,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/173645,"<p>Салат-бар <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173645""><b class=""b"">Koreco DM94930.3</b></a> серии Drop-in используется на предприятиях общественного питания и торговли для хранения и подготовки к раздаче готовых салатов и охлажденных блюд. Модель оснащена разграничителем гастроемкостей длиной 53 см.</p>

<p>Гастроемкости в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Хладагент: R290</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер ванны: 1034х575 мм</li>
<li>Вместимость гастроемкостей: 32х GN 1/1 глубиной 150 мм</li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Полки-надставки</li>
<li>Гастроемкости GN 1/1 глубиной 150 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",173645,холодильный,220 В,0.385 кВт,1064 мм,590 мм,570 мм,,Ю. Корея,,,0,https://entero.ru/manuals/201497/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Koreco.pdf;https://entero.ru/manuals/498991/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,встраиваемый,под гастроемкости,,,GN 1/1,,3,от 0 до 10 °C
https://cdn.entero.ru/mp@2x/f8/52/f852640cef60dffbee1530e56a38e473.jpg;https://cdn.entero.ru/mp@2x/e1/35/e135fe5e57f3c4407dfc0eac317f68aa.jpg;https://cdn.entero.ru/mp@2x/2c/0b/2c0ba82a09ff0b1f0235ff69d40fa245.jpg;https://cdn.entero.ru/mp@2x/4f/65/4f657127924bd68880bb7f176ae4a3a2.jpg,Салат-бар встраиваемый Koreco DM94930.2 2x GN 1/1,drop-in 2*GN1/1 Koreco DM94930.2,246792,RUB,Да,Koreco,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/123575,"<p>Салат-бар <a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/123575""><b class=""b"">Koreco DM94930.2</b></a> серии Drop-in используется на предприятиях общественного питания и торговли для хранения и подготовки к раздаче готовых салатов и охлажденных блюд. Модель оснащена разграничителем гастроемкостей длиной 53 см.</p>

<p>Гастроемкости в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Хладагент: R290</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер ванны: 695х575 мм</li>
<li>Вместимость гастроемкостей: 2х GN 1/1 глубиной 150 мм</li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Полки-надставки</li>
<li>Гастроемкости GN 1/1 глубиной 150 мм</li>
</ul>",123575,холодильный,220 В,0.385 кВт,725 мм,590 мм,570 мм,,Ю. Корея,,,0,https://entero.ru/manuals/131151/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Koreco.pdf,,,втраиваемый,под гастроемкости,,,GN 1/1,,2,от 0 до 10 °C
https://cdn.entero.ru/mp@2x/c9/26/c9262dab6d74cfb8adc5e119d1bf6e82.jpg;https://cdn.entero.ru/mp@2x/68/a7/68a7f7385640cd7463807113009a5295.jpg;https://cdn.entero.ru/mp@2x/e0/21/e021160bc5f25e031aea945110361f48.jpg;https://cdn.entero.ru/mp@2x/7d/e1/7de1264dadae7f550fd4a25411859c56.jpg,Салат-бар ТММ Антарес-Премиум ВВМХ/ОСН 3 GN1/1 (1200х750х1350),Салат-бар ТММ Антарес-Премиум ВВМХ/ОСН 3 GN1/1 (1200х750х1350),0,RUB,Нет,ТММ,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/88727,"<p>Салат-бар <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88727""><b class=""b"">ТММ Антарес-Премиум ВВМХ/ОСН </b></a>предназначен для демонстрации, охлаждения и кратковременного хранения различных продуктов и блюд в составе линий раздач на предприятиях общественного питания и торговли. Модель оснащена стационарной открытой надстройкой. Корпус выполнен из МДФ, ламинированного противоударным HPL-пластиком Итальянского производства, столешница - из акрилового камня, ванна - из нержавеющей стали AISI 304, цельнозаливной корпус мармита и надстройка - из AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль температуры с широкой регулировкой</li>
<li>Светодиодное освещение, не меняющее температуру блюд</li>
<li>Закаленное стекло </li>
<li>Шарнирные колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 0,5 кВт</li>
<li>Размеры надстройки: 1145x460x370 мм</li>
<li>Толщина материала: 
<ul>
<li>МДФ: 16 мм</li>
<li>HPL-пластик: 0,6 мм</li>
<li>Акриловый камень: 12 мм</li>
<li>Стекло: 6 мм</li>
</ul>
</li>
<li>Цвет: светлый дуб / венге</li>
</ul>",88727,холодильный,,,1200 мм,750 мм,1350 мм,,Россия,,,0,https://entero.ru/manuals/84190/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%9C%D0%9C%20%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%B5%D1%81-%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%83%D0%BC%20%D0%92%D0%92%D0%9C%D0%A5_%D0%9E%D0%A1%D0%9D%203%20GN1_1.doc;https://entero.ru/manuals/84256/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%9C%D0%9C%20%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%B5%D1%81-%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%83%D0%BC%20%D0%92%D0%92%D0%9C%D0%A5_%D0%9E%D0%A1%D0%9D%203%20GN1_1.docx;https://entero.ru/manuals/84193/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%B0%D0%BB%D0%B0%D1%82-%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%20%D0%A2%D0%9C%D0%9C.pdf;https://entero.ru/manuals/102408/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%81%D0%B0%D0%BB%D0%B0%D1%82-%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%20%D0%A2%D0%9C%D0%9C.pdf,,,,,,,GN 1/1,,3,от 2 до 4 °C
https://cdn.entero.ru/mp@2x/63/71/63717d2acf37c42ef277905503016293.jpg,Буфет с мармитом вторых блюд Техно-ТТ БМВ-122/1286,120873,0,RUB,Нет,Техно-ТТ,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/214259,"<p>Буфет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/214259"">Техно-ТТ БМВ-122/1286</a></b> предназначен для выкладки, временного хранения и раздачи горячих блюд на предприятиях общественного питания и торговли. Модель оснащена ящиком. Каркас выполнен из оцинкованной стали, фасад - из шпона и МДФ, столешница - из искусственного камня.</p>

<p>Гастроемкости в комплект поставки не входит и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Центральная закрытая полка</li>
<li>Поставляется в собранном виде</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина материала: 
<ul>
<li>Каркас: 1,5 мм</li>
<li>Фасад: 16 мм</li>
<li>Столешница: 24 мм</li>
</ul>
</li>
<li>Цвет: венге</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",214259,тепловой,,2.02 кВт,1286 мм,851 мм,1555 мм,,Россия,,,0,https://entero.ru/manuals/252690/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/252691/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%29.pdf,,,"островной, стационарный",мармит водяной,закрытая полка,Да,GN 1/1,75 °C,3,
https://cdn.entero.ru/mp@2x/21/30/213068bdf5faec24e4fefda32d1667cb.jpg;https://cdn.entero.ru/mp@2x/a1/a4/a1a43c8e61809fa6fa2490c6d9a8d1f6.jpg;https://cdn.entero.ru/mp@2x/e1/55/e1554b01aaacde22b920c870396435ed.jpg;https://cdn.entero.ru/mp@2x/03/00/030041d5564e27d4d4cca0177ff11e56.jpg,Салат-бар тепловой Luxstahl СБТ-1500,Салат-бар тепловой Luxstahl СБТ-1500,0,RUB,Нет,Luxstahl,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/255770,"<p>Тепловой салат-бар <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255770"">Luxstahl СБТ-1500</a></b> предназначен для демонстрации, подогрева и поддержания постоянной температуры готовых блюд в составе линий раздач или самостоятельно на предприятиях общественного питания и торговли. Модель оснащена 1 терморегулятором, 3 ПЭНами, верхней стеклянной крышкой, 3 точечными светодиодными светильниками и колесами со стопором.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем заливаемой воды: 15 л</li>
<li>Максимальное время разогрева до рабочей температуры: 30 мин.</li>
<li>Толщина стекла: 6 мм</li>
</ul>",255770,тепловой,220 В,3 кВт,1630 мм,1000 мм,1485 мм,,Россия,,,0,,,160 кг,передвижной,под гастроемкости,,Да,GN 1/1,,4,85 °C
https://cdn.entero.ru/mp@2x/63/34/6334ee0c2a6fd6799fde3b02eb3bcb59.jpg,Буфет с мармитом вторых блюд Техно-ТТ БМВ-101/966,120854,0,RUB,Нет,Техно-ТТ,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/214186,"<p>Буфет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/214186"">Техно-ТТ БМВ-101/966</a></b> предназначен для выкладки, временного хранения и раздачи горячих блюд на предприятиях общественного питания и торговли. Каркас выполнен из оцинкованной стали, фасад - из шпона и МДФ, столешница - из искусственного камня.</p>

<p>Гастроемкости в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Центральная открытая полка</li>
<li>Поставляется в собранном виде</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина материала: 
<ul>
<li>Каркас: 1,5 мм</li>
<li>Фасад: 16 мм</li>
<li>Столешница: 24 мм</li>
</ul>
</li>
<li>Цвет: венге</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",214186,тепловой,,2.015 кВт,966 мм,851 мм,1530 мм,,Россия,,,0,https://entero.ru/manuals/252511/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/252512/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%29.pdf,,,"островной, стационарный",мармит водяной,открытая полка,Да,GN 1/1,75 °C,2,
https://cdn.entero.ru/mp@2x/eb/83/eb83385b0e854261d2c95f75c49774eb.jpg,Буфет нейтральный Техно-ТТ БН-110/1286,120940,0,RUB,Нет,Техно-ТТ,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/214985,"<p>Буфет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/214985"">Техно-ТТ БН-110/1286</a> </b>предназначен для выкладки, хранения и раздачи продуктов, не требующих определенной температуры на предприятиях общественного питания и торговли. Модель оснащена нишей. Каркас выполнен из оцинкованной стали, фасад - из шпона и МДФ, столешница - из искусственного камня. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Поставляется в собранном виде</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина материала: 
<ul>
<li>Каркас: 1,5 мм</li>
<li>Фасад: 16 мм</li>
<li>Столешница: 24 мм</li>
</ul>
</li>
<li>Цвет: венге</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",214985,нейтральный,,0.02 кВт,1286 мм,851 мм,900 мм,,Россия,,,0,https://entero.ru/manuals/514811/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,"стационарный, островной",сплошная столешница,,,,,,
https://cdn.entero.ru/mp@2x/56/06/5606eaa5763efe694f7575f2dc53d2a6.jpg;https://cdn.entero.ru/mp@2x/16/d2/16d235a17f59229f955509258f9e4bc9.jpg;https://cdn.entero.ru/mp@2x/cf/41/cf41462bf592070d4daec65ab5a4d6ee.jpg;https://cdn.entero.ru/mp@2x/78/1f/781fa3c85b14ee6f3b4f2babf30ad2d9.jpg,Салат-бар ТММ Антарес-Премиум ВВМХ/ОСН 4 GN1/1 (1500х750х1270),Салат-бар ТММ Антарес-Премиум ВВМХ/ОСН 4 GN1/1 (1500х750х1270),0,RUB,Нет,ТММ,Профоборудование,Шведские столы и салат-бары,https://entero.ru/item/88730,"<p>Салат-бар <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88730""><b class=""b"">ТММ Антарес-Премиум ВВМХ/ОСН </b></a>предназначен для демонстрации, охлаждения и кратковременного хранения различных продуктов и блюд в составе линий раздач на предприятиях общественного питания и торговли. Модель оснащена стационарной открытой надстройкой. Корпус выполнен из МДФ, ламинированного противоударным HPL-пластиком Итальянского производства, столешница - из акрилового камня, ванна - из нержавеющей стали AISI 304, цельнозаливной корпус мармита и надстройка - из AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль температуры с широкой регулировкой</li>
<li>Светодиодное освещение, не меняющее температуру блюд</li>
<li>Закаленное стекло </li>
<li>Шарнирные колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 0,5 кВт</li>
<li>Размеры надстройки: 1445x460x370 мм</li>
<li>Толщина материала: 
<ul>
<li>МДФ: 16 мм</li>
<li>HPL-пластик: 0,6 мм</li>
<li>Акриловый камень: 12 мм</li>
<li>Стекло: 6 мм</li>
</ul>
</li>
<li>Цвет: светлый дуб / венге</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",88730,холодильный,,,1500 мм,750 мм,1270 мм,,Россия,,,0,https://entero.ru/manuals/84189/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%9C%D0%9C%20%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%B5%D1%81-%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%83%D0%BC%20%D0%92%D0%92%D0%9C%D0%A5_%D0%9E%D0%A1%D0%9D%204%20GN1_1.doc;https://entero.ru/manuals/84257/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%9C%D0%9C%20%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%B5%D1%81-%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%83%D0%BC%20%D0%92%D0%92%D0%9C%D0%A5_%D0%9E%D0%A1%D0%9D%204%20GN1_1.docx;https://entero.ru/manuals/84194/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%B0%D0%BB%D0%B0%D1%82-%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%20%D0%A2%D0%9C%D0%9C.pdf,,,,,,,GN 1/1,,,от 2 до 8 °C
