Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Назначение
https://cdn.entero.ru/mp@2x/5b/e5/5be5d1e4348c52926334464bbf73e55f.jpg;https://cdn.entero.ru/mp@2x/b2/f7/b2f7def5cd381850b32d5403492ed8b7.jpg,Измельчитель для специй и орехов Foodatlas HR-50B,HR-050B Foodatlas,18045,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/147193,"<p>Измельчитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147193""><b class=""b"">Foodatlas HR-050В </b></a>используется на предприятиях общественного питания и торговли для измельчения сухих трав, сухарей, орехов и специй. <span style=""font-size: 12px;"">Модель оснащена электромагнитной кнопкой включения, концевым выключателем при снятии крышки и зажимными штифтами для защиты при закрытии крышки. Корпус, чаша и ножи выполнены из нержавеющей стали.</span></p>

<p><span style=""font-size: 12px;"">В комплект поставки входят мельница, 2 графитовые щетки, 2 длинных ножа, 2 коротких ножа и щетка.</span></p>

<p><b><span style=""font-size: 12px;"">Особенности:</span></b></p>

<ul>
<li>Защита от перегрузки и перегрева электродвигателя</li>
<li>Кнопка экстренной остановки</li>
<li>Наклонный механизм регулировки чаши</li>
<li>Европейская вилка с заземлением</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 25 кг/ч</li>
<li>Максимальная загрузка чаши: 2,5 кг</li>
<li>Количество скоростей: 1</li>
<li>Габариты в упаковке: 340x330x495 мм</li>
</ul>",147193,220 В,2.4 кВт,285 мм,265 мм,390 мм,,,,0,https://entero.ru/manuals/173468/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-050%D0%92.pdf;https://entero.ru/manuals/173469/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Foodatlas%20HR-050%D0%92.pdf,,,,,Китай,25 кг/час,для специй и орехов
https://cdn.entero.ru/mp@2x/55/7d/557de807cf919d2baf057c71503fed0b.jpg,Измельчитель специй Hurakan HKN-SG400,211580,7736,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/128816,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128816"">Hurakan HKN-SG400</a></b> предназначен для измельчения сухих трав, орехов, сухарей и специй на предприятиях общественного питания и торговли.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость: 25000 об/мин</li>
<li>Емкость: 0,4 кг</li>
</ul>",128816,220 В,1.8 кВт,198 мм,192 мм,362 мм,5.4 кг,1,220x230x410 мм,7,https://entero.ru/manuals/413200/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SG400.pdf;https://entero.ru/manuals/282395/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/413201/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453888/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SG400.pdf,,,4.6 кг,,Китай,,для специй и орехов
https://cdn.entero.ru/mp@2x/13/5f/135f6b4f56eee841675842e1ba6464ec.jpg;https://cdn.entero.ru/mp@2x/6f/47/6f47092bc62e3956c229c760d5823cb5.jpg;https://cdn.entero.ru/mp@2x/3a/75/3a7554f3c94d01004fc68feb276f7af2.jpg;https://cdn.entero.ru/mp@2x/35/46/354695f8f5d05b2f5fbc9c814626c511.jpg;https://cdn.entero.ru/mp@2x/2d/06/2d06cfbeca6c56c5dd9304b4a385ade0.jpg;https://cdn.entero.ru/mp@2x/ce/37/ce37feb6f236756e405ee3bd7022845f.jpg;https://cdn.entero.ru/mp@2x/2a/51/2a51857812f6adea1f00737f7a0209b7.jpg,Мельница жерновая Foodatlas HR-3600,Мельница жерновая Foodatlas HR-3600,74164,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/147273,"<p>Жерновая мельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147273""><b class=""b"">Foodatlas HR-3600 </b></a>предназначена для измельчения сухих пищевых продуктов в муку или пудру на предприятиях общественного питания и торговли. Модель оснащена системой охлаждения электродвигателя. Корпус и приемочный бункер выполнены из нержавеющей стали, жернова - из литого чугуна.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Скорость: 1500 об/мин.</li>
<li>Размер помола: от 50 до 200 мкм</li>
<li>Объем приемной воронки: 4,2 л</li>
<li>Габариты в упаковке: 765х365х410 мм</li>
</ul>",147273,220 В,3.6 кВт,655 мм,320 мм,455 мм,,,,0,https://entero.ru/manuals/173561/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-3600.pdf;https://entero.ru/manuals/173562/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Foodatlas%20HR-3600.pdf,80613,,73 кг,,Китай,от 50 до 70 кг/час,для специй и орехов
https://cdn.entero.ru/mp@2x/81/cb/81cb7d8827984c488161d7b07a353128.jpg,Измельчитель специй Hurakan HKN-SG100,207297,4404,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/123602,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123602"">HURAKAN HKN-SG100</a> </b>используется на предприятиях общественного питания и торговли для измельчения сухих трав, орехов, сухарей и специй.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Емкость: 0,1 кг</li>
<li>Скорость: 28000 об/мин</li>
<li>Габариты в упаковке: 170x170x350 мм</li>
</ul>",123602,220 В,0.65 кВт,165 мм,140 мм,335 мм,3 кг,1,170x170x350 мм,25,https://entero.ru/manuals/413205/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SG100.pdf;https://entero.ru/manuals/282397/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/413206/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453887/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SG100.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241439&hash=11ee11cd016dffd0,2.6 кг,,Китай,,для специй и орехов
https://cdn.entero.ru/mp@2x/fe/0f/fe0fc8b49aae915993772826a20d9fa6.jpg;https://cdn.entero.ru/mp@2x/db/45/db45fe9b03de4e127a314a3ae0ae9898.jpg;https://cdn.entero.ru/mp@2x/67/a5/67a5e57f244e112149acba9878acee1b.jpg;https://cdn.entero.ru/mp@2x/cc/62/cc6221c666084d63ecfc4006103396a9.jpg;https://cdn.entero.ru/mp@2x/0e/89/0e8971033e2f036b4696b77939b824a5.jpg;https://cdn.entero.ru/mp@2x/4e/3a/4e3aa7e907824b95da7f653e909af1dc.jpg;https://cdn.entero.ru/mp@2x/10/fc/10fceaaf06e2a8c80dd73b87ab1df3d1.jpg,Измельчитель для специй и орехов Foodatlas HR-08В,ЦБ000000113,9227,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/147157,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147157"">Foodatlas HR-08В</a> </b>используется на предприятиях общественного питания и торговли для измельчения сухих трав, сухарей, орехов и специй. <span style=""font-size: 12px;"">Модель оснащена электромагнитной кнопкой включения, концевым выключателем при снятии крышки и зажимными штифтами для защиты при закрытии крышки. Корпус, чаша и ножи выполнены из нержавеющей стали.</span></p>

<p><span style=""font-size: 12px;"">В комплект поставки входят мельница, 2 графитовые щетки, 2 длинных ножа, 2 коротких ножа и щетка.</span></p>

<p><b><span style=""font-size: 12px;"">Особенности:</span></b></p>

<ul>
<li>Защита от перегрузки и перегрева электродвигателя</li>
<li>Кнопка экстренной остановки</li>
<li>Наклонный механизм регулировки чаши</li>
<li>Европейская вилка с заземлением</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка чаши: 0,4 кг</li>
<li>Количество скоростей: 1</li>
<li>Габариты в упаковке: 255x225x405 мм</li>
</ul>",147157,220 В,1.8 кВт,235 мм,190 мм,360 мм,,,,0,https://entero.ru/manuals/173386/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-08%D0%92.pdf;https://entero.ru/manuals/173389/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Foodatlas%20HR-08%D0%92.pdf,,,4.9 кг,,Китай,4 кг/час,"для специй и орехов, для сухарей"
https://cdn.entero.ru/mp@2x/45/5a/455a04066703507e1076557455f9d104.jpg;https://cdn.entero.ru/mp@2x/a2/1c/a21cf02501f0e295a98ac123381ba1d4.jpg;https://cdn.entero.ru/mp@2x/de/aa/deaa2ee988f6bcd658b9a10fcfb60f50.jpg;https://cdn.entero.ru/mp@2x/fe/bb/febb205dc27470ad5976b1ae622e6ada.jpg;https://cdn.entero.ru/mp@2x/d9/e8/d9e85c0f9daad0c2c6a0cdb44c9a8341.jpg;https://cdn.entero.ru/mp@2x/e4/5d/e45d06ae3e683eb1808ee23426380523.jpg;https://cdn.entero.ru/mp@2x/84/fa/84fa694c41ad890d0e0bc0ac48e27381.jpg;https://cdn.entero.ru/mp@2x/6c/bf/6cbfdd7feea79e9782cfebcfcf2341ca.jpg;https://cdn.entero.ru/mp@2x/ea/b0/eab08970d94b0fcba8ee2947f6668f1f.jpg,Измельчитель для специй и орехов Foodatlas HR-030В,HR-030В Foodatlas,17276,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/147189,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147189"">Foodatlas HR-030В</a> </b>используется на предприятиях общественного питания и торговли для измельчения сухих трав, сухарей, орехов и специй. <span style=""font-size: 12px;"">Модель оснащена электромагнитной кнопкой включения, концевым выключателем при снятии крышки и зажимными штифтами для защиты при закрытии крышки. Корпус, чаша и ножи выполнены из нержавеющей стали.</span></p>

<p><span style=""font-size: 12px;"">В комплект поставки входят мельница, 2 графитовые щетки, 2 длинных ножа, 2 коротких ножа и щетка.</span></p>

<p><b><span style=""font-size: 12px;"">Особенности:</span></b></p>

<ul>
<li>Защита от перегрузки и перегрева электродвигателя</li>
<li>Кнопка экстренной остановки</li>
<li>Наклонный механизм регулировки чаши</li>
<li>Европейская вилка с заземлением</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка чаши: 1,5 кг</li>
<li>Количество скоростей: 1</li>
<li>Габариты в упаковке: 270x270x410 мм</li>
</ul>",147189,220 В,3.8 кВт,260 мм,220 мм,385 мм,,,,0,https://entero.ru/manuals/173461/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-030%D0%92.pdf;https://entero.ru/manuals/173462/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Foodatlas%20HR-030%D0%92.pdf,,,,,Китай,15 кг/час,"для специй и орехов, для сухарей"
https://cdn.entero.ru/mp@2x/7a/7f/7a7fce66a6080d9a73854b286edf184a.jpg;https://cdn.entero.ru/mp@2x/68/89/6889bd7ce94c4455e12578ad5afd0f2f.jpg;https://cdn.entero.ru/mp@2x/8f/2e/8f2ec4dd37bca32bba6ae25cab2cc5e4.jpg;https://cdn.entero.ru/mp@2x/f4/1a/f41ad393d21e4121129dd3e7a529cd07.jpg;https://cdn.entero.ru/mp@2x/3f/f8/3ff8c0fb9a910e07d0e5e03d98d7eab7.jpg;https://cdn.entero.ru/mp@2x/9b/c0/9bc0b3ddde26deab2a0da26e267d145e.jpg;https://cdn.entero.ru/mp@2x/af/37/af3705e016ce05f4a1877e383b956c95.jpg;https://cdn.entero.ru/mp@2x/95/c1/95c199f52a5d4d80f6bd9028fa6a83ba.jpg;https://cdn.entero.ru/mp@2x/4c/d8/4cd8c3398dbe1af8da76eee80e24c1bd.jpg,Измельчитель для специй и орехов Foodatlas HR-30В,Измельчитель для специй и орехов Foodatlas HR-30В,15032,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/319661,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/319661"">Foodatlas HR-30В</a></b> используется на предприятиях общественного питания и торговли для измельчения сухих трав, сухарей, орехов и специй. Модель оснащена электромагнитной кнопкой включения, концевым выключателем при снятии крышки и зажимными штифтами для защиты при закрытии крышки. Корпус, чаша и ножи выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят мельница, 2 графитовые щетки, 2 длинных ножа, 2 коротких ножа и щетка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрузки и перегрева электродвигателя</li>
<li>Кнопка экстренной остановки</li>
<li>Наклонный механизм регулировки чаши</li>
<li>Европейская вилка с заземлением</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка чаши: 1,5 кг</li>
<li>Объем загрузочного бункера: 3,5 л</li>
<li>Количество скоростей: 1</li>
<li>Скорость вращения: 25000 об./мин.</li>
<li>Габариты в упаковке: 245x245x410 мм</li>
</ul>",319661,220 В,1.8 кВт,260 мм,220 мм,385 мм,,,,0,https://entero.ru/manuals/384173/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-30%D0%92.pdf;https://entero.ru/manuals/384174/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,16163,,7.7 кг,,Китай,15 кг/час,для специй и орехов
https://cdn.entero.ru/mp@2x/4a/fc/4afc6d8e805209c0543bf05010188f8f.jpg;https://cdn.entero.ru/mp@2x/ff/04/ff0414f46ef36763ecde671f39e8e47b.jpg;https://cdn.entero.ru/mp@2x/52/72/52722b8533ea814fc073bd521d56eb8f.jpg;https://cdn.entero.ru/mp@2x/18/88/18885a8a47c5b0366831d1db9c26d15d.jpg;https://cdn.entero.ru/mp@2x/0b/b4/0bb4164ad3ae2e6114332943be5db456.jpg;https://cdn.entero.ru/mp@2x/d9/6f/d96f89d26a8332f56e5672ca386b157d.jpg;https://cdn.entero.ru/mp@2x/71/61/71619fae202433475ae978082eaa7f65.jpg;https://cdn.entero.ru/mp@2x/00/df/00dfcd62e5c5557bf37175e16fb8e767.jpg;https://cdn.entero.ru/mp@2x/d2/32/d232193ff4542c1b2fecc2f165687a63.jpg,Измельчитель для специй и орехов Foodatlas HR-020В,HR-20В Foodatlas,12853,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/147186,"<p>Измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147186"">Foodatlas HR-020В</a> </b>используется на предприятиях общественного питания и торговли для измельчения сухих трав, сухарей, орехов и специй. <span style=""font-size: 12px;"">Модель оснащена электромагнитной кнопкой включения, концевым выключателем при снятии крышки и зажимными штифтами для защиты при закрытии крышки. Корпус, чаша и ножи выполнены из нержавеющей стали.</span></p>

<p><span style=""font-size: 12px;"">В комплект поставки входят мельница, 2 графитовые щетки, 2 длинных ножа, 2 коротких ножа и щетка.</span></p>

<p><b><span style=""font-size: 12px;"">Особенности:</span></b></p>

<ul>
<li>Защита от перегрузки и перегрева электродвигателя</li>
<li>Кнопка экстренной остановки</li>
<li>Наклонный механизм регулировки чаши</li>
<li>Европейская вилка с заземлением</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 10 кг/ч</li>
<li>Максимальная загрузка чаши: 1 кг</li>
<li>Количество скоростей: 1</li>
<li>Габариты в упаковке: 270x270x410 мм</li>
</ul>",147186,220 В,3 кВт,255 мм,215 мм,370 мм,,,,0,https://entero.ru/manuals/173454/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-020%D0%92.pdf;https://entero.ru/manuals/173455/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Foodatlas%20HR-020%D0%92.pdf,,,,,Китай,10 кг/час,"для специй и орехов, для сухарей"
https://cdn.entero.ru/mp@2x/84/68/84687366b4cb4d3a5b338c8b063b8f30.jpg;https://cdn.entero.ru/mp@2x/8a/fa/8afa8aee351e4282df7d15a4d27324a5.jpg;https://cdn.entero.ru/mp@2x/8c/1f/8c1f19ea20d05448cf1b1746772f8abb.jpg;https://cdn.entero.ru/mp@2x/01/d2/01d2f0290bf4e5a58b7b8c05ca3731d3.jpg;https://cdn.entero.ru/mp@2x/fc/b8/fcb88738c1b2adeeb1a4641625a32f20.jpg;https://cdn.entero.ru/mp@2x/ce/7a/ce7a56de0e8e0970d354a09ad9ed9e6d.jpg;https://cdn.entero.ru/mp@2x/af/55/af5529aa20c9d97e2e4b7334648f788b.jpg,Мельница жерновая Foodatlas HR-1500,Мельница жерновая Foodatlas HR-1500,55628,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/147267,"<p>Жерновая мельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147267""><b class=""b"">Foodatlas HR-1500 </b></a>предназначена для измельчения сухих пищевых продуктов в муку или пудру на предприятиях общественного питания и торговли. Модель оснащена системой охлаждения электродвигателя. Корпус и приемочный бункер выполнены из нержавеющей стали, жерновы - из литого чугуна.</p>

<p><b>Характеристики:</b>.</p>

<ul>
<li>Размер помола: от 50 до 200 мкм</li>
<li>Объем приемной воронки: 4,2 л</li>
<li>Габариты в упаковке: 730х330х340 мм</li>
</ul>",147267,220 В,1.5 кВт,600 мм,280 мм,435 мм,,,,0,https://entero.ru/manuals/173553/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-1500.pdf;https://entero.ru/manuals/173554/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Foodatlas%20HR-1500.pdf,59179,,44 кг,,Китай,от 20 до 40 кг/час,для специй и орехов
https://cdn.entero.ru/mp@2x/84/6c/846c3f512507eb8687f8497f149f0ddd.jpg;https://cdn.entero.ru/mp@2x/05/56/0556c80f9b738b25ab7603e9a991ed62.jpg;https://cdn.entero.ru/mp@2x/5a/88/5a88b19c50c156f9232e86af36523b4f.jpg;https://cdn.entero.ru/mp@2x/72/f1/72f13b55b431651fdf6827ec9b3ae94f.jpg;https://cdn.entero.ru/mp@2x/66/9d/669d88f61e8b7141842bfbafebe26325.jpg;https://cdn.entero.ru/mp@2x/cc/4d/cc4d62453049c4eb2648d7b22787f27f.jpg;https://cdn.entero.ru/mp@2x/82/5c/825c2693650daedf090ade4d8ef7834b.jpg,Мельница жерновая Foodatlas HR-3000,Мельница жерновая Foodatlas HR-3000,64099,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Измельчители,https://entero.ru/item/147272,"<p>Жерновая мельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147272""><b class=""b"">Foodatlas HR-3000 </b></a>предназначена для измельчения сухих пищевых продуктов в муку или пудру на предприятиях общественного питания и торговли. Модель оснащена системой охлаждения электродвигателя. Корпус и приемочный бункер выполнены из нержавеющей стали, жерновы - из литого чугуна.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Скорость: 1500 об/мин.</li>
<li>Размер помола: от 50 до 200 мкм</li>
<li>Объем приемной воронки: 4,2 л</li>
<li>Габариты в упаковке: 730х360х380 мм</li>
</ul>",147272,220 В,3 кВт,600 мм,320 мм,450 мм,,,,0,https://entero.ru/manuals/173558/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-3000.pdf;https://entero.ru/manuals/173559/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Foodatlas%20HR-3000.pdf,66770,,53 кг,,Китай,от 50 до 60 кг/час,для специй и орехов
