Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Установка,Вес (с упаковкой),Цвет,Камбузное оборудование,Объем дежи,Механизм поднятия головы,Число скоростей,Скорость вращения венчика,Вращение дежи,Уровень шума
https://cdn.entero.ru/mp@2x/d4/0c/d40cac548b151bbcf98d9dbf1dc8b890.jpg,Миксер планетарный Hurakan HKN-KS5,145254,24962,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/66888,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/66888"">Hurakan HKN-KS5</a> </b>предназначен для замеса различного вида теста жидкой консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для взбивания кремов на предприятиях общественного питания и торговли Дежа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входят крюк, венчик и лопатка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 310х450х470 мм</li>
</ul>",66888,220 В,0.5 кВт,235 мм,380 мм,375 мм,14 кг,Китай,1,310x450x470 мм,20,https://entero.ru/manuals/65500/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-KS5.doc;https://entero.ru/manuals/65501/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-KS5.jpg;https://entero.ru/manuals/415543/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412527/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454437/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-KS5.pdf,26002,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241463&hash=0e5d2e043a87ee03,13 кг,,настольный,,белый,,5 л,подъемная траверса,вариатор (плавная регулировка),от 0 до 1000 об/мин.,,
https://cdn.entero.ru/mp@2x/fc/1b/fc1bea733ffe41c7d2a907c7dab73c9f.jpg;https://cdn.entero.ru/mp@2x/47/59/4759ab5c1a1d78814b8ccd08f29c4ef7.jpg,Миксер планетарный Hurakan HKN-KS10,156945,28713,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/83148,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83148"">Hurakan HKN-KS10</a> </b>предназначен для замеса различного вида теста жидкой консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для взбивания кремов на предприятиях общественного питания и торговли. Съемная дежа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входят крюк, венчик и лопатка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 310х450х510 мм</li>
</ul>",83148,220 В,0.5 кВт,235 мм,380 мм,445 мм,17 кг,Китай,1,310x450x510 мм,20,https://entero.ru/manuals/65497/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-KS10.doc;https://entero.ru/manuals/412531/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454442/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-KS10.pdf;https://entero.ru/manuals/470742/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/470743/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-KS10.pdf,30546,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241463&hash=0e5d2e043a87ee03,16 кг,,настольный,,,,10 л,подъемная траверса,вариатор (плавная регулировка),от 0 до 1000 об/мин.,,
https://cdn.entero.ru/mp@2x/ab/32/ab32d3130ad4d7c380f89c4c88f6407b.jpg,Миксер планетарный Hurakan HKN-KS7 белый,145256,25313,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/66889,"<p>Планетарный миксер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/66889""><b class=""b"">Hurakan HKN-KS7 </b></a>предназначен для замеса различного вида теста жидкой консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для взбивания кремов на предприятиях общественного питания и торговли. Корпус выполнен из крашеного металла, дежа - из нержавеющей стали.</p>

<p>В комплект поставки входят крюк, венчик и лопатка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Съемная дежа</li>
<li>Плавная регулировка скорости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 270х400х420 мм</li>
</ul>",66889,220 В,0.5 кВт,235 мм,380 мм,405 мм,15.5 кг,Китай,1,270x400x420 мм,42,https://entero.ru/manuals/65502/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-KS7.doc;https://entero.ru/manuals/65503/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-KS7.jpg;https://entero.ru/manuals/415544/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412529/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454438/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-KS7.pdf,26645,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241463&hash=0e5d2e043a87ee03;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241506&hash=322ea734fed1fefe,14.5 кг,,настольный,,белый,,7 л,подъемная траверса,вариатор (плавная регулировка),от 0 до 1000 об/мин.,,
https://cdn.entero.ru/mp@2x/9e/ac/9eacb62f6baaf57c371deb3741c63c61.jpg;https://cdn.entero.ru/mp@2x/36/9d/369d9236083cd2191db25646c5516424.jpg;https://cdn.entero.ru/mp@2x/13/03/13032dcbeabddebb4cedcaf76a11b442.jpg;https://cdn.entero.ru/mp@2x/81/0b/810b518d88217fcd9e7b65fd17d12482.jpg;https://cdn.entero.ru/mp@2x/35/8e/358ebcd31e1dec7a7e8afe013d8dd77e.jpg,Миксер планетарный Sirman Plutone 7,PLUTONE 7Л 60300752,41209,RUB,Да,Sirman,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/73841,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73841"">Sirman Plutone 7</a></b> предназначен для замеса теста жидкой и средней консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для приготовления пюре, майонеза, различных соусов, взбитых сливок на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Модель оснащена двигателем постоянного тока с регулятором скорости и микровыключателями на подъёме головки.</p>

<p>В комплект поставки входят 3 насадки: крюк, лопатка и венчик.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Устройство NVR против случайного включения</li>
<li>Зубчатая передача с узлом консистентной смазкой</li>
<li>Корпус из металла</li>
<li>Дежа из нержавеющей стали </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка муки: 1 кг</li>
<li>Габариты в упаковке: 470x320x500 мм</li>
</ul>",73841,220 В,0.28 кВт,240 мм,410 мм,510 мм,21 кг,Китай,1,470x320x500 мм,6,https://entero.ru/manuals/46006/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20Plutone%207.pdf;https://entero.ru/manuals/419943/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20Plutone%207.pdf;https://entero.ru/manuals/46007/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%20Plutone%207.jpg;https://entero.ru/manuals/419944/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/72817/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240809&hd=2&autoplay=0,18 кг,,настольный,,серебряный,,7 л,подъемная траверса,вариатор (плавная регулировка),от 75 до 660 об/мин.,,
https://cdn.entero.ru/mp@2x/55/b6/55b6f99f486527ded351a7c53e0ca681.jpg,Миксер планетарный Hurakan HKN-IP20F,Миксер планетарный Hurakan HKN-IP20F,52008,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/46417,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/46417"">Hurakan HKN-IP20F</a> </b>предназначен для замеса различного вида теста жидкой консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для взбивания кремов на предприятиях общественного питания и торговли. Съемная дежа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входят крюк, венчик и лопатка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная масса замешивания: 5 кг</li>
<li>Скорость вращения венчика: 104 / 187 / 365 об/мин.</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",46417,220 В,1.1 кВт,496 мм,530 мм,780 мм,94.5 кг,Китай,1,630x560x900 мм,17,https://entero.ru/manuals/65492/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-IP20F.doc;https://entero.ru/manuals/65493/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-IP20F.jpg;https://entero.ru/manuals/415592/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412751/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454245/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-IP20F.pdf,55328,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241051&hash=95f21af90e7ee9cd;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241463&hash=0e5d2e043a87ee03,80 кг,,напольный,,белый,,20 л,фиксированная траверса,3,от 104 до 365 об/мин.,,
https://cdn.entero.ru/mp@2x/0b/5a/0b5a85636d0fcb739a8ead683ff1ce83.jpg,Миксер планетарный Gastromix B 5 ECO,61321,9766,RUB,Да,Gastromix,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/55065,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/55065"">Gastromix B 5 ECO</a></b> предназначен для замеса различного вида теста жидкой консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для приготовления пюре, майонеза, различных соусов, взбитых сливок на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Корпус выполнен из пластика, дежа - из нержавеющей стали, защитная крышка - из пластика.</p>

<p>В комплект поставки входят защитная крышка, дежа, венчик, лопатка и крюк из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая система управления</li>
<li>Регулировка скорости и режим пульсации для оптимального смешивания</li>
<li>Прочная конструкция и надежные внутренние компоненты</li>
<li>Непрерывная работа двигателя не должна превышать 5 минут, после чего необходимо сделать паузу продолжительностью не менее 10-15 минут, в противном случае оборудование может выйти из строя из-за перегрузок двигателя</li>
</ul>",55065,220 В,0.8 кВт,227 мм,368 мм,350 мм,7.8 кг,Китай,1,453x273x417 мм,0,https://entero.ru/manuals/285929/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20B%205%20ECO.pdf;https://entero.ru/manuals/468325/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Gastromix%20B%205%20ECO.pdf;https://entero.ru/manuals/468326/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/481638/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,6.5 кг,,настольный,,серебряный,,5 л,подъемная траверса,6,,,
https://cdn.entero.ru/mp@2x/25/be/25be90b17dd582c2a4f71588cec76799.jpg,Миксер планетарный Gastromix B 5,93630,25340,RUB,Да,Gastromix,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/25223,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25223"">Gastromix B 5</a></b> предназначен для замеса различного вида теста жидкой консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для приготовления пюре, майонеза, различных соусов, взбитых сливок на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Корпус выполнен из алюминия, съемная дежа - из нержавеющей стали, защитная крышка - из пластика.</p>

<p>В комплект поставки входят венчик, лопатка и крюк.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая система управления</li>
<li>Прочная конструкция и надежные внутренние компоненты</li>
<li>Высокое качество, широкая универсальность, длительный срок службы, гигиеничность и легкость в эксплуатации</li>
</ul>",25223,220 В,0.3 кВт,230 мм,350 мм,400 мм,17 кг,Китай,1,440x330x490 мм,0,https://entero.ru/manuals/30630/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20B%205.pdf;https://entero.ru/manuals/481641/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,26396,,14 кг,,настольный,,"белый, металлический",,5 л,подъемная траверса,вариатор (плавная регулировка),от 0 до 1020 об/мин.,,
https://cdn.entero.ru/mp@2x/29/22/2922bacb8214bdbb75bc94ab1b69c11b.jpg,Миксер планетарный Hurakan HKN-IP30F2,Миксер планетарный Hurakan HKN-IP30F2,58740,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/71344,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71344"">Hurakan HKN-IP30F2</a> </b>предназначен для замеса различного вида теста жидкой консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для взбивания кремов на предприятиях общественного питания и торговли. Съемная дежа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входят крюк, венчик и лопатка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная масса замешивания: 6 кг</li>
<li>Скорость вращения венчика: 104 / 187 / 365 об/мин.</li>
<li>Размер дежи: 338х340 мм</li>
<li>Габариты в упаковке: 550х630х950 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",71344,220 В,1.1 кВт,512 мм,546 мм,882 мм,91 кг,Китай,1,550x630x950 мм,9,https://entero.ru/manuals/65488/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-IP30F2.doc;https://entero.ru/manuals/65489/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-IP30F2.jpg;https://entero.ru/manuals/415545/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412754/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454246/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-IP30F2.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241463&hash=0e5d2e043a87ee03,77 кг,,напольный,,белый,,30 л,фиксированная траверса,3,от 104 до 365 об/мин.,,
https://cdn.entero.ru/mp@2x/db/85/db85f60cb52866b933b5debddff78ff5.jpg,Миксер планетарный Hurakan HKN-IP10F,Миксер планетарный Hurakan HKN-IP10F,38703,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/46379,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/46379"">Hurakan HKN-IP10F</a> </b>предназначен для замеса различного вида теста жидкой консистенции, в том числе белкового, заварного, дрожжевого, бисквитного, а также для взбивания кремов на предприятиях общественного питания и торговли. Съемная дежа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входят крюк, венчик и лопатка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная масса замешивания: 2 кг</li>
<li>Скорость вращения венчика: 110 / 178 / 355 об/мин.</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",46379,220 В,0.45 кВт,432 мм,452 мм,606 мм,63 кг,Китай,1,490x540x740 мм,32,https://entero.ru/manuals/65490/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HKN-IP10F.doc;https://entero.ru/manuals/65491/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20HKN-IP10F.jpg;https://entero.ru/manuals/415542/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412747/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454242/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-IP10F.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241463&hash=0e5d2e043a87ee03,53 кг,,напольный,,белый,,10 л,фиксированная траверса,3,от 110 до 355 об/мин.,,
https://cdn.entero.ru/mp@2x/f7/6a/f76ad060081aa3a0d361288324dab4a4.jpg;https://cdn.entero.ru/mp@2x/ce/58/ce58df455a35d331511e74aaf462ff93.jpg;https://cdn.entero.ru/mp@2x/50/e7/50e7b69e65deed2c8155f7348bc22835.jpg;https://cdn.entero.ru/mp@2x/c2/42/c242a3e4d9bf02b8e4bb6803aa5f2df1.jpg;https://cdn.entero.ru/mp@2x/ca/2e/ca2e9d7ea2478174ef75544ce3f4ded6.jpg;https://cdn.entero.ru/mp@2x/bc/94/bc943aa198363f530da0671e2967aeef.jpg;https://cdn.entero.ru/mp@2x/3f/31/3f31f7c842387bf26bc49bd7bc753133.jpg;https://cdn.entero.ru/mp@2x/ad/de/addeeeefb1cec45e3152a93d0ab48c73.jpg;https://cdn.entero.ru/mp@2x/3f/7a/3f7aa74b1d501010b6ec5bd393e85f97.jpg;https://cdn.entero.ru/mp@2x/8a/3c/8a3c08ef80935ad75b028ce117f341cf.jpg;https://cdn.entero.ru/mp@2x/85/5d/855db20d2d2b9fb5ef0cb891e68266d6.jpg,Миксер планетарный Rosso B5S cake,Миксер планетарный Rosso B5S cake,20321,RUB,Да,Rosso,Профоборудование,Электромеханическое,Миксеры планетарные,https://entero.ru/item/122490,"<p>Планетарный миксер​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122490"">Rosso B5S cake</a> </b>используется на предприятиях общественного питания и торговли для приготовления кремов, теста и соусов. Корпус выполнен из крашенной стали, дежа - из нержавеющей стали.</p>

<p>В комплект поставки входят венчик, крюк и лопатка.</p>",122490,220 В,0.5 кВт,380 мм,240 мм,375 мм,14 кг,Китай,1,450x310x440 мм,0,https://entero.ru/manuals/287558/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rosso%20B5S%20cake.docx;https://entero.ru/manuals/450058/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241244&hash=51f7de6f79a9ee02,13 кг,,настольный,14 кг,белый,,5 л,подъемная траверса,вариатор (плавная регулировка),от 0 до 1000 об/мин.,,
