Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Разновидность
https://cdn.entero.ru/mp@2x/79/92/7992e20ec67f1f55547ba22e927ead0f.jpg;https://cdn.entero.ru/mp@2x/2e/83/2e839e37ced7671f4f45e0e8a43e7b5e.jpg;https://cdn.entero.ru/mp@2x/75/22/75226746b044bd51cfa3e76134fd05f4.jpg;https://cdn.entero.ru/mp@2x/93/1e/931e8b327cd10da3a531e756852ee670.jpg;https://cdn.entero.ru/mp@2x/64/78/64785421374f93995fff77b27589b572.jpg,Открывалка для консервов CanCan 0302.C,Открывалка для консервов CanCan 0302.C,16702,RUB,Да,CanCan,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/122412,"<p>Ручная открывалка для консервов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122412"">CanCan 0302.C</a></b> используется на предприятиях общественного питания. Модель оснащена закаленным винтовым зубчатым колесом, лезвием, удаляющим острые края и металлическую стружку, регулируемым рабочим диапазоном высоты банки и фиксирующим валом. Профиль и лезвие выполнены из алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 40 до 60 банок</li>
<li>Высота банки: до 55 см</li>
</ul>",122412,,,400 мм,120 мм,600 мм,,Турция,,,11,https://entero.ru/manuals/500928/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,2.5 кг,механическая
https://cdn.entero.ru/mp@2x/29/9a/299a2cac7975ff582fbc272f9e2cdf55.jpg;https://cdn.entero.ru/mp@2x/7f/ab/7fab6a03b8c926c485388cd3f48ea86c.jpg,Открывалка для консервных банок ROAL 59 см механическая стационарная,Открывалка для консервных банок ROAL 59 см механическая стационарная,6612,RUB,Да,ROAL,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/279185,"<p>Открывалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/279185""><b class=""b"">ROAL 59 см</b></a> предназначена для открывания жестяных консервных банок на предприятиях общественного питания. Модель устанавливается на кромку столешницы и оснащена поворачивающейся рукояткой. Корпус выполнен из металла.</p>",279185,,,,,,,Китай,,,0,,,,механическая
https://cdn.entero.ru/mp@2x/34/81/3481f5b213fa9dd79f023cdc452ccb5b.jpg,Консервооткрыватель настольный Forcar AV4500,Консервооткрыватель настольный Forcar AV4500,11379,RUB,Да,Forcar,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/314590,"<p>Ручной консервооткрыватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/314590"">Forcar AV4500</a> </b>используется на предприятиях общественного питания для быстрого и безопасного открывания цилиндрических консервных банок. Изделие выполнено из нержавеющей стали.</p>",314590,,,100 мм,230 мм,690 мм,,Италия,,,0,,11978,,механическая
https://cdn.entero.ru/mp@2x/fb/cc/fbcc6ac975cc6b882f9742099edcff08.jpg,Открывалка для консервных банок Tellier O5V55,Открывалка для консервных банок Tellier O5V55,23023,RUB,Да,,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/259664,"<p>Открывалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/259664""><b class=""b"">Tellier O5V55</b></a> предназначена для открытия жестяных консервных банок на предприятиях общественного питания и торговли. Модель оснащена зажимом для крепления к столу. Стержень выполнен из никелированной стали, основание - из стали с эпоксидным покрытием, ручка - из композитного материала.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина стержня: 550 мм</li>
<li>Размер основания: 220х120 мм</li>
</ul>",259664,,,,,,,Франция,,,0,https://entero.ru/manuals/319665/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tellier%20%28%D1%84%D1%80.%29.pdf,24493,2.8 кг,механическая
https://cdn.entero.ru/mp@2x/83/83/8383ab290d40cee33953278bb88f0c6e.jpg,Открывалка для консервных банок MGSteel 70450 37 см,Открывалка для консервных банок MGSteel 70450 37 см,8577,RUB,Да,,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/337675,"<p>Открывалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/337675""><b class=""b"">MGSteel 70450</b></a> предназначена для открытия жестяных консервных банок на предприятиях общественного питания и торговли. Модель оснащена врезным типом крепления и монтируется на стол. Изделие выполнено из нержавеющей стали.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина стержня: 310 мм</li>
<li>Размер основания: 180х100 мм</li>
<li>Вес 1 открывалки: 1,932 кг</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",337675,,,,,370 мм,,Индия,,,0,,,,механическая
https://cdn.entero.ru/mp@2x/c3/e5/c3e53269375545d64b3324d67e081a34.jpg,Открывалка для консервных банок MGSteel 70452 58 см,Открывалка для консервных банок MGSteel 70452 58 см,12143,RUB,Да,,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/337677,"<p>Открывалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/337677""><b class=""b"">MGSteel 70452</b></a> предназначена для открытия жестяных консервных банок на предприятиях общественного питания и торговли. Модель оснащена врезным типом крепления и монтируется на стол. Изделие выполнено из нержавеющей стали.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина стержня: 480 мм</li>
<li>Размер основания: 185х100 мм</li>
<li>Вес 1 открывалки: 3,758 кг</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",337677,,,,,580 мм,,Индия,,,0,,,,механическая
https://cdn.entero.ru/mp@2x/bd/c3/bdc3775191921c12b5698c785343fa5d.jpg;https://cdn.entero.ru/mp@2x/b8/f7/b8f7ea1b6b1d10fb5c5d2e67eb5c9b26.jpg;https://cdn.entero.ru/mp@2x/c3/3c/c33c235c31d493cbcd34fe89ba4a9ff2.jpg;https://cdn.entero.ru/mp@2x/d0/7a/d07aaac7e83d9c909e913ec241a25805.jpg;https://cdn.entero.ru/mp@2x/d3/f0/d3f03d6e9afa12f019880bcb1089154f.jpg;https://cdn.entero.ru/mp@2x/59/da/59dae55abb38102d197dd1c21c648281.jpg;https://cdn.entero.ru/mp@2x/63/7a/637aa9d763ad7357bccf09c5992a8d93.jpg;https://cdn.entero.ru/mp@2x/70/bf/70bfb8a6f9e6aef3b7db56e25e22b545.jpg;https://cdn.entero.ru/mp@2x/b4/b6/b4b674f9f673c18fb52890ea77c5c4d0.jpg;https://cdn.entero.ru/mp@2x/2b/89/2b89238ad0e9980065f74ba6a80a71a9.jpg;https://cdn.entero.ru/mp@2x/09/7f/097fb43e1a5006a731607ec378f8a085.jpg;https://cdn.entero.ru/mp@2x/aa/d4/aad4fc8489d1be032a9163d28f6f3e27.jpg;https://cdn.entero.ru/mp@2x/60/a6/60a6ef56064884a4cd10f7f74e643a73.jpg;https://cdn.entero.ru/mp@2x/6e/cb/6ecb16c90819d32943559debb4385c2b.jpg,Открывалка для консервов CanCan 0703,Открывалка для консервов CanCan 0703,252842,RUB,Нет,CanCan,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/227946,"<p>Электрическая открывалка для консервов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/227946"">CanCan 0703</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена шестеренчатым механизмом и двухсторонним заостренным лезвием. Лезвие выполнено из нержавеющей стали, позволяющей обеспечить чистый рез и отсутствие неровностей и стружки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цилиндрическая зубачатая передача, предотвращающая выскальзывание банок</li>
<li>Поворачивающаяся подставка для круглых банок</li>
<li>Движущаяся подставка для квадратных банок</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 3 до 8 шт/мин.</li>
<li>Диаметр банок:
<ul>
<li>Круглые банки: от 120 до 345 мм</li>
<li>Квадратные: от 130 до 350 мм</li>
</ul>
</li>
</ul>",227946,220 В,0.18 кВт,480 мм,590 мм,850 мм,44.2 кг,Турция,1,560x650x750 мм,0,,,36 кг,электрическая
https://cdn.entero.ru/mp@2x/88/30/883053ead65104d6a839c7cf04073b93.jpg;https://cdn.entero.ru/mp@2x/92/44/9244fd547800203b4f333c2d51def643.jpg;https://cdn.entero.ru/mp@2x/63/4c/634c1d0e01b9b227c9b92d1285e42e3d.jpg;https://cdn.entero.ru/mp@2x/87/c3/87c38d3030a2a0af3e09b2fea60b3231.jpg;https://cdn.entero.ru/mp@2x/46/18/4618719b36d211dbaf9cc39d2a9d9abd.jpg,"Консервооткрыватель Kocateq 336-2 ручной, настольный с креплением струбциной",336-2 ITALIAN CLAMER,8004,RUB,Нет,Kocateq,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/194389,"<p>Ручной консервооткрыватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194389""><b class=""b"">Kocateq 336-2 </b></a>используется на предприятиях общественного питания для быстрого и безопасного открывания цилиндрических консервных банок. Модель оснащена заостренным ножом, струбциной для крепления к столу и фиксации на необходимой высоте, а также удобной откидной рукояткой с червячным механизмом. Основная часть корпуса выполнена из литого чугуна, крепление – из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная высота банки: 620 мм</li>
<li>Габариты в упаковке: 650х200х90 мм</li>
</ul>

<p> </p>

<p> </p>",194389,,,,,,,Ю. Корея,,,0,https://entero.ru/manuals/226804/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Koreco_Kocateq%202019_2020.pdf,,,механическая
https://cdn.entero.ru/mp@2x/5d/37/5d37bfe6b607e82258a672be55180fcb.jpg,Открывалка для консервов Paderno 49814-00,30632,292843,RUB,Нет,Paderno,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/210632,"<p>Открывалка для консервов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210632""><b class=""b"">Paderno 49814-00</b></a> используется на кухнях ресторанов и предприятий общественного питания. Лезвие и колесо выполнены из закаленной стали, обеспечивающей защиту от окисления.</p>

<p><b>Особености:</b></p>

<ul>
<li>Возможность открывания жестяных банок любой формы</li>
<li>2 скорости работы</li>
<li>Вертикальное смещение осуществляется с помощью поршневого насоса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: золотистый</li>
<li>Рекомендуемая загрузка машины: 200-500 упаковок/ в день</li>
<li>Производительность: 30-40шт/час(по 5кг упаковка)</li>
<li>Высота банки: от 50 до 270 мм</li>
</ul>

<p> </p>",210632,220 В,0.18 кВт,440 мм,250 мм,750 мм,,Италия,,,0,,305045,13 кг,электрическая
https://cdn.entero.ru/mp@2x/b9/25/b92596313e02c4036283c07e0b683149.jpg,Открывалка для консервных банок MGSteel 70451 42 см,Открывалка для консервных банок MGSteel 70451 42 см,9788,RUB,Нет,,Профоборудование,Электромеханическое,Открывалки для консервов,https://entero.ru/item/337676,"<p>Открывалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/337676""><b class=""b"">MGSteel 70451</b></a> предназначена для открытия жестяных консервных банок на предприятиях общественного питания и торговли. Модель оснащена врезным типом крепления и монтируется на стол. Изделие выполнено из нержавеющей стали.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина стержня: 340 мм</li>
<li>Размер основания: 180х100 мм</li>
<li>Вес 1 открывалки: 3,454 кг</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",337676,,,,,420 мм,,Индия,,,0,,,,механическая
