Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Скорость вращения
https://cdn.entero.ru/mp@2x/dd/e9/dde904295cac23e7838f5f902a2d6dde.jpg,Рыбочистка Koneteollisuus Oy (KT) S,KT-S / 080704-013-001,94467,RUB,Да,Koneteollisuus Oy (KT),Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/19831,"<p>Рыбочистка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19831""><b class=""b"">Koneteollisuus Oy (KT)​ S</b></a> используется на предприятиях пищевой промышленности и торговли. Модель оснащена защитной изоляцией и защитой от водяных брызг. Гибкий вал имеет четырехслойную оплетку, состоящую из 2 стальных оболочек: изоляционной и пластиковой. Все наружные части выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электродвигатель с безостановочным многочасовым использованием</li>
<li>Подключение как с заземлением, так и без</li>
<li>Шарикоподшипники рукоятки с гидроизоляцией</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Крышка из полиакрила (840х500х290 мм)</li>
</ul>",19831,электрическая,220 В,0.18 кВт,240 мм,190 мм,230 мм,13 кг,1,360x360x420 мм,39,,98403,,11 кг,Финляндия,,,
https://cdn.entero.ru/mp@2x/48/05/4805111f9e044ce763e5cd4057e38e9e.jpg,Рыбочистка ТОРГМАШ (Пермь) РЧ-30М,342791,58438,RUB,Да,ТОРГМАШ (Пермь),Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/187177,"<p>Рыбочистка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187177""><b class=""b"">ТОРГМАШ РЧ-30М</b></a> используется на предприятиях общественного питания и торговли для очистки чешуйчатых пород рыб от чешуи. Модель состоит из приводного механизма для приведения в действие насадки-рыбочистки и самой насадки для очистки рыб. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота вращения скребка: 1500 об/мин.</li>
<li>Длина троса: 1605 мм</li>
<li>Длина троса с рукоятью и скребком: 1780 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Защитный кожух</li>
</ul>",187177,электрическая,220 В,0.18 кВт,296 мм,206 мм,240 мм,12 кг,1,385x330x340 мм,0,https://entero.ru/manuals/217618/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%9E%D0%A0%D0%93%D0%9C%D0%90%D0%A8%20%D0%A0%D0%A7-30%D0%9C.pdf;https://entero.ru/manuals/217619/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B4%D0%B5%D1%82%D0%B0%D0%BB%D0%B5%D0%B9%20%D0%B4%D0%BB%D1%8F%20%D0%A2%D0%9E%D0%A0%D0%93%D0%9C%D0%90%D0%A8%20%D0%A0%D0%A7-30%D0%9C.pdf;https://entero.ru/manuals/217620/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpeg,62837,https://vk.com/video_ext.php?oid=-177656185&id=456240523&hd=2&autoplay=0,11 кг,Россия,Россия,30 кг/час,
https://cdn.entero.ru/mp@2x/af/8c/af8c83d6de6b5deba21ab3fc7e252bee.jpg,Рыбочистка беспроводная Crazy Pan CP-FS02W желтая,Рыбочистка беспроводная Crazy Pan CP-FS02W желтая,7303,RUB,Да,,Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/150494,"<p>Беспроводная рыбочистка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/150494""><b class=""b"">Crazy Pan CP-FS02W</b></a> используется на предприятиях общественного питания и торговли для очистки рыб от чешуи. Изделие выполнено из пластика.</p>

<p>В комплект поставки входят 2 насадки-ножа, подходящие для чистки даже судака и окуня.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Емкость элемента питания: 8800 мА*ч</li>
<li>Напряжение: 16,8 В</li>
<li>Размеры в упаковке: 280x130x120 мм</li>
<li>Цвет: желтый</li>
</ul>",150494,аккумуляторная,,0.12 кВт,55 мм,60 мм,280 мм,,,,0,https://entero.ru/manuals/414227/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-FS02W%20%D0%B6%D0%B5%D0%BB%D1%82%D0%B0%D1%8F.docx,,,0.8 кг,,Китай,,5000 об/мин.
https://cdn.entero.ru/mp@2x/85/ab/85ab6dd587c5bb3645c7d5bb8c96acb7.jpg,Рыбочистка беспроводная Crazy Pan CP-FS02W красная,CP-FS02WRED,7303,RUB,Да,,Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/193070,"<p>Беспроводная рыбочистка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193070""><b class=""b"">Crazy Pan CP-FS02W</b></a> используется на предприятиях общественного питания и торговли для очистки рыб от чешуи. Изделие выполнено из пластика.</p>

<p>В комплект поставки входят 2 насадки-ножа, подходящие для чистки даже судака и окуня.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Емкость элемента питания: 8800 мА*ч</li>
<li>Напряжение: 16,8 В</li>
<li>Размеры в упаковке: 280x130x120 мм</li>
<li>Цвет: красный</li>
</ul>",193070,аккумуляторная,,0.12 кВт,55 мм,60 мм,280 мм,,,,0,https://entero.ru/manuals/414226/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-FS02W%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F.docx,,,0.8 кг,,Китай,,5000 об/мин.
https://cdn.entero.ru/mp@2x/8e/6d/8e6d4d003678a63b09f2a1d92007cb9c.jpg;https://cdn.entero.ru/mp@2x/6d/a5/6da5b89ab064f888b09e16d505ca0c04.jpg;https://cdn.entero.ru/mp@2x/5f/a5/5fa57e52a81f301e6db4fdeada06531a.jpg,Рыбочистка электрическая Crazy Pan CP-FS01 черная,CP-FS01BLK,6168,RUB,Нет,,Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/193213,"<p>Электрическая рыбочистка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193213""><b class=""b"">Crazy Pan CP-FS02W</b></a> используется на предприятиях общественного питания и торговли для очистки рыб от чешуи. Изделие выполнено из пластика.</p>

<p>В комплект поставки входят 2 насадки-ножа, подходящие для чистки даже судака и окуня.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры в упаковке: 280x130x120 мм</li>
<li>Цвет: черный</li>
</ul>",193213,электрическая,220 В,0.12 кВт,55 мм,60 мм,280 мм,,,,0,https://entero.ru/manuals/225660/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-FS01%20%D1%87%D0%B5%D1%80%D0%BD%D0%B0%D1%8F.docx,7710,,0.75 кг,,Китай,,5000 об/мин.
https://cdn.entero.ru/mp@2x/96/da/96dafa905090f8535fc9c97b55b9ebb8.jpg;https://cdn.entero.ru/mp@2x/bb/37/bb37a7ef702305aa8a6c3d6d3c1dd77d.jpg,Неопресс механической обвалки рыбы Roal Meat RMCR-1000S,Неопресс механической обвалки рыбы Roal Meat RMCR-1000S,573345,RUB,Нет,,Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/265978,"<p>Неопресс механической обвалки рыбы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265978"">Roal Meat RMCR-1000S</a></b> используется на предприятиях общественного питания для механического отделения мяса рыбы от костей и изготовления фарша. Модель оснащена прессовочным барабаном, отводящим отверствием, перфорированной мяльной лентой и 4 колесиками для удобного перемещения. Изделие выполнено из нерщавеющей стали SUS304, лента - из специальной износостойкой и элестичной резины, детали соприкасающиеся с продуктом - из пищевой нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка натяжения ленты для разного сырья</li>
<li>Съёмные рабочие элементы для удобной очистки и мойки оборудования</li>
<li>Для управления оборудованием требуется 1 оператор</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина ремня: 20 мм</li>
<li>Длина ремня: 1450 мм</li>
<li>Ширина пояса: 355 мм</li>
<li>Диаметр ролика: 219 мм</li>
<li>Толщина ролика: 8 мм</li>
</ul>",265978,,380 В,4 кВт,1200 мм,900 мм,1100 мм,,,,0,https://entero.ru/manuals/329677/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roal%20Meat%20RMCR-350.pdf,603521,,750 кг,,Китай,1000 кг/час,
https://cdn.entero.ru/mp@2x/46/22/462245ef8326cc1145cc51f44f37137a.jpg;https://cdn.entero.ru/mp@2x/c9/af/c9afe257fce6cf683b3d7994597addf8.jpg,Неопресс механической обвалки рыбы Roal Meat RMCR-350S,Неопресс механической обвалки рыбы Roal Meat RMCR-350S,415828,RUB,Нет,,Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/279149,"<p>Неопресс механической обвалки рыбы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/279149"">Roal Meat RMCR-350S</a></b> используется на предприятиях пищевой промышленности и общественного питания для отделения мяса рыбы от костей и изготовления фарша. Модель оснащена прессовочным барабаном, отводящим отверствием и перфорированной мяльной лентой. Корпус выполнен из нержавеющей стали SUS 304, лента – из специальной износостойкой эластичной резины, детали соприкасающиеся с продуктом – из пищевой нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручная регулировка натяжения ленты для разного сырья</li>
<li>Съемные рабочие элементы для удобства очистки и мойки</li>
<li>Колеса для легкой транспортировки</li>
<li>Простота эксплуатации при участии 1 оператора</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина ремня: 20 мм</li>
<li>Длина ремня: 1450 мм</li>
<li>Ширина пояса: 305 мм</li>
<li>Диаметр ролика: 219 мм</li>
<li>Толщина ролика: 8 мм</li>
</ul>",279149,электрическая,380 В,3 кВт,900 мм,750 мм,1250 мм,,,,0,https://entero.ru/manuals/344231/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roal%20Meat%20RMCR-300.pdf,,,250 кг,,Китай,от 300 до 360 кг/час,
https://cdn.entero.ru/mp@2x/6d/e6/6de69c5c9a5f30a077b94950c906d5ab.jpg,Крышка для рыбочистки Koneteollisuus Oy (KT) S,Крышка для рыбочистки Koneteollisuus Oy (KT) S,23277,RUB,Да,Koneteollisuus Oy (KT),Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/33046,"<p>Крышка используется совместно с рыбочисткой <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33046""><b class=""b"">Koneteollisuus Oy (KT) S</b></a>. Прозрачный полусферический аксессуар выполнен из полиакрила.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты: 840x500х290 мм</li>
<li>Вес: 1кг</li>
</ul>",33046,,,,,,,,,,51,,,,,,,,
https://cdn.entero.ru/mp@2x/dc/8a/dc8a4b47fa0e5a5db2aa496c547810b1.jpg,Мяльная лента Roal Meat для RMCR-1000,Мяльная лента Roal Meat для RMCR-1000,51875,RUB,Нет,,Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/266279,"<p>Мяльная лента <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266279""><b class=""b"">Roal Meat</b></a> используется совместно с неопрессом механической обвалки рыбы RMCR-1000S на предприятиях общественного питания для механического отделения мяса рыбы от костей и изготовления фарша. Изделие выполнено из полиуретана или неопрена высокой твёрдости.<br>
</p>

<p>Характеристики</p>

<ul>
<li>Размер: 355x1450x20 мм</li>
</ul>",266279,,,,,,,,,,0,,54036,,,,,,
https://cdn.entero.ru/mp@2x/19/2c/192c03a5c80d86605e7d7f90f8336810.jpg,Мяльная лента Roal Meat для RMCR-200,Мяльная лента Roal Meat для RMCR-200,28604,RUB,Нет,,Профоборудование,Электромеханическое,Рыбочистки,https://entero.ru/item/324785,"<p>Мяльная лента <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/324785""><b class=""b"">Roal Meat</b></a> используется совместно с неопрессом механической обвалки рыбы RMCR-200 на предприятиях общественного питания для механического отделения мяса рыбы от костей и изготовления фарша. Изделие выполнено из полиуретана или неопрена высокой твёрдости.</p>",324785,,,,,,,,,,0,,,,,,,,
