Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Вес (с упаковкой),Цвет,Материал корпуса,Разновидность,Скорость вращения,Использование,Принцип работы,Напольная
https://cdn.entero.ru/mp@2x/4a/e2/4ae2a85af715d73e1a0c6e5d343e6102.jpg,"Соковыжималка для цитрусовых Sirman APOLLO Y15 CE (рычаг, микровыключатель) хром",36098 / APOLLO (РЫЧАГ) Y15 CE ХРОМ С МИКРОПЕРЕКЛ. / APOLLO рычаг с микровыключателем,34467,RUB,Да,Sirman,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/189381,"<p>Соковыжималка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/189381""><b class=""b"">Sirman APOLLO Y15 CE</b></a> используется на предприятиях общественного питания и торговли для приготовления натурального сока из лимона, апельсина, грейпфрута и других цитрусовых фруктов. Модель оснащена рычагом для предотвращения контакта с продуктом и микровыключателем, автоматически запускающим двигатель при нажатии на корпус. Рабочая емкость выполнена из хромированного пластика, чаша - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Корпус без углов и швов для облегчения чистки</li>
<li>Рабочая емкость и чаша легко снимаются и моются в посудомоечной машине</li>
<li>4 резиновые ножки</li>
<li>Защита оператора CE</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 280x380x330 мм</li>
</ul>",189381,220 В,0.15 кВт,210 мм,265 мм,330 мм,4.5 кг,Италия,1,280x380x330 мм,0,https://entero.ru/manuals/220187/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20APOLLO%20%28%D1%80%D1%8B%D1%87%D0%B0%D0%B3%29%20Y15%20CE%20%D1%85%D1%80%D0%BE%D0%BC.pdf;https://entero.ru/manuals/419653/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20APOLLO.pdf;https://entero.ru/manuals/419654/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/419655/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,37464,,3.5 кг,,,металл,"хром, пластик",электрическая,320 об/мин.,для цитрусовых,,
https://cdn.entero.ru/mp@2x/da/95/da950ff7c4960a8285c18eef12d2201d.jpg,Соковыжималка для цитрусовых GASTRORAG SJ-CJ6,Соковыжималка для цитрусовых GASTRORAG SJ-CJ6,22820,RUB,Да,GASTRORAG,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/40821,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40821"">GASTRORAG SJ-CJ6</a></b> предназначена для приготовления натурального сока из различных видов цитрусовых на предприятиях общественного питания и торговли. Модель оснащена прижимным рычагом и мультиконусом для разных видов цитрусовых. Чаша выполнена из нержавеющей стали.</p>",40821,220 В,0.23 кВт,287 мм,212 мм,396 мм,,Китай,,,0,https://entero.ru/manuals/65180/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20GASTRORAG%20SJ-CJ6.pdf;https://entero.ru/manuals/116368/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20GASTRORAG.pdf,,,11.2 кг,,,металл,алюминий,электрическая,1450 об/мин.,для цитрусовых,,
https://cdn.entero.ru/mp@2x/6b/70/6b70b1d7f9f7228386ca1764bbba7363.jpg;https://cdn.entero.ru/mp@2x/ca/a9/caa98a738a04c1b797e2923ba0e194e0.jpg;https://cdn.entero.ru/mp@2x/e4/99/e499c3192bc1152a5b4c82e1b818c4d6.jpg;https://cdn.entero.ru/mp@2x/52/1e/521ec5f65bae4f073f469cc6b0d1d577.jpg;https://cdn.entero.ru/mp@2x/60/dc/60dce1b70a59a3bf5d33b8f4c1a34345.jpg;https://cdn.entero.ru/mp@2x/17/ec/17ec8d6d690f6d154bc2af988988725d.jpg,Соковыжималка универсальная Robot Coupe J 80,56000B J80,189443,RUB,Да,Robot Coupe,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/287135,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/287135"">Robot Coupe J 80</a></b> используется на предприятиях общественного питания и торговли для отжима и получения сока. Модель оснащена запатентованной автоматической воронкой для загрузки фруктов и овощей с возможностью работы без толкателя. Моторный блок, чаша, корзина и корпус устройства изготовлены из нержавеющей стали.</p>

<p>В комплект поставки входят контейнер для сбора жмыха и поддон для капель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокая скорость приготовления (1 стаканс за 6 секунд)</li>
<li>Автоматический выброс жмыха в контейнер с полупрозрачными стенками для контроля уровеня заполнения ёмкости</li>
<li>Поддон для капель, устанавливаемый под выбрасывающее отверстие, помогает поддерживать рабочее место в идеальной чистоте</li>
<li>Особая форма носика предотвращает разбрызгивание сока</li>
<li>Корзина и тёрочный диск не забиваются, быстро снимаются без использования дополнительных инструментов и легко моются</li>
<li>Низкий уровень шума позволяет использовать оборудование прямо перед клиентом</li>
<li>Асинхронный двигатель промышленного назначения</li>
<li>Магнитная система защиты и торможение двигателем</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 120 л/час</li>
<li>Диаметр воронки: 79 мм</li>
<li>Полезная высота под носиком: 154 мм</li>
<li>Объем контейнера для жмыха: 6,5 л</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Диск-терка <a href=""https://entero.ru/item/40022"">39911</a></li>
<li>Комплект аксессуаров 4<a href=""https://entero.ru/item/187946"">9230</a></li>
</ul>",287135,220 В,0.7 кВт,235 мм,538 мм,506 мм,13 кг,Франция,1,400x600x650 мм,17,https://entero.ru/manuals/350978/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Robot%20Coupe%20J%2080.pdf;https://entero.ru/manuals/350979/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Robot%20Coupe%20J%2080.pdf;https://entero.ru/manuals/412350/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Robot%20Coupe%20J%2080.pdf;https://entero.ru/manuals/350977/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D1%81%D0%BE%D0%BA%D0%BE%D0%B2%D1%8B%D0%B6%D0%B8%D0%BC%D0%B0%D0%BB%D0%BA%D0%B8%20Robot%20Coupe.pdf;https://entero.ru/manuals/412351/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B5%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8.pdf;https://entero.ru/manuals/410010/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2.pdf;https://entero.ru/manuals/412352/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Robot%20Coupe%202024.pdf;https://entero.ru/manuals/501559/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,205916,https://vk.com/video_ext.php?oid=-177656185&id=456240105&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240908&hash=3727f6ce359f55ec;https://vk.com/video_ext.php?oid=-177656185&id=456240910&hash=b63c61f05829423d;https://vk.com/video_ext.php?oid=-177656185&id=456240907&hash=1a24a26efddc57b6;https://vk.com/video_ext.php?oid=-177656185&id=456240909&hash=ba0515dafadee85f,11 кг,,,"нерж. сталь, черный",нерж. сталь,электрическая,3000 об/мин.,универсальная,центробежная,
https://cdn.entero.ru/mp@2x/ce/79/ce797e00f34afe71d6c9f0698eae8f2d.jpg;https://cdn.entero.ru/mp@2x/c8/56/c856763836bafb5e293ec8842694b22f.jpg;https://cdn.entero.ru/mp@2x/43/83/4383ad5c1222ec2daeb9d8f6ab821954.jpg;https://cdn.entero.ru/mp@2x/e3/ff/e3ff613f657391601f0b26993bd8bbe5.jpg;https://cdn.entero.ru/mp@2x/6d/e5/6de5d8189eb9702ae1e251655721c88c.jpg,Соковыжималка универсальная Robot Coupe J 80 Buffet,56200B,217718,RUB,Да,Robot Coupe,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/127158,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127158"">Robot Coupe J 80 Buffet</a></b> используется на предприятиях общественного питания и торговли, а также в офисах и отелях для отжима и получения сока. Модель оснащена запатентованной автоматической воронкой для загрузки фруктов и овощей с возможностью работы без толкателя и удлиненным носиком с функцией анти-разбрызгивания для простоты использования при самообслуживании. Моторный блок и чаша выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Контейнер для жмыха 6,5 л</li>
<li>Поддон для капель XL</li>
<li>2 носика: короткий для графинов и длинный для стаканов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Не нагревает ингредиенты, тем самым сохраняя питательные вещества и антиоксиданты</li>
<li>Мощный и бесшумный мотор позволяет использовать аппарат прямо перед посетителями</li>
<li>Наклонное основание для оптимального слива сока</li>
<li>Для снятия корзинки не требуются дополнительные инструменты</li>
<li>Идеально подходит для самообслуживания</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота под носиком: 172 мм</li>
<li>Диаметр воронки для загрузки: 79 мм</li>
</ul>",127158,220 В,0.7 кВт,262 мм,566 мм,595 мм,13 кг,Франция,1,400x580x600 мм,0,https://entero.ru/manuals/410011/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Robot%20Coupe%20J%2080%20Buffet.pdf;https://entero.ru/manuals/410014/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Robot%20Coupe%20J%2080%20Buffet.pdf;https://entero.ru/manuals/412353/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Robot%20Coupe%20J%2080%20Buffet.pdf;https://entero.ru/manuals/138768/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D1%81%D0%BE%D0%BA%D0%BE%D0%B2%D1%8B%D0%B6%D0%B8%D0%BC%D0%B0%D0%BB%D0%BA%D0%B8%20Robot%20Coupe.pdf;https://entero.ru/manuals/410013/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%D0%BD%D0%B0%20Robot%20Coupe%20J%2080%20Buffet.pdf;https://entero.ru/manuals/410012/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2.pdf;https://entero.ru/manuals/412354/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Robot%20Coupe%202024.pdf;https://entero.ru/manuals/501560/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240192&hd=2&autoplay=0,11 кг,,,"нерж. сталь, черный",нерж. сталь,электрическая,3000 об/мин.,универсальная,центробежная,
https://cdn.entero.ru/mp@2x/8a/67/8a67be5a8a8c41f15eb2ada1193325ca.jpg;https://cdn.entero.ru/mp@2x/78/ec/78ec51b26a9d2e945e78e33d7156cc24.jpg,Cоковыжималка универсальная RGV INDUSTRIAL JUICER,Cоковыжималка универсальная RGV INDUSTRIAL JUICER,18159,RUB,Да,RGV,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/111794,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/111794"">RGV Industrial Juicer</a> </b>используется на предприятиях общественного питания и торговли для приготовления натуральных соков, коктейлей, пюре из фруктов, овощей, ягод и других продуктов. Система низких скоростей позволяет сохранить все питательные вещества и свежесть ингредиентов, натуральный цвет и вкус. Сито-фильтр выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Большая загрузочная воронка</li>
<li>5 скоростей</li>
<li>Режим пульсации</li>
<li>Панель управление Touch-screen</li>
<li>Возможно мытье в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр жерла: 75 мм</li>
</ul>",111794,220 В,0.8 кВт,300 мм,250 мм,410 мм,5 кг,Китай,1,365x270x430 мм,8,https://entero.ru/manuals/320371/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RGV%20INDUSTRIAL%20JUICER%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/320372/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20RGV%20INDUSTRIAL%20JUICER%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/320373/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RGV%20INDUSTRIAL%20JUICER%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,3.6 кг,,,нерж. сталь,пластик,электрическая,от 8000 до 18000 об/мин.,универсальная,центробежная,
https://cdn.entero.ru/mp@2x/31/fd/31fd4e6ebeb1f41012518a0d7a47354f.jpg;https://cdn.entero.ru/mp@2x/0a/5d/0a5d15870df7490da2823741dac3bb36.jpg;https://cdn.entero.ru/mp@2x/94/3e/943e152e62f1228c6fece15d142c7754.jpg;https://cdn.entero.ru/mp@2x/22/40/2240f78a5403e2ee429200915ff30fe5.jpg;https://cdn.entero.ru/mp@2x/93/ce/93cea5dc48dd2152373bb99a0783d88a.jpg;https://cdn.entero.ru/mp@2x/ee/2c/ee2cd8f5d9fed9ccb6bcb61a54c38e20.jpg;https://cdn.entero.ru/mp@2x/e0/af/e0af30454a06561d53ca3c7f41dc14e9.jpg;https://cdn.entero.ru/mp@2x/5c/31/5c3151c8a9ce7eaea9214781ae1f6460.jpg;https://cdn.entero.ru/mp@2x/0f/2b/0f2b914bcd74ebe7f1b8442323e52d6c.jpg,Соковыжималка для цитрусовых Vema SP 2072 LL,SP 2072/LL / 23601,71341,RUB,Да,Vema,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/53047,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/53047"">Vema SP 2072 LL</a> </b>предназначена для приготовления натурального сока из различных видов цитрусовых на предприятиях общественного питания и торговли. Благодаря своим размерам она может устанавливаться непосредственно на стойку бармена, позволяя приготовить восхитительный свежий фреш на глазах у клиента. Корпус выполнен из хромированного ABS-пластика, рабочая камера и верхняя крышка выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят выжимной конус и сито из нржавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая система управления</li>
<li>Система прямой подачи сока</li>
<li>Снимаемая рабочая камера</li>
<li>Рычаг пресса</li>
<li>4 резиновые ножки</li>
</ul>",53047,220 В,0.45 кВт,200 мм,310 мм,520 мм,10 кг,Италия,1,300x420x630 мм,9,https://entero.ru/manuals/279555/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vema%20SP%202072%20LL.pdf;https://entero.ru/manuals/507904/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,76711,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241492&hash=56b3cfd81d6a914e,8 кг,,,металл,"пластик, хром",электрическая,900 об/мин.,для цитрусовых,центробежная,
https://cdn.entero.ru/mp@2x/96/95/9695bdc9df0f925c9eb7aa69828dda21.jpg,Соковыжималка для гранатов CanCan CC.MP03,CC.MPO03 для гранатов,17242,RUB,Да,CanCan,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/72501,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72501"">CanCan CC.MP03</a></b> используется в кафе, барах, заведениях быстрого питания и в домашних условиях для получения свежего сока из гранатов, апельсинов, грейпфрутов, мандаринов и лимонов. Прибор выполнен в виде пресса с вертикальным ходом рабочей поверхности. Модель оснащена ручным рычагом, приводящим в действие пресс-вал, и каплесборником. Чаша изготовлена из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Верхний пресс специальной формы для увеличения количества получаемого сока</li>
<li>Благодаря большому размеру чаши подходит для отжима крупных цитрусовых, таких, как грейпфруты</li>
<li>Два поворота рычага для полного отжима одного фрукта</li>
<li>Широкая чаша и стандартное расстояние между верхним прессом и фильтром упрощает процесс получения сока и позволяет использовать фрукты разных размеров</li>
<li>Фильтр с дополнительными отверстиями повышает выход сока и уменьшает пропускание осадка</li>
<li>Держатель для стакана предотвращает пролитие напитка</li>
<li>Резиновые ножки предотвращают скольжение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр чаши, фильтра и пресс-вала: 115 мм</li>
<li>Производительность: 50 кг/ч</li>
<li>Внешняя нагрузка: 90 кг</li>
</ul>",72501,,,200 мм,300 мм,550 мм,6 кг,Турция,1,220x330x560 мм,11,https://entero.ru/manuals/285821/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CanCan%20CC.MP03.pdf;https://entero.ru/manuals/285822/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20CanCan%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/504980/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,18741,,6 кг,,,черный,,механическая,,для цитрусовых,,
https://cdn.entero.ru/mp@2x/e7/ff/e7ffa5aa0bce753def466bb0e08ecad8.jpg,Соковыжималка для цитрусовых Macap P206 серая,P206 C10,44283,RUB,Да,Macap,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/32091,"<p>Автоматическая соковыжималка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32091""><b class=""b"">Macap P206</b></a> предназначена для приготовления сока из лимонов, апельсинов, грейпфрутов и пр. цитрусовых на предприятиях общественного питания и торговли. Модель оснащена прижимным механизмом. Чаша, съемные сито и конусная насадка выполнены из нержавеющей стали.</p>",32091,220 В,0.34 кВт,220 мм,310 мм,350 мм,11 кг,Италия,1,260x350x385 мм,6,https://entero.ru/manuals/358555/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Macap.pdf,47110,,9 кг,,,"серый, нерж. сталь, серебряный, металл",,электрическая,от 1400 до 1680 об/мин.,для цитрусовых,,
https://cdn.entero.ru/mp@2x/30/22/302280e8385b20cdf51afa671744f4c8.jpg,Соковыжималка универсальная Vema CE 2083 L,CE 2083/L / CE2083L / CE2083 / D3277,127051,RUB,Да,Vema,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/25802,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25802"">Vema CE 2083 L</a></b> используется на предприятиях общественного питания и торговли для приготовления сока из овощей и фруктов. Устройство позволяет в сжатые сроки без особых усилий получить свежевыжатый сок, который в последующем можно использовать для приготовления коктейлей, муссов, десертов и других блюд. Корпус выполнен из полированного алюминия, рабочая камера – из нержавеющей стали, что значительно продлевает срок службы.</p>

<p>В комплект поставки входит емкость для сбора мусора.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Панель управления</li>
<li>Система прямой подачи сока</li>
<li>Автоматический выброс мякоти в специальную емкость</li>
<li>Функция блокировки двигателя</li>
<li>Съемная крышка из поликарбоната</li>
<li>Кнопка включения / выключения питания</li>
<li>Ёмкость для сбора отходов</li>
<li>4 резиновые ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 5 кг/ч</li>
<li>Диаметр загрузочного отверстия: 42 мм</li>
</ul>",25802,220 В,0.4 кВт,270 мм,450 мм,550 мм,16 кг,Италия,1,300x500x570 мм,0,https://entero.ru/manuals/416858/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vema%20CE%202083%20L.pdf;https://entero.ru/manuals/507905/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240076&hd=2&autoplay=0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241492&hash=56b3cfd81d6a914e,14 кг,,,металл,алюминий,электрическая,2800 об/мин.,универсальная,центробежная,
https://cdn.entero.ru/mp@2x/43/f9/43f982a4312569b8e01bf2b8f651fef1.jpg;https://cdn.entero.ru/mp@2x/c8/90/c890c4cb928fc40a8ee89637c09f3e12.jpg;https://cdn.entero.ru/mp@2x/5c/d8/5cd8e4634d038a19ffa7e353ebf554d9.jpg;https://cdn.entero.ru/mp@2x/9c/9a/9c9a00eda1d65bbaf8311a6648c8f9fb.jpg;https://cdn.entero.ru/mp@2x/06/fe/06fef9203c24d7e6ee105754923bdad2.jpg;https://cdn.entero.ru/mp@2x/5b/0b/5b0b9e79aa5621974f67a4964d336595.jpg;https://cdn.entero.ru/mp@2x/85/51/85516a02eea83918b9a11b56127e7bd3.jpg;https://cdn.entero.ru/mp@2x/06/8f/068f81d85b08c70f41f5dacd1ee1503b.jpg;https://cdn.entero.ru/mp@2x/cf/d0/cfd07dbc53cccf550a5665ae790f1b05.jpg;https://cdn.entero.ru/mp@2x/f0/ec/f0ecc3411693832462284935e91eeaeb.jpg;https://cdn.entero.ru/mp@2x/7f/f1/7ff1f22c2acf033d992d7cc46a2409f6.jpg;https://cdn.entero.ru/mp@2x/89/a6/89a66443e5ea184cd13614e719179d8c.jpg;https://cdn.entero.ru/mp@2x/48/2a/482a6139be1630a3625dab66a895898b.jpg;https://cdn.entero.ru/mp@2x/a8/77/a8772debea91b2c0e367b7f801ab93e1.jpg,Соковыжималка для цитрусовых Bork Z800,Z-800,29000,RUB,Да,Bork,Профоборудование,Электромеханическое,Соковыжималки,https://entero.ru/item/362064,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/362064"">Bork Z800</a></b> используется для изготовления сока из всех видов цитрусовых фруктов в домашних условиях и на предприятиях общественного питания. Модель оснащена асинхронным двигателем с плавным запуском и имеет защиту от перегрузки. Литой корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 фильтра для мякоти и крышка, предохраняющая от пыли.</p>

<p><b>Особенности:</b></p>

<ul>
<li>1 скорость</li>
<li>Уникальное сочетание мощного механического пресса и электрического привода</li>
<li>Непрерывное время работы</li>
<li>Размер и форма конуса способствуют извлечению сока до последней капли</li>
<li>Функция «Капля-стоп»</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 370х260х450 мм</li>
<li>Длина сетевого шнура: 1,05 м</li>
</ul>",362064,220 В,от 1 до 1.2 кВт,180 мм,230 мм,450 мм,8 кг,Китай,1,370x260x450 мм,11,https://entero.ru/manuals/483826/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bork%20Z800.pdf,,,,,,серебряный,нерж. сталь,электрическая,60 об/мин.,для цитрусовых,,
