Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Назначение,Управление,Скорость
https://cdn.entero.ru/mp@2x/20/eb/20ebbda90049cd103b19a6a395f4dda8.jpg;https://cdn.entero.ru/mp@2x/20/0d/200de754144fbb9ac87c793769166dd6.jpg,Сыротерка Sirman GP,СП021657 GP MN,33541,RUB,Да,Sirman,Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/33171,"<p>Сыротерка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33171"">Sirman GP</a></b> используется на предприятиях общественного питания и торговли для натирания твёрдых сыров, сухарей или орехов. Модель оснащена терочным цилиндром, выключателем с защитой от коротких замыканий при попадании на него влаги и механической защитой отверстий.</p>

<p><em>Только для твердых сортов сыра, прибор трет сыр очень мелко - в пыль!</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Отполированный корпус из отлитого под давлением алюминия</li>
<li>Тёрочный валик из обработанной стали</li>
<li>4 резиновые ножки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры горловины для загрузки: 110х65 мм</li>
<li>Габариты в упаковке: 430x310x290 мм</li>
</ul>",33171,сыротерка,220 В,0.38 кВт,290 мм,250 мм,450 мм,10 кг,1,430x310x320 мм,12,https://entero.ru/manuals/46671/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20GP.pdf;https://entero.ru/manuals/419798/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20GP.pdf;https://entero.ru/manuals/46672/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%20GP.jpg;https://entero.ru/manuals/419799/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/72846/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,8 кг,Италия,Италия,,для твердых сыров,электрическое,1400 об/мин.
https://cdn.entero.ru/mp@2x/4f/03/4f039137c28be03042458c00e7f70dbf.jpg;https://cdn.entero.ru/mp@2x/40/47/4047367e2e5124ade767768de7ad92e4.jpg;https://cdn.entero.ru/mp@2x/2e/9c/2e9cf8e59a0b0ed374ff0772b03066b8.jpg;https://cdn.entero.ru/mp@2x/a1/05/a1056aa8c58af297c5a06ed02997420a.jpg,Сыротерка Fama TMC FTMC 102,TMC (FTMC 102) 220В,91691,RUB,Да,Fama,Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/39862,"<p>Сыротерка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/39862"">Fama TMC FTMC 102</a> </b>используется на предприятиях общественного питания и торговли для нарезки овощей ломтиками и натирания сыра мягких сортов, таких как моцарелла. Корпус выполнен из нержавеющей стали AISI 304, бункер и лоток - из стали.</p>

<p>В комплект поставки входит терка-конус 7 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Асинхронный двигатель</li>
<li>Предохранительный микровыключатель</li>
<li>Настольная установка</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Терка-конус 2,5 мм</li>
<li>Терка-конус 4 мм</li>
<li>Нож конический 2 мм</li>
</ul>",39862,сыротерка,220 В,0.75 кВт,420 мм,220 мм,440 мм,19.8 кг,1,480x300x520 мм,0,,99664,,18 кг,Италия,Италия,50 кг/час,для мягких сыров,,1400 об/мин.
https://cdn.entero.ru/mp@2x/a5/27/a5273fe3f38a27199f75c06ecf77a66d.jpg,Сыротерка FIMAR GR12S,GR12SX23050M / 12/S,67565,RUB,Да,FIMAR,Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/184630,"<p>Сыротерка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184630"">Fimar GR12S</a> 220В</b> используется на предприятиях общественного питания и торговли для натирания твердых сортов сыра, хлеба, печенья, орехов и сухофруктов. Модель оснащена микровыключателем на прижимном рычаге и механической защитой отверстий. Корпус и терочный цилиндр выполнены из полированного алюминия, зубцы терочного цилиндра - из нержавеющей стали.</p>

<p>В комплект поставки входят щетка для очистки терочного ролика и стальная чаша диаметром 230 мм для сыра.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер входного отверстия: 140х75 мм</li>
<li>Габариты в упаковке: 470х300х480 мм<sup>​</sup></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель CE-стандарта.</span></em></p>",184630,сыротерка,220 В,0.75 кВт,300 мм,420 мм,390 мм,19 кг,1,470x300x480 мм,13,https://entero.ru/manuals/375956/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20FIMAR%20GR12S.pdf;https://entero.ru/manuals/375958/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%28%D1%80%D1%83%D1%81.%20+%20%D0%B0%D0%BD%D0%B3%D0%BB.%29%20%D0%BD%D0%B0%20FIMAR%20GR12S.pdf;https://entero.ru/manuals/375959/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20FIMAR%20GR12S.pdf;https://entero.ru/manuals/375960/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/375963/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%B4%D0%BE%2009.02.2025%29.pdf,71878,,17 кг,Италия,Италия,40 кг/час,,электрическое,1400 об/мин.
https://cdn.entero.ru/mp@2x/e7/f4/e7f4a1c086b4b0d64169695856eb5f1c.jpg,Сырорезка Koneteollisuus Oy (KT) FJL,KT-FJL / 080203-013-001,61941,RUB,Да,Koneteollisuus Oy (KT),Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/23183,"<p>Сырорезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23183"">Koneteollisuus Oy (KT) FJL</a></b> используется на предприятиях пищевой промышленности и торговли для быстрой нарезки головок сыра на равные куски. Модель с вертикальной подачей ножа оснащена съемными держателями сыра, что позволяет нарезать куски одинакового размера. Корпус и нож выполнены из нержавеющей стали, рабочая площадка и ограничители - из полимерных материалов.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина ножа: 250 мм</li>
<li>Высота подъема ножа: 160 мм</li>
</ul>",23183,сырорезка,,,400 мм,300 мм,250 мм,10 кг,1,440x400x480 мм,9,,67327,,9 кг,Финляндия,,,для твердых сыров,механическое,
https://cdn.entero.ru/mp@2x/f2/4a/f24a7d066e8a0f387618f1c51f10edca.jpg;https://cdn.entero.ru/mp@2x/4e/2f/4e2f7d894623a7559f82d3955e9a6e1a.jpg;https://cdn.entero.ru/mp@2x/ae/62/ae62b5815ea50dc167ef814303054fcb.jpg;https://cdn.entero.ru/mp@2x/6c/9d/6c9d919498d20c0979f50968c55bab04.jpg,Сыротерка Fama TMC FTMC 100,TMC(FTMC100),80384,RUB,Да,Fama,Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/39859,"<p>Сыротерка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/39859"">Fama TMC FTMC 100</a></b> используется на предприятиях общественного питания и торговли для нарезки овощей ломтиками и натирания сыра мягких сортов, таких как моцарелла. Корпус выполнен из нержавеющей стали AISI 304, бункер и лоток - из стали.</p>

<p>В комплект поставки входит терка-конус 7 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Асинхронный двигатель</li>
<li>Предохранительный микровыключатель</li>
<li>Настольная установка</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Терка-конус 2,5 мм</li>
<li>Терка-конус 4 мм</li>
<li>Нож конический 2 мм</li>
</ul>",39859,сыротерка,380 В,0.75 кВт,420 мм,220 мм,440 мм,20 кг,1,480x300x520 мм,7,https://entero.ru/manuals/73459/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Fama%20TMC%20FTMC%20100.pdf,83733,,18 кг,Италия,Италия,50 кг/час,для мягких сыров,электрическое,1400 об/мин.
https://cdn.entero.ru/mp@2x/c5/38/c53823e1c3fbbae67ab096a3041f2a54.jpg,Сырорезка Koneteollisuus Oy (KT) HANDEE,Сырорезка Koneteollisuus Oy (KT) HANDEE,17295,RUB,Да,Koneteollisuus Oy (KT),Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/121819,"<p>Сырорезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121819"">Koneteollisuus Oy (KT) HANDEE</a> </b>используется на предприятиях пищевой промышленности и торговли для нарезки головок сыра на равные куски. Модель оснащена ручным управлением. Конструкция выполнена из ABS-пластика.</p>",121819,сырорезка,,,300 мм,250 мм,200 мм,2 кг,1,310x420x130 мм,13,,,,1.8 кг,Финляндия,,,,механическое,
https://cdn.entero.ru/mp@2x/ea/ce/eace555e70e03d7988d3b10eed4442a5.jpg;https://cdn.entero.ru/mp@2x/25/58/25580a25ccdab8d73c6058e7fd0da4ac.jpg;https://cdn.entero.ru/mp@2x/5b/20/5b201353e3574c1747d9ae3cf5bcbf69.jpg;https://cdn.entero.ru/mp@2x/ea/4e/ea4e7c502a35c9c91f3e3de47fdd407a.jpg,Сыротерка Fama GM FGM 113,GM/S(FGM113),36615,RUB,Да,Fama,Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/39857,"<p>Сыротерка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/39857"">Fama GM FGM 113</a>E</b> используется на предприятиях общественного питания и торговли для натирания твёрдых сыров, сухарей или орехов. Модель оснащена загрузочным бункером, планкой с рычагом и крутящимся валом - цилиндром с отверстиями. Корпус выполнен из отлитого под давлением алюминия, отполированный двигатель и терка - из нержавеющей стали.</p>

<p><em>Только для твердых сортов сыра, прибор трет сыр очень мелко - в пыль!</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Асинхронный двигатель с принудительной вентиляцией</li>
<li>Защитная решетка, чтобы избежать контакта с движущимися частями</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры терочной емкости: 110х65 мм</li>
<li>Габариты в упаковке: 300х260х360 мм</li>
</ul>",39857,сыротерка,220 В,0.38 кВт,280 мм,170 мм,310 мм,9 кг,1,300x260x360 мм,0,,,,8 кг,Италия,Италия,30 кг/час,для твердых сыров,электрическое,1400 об/мин.
https://cdn.entero.ru/mp@2x/05/b1/05b1c0bd45e1b5c112c50ec4bdc5aeb9.jpg;https://cdn.entero.ru/mp@2x/80/9d/809db6f17f08afb940258d89ebc10181.jpg;https://cdn.entero.ru/mp@2x/03/8c/038c2007d1640ea97e0a8f2d5d9ae0d0.jpg;https://cdn.entero.ru/mp@2x/e4/69/e4697c502b4acd29c61ea651cf42df4f.jpg;https://cdn.entero.ru/mp@2x/5f/c3/5fc3d4c30fbd0efa53aad7b2e7e82530.jpg,Сыротерка Sirman ATHOS,Сыротерка Sirman ATHOS,92413,RUB,Да,Sirman,Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/45012,"<p>Сыротерка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/45012"">Sirman ATHOS</a></b> используется на предприятиях общественного питания и торговли для натирания мягких сыров, грибов, моркови и картофеля. Модель оснащена терочным цилиндром, механической защитой отверстий и защитой горловины колокола с микромагнитом.</p>

<p>В комплект поставки входят 3 режущих конуса: моцарелла 7 мм, морковь 4мм и для чипс и грибов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронная кнопочная панель 24 В с устройством NVR</li>
<li>Плоскоременная передача PoliV</li>
<li>Корпус из нержавеющей стали и анодированного алюминия</li>
<li>Загрузочный бункер из нержавеющей стали</li>
<li>Колокообразный дискодержатель из полированного алюминия, снимаемый для чистки</li>
<li>Горловина колокола из АБС (алкилбензолсульфоната) </li>
<li>Лезвия и диски из ножевой стали и алюминия</li>
<li>4 резиновые ножки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 500x300x550 мм</li>
</ul>",45012,сыротерка,220 В,0.21 кВт,570 мм,230 мм,480 мм,17 кг,1,500x300x550 мм,0,https://entero.ru/manuals/46673/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20ATHOS.pdf;https://entero.ru/manuals/27030/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20ATHOS.pdf;https://entero.ru/manuals/46674/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%20ATHOS.jpg;https://entero.ru/manuals/420006/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/72927/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,14 кг,Италия,Италия,,для мягких сыров,электрическое,400 об/мин.
https://cdn.entero.ru/mp@2x/34/4e/344ec590a508da1d98aae66c39703175.jpg;https://cdn.entero.ru/mp@2x/6c/af/6cafa2f1675dca178ff4d43bbd960556.jpg;https://cdn.entero.ru/mp@2x/01/fa/01fa9c84d9dfec28f1f2880ae3e33e53.jpg,Сыротерка Sirman ATHOS для моцареллы,Сыротерка Sirman ATHOS для моцареллы,72346,RUB,Да,Sirman,Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/93951,"<p>Сыротерка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93951""><b class=""b"">Sirman ATHOS</b></a> используется на предприятиях общественного питания и торговли для натирания мягких сыров, грибов, моркови и картофеля. Модель оснащена терочным цилиндром, механической защитой отверстий и защитой горловины колокола с микромагнитом.</p>

<p>В комплект поставки входит режущий конус для моцареллы 7 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронная кнопочная панель 24 В с устройством NVR</li>
<li>Плоскоременная передача PoliV</li>
<li>Корпус из нержавеющей стали и анодированного алюминия</li>
<li>Загрузочный бункер из нержавеющей стали</li>
<li>Колокообразный дискодержатель из полированного алюминия, снимаемый для чистки</li>
<li>Горловина колокола из АБС (алкилбензолсульфоната) </li>
<li>Лезвия и диски из ножевой стали и алюминия</li>
<li>4 резиновые ножки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 500x300x550 мм</li>
</ul>",93951,сыротерка,220 В,0.21 кВт,570 мм,230 мм,480 мм,17 кг,1,500x300x550 мм,0,https://entero.ru/manuals/82061/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20ATHOS.pdf;https://entero.ru/manuals/82060/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20ATHOS.pdf;https://entero.ru/manuals/82062/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%20ATHOS.jpg;https://entero.ru/manuals/419800/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/82063/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,14 кг,Италия,Италия,,для мягких сыров,электрическое,400 об/мин.
https://cdn.entero.ru/mp@2x/50/fc/50fcbdef24e635bb90529c1553d20c6a.jpg;https://cdn.entero.ru/mp@2x/96/02/96021a3beac5a402c08726104a9cc4a0.jpg,Сырорезка Koneteollisuus Oy (KT) De La Light,DeLaLight / 080203-013-002,171526,RUB,Да,Koneteollisuus Oy (KT),Профоборудование,Электромеханическое,Сыротерки и сырорезки,https://entero.ru/item/73541,"<p>Сырорезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73541"">Koneteollisuus Oy (KT) De La Light</a> </b>используется на предприятиях пищевой промышленности и торговли для быстрой нарезки головок сыра на равные куски. Модель оснащена 2 кнопками включения, автоматическими функциями возврата струны и контроля натяжения струны. Конструкция выполнена из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальный размер нарезаемого сыра: 410х210 мм</li>
<li>Время нарезки: от 1 до 2 сек.</li>
<li>Диаметр струны: от 0,5 до 1 мм</li>
</ul>",73541,сырорезка,220 В,0.25 кВт,605 мм,370 мм,440 мм,31 кг,1,750x550x500 мм,0,,,https://vk.com/video_ext.php?oid=-177656185&id=456239204&hd=2&autoplay=0,30 кг,Финляндия,,,для мягких сыров,электрическое,
