Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Установка,Вес (с упаковкой),Толщина нарезки,Регулировка толщины нарезки,Длина батона,Количество ножей
https://cdn.entero.ru/mp@2x/f5/f7/f5f7b8d1b545f8ad014229b7fc58e5e9.jpg;https://cdn.entero.ru/mp@2x/37/b8/37b84aebcaaf0e14bc011ff377d9db96.jpg,Хлеборезка ATESY ЯНЫЧАР АХМ-300А,Янычар АХМ-300 А / 8438809900 / 28.93.17.112,126528,RUB,Да,ATESY,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/25254,"<p>Хлеборезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25254"">ATESY ЯНЫЧАР АХМ-300А</a></b> используется на предприятиях общественного питания и торговли для автоматизации ручной нарезки хлеба на ломтики различной толщины. Модель оснащена запатентованным серповидным ножом с волнообразной режущей кромкой с лазерной заточкой, обеспечивающим нарезку как суточного, так и свежего мягкого хлеба. Корпус выполнен из нержавеющей стали, нож - из закаленной нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Автоматическая настольная хлеборезка</li>
<li>Режет хлеб идеально ровными ломтиками, не ломая и не кроша его, благодаря особой форме ножа и гарантирует высокую производительность</li>
<li>Простая и удобная регулировка толщины нарезки хлеба - специальный регулятор позволяет настроить нарезку хлеба на необходимую толщину ломтика</li>
<li>Одинаковая толщина ломтиков при нарезке обеспечена надежным механизмом подачи хлеба</li>
<li>Шторка из нержавеющих пластин предотвращает доступ рук в зону нарезки хлеба со стороны приемного лотка</li>
<li>Наличие концевых выключателей исключает возможность получения травмы персоналом - выключатели электрического питания автоматически срабатывают при открытии крышки лотка загрузки хлеба, окончании нарезки хлеба и открытии крышки приемного лотка для хлеба</li>
<li>Простота конструкции позволяет без особых усилий проводить регламентное техническое обслуживание и ремонт</li>
<li>Нож из закаленной нержавеющей стали не требует заточки в течение длительного времени эксплуатации</li>
<li>Упаковка - ящик из ДВП на деревянном поддоне</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезания: 5 / 10 / 15 / 20 мм</li>
<li>Производительность:
<ul>
<li>При толщине ломтика 5 мм: 100 батонов/час</li>
<li>При толщине ломтика 10 мм: 160 батонов/час</li>
<li>При толщине ломтика 15 мм: 220 батонов/час</li>
<li>При толщине ломтика 20 мм: 300 батонов/час</li>
</ul>
</li>
<li>Макс. размеры нарезаемого хлеба: 380х160х135 мм</li>
<li>Габариты в упаковке: 660х680х930 мм</li>
</ul>",25254,автоматическая,380 В,0.37 кВт,1050 мм,560 мм,590 мм,77 кг,Россия,1,680x660x930 мм,14,https://entero.ru/manuals/37452/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20ATESY%20%D0%AF%D0%9D%D0%AB%D0%A7%D0%90%D0%A0%20%D0%90%D0%A5%D0%9C-300%D0%90.pdf;https://entero.ru/manuals/37450/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%BC%D1%83%20%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8E%20%D0%BD%D0%B0%20ATESY%20%D0%AF%D0%9D%D0%AB%D0%A7%D0%90%D0%A0%20%D0%90%D0%A5%D0%9C-300%D0%90.pdf;https://entero.ru/manuals/37448/%D0%A1%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D0%BE-%D1%8D%D0%BF%D0%B8%D0%B4%D0%B5%D0%BC%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BD%D0%B0%20ATESY%20%D0%AF%D0%9D%D0%AB%D0%A7%D0%90%D0%A0%20%D0%90%D0%A5%D0%9C-300%D0%90.pdf;https://entero.ru/manuals/37449/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0%20%D0%BD%D0%B0%20ATESY%20%D0%AF%D0%9D%D0%AB%D0%A7%D0%90%D0%A0%20%D0%90%D0%A5%D0%9C-300%D0%90.pdf;https://entero.ru/manuals/37451/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/281533/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,136052,https://vk.com/video_ext.php?oid=-177656185&id=456239520&hd=2&autoplay=0,45 кг,от 100 до 300 батонов в час,настольный,,от 5 до 20 мм,Да,380 мм,
https://cdn.entero.ru/mp@2x/a7/71/a77110e07866ebb5eaf44fe67f930668.jpg;https://cdn.entero.ru/mp@2x/87/ae/87ae2d51efee3f67f01773d6a292a8f0.jpg;https://cdn.entero.ru/mp@2x/f8/42/f842f0573445ee7cefadf5faa670f66e.jpg,Хлеборезка Hurakan HKN-PICO12,148278,59172,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/71386,"<p>Хлеборезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71386"">Hurakan HKN-PICO12</a></b> используется на предприятиях общественного питания и торговли для быстрой и качественной нарезки хлеба кусочками в большом количестве. Рабочие части и ножи выполнены из нержавеющей стали, корпус - из крашеного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Рамочная конструкция</li>
<li>Простая эксплуатация</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 700х740х800 мм</li>
</ul>",71386,полуавтоматическая,220 В,0.37 кВт,750 мм,650 мм,770 мм,69 кг,Китай,1,770x720x850 мм,10,https://entero.ru/manuals/39775/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PICO12.doc;https://entero.ru/manuals/416238/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415401/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454797/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PICO12.pdf,,,64 кг,от 180 до 200 батонов в час,настольная,,12 мм,,350 мм,31
https://cdn.entero.ru/mp@2x/97/9a/979a57aa022a552aa19699855e1f1b00.jpg,Хлеборезка ATESY ЯНЫЧАР АХМ-300А краш.,АХМ_300А «ЯНЫЧАР» краш. / 8438809900 / 28.93.17.112,119828,RUB,Да,ATESY,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/68464,"<p>Хлеборезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/68464""><b class=""b"">ATESY ЯНЫЧАР АХМ-300А</b></a> используется на предприятиях общественного питания и торговли для автоматизации ручной нарезки хлеба на ломтики различной толщины. Модель оснащена запатентованным серповидным ножом с волнообразной режущей кромкой с лазерной заточкой, обеспечивающим нарезку как суточного, так и свежего мягкого хлеба. Корпус выполнен из окрашенной стали, нож - из закаленной нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Автоматическая настольная хлеборезка</li>
<li>Режет хлеб идеально ровными ломтиками, не ломая и не кроша его, благодаря особой форме ножа и гарантирует высокую производительность</li>
<li>Простая и удобная регулировка толщины нарезки хлеба - специальный регулятор позволяет настроить нарезку хлеба на необходимую толщину ломтика</li>
<li>Одинаковая толщина ломтиков при нарезке обеспечена надежным механизмом подачи хлеба</li>
<li>Шторка из нержавеющих пластин предотвращает доступ рук в зону нарезки хлеба со стороны приемного лотка</li>
<li>Наличие концевых выключателей исключает возможность получения травмы персоналом - выключатели электрического питания автоматически срабатывают при открытии крышки лотка загрузки хлеба, окончании нарезки хлеба и открытии крышки приемного лотка для хлеба</li>
<li>Простота конструкции позволяет без особых усилий проводить регламентное техническое обслуживание и ремонт</li>
<li>Нож из закаленной нержавеющей стали не требует заточки в течение длительного времени эксплуатации</li>
<li>Упаковка - ящик из ДВП на деревянном поддоне</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезания: 5 / 10 / 15 / 20 мм</li>
<li>Производительность:
<ul>
<li>При толщине ломтика 5 мм: 100 батонов/час</li>
<li>При толщине ломтика 10 мм: 160 батонов/час</li>
<li>При толщине ломтика 15 мм: 220 батонов/час</li>
<li>При толщине ломтика 20 мм: 300 батонов/час</li>
</ul>
</li>
<li>Макс. размеры нарезаемого хлеба: 380х160х135 мм</li>
<li>Габариты в упаковке: 660х680х930 мм</li>
</ul>",68464,автоматическая,380 В,0.37 кВт,1050 мм,560 мм,590 мм,77 кг,Россия,1,680x660x930 мм,8,https://entero.ru/manuals/37443/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20ATESY%20%D0%AF%D0%9D%D0%AB%D0%A7%D0%90%D0%A0%20%D0%90%D0%A5%D0%9C-300%D0%90.pdf;https://entero.ru/manuals/37444/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%BC%D1%83%20%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8E%20%D0%BD%D0%B0%20ATESY%20%D0%AF%D0%9D%D0%AB%D0%A7%D0%90%D0%A0%20%D0%90%D0%A5%D0%9C-300%D0%90.pdf;https://entero.ru/manuals/37447/%D0%A1%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D0%BE-%D1%8D%D0%BF%D0%B8%D0%B4%D0%B5%D0%BC%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BD%D0%B0%20ATESY%20%D0%AF%D0%9D%D0%AB%D0%A7%D0%90%D0%A0%20%D0%90%D0%A5%D0%9C-300%D0%90.pdf;https://entero.ru/manuals/37446/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0%20%D0%BD%D0%B0%20ATESY%20%D0%AF%D0%9D%D0%AB%D0%A7%D0%90%D0%A0%20%D0%90%D0%A5%D0%9C-300%D0%90.pdf;https://entero.ru/manuals/281532/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf;https://entero.ru/manuals/418802/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,128847,https://vk.com/video_ext.php?oid=-177656185&id=456239520&hd=2&autoplay=0,45 кг,от 100 до 300 батонов в час,настольный,,от 5 до 20 мм,Да,380 мм,
https://cdn.entero.ru/mp@2x/40/bf/40bf702e678914ebb261530b0ea4e7f2.jpg,Хлеборезка Gastromix SH31,Хлеборезка Gastromix SH31,58163,RUB,Да,Gastromix,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/70699,"<p>Хлеборезка<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/70699"">Gastromix SH31</a></b> используется на предприятиях общественного питания для быстрой и качественной нарезки хлеба кусочками в большом количестве. Модель с низким уровнем шума. Корпус выполнен из алюминия, передняя панель - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Количество ломтиков: 32</li>
<li>Ширина ломтика: до 160 мм</li>
</ul>",70699,,220 В,0.55 кВт,710 мм,710 мм,730 мм,61 кг,Китай,1,560x700x700 мм,0,https://entero.ru/manuals/285952/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gastromix%20SH31.pdf;https://entero.ru/manuals/481689/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,62541,,45 кг,,настольный,,12 мм,,380 мм,31
https://cdn.entero.ru/mp@2x/45/e5/45e534f0fd10aea298f3ae137c3cacac.jpg,Хлеборезка KAYMAN ХМ-300 А,Хлеборезка KAYMAN ХМ-300 А,116784,RUB,Да,KAYMAN,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/241413,"<p>Хлеборезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/241413"">KAYMAN ХМ-300 А</a> </b>используется на предприятиях общественного питания и торговли для автоматизации нарезки хлеба различных сортов на ломтики различной толщины. Модель оснащена серповидным ножом с волнообразной режущей кромкой со специальной заточкой, обеспечивающим нарезку как суточного, так и свежего мягкого хлеба. Корпус выполнен из нержавеющей стали, нож - из особой закаленной нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическое выключение при открытии крышки лотка загрузки хлеба, окончании нарезки хлеба, открытии крышки приемного лотка для хлеба</li>
<li>Конструкция хлеборезки, исключающая производственные травмы со стороны обслуживающего персонала</li>
<li>Высокая производительность</li>
<li>Легкая санитарно-гигиеническая обработка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезания: 5 / 10 / 15 / 20 мм</li>
<li>Производительность:
<ul>
<li>При толщине ломтика 5 мм: 100 батонов/час</li>
<li>При толщине ломтика 10 мм: 160 батонов/час</li>
<li>При толщине ломтика 15 мм: 220 батонов/час</li>
<li>При толщине ломтика 20 мм: 300 батонов/час</li>
</ul>
</li>
<li>Максимальные размеры нарезаемого хлеба: 380х160х135 мм</li>
</ul>",241413,автоматическая,380 В,0.37 кВт,1050 мм,560 мм,590 мм,77 кг,Россия,1,660x680x930 мм,0,https://entero.ru/manuals/517509/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KAYMAN%20%D0%A5%D0%9C-300%20%D0%90.pdf;https://entero.ru/manuals/517510/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241481&hash=dad0f5e9098c3068,45 кг,300 батонов в час,настольный,,от 5 до 20 мм,,380 мм,
https://cdn.entero.ru/mp@2x/0f/b8/0fb858bf2b9e2fac57f1d10869ccdb18.jpg;https://cdn.entero.ru/mp@2x/70/b8/70b8b79272afa5a0228dcf3bae8ecfbb.jpg;https://cdn.entero.ru/mp@2x/d9/55/d955133e2277a65dc98cec9e3812160d.jpg;https://cdn.entero.ru/mp@2x/26/93/2693d87b8e764051cf2cdcbd540be2a1.jpg;https://cdn.entero.ru/mp@2x/9c/bf/9cbfe23f95e6d4a9ee0e874db455b666.jpg;https://cdn.entero.ru/mp@2x/30/ab/30ab23307601473f44e8f0e91635d484.jpg;https://cdn.entero.ru/mp@2x/cc/c5/ccc5815d84adb2a6ff406040c3db0bb3.jpg;https://cdn.entero.ru/mp@2x/73/0a/730a02f662c03bd38f1db6a6b5449c50.jpg;https://cdn.entero.ru/mp@2x/3b/60/3b606b379b5d3aa1c46de7dd4223bce0.jpg,Хлеборезка Foodatlas SH-31 Eco,SH-31 FoodAtlas Eco,49156,RUB,Да,Foodatlas,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/83919,"<p>Хлеборезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83919""><b class=""b"">Foodatlas SH-31 Eco</b></a> используется на предприятиях общественного питания и торговли для нарезки пшеничного и ржаного хлеба заданной толщины. Модель позволяет регулировать высоту нарезаемого хлебобулочного изделия. Корпус выполнен из нержавеющей стали.</p>",83919,,220 В,0.370 кВт,730 мм,646 мм,780 мм,,Китай,,,0,https://entero.ru/manuals/350006/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20SH-31%20Eco.pdf,,,48 кг,160 батонов в час,настольный,,12 мм,,350 мм,31
https://cdn.entero.ru/mp@2x/7f/bb/7fbbd2b15a90202badf4c8eaf60f89f9.jpg,Машина хлеборезательная SINMAG SM 302 (12 мм),Машина хлеборезательная SINMAG SM 302 (12 мм),126999,RUB,Да,SINMAG,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/22641,"<p>Хлеборезательная машина​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/22641""><b class=""b"">SINMAG SM 302</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для нарезки пшеничного и ржаного хлеба заданной толщины. Модель позволяет резать даже свежий хлеб.</p>

<p>Сменные рамы для изменения толщины нарезки приобретаются отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная высота батона: 150 мм</li>
</ul>",22641,,220 В,0.188 кВт,720 мм,472 мм,720 мм,,Тайвань,,,15,,132291,,70 кг,,настольный,,12 мм,,320 мм,31
https://cdn.entero.ru/mp@2x/d0/df/d0df29ce4c325cf8b951f5c8a2d5b543.jpg,Хлеборезка Hurakan HKN-PICO12M2,352755,66695,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/168680,"<p>Хлеборезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168680"">Hurakan HKN-PICO12M2</a></b> используется на предприятиях общественного питания и торговли для быстрой и качественной нарезки хлеба кусочками в большом количестве. Модель оснащена толкателем хлеба. Корпус, рабочая часть и ножи выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. высота хлеба: 120 мм</li>
<li>Габариты в упаковке: 785х560х765 мм</li>
</ul>",168680,,220 В,0.37 кВт,745 мм,510 мм,710 мм,81 кг,Китай,1,785x560x765 мм,8,https://entero.ru/manuals/416241/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416243/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454798/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PICO12M2.pdf;https://entero.ru/manuals/483796/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-PICO12M2.pdf,,,62 кг,240 батонов в час,настольный,,12 мм,,,32
https://cdn.entero.ru/mp@2x/e8/57/e8578ea39c64d638c0a912dad3c6e6fc.jpg,Хлеборезка VIATTO ACS-Q31,Хлеборезка VIATTO ACS-Q31,67320,RUB,Да,VIATTO,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/73455,"<p>Хлеборезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73455"">VIATTO ACS-Q31</a></b> используется на предприятиях общественного питания и торговли для нарезки хлеба, булок и батонов на ровные ломтики. Ножи выполнены из легированной стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество ломтиков: 30</li>
<li>Максимальная высота буханки: 170 мм</li>
</ul>",73455,,220 В,0.25 кВт,650 мм,740 мм,780 мм,105 кг,Китай,1,700x700x710 мм,0,https://entero.ru/manuals/409900/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20ACS-Q31.pdf;https://entero.ru/manuals/86220/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/464300/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20ACS-Q31.pdf;https://entero.ru/manuals/464301/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20ACS-Q31.pdf;https://entero.ru/manuals/464302/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,72387,,90 кг,,настольный,,12 мм,,360 мм,
https://cdn.entero.ru/mp@2x/72/b2/72b2775c76b8621c6cf0deea468cf672.jpg;https://cdn.entero.ru/mp@2x/04/4d/044dc6f745acc5401eb26b1d18c4e07e.jpg;https://cdn.entero.ru/mp@2x/ed/eb/edeb7185861c9d350ac48592829e7c54.jpg;https://cdn.entero.ru/mp@2x/f1/f6/f1f67e295379706c8650df1160a18c89.jpg;https://cdn.entero.ru/mp@2x/76/98/769832df8cac86493bf26bc35c7ffbf9.jpg;https://cdn.entero.ru/mp@2x/23/59/2359cedfc3917c49a9a3c1806b9ce708.jpg;https://cdn.entero.ru/mp@2x/a0/c7/a0c750b6e72ade4390bdeebe00c92db6.jpg,Хлеборезка Jac Picomatic 450,Хлеборезка Jac Picomatic 450,496527,RUB,Да,Jac,Профоборудование,Электромеханическое,Хлеборезки,https://entero.ru/item/176133,"<p>Автоматическая хлеборезка рамочной конструкции <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/176133""><b class=""b"">Jac Picomatic 450</b></a> используется на предприятиях общественного питания и торговли для нарезки формового и подового хлеба, хлебобулочных изделий, а также заготовок для сухариков. Модель оснащена системой автоматического контроля нарезки хлеба в зависимости от его консистенции. </p>

<p><b>Особенности</b>:</p>

<ul>
<li>Уменьшенные габариты</li>
<li>Использование на прилавке или на подставке</li>
<li>Фронтальная загрузка</li>
<li>Концепция интеллектуальной нарезки</li>
<li>Задняя защитная крышка</li>
<li>Система Jac Flaps удержания ломтей</li>
<li>Стальной нож</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота толкателя хлеба: 
<ul>
<li>Сверхнизкий: 50 мм</li>
<li>Низкий: 80 мм</li>
<li>Высокий: 100 мм</li>
</ul>
</li>
<li>Ширина рабочей зоны нарезки: 450 мм</li>
<li>Максимальный размер нарезаемого хлеба: 440х300х180 мм</li>
<li>Размеры ножа: 13х0,5 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подставка на роликах </li>
<li>Двойная толщина нарезки</li>
<li>Цикл автоматической нарезки для простоты использования и оптимальной организации рабочего времени</li>
<li>Цветовое исполнение: красный, пастельный оранжевый, бежевый, белый, желтый</li>
</ul>",176133,автоматическая,,0.49 кВт,607 мм,682 мм,880 мм,,Бельгия,,,0,https://entero.ru/manuals/204748/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Jac%20Picomatic%20450.pdf;https://entero.ru/manuals/205963/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Jac%20Picomatic%20450.pdf;https://entero.ru/manuals/205964/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Jac%20Picomatic%20450.png,528220,https://vk.com/video_ext.php?oid=-177656185&id=456240446&hd=2&autoplay=0,121 кг,,настольный,,11 мм,,440 мм,
