Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Максимальная нагрузка,Количество ящиков,Материал столешницы
https://cdn.entero.ru/mp@2x/86/c6/86c620a0fc0cb3782c9e09c8a2fffa6c.jpg,Верстак ДВК SMART 1760.4.S3.0.d2,КГ050949,64110,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/217529,"<p>Верстак <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/217529""><b class=""b"">ДВК SMART 1760.4.S3.0.d2 </b></a>предназначен для обустройства стационарных рабочих мест, требующих повышенной устойчивости к высоким нагрузкам и хранения большого объема инструментов на легких производствах, в мастерских и гаражах. Модель оснащена 2 перфорированными панелями, светильником и тумбой с 4 выдвижными ящиками. Столешница изготовлена из влагостойкой фанеры толщиной 27 мм со стальной окрашенной накладкой 1,2 мм, лицевая панель ящиков - из листа стали толщиной 1,2 мм, эргономичные ручки - из пластика. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Комплект косынок для экрана SMART - 1 шт.</li>
<li>Отражатель 1760 - 1 шт.</li>
<li>Полка/стенка 1100 SMART - 1 шт.</li>
<li>Светильник светодиодный ВС-СПО-32-5К-04+012 Смарт - 1 шт.</li>
<li>Стойка 1150 для крепления 2-го экрана SMART - 2 шт.</li>
<li>Столешница 1760 SMART - 1 шт. </li>
<li><a href=""https://entero.ru/item/215845"">Тумба SMART 4</a> - 1 шт.</li>
<li>Панель перфорированная 1760 SMART - 2 шт.</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Универсальная перфорация на внутренних и боковых стенках </li>
<li>Единый цилиндрический стальной замок </li>
<li>Телескопические направляющие полного выдвижения</li>
<li>Устойчивость к механическим воздействиям и агрессивным жидкостям</li>
<li>Прочный сборно-разборный корпус </li>
<li>Стильный дизайн и функциональность </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 60 / 30 кг </li>
<li>Универсальная перфорация: квадрат 10 мм c шагом 38х38 мм / круг 7 мм с шагом 25х38 мм </li>
<li>Цвет: темно-серый (RAL7016) / светло-серый (RAL7035)</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Установка системы «мастер-ключ»</li>
</ul>",217529,1766 мм,605 мм,1864 мм,0,https://entero.ru/manuals/258314/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20SMART%201760.4.S3.0.d2.pdf;https://entero.ru/manuals/258315/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,66781,82 кг,,Россия,500 кг,4,фанера
https://cdn.entero.ru/mp@2x/5f/5c/5f5ceacf12a48ce1ff164fba9742ef03.jpg,Верстак ДВК SMART 1760.4.S2.1-1.d2,КГ050948,74740,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/217515,"<p>Верстак <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/217515""><b class=""b"">ДВК SMART 1760.4.S2.1-1.d2 </b></a>предназначен для обустройства стационарных рабочих мест, требующих повышенной устойчивости к высоким нагрузкам и хранения большого объема инструментов на легких производствах, в мастерских и гаражах. Модель оснащена 2 перфорированными панелями, светильником, тумбой с ящиком и внутренней полкой и тумбой с 4 выдвижными ящиками. Столешница изготовлена из влагостойкой фанеры толщиной 27 мм со стальной окрашенной накладкой 1,2 мм, лицевая панель ящиков - из листа стали толщиной 1,2 мм, эргономичные ручки - из пластика. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Комплект косынок для экрана SMART - 1 шт.</li>
<li>Отражатель 1760 - 1 шт.</li>
<li>Полка/стенка 740 SMART - 1 шт.</li>
<li>Светильник светодиодный ВС-СПО-32-5К-04+012 Смарт - 1 шт.</li>
<li>Стойка 1150 для крепления 2-го экрана SMART - 2 шт.</li>
<li>Столешница 1760 SMART - 1 шт. </li>
<li><a href=""https://entero.ru/item/215843"">Тумба SMART 1-1</a> - 1 шт. </li>
<li><a href=""https://entero.ru/item/215845"">Тумба SMART 4</a> - 1 шт.</li>
<li>Панель перфорированная 1760 SMART - 2 шт.</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Универсальная перфорация на внутренних и боковых стенках </li>
<li>Возможность смены стороны открывания двери тумб </li>
<li>Единый цилиндрический стальной замок на тумбах с ящиками </li>
<li>Телескопические направляющие полного выдвижения</li>
<li>Устойчивость к механическим воздействиям и агрессивным жидкостям</li>
<li>Прочный сборно-разборный корпус </li>
<li>Стильный дизайн и функциональность </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 60 / 30 кг </li>
<li>Универсальная перфорация: квадрат 10 мм c шагом 38х38 мм / круг 7 мм с шагом 25х38 мм </li>
<li>Цвет: темно-серый (RAL7016) / светло-серый (RAL7035)</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Установка системы «мастер-ключ»</li>
</ul>",217515,1760 мм,605 мм,1864 мм,0,https://entero.ru/manuals/258305/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20SMART%201760.4.S2.1-1.d2.pdf;https://entero.ru/manuals/258306/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,80366,90.5 кг,,Россия,750 кг,5,фанера
https://cdn.entero.ru/mp@2x/23/ba/23bad560475192e04a2ee4f2de94cd9a.jpg,Верстак ДиКом ВЛ-200-07 ЦФ,Верстак ДиКом ВЛ-200-07 ЦФ,86000,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/223805,"<p>Слесарный верстак <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/223805""><b class=""b"">ДиКом ВЛ-200-07 ЦФ </b></a>предназначен для различных слесарных и сборочных работ в мастерских, гаражах, учебных заведениях и на производствах. Модель оснащена тумбой с 5 выдвижными ящиками, запирающихся на единый замок и тумбой с 2 полками и распашной дверцей с замком. Столешница изготовлена из влагостойкой фанеры толщиной 24 мм, покрытой оцинкованным железным листом. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Модульная конструкция </li>
<li>Острые углы отфрезерованы и зашлифованы </li>
<li>Установка столешницы на опоры </li>
<li>Покрытие лаком на основе воска в два слоя </li>
<li>Эпоксидная порошковая краска Teknos </li>
<li>Немецкие замки Euro-Locks </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 100 / 50 кг</li>
<li>Цвет: серый (RAL 7038) / синий (RAL 5012)</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Перфорированный экран <a href=""https://entero.ru/item/223659"">ВЛ-200-Э1</a></li>
<li>Перфорированный экран <a href=""https://entero.ru/item/223660"">ВЛ-200-Э2 </a></li>
<li>Перфорированный экран <a href=""https://entero.ru/item/223661"">ВЛ-200-Э3​</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера. </span></em></p>",223805,2000 мм,700 мм,825 мм,0,https://entero.ru/manuals/269857/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20%D0%92%D0%9B-200-07%20%D0%A6%D0%A4.pdf;https://entero.ru/manuals/269858/%D0%93%D0%9E%D0%A1%D0%A2%20%D0%BD%D0%B0%20%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BA%D0%B8.pdf;https://entero.ru/manuals/269856/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,89583,118.4 кг,,Россия,1500 кг,5,"фанера, металл"
https://cdn.entero.ru/mp@2x/88/f7/88f7e21302b6800a18afc58f209482ec.jpg,Верстак ДВК SMART 1760.1.P.4.1-1.d2,КГ050931,97060,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/217276,"<p>Верстак <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/217276""><b class=""b"">ДВК SMART 1760.1.P.4.1-1.d2 </b></a>предназначен для обустройства стационарных рабочих мест, требующих повышенной устойчивости к высоким нагрузкам и хранения большого объема инструментов на легких производствах, в мастерских и гаражах. Модель оснащена 2 перфорированными панелями, светильником, тумбой с выдвижным ящиком и внутренней полкой, тумбой-пеналом и тумбой с 4 выдвижными ящиками. Столешница изготовлена из влагостойкой фанеры толщиной 27 мм со стальной окрашенной накладкой 1,2 мм, лицевая панель ящиков - из листа стали толщиной 1,2 мм, эргономичные ручки - из пластика. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Комплект косынок для экрана SMART - 1 шт.</li>
<li>Отражатель 1760 - 1 шт.</li>
<li>Светильник светодиодный ВС-СПО-32-5К-04+012 Смарт - 1 шт.</li>
<li>Стойка 1150 для крепления 2-го экрана SMART - 2 шт.</li>
<li>Столешница 1760 SMART - 1 шт. </li>
<li><a href=""https://entero.ru/item/215840"">Тумба SMART 1</a> - 1 шт. </li>
<li><a href=""https://entero.ru/item/215843"">Тумба SMART 1-1</a> - 1 шт. </li>
<li><a href=""https://entero.ru/item/215845"">Тумба SMART 4</a> - 1 шт.</li>
<li><a href=""https://entero.ru/item/215849"">Тумба-пенал SMART</a> - 1 шт.</li>
<li>Панель перфорированная 1760 SMART - 2 шт.</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Универсальная перфорация на внутренних и боковых стенках </li>
<li>Возможность смены стороны открывания двери тумб </li>
<li>Единый цилиндрический стальной замок на тумбах с ящиками </li>
<li>Телескопические направляющие полного выдвижения</li>
<li>Устойчивость к механическим воздействиям и агрессивным жидкостям</li>
<li>Прочный сборно-разборный корпус </li>
<li>Стильный дизайн и функциональность </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 60 / 30 кг </li>
<li>Универсальная перфорация: квадрат 10 мм c шагом 38х38 мм / круг 7 мм с шагом 25х38 мм </li>
<li>Цвет: темно-серый (RAL7016) / светло-серый (RAL7035)</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Установка системы «мастер-ключ»</li>
</ul>",217276,1760 мм,605 мм,1864 мм,0,https://entero.ru/manuals/258033/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20SMART%201760.1.P.4.1-1.d2.pdf;https://entero.ru/manuals/258034/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,119.6 кг,,Россия,1000 кг,5,фанера
https://cdn.entero.ru/mp@2x/06/d6/06d66122b6a2c17264cfd2ecff9604e3.jpg,Верстак слесарный ДВК 21.2Д.020,КГ010063,14250,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/217700,"<p>Слесарный металлический верстак <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/217700""><b class=""b"">ДВК 21.2Д.020 </b></a>предназначен для оснащения рабочих мест на производственных участках, станциях технического обслуживания, участках сборки и комплектации, в загородных домах и технических помещениях. Модель оснащена полкой. Столешница изготовлена из влагостойкой фанеры толщиной 24 мм.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>21 опора - 2 шт.</li>
<li>21 полка/стенка (2) - 1 шт.</li>
<li>21 столешница (2Д) - 1 шт.</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Сборно-модульная конструкция </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. нагрузка на полку / ящик: 20 кг </li>
<li>Цвет: серый (RAL 7035) / синий (RAL 5005)</li>
</ul>",217700,1200 мм,600 мм,844 мм,0,https://entero.ru/manuals/258585/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%2021.2%D0%94.020.pdf;https://entero.ru/manuals/258586/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,15000,28.2 кг,,Россия,400 кг,,фанера
https://cdn.entero.ru/mp@2x/26/67/2667f961da054d2cc1dc6b8040ad90b7.jpg,Верстак слесарный ДВК 22.2Д.020,КГ010232,18750,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/217748,"<p>Слесарный металлический верстак <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/217748""><b class=""b"">ДВК 22.2Д.020 </b></a>предназначен для оснащения рабочих мест на производственных участках, станциях технического обслуживания, участках сборки и комплектации, в загородных домах и технических помещениях. Модель оснащена полкой. Столешница изготовлена из влагостойкой фанеры толщиной 24 мм.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>22 опора - 2 шт.</li>
<li>22 полка/стенка (2) - 1 шт.</li>
<li>22 столешница (2Д) - 1 шт.</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Сборно-модульная конструкция </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. нагрузка на полку / ящик: 20 кг </li>
<li>Цвет: серый (RAL 7035) / синий (RAL 5005)</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",217748,1350 мм,700 мм,844 мм,0,https://entero.ru/manuals/258669/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%2022.2%D0%94.020.pdf;https://entero.ru/manuals/258657/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,19531,40.9 кг,,Россия,400 кг,,фанера
https://cdn.entero.ru/mp@2x/55/18/5518e91c813a6b738a7a4d10e887b720.jpg;https://cdn.entero.ru/mp@2x/12/8d/128d1e62f4184d4ebd02e85ffbe29a63.jpg;https://cdn.entero.ru/mp@2x/da/fc/dafc78b887da202c1ca860c63e647da0.jpg;https://cdn.entero.ru/mp@2x/c9/b7/c9b75787b4c064df5f42fa675fbb9d3d.jpg,Верстак слесарный ПРОМЕТ Profi (№201) WT120.WD1/F1.000,WT120.WD1/F1.000вер К30399501246,22260,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/222546,"<p>Слесарный верстак <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/222546"">ПРОМЕТ Profi (№201) WT120.WD1/F1.000</a> </b>предназначен для оснащения рабочих мест на производственных участках, станциях технического обслуживания, участках сборки и комплектации, в загородных домах и технических помещениях. Модель оснащена тумбой с 2 съемными регулируемыми полками. Столешница изготовлена из МДФ и покрыта оцинкованным листовым металлом.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Столешница WT-120 - 1шт.</li>
<li>Тумба WD-1 - 1 шт.</li>
<li>Опора PROFI WF-1 - 1шт.</li>
<li>Полка и Стенка WSh-120/1 - 1шт.</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Общее количество полок: 3 шт.</li>
<li>Толщина МДФ: 24 мм</li>
<li>Толщина металла: 1,2 мм</li>
<li>Цвет:
<ul>
<li>Корпус: серый шагрень (RAL 7038) </li>
<li>Дверь ящика: синий (RAL 5002)</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Цвет изделия может отличаться от представленного на фото.</span></em></p>",222546,1200 мм,700 мм,866 мм,0,https://entero.ru/manuals/266670/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%BD%D0%B0%20%D0%9F%D0%A0%D0%9E%D0%9C%D0%95%D0%A2%20Profi%20%28%E2%84%96201%29%20WT120.WD1_F1.000.pdf;https://entero.ru/manuals/266671/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%D0%B0%20%D0%BE%D1%81%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%A0%D0%9E%D0%9C%D0%95%D0%A2%20Profi%20%28%E2%84%96201%29%20WT120.WD1_F1.000.pdf;https://entero.ru/manuals/266672/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B5%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B0%20%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BE%D0%BA%20%D0%BD%D0%B0%20%D0%9F%D0%A0%D0%9E%D0%9C%D0%95%D0%A2%20Profi%20%28%E2%84%96201%29%20WT120.WD1_F1.000.pdf,,56.3 кг,,Россия,750 кг,,
https://cdn.entero.ru/mp@2x/27/dc/27dc45340f139ef3118db0f33494f81b.jpg,Верстак ДиКом ВЛ-100-01 ЦФ,Верстак ДиКом ВЛ-100-01 ЦФ,30950,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/223561,"<p>Слесарный верстак <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/223561"">ДиКом ВЛ-100-01 ЦФ</a> </b>предназначен для различных слесарных и сборочных работ в мастерских, гаражах, учебных заведениях и на производствах. Столешница изготовлена из влагостойкой фанеры толщиной 24 мм, покрытой оцинкованным железным листом.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Модульная конструкция </li>
<li>Острые углы отфрезерованы и зашлифованы </li>
<li>Установка столешницы на опоры </li>
<li>Покрытие лаком на основе воска в два слоя </li>
<li>Эпоксидная порошковая краска Teknos </li>
<li>Немецкие замки Euro-Locks </li>
<li>​Цвет: RAL 7038 (серый) </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 100 / 50 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Перфорированный экран <a href=""https://entero.ru/item/223557"">ВЛ-100-Э1</a></li>
<li>Перфорированный экран <a href=""https://entero.ru/item/223558"">ВЛ-100-Э2 </a></li>
<li>Перфорированный экран <a href=""https://entero.ru/item/223559"">ВЛ-100-Э3​</a></li>
<li>Нижняя полка <a href=""https://entero.ru/item/223560"">100-Ф</a> </li>
</ul>",223561,1000 мм,700 мм,825 мм,0,https://entero.ru/manuals/269492/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20%D0%92%D0%9B-100-01%20%D0%A6%D0%A4.pdf;https://entero.ru/manuals/269493/%D0%93%D0%9E%D0%A1%D0%A2%20%D0%BD%D0%B0%20%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BA%D0%B8.pdf;https://entero.ru/manuals/269491/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,,41.4 кг,,Россия,1500 кг,,фанера
https://cdn.entero.ru/mp@2x/f1/b7/f1b77311da35903ecd2b1fa7db742467.jpg;https://cdn.entero.ru/mp@2x/b3/09/b309c4f6a11d5ea54e82e49c44420cd3.jpg;https://cdn.entero.ru/mp@2x/bb/de/bbde07b139b8178c7c6de37556ce572d.jpg;https://cdn.entero.ru/mp@2x/08/b1/08b1027cdc7d17391091eb84ffa5d437.jpg;https://cdn.entero.ru/mp@2x/97/0e/970e2f25e6071b95311d23e582ccb107.jpg,Верстак слесарный ПРОМЕТ Profi (№401) WT140.WD5/F1.000,WT140.WD5/F1.000вер К30399605246,34580,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/222558,"<p>Слесарный верстак <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/222558"">ПРОМЕТ Profi (№401) WT140.WD5/F1.000</a> </b>предназначен для оснащения рабочих мест на производственных участках, станциях технического обслуживания, участках сборки и комплектации, в загородных домах и технических помещениях. Модель оснащена полкой и тумбой с 5 ящиками. Столешница изготовлена из МДФ и покрыта оцинкованным листовым металлом, корпус и тумба - из металла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Столешница WT-140 - 1шт.</li>
<li>Тумба WD-5 - 1 шт.</li>
<li>Опора PROFI WF-1 - 1шт.</li>
<li>Полка и Стенка WSh-140/1 - 1шт.</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Телескопические направляющие</li>
<li>Все ящики закрываются на центральный ключевой замок</li>
<li>Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов<br>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Нагрузка на ящик: 30 кг</li>
<li>Толщина МДФ: 24 мм</li>
<li>Толщина металла: 1,2 мм</li>
<li>Цвет:
<ul>
<li>Корпус: серый шагрень (RAL 7038) </li>
<li>Лицевая панель тумбы: синий (RAL 5002)</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Цвет изделия может отличаться от представленного на фото.</span></em></p>",222558,1400 мм,700 мм,866 мм,0,https://entero.ru/manuals/266696/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%BD%D0%B0%20%D0%9F%D0%A0%D0%9E%D0%9C%D0%95%D0%A2%20Profi%20%28%E2%84%96401%29%20WT140.WD5_F1.000.pdf;https://entero.ru/manuals/266697/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%D0%B0%20%D0%BE%D1%81%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%A0%D0%9E%D0%9C%D0%95%D0%A2%20Profi%20%28%E2%84%96401%29%20WT140.WD5_F1.000.pdf;https://entero.ru/manuals/266698/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B5%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B0%20%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BE%D0%BA%20%D0%BD%D0%B0%20%D0%9F%D0%A0%D0%9E%D0%9C%D0%95%D0%A2%20Profi%20%28%E2%84%96401%29%20WT140.WD5_F1.000.pdf,,74.3 кг,,Россия,750 кг,5,
https://cdn.entero.ru/mp@2x/da/7f/da7f4315b84f20d1b2de9fa3b15ccd07.jpg,Верстак слесарный ДВК 22.3Д.023,КГ010250,35385,RUB,Нет,,Промышленная мебель,Верстаки,https://entero.ru/item/217929,"<p>Слесарный металлический верстак <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/217929""><b class=""b"">ДВК 22.3Д.023 </b></a>предназначен для оснащения рабочих мест на производственных участках, станциях технического обслуживания, участках сборки и комплектации, в загородных домах и технических помещениях. Модель оснащена тумбой с 3 выдвижными ящиками. Столешница изготовлена из влагостойкой фанеры толщиной 27 мм.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>22 опора - 1 шт.</li>
<li>22 полка/стенка (2) - 1 шт.</li>
<li>22 столешница (3Д) - 1 шт.</li>
<li><a href=""https://entero.ru/item/217759"">Тумба 22.3</a> - 1 шт. </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Сборно-модульная конструкция </li>
<li>Центральный замок Cam Lock</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. нагрузка на полку / ящик: 20 кг </li>
<li>Цвет: серый (RAL 7035) / синий (RAL 5005)</li>
</ul>",217929,1900 мм,700 мм,844 мм,0,https://entero.ru/manuals/258749/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%2022.3%D0%94.023.pdf;https://entero.ru/manuals/258748/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,38462,85.3 кг,,Россия,400 кг,3,фанера
