Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Остаток,Родина бренда,Страна-производитель,Тип полок
https://cdn.entero.ru/mp@2x/6b/e8/6be8a8a3826d542c788c2328c782f6d5.jpg;https://cdn.entero.ru/mp@2x/8e/31/8e31d2c1dde29925a86671ac2ee18925.jpg;https://cdn.entero.ru/mp@2x/e2/bf/e2bfc76ea6be0cd3b0524637d2d2a74b.jpg,Стеллаж производственный КОБОР Expert MR4-80/40,320001,15026,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373775,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373775""><b class=""b"">Kobor Expert MR4-80/40</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 сплошными полками. Полки выполнены из стали с покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар и усилены подштамповками, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373775,800 мм,400 мм,1800 мм,0,Россия,Россия,сплошные
https://cdn.entero.ru/mp@2x/7f/56/7f561dacb381cc90382c03f228a0a886.jpg;https://cdn.entero.ru/mp@2x/b6/af/b6afaa6279d59eaba98655f9b2bc0953.jpg;https://cdn.entero.ru/mp@2x/ee/ae/eeae5a214cc2a97b92ce50c69535178a.jpg,Стеллаж производственный КОБОР Expert MRP4-80/40,320019,15440,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373851,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373851""><b class=""b"">Kobor Expert MRP4-80/40</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 перфорированными полками. Полки выполнены из стали с продольным усилением и покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Оптимальная вентиляция, предотвращение накопления пыли и влаги благодаря перфорированной конструкции полок</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373851,800 мм,400 мм,1800 мм,0,Россия,Россия,перфорированные
https://cdn.entero.ru/mp@2x/a3/59/a359f5ede1029ee6bcd37fd203797910.jpg;https://cdn.entero.ru/mp@2x/80/ea/80ea1acc0d804b0cde208abd71ba6c1c.jpg;https://cdn.entero.ru/mp@2x/41/50/41502b3ffe68d7ae3cac4f0f1ace77e5.jpg,Стеллаж производственный КОБОР Expert MR4-90/40,320002,15731,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373833,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373833""><b class=""b"">Kobor Expert MR4-90/40</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 сплошными полками. Полки выполнены из стали с покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар и усилены подштамповками, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373833,900 мм,400 мм,1800 мм,0,Россия,Россия,сплошные
https://cdn.entero.ru/mp@2x/fa/3e/fa3e22f3f7b6dc92892bb6f0fd19457d.jpg;https://cdn.entero.ru/mp@2x/ef/ad/efad7767aab200cea6614be120a08819.jpg;https://cdn.entero.ru/mp@2x/3e/ae/3eae384e5105c5aa7d2c09fbd7502518.jpg,Стеллаж производственный КОБОР Expert MRP4-90/40,320020,16162,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373852,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373852""><b class=""b"">Kobor Expert MRP4-90/40</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 перфорированными полками. Полки выполнены из стали с продольным усилением и покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Оптимальная вентиляция, предотвращение накопления пыли и влаги благодаря перфорированной конструкции полок</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373852,900 мм,400 мм,1800 мм,0,Россия,Россия,перфорированные
https://cdn.entero.ru/mp@2x/92/ca/92cae53528a48adc81e60c9bd22783a8.jpg;https://cdn.entero.ru/mp@2x/d0/f9/d0f95a0cfce937e655482e8b5a7da52f.jpg;https://cdn.entero.ru/mp@2x/75/01/750194d37fb751f9ef6dbd9bcc27779c.jpg,Стеллаж производственный КОБОР Expert MR4-80/50,320007,16325,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373839,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373839""><b class=""b"">Kobor Expert MR4-80/50</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 сплошными полками. Полки выполнены из стали с покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар и усилены подштамповками, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373839,800 мм,500 мм,1800 мм,0,Россия,Россия,сплошные
https://cdn.entero.ru/mp@2x/14/2f/142fd000c4c7079ecc6f5520f2698af1.jpg;https://cdn.entero.ru/mp@2x/6a/9f/6a9fa0047dab55ee0ac76c0f803b3348.jpg;https://cdn.entero.ru/mp@2x/93/e8/93e83ace528f56e31ca7acc737965eb2.jpg,Стеллаж производственный КОБОР Expert MR4-100/40,320003,16444,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373834,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373834""><b class=""b"">Kobor Expert MR4-100/40</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 сплошными полками. Полки выполнены из стали с покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар и усилены подштамповками, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373834,1000 мм,400 мм,1800 мм,0,Россия,Россия,сплошные
https://cdn.entero.ru/mp@2x/a2/cf/a2cf8c4174b0500086b375f8a9c1e217.jpg;https://cdn.entero.ru/mp@2x/c1/3f/c13f501c3a01cc4617418345ef3efa45.jpg;https://cdn.entero.ru/mp@2x/d9/c3/d9c30356acf4d78c06e635a9fb327c64.jpg,Стеллаж производственный КОБОР Expert MRP4-80/50,320025,16760,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373857,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373857""><b class=""b"">Kobor Expert MRP4-80/50</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 перфорированными полками. Полки выполнены из стали с продольным усилением и покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Оптимальная вентиляция, предотвращение накопления пыли и влаги благодаря перфорированной конструкции полок</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373857,800 мм,500 мм,1800 мм,0,Россия,Россия,перфорированные
https://cdn.entero.ru/mp@2x/2f/96/2f96e92acdd9633bc8685059e749a427.jpg;https://cdn.entero.ru/mp@2x/3d/9c/3d9ce88227547f46d104ce331a4eed34.jpg;https://cdn.entero.ru/mp@2x/1f/90/1f90973a4f9ec2fdc7f56f8bed649a82.jpg,Стеллаж производственный КОБОР Expert MRP4-100/40,320021,16893,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373853,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373853""><b class=""b"">Kobor Expert MRP4-100/40</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 перфорированными полками. Полки выполнены из стали с продольным усилением и покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Оптимальная вентиляция, предотвращение накопления пыли и влаги благодаря перфорированной конструкции полок</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373853,1000 мм,400 мм,1800 мм,0,Россия,Россия,перфорированные
https://cdn.entero.ru/mp@2x/de/67/de67e2be028b34696f2b0f433416a51c.jpg;https://cdn.entero.ru/mp@2x/63/c4/63c47cb0bf0f1195e1c7f506552f31f8.jpg;https://cdn.entero.ru/mp@2x/09/4e/094e14f25ba4a54c08e0ff643246fabb.jpg,Стеллаж производственный КОБОР Expert MR4-90/50,320008,17164,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373840,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373840""><b class=""b"">Kobor Expert MR4-90/50</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 сплошными полками. Полки выполнены из стали с покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар и усилены подштамповками, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373840,900 мм,500 мм,1800 мм,0,Россия,Россия,сплошные
https://cdn.entero.ru/mp@2x/f5/f7/f5f75dfee8f69295b1a1d3c5426bbc5e.jpg;https://cdn.entero.ru/mp@2x/cf/01/cf01f72ce3a4199c4a3b18ab333c070a.jpg;https://cdn.entero.ru/mp@2x/2b/2f/2b2fb726cebaa77c69f4661b26479782.jpg,Стеллаж производственный КОБОР Expert MR4-80/60,320013,17594,RUB,Нет,КОБОР,Промышленная мебель,Стеллажи,https://entero.ru/item/373845,"<p>Стеллаж <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373845""><b class=""b"">Kobor Expert MR4-80/60</b></a> предназначен для хранения инструментов, инвентаря, комплектующих, расходных материалов, штучных изделий или тарированных мелких грузов в производственных, складских и подсобных помещениях предприятий различных отраслей, мастерских и гаражах, а также для хранения документации в офисах и архивах. Модель оснащена 4 сплошными полками. Полки выполнены из стали с покрытием порошковой краской черного цвета (RAL 9005) с текстурой муар и усилены подштамповками, каркасные стойки – из стального профиля с порошковой краской светло-серого оттенка (RAL 7035) с текстурой муар.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Регулировка высоты полок</li>
<li>Регулируемые по высоте подпятники для компенсации неровностей пола</li>
<li>Повышенные жесткость и устойчивость конструкции</li>
<li>Износостойкое антикоррозийное покрытие</li>
<li>Быстрые сборка и демонтаж</li>
<li>Эргономичный минималистичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Полки: 1,2 мм</li>
<li>Каркасные стойки: 2 мм</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",373845,800 мм,600 мм,1800 мм,0,Россия,Россия,сплошные
