Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Материал,Тип установки,Максимальная нагрузка,Количество полок,Количество ящиков
https://cdn.entero.ru/mp@2x/39/ba/39ba26ba5ae94c600be779f5102cd6dc.jpg,Шкаф ПРОМЕТ TC-1995,S30599015046,28865,RUB,Да,,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/222803,"<p>Шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/222803""><b class=""b"">ПРОМЕТ TC-1995</b></a> предназначен для надежного хранения инструментов, оснастки, крепежа, оргтехники и одежды на производственных участках и станциях технического обслуживания. Корпус выполнен из стали. </p>

<p>В комплект поставки входит ключевой замок Burg GSC813 и ручки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Бесшумный ход дверей</li>
<li>Надежное запирание шкафа</li>
<li>Прошковое покртие</li>
<li>Поставляется в разобранном виде</li>
<li>Цвет:</li>
<li>Корпус: серый полуматовый (RAL 7038)</li>
<li>Двери: синий (RAL 5002)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 0,8 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Цвет изделия может отличаться от представленного на фото.</span></em></p>",222803,950 мм,500 мм,1900 мм,0,https://entero.ru/manuals/267184/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%BD%D0%B0%20%D0%9F%D0%A0%D0%9E%D0%9C%D0%95%D0%A2%20TC-1995.pdf,30068,54 кг,,Россия,сталь,,200 кг,,
https://cdn.entero.ru/mp@2x/ea/10/ea10bdc42d92d99a365de7945dcd9c12.jpg,Шкаф ДВК ERGO 181/2 №4,КГ022559,25448,RUB,Нет,,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/216194,"<p>Шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216194""><b class=""b"">ДВК ERGO 181/2 №4 </b></a>предназначен для надежного хранения инструментов, оснастки, крепежа, оргтехники и одежды на производственных участках и станциях технического обслуживания. Модель оснащена перфорированной стенкой и 2 внутренними полками. Корпус выполнен из металла. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Полка ERGO (1) - 2 шт. </li>
<li>Стенка перфорированная ERGO (1) - 1 шт. </li>
<li>Корпус шкафа ERGO 181/2 - 1 шт. </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Надежный ригельный запирающий механизм</li>
<li>Прочный сборно-разборный корпус </li>
<li>Усиленная система установки полок и ящиков</li>
<li>Возможность установки полок под углом до 20°</li>
<li>Наличие кабелеканала в корпусе шкафа </li>
<li>Набор наклеек для обозначения мест хранения </li>
<li>Износостойкое порошковое покрытие</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 150 / 50 кг </li>
<li>Шаг перфорации: 35 мм </li>
<li>Толщина стенок: 0,8 / 1,5 мм</li>
<li>Цвет: синий (RAL 5005) / светло-серый (RAL 7035)</li>
</ul>",216194,800 мм,500 мм,910 мм,0,https://entero.ru/manuals/255956/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20ERGO%20181_2%20%E2%84%964.pdf;https://entero.ru/manuals/255955/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,26787,39.08 кг,,Россия,металл,,500 кг,2,
https://cdn.entero.ru/mp@2x/83/c4/83c4d6177242a7f79b2a529223204784.jpg,Шкаф ДВК ERGO 181/2 №11,КГ022566,35990,RUB,Нет,,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/216084,"<p>Шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216084""><b class=""b"">ДВК ERGO 181/2 №11</b></a> предназначен для надежного хранения инструментов, оснастки, крепежа, оргтехники и одежды на производственных участках и станциях технического обслуживания. Модель оснащена 4 полками с перегородкой и выдвижным ящиком. Корпус выполнен из металла. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Перегородка-полка ERGO (2) - 1 шт. </li>
<li>Полка ERGO (2) - 4 шт.</li>
<li>Ящик ERGO (1) - 1 шт. </li>
<li>Корпус шкафа ERGO 181/2 - 1 шт. </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Надежный ригельный запирающий механизм</li>
<li>Прочный сборно-разборный корпус </li>
<li>Усиленная система установки полок и ящиков</li>
<li>Возможность установки полок под углом до 20°</li>
<li>Наличие кабелеканала в корпусе шкафа </li>
<li>Набор наклеек для обозначения мест хранения </li>
<li>Износостойкое порошковое покрытие</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 150 / 50 кг </li>
<li>Шаг перфорации: 35 мм </li>
<li>Толщина стенок: 0,8 / 1,5 мм</li>
<li>Полезные габариты ящиков: 90х700/320х380 мм </li>
<li>Цвет: синий (RAL 5005) / светло-серый (RAL 7035)</li>
</ul>",216084,800 мм,500 мм,910 мм,0,https://entero.ru/manuals/255827/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20ERGO%20181_2%20%E2%84%9611.pdf;https://entero.ru/manuals/255826/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,40.7 кг,,Россия,металл,,500 кг,4,1
https://cdn.entero.ru/mp@2x/51/8f/518f94b1484a0653cd4a2c5ba5a10d4d.jpg;https://cdn.entero.ru/mp@2x/01/0b/010bbb8302eb3ade88338160ba6ac522.jpg;https://cdn.entero.ru/mp@2x/64/c9/64c9120c57cb40d8285ce067532f53e9.jpg;https://cdn.entero.ru/mp@2x/1b/9b/1b9b1b23428a9233b2f740e6cde1bcae.jpg;https://cdn.entero.ru/mp@2x/6e/8f/6e8f8eee8485ff0de02f852df291e76d.jpg;https://cdn.entero.ru/mp@2x/5b/fc/5bfc700755f59632948b8244a436e4ce.jpg,Шкаф ДВК ERGO XM 01,ER-00022816,59440,RUB,Нет,,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/328290,"<p>Шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/328290""><b class=""b"">ДВК ERGO XM 01 </b></a>предназначен для надежного хранения инструментов, оснастки, крепежа, оргтехники и одежды на производственных участках и станциях технического обслуживания. Модель оснащена 4 внутренними полками и винтовыми регулируемыми опорами для компенсации неровностей пола. Сборно-разборный шкаф и распашные двери выполнены из стального холоднокатаного листа с покрытием -порошковая полиэфирная краска, шагрень, полка - из цельногнутого оцинкованного стального листа, основание опор из полиамида, замок с покрытием цинк.</p>

<p>Изделие поставляется в разобранном виде.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Надежный ригельный запирающий механизм</li>
<li>Прочный сборно-разборный корпус </li>
<li>Вертикальные ребра жесткости, препятствующие скручиванию дверей</li>
<li>Полка с центральным ребром жесткости</li>
<li>Подпружиненные петли со стальной осью d 6 мм для установки дверей в корпус шкафа </li>
<li>4 резиновых демпфера для поглощения шума при закрытии дверей</li>
<li>Стальные кронштейны толщиной 2 мм с шагом 25 мм для установки полок в корпус</li>
<li>Двойной ряд продольных отверстий на полках для дополнительного оснащения перегородками (под заказ)</li>
<li>Задняя стенка оснащена кабелеканалом для подзарядки эл. инструмента</li>
<li>Ригельный замок запирания с секретностью 2000 комбинаций с поворотной стальной ручкой (2 ключа в комплекте) и круглыми тягами вверх/вниз d 6 мм</li>
<li>Пассивная створка для удобства открывания имеет внутреннюю ручку из полиамида</li>
<li>Износостойкое порошковое покрытие</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 150 кг </li>
<li>Нагрузка на конструкцию: 500 кг</li>
<li>Толщина стального листа корпуса: 1,5 мм</li>
<li>Толщина стального листа дверей: 1,2 мм</li>
<li>Ход регулировки опор: 25 мм </li>
<li>Диаметр основания опор: 60 мм </li>
<li>Крепление опор: болт М10</li>
<li>Угол открывания дверей: 110 градусов</li>
<li>Размер внутренней ручки: 136х36 мм</li>
<li>Цвет: светло-серый (RAL 7035);синий (RAL 5005)</li>
</ul>",328290,850 мм,550 мм,2000 мм,0,https://entero.ru/manuals/389874/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,63234,116.9 кг,,Россия,металл,,500 кг,4,
https://cdn.entero.ru/mp@2x/d1/64/d164635b7b314c4c8440c891376b5464.jpg,Шкаф ДВК ERGO 181/2 №10,КГ022565,59490,RUB,Нет,,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/216079,"<p>Шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216079""><b class=""b"">ДВК ERGO 181/2 №10</b></a> предназначен для надежного хранения инструментов, оснастки, крепежа, оргтехники и одежды на производственных участках и станциях технического обслуживания. Модель оснащена 2 полками с перегородкой и 7 выдвижными ящиками. Корпус выполнен из металла. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Перегородка-полка ERGO (2) - 1 шт. </li>
<li>Полка ERGO (2) - 2 шт.</li>
<li>Ящик ERGO (1) - 1 шт. </li>
<li>Ящик ERGO (2) - 6 шт. </li>
<li>Корпус шкафа ERGO 181/2 - 1 шт. </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Надежный ригельный запирающий механизм</li>
<li>Прочный сборно-разборный корпус </li>
<li>Усиленная система установки полок и ящиков</li>
<li>Возможность установки полок под углом до 20°</li>
<li>Наличие кабелеканала в корпусе шкафа </li>
<li>Набор наклеек для обозначения мест хранения </li>
<li>Износостойкое порошковое покрытие</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 150 / 50 кг </li>
<li>Шаг перфорации: 35 мм </li>
<li>Толщина стенок: 0,8 / 1,5 мм</li>
<li>Полезные габариты ящиков: 90х700/320х380 мм </li>
<li>Цвет: синий (RAL 5005) / светло-серый (RAL 7035)</li>
</ul>",216079,800 мм,500 мм,910 мм,0,https://entero.ru/manuals/255822/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20ERGO%20181_2%20%E2%84%9610.pdf;https://entero.ru/manuals/255821/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,63287,50 кг,,Россия,металл,,500 кг,3,7
https://cdn.entero.ru/mp@2x/31/5d/315d1271ce370de41ea990b9db0193cf.jpg;https://cdn.entero.ru/mp@2x/3c/5d/3c5dcf174bc847932a912880e4a89c22.jpg,Шкаф инструментальный ДиКом ВС-055-01 с дверьми с окнами,Шкаф инструментальный ДиКом ВС-055-01 с дверьми с окнами,99316,RUB,Нет,,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/225929,"<p>Инструментальный шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225929""><b class=""b"">ДиКом ВС-055-01 </b></a>предназначен для хранения инструментов, материалов и оснастки на предприятиях тяжелого машиностроения, в мастерских, гаражах, профессиональных автосервисах и помещениях производственного назначения. Модель оснащена 4 полками и дверьми с окнами. Корпус изготовлен из стали, полки - из оцинкованного металла, двери - из прозрачного ударопрочного поликарбоната.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Замок-ручка Euro-Locks </li>
<li>Ригельная система запирания </li>
<li>Магнитная защёлка</li>
<li>Эпоксидная порошковая краска Teknos</li>
<li>Гладкая матовая поверхность </li>
<li>Антикоррозийная обработка</li>
<li>Усиленная сборно-разборная конструкция корпуса </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 200 кг </li>
<li>Угол открытия дверей: 180°</li>
<li>Шаг регулировки полок по высоте: 25 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/225920"">Подставка ВС-05</a> (для перемещения вилами) </li>
<li><a href=""https://entero.ru/item/225921"">Подставка ВС-05 + Цоколь ВС-05</a></li>
<li><a href=""https://entero.ru/item/225922"">Комплект для перемещения краном ВС</a>​</li>
</ul>",225929,1050 мм,625 мм,2000 мм,0,https://entero.ru/manuals/272529/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20%D0%92%D0%A1-055-01.pdf;https://entero.ru/manuals/272528/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,104543,171.3 кг,,Россия,сталь,,1500 кг,4,
https://cdn.entero.ru/mp@2x/56/ba/56baa6b924d7b562e9b987dc4ebfce9d.jpg,Шкаф инструментальный ДиКом ВС-055-03 с глухими дверьми,Шкаф инструментальный ДиКом ВС-055-03 с глухими дверьми,202500,RUB,Нет,,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/225932,"<p>Инструментальный шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225932""><b class=""b"">ДиКом ВС-055-03 </b></a>предназначен для хранения инструментов, материалов и оснастки на предприятиях тяжелого машиностроения, в мастерских, гаражах, профессиональных автосервисах и помещениях производственного назначения. Модель оснащена 4 выкатными платформами и глухими дверьми. Корпус изготовлен из стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Замок-ручка Euro-Locks </li>
<li>Ригельная система запирания </li>
<li>Магнитная защёлка</li>
<li>Телескопические направляющие полного выдвижения</li>
<li>Эпоксидная порошковая краска Teknos</li>
<li>Гладкая матовая поверхность </li>
<li>Антикоррозийная обработка</li>
<li>Устойчивость к механическим воздействиям и агрессивным жидкостям</li>
<li>Усиленная сборно-разборная конструкция корпуса </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на выкатную платформу: 200 кг </li>
<li>Угол открытия дверей: 180°</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/225920"">Подставка ВС-05</a> (для перемещения вилами) </li>
<li><a href=""https://entero.ru/item/225921"">Подставка ВС-05 + Цоколь ВС-05</a></li>
<li><a href=""https://entero.ru/item/225922"">Комплект для перемещения краном ВС</a>​</li>
</ul>",225932,1050 мм,625 мм,2000 мм,0,https://entero.ru/manuals/272535/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20%D0%92%D0%A1-055-03.pdf;https://entero.ru/manuals/272534/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,,276.3 кг,,Россия,сталь,,1500 кг,,
https://cdn.entero.ru/mp@2x/2e/15/2e1537e91c281c3bad8426ab272df7d3.jpg;https://cdn.entero.ru/mp@2x/ed/cc/edcc58887e25990841c46b0ade0335d1.jpg;https://cdn.entero.ru/mp@2x/f7/06/f706283f2b569f89cd6d09dcff552b64.jpg,Шкаф КОБОР Expert MM/1-50/32 1S,330022,11460,RUB,Нет,КОБОР,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/367075,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/367075"">Кобор Expert MM/1-50/32 1S</a></b> предназначен для хранения оснастки, приспособлений и инструмента на рабочих местах в мастерских, цехах и других производственных зонах. Модель оснащена распашной дверью с внутренней перфорацией для навешивания крючков и держателей, регулируемой по высоте полкой и ригельным замком. Благодаря подвесной конструкции шкаф можеть быть установлен на стандартные перфорированные профили или напрямую к стене. Корпус выполнен из листовой стали с порошковой краской, которая отличается высокой устойчивостью к истиранию, влаге, моющим и смазочным веществам.</p>",367075,500 мм,325 мм,700 мм,0,,12457,,Россия,Россия,сталь,подвесной,,2,
https://cdn.entero.ru/mp@2x/fb/5e/fb5e94ddf104ab049f7cb1c364ca5eed.jpg;https://cdn.entero.ru/mp@2x/b4/4e/b44ed9550ef316271c79728eda8776ea.jpg;https://cdn.entero.ru/mp@2x/fe/c2/fec2d95bcb3a42acc524d3df79ff1d50.jpg,Шкаф КОБОР Expert MM/1-50/32 1P,330021,11818,RUB,Нет,КОБОР,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/367074,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/367074"">Кобор Expert MM/1-50/32 1P</a></b> предназначен для хранения оснастки, приспособлений и инструмента на рабочих местах в мастерских, цехах и других производственных зонах. Модель оснащена распашной дверью с внутренней перфорацией для навешивания крючков и держателей, перфопанелью и ригельным замком. Благодаря подвесной конструкции шкаф можеть быть установлен на стандартные перфорированные профили или напрямую к стене. Корпус выполнен из листовой стали с порошковой краской, которая отличается высокой устойчивостью к истиранию, влаге, моющим и смазочным веществам.</p>",367074,500 мм,325 мм,700 мм,0,,12846,,Россия,Россия,сталь,подвесной,,,
https://cdn.entero.ru/mp@2x/23/4c/234cc795e942f56aa1738a6d1e6d37b2.jpg;https://cdn.entero.ru/mp@2x/ef/58/ef583165e38ffd78c602b34703a4b529.jpg;https://cdn.entero.ru/mp@2x/81/5e/815e992927e4ceb1bc611ce10b2cad25.jpg,Шкаф КОБОР Expert MM/3-100/32 1P,330025,16325,RUB,Нет,КОБОР,Промышленная мебель,Шкафы инструментальные,https://entero.ru/item/367078,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/367078"">Кобор Expert MM/3-100/32 1P</a></b> предназначен для хранения оснастки, приспособлений и инструмента на рабочих местах в мастерских, цехах и других производственных зонах. Модель оснащена распашной дверью. Благодаря подвесной конструкции шкаф можеть быть установлен на стандартные перфорированные профили или напрямую к стене. Корпус выполнен из листовой стали с порошковой краской, которая отличается высокой устойчивостью к истиранию, влаге, моющим и смазочным веществам.</p>",367078,1050 мм,325 мм,600 мм,0,,,,Россия,Россия,сталь,подвесной,,,
