Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Температурный режим,Ширина,Глубина,Высота,Остаток,Файлы,Видео,Родина бренда,Страна-производитель,Цвет,Количество ячеек,Исполнение дверей
https://cdn.entero.ru/mp@2x/84/e6/84e6720d46ee5d3bc718a1b3a17d0f3a.jpg,Продуктомат POLAIR iCell Cold- 6sd белый,Продуктомат POLAIR iCell Cold- 6sd белый,0,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188407,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188407""><b class=""b"">POLAIR iCell Cold- 6sd</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х605 мм</li>
</ul>",188407,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219127/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%206sd.pdf;https://entero.ru/manuals/264911/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,белый,6,глухие
https://cdn.entero.ru/mp@2x/83/3d/833d99aaf3d45bf0de5be23a3c86baed.jpg,Продуктомат POLAIR iCell Cold- 6td белый,Продуктомат POLAIR iCell Cold- 6td белый,0,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188424,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188424""><b class=""b"">POLAIR iCell Cold- 6td</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х605 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с глухими дверками ячеек.</span></em></p>",188424,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219158/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%206std.pdf;https://entero.ru/manuals/264914/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,белый,6,прозрачные
https://cdn.entero.ru/mp@2x/4a/e3/4ae3a97b586b0be3c8124b8976868dec.jpg,Продуктомат POLAIR iCell Cold- 8sd белый,Продуктомат POLAIR iCell Cold- 8sd белый,0,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188426,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188426""><b class=""b"">POLAIR iCell Cold- 8sd</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х442 мм</li>
</ul>",188426,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219163/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%208sd.pdf;https://entero.ru/manuals/264916/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,белый,8,глухие
https://cdn.entero.ru/mp@2x/be/b8/beb857fa04d32ae6cddf0a5cbd9c153b.jpg,Продуктомат POLAIR iCell Cold- 8td белый,Продуктомат POLAIR iCell Cold- 8td белый,0,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188428,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188428""><b class=""b"">POLAIR iCell Cold- 8td</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х442 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с глухими дверками ячеек.</span></em></p>",188428,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219165/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%208td.pdf;https://entero.ru/manuals/264918/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,белый,8,прозрачные
https://cdn.entero.ru/mp@2x/01/b7/01b70df20cc4e53ef48e62f6683ef579.jpg,Продуктомат POLAIR iCell Cold- 10sd белый,Продуктомат POLAIR iCell Cold- 10sd белый,0,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188434,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188434""><b class=""b"">POLAIR iCell Cold- 10sd</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х345 мм</li>
</ul>",188434,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219173/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%2010sd.pdf;https://entero.ru/manuals/264907/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,белый,10,глухие
https://cdn.entero.ru/mp@2x/0b/bb/0bbb589409c7012c306fa806e85c9c6f.jpg,Продуктомат POLAIR iCell Cold- 10td белый,Продуктомат POLAIR iCell Cold- 10td белый,0,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188435,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188435""><b class=""b"">POLAIR iCell Cold- 10td</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х345 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с глухими дверками ячеек.</span></em></p>",188435,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219175/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%2010td.pdf;https://entero.ru/manuals/264909/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,белый,10,прозрачные
https://cdn.entero.ru/mp@2x/ad/0b/ad0bc32635378340d4c30fd5e64c2c56.jpg,Продуктомат POLAIR iCell Cold- 6sd черный,Продуктомат POLAIR iCell Cold- 6sd черный,362950,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188400,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188400""><b class=""b"">POLAIR iCell Cold- 6sd</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х605 мм</li>
</ul>",188400,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219122/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%206sd.pdf;https://entero.ru/manuals/264912/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,черный,6,глухие
https://cdn.entero.ru/mp@2x/9e/2c/9e2c5cac6f07d1dfc248dc558f363e3a.jpg,Продуктомат POLAIR iCell Cold- 6td черный,Продуктомат POLAIR iCell Cold- 6td черный,362950,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188422,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188422""><b class=""b"">POLAIR iCell Cold- 6td</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х605 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с глухими дверками ячеек.</span></em></p>",188422,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219156/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%206std%20%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9.pdf;https://entero.ru/manuals/264915/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,черный,6,прозрачные
https://cdn.entero.ru/mp@2x/92/fc/92fcee95a0b91ac2c05192857b2c8944.jpg,Продуктомат POLAIR iCell Cold- 8sd черный,Продуктомат POLAIR iCell Cold- 8sd черный,369750,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188425,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188425""><b class=""b"">POLAIR iCell Cold- 8sd</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х442 мм</li>
</ul>",188425,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219162/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%208sd.pdf;https://entero.ru/manuals/264917/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,черный,8,глухие
https://cdn.entero.ru/mp@2x/72/77/7277170046eee2a1e5801f5485389841.jpg,Продуктомат POLAIR iCell Cold- 8td черный,Продуктомат POLAIR iCell Cold- 8td черный,369750,RUB,Нет,POLAIR,Точки продаж,Продуктоматы,https://entero.ru/item/188429,"<p>Продуктомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188429""><b class=""b"">POLAIR iCell Cold- 8td</b></a> используется в бизнес-центрах, на проходных предприятий и стоянках гипермаркетов для выдачи и хранения продуктовых заказов из интернет-магазинов и сетевых супермаркетов.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Оптимальная температура хранения продуктов </li>
<li>Возможность заказа охлажденных и замороженных продуктов</li>
<li>Возможность круглосуточного получения заказов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры ячеек: 572х442 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с глухими дверками ячеек.</span></em></p>",188429,от 0 до 5 °C,1360 мм,760 мм,2460 мм,0,https://entero.ru/manuals/219166/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20POLAIR%20iCell%20Cold-%208td.pdf;https://entero.ru/manuals/264919/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Polair.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456240504&hd=2&autoplay=0,Россия,Россия,черный,8,прозрачные
