Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Остаток,Файлы,Родина бренда,Страна-производитель,Цвет,Монтаж,Гигростат,Размещение,Предстарт,Вентиляция
https://cdn.entero.ru/mp@2x/49/c5/49c577bca9da02465343357f4df5f0f2.jpg;https://cdn.entero.ru/mp@2x/14/0b/140b2916f57f09f2a12dc409085c0b61.jpg;https://cdn.entero.ru/mp@2x/f9/df/f9df49316dd59b0217d54eaee8229cb1.jpg;https://cdn.entero.ru/mp@2x/29/2a/292aaed32423221149fa88e20e3ad32c.jpg;https://cdn.entero.ru/mp@2x/68/cb/68cb6a3171c607729b45ec6dd4b14f5b.jpg,Шкаф климатический MASTERMANN Пластик-3УТП+,Mastermann-Пластик-3УТП+,21400,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370117,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370117"">MASTERMANN Пластик-3УТП+</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Модель отличается диэлектрическими свойствами и радиопрозрачностью. Технология гаскетинг обеспечивает бесшовность уплотнителя и высокий уровень герметичности. Корпус выполнен из композита, который отличается высокой прочностью и устойчивостью к коррозии, утеплитель - из порилекса.</p>

<p>В комплект поставки входят 2 замка, ключ, монтажная плата, 2 гермоввода, розетка, автоматический выключатель, термореле, реле предстарта и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Класс защиты IP66</li>
<li>Степень ударопрочности IK10</li>
<li>Долгий срок службы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние габариты: 340х540х220 мм</li>
<li>Толщина стенки корпуса: 3 мм</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Мощность нагревателя: 0,075 кВт</li>
<li>Напряжение: 230 В</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370117,405 мм,260 мм,587 мм,10.1 кг,0,https://entero.ru/manuals/493528/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MASTERMANN%20%D0%9F%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D0%BA-3%D0%A3%D0%A2%D0%9F+.pdf,Россия,Россия,серый,настенный,,"внутри помещений, на улице",Да,отсутствует
https://cdn.entero.ru/mp@2x/f1/84/f184b0c4e7e1a6e0a04314031ccfa870.jpg;https://cdn.entero.ru/mp@2x/57/b5/57b583b7109e75be355e4b946d52dd05.jpg;https://cdn.entero.ru/mp@2x/91/8e/918e1364e5a2aaf3f207f1ee08f2dbbc.jpg;https://cdn.entero.ru/mp@2x/76/f6/76f6b38d20f9ac1f39261f1ace940caa.jpg;https://cdn.entero.ru/mp@2x/7b/61/7b61fefe29f7ef7f6caa27cd33fc2c03.jpg;https://cdn.entero.ru/mp@2x/83/25/83250fb51a50ecb9e5f50ce0c3b270e8.jpg;https://cdn.entero.ru/mp@2x/f3/6d/f36d188381cc489597a64149ac204c5b.jpg,Шкаф климатический MASTERMANN 2УТ (Ver. 2.0),Mastermann-2УТ (Ver. 2.0),13767,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370095,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370095"">MASTERMANN 2УТ (Ver. 2.0)</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Монтажная панель со смонтированными компонентами системы поддержания температуры обеспечивает безопасную работу оборудования. Корпус и дверь выполнены из стали, покрытой порошковой полиэфирной краской, утеплитель - из экструдированного пенополистирола.</p>

<p>В комплект поставки входят замок, ключ, монтажная плата, 2 гермоввода, розетка, автоматический выключатель, термореле и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Сварная цельнометаллическая конструкция</li>
<li>Класс защиты IP66</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние габариты: 248х348х127 мм</li>
<li>Толщина:
<ul>
<li>Стенка корпуса: 1 мм</li>
<li>Пенополистирол: 20 мм</li>
</ul>
</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Напряжение: 230 В</li>
<li>Мощность нагревателя: 0,03 кВт</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370095,290 мм,190 мм,390 мм,5 кг,0,https://entero.ru/manuals/493410/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MASTERMANN%202%D0%A3%D0%A2%20%28Ver.%202.0%29.pdf,Россия,Россия,серый,настенный,,"внутри помещений, на улице",,отсутствует
https://cdn.entero.ru/mp@2x/6d/9d/6d9dad650220ee6b54a52e05eab0c64f.jpg;https://cdn.entero.ru/mp@2x/b0/63/b0637c8f9e85042e94e65912d84ebd5f.jpg;https://cdn.entero.ru/mp@2x/45/20/45207e4cd2419eb6030b7ef0b14159f5.jpg;https://cdn.entero.ru/mp@2x/0a/d9/0ad9c80df022afe469cf60fe1843c9f7.jpg;https://cdn.entero.ru/mp@2x/c4/6b/c46b3281ef0cd70672c28791ccd39f53.jpg,Шкаф климатический MASTERMANN 12УТ (Ver. 2.0),Mastermann-12УТ (Ver. 2.0),13767,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370097,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370097"">MASTERMANN 12УТ (Ver. 2.0)</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Монтажная панель со смонтированными компонентами системы поддержания температуры обеспечивает безопасную работу оборудования. Корпус и дверь выполнены из листовой стали, покрытой порошковой полиэфирной краской, утеплитель - из полирекса.</p>

<p>В комплект поставки входят 2 замка, 1 ключ, монтажная плата, 2 гермоввода MG-25, розетка, автоматический выключатель, 6А, 2 клеммы для подключения оборудования, клемма заземления, термореле и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Сварная цельнометаллическая конструкция</li>
<li>Класс защиты IP66</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние габариты: 277х377х120 мм</li>
<li>Толщина стенок корпуса: 1 мм</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Напряжение: 230 В</li>
<li>Мощность нагревателя: 0,05 кВт</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370097,300 мм,150 мм,400 мм,6.3 кг,0,https://entero.ru/manuals/493414/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MASTERMANN%2012%D0%A3%D0%A2%20%28Ver.%202.0%29.pdf,Россия,Россия,серый,настенный,,"внутри помещений, на улице",,отсутствует
https://cdn.entero.ru/mp@2x/19/3b/193b7b7a0e0ab126c66adbf0e8353834.jpg;https://cdn.entero.ru/mp@2x/28/68/28683d3214e03f1cf461369da715908a.jpg;https://cdn.entero.ru/mp@2x/e4/be/e4becffc9faa81e2b68e661b24b24d4c.jpg;https://cdn.entero.ru/mp@2x/e9/32/e932938279d6654a2eb9984d6eb80554.jpg;https://cdn.entero.ru/mp@2x/23/6b/236b6ceed6a343acd164e1f130436e82.jpg;https://cdn.entero.ru/mp@2x/55/f4/55f4ace5eecf69e122eaa780467dc640.jpg,Шкаф климатический MASTERMANN 2УТП (Ver. 2.0),Mastermann-2УТП (Ver. 2.0),14067,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370099,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370099"">MASTERMANN 2УТП (Ver. 2.0)</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Монтажная панель со смонтированными компонентами системы поддержания температуры обеспечивает безопасную работу оборудования. Корпус и дверь выполнены из стали, покрытой порошковой полиэфирной краской, утеплитель - из пенополистирола.</p>

<p>В комплект поставки входят замок, ключ, монтажная плата, 2 гермоввода, розетка, автоматический выключатель, термореле, реле предстарта и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Сварная цельнометаллическая конструкция</li>
<li>Класс защиты IP66</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние габариты: 248х348х127 мм</li>
<li>Толщина стенки корпуса: 1 мм</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Напряжение: 230 В</li>
<li>Мощность нагревателя: 0,05 кВт</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370099,290 мм,190 мм,390 мм,5 кг,0,https://entero.ru/manuals/493421/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MASTERMANN%202%D0%A3%D0%A2%D0%9F%20%28Ver.%202.0%29.pdf,Россия,Россия,серый,настенный,,"внутри помещений, на улице",Да,отсутствует
https://cdn.entero.ru/mp@2x/58/b2/58b26b131aac56af20374693d04aa6fc.jpg;https://cdn.entero.ru/mp@2x/5a/49/5a49ba0524191536c3a638ee191bceda.jpg;https://cdn.entero.ru/mp@2x/d5/af/d5afbb65e84e7a9a5384a43e3f98df2d.jpg;https://cdn.entero.ru/mp@2x/33/05/3305f9c6a5dbb3446222383e6bb6e07a.jpg;https://cdn.entero.ru/mp@2x/91/03/910379e67692031da45f2ed68b3216c4.jpg,Шкаф климатический MASTERMANN 12УТП (Ver. 2.0),Mastermann-12УТП (Ver. 2.0),14067,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370100,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370100"">MASTERMANN 12УТП (Ver. 2.0)</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Монтажная панель со смонтированными компонентами системы поддержания температуры обеспечивает безопасную работу оборудования. Корпус и дверь выполнены из листовой стали, покрытой порошковой полиэфирной краской, утеплитель - из фольгированного порилекса.</p>

<p>В комплект поставки входят 2 замка, ключ, монтажная плата, 2 гермоввода MG-25, розетка, автоматический выключатель 6А, 2 клеммы для подключения оборудования, клемма заземления, термореле, реле предстарта и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Сварная цельнометаллическая конструкция</li>
<li>Класс защиты IP66</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние габариты: 277х377х120 мм</li>
<li>Толщина:
<ul>
<li>Стенки корпуса: 1 мм</li>
<li>Утеплитель: 10 мм</li>
</ul>
</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Напряжение: 230 В</li>
<li>Мощность нагревателя: 0,05 кВт</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370100,300 мм,150 мм,400 мм,6.3 кг,0,https://entero.ru/manuals/493426/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MASTERMANN%2012%D0%A3%D0%A2%D0%9F%20%28Ver.%202.0%29.pdf,Россия,Россия,серый,настенный,,"внутри помещений, на улице",Да,отсутствует
https://cdn.entero.ru/mp@2x/fd/b0/fdb09ceecf766cd5f9528203479c32a7.jpg;https://cdn.entero.ru/mp@2x/e2/81/e281a24bb69fb7169cfe3eb772e71719.jpg;https://cdn.entero.ru/mp@2x/f4/6d/f46d6ea205bdf74998d820fad0d36763.jpg;https://cdn.entero.ru/mp@2x/79/91/79911485569eb7bacaa206be9d744180.jpg;https://cdn.entero.ru/mp@2x/17/9a/179adfd84ce23ad1fb79306910f3f0a2.jpg,Шкаф климатический MASTERMANN 12УТ+ (Ver. 2.0),Mastermann-12УТ+ (Ver. 2.0),14267,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370098,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370098"">MASTERMANN 12УТ+ (Ver. 2.0)</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Монтажная панель со смонтированными компонентами системы поддержания температуры обеспечивает безопасную работу оборудования. Корпус и дверь выполнены из листовой стали, покрытой порошковой полиэфирной краской, утеплитель - из порилекса.</p>

<p>В комплект поставки входят 2 замка, 1 ключ, монтажная плата, 2 гермоввода MG-25, розетка, автоматический выключатель 6А, 2 клеммы для подключения оборудования, клемма заземления, термореле и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Сварная цельнометаллическая конструкция</li>
<li>Класс защиты IP66</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние габариты: 277х377х190 мм</li>
<li>Толщина стенок корпуса: 1 мм</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Напряжение: 230 В</li>
<li>Мощность нагревателя: 0,05 кВт</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370098,300 мм,220 мм,400 мм,7.1 кг,0,https://entero.ru/manuals/493419/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MASTERMANN%2012%D0%A3%D0%A2+%20%28Ver.%202.0%29.pdf,Россия,Россия,серый,настенный,,"внутри помещений, на улице",,отсутствует
https://cdn.entero.ru/mp@2x/2f/9d/2f9dd093a79210f193829d8c6acdd325.jpg;https://cdn.entero.ru/mp@2x/79/d1/79d10f1006ee6853333f29a7fd14a177.jpg;https://cdn.entero.ru/mp@2x/ba/4a/ba4a08d05b621f94e3192dd8d0182977.jpg;https://cdn.entero.ru/mp@2x/be/ff/beffc8480e029c22a6e84c12ed46d74e.jpg;https://cdn.entero.ru/mp@2x/df/e6/dfe62769c1ba2a2c759c2b832f5499d1.jpg;https://cdn.entero.ru/mp@2x/b3/1e/b31e0c23bec78a89758c6465344c111c.jpg,Шкаф климатический MASTERMANN Пластик-2УТ+,Mastermann-Пластик-2УТ+,14267,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370103,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370103"">MASTERMANN Пластик-2УТ+</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Модель отличается диэлектрическими свойствами и радиопрозрачностью. Технология гаскетинг обеспечивает бесшовность уплотнителя и высокий уровень герметичности. Корпус выполнен из композита, который отличается высокой прочностью и устойчивостью к коррозии, утеплитель - из порилекса.</p>

<p>В комплект поставки входят замок, ключ, монтажная плата, 2 гермоввода, розетка, автоматический выключатель, термореле и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Класс защиты IP66</li>
<li>Степень ударопрочности IK10</li>
<li>Долгий срок службы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стенки корпуса: 3 мм</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Мощность нагревателя: 0,05 кВт</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370103,335 мм,200 мм,417 мм,6.5 кг,0,,Россия,Россия,серый,настенный,,"внутри помещений, на улице",,отсутствует
https://cdn.entero.ru/mp@2x/bb/8f/bb8f5c8b5518840935e37912f6059a02.jpg;https://cdn.entero.ru/mp@2x/ad/ad/adade92adb7a9cd910292e85149f83c1.jpg;https://cdn.entero.ru/mp@2x/3e/4c/3e4c08672344530b181f7a9e567a1a90.jpg;https://cdn.entero.ru/mp@2x/7b/96/7b96cc2bb4a4248e61b2c8fdd45d0476.jpg;https://cdn.entero.ru/mp@2x/9c/45/9c456c005bcb9f4241ab3ac68b94b4a4.jpg,Шкаф климатический MASTERMANN 12УТП+ (Ver. 2.0),Mastermann-12УТП+ (Ver. 2.0),15067,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370101,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370101"">MASTERMANN 12УТП+ (Ver. 2.0)</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Монтажная панель со смонтированными компонентами системы поддержания температуры обеспечивает безопасную работу оборудования. Корпус и дверь выполнены из листовой стали, покрытой порошковой полиэфирной краской, утеплитель - из фольгированного порилекса.</p>

<p>В комплект поставки входят 2 замка, ключ, монтажная плата, 2 гермоввода MG-25, розетка, автоматический выключатель 6А, 2 клеммы для подключения оборудования, клемма заземления, термореле, реле предстарта и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Сварная цельнометаллическая конструкция</li>
<li>Класс защиты IP66</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние габариты: 277х377х190 мм</li>
<li>Толщина:
<ul>
<li>Стенки корпуса: 1 мм</li>
<li>Утеплитель: 10 мм</li>
</ul>
</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Напряжение: 230 В</li>
<li>Мощность нагревателя: 0,05 кВт</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370101,300 мм,220 мм,400 мм,6.9 кг,0,https://entero.ru/manuals/493428/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MASTERMANN%2012%D0%A3%D0%A2%D0%9F+%20%28Ver.%202.0%29.pdf,Россия,Россия,серый,настенный,,"внутри помещений, на улице",Да,отсутствует
https://cdn.entero.ru/mp@2x/24/9d/249d0479af2954e5b3a5eac39e05abcd.jpg;https://cdn.entero.ru/mp@2x/15/dc/15dc630dab134ff870c7274cc2dc3c1d.jpg;https://cdn.entero.ru/mp@2x/ee/67/ee679a0d951b1e7530995735ee12ff71.jpg;https://cdn.entero.ru/mp@2x/1a/b2/1ab25a8307d43b2f39ac2d378b9c919e.jpg;https://cdn.entero.ru/mp@2x/a4/2b/a42be13f6216cd38acb5c5332e0a36cf.jpg,Шкаф климатический MASTERMANN Пластик-2УТП+,Mastermann-Пластик-2УТП+,15067,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370104,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370104"">MASTERMANN Пластик-2УТП+</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Модель отличается диэлектрическими свойствами и радиопрозрачностью. Технология гаскетинг обеспечивает бесшовность уплотнителя и высокий уровень герметичности. Корпус выполнен из композита, который отличается высокой прочностью и устойчивостью к коррозии, утеплитель - из порилекса.</p>

<p>В комплект поставки входят замок, ключ, монтажная плата, 2 гермоввода, розетка, автоматический выключатель, термореле, реле предстарта и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Класс защиты IP66</li>
<li>Степень ударопрочности IK10</li>
<li>Долгий срок службы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние габариты: 270х370х160 мм</li>
<li>Толщина стенки корпуса: 3 мм</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Мощность нагревателя: 0,05 кВт</li>
<li>Напряжение: 230 В</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370104,335 мм,200 мм,417 мм,6.5 кг,0,https://entero.ru/manuals/493458/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MASTERMANN%20%D0%9F%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D0%BA-2%D0%A3%D0%A2%D0%9F+.pdf,Россия,Россия,серый,настенный,,"внутри помещений, на улице",Да,отсутствует
https://cdn.entero.ru/mp@2x/c9/57/c957501429e8ee5bee48ea3f96127484.jpg;https://cdn.entero.ru/mp@2x/1e/86/1e861a4042f1c96fb182d487d09ed743.jpg;https://cdn.entero.ru/mp@2x/45/72/45724dd79f244ca5c69e64514ed07d19.jpg;https://cdn.entero.ru/mp@2x/e6/07/e6072239d8dff42da44a89cc980f830c.jpg;https://cdn.entero.ru/mp@2x/43/1a/431ab35ad6ca3d90388f9b0df79bf579.jpg;https://cdn.entero.ru/mp@2x/a1/31/a131d6ebecea883367e2c2d78d1baef9.jpg;https://cdn.entero.ru/mp@2x/e8/87/e8871323b29f4516315ef9a49b2be691.jpg,Шкаф климатический MASTERMANN 3УТ (Ver. 2.0),Mastermann-3УТ (Ver. 2.0),16100,RUB,Да,,Телекоммуникационное оборудование,Климатические шкафы,https://entero.ru/item/370107,"<p>Климатический шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370107"">MASTERMANN 3УТ (Ver. 2.0)</a> </b>используется для безопасного размещения телекоммуникационного оборудования на предприятиях пищевой промышленности, общественного питания и торговли в уличных условиях или в помещениях с колебаниями параметров температуры и влажности. Корпус выполнен из стали, которая отличается прочностью и долговечностью, утеплитель - из пенополистирола.</p>

<p>В комплект поставки входят замок, ключ, монтажная плата, 2 гермоввода, розетка, автоматический выключатель, термореле и нагреватель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Навесная модель</li>
<li>С обогревом</li>
<li>Класс защиты IP66</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина:
<ul>
<li>Стенка корпуса: 1 мм</li>
<li>Пенополистирол: 20 мм</li>
</ul>
</li>
<li>Температура окружающего воздуха: от -55 до +50 °С</li>
<li>Мощность нагревателя: 0,05 кВт</li>
<li>Цвет: серый RAL 7035</li>
</ul>",370107,360 мм,190 мм,560 мм,7.5 кг,0,,Россия,Россия,серый,настенный,,"внутри помещений, на улице",,отсутствует
