Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы,Вес (без упаковки)
https://cdn.entero.ru/mp@2x/e3/92/e39286ca02421f6973a249965237a670.jpg;https://cdn.entero.ru/mp@2x/fe/fe/fefe7558accbd108a317533a30b2e0e7.jpg,Кондиционер UNISPLIT MHW-325S(3),MHW-325S(3)W,277955,RUB,Да,UNISPLIT,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/115565,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115565"">UNISPLIT MHW-325S(3)</a> </b>предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Корпус выполнен из окрашенной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенная</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Холодопроизводительность: 2,2 кВт</li>
<li>Потребляемая мощность: 0,92 кВт</li>
<li>Температура:</li>
<li>Рабочая: от -30 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
<li>Расход воздуха:</li>
<li>Испаритель: 900 м3/час</li>
<li>Конденсатор: 900 м3/час</li>
<li>Максимальный ток: 3,3 А</li>
<li>Номинал внешнего автоматического включателя: от 6,3 до 10 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",115565,380 В,4 кВт,410 мм,350 мм,1580 мм,Россия,0,https://entero.ru/manuals/114914/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UNISPLIT.pdf;https://entero.ru/manuals/473722/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B5%20%D0%BD%D0%B0%20UNISPLIT%20MHW-325S%283%29.pdf;https://entero.ru/manuals/473725/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/473726/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/473728/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20UNISPLIT%20MHW-325S%283%29.jpg,54 кг
https://cdn.entero.ru/mp@2x/ff/22/ff22d01cade57abcba36488318081e44.jpg;https://cdn.entero.ru/mp@2x/b0/8c/b08ce9bd7ea0cbe735b6297bb9ca6660.jpg;https://cdn.entero.ru/mp@2x/d7/e5/d7e50788ac6ff538279b25cc6f7a9a45.jpg;https://cdn.entero.ru/mp@2x/e9/a3/e9a353bc9c0d1af37cdd73f385e2e68f.jpg,Кондиционер UNISPLIT MHW-440S(3),Кондиционер UNISPLIT MHW-440S(3),342240,RUB,Да,UNISPLIT,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/364244,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/364244"">UNISPLIT MHW-440S(3)</a> </b>предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Корпус выполнен из окрашенной стали.</p>

<p>Кондиционер поставляется полностью готовым к работе: заполнен фреоном, с заводской настройкой контроллера (+25°С - выключение кондиционера, +30°С - включение), со вставным блоком клемм подключения, протестирован и проверен отделом контроля качества.</p>

<p><b>Комплектация кондиционера:</b></p>

<ul>
<li>Паспорт/руководство по эксплуатации</li>
<li>Уплотнительная лента</li>
<li>Комплект крепежа</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенная</li>
<li>Мощные малошумные вентиляторы</li>
<li>Надежные теплообменные компоненты</li>
<li>Компрессор: HIGHLY</li>
<li>Ресурс компрессора более 80 000 часов</li>
<li>Контроллер с выводом сигнала ""Авария"" типа ""сухой контакт""</li>
<li>Крепкий эстетичный корпус (RAL7035)</li>
<li>Аналог Rittal</li>
<li>Хладагент: R134a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Холодопроизводительность: 4,2 кВт</li>
<li>Потребляемая мощность: 1,6 кВт</li>
<li>Температура:
<ul>
<li>Рабочая: от -10 до +50 °C</li>
<li>Установленная: от +10 до +40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 2000 м<sup>3</sup>/час</li>
<li>Конденсатор: 1500 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Максимальный ток: 4,2 А</li>
<li>Номинал внешнего автоматического включателя: от 6,3 до 10 A</li>
<li>Допустимое давление: 26 бар</li>
<li>Степень защиты (внеш. контур/внутр. контур) IP34/IP54</li>
</ul>",364244,380 В,4 кВт,500 мм,340 мм,1580 мм,Россия,0,https://entero.ru/manuals/473718/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UNISPLIT.pdf;https://entero.ru/manuals/473729/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20UNISPLIT%20MHW-440S%283%29.pdf;https://entero.ru/manuals/473730/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B5%20%D0%BD%D0%B0%20UNISPLIT%20MHW-440S%283%29.pdf;https://entero.ru/manuals/473731/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%B0%20%D0%BD%D0%B0%20UNISPLIT%20MHW-440S%283%29.jpg;https://entero.ru/manuals/473732/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/473733/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,93 кг
https://cdn.entero.ru/mp@2x/b4/d3/b4d360b102766e731aeacf2338b92fef.jpg;https://cdn.entero.ru/mp@2x/3b/3b/3b3bbf2316b8d9bcc02605d8409de64e.jpg,Кондиционер UNISPLIT MHW-320S(3),MHW-320S(3)W,0,RUB,Нет,UNISPLIT,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/115563,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115563"">UNISPLIT MHW-320S(3)</a> </b>предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Корпус выполнен из окрашенной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенная</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Холодопроизводительность: 2,2 кВт</li>
<li>Потребляемая мощность: 0,92 кВт</li>
<li>Температура:
<ul>
<li>Рабочая: от -30 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 900 м<sup>3</sup>/час</li>
<li>Конденсатор: 900 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Максимальный ток: 3,3 А</li>
<li>Номинал внешнего автоматического включателя: от 6,3 до 10 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",115563,380 В,,410 мм,350 мм,1580 мм,Россия,0,https://entero.ru/manuals/114911/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0.jpg;https://entero.ru/manuals/114910/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UNISPLIT.pdf,54 кг
https://cdn.entero.ru/mp@2x/dd/b0/ddb07a718210314baac55bcf24378e1f.jpg;https://cdn.entero.ru/mp@2x/70/9c/709ce9e7fda67d45000a15a3e8de7f21.jpg;https://cdn.entero.ru/mp@2x/71/d9/71d9d18ef9b34ad9194887f4b955eded.jpg,Кондиционер МиК MHR-215S(1),112.012.002,0,RUB,Нет,МиК,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/116211,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116211"">МиК MHR-215S(1)</a></b> предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Оборудование устанавливается на крышу универсального электротехнического шкафа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Потолочный</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
<li>Подходит для замены кондиционеров Rittal и Pfannenberg (аналогичные посадочные места)</li>
<li>Окраска с предварительным фосфатированием</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура:
<ul>
<li>Рабочая: от 10 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 500 м<sup>3</sup>/час</li>
<li>Конденсатор: 1450 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Потребляемая мощность: 0,9 кВт</li>
<li>Максимальный ток: 6,2 А</li>
<li>Номинал внешнего автоматического включателя: 16 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",116211,220 В,1.5 кВт,595 мм,535 мм,510 мм,Россия,0,https://entero.ru/manuals/115806/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BF%D1%80%D0%B8%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%D0%BE%D0%B2.jpg;https://entero.ru/manuals/115805/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%B8%D0%9A.pdf,44 кг
https://cdn.entero.ru/mp@2x/f8/e4/f8e4bfeba39408cb7713adad70f2c865.jpg;https://cdn.entero.ru/mp@2x/ec/b3/ecb389c498a2147a484ae1af49ed4dc7.jpg,Кондиционер UNISPLIT MHW-210S(3),MHW-210S(3)W,0,RUB,Нет,UNISPLIT,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/115557,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115557"">UNISPLIT MHW-210S(3)</a> </b>предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Корпус выполнен из окрашенной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенная</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Холодопроизводительность: 1,1 кВт</li>
<li>Потребляемая мощность: 0,64 кВт</li>
<li>Температура:
<ul>
<li>Рабочая: от -30 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 500 м<sup>3</sup>/час</li>
<li>Конденсатор: 500 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Максимальный ток: 2,5 А</li>
<li>Номинал внешнего автоматического включателя: от 6,3 до 10 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",115557,380 В,,410 мм,350 мм,950 мм,Россия,0,https://entero.ru/manuals/114900/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0.jpg;https://entero.ru/manuals/114899/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UNISPLIT.pdf,50 кг
https://cdn.entero.ru/mp@2x/03/b3/03b320419bb058b18e334076c1f04994.jpg;https://cdn.entero.ru/mp@2x/57/69/5769d98f1c5f8aea6e80e8b94687ca22.jpg;https://cdn.entero.ru/mp@2x/ba/f4/baf4d9201ea6b1ad2cb8dc933011656d.jpg,Кондиционер МиК MHR-210S(1),112.011.002,0,RUB,Нет,МиК,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/116210,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116210"">МиК MHR-210S(1)</a></b> предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Оборудование устанавливается на крышу универсального электротехнического шкафа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Потолочный</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
<li>Подходит для замены кондиционеров Rittal и Pfannenberg (аналогичные посадочные места)</li>
<li>Окраска с предварительным фосфатированием</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура:
<ul>
<li>Рабочая: от 10 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 500 м<sup>3</sup>/час</li>
<li>Конденсатор: 725 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Потребляемая мощность: 0,6 кВт</li>
<li>Максимальный ток: 4,7 А</li>
<li>Номинал внешнего автоматического включателя: 10 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",116210,220 В,1 кВт,595 мм,535 мм,510 мм,Россия,0,https://entero.ru/manuals/115804/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BF%D1%80%D0%B8%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%D0%BE%D0%B2.jpg;https://entero.ru/manuals/115803/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%B8%D0%9A.pdf,40 кг
https://cdn.entero.ru/mp@2x/88/ce/88ceb6c66e8c357d6c6860b9d11ce8ba.jpg;https://cdn.entero.ru/mp@2x/3e/12/3e12e3d3e9bb15de0f100458570babef.jpg;https://cdn.entero.ru/mp@2x/16/fc/16fcbe90b1efb7682b543ec6fc3e2602.jpg,Кондиционер МиК MHR-225S(1),112.013.002,0,RUB,Нет,МиК,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/116213,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116213"">МиК MHR-225S(1)</a></b> предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Оборудование устанавливается на крышу универсального электротехнического шкафа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Потолочный</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
<li>Подходит для замены кондиционеров Rittal и Pfannenberg (аналогичные посадочные места)</li>
<li>Окраска с предварительным фосфатированием</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура:
<ul>
<li>Рабочая: от 10 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 900 м<sup>3</sup>/час</li>
<li>Конденсатор: 1450 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Потребляемая мощность: 1 кВт</li>
<li>Максимальный ток: 7,8 А</li>
<li>Номинал внешнего автоматического включателя: 16 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",116213,220 В,2 кВт,595 мм,535 мм,510 мм,Россия,0,https://entero.ru/manuals/115810/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BF%D1%80%D0%B8%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%D0%BE%D0%B2.jpg;https://entero.ru/manuals/115809/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%B8%D0%9A.pdf,50 кг
https://cdn.entero.ru/mp@2x/18/af/18af092e84a7a588a7945012827655ad.jpg;https://cdn.entero.ru/mp@2x/8b/d4/8bd4e86e040a051bf0cf912a5d23f7a1.jpg;https://cdn.entero.ru/mp@2x/e4/30/e430f6561b85316bb7c12416bf993452.jpg,Кондиционер МиК MHR-225S(3),112.013.001,0,RUB,Нет,МиК,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/116212,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116212"">МиК MHR-225S(3)</a></b> предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Оборудование устанавливается на крышу универсального электротехнического шкафа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Потолочный</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
<li>Подходит для замены кондиционеров Rittal и Pfannenberg (аналогичные посадочные места)</li>
<li>Окраска с предварительным фосфатированием</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура:
<ul>
<li>Рабочая: от 10 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 900 м<sup>3</sup>/час</li>
<li>Конденсатор: 1450 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Потребляемая мощность: 1,1 кВт</li>
<li>Максимальный ток: 3,8 А</li>
<li>Номинал внешнего автоматического включателя: от 6,3 до 10 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",116212,380 В,2 кВт,595 мм,535 мм,510 мм,Россия,0,https://entero.ru/manuals/115808/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BF%D1%80%D0%B8%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%D0%BE%D0%B2.jpg;https://entero.ru/manuals/115807/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%B8%D0%9A.pdf,50 кг
https://cdn.entero.ru/mp@2x/e4/ce/e4ce9ee3858948cfc0f2c7026c0e7d77.jpg;https://cdn.entero.ru/mp@2x/7e/17/7e178fcfd6d4bfd602f1dba204ad4817.jpg;https://cdn.entero.ru/mp@2x/24/02/240236f84df0c55d0bb2849e5fb2c378.jpg,Кондиционер UNISPLIT MHW-108S(1),MHW-108S(1)W,150290,RUB,Нет,UNISPLIT,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/115553,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115553"">UNISPLIT MHW-108S(1)</a> </b>предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Корпус выполнен из окрашенной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенная</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Холодопроизводительность: 0,8 кВт</li>
<li>Потребляемая мощность: 0,4 кВт</li>
<li>Температура:
<ul>
<li>Рабочая: от -30 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 250 м<sup>3</sup>/час</li>
<li>Конденсатор: 400 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Максимальный ток: 2,1 А</li>
<li>Номинал внешнего автоматического включателя: 10 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",115553,220 В,,310 мм,280 мм,570 мм,Россия,0,https://entero.ru/manuals/114893/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0.jpg;https://entero.ru/manuals/114892/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UNISPLIT.pdf,34 кг
https://cdn.entero.ru/mp@2x/4d/f1/4df1a4e621bfc94b95d56f0c641ed63c.jpg;https://cdn.entero.ru/mp@2x/8e/a5/8ea50c3d9ed22a04fb7be9783e1a8a05.jpg;https://cdn.entero.ru/mp@2x/06/61/0661b34390a8493ad1ee65d8b685ad8b.jpg,Кондиционер UNISPLIT MHW-105S(1),MHW-105S(1)W,156009,RUB,Нет,UNISPLIT,Телекоммуникационное оборудование,"Кондиционеры для серверных, промышленных, электротехнических шкафов",https://entero.ru/item/115545,"<p>Кондиционер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115545"">UNISPLIT MHW-105S(1)</a> </b>предназначен для охлаждения оборудования и поддержания заданной температуры внутри серверных, промышленных, электротехнических и климатических шкафов на предприятиях пищевой промышленности, общественного питания и торговли. Корпус выполнен из окрашенной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенная</li>
<li>Компрессор: TECUMSEH</li>
<li>Хладагент: R134a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Холодопроизводительность: 0,55 кВт</li>
<li>Потребляемая мощность: 0,3 кВт</li>
<li>Температура:
<ul>
<li>Рабочая: от -30 до 50 °C</li>
<li>Установленная: от 20 до 40 °C</li>
</ul>
</li>
<li>Расход воздуха:
<ul>
<li>Испаритель: 250 м<sup>3</sup>/час</li>
<li>Конденсатор: 400 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Максимальный ток: 2,1 А</li>
<li>Номинал внешнего автоматического включателя: 10 A</li>
<li>Допустимое давление: 26 бар</li>
</ul>",115545,220 В,,310 мм,280 мм,570 мм,Россия,0,https://entero.ru/manuals/114891/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0.jpg;https://entero.ru/manuals/114880/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UNISPLIT.pdf,32 кг
